"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"41","33","    Brokers' commissions on sale of structures","B321RG3",14.339,14.336,14.277,14.277,14.397,14.334,14.274,14.193,14.164,14.228,14.304,14.345,14.334,14.378,14.391,14.497,14.548,14.613,14.66,14.849,14.836,14.882,15.001,15.035,15.147,15.192,15.402,15.579,15.689,16.007,16.043,16.274,16.431,16.377,16.479,16.547,16.867,17.025,17.219,17.674,18.302,18.633,18.984,19.339,19.549,20.087,20.045,20.472,21.057,21.578,21.973,22.435,22.856,23.142,23.61,24.103,24.361,25.075,25.729,26.008,26.579,27.646,28.79,29.86,30.605,30.906,30.956,31.103,31.395,31.817,32.248,32.815,33.581,34.063,34.781,35.817,36.345,37.122,38.303,39.216,40.265,41.406,42.451,43.615,44.948,46.134,47.205,47.687,49.191,49.91,50.42,52.157,52.961,54.047,54.461,54.984,55.751,56.252,57.099,57.542,58.084,58.915,59.5,61.097,61.419,61.907,62.647,63.635,64.513,65.444,66.202,66.611,67.639,68.704,69.738,70.846,71.907,72.619,73.706,74.551,74.864,75.665,76.178,77.435,78.442,78.905,78.925,79.167,79.631,80.158,80.347,79.926,80.135,80.173,80.541,81.01,80.998,82.133,82.224,81.741,83.088,83.828,84.219,84.778,85.542,86.27,86.591,87.053,87.289,87.75,88.097,88.301,88.513,89.761,89.938,89.939,91.093,91.816,91.845,91.441,90.921,91.329,91.476,91.596,91.773,91.951,92.159,96.71,96.926,96.674,98.27,98.153,98.267,98.439,98.526,98.932,98.991,99.02,99.018,99.016,99.016,99.508,99.885,99.885,99.885,99.885,100.348,99.885,100.151,100.331,100.697,100.163,100.346,100.35,100.418,99.856,99.6,97.766,95.108,93.227,91.942,92.382,92.284,92.28,91.857,90.948,90.12
"42","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","Residential","B012RG3",12.458,12.466,12.463,12.472,12.511,12.56,12.564,12.581,12.541,12.592,12.597,12.586,12.61,12.61,12.607,12.591,12.596,12.546,12.402,12.486,12.369,12.573,12.61,12.893,12.88,12.898,12.889,13.259,13.068,13.554,13.47,13.776,13.802,13.851,13.93,14.199,14.446,14.581,14.583,15.17,15.466,15.697,15.755,15.995,15.978,16.588,16.133,16.267,16.709,17.056,17.383,17.655,17.912,17.993,18.299,18.873,19.13,19.612,20.294,20.657,21.131,21.626,22.324,22.926,23.509,23.927,24.151,24.586,24.722,25.458,25.871,26.337,26.979,27.724,28.658,29.534,30.416,31.336,32.15,33.004,33.655,34.828,35.969,36.85,37.826,38.721,39.614,40.599,41.491,42.138,42.665,43.3,43.931,44.58,44.956,45.164,45.384,45.496,45.717,46.12,46.407,46.786,47.257,47.624,47.871,47.986,48.33,48.902,49.506,49.983,50.639,51.244,51.789,52.188,52.639,53.129,53.615,54.102,54.447,54.959,55.367,56.057,56.238,56.582,57.066,57.3,57.574,57.666,57.846,58.127,58.47,58.287,58.086,58.637,59.059,59.863,60.569,61.136,61.697,61.972,62.698,63.056,63.743,64.602,65.416,65.734,66.012,66.379,66.625,66.942,67.69,68.025,68.371,68.72,69.33,69.862,70.057,70.553,71.262,71.944,72.672,73.484,74.117,74.71,76.026,76.765,77.382,78.047,79.109,80.105,81.471,82.047,81.87,82.321,82.647,84.076,86.019,86.09,86.663,88.319,90.436,92.389,94.342,95.788,96.998,98.62,101.234,103.147,104.939,106.003,106.358,107.267,107.868,107.543,107.576,107.769,107.386,107.106,106.321,104.889,104.092,102.469,101.657,102.816,103.004,102.175,102.166
"44","36","  Permanent site","B943RG3",11.947,11.947,11.946,11.946,11.987,12.037,12.037,12.046,11.988,12.039,12.039,12.05,12.088,12.088,12.087,12.087,12.087,12.035,11.846,11.929,11.789,12.026,12.043,12.387,12.358,12.396,12.354,12.821,12.564,13.134,12.998,13.351,13.324,13.39,13.448,13.762,13.979,14.123,14.068,14.759,14.962,15.113,15.11,15.324,15.235,15.96,15.323,15.417,15.893,16.261,16.623,16.908,17.205,17.278,17.623,18.234,18.475,18.902,19.635,20.036,20.438,20.827,21.425,21.966,22.529,23.039,23.253,23.671,23.666,24.511,24.905,25.29,25.796,26.612,27.597,28.461,29.42,30.409,31.128,31.941,32.498,33.77,34.95,35.75,36.703,37.42,38.373,39.572,40.306,40.878,41.328,41.881,42.538,43.164,43.638,43.826,43.977,44.016,44.115,44.443,44.865,45.08,45.6,45.814,46.055,46.169,46.51,47.035,47.536,48.225,48.836,49.508,50.068,50.389,50.628,51.079,51.867,52.121,52.404,52.9,53.32,54.06,54.166,54.314,54.811,55.01,55.34,55.3,55.336,55.448,55.804,55.48,55.364,55.813,56.256,57.058,57.873,58.308,59.031,59.763,60.326,60.68,61.597,62.688,63.438,63.657,63.926,64.159,64.331,64.521,65.464,65.795,66.256,66.478,67.347,68.034,68.257,68.748,69.545,70.363,71.204,72.021,72.661,73.275,74.732,75.392,75.909,76.532,77.577,78.44,80.09,80.973,80.665,81.067,81.3,82.993,85.358,85.135,85.563,87.472,89.984,92.144,94.101,95.621,96.771,98.594,101.322,103.313,105.504,106.66,106.874,108.29,108.86,108.252,108.282,108.307,107.339,106.772,105.742,104.976,104.97,102.633,101.281,102.331,102.055,100.505,100.884
"45","37","    Single-family structures","B944RG3",12.06,12.061,12.06,12.06,12.11,12.16,12.16,12.16,12.11,12.16,12.16,12.16,12.21,12.21,12.21,12.21,12.21,12.16,11.961,12.061,11.911,12.16,12.16,12.509,12.459,12.509,12.459,12.957,12.708,13.307,13.157,13.506,13.456,13.505,13.555,13.855,14.104,14.253,14.204,14.901,15.1,15.25,15.25,15.5,15.399,16.147,15.499,15.598,16.047,16.396,16.745,17.044,17.343,17.443,17.792,18.439,18.689,19.137,19.885,20.284,20.682,21.08,21.678,22.227,22.775,23.274,23.473,23.872,23.872,24.719,25.118,25.516,26.124,26.89,27.848,28.704,29.675,30.699,31.474,32.362,33.008,34.374,35.638,36.498,37.451,38.199,39.188,40.423,41.204,41.751,42.129,42.561,43.02,43.465,43.76,43.788,43.781,43.732,43.781,44.089,44.575,44.793,45.298,45.476,45.626,45.68,45.957,46.417,46.844,47.491,48.085,48.761,49.225,49.668,49.975,50.445,51.187,51.446,51.76,52.307,52.809,53.637,53.844,54.083,54.698,54.95,55.301,55.246,55.186,55.249,55.566,55.218,55.096,55.537,55.978,56.783,57.638,58.118,58.89,59.675,60.292,60.695,61.655,62.782,63.551,63.782,64.051,64.274,64.404,64.58,65.511,65.828,66.276,66.463,67.282,67.867,67.877,68.227,68.945,69.75,70.677,71.567,72.261,72.889,74.275,74.928,75.455,76.097,77.218,78.136,79.811,80.694,80.331,80.693,80.908,82.601,84.984,84.815,85.315,87.308,89.898,92.115,94.103,95.625,96.782,98.587,101.273,103.191,105.239,106.29,106.44,107.83,108.213,107.392,107.177,106.913,105.616,104.741,103.44,102.428,102.183,99.723,98.306,99.287,99.02,97.516,97.883
"46","38","    Multifamily structures","B292RG3",12.619,12.619,12.619,12.618,12.618,12.676,12.676,12.732,12.619,12.675,12.676,12.734,12.732,12.733,12.732,12.733,12.732,12.676,12.505,12.562,12.448,12.675,12.732,13.073,13.073,13.074,13.074,13.529,13.301,13.869,13.755,14.097,14.04,14.097,14.154,14.552,14.722,14.892,14.836,15.575,15.802,15.973,15.972,16.143,16.086,16.825,16.143,16.2,16.711,17.109,17.507,17.792,18.133,18.189,18.587,19.212,19.497,19.952,20.747,21.202,21.657,22.055,22.68,23.192,23.76,24.272,24.498,25.012,24.953,25.86,26.259,26.603,26.554,27.795,29.075,30.096,31.104,32.033,32.597,33.207,33.518,34.588,35.588,36.252,37.261,37.928,38.857,40.066,40.762,41.469,42.152,43.031,44.171,45.254,46.206,46.86,47.543,47.906,48.213,48.655,48.905,49.15,49.778,50.135,50.695,51.016,51.581,52.335,53.092,53.959,54.683,55.423,56.514,56.314,56.238,56.616,57.657,57.873,57.988,58.202,58.18,58.456,58.022,57.662,57.447,57.318,57.535,57.578,58.145,58.54,59.17,59.019,58.928,59.452,59.902,60.659,60.969,60.826,60.99,61.188,61.222,61.107,61.609,62.354,62.886,62.972,63.214,63.519,64.044,64.348,65.406,65.875,66.458,66.951,68.186,69.626,71.432,73.071,74.577,75.557,75.714,75.984,76.236,76.797,78.945,79.694,80.114,80.541,80.869,81.205,82.6,83.477,83.629,84.352,84.689,86.305,88.391,87.622,87.396,88.545,90.382,92.04,93.693,95.129,96.09,98.075,101.336,104.288,108.277,110.676,111.548,113.134,114.77,115.317,116.686,118.186,118.704,119.583,119.867,120.376,121.684,119.925,119.001,120.584,120.259,118.433,118.879
"47","39","  Other structures","A863RG3",13.402,13.435,13.425,13.462,13.492,13.537,13.55,13.584,13.588,13.637,13.654,13.593,13.579,13.579,13.57,13.51,13.529,13.486,13.473,13.555,13.51,13.608,13.702,13.803,13.835,13.799,13.882,13.967,13.974,14.209,14.261,14.469,14.605,14.619,14.748,14.893,15.212,15.317,15.472,15.77,16.301,16.736,16.942,17.237,17.39,17.724,17.71,17.942,18.296,18.583,18.803,19.028,19.154,19.255,19.421,19.845,20.132,20.769,21.246,21.506,22.178,22.937,23.848,24.562,25.148,25.392,25.623,26.084,26.464,27.012,27.465,28.094,29.001,29.578,30.378,31.264,31.956,32.713,33.712,34.635,35.465,36.418,37.464,38.49,39.499,40.671,41.473,42.155,43.274,44.033,44.671,45.419,46.021,46.7,46.941,47.167,47.482,47.712,48.157,48.709,48.72,49.436,49.799,50.471,50.722,50.831,51.177,51.827,52.613,52.694,53.428,53.899,54.414,54.952,55.788,56.346,56.29,57.177,57.628,58.167,58.552,59.147,59.46,60.136,60.592,60.888,61.071,61.386,61.797,62.33,62.661,62.702,62.365,63.076,63.462,64.268,64.803,65.574,65.887,65.458,66.435,66.796,67.11,67.599,68.524,69.002,69.298,69.866,70.222,70.735,71.183,71.525,71.699,72.237,72.468,72.774,72.925,73.426,74,74.472,75.021,75.827,76.453,77.014,78.102,78.97,79.745,80.475,81.562,82.77,83.688,83.785,83.816,84.345,84.814,85.834,87.117,87.649,88.451,89.709,91.18,92.8,94.75,96.073,97.377,98.661,101.087,102.876,103.974,104.893,105.486,105.632,106.304,106.379,106.413,106.802,107.062,107.077,106.547,104.553,103.196,102.086,101.635,102.874,103.356,102.991,102.736
"48","40","    Manufactured homes","B945RG3",34.585,34.348,33.67,33.482,32.878,32.721,32.698,32.583,32.64,32.669,31.629,30.531,29.69,28.496,27.062,25.995,25.333,24.7,24.185,23.967,23.918,23.918,24.078,24.149,24.133,24.055,23.642,23.174,22.87,22.578,22.331,22.287,22.034,21.892,21.967,22.332,22.277,22.129,22.134,22.243,22.579,24.011,24.151,24.401,24.539,24.691,24.743,24.747,24.793,24.749,24.69,24.504,24.353,24.1,23.952,24.345,24.697,25.438,25.683,25.779,26.518,27.203,28.829,30.169,30.815,30.697,31.21,31.496,31.798,32.578,33.273,33.873,34.703,35.088,35.831,36.428,37.571,38.144,38.853,39.645,40.592,41.514,42.533,43.747,44.752,45.591,46.136,46.643,47.044,47.532,48.276,48.605,48.995,49.532,49.658,49.425,49.46,49.611,49.994,50.329,49.533,49.868,49.837,50.101,50.161,50.193,50.308,50.326,50.098,50.857,50.973,51.121,51.244,51.307,51.544,52.079,52.859,53.711,54.323,54.928,55.277,56.084,56.789,57.426,57.581,57.97,58.483,59.04,59.261,59.535,59.999,60.117,60.158,60.386,60.552,61.209,61.73,62.876,63.855,64.599,66.403,67.56,68.242,69.952,71.856,72.278,72.247,73.379,73.944,74.333,74.795,75.115,75.247,75.725,75.97,76.133,76.197,76.563,76.949,77.405,77.851,78.795,79.274,79.636,79.794,80.231,80.572,80.775,80.728,81.256,81.997,82.57,82.453,82.994,83.132,83.1,83.053,83.993,84.663,86.171,86.205,90.588,94.418,96.943,98.23,99.698,100.5,101.415,102.112,103.927,105.068,105.147,104.636,105.031,105.43,105.563,106.421,107.98,110.635,112.077,110.979,110.472,110.615,111.082,111.457,112.582,115.002
"49","41","    Dormitories","B295RG3",11.91,11.904,11.904,11.927,11.961,12.01,12.018,12.015,11.968,12.008,12.013,12.024,12.061,12.064,12.067,12.073,12.065,12.012,11.813,11.913,11.77,12.016,12.016,12.358,12.312,12.361,12.31,12.808,12.555,13.142,12.993,13.345,13.295,13.346,13.391,13.699,13.942,14.083,14.027,14.725,14.922,15.071,15.073,15.294,15.218,15.947,15.312,15.39,15.853,16.201,16.559,16.867,17.118,17.147,17.503,18.248,18.429,18.927,19.651,19.947,20.441,20.896,21.41,21.965,22.51,22.968,23.202,23.601,23.571,24.46,24.899,25.311,26.106,26.889,27.856,28.705,29.642,30.642,31.395,32.267,32.888,34.248,35.515,36.385,37.358,38.102,39.084,40.311,41.102,41.684,42.097,42.554,43.001,43.439,43.722,43.739,43.726,43.665,43.701,43.998,44.484,44.695,45.193,45.366,45.51,45.563,45.84,46.304,46.74,47.395,47.996,48.68,49.159,49.617,49.934,50.406,51.143,51.391,51.687,52.214,52.677,53.489,53.69,53.937,54.548,54.857,55.273,55.267,55.259,55.285,55.567,55.186,54.967,55.363,55.775,56.58,57.555,58.099,58.905,59.681,60.22,60.6,61.544,62.66,63.436,63.663,63.928,64.148,64.279,64.453,65.379,65.689,66.156,66.36,67.191,67.782,67.771,68.096,68.798,69.592,70.491,71.375,72.073,72.718,74.163,74.848,75.395,76.052,77.132,78.021,79.676,80.551,80.188,80.553,80.776,82.482,84.866,84.716,85.251,87.311,89.759,91.97,93.955,95.475,96.633,98.437,101.119,103.035,105.039,106.036,106.161,107.536,107.942,107.161,107.005,106.813,105.608,104.746,103.4,102.263,101.78,99.184,97.671,98.601,98.336,96.842,97.207
"50","42","    Improvements","B946RG3",12.292,12.34,12.351,12.399,12.448,12.496,12.51,12.558,12.569,12.616,12.665,12.629,12.629,12.677,12.725,12.691,12.739,12.739,12.803,12.897,12.888,12.97,13.04,13.133,13.177,13.169,13.255,13.407,13.439,13.675,13.794,14.029,14.197,14.25,14.404,14.558,14.887,15.062,15.255,15.561,16.079,16.436,16.651,16.989,17.173,17.531,17.605,17.919,18.329,18.665,18.993,19.31,19.511,19.685,19.897,20.319,20.695,21.277,21.824,22.183,22.929,23.809,24.743,25.46,26.018,26.281,26.494,26.98,27.417,27.913,28.351,28.941,29.852,30.463,31.253,31.933,32.722,33.498,34.341,35.349,36.059,37.002,38.171,39.215,40.225,41.551,42.407,43.475,44.485,45.495,46.426,46.893,47.626,48.259,48.629,48.951,49.174,49.418,49.707,50.482,50.521,51.307,51.765,51.96,52.369,52.422,52.599,53.065,53.839,53.414,54.16,54.785,55,55.261,55.993,56.274,56.519,57.526,57.653,58.066,58.67,59.192,59.486,59.849,60.628,60.947,61.381,61.856,62.185,62.72,63.096,63.39,63.059,63.57,63.865,64.678,65.384,65.652,65.92,65.503,65.903,65.908,66.234,66.67,67.693,68.069,68.4,68.84,69.081,69.704,70.413,70.95,71.235,71.819,72.081,72.345,72.463,72.944,73.491,74.06,74.785,75.6,76.305,76.825,78.093,78.855,79.448,80.074,80.961,81.87,82.938,83.403,83.254,83.609,83.899,85.019,86.685,86.844,87.387,88.903,90.991,93.077,95.331,96.098,97.306,98.683,101.026,102.985,104.626,106.084,106.707,107.355,108.333,108.429,108.406,109.442,110.022,110.891,111.483,109.554,108.34,106.432,105.789,107.654,108.545,108.497,108.521
"51","43","    Brokers' commissions on sale of structures","B758RG3",11.389,11.384,11.384,11.388,11.426,11.469,11.477,11.466,11.428,11.466,11.469,11.468,11.509,11.506,11.505,11.508,11.55,11.468,11.308,11.388,11.263,11.387,11.547,11.628,11.628,11.507,11.713,11.712,11.754,12.119,12.043,12.242,12.368,12.284,12.324,12.364,12.772,12.774,12.858,13.304,14,14.08,14.282,14.489,14.489,14.939,14.491,14.611,15.019,15.387,15.548,15.835,15.998,16.162,16.487,17.02,17.142,17.835,18.448,18.69,19.18,19.714,20.204,20.611,21.182,21.468,21.626,22.077,22.365,22.979,23.387,24.08,24.96,25.526,26.357,27.683,28.072,28.86,30.215,31.001,32.012,32.995,33.805,34.714,35.702,36.534,37.277,37.136,38.763,38.949,38.725,40.463,40.68,41.544,41.432,41.591,42.235,42.473,43.293,43.452,43.744,44.426,44.715,46.632,46.534,46.753,47.495,48.684,49.736,50.887,51.747,52.008,53.333,54.647,55.861,57.132,56.078,56.639,57.799,58.635,58.523,59.283,59.562,60.974,60.71,60.912,60.428,60.286,60.915,61.468,61.688,61.128,60.761,61.952,62.579,63.389,63.494,65.438,65.727,65.044,67.227,68.271,68.468,68.728,69.034,69.789,70.1,70.774,71.338,71.628,71.472,71.37,71.313,71.757,71.942,72.39,72.627,73.196,73.886,74.197,74.463,75.225,75.75,76.439,77.388,78.551,79.761,80.781,82.414,84.309,84.971,84.306,84.71,85.56,86.407,87.393,88.129,89.259,90.496,91.301,91.865,92.501,93.842,95.912,97.347,98.476,101.205,102.922,103.184,103.137,103.606,102.896,103.09,103.081,103.194,102.306,101.858,99.958,96.859,94.446,92.686,93.397,93.299,93.286,92.909,91.753,90.754
"52","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures \5\","W040RG3",12.058,12.092,12.11,12.12,12.16,12.156,12.133,12.105,12.084,12.121,12.129,12.143,12.163,12.18,12.173,12.18,12.198,12.181,12.114,12.167,12.093,12.27,12.292,12.538,12.539,12.595,12.597,12.918,12.8,13.183,13.15,13.384,13.421,13.485,13.57,13.804,14.015,14.172,14.224,14.698,14.931,15.169,15.291,15.554,15.622,16.166,15.973,16.169,16.553,16.907,17.258,17.54,17.837,17.974,18.249,18.732,19.002,19.438,20.053,20.471,20.971,21.66,22.517,23.306,23.947,24.384,24.609,24.97,25.104,25.712,26.107,26.509,27.222,27.868,28.676,29.399,30.198,31.084,31.833,32.692,33.44,34.55,35.668,36.475,37.256,38.066,38.912,40.084,41.395,42.515,43.478,44.603,45.481,46,46.235,46.18,45.766,45.55,45.57,45.741,45.907,46.308,46.693,46.935,47.254,47.357,47.624,47.997,48.358,48.678,49.109,49.566,49.81,50.061,50.375,50.813,51.515,51.999,52.365,52.872,53.326,53.973,54.261,54.574,55.08,55.387,55.794,56.024,56.342,56.501,56.665,56.329,56.24,56.586,56.919,57.541,58.147,58.587,59.123,59.568,60.075,60.385,61.114,61.995,62.791,63.115,63.566,63.977,64.118,64.398,65.228,65.637,66.134,66.583,67.28,67.937,68.47,69.063,69.705,70.362,71.02,71.675,72.254,72.848,73.985,74.654,75.295,76.016,77.025,78.021,79.381,80.013,80.192,80.784,81.22,82.501,84.181,84.139,84.659,86.212,88.357,90.452,92.646,94.498,96.259,98.296,101.315,104.13,106.509,108.397,109.459,111.464,112.484,112.507,112.955,113.807,114.11,114.866,116.056,116.965,115.716,112.561,110.273,110.55,110.84,110.818,111.383
"55","46","    Nonresidential structures","A771RG3",11.434,11.501,11.546,11.556,11.595,11.524,11.469,11.392,11.391,11.413,11.425,11.467,11.484,11.521,11.508,11.543,11.579,11.603,11.633,11.643,11.624,11.759,11.773,11.959,11.98,12.068,12.096,12.336,12.304,12.575,12.59,12.751,12.804,12.875,12.964,13.146,13.329,13.498,13.606,13.949,14.144,14.378,14.576,14.853,15.003,15.472,15.516,15.773,16.099,16.465,16.83,17.124,17.46,17.677,17.907,18.256,18.527,18.922,19.448,19.925,20.462,21.355,22.351,23.294,23.978,24.414,24.633,24.925,25.077,25.529,25.903,26.262,27.093,27.582,28.206,28.798,29.419,30.242,30.982,31.828,32.715,33.719,34.764,35.502,36.114,36.847,37.634,38.813,40.478,41.886,43.073,44.528,45.494,45.945,46.071,45.866,45.077,44.624,44.527,44.46,44.512,44.959,45.249,45.513,45.86,45.965,46.203,46.468,46.659,46.897,47.106,47.352,47.361,47.559,47.813,48.276,49.033,49.52,50.004,50.538,50.97,51.571,51.973,52.371,52.809,53.178,53.621,53.948,54.427,54.517,54.503,53.975,53.974,54.187,54.447,54.858,55.26,55.733,56.191,56.694,57.133,57.482,58.191,59.014,59.72,60.108,60.764,61.27,61.329,61.56,62.35,62.782,63.394,63.97,64.695,65.474,66.4,67.114,67.668,68.225,68.715,69.163,69.652,70.261,71.11,71.766,72.529,73.365,74.405,75.538,76.756,77.221,77.955,78.817,79.535,80.481,81.459,81.512,82.127,83.258,85.01,86.96,89.394,92.169,95.016,97.661,101.453,105.871,108.873,111.857,114.037,117.206,118.65,119.172,120.152,121.595,122.657,124.142,126.621,129.142,127.307,123.22,119.845,119.205,119.484,120.089,120.966
"56","47","    Residential structures","A756RG3",12.551,12.56,12.558,12.567,12.607,12.656,12.659,12.678,12.638,12.688,12.693,12.683,12.706,12.706,12.704,12.685,12.689,12.64,12.497,12.582,12.465,12.674,12.704,13,12.985,13.013,12.989,13.387,13.18,13.677,13.591,13.906,13.923,13.979,14.061,14.346,14.583,14.727,14.723,15.323,15.592,15.832,15.88,16.124,16.103,16.728,16.267,16.402,16.847,17.193,17.532,17.804,18.068,18.144,18.451,19.031,19.3,19.767,20.457,20.83,21.301,21.79,22.504,23.122,23.702,24.134,24.363,24.794,24.913,25.662,26.076,26.514,27.126,27.891,28.834,29.657,30.593,31.526,32.276,33.138,33.747,34.942,36.119,36.991,37.958,38.853,39.759,40.889,41.693,42.387,42.991,43.506,44.173,44.795,45.218,45.43,45.6,45.699,45.857,46.286,46.576,46.921,47.409,47.621,47.897,47.995,48.291,48.788,49.34,49.745,50.38,51.027,51.487,51.785,52.153,52.563,53.206,53.68,53.93,54.406,54.874,55.557,55.729,55.948,56.515,56.751,57.113,57.233,57.357,57.6,57.962,57.826,57.653,58.115,58.509,59.311,60.085,60.491,61.086,61.48,62.036,62.317,63.059,63.982,64.848,65.119,65.392,65.721,65.928,66.249,67.105,67.493,67.888,68.224,68.892,69.436,69.623,70.105,70.817,71.553,72.346,73.167,73.818,74.397,75.761,76.441,76.973,77.587,78.564,79.433,80.901,81.658,81.398,81.789,82.036,83.532,85.656,85.563,86.028,87.825,90.185,92.358,94.417,95.76,96.929,98.634,101.237,103.201,105.232,106.471,106.805,107.985,108.658,108.272,108.282,108.638,108.24,108.235,107.889,106.672,106.098,104.007,103.044,104.493,104.81,104.053,104.273
