"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"59","50","  Exports of agricultural goods \2\","B181RA3",19.703,34.097,30.21,33.811,32.354,33.767,34.706,36.527,35.118,33.216,37.008,31.793,37.395,36.579,39.102,44.515,50.464,51.416,46.619,51.435,48.189,48.122,43.493,43.52,48.242,41.185,45.866,50.724,50.003,51.902,52.686,53.695,52.761,52.98,53.779,53.808,55.127,68.745,66.834,61.861,56.611,62.991,69.511,74.653,70.142,75.423,79.037,72.313,76.176,70.932,72.26,77.307,71.816,77.634,68.325,65.594,67.529,65.942,70.757,66.508,66.515,63.999,67.408,70.666,62.558,56.203,56.138,59.406,58.447,53.525,61.396,62.734,56.309,57.934,70.791,62.935,69.905,66.503,67.261,68.874,69.101,73.24,69.968,71.344,75.444,72.959,72.56,68.296,70.798,68.973,73.837,75.727,77.932,78.995,84.59,82.782,80.138,81.851,76.267,77.484,73.957,77.655,84.062,90.738,92.56,91.204,92.916,87.284,92.286,85.833,85.731,91.259,88.299,89.091,91.262,94.043,93.553,89.179,85.622,94.149,84.958,90.738,96.779,92.602,96.008,96.574,104.176,98.042,100.069,102.112,101.307,103.606,102.441,102.14,97.449,94.763,98.703,99.064,103.903,100.404,94.598,89.581,93.746,102.574,99.339,100.979,98.076,101.606,107.032,110.444,108.791,107.505,107.719,112.204,121.435,122.744,124.854,126.104,122.533,120.764,114.747,119.738,117.6,126.788,134.617,127.278,131.129,137.538,137.418,130.794,121.796
"60","51","  Exports of nonagricultural goods","B182RA3",11.174,13.526,13.383,13.66,13.981,14.296,14.012,14.072,13.936,14.042,14.842,12.772,14.884,14.359,15.159,16.028,17.274,18.212,18.667,19.37,20.205,21.266,20.256,20.801,19.97,19.636,19.555,20.136,19.879,20.058,20.418,20.468,19.871,20.569,20.512,19.463,19.834,22.066,22.528,24.051,24.436,24.014,24.84,26.527,27.774,27.952,26.798,27.243,27.018,27.484,25.988,26.034,24.427,24.007,22.843,21.355,21.536,21.561,21.253,22.381,21.963,22.536,22.758,23.368,23.414,23.729,23.391,23.989,24.118,24.94,24.927,26.008,26.061,27.21,28.301,30.339,31.996,33.217,33.748,35.415,36.087,38.137,38.505,39.074,40.786,41.349,41.603,42.039,43.136,44.342,45.18,45.842,46.897,46.99,48.163,48.949,48.58,49.153,49.129,51.602,51.86,53.638,56.208,57.405,58.754,59.934,62.357,63.747,64.827,66.143,67.515,71.099,74.053,77.77,80.081,79.99,80.267,78.535,78.955,81.736,80.664,81.228,83.655,86.91,88.756,91.702,95.362,94.249,92.771,88.13,82.985,80.768,80.782,83.876,84.629,82.661,82.759,82.68,84.051,88.552,90.599,92.663,93.564,94.479,96.849,100.175,100.107,102.87,107.069,108.899,109.096,112.94,116.659,118.603,121.698,124.736,127.572,132.156,131.648,120.739,107.841,106.457,112.53,119.63,122.702,127.244,129.897,132.425,136.193,137.888,140.753
"61","52","  Imports of durable goods","B333RA3",4.68,5.945,5.832,5.622,5.564,5.729,5.621,5.772,5.882,6.444,6.452,6.2,7.164,6.982,7.061,7.523,7.952,7.608,7.536,7.492,7.576,7.835,7.843,7.451,6.568,5.812,6.2,6.514,7.237,7.552,7.849,8.101,8.193,8.686,8.731,9.177,9.806,10.086,10.05,10.262,9.977,10.282,10.301,10.569,10.912,10.343,9.83,10.364,10.535,11.235,11.347,11.785,11.565,11.596,11.5,10.75,12.247,12.865,13.939,15.684,16.999,17.942,18.718,19.169,19.302,19.942,20.144,20.728,20.863,22.091,22.214,22.381,22.085,22.689,22.948,23.694,23.423,23.25,23.822,24.735,24.729,25.1,24.599,25.028,25.142,25.727,25.747,25.46,24.782,24.988,26.18,26.686,27.312,28.108,28.628,29.343,30.487,31.222,31.778,33.35,34.316,36.296,37.594,39.576,40.404,41.188,41.181,41.961,43.532,44.853,46.508,47.479,50.222,52.36,54.294,55.586,57.996,59.457,59.959,63.053,64.598,67.605,70.442,72.833,76.035,78.726,81.372,81.31,78.603,74.47,72.797,71.944,74.438,77.727,78.891,79.224,78.445,79.966,80.202,85.041,86.747,91.558,93.707,96.479,97.196,99.072,100.296,103.436,107.608,108.188,108.954,110.449,111.094,111.01,112.33,110.744,111.732,111.464,107.997,97.64,82.78,79.269,85.182,92.405,96.229,103.402,107.22,108.898,112.682,112.284,113.975
"62","53","  Imports of nondurable goods","B340RA3",16.382,20.662,20.197,19.966,20.305,19.933,20.279,20.881,20.139,22.111,23.896,20.296,24.421,22.536,24.526,25.06,26.196,26.199,25.573,26.167,23.38,25.228,24.361,24.661,21.835,20.562,23.379,24.804,25.783,27.214,28.527,29.624,32.259,31.237,30.416,29.879,31.97,31.342,32.193,32.323,33.122,32.55,31.435,32.2,31.433,28.219,25.109,26.57,28.273,26.824,26.102,26.792,25.29,23.782,26.865,25.759,23.847,26.779,29.137,28.541,30.248,30.916,30.655,31.526,28.887,31.704,30.96,33.28,32.288,34.545,36.281,36.451,35.699,35.952,37.607,37.326,37.769,37.217,38.156,39.051,39.424,38.827,39.547,40.58,43.476,41.445,40.593,38.204,39.271,40.493,41.551,42.891,42.825,43.549,44.573,45.794,46.077,47.002,47.164,48.401,49.192,50.062,51.687,51.711,52.527,52.649,53.017,52.779,54.466,55.274,56.814,58.546,59.454,61.171,63.318,64.574,66.131,67.443,68.658,68.987,71.311,72.03,74.424,75.319,77.451,79.316,82.419,82.643,84.277,82.883,81.846,81.586,80.919,84.132,86.248,88.706,87.54,90.766,91.336,90.859,93.635,95.939,96.389,98.328,99.418,99.468,99.291,101.823,99.79,102.055,104.397,100.732,105.082,106.283,104.711,103.303,101.839,100.914,99.467,100.119,95.041,89.771,90.698,91.454,93.747,97.514,99.471,97.099,97.876,99.148,97.509
"63","54","  Imports of nonpetroleum goods","B187RA3",6.21,7.959,7.797,7.542,7.534,7.621,7.623,7.795,7.825,8.524,8.776,7.868,9.396,8.924,9.252,9.674,10.086,9.656,9.47,9.45,9.529,9.619,9.44,9.078,7.945,7.228,7.951,8.433,9.222,9.581,9.949,10.188,10.189,10.691,10.603,10.995,11.928,12.257,12.156,12.399,12.186,12.525,12.278,12.683,12.802,12.22,11.544,12.222,12.688,13.254,13.341,13.978,13.481,13.764,13.906,13.225,14.618,15.322,16.31,18.016,19.565,20.467,21.141,21.666,21.786,22.484,22.58,23.279,23.462,24.523,24.714,25.101,24.972,25.483,25.606,26.292,26.198,25.827,26.488,27.299,27.194,27.58,27.303,27.869,28.145,28.534,28.531,28.195,27.5,27.899,28.908,29.732,30.251,31.165,31.694,32.31,33.284,34.146,34.667,35.933,36.93,38.746,39.95,41.666,42.558,43.349,43.254,43.755,45.329,46.487,48.136,49.304,51.631,53.844,55.898,57.068,59.262,60.727,61.397,63.74,65.533,68.04,70.89,73.161,75.764,78.509,81.42,81.199,79.403,76.314,75.066,74.076,75.983,79.361,80.998,81.667,81.057,82.604,82.892,86.557,88.121,92.801,94.423,96.563,97.841,99.292,100.084,102.783,105.832,107.141,107.793,108.862,110.227,110.284,111.099,109.059,109.432,109.383,106.866,98.097,85.874,82.516,87.603,93.533,96.907,102.657,106.214,107.255,109.513,110.922,111.516
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
