"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"50","42","    Paper and paper products wholesalers","S42210",6801,6804,6748,6757,6858,6735,7039,7296,7285,7337,7452,7622,7472,7652,7752,7772,7612,7584,7551,7408,7327,7150,7210,7265,7135,7061,7221,7323,7228,7252,7382,7414,7510,7592,7709,7618,7761,7687,8006,8193,8209,8143,8188,8201,8215,8433,8467,8482,8276,8305,8205,8248,8204,7910,7725,7546,7491,7507,7440,7344,7201,7034,6943,6968,7043,7015,6913,6867,6911,6913,7007,7008,6836,6944,6893,7055,7106,7026,7006,6916,6805,6838,6825,6944,6848,6863,7033,7175,7260,7567,7818,7899,7901,7948,7855,8024,8007,8031,7907,8069,8162,8161,8015,8198,8135,8143,8375,8461,8368,8555,8600,8806,8925,8863,8934,8911,8967,8875,8768,8847,8803,8762,8579,8719,8680,8781,9048,8930,9009,9156,9187,9223,9219,9255,9343,9278,9166,9391,9728,9721,9834,9964,9866,9804,9684,9385,9068,9125,8883,8655,8720,8542,8352,8282,8269,8262,8320,8334,8305,8474,8754,8890,8867,8870,8892,9016,9018,9132
"51","43","    Drugs and druggists' sundries wholesalers","S42220",12652,12447,12690,12469,12711,13025,13192,13691,13836,13540,14009,14120,14180,14660,15061,15215,15482,15153,15237,15358,15358,15603,16026,16238,16397,16575,16662,17319,17636,17996,18425,18766,18774,19565,19698,19933,20503,20795,21217,21459,21450,22194,22722,22820,23162,23561,23772,24643,24471,24278,25278,26104,27224,27932,27656,28773,30126,29968,30968,31794,32266,32218,32596,32521,32487,32998,32610,32427,32827,33491,33023,33816,33803,33855,34077,34494,34441,33806,34749,34783,34322,34731,35364,34879,34498,35321,35373,34506,34829,34886,35524,35287,35115,35516,36017,35702,36743,35848,35900,35912,35864,35550,34745,34041,35063,34663,34376,35207,34381,35270,35889,35886,35714,36868,36452,37765,37124,35494,36653,36942,36750,36525,36350,37188,37511,37560,37168,37781,37725,37177,37725,37782,37892,38036,38049,38048,38604,38103,40064,40494,39429,39949,40232,39856,40095,41388,40574,40931,40999,40270,40624,40111,40602,41314,41048,41653,41575,41552,41794,41956,42318,42693,43010,42815,43355,43098,42845,43762
"52","44","    Apparel, piece goods, and notions wholesalers","S42230",11715,11800,11890,11939,12023,12238,12274,12264,12249,12825,12956,12986,13161,12945,13015,13126,13089,13184,13077,13246,13150,13213,13313,13219,12899,13608,13153,12942,12729,12370,12347,12278,12108,12134,12307,12519,12739,12576,12441,12558,12625,12264,12456,12338,12510,12458,12531,12566,12798,13259,13252,13354,13407,13401,12982,12857,12840,12954,12668,12509,12734,12545,12300,11917,11949,12221,12359,12568,12906,12494,12417,12644,12591,12405,12609,12659,12459,12628,12515,12240,11965,11597,11789,11745,11494,11543,11559,11411,11515,11158,11271,11536,11795,11956,12464,11820,12105,12084,12135,12361,12341,12365,12263,12336,12367,12594,12646,12453,12331,12666,12814,12871,12982,13052,13281,13378,13510,13520,13598,13873,14028,13999,14017,13617,13975,14301,14546,14764,14608,14701,14638,14608,14795,14893,15394,14981,14879,15040,14984,14762,15348,15453,15396,15621,15594,15318,14786,14433,14111,13714,13377,13001,12781,12362,12352,11840,12001,12075,12046,12204,12416,12740,13399,13864,14571,14771,15180,14974
"53","45","    Grocery and related products wholesalers","S42240",16718,16667,16705,16487,16687,16784,16724,16677,16708,17310,17443,17481,17538,17681,17223,17741,17938,17599,17641,17601,17466,17379,17512,17380,17488,17705,17727,18069,17921,17341,17791,17862,18112,18438,18802,18613,18422,18459,18380,18486,18423,18147,18164,18126,18511,18855,19294,18730,18674,18636,18541,18499,18203,18266,17805,17988,17756,17193,17334,17535,17711,17719,17990,17868,18224,18819,18940,19039,18446,18789,18365,18512,19041,18980,18742,18432,18066,18026,18216,18277,18733,18371,18169,18616,18139,18199,18522,18783,18934,18834,18969,18842,18716,19632,19775,19166,19480,19596,19649,19848,19830,19453,19387,19769,20126,20445,20817,21206,21074,21037,20917,21054,20915,21539,22007,22568,22732,22574,23245,23374,23678,24435,25178,25214,25553,25661,25591,25285,25488,25603,25864,26334,26542,26163,26498,26918,27287,27555,27902,28439,28424,28621,28021,27915,27585,27092,26457,26766,26467,26244,25883,25293,25716,25760,25990,26062,26127,26833,27053,27114,27473,27835,28029,28327,28219,28506,28223,28954
"54","46","    Farm product raw material wholesalers","S42250",12902,13459,13760,14057,13671,13564,13705,13297,13184,14081,14534,13480,13311,13410,13345,12621,12452,12954,12656,12263,12522,12937,13032,12481,12249,12151,12204,12479,12326,11985,11760,12575,12707,12745,12359,12226,12776,13073,13584,13685,13712,13076,12252,12040,12450,13240,13583,13839,13725,13614,13222,13075,13185,13305,13904,14030,13689,13362,13482,13460,13328,13113,12901,12412,12269,12674,14420,14977,15368,14516,14689,14486,14262,13938,13609,13651,13988,14102,13953,14355,15456,18976,18985,18324,19015,19472,19817,19859,18971,17979,16413,15407,14461,13971,13511,13578,14004,14734,15975,16282,15936,16289,16968,16708,16124,15952,15684,16048,16221,16514,16468,16916,17805,18032,18740,18702,18755,23775,27133,25221,23857,23755,23308,22447,22838,23991,25848,28055,31886,33825,35531,37714,39490,41455,39735,39808,39257,41212,39846,38280,34474,29641,26074,24153,24626,24343,25132,26361,28272,25727,24580,24540,24227,26590,30535,29025,27472,26705,25751,25427,25729,24890,28121,31552,37908,45463,43724,43147
"55","47","    Chemical and allied products wholesalers","S42260",4529,4630,4672,4555,4448,4736,4766,4774,4636,4630,4770,4733,4776,4717,4735,4879,5062,4819,5026,4939,4939,4882,5046,5084,5167,5244,5209,5248,5307,5270,5439,5301,5268,5264,5306,5464,5387,5470,5571,5536,5525,5562,5616,5522,5326,5272,5308,5419,5339,5301,5488,5648,5598,5565,5553,5402,5453,5444,5372,5418,5375,5512,5619,5653,5807,5765,5733,5886,5928,5943,6055,6133,6300,6360,6256,6057,6073,6059,6106,5868,5854,5791,5749,6145,5822,6057,6060,6173,6371,6460,6734,6771,6856,6961,6972,6950,6987,7176,7222,7389,7201,7175,7137,7289,7482,7733,7793,7809,7884,7780,7823,7862,7923,8099,8002,8054,7894,7608,7576,7601,8043,8159,8214,8243,8273,8637,8848,8576,8724,8656,9097,9487,9385,9459,9620,9924,9991,10080,10857,11131,10635,10095,9208,8969,8616,8806,8340,8281,8065,8179,8192,8074,8118,7921,8041,7945,8103,8360,8349,8431,8423,8642,8859,8944,9122,8971,9078,9347
"56","48","    Petroleum and petroleum products wholesalers","S42270",5440,5372,5141,4969,4923,4702,4664,4629,4712,4704,4636,4572,4324,4001,3967,4029,4158,4049,3998,3950,4218,4098,3953,3823,3877,3846,3909,4032,3942,4082,4312,4367,4597,4696,5017,5070,5334,5546,5623,5418,5337,5715,5636,5824,5758,5928,6277,5928,5746,5829,5764,5869,6190,6017,5845,5748,5609,5335,5238,5092,5214,5392,5736,6019,5851,5623,5830,5797,6170,6127,6147,6714,7089,7334,7159,6489,6150,6373,6287,6628,6687,6725,6904,7209,7393,7650,7507,7566,7760,7976,9260,9584,9624,10453,10415,10655,10565,10846,11801,11485,11319,11159,12484,13724,14993,14810,14431,14523,15888,15439,14972,15016,16171,15891,16190,15342,14803,14064,14547,13714,13515,13974,14684,15872,15634,15376,15281,14991,15650,16920,18159,19569,19355,19987,18879,20385,20138,21587,22288,21853,20663,15933,13122,10983,12229,12592,13476,13304,14524,15022,14815,16042,16855,18206,20247,22527,23593,23904,24097,25274,23011,21856,22245,22955,24106,25326,25827,26648
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4897,4737,4608,4817,4668,4941,4907,4976,5081,4909,4922,5232,5079,5184,5494,5105,5082,5269,5159,5283,5335,5441,5697,5482,5578,5769,6083,5805,5994,5816,5943,5900,5756,5747,5718,5789,5878,5918,5860,5930,6046,5893,5908,5965,5992,6047,6079,6165,6154,6150,6085,6099,6076,6232,6116,6107,6183,6146,6012,6058,6165,6128,6305,6365,6341,6248,6268,6082,6333,6464,6539,6553,6537,6452,6564,6460,6519,6518,6583,6339,6577,6601,6841,6840,6895,6888,6866,6948,6916,6982,6991,6969,6812,6841,6980,7230,7391,7502,7448,7495,7458,7491,7365,7742,7759,7924,7968,7900,7817,7785,8141,8215,8395,8225,8159,8229,8282,8273,8460,8595,8801,8866,8756,8987,8841,8960,9276,9029,9348,9400,9364,9484,9727,9837,9905,9847,10150,10185,10368,10420,10544,10652,10700,10961,10801,11018,11223,11003,10806,10959,10653,10896,10410,10534,10597,10279,10602,10493,10369,10101,10475,10376,10601,10775,10687,10907,11069,11484
"58","50","    Miscellaneous nondurable goods wholesalers","S42290",15033,14721,14685,14913,14898,14757,14582,15115,15579,15286,15214,15442,15125,15538,15670,15388,15558,15815,15870,15760,15854,15643,16294,16608,16740,16368,16460,16587,15806,16039,16243,16616,16910,16796,16807,16764,16832,16923,16820,16650,16730,16776,16719,16892,16903,17193,17002,17223,17270,17630,17389,17567,17815,17983,17832,17874,17377,17190,17046,16633,16321,16259,16349,16388,16596,16334,16641,16534,16304,16314,16046,15969,15761,15696,16026,15783,15387,15345,15378,15530,16103,16158,16348,16295,16868,16633,16167,16393,16573,16895,17452,17153,17167,17693,18190,18426,18643,18900,18667,19336,19300,19664,19396,19439,19713,19442,19433,19919,19993,19833,20004,20039,19899,19659,19550,19848,19789,19755,19632,19852,19919,20874,21524,21986,21223,21017,21211,21292,21480,21964,22352,22563,23327,23870,24456,25108,25895,26218,26171,26403,26631,26231,25701,24915,24201,24333,24045,23598,23116,22661,22641,22165,21905,21793,21763,21751,22304,22215,22620,22619,22466,22136,21994,22112,22448,22603,23218,23390
"59","51","Retail trade industries","S440",328633,331341,329014,332539,333318,332025,333783,332327,334476,335508,336305,335864,336111,338387,342497,346125,343787,342827,343302,342126,343996,345414,348581,349151,352798,354296,357619,359153,360180,362356,363777,364763,366692,369853,373109,377742,377162,378457,380801,383269,387593,390615,392261,394866,395710,398869,400605,400836,399708,396274,395155,396395,397299,396201,396203,397977,397999,387340,381884,386024,389141,390082,390025,390090,392887,395375,396619,395896,400004,402154,406466,407981,410553,413323,416161,416957,415570,416444,417853,415129,420256,421744,425082,425512,427375,430419,435592,441986,444162,445494,446145,449640,451779,456139,459304,460862,463270,466872,467232,466222,465769,464513,457797,461516,466903,469918,471243,473662,475019,472884,477972,475901,480615,482991,483251,486523,487767,484611,486241,491624,490399,493621,493353,495974,496382,497451,500370,504498,504123,508789,509562,511826,513161,512704,509421,508361,508974,509727,517090,512485,509566,505808,497266,490311,483751,479456,476402,474624,469546,465233,460954,455214,461402,463159,462693,465936,469898,470215,472833,475429,477561,478971,481431,486518,490029,488695,486845,487806
"60","52","  Motor vehicle and parts dealers","S4410",101412,102458,101561,103841,103558,102364,103479,103293,103023,104299,105178,104269,104431,105525,106964,109579,109059,105520,105017,103539,104623,105828,107498,106979,109151,110460,112503,112461,112677,113013,113799,113540,114383,116888,118348,120180,120228,119358,120370,122773,124559,127000,129124,130028,131030,132207,133014,133516,132156,128495,126818,127868,128694,128710,130195,130292,130842,120350,117729,122881,125401,126538,127040,127169,128997,131191,130475,129462,131595,134288,137956,137880,139697,140928,142847,143879,144035,144658,144711,142284,144505,144454,146502,146707,148014,149071,150766,153980,154100,154469,154756,155896,156568,158691,158785,158144,158293,160231,159166,158114,157093,154799,148912,150025,153487,156259,155960,155899,155568,154619,156698,154375,156696,156939,155768,155857,156885,153132,152833,155732,153648,153529,152859,154979,153249,154221,157517,160531,159609,161105,161823,160223,159941,159291,157670,154480,154816,154779,159256,155311,152200,150959,149319,147648,143659,141306,140116,140969,136829,133345,130838,126523,133769,135498,135485,137129,140898,141694,141216,142778,144620,146926,149510,153059,154078,152188,147995,144910
"61","53","  Furniture, furnishings, electronics, and appliance stores","S44230",24965,24765,24253,23634,23861,23492,23459,22896,22843,22893,22709,22484,22067,22088,22268,22196,21840,21618,21465,21168,21020,21083,21155,20992,21064,21218,20930,21120,21011,21252,21464,21494,21509,21532,21555,21911,21694,21920,22321,22260,22397,22898,22766,22965,22452,22806,23454,23018,22821,22399,22605,22556,22207,21793,21536,21414,21239,21347,21384,21251,21695,21757,21715,21647,21976,21755,22071,22006,22395,22430,22428,22418,22470,22631,22486,22680,22689,23127,23103,23096,23332,23785,23820,23736,23677,24013,24642,24988,25383,25327,25511,25957,25868,25647,26058,26893,26705,26754,26953,27114,27589,27828,27617,27607,27317,27076,27242,27606,27792,28032,28221,28176,28281,28256,28184,28183,28209,28128,28201,28365,28662,28965,28863,28669,28583,28751,28839,28775,28986,29474,29570,29407,29078,28812,28431,28639,28297,28403,28942,28961,29080,29009,27165,26695,26248,25770,25415,25303,25151,24896,24438,24287,24213,24385,23901,23803,23763,23489,23900,24023,24510,24594,24453,24534,24637,24491,24832,25098
"62","54","  Building material and garden equipment and supplies dealers","S4440",32112,32231,32421,32573,32730,32956,32949,33065,33369,33191,33182,33489,33599,34036,34053,34138,33701,34225,34499,35013,34998,34929,35257,35396,35635,35803,36041,36193,36298,36583,36846,36885,36827,37077,37245,37703,37829,38066,38017,38327,38326,38443,38604,38832,38909,38914,39203,38926,39095,39010,38932,39005,39288,39149,38803,39055,39032,39131,38991,38966,39200,39188,39608,39894,39813,39869,39896,39987,40363,40988,40749,40961,40477,41156,41330,41089,41059,41326,41381,41602,42483,42444,42643,42829,42807,43463,44154,44972,45691,45933,46326,46638,46655,47250,47453,48150,49389,49311,49083,48558,48877,48929,48852,48992,49856,50429,51390,52182,52774,51849,52744,52664,52654,53027,53750,54495,54148,53935,54001,53906,53653,54040,53472,54880,54731,54917,54710,54498,53813,54346,54428,54551,54849,54583,54612,54951,55309,55696,56095,56437,56296,55691,55255,53833,52827,52389,52335,51132,50372,49593,49110,48836,48812,48394,47450,47797,47977,48289,48841,48938,49200,48484,48023,47854,48192,48342,48694,49010
"63","55","  Food and beverage stores","S4450",27421,27495,27676,27625,27747,27627,27492,27860,28067,27960,28077,27832,27919,27832,28120,28422,28363,28600,28824,28780,28712,28748,29077,29227,29617,29566,29611,29511,29882,30106,30219,30483,30865,30901,30838,30924,30815,30876,31015,31168,31409,30762,30525,30539,30880,31058,30823,30999,31289,31604,31717,31825,31876,31908,31801,31941,32103,32189,32144,32103,32147,32419,32328,31808,31581,31660,31626,31784,32143,31549,31680,32103,32050,32133,32270,32180,32060,31814,32011,32242,32907,32867,32953,33007,32934,32803,33167,33621,34011,33836,33709,33733,34102,34459,34653,34376,34587,34695,34729,34819,34735,34613,34323,34479,34250,34717,35036,35200,35260,35008,34981,35164,35290,35426,35795,36200,36532,36468,36480,36851,37169,37467,38010,37694,37904,38037,38198,38725,39185,39896,40216,40860,41177,41428,41618,41967,42106,42434,42595,42683,42789,42762,42353,41842,42062,41897,41901,41846,41797,41491,41370,41009,41279,41647,42108,41819,42343,42509,43001,42702,42154,41799,41676,41913,42273,42366,42709,43190
"64","56","  Clothing and clothing accessories stores","S4480",26406,26708,26106,26890,27017,26904,27008,26855,27267,27251,27191,27458,27643,27578,27988,28122,27982,28298,28377,28469,28860,28782,28795,28757,29040,29288,29088,29197,29307,29543,29289,29244,29041,29286,29585,30160,29636,30267,30685,30927,31442,31201,31595,32043,32027,32570,32574,32830,32572,32802,32703,32562,32319,32409,32184,32160,32369,32714,31886,31715,31902,31563,31265,31708,31804,32230,32771,32768,33017,33016,33099,33650,34108,34127,34246,34067,34082,34018,34197,34248,34199,34152,34604,34652,34794,34984,35050,35647,35873,35915,36015,36493,36701,37038,37407,37536,38021,38317,38448,38356,38212,38725,38692,38895,39246,39594,39456,39661,39744,40298,41149,41715,42427,42878,43080,43362,43610,43772,44373,45254,45290,46054,45634,45260,45474,45215,45141,45382,45680,45494,45500,45804,45964,46088,45870,46051,45560,45498,45715,45307,45302,45131,44682,44164,43777,43891,43094,42538,42703,42601,42062,41736,41155,41077,40885,40529,40233,39951,40026,40154,40420,40501,40516,40610,40689,41030,41104,41911
"65","57","  General merchandise stores","S4520",57593,58091,57874,58522,58526,58684,58607,58186,58429,58046,57932,58252,58345,58398,58528,58659,57804,58686,59023,59056,59451,59535,59476,59404,59415,59572,60106,60520,60630,60726,60957,61272,61443,61169,62113,62433,62719,63026,62659,62764,63074,63352,63000,63094,63146,63621,63555,63730,64093,64271,65353,65080,65557,65635,65083,66016,65615,65566,64812,64166,63931,64101,63454,63205,63689,63259,64176,64341,64257,64260,65180,65488,65506,65286,65724,66678,66093,66118,66424,65986,66869,67701,67140,67323,67607,68132,69095,69426,69747,70288,70001,70408,70525,70847,71918,72692,72903,73179,74491,74420,74592,74521,74159,75106,75290,75031,75185,75752,75401,74922,75343,74150,74990,75242,76276,77041,77233,78095,78559,78728,79162,79761,79810,80050,80363,80301,79846,80022,80026,80445,79671,81009,81718,81868,80445,81335,81301,81099,81741,81493,82081,82070,81502,80595,79875,78982,79454,78636,78527,78737,78305,77793,77503,77496,77233,77727,77107,76720,77977,78615,79223,79423,79768,80189,80487,80728,81137,82267
"66","58","    Department stores","S45210",41516,41875,41851,42248,42222,42385,42231,41935,42115,41960,41863,42098,42042,41953,41952,41907,41154,41760,42038,41933,42033,41870,41689,41535,41661,41463,41814,41977,41928,41903,41945,41948,41846,41512,42217,42311,42363,42504,42071,42053,42189,42160,41660,41648,41498,41907,41767,41687,41863,41837,42340,42169,42211,42051,41353,41844,41718,41149,40480,39948,39402,39459,38913,38459,38330,38215,38470,38345,38079,37760,38284,38376,38177,37720,37927,38547,37891,37697,37436,37050,37338,37593,37003,36960,37114,37146,37432,37543,37627,37593,37546,37702,37457,37737,37930,38049,38053,38142,39157,38302,38158,38219,38300,38375,38359,38162,38048,38438,37949,37581,37672,37542,37601,37304,37689,37995,38158,38401,38737,38824,39015,39133,38936,39163,39029,39192,39028,38927,38878,39218,38471,39151,38842,38931,38400,38321,38265,37744,37778,37396,37639,37738,37075,36617,36048,35551,35854,35468,35233,35317,34941,34730,34517,34253,33760,33635,33819,33673,33635,33767,34034,33867,34062,33984,33686,33892,33989,34394
"67","59","    Other general merchandise stores","S45290",16077,16216,16023,16274,16304,16299,16376,16251,16314,16086,16069,16154,16303,16445,16576,16752,16650,16926,16985,17123,17418,17665,17787,17869,17754,18109,18292,18543,18702,18823,19012,19324,19597,19657,19896,20122,20356,20522,20588,20711,20885,21192,21340,21446,21648,21714,21788,22043,22230,22434,23013,22911,23346,23584,23730,24172,23897,24417,24332,24218,24529,24642,24541,24746,25359,25044,25706,25996,26178,26500,26896,27112,27329,27566,27797,28131,28202,28421,28988,28936,29531,30108,30137,30363,30493,30986,31663,31883,32120,32695,32455,32706,33068,33110,33988,34643,34850,35037,35334,36118,36434,36302,35859,36731,36931,36869,37137,37314,37452,37341,37671,36608,37389,37938,38587,39046,39075,39694,39822,39904,40147,40628,40874,40887,41334,41109,40818,41095,41148,41227,41200,41858,42876,42937,42045,43014,43036,43355,43963,44097,44442,44332,44427,43978,43827,43431,43600,43168,43294,43420,43364,43063,42986,43243,43473,44092,43288,43047,44342,44848,45189,45556,45706,46205,46801,46836,47148,47873
"68","60","  Other retail stores","S44X0",58724,59593,59123,59454,59879,59998,60789,60172,61478,61868,62036,62080,62107,62930,64576,65009,65038,65880,66097,66101,66332,66509,67323,68396,68876,68389,69340,70151,70375,71133,71203,71845,72624,73000,73425,74431,74241,74944,75734,75050,76386,76959,76647,77365,77266,77693,77982,77817,77682,77693,77027,77499,77358,76597,76601,77099,76799,76043,74938,74942,74865,74516,74615,74659,75027,75411,75604,75548,76234,75623,75374,75481,76245,77062,77258,76384,75552,75383,76026,75671,75961,76341,77420,77258,77542,77953,78718,79352,79357,79726,79827,80515,81360,82207,83030,83071,83372,84385,84362,84841,84671,85098,85242,86412,87457,86812,86974,87362,88480,88156,88836,89657,90277,91223,90398,91385,91150,91081,91794,92788,92815,93805,94705,94442,96078,96009,96119,96565,96824,98029,98354,99972,100434,100634,100775,100938,101585,101818,102746,102293,101818,100186,96990,95534,95303,95221,94087,94200,94167,94570,94831,95030,94671,94662,95631,97132,97577,97563,97872,98219,97434,97244,97485,98359,99673,99550,100374,101420
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
