ProdLine,NAICS,PCEcode,SeasSource,NAICS_Desc,PCEcode_Desc
0335,451220,RTD,BEA,Prerecorded Tape & CD & Record Stores,Prerecorded and blank audio discs/tapes/digital files/downloads
0335,452110,RTD,Census,Department Stores (exc Discount) (2002),Prerecorded and blank audio discs/tapes/digital files/downloads
0335,452910,RTD,Census,Warehouse Clubs & Superstores,Prerecorded and blank audio discs/tapes/digital files/downloads
0335,454100,RTD,Census,Electronic Shopping & Mail-Order Houses,Prerecorded and blank audio discs/tapes/digital files/downloads
0338,451211,RTD,BEA,Book Stores,Prerecorded and blank audio discs/tapes/digital files/downloads
0338,454100,RTD,Census,Electronic Shopping & Mail-Order Houses,Prerecorded and blank audio discs/tapes/digital files/downloads
0323,443112,OVE,BEA,Radio & Television & Other Electronics Stores,"Video cassettes and discs, blank and prerecorded"
0323,451220,OVE,BEA,Prerecorded Tape & CD & Record Stores,"Video cassettes and discs, blank and prerecorded"
0325,454100,OVE,Census,Electronic Shopping & Mail-Order Houses,"Video cassettes and discs, blank and prerecorded"
0440,443112,CAM,BEA,Radio & Television & Other Electronics Stores,Photographic equipment
0440,443130,CAM,BEA,Camera & Photographic Supplies Stores,Photographic equipment
0440,446110,CAM,Census,Pharmacies & Drug Stores,Photographic equipment
0440,452110,CAM,Census,Department Stores (exc Discount) (2002),Photographic equipment
0440,452910,CAM,Census,Warehouse Clubs & Superstores,Photographic equipment
0440,454100,CAM,Census,Electronic Shopping & Mail-Order Houses,Photographic equipment
0375,443112,CPP,BEA,Radio & Television & Other Electronics Stores,Personal computers and peripheral equipment
0375,443120,CPP,Census,Computer & Software Stores,Personal computers and peripheral equipment
0375,452910,CPP,Census,Warehouse Clubs & Superstores,Personal computers and peripheral equipment
0375,453210,CPP,Census,Office Supplies & Stationery Stores,Personal computers and peripheral equipment
0375,454100,CPP,Census,Electronic Shopping & Mail-Order Houses,Personal computers and peripheral equipment
0376,443112,CPS,BEA,Radio & Television & Other Electronics Stores,Computer software and accessories
0376,443120,CPS,Census,Computer & Software Stores,Computer software and accessories
0376,452110,CPS,Census,Department Stores (exc Discount) (2002),Computer software and accessories
0376,452910,CPS,Census,Warehouse Clubs & Superstores,Computer software and accessories
0376,453210,CPS,Census,Office Supplies & Stationery Stores,Computer software and accessories
0376,454100,CPS,Census,Electronic Shopping & Mail-Order Houses,Computer software and accessories
0854,443112,OIP,BEA,Radio & Television & Other Electronics Stores,"Calculators, typewriters, and other information processing equipment"
0854,443120,OIP,Census,Computer & Software Stores,"Calculators, typewriters, and other information processing equipment"
0854,452110,OIP,Census,Department Stores (exc Discount) (2002),"Calculators, typewriters, and other information processing equipment"
0854,452910,OIP,Census,Warehouse Clubs & Superstores,"Calculators, typewriters, and other information processing equipment"
0854,453210,OIP,Census,Office Supplies & Stationery Stores,"Calculators, typewriters, and other information processing equipment"
0854,454100,OIP,Census,Electronic Shopping & Mail-Order Houses,"Calculators, typewriters, and other information processing equipment"
0854,454390,OIP,BEA,Other Direct Selling Establishments,"Calculators, typewriters, and other information processing equipment"
0500,441221,SPG,BEA,Motorcycle Dealers,"Sporting equipment, supplies, guns, and ammunition"
0500,441222,SPG,BEA,Boat Dealers,"Sporting equipment, supplies, guns, and ammunition"
0500,451110,SPG,BEA,Sporting Goods Stores,"Sporting equipment, supplies, guns, and ammunition"
0500,452110,SPG,Census,Department Stores (exc Discount) (2002),"Sporting equipment, supplies, guns, and ammunition"
0500,452910,SPG,Census,Warehouse Clubs & Superstores,"Sporting equipment, supplies, guns, and ammunition"
0500,454100,SPG,Census,Electronic Shopping & Mail-Order Houses,"Sporting equipment, supplies, guns, and ammunition"
0712,441221,NMC,BEA,Motorcycle Dealers,New motorcycles
0713,441221,UMC,BEA,Motorcycle Dealers,Used motorcycles
0512,451110,BCY,BEA,Sporting Goods Stores,Bicycles and accessories
0512,451120,BCY,BEA,Hobby & Toy & Game Stores,Bicycles and accessories
0512,452110,BCY,Census,Department Stores (exc Discount) (2002),Bicycles and accessories
0512,452910,BCY,Census,Warehouse Clubs & Superstores,Bicycles and accessories
0513,451110,BOA,BEA,Sporting Goods Stores,Pleasure boats
0514,441221,BOA,BEA,Motorcycle Dealers,Pleasure boats
0514,441222,BOA,BEA,Boat Dealers,Pleasure boats
0519,452110,BOA,Census,Department Stores (exc Discount) (2002),Pleasure boats
0519,452910,BOA,Census,Warehouse Clubs & Superstores,Pleasure boats
0519,454100,BOA,Census,Electronic Shopping & Mail-Order Houses,Pleasure boats
0515,441222,BOA,BEA,Boat Dealers,Pleasure boats
0857,441229,AIR,BEA,All Other Motor Vehicle Dealers,Pleasure aircraft
0714,441210,AIR,BEA,Recreational Vehicle Dealers,Pleasure aircraft
0714,441221,AIR,BEA,Motorcycle Dealers,Pleasure aircraft
0714,441222,AIR,BEA,Boat Dealers,Pleasure aircraft
0714,441229,AIR,BEA,All Other Motor Vehicle Dealers,Pleasure aircraft
0858,441229,AIR,BEA,All Other Motor Vehicle Dealers,Pleasure aircraft
0580,441110,REV,BEA,New Car Dealers,Other recreational vehicles
0580,441210,REV,BEA,Recreational Vehicle Dealers,Other recreational vehicles
0527,441221,REV,BEA,Motorcycle Dealers,Other recreational vehicles
0527,441222,REV,BEA,Boat Dealers,Other recreational vehicles
0527,441229,REV,BEA,All Other Motor Vehicle Dealers,Other recreational vehicles
0421,451211,RBK,BEA,Book Stores,Recreational books
0421,452110,RBK,Census,Department Stores (exc Discount) (2002),Recreational books
0421,452910,RBK,Census,Warehouse Clubs & Superstores,Recreational books
0421,453300,RBK,BEA,Used Merchandise Stores,Recreational books
0421,454100,RBK,Census,Electronic Shopping & Mail-Order Houses,Recreational books
0422,451211,RBK,BEA,Book Stores,Recreational books
0422,452110,RBK,Census,Department Stores (exc Discount) (2002),Recreational books
0422,452910,RBK,Census,Warehouse Clubs & Superstores,Recreational books
0422,453300,RBK,BEA,Used Merchandise Stores,Recreational books
0422,454100,RBK,Census,Electronic Shopping & Mail-Order Houses,Recreational books
0423,451211,RBK,BEA,Book Stores,Recreational books
0423,452110,RBK,Census,Department Stores (exc Discount) (2002),Recreational books
0423,452910,RBK,Census,Warehouse Clubs & Superstores,Recreational books
0423,453300,RBK,BEA,Used Merchandise Stores,Recreational books
0423,454100,RBK,Census,Electronic Shopping & Mail-Order Houses,Recreational books
0332,451140,MSC,BEA,Musical Instrument & Supplies Stores,Musical instruments
0332,451211,MSC,BEA,Book Stores,Musical instruments
0334,451140,MSC,BEA,Musical Instrument & Supplies Stores,Musical instruments
0334,451211,MSC,BEA,Book Stores,Musical instruments
0337,443112,MSC,BEA,Radio & Television & Other Electronics Stores,Musical instruments
0337,451211,MSC,BEA,Book Stores,Musical instruments
0337,452110,MSC,Census,Department Stores (exc Discount) (2002),Musical instruments
0337,454100,MSC,Census,Electronic Shopping & Mail-Order Houses,Musical instruments
0400,448120,JLY,Census,Womens' Clothing Stores,Jewelry
0400,448140,JLY,BEA,Family Clothing Stores,Jewelry
0400,448150,JLY,BEA,Clothing Accessories Stores,Jewelry
0400,448310,JLY,Census,Jewelry Stores,Jewelry
0400,452110,JLY,Census,Department Stores (exc Discount) (2002),Jewelry
0400,452910,JLY,Census,Warehouse Clubs & Superstores,Jewelry
0400,454100,JLY,Census,Electronic Shopping & Mail-Order Houses,Jewelry
0400,454390,JLY,BEA,Other Direct Selling Establishments,Jewelry
0406,448310,WTC,Census,Jewelry Stores,Watches
0406,454100,WTC,Census,Electronic Shopping & Mail-Order Houses,Watches
0406,454390,WTC,BEA,Other Direct Selling Establishments,Watches
0164,445110,TME,BEA,Grocery (except Convenience) Stores,Therapeutic medical equipment
0164,446110,TME,Census,Pharmacies & Drug Stores,Therapeutic medical equipment
0164,446199,TME,Census,All Other Health & Personal Care Stores,Therapeutic medical equipment
0164,452110,TME,Census,Department Stores (exc Discount) (2002),Therapeutic medical equipment
0164,452990,TME,Census,All Other General Merchandise Stores,Therapeutic medical equipment
0164,454100,TME,Census,Electronic Shopping & Mail-Order Houses,Therapeutic medical equipment
0164,454390,TME,BEA,Other Direct Selling Establishments,Therapeutic medical equipment
0490,446130,EYE,BEA,Optical Goods Stores,Corrective eyeglasses and contact lenses
0490,448140,EYE,BEA,Family Clothing Stores,Corrective eyeglasses and contact lenses
0490,452110,EYE,Census,Department Stores (exc Discount) (2002),Corrective eyeglasses and contact lenses
0490,452910,EYE,Census,Warehouse Clubs & Superstores,Corrective eyeglasses and contact lenses
0490,454100,EYE,Census,Electronic Shopping & Mail-Order Houses,Corrective eyeglasses and contact lenses
9939,446130,EYE,BEA,Optical Goods Stores,Corrective eyeglasses and contact lenses
0425,451211,EBK,BEA,Book Stores,Educational books
0425,452110,EBK,Census,Department Stores (exc Discount) (2002),Educational books
0425,452910,EBK,Census,Warehouse Clubs & Superstores,Educational books
0425,453300,EBK,BEA,Used Merchandise Stores,Educational books
0425,454100,EBK,Census,Electronic Shopping & Mail-Order Houses,Educational books
0859,448140,LUG,BEA,Family Clothing Stores,Luggage and similar personal items
0859,448150,LUG,BEA,Clothing Accessories Stores,Luggage and similar personal items
0859,448320,LUG,Census,Luggage & Leather Goods Stores,Luggage and similar personal items
0859,452110,LUG,Census,Department Stores (exc Discount) (2002),Luggage and similar personal items
0859,452910,LUG,Census,Warehouse Clubs & Superstores,Luggage and similar personal items
0859,454100,LUG,Census,Electronic Shopping & Mail-Order Houses,Luggage and similar personal items
0865,443112,TCE,BEA,Radio & Television & Other Electronics Stores,Telephone and facsimile equipment
0865,443120,TCE,Census,Computer & Software Stores,Telephone and facsimile equipment
0865,452110,TCE,Census,Department Stores (exc Discount) (2002),Telephone and facsimile equipment
0865,452910,TCE,Census,Warehouse Clubs & Superstores,Telephone and facsimile equipment
0865,452990,TCE,Census,All Other General Merchandise Stores,Telephone and facsimile equipment
0111,445110,GRA,BEA,Grocery (except Convenience) Stores,Cereals
0111,452110,GRA,Census,Department Stores (exc Discount) (2002),Cereals
0111,452910,GRA,Census,Warehouse Clubs & Superstores,Cereals
0105,445110,BAK,BEA,Grocery (except Convenience) Stores,Bakery products
0105,452110,BAK,Census,Department Stores (exc Discount) (2002),Bakery products
0105,452910,BAK,Census,Warehouse Clubs & Superstores,Bakery products
0106,445110,BAK,BEA,Grocery (except Convenience) Stores,Bakery products
0106,445291,BAK,BEA,Baked Goods Stores,Bakery products
0106,452110,BAK,Census,Department Stores (exc Discount) (2002),Bakery products
0106,452910,BAK,Census,Warehouse Clubs & Superstores,Bakery products
0101,445110,BEE,BEA,Grocery (except Convenience) Stores,Beef and veal
0101,445210,BEE,BEA,Meat Markets,Beef and veal
0101,452110,BEE,Census,Department Stores (exc Discount) (2002),Beef and veal
0101,452910,BEE,Census,Warehouse Clubs & Superstores,Beef and veal
0101,445110,POR,BEA,Grocery (except Convenience) Stores,Pork
0101,445210,POR,BEA,Meat Markets,Pork
0101,452110,POR,Census,Department Stores (exc Discount) (2002),Pork
0101,452910,POR,Census,Warehouse Clubs & Superstores,Pork
0101,445110,MEA,BEA,Grocery (except Convenience) Stores,Other meats
0101,445210,MEA,BEA,Meat Markets,Other meats
0101,452110,MEA,Census,Department Stores (exc Discount) (2002),Other meats
0101,452910,MEA,Census,Warehouse Clubs & Superstores,Other meats
0101,445110,POU,BEA,Grocery (except Convenience) Stores,Poultry
0101,445210,POU,BEA,Meat Markets,Poultry
0101,452110,POU,Census,Department Stores (exc Discount) (2002),Poultry
0101,452910,POU,Census,Warehouse Clubs & Superstores,Poultry
0101,445110,FIS,BEA,Grocery (except Convenience) Stores,Fish and seafood
0101,445210,FIS,BEA,Meat Markets,Fish and seafood
0101,452110,FIS,Census,Department Stores (exc Discount) (2002),Fish and seafood
0101,452910,FIS,Census,Warehouse Clubs & Superstores,Fish and seafood
0104,445110,MIL,BEA,Grocery (except Convenience) Stores,Fresh milk
0104,452110,MIL,Census,Department Stores (exc Discount) (2002),Fresh milk
0104,452910,MIL,Census,Warehouse Clubs & Superstores,Fresh milk
0104,445110,DAI,BEA,Grocery (except Convenience) Stores,Processed dairy products
