"Code","sumril2004q1","sumril2004q2","sumril2004q3","sumril2004q4","sumril2005q1","sumril2005q2","sumril2005q3","sumril2005q4","sumril2006q1","sumril2006q2","sumril2006q3","sumril2006q4","sumril2007q1","sumril2007q2","sumril2007q3","sumril2007q4","sumril2008q1","sumril2008q2","sumril2008q3","sumril2008q4","sumril2009q1","sumril2009q2","sumril2009q3","sumril2009q4","sumril2010q1","sumril2010q2","sumril2010q3","sumril2010q4","sumril2011q1","sumril2011q2","sumril2011q3","sumril2011q4","sumril2012q1","sumril2012q2","sumril2012q3","sumril2012q4","sumril2013q1","sumril2013q2","sumril2013q3","sumril2013q4","sumril2014q1","sumril2014q2","sumril2014q3","sumril2014q4","sumril2015q1","sumril2015q2","sumril2015q3","sumril2015q4"
"MIC",0,0,0,0,0,0,0,0,-2,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13
"MIL",41,54,56,11,-3,37,-4,-4,8,-7,-22,4,28,4,-46,-61,182,62,34,-193,-190,-25,-60,14,-12,-12,-28,4,19,17,-9,-17,-3,6,-24,-8,75,13,-4,-37,-110,-2,66,46,95,2,19,48
"MIN",0,0,0,0,0,0,0,-963,0,0,0,-486,0,0,0,0,0,0,0,-394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLB",-179,-13,-3,0,180,-8,0,-3,-21,-13,0,5,206,0,-155,-12,177,43,63,-23,48,-15,5,-102,124,321,-157,-150,230,-179,-445,-188,7,-219,-67,-304,-77,-7,-143,297,-1296,54,175,354,746,455,386,25
"MLS",532,2004,623,1272,1,405,550,-808,894,-662,251,-3100,-40,1180,676,-130,-1250,-159,1805,1723,465,503,-1636,189,-1831,-7,-342,-1239,-207,673,90,-350,513,-61,680,19,35,1150,200,-1587,1662,970,986,230,990,268,-978,-789
"MLT",244,382,289,-187,-2,321,197,-185,118,102,-299,-270,300,126,-161,-68,428,83,279,399,-463,-391,-65,155,21,-82,-9,-151,-85,65,83,-228,77,-136,-229,119,136,160,84,-183,-729,141,15,210,342,-108,29,209
"MMC",-24,182,409,-98,34,23,122,-156,101,-116,233,298,237,113,-452,-480,331,279,-927,476,-1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOE",-581,1284,717,776,82,254,1355,383,867,11,330,948,36,108,-305,1357,741,879,1269,1861,65,-404,-1269,-377,-617,-177,-717,-463,63,788,96,-379,502,553,236,770,297,621,-162,-1376,-282,904,433,1514,270,606,-193,1068
"MOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,-4984,1421,-148,-352,1768,2619,-701,-1685,3739,-354,-4418,460,3439,-3317,-3089,-427,-73,-1767,1606,-1445,25,-2650,-336,-909,-2094,-1423
"MOT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4641,-7230,1105,51,-2073,3045,3251,-2882,-3340,4533,1237,-5966,863,2634,-2355,-1614,-506,-1616,-444,2187,-1299,619,-2774,-24,-1210,-2790,-1374
"MOV",0,0,0,120,0,0,0,96,0,0,0,-35,0,0,0,97,0,0,0,-292,0,0,0,-61,0,0,0,-26,0,0,0,422,0,0,0,-108,0,0,0,-141,0,0,16,-449,1,4,0,345
"MPC",209,395,889,158,139,36,1028,-249,297,-34,-118,172,955,448,-1221,-1755,1329,551,-2459,1512,-3658,0,0,0,0,693,-275,-271,-909,598,-374,-313,-627,226,-819,-1151,-1891,-1734,-964,-434,400,635,607,724,171,869,794,876
"MSC",-86,-4,-58,-33,-24,-12,-1,-46,5,-173,107,-206,11,0,-32,-34,-111,21,-36,-306,-101,77,-34,79,54,45,5,-21,-49,16,106,67,221,119,88,-12,67,-90,-49,-25,-114,-25,-45,-30,53,-4,35,-26
"MSE",0,0,0,-71,0,0,0,-5,0,0,0,34,0,0,0,99,0,1,0,112,0,0,0,-223,0,-118,123,471,43,503,312,-3,-145,73,89,233,-95,-115,-89,297,149,77,-122,421,-195,-154,-49,-531
"MSG",3,-1,0,-2,0,0,0,0,-7,-5,1,-2,7,0,-3,6,-2,7,-6,7,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,60,0,0,0,161,0,0,0,-13,0,0,0,-4,0,0,0,-68,0,0,0,-96
"MUG",-7,12,-6,0,1,-3,12,5,3,5,5,-11,10,18,3,-27,8,6,-17,-20,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",24,18,17,-49,5,-4,35,-24,20,15,22,-58,39,28,46,24,21,-10,-11,47,2,5,-6,-64,-21,61,-77,44,-46,27,-85,3,-74,8,77,59,-23,69,48,-28,-9,-2,-19,16,-12,157,-135,-8
"MUT",-568,331,348,-391,-1,149,579,-529,416,-954,390,-168,90,-1355,46,83,-1751,-261,54,-619,1297,384,-4,1108,224,-437,1069,606,-361,1571,-2209,478,-44,395,225,-1274,-199,-342,-69,-262,359,672,-1472,291,1014,608,-428,487
"MVL",413,32,7,598,1,-68,-181,10,-463,61,-405,-140,297,-428,266,970,-284,208,-50,-28,-132,54,178,-152,150,-101,-62,73,-88,-150,-14,23,-45,2,-127,78,91,-49,-12,159,310,-31,15,54,109,-158,-98,34
"MVP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-430,175,181,350,-103,-131,660,126,-319,-393,-344,-193,11,-139,186,-85,14,89,-317,15,55,-70,-22,364,-48,17
