"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"63","55","          Services","A988RA3",21.264,21.812,22.419,22.991,23.573,23.775,24.535,25.003,25.512,26.071,26.511,26.986,27.534,27.92,28.287,28.546,28.6,28.769,29.198,29.846,30.229,30.566,30.94,31.514,32.532,33.172,33.555,33.55,33.114,33.085,33.081,33.089,33.194,33.283,33.455,33.865,34.027,34.372,34.611,34.84,34.773,34.742,34.53,34.215,33.803,33.565,33.197,33.1,33.074,33.468,33.943,34.335,34.881,35.506,36.005,36.766,38.144,38.536,38.983,39.512,39.773,40.366,41.029,41.881,43.203,44.222,44.967,46.095,47.307,47.979,48.617,48.85,48.809,48.907,48.995,49.42,49.814,50.244,50.834,51.342,52.328,52.982,53.399,54.162,54.358,54.633,55.13,56.023,56.949,57.715,58.479,59.218,60.001,60.619,61.336,62.032,62.941,63.219,63.924,64.636,66.106,66.843,67.621,68.352,68.849,69.414,69.893,70.297,70.733,71.176,71.642,72.317,73.329,74.407,75.665,77.206,78.633,80.277,81.825,83.126,84.828,85.978,86.86,87.763,88.024,88.81,89.889,91.389,93.584,95.235,96.686,97.994,99.43,100.054,100.24,99.982,98.196,97.239,96.535,96.073,96.29,96.37,96.238,96.299,96.191,96.191,96.271,96.592,96.995,97.358,97.663,98.005,98.557,98.625,98.338,97.189,95.555,94.863,95.076,95.932,97.972,99.825,100.836,101.367,98.39,97.008,95.94,94.634,92.519,92.407,92.546,92.443,92.574,92.889,93.353,93.927,94.708,95.34,95.562,95.8,96.029,96.344,96.718,97.17
"64","56","      Less: Own-account investment \4\","W144RA3",30.97,31.055,31.71,31.797,31.675,31.767,33.339,32.095,32.837,33.052,31.635,32.913,31.956,33.071,31.418,32.708,32.432,31.695,31.753,32.867,33.779,34.67,34.197,32.4,34.044,31.792,32.5,32.473,29.323,30.881,32.25,30.004,29.314,30.288,29.786,27.825,26.396,30.236,33.18,36.404,32.459,35.002,36.364,37.552,37.503,36.723,36.149,36.975,36.053,36.151,35.842,36.604,36.052,37.11,36.868,37.276,35.84,36.437,38.193,38.469,37.914,39.351,41.898,42.682,41.97,43.444,44.568,45.793,45.305,47.661,49.555,49.534,49.355,49.095,50.642,50.666,50.906,52.237,52.417,53.693,54.673,56.225,57.461,59.046,59.833,59.197,59.18,60.582,61.212,61.947,62.348,62.816,63.224,61.83,60.676,60.174,60.338,61.599,61.765,61.809,60.951,61.709,63.085,63.221,62.599,63.248,62.79,63.33,63.804,64.586,64.573,65.887,71.018,70.606,69.588,69.415,69.483,71.811,73.564,73.625,74.766,74.727,74.591,77.511,79.751,78.375,80.542,80.466,83.599,87.18,86.373,87.25,88.257,87.835,87.99,88.067,87.109,86.858,88.11,87.831,87.516,88.767,88.532,88.604,88.927,90.798,91.327,92.741,92.845,95.075,95.205,95.429,96.419,97.27,97.748,98.549,98.836,99.836,100.128,100.609,101.381,101.464,99.979,97.176,95.226,96.423,96.514,94.482,93.83,93.977,94.193,94.396,92.48,92.298,91.379,90.063,89.678,91.015,91.183,91.043,89.933,92.295,93.011,93.751
"65","57","      Less: Sales to other sectors","W145RA3",30.792,30.925,31.152,31.328,31.584,32.052,32.557,33.198,34.115,34.769,35.468,36.055,36.626,37.305,37.786,38.52,39.093,39.184,38.671,39.469,39.198,38.988,38.744,38.936,39.294,39.504,39.102,40.07,41.007,41.531,41.835,42.738,42.789,42.84,43.185,44.164,44.578,45.064,45.685,46.328,46.912,47.499,47.844,48.099,47.961,48.132,48.42,48.959,49.511,50.056,50.464,50.819,51.086,51.293,51.595,51.93,52.622,53.283,53.601,53.588,53.251,53.264,53.367,53.812,54.479,55.114,55.541,56.189,56.765,57.181,57.519,57.799,58.092,58.382,58.552,58.829,59.169,59.522,59.861,60.274,60.831,61.241,61.549,61.869,62.082,62.372,62.692,63.178,63.764,64.301,64.938,65.677,66.451,67.188,67.96,68.692,69.798,70.353,71.034,71.718,72.311,72.712,73.334,74.053,74.962,75.429,75.897,76.323,76.594,76.826,77.202,77.791,78.528,79.116,80.004,81.015,81.373,81.852,82.373,82.801,83.194,83.881,84.569,85.48,86.702,87.864,88.996,90.363,91.942,93.014,93.841,94.562,94.835,95.166,95.411,95.567,95.474,95.642,95.829,96.022,96.368,96.554,96.634,96.684,96.959,97.032,97.048,97.134,98.907,99.212,99.497,98.939,99.254,99.726,100.071,99.597,99.058,98.873,98.876,98.929,99.07,99.668,100.334,100.928,101.325,101.829,102.386,103.116,102.424,102.503,102.692,102.774,103.014,103.351,103.795,104.291,104.898,105.313,105.456,105.514,105.62,105.778,106.063,106.466
"66","58","        Tuition and related educational charges","B1065A3",40.136,41.079,42.348,44.113,46.218,48.198,49.742,51.12,53.262,54.772,55.581,56.301,56.987,57.972,58.567,59.964,63.487,64.011,59.56,64.764,64.231,61.569,60.728,64.476,65.135,63.971,58.71,63.54,65.005,64.638,62.749,67.082,67.863,67.058,65.862,69.284,69.613,70.332,71.48,73.333,72.333,72.703,73.129,74.674,74.977,75.113,75.841,76.668,76.526,77.029,77.749,77.835,77.141,76.937,77.246,77.284,79.039,79.364,79.651,79.812,79.664,79.307,79.211,79.209,79.297,79.432,79.263,79.142,79.583,79.816,80.105,80.25,79.87,80.065,80.581,81.297,81.839,82.573,83.261,84.092,84.674,85.154,85.784,86.199,86.621,87.019,87.413,88.38,88.583,88.897,88.785,88.772,90.003,90.348,90.727,90.67,89.961,89.347,89.043,88.945,89.261,89.167,89.472,89.753,89.912,89.729,89.53,89.775,89.671,89.647,90.026,90.664,91.16,91.76,92.266,93.02,93.506,94.183,94.919,95.768,96.294,96.875,97.761,98.733,99.818,100.306,101.293,101.711,101.612,101.597,101.243,100.957,100.993,101.12,101.541,102.05,102.357,102.263,100.87,100.044,98.957,98.491,97.833,97.543,97.874,97.861,98.249,98.929,99.101,99.284,99.368,99.177,99.235,99.093,98.995,98.938,98.582,98.55,98.996,99.312,99.933,100.19,99.966,99.911,101.302,101.719,102.482,103.62,102.159,101.887,101.195,100.726,100.653,100.98,101.6,102.336,103.478,103.837,104.475,104.611,104.82,105.082,105.397,105.713
"67","59","        Health and hospital charges","B1066A3",25.478,25.473,25.498,25.391,25.231,25.417,26.034,27.012,28.42,29.639,30.825,31.987,33.01,34.211,35.069,36.262,37.376,38.122,38.88,39.357,39.478,39.691,39.704,39.58,39.948,40.506,40.897,41.411,42.446,43.178,43.56,43.805,43.524,43.49,44.122,45.033,46.283,46.994,47.412,47.791,50.516,51.23,51.405,51.232,51.322,51.32,51.591,51.863,54.229,54.885,55.058,54.927,56.257,56.544,56.375,56.469,57.1,58.151,58.231,57.923,56.874,56.429,56.249,56.35,57.086,57.455,57.967,58.65,58.92,59.221,59.482,59.595,59.362,59.384,59.331,59.295,59.339,59.278,59.38,59.459,59.739,59.847,59.865,59.943,60.107,60.272,60.597,60.922,61.73,62.51,63.43,64.436,65.252,66.215,67.174,68.077,69.356,70.266,70.975,71.891,72.409,72.969,73.653,74.62,75.987,76.627,77.089,77.118,76.461,76.229,76.29,76.553,77.109,77.587,78.501,79.79,80.099,80.36,80.669,80.982,81.01,81.513,82.087,82.853,83.781,85.168,86.342,88.193,91.065,92.749,93.91,94.644,94.217,93.919,93.334,92.647,91.934,91.601,91.847,92.114,92.413,92.553,92.252,91.67,90.459,89.912,89.785,90.168,91.305,92.202,93.003,93.752,94.413,94.862,95.211,95.442,95.992,96.585,97.444,98.407,99.197,99.885,100.402,100.516,101.193,101.792,102.434,103.206,102.998,103.384,104.12,104.728,105.441,105.761,106.073,106.487,106.471,106.877,106.877,106.87,107.083,107.351,107.673,107.996
"68","60","        Other sales \5\","W146RA3",29.052,29.088,29.201,29.205,29.311,29.592,29.754,29.961,30.211,30.262,30.561,30.697,30.901,31.115,31.286,31.511,31.057,30.638,30.237,30.214,29.785,29.848,29.598,29.237,29.489,29.732,29.891,30.233,30.902,31.42,32.11,32.631,32.748,33.03,33.478,33.887,33.709,33.946,34.533,35.043,34.419,34.904,35.315,35.579,35.204,35.489,35.67,36.29,35.592,36.01,36.491,37.245,36.861,37.082,37.741,38.323,38.766,39.128,39.641,39.844,40.108,40.618,41.019,41.864,42.585,43.564,44.052,44.845,45.718,46.274,46.685,47.148,48.122,48.685,48.964,49.409,49.965,50.605,51.065,51.679,52.492,53.178,53.685,54.225,54.421,54.804,55.085,55.585,56.021,56.335,56.871,57.525,58.073,58.652,59.313,60.096,61.617,62.145,63.141,63.817,64.601,64.986,65.645,66.208,66.818,67.314,68.051,69.043,70.639,71.56,72.329,73.303,74.359,75.074,76.08,76.846,77.209,77.876,78.566,78.953,79.74,80.698,81.438,82.498,84.133,85.31,86.449,87.629,88.344,89.139,90.087,91.259,92.535,93.766,94.995,96.068,96.585,97.538,98.456,99.083,100.253,100.853,101.851,102.945,105.195,106.159,106.158,105.504,109.071,108.639,108.338,105.77,105.768,106.645,107.255,105.578,103.463,102.143,100.729,99.399,98.356,99.033,100.467,102.143,101.513,101.953,102.26,102.663,101.82,101.711,101.753,101.5,101.316,101.686,102.189,102.629,103.707,104.174,104.156,104.249,104.132,104.066,104.277,104.852
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures, software, and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
