"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"39","31","        Information processing equipment and software","A679RA3",1.045,1.136,1.218,1.276,1.319,1.34,1.298,1.315,1.294,1.397,1.433,1.498,1.576,1.581,1.621,1.674,1.772,1.858,1.92,2.048,2.092,2.093,2.235,2.299,2.234,2.161,2.143,2.149,2.22,2.381,2.535,2.739,2.777,2.921,3.035,3.238,3.436,3.779,4.009,4.237,4.429,4.515,4.751,5.012,5.232,5.314,5.6,5.698,5.962,6.153,6.421,6.741,6.998,6.724,6.767,6.635,7.12,7.639,8.047,8.776,9.096,9.773,10.285,10.91,10.849,11.185,11.065,11.498,11.726,12.085,11.976,12.453,12.292,12.591,13.173,13.175,13.54,14.175,14.507,14.765,15.289,16.085,16.631,16.898,17.141,17.072,16.862,17.298,17.129,17.625,18.226,18.861,19.281,20.353,21.452,21.822,22.409,22.866,24.056,24.499,25.275,25.904,26.659,27.834,29.129,30.576,31.238,33.055,34.808,36.326,38.059,39.365,41.85,44.235,47.616,49.458,52.758,55.009,56.816,60.257,63.571,68.307,71.452,72.067,76.892,80.842,82.324,84.971,84.878,81.34,79.145,78.252,77.759,78.453,80.027,78.413,80.729,81.935,86.516,90.57,90.78,92.313,93.971,95.822,97.117,99.09,101.317,102.476,106.769,107.518,109.863,110.415,114.885,115.411,117.517,121.973,122.657,122.736,120.297,113.766,111.504,112.676,116.506,120.784,122.282,125.43,128.038,131.401,131.506,134.328,134.713,136.774
"40","32","          Computers and peripheral equipment","B935RA3",0.006,0.007,0.008,0.009,0.01,0.01,0.009,0.009,0.009,0.012,0.014,0.016,0.02,0.019,0.02,0.019,0.019,0.021,0.02,0.024,0.023,0.023,0.033,0.033,0.031,0.027,0.026,0.029,0.032,0.04,0.043,0.05,0.051,0.057,0.063,0.074,0.086,0.111,0.132,0.154,0.166,0.181,0.203,0.233,0.241,0.282,0.344,0.371,0.416,0.432,0.484,0.594,0.637,0.567,0.585,0.583,0.735,0.852,0.975,1.039,1.194,1.372,1.57,1.754,1.715,1.882,1.805,1.991,2.107,2.209,2.055,2.129,2.433,2.599,2.817,2.833,2.861,3.025,3.136,3.184,3.385,3.742,3.837,3.876,3.83,3.66,3.47,3.706,3.594,3.724,4.068,4.544,4.62,5.372,5.828,5.97,6.479,6.67,7.327,7.45,7.933,8.306,8.729,9.734,10.785,12.508,13.501,15.536,16.811,18.084,19.704,20.959,23.32,26.037,29.395,30.817,35.258,38.506,40.573,44.945,51.002,57.048,59.515,58.743,61.997,68.828,71.206,72.391,75.265,70.601,65.676,69.726,73.416,71.932,75.416,74.104,76.449,76.869,81.277,86.645,84.779,87.1,90.678,95.408,93.424,96.614,101.152,108.81,115.862,120.198,128.085,128.366,136.32,134.657,141.009,149.591,157.387,160.738,151.47,136.328,133.728,137.699,146.067,169.092,173.822,190.785,195.149,205.532,201.997,223.733,230.203,242.88
"41","33","          Software \4\","B985RA3",0.541,0.6,0.669,0.735,0.789,0.828,0.827,0.803,0.796,0.836,0.88,0.941,0.976,1.006,1.037,1.033,1.075,1.121,1.175,1.237,1.267,1.286,1.366,1.469,1.59,1.597,1.57,1.561,1.591,1.682,1.757,1.834,1.778,1.785,1.78,1.809,1.907,2.039,2.182,2.347,2.448,2.578,2.699,2.829,2.92,3.024,3.174,3.335,3.435,3.528,3.662,3.85,4.108,4.212,4.214,4.18,4.42,4.723,5.128,5.43,5.698,5.983,6.393,6.833,7.083,7.366,7.438,7.698,7.909,8.222,8.381,8.584,8.867,9.235,9.621,10.006,10.413,10.901,11.501,12.16,13.026,13.973,15.017,15.942,16.504,17.054,16.9,17.85,18.429,19.026,19.505,20.407,21.299,22.275,23.14,24.181,24.65,25.095,25.703,26.185,26.973,27.609,28.27,28.769,29.187,30.063,31.149,32.38,33.686,35.096,36.59,38.68,42.745,45.026,47.889,50.867,52.778,54.645,57.326,60.631,63.578,68.179,71.96,74.255,76.83,78.943,79.108,81.519,82.142,80.278,79.331,76.924,77.626,79.681,81.482,79.453,81.3,82.163,86.857,90.18,91.307,91.92,94.747,97.468,97.881,100.279,100.866,100.973,102.024,103.129,104.821,106.764,109.593,109.72,110.609,112.003,115.113,115.303,115.559,114.126,112.279,113.668,114.58,116.48,115.579,116.005,118.001,120.36,120.968,123.327,125.728,127.493
"42","34","          Other","A937RA3",8.166,8.7,9.214,9.529,9.502,9.697,9.527,9.644,9.431,9.756,9.732,9.91,9.953,10.056,10.241,10.915,11.683,12.19,12.697,13.334,13.652,13.685,13.785,14.084,13.516,13.223,13.217,13.058,13.324,13.91,14.844,15.97,16.323,17.134,17.713,18.658,19.382,20.626,21.303,21.939,22.812,22.754,23.573,24.336,25.499,24.869,25.173,25.017,25.727,26.528,27.101,26.979,27.552,26.758,26.743,26.011,26.441,27.534,27.76,30.793,30.484,32.015,32.297,33.346,33.019,32.978,32.898,33.331,33.353,34.021,34.33,35.914,32.721,32.652,33.654,33.066,34.108,35.551,35.723,35.81,36.071,36.707,37.425,37.334,37.962,37.792,37.89,37.624,36.676,37.536,38.15,37.981,38.442,39.088,41.005,40.934,41.173,41.905,43.944,44.775,45.584,46.29,47.303,48.6,50.351,50.791,49.954,51.005,53.373,54.883,56.475,56.682,57.114,58.611,61.896,62.833,65.767,67.112,67.652,70.174,71.353,74.952,77.832,77.665,85.895,89.607,91.883,95.817,93.016,88.349,86.408,84.315,79.983,80.295,80.541,79.259,82.108,84.127,88.643,92.896,93.054,95.302,94.561,93.933,97.826,98.706,101.902,101.566,108.713,107.569,108.566,107.489,112.641,114.44,116.605,123.597,118.758,117.643,113.957,103.613,100.89,100.816,106.966,108.589,112.265,114.822,117.651,120.179,120.67,118.585,114.526,113.939
"43","35","        Industrial equipment","A680RA3",53.472,54.568,56.213,55.639,56.956,56.074,55.988,53.995,51.398,50.527,50.742,52.157,51.87,54.307,56.516,58.156,60.379,64.297,66.582,69.847,71.086,71.832,70.622,67.619,61.415,59.353,59.04,58.583,59.9,59.921,59.699,60.049,61.383,61.453,64.355,66.709,67.564,70.095,72.288,72.547,75.847,75,74.718,77.12,75.285,72.284,70.457,71.643,71.405,71.307,71.459,70.898,68.425,66.354,64.271,61.359,58.088,58.225,60.867,62.558,66.191,67.712,69.292,71.18,70.64,72.349,70.958,73.099,71.733,70.688,71.774,71.51,69.774,68.871,70.28,69.672,69.775,72.638,74.963,75.202,77.758,78.393,79.575,77.258,76.737,73.329,73.569,71.249,70.116,69.024,69.029,67.825,67.607,69.046,70.754,73.627,74.261,74.689,75.683,80.258,80.816,81.434,83.691,86.145,89.948,91.343,91.994,91.199,93.354,95.117,94.221,95.316,94.856,96.666,97.205,97.439,102.362,101.471,99.39,99.753,99.571,101.005,102.337,102.549,107.439,110.272,112.247,110.522,110.77,102.907,98.576,95.747,96.573,94.1,95.239,94.683,94.207,97.812,95.237,92.688,88.876,90.974,93.799,95.638,97.862,96.733,100.683,104.722,103.425,110.363,109.443,109.986,108.107,115.872,116.112,110.566,110.791,109.999,108.443,103.863,89.451,85.515,84.248,84.263,84.631,92.237,94.053,96.295,99.003,98.806,105.861,110.845
"44","36","        Transportation equipment","A681RA3",39.836,38.99,37.997,35.815,32.833,32.103,32.823,27.481,32.539,33.383,33.325,36.015,37.99,38.148,37.409,43.594,45.685,48.257,47.805,47.226,45.583,44.312,43.825,37.333,36.123,35.009,37.668,38.562,39.522,40.156,41.021,43.141,48.519,49.643,49.375,51.583,51.104,56.755,55.752,56.456,59.857,56.642,58.842,54.393,51.846,44.666,45.828,45.202,46.926,45.172,46.47,43.801,43.136,40.534,37.625,40.29,40.198,42.03,46.576,53.147,50.943,54.273,55.561,55.964,55.295,56.718,57.383,55.84,53.087,54.593,55.306,53.643,49.301,53.972,53.007,49.707,54.489,54.402,53.028,55.253,50.332,49.854,49.944,45.431,48.367,46.194,50.877,49.075,48.797,46.792,48.154,45.55,43.031,50.199,47.055,52.357,51.693,59.118,54.949,62.624,65.584,63.184,64.836,73.935,78.377,70.666,69.276,71.214,70.307,72.501,79.223,79.132,79.341,81.19,85.418,80.31,81.84,85.51,90.115,99.188,100.111,103.315,109.686,105.781,104.97,106.252,102.041,96.601,93.792,94.396,90.516,94.536,89.734,85.38,84.025,80.305,72.357,78.403,79.253,79.103,78.41,86.274,93.027,99.652,95.931,99.119,104.398,100.552,111.504,106.815,106.606,107.612,107.35,101.288,99.745,100.511,99.399,87.073,73.548,54.074,36.065,38.4,38.85,42.217,56.027,64.691,71.029,70.925,76.843,79.55,85.431,86.995
"45","37","        Other equipment","A862RA3",36.858,36.109,36.005,36.507,36.966,37.558,39.025,38.207,37.214,38.008,38.276,37.787,39.865,41.455,43.61,46.522,50.11,50.783,50.594,48.861,48.921,49.547,49.131,50.184,44.739,45.721,45.418,47.253,45.926,45.638,47.104,45.958,50.199,51.381,52.117,54.021,53.822,57.216,57.71,60.069,59.508,59.393,59.448,54.96,58.426,50.625,49.258,51.402,52.728,54.551,55.442,52.647,48.117,46.849,47.069,44.306,40.892,44,45.41,49.258,49.81,50.462,51.393,51.673,51.844,51.962,50.2,51.275,51.094,51.026,49.174,50.249,49.542,50.876,53.256,53.54,54.063,53.761,54.555,54.834,58.587,60.051,62.528,61.291,59.675,58.349,58.244,57.002,51.134,50.227,49.116,48.856,48.576,48.381,50.334,50.981,53.175,53.788,54.231,55.871,57.147,58.143,58.929,60.339,62.116,61.668,61.388,62.015,62.564,63.367,65.047,65.627,67.196,68.295,72.535,73.382,76.44,78.605,78.194,76.939,79.602,78.427,79.317,81.008,83.308,85.247,83.874,83.817,85.037,82.688,84.171,81.782,80.753,83.608,83.454,83.368,84.491,84.683,88.172,89.216,88.38,90.365,93.442,95.36,96.808,100.762,100.865,101.565,104.66,104.477,102.508,102.991,100.547,103.846,103.699,103.742,100.59,101.201,101.632,94.069,86.281,80.22,79.548,79.522,85.926,89.693,93.397,94.388,97.224,97.113,105.005,101.796
"46","38","    Residential","B011RA3",35.118,34.741,34.457,31.937,32.001,29.868,31.46,34.776,36.632,40.329,42.316,43.956,46.888,47.807,47.918,49.63,51.3,48.69,46.624,44.396,41.14,39.346,38.05,33.043,31.002,31.668,33.873,35.356,38.97,40.091,39.437,44.464,45.805,51.045,50.884,50.211,50.464,52.888,53.623,53.434,52.185,51.211,50.602,48.691,44.965,36.646,37.273,40.915,40.183,38.821,35.826,32.157,30.303,29.347,29.254,31.396,36.747,41.1,45.171,47.08,48.388,49.283,48.81,48.861,48.709,49.098,49.722,50.904,53.08,56.026,56.889,56.787,56.637,56.886,56.714,56.992,55.759,56.201,56.236,56.73,56.358,54.689,54.093,52.957,53.496,51.438,48.516,45.828,43.102,44.12,45.949,46.957,49.352,51.24,51.358,53.102,53.344,53.972,55.835,58.647,59.891,61.875,61.199,60.397,59.055,57.157,58.924,60.261,61.845,64.457,64.28,63.615,63.831,64.638,64.935,65.601,66.771,68.778,70.842,72.538,72.969,73.755,74.367,75.278,75.867,75.349,74.027,74.091,74.43,75.477,75.885,75.24,77.249,79.143,79.604,80.82,81.601,83.454,87.708,90.085,90.898,94.318,95.274,96.03,97.776,100.05,101.075,101.099,100.024,95.488,89.974,85.182,81.458,78.89,73.635,67.531,62.104,59.721,56.484,51.072,45.79,43.133,44.932,44.495,42.68,44.933,41.427,41.684,41.428,41.855,41.991,43.09
"47","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Exports","B020RA3",10.424,12.76,12.454,12.886,12.997,13.569,13.525,13.649,13.701,13.674,14.236,13.042,14.423,14.004,14.849,15.479,16.613,17.414,17.472,18.331,18.565,19.468,18.418,18.899,19.032,18.479,18.167,19.195,19.061,19.254,19.813,20.014,19.693,20.224,20.38,19.726,20.191,22.295,22.54,23.434,23.454,23.516,24.363,25.896,26.619,27.12,27.063,26.899,27.407,27.555,26.969,27.094,25.919,26.075,24.92,23.779,24.163,24.236,24.601,25.097,25.622,26.259,26.839,27.384,27.403,27.304,26.904,27.714,28.59,28.901,29.562,30.663,30.686,31.904,33.279,34.509,36.421,37.429,38.123,39.287,40.442,42.202,42.664,43.335,45.229,45.843,46.178,46.565,46.899,48.587,49.7,50.833,51.739,51.741,52.865,53.135,53.255,53.907,53.731,55.45,55.981,57.827,60.036,61.365,62.493,63.354,66.11,67.064,67.909,69.047,69.606,73.969,75.378,78.363,80.184,80.038,80.415,79.488,79.119,82.103,81.472,82.409,84.57,86.689,88.184,90.688,92.9,92.168,90.96,87.991,83.462,81.109,82.405,84.641,85.231,84.363,83.584,83.313,85.575,89.585,91.717,93.154,93.845,95.993,97.786,99.885,99.909,102.42,106.411,108.2,108.36,112.904,114.672,116.571,120.91,124.281,125.966,129.793,128.631,121.112,111.191,111.058,114.728,120.941,123.074,126.049,129.101,131.551,134.061,135.24,136.789,138.358
"52","44","    Goods","B253RA3",9.429,11.941,11.64,12.038,12.264,12.565,12.599,12.757,12.521,12.498,13.387,11.583,13.459,13.142,13.916,14.844,16.188,16.982,16.967,17.941,18.264,19.011,17.965,18.244,18.172,17.328,17.666,18.612,18.395,18.637,18.991,19.161,18.782,19.266,19.461,18.659,18.914,21.541,21.675,22.55,22.569,22.733,23.788,25.596,26.4,26.874,26.404,26.291,26.525,26.486,25.692,26.118,24.58,24.862,23.616,22.291,22.621,22.771,23.159,24.054,23.941,24.51,25.33,26.145,25.924,25.853,25.536,26.299,26.365,26.869,27.294,28.405,28.103,29.295,31.055,32.558,34.543,35.499,36.049,37.72,38.367,40.56,40.7,41.322,43.194,43.57,43.784,43.943,45.132,46.161,47.25,47.991,49.124,49.276,50.727,51.363,50.853,51.5,51.131,53.538,53.55,55.463,58.295,59.853,61.247,62.274,64.664,65.558,66.935,67.647,68.903,72.638,75.151,78.65,80.951,81.069,81.29,79.37,79.514,82.694,81.075,81.987,84.655,87.435,89.383,92.181,96.096,94.662,93.403,89.18,84.308,82.383,82.324,85.207,85.598,83.574,83.928,83.88,85.504,89.434,90.9,92.423,93.586,95.072,97.034,100.232,99.957,102.777,107.073,109.017,109.078,112.532,115.963,118.101,121.697,124.599,127.394,131.666,130.878,120.825,108.53,107.723,113.062,120.352,123.835,127.341,130.096,132.984,136.363,137.206,138.874,140.579
"53","45","    Services","B646RA3",13.303,14.853,14.546,15.068,14.743,16.278,15.949,15.945,17.041,16.997,16.365,17.364,16.989,16.232,17.262,16.859,17.204,17.971,18.282,18.644,18.511,19.974,18.972,20.269,21.281,22.04,18.941,20.243,20.481,20.457,21.843,22.162,22.103,22.788,22.775,22.759,24.031,23.895,24.569,25.49,25.513,25.142,25.039,25.308,25.652,26.242,27.892,27.518,29.124,30.034,30.333,29.24,29.589,29.246,28.502,28.102,28.663,28.447,28.706,27.704,30.547,31.394,31.067,30.638,31.508,31.329,30.667,31.611,35.09,34.783,36.175,37.233,38.28,39.559,39.693,40.029,41.647,42.789,43.938,43.383,46.197,46.491,47.998,48.814,50.74,52.091,52.792,53.864,51.652,55.266,56.432,58.671,58.908,58.471,58.674,57.932,59.798,60.467,60.822,60.659,62.607,64.264,64.763,65.464,65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,111.753,113.108,119.127,123.554,122.72,125.544,123.54,121.774,117.044,118.392,118.433,122.297,121.464,123.262,126.961,128.433,128.977,130.926,132.204,133.463
"54","46","  Imports","B021RA3",9.834,11.774,11.622,11.494,11.456,11.683,11.656,11.837,11.697,12.58,12.858,11.986,13.738,13.25,13.526,14.135,14.788,14.362,13.965,14.069,13.592,14.312,14.062,13.922,12.526,11.523,12.481,13.147,13.971,14.576,15.171,15.673,16.415,16.566,16.335,16.567,17.679,17.735,17.966,18.213,18.163,18.261,17.982,18.375,18.389,17.054,15.828,16.677,17.389,17.416,17.217,17.711,17.206,16.925,17.71,17.015,17.405,18.743,20.203,21.194,22.897,23.857,24.474,25.191,24.635,25.846,25.596,26.599,26.575,27.707,28.475,28.694,28.522,29.234,29.802,30.487,30.345,29.996,30.704,31.64,31.786,31.937,31.893,32.471,33.5,33.444,33.31,32.416,32.047,32.617,33.535,34.275,34.525,35.092,35.646,36.499,37.289,38.06,38.561,40.11,41.045,42.574,43.772,45.003,45.99,46.427,46.587,47.182,48.716,49.806,51.421,52.436,54.675,56.511,58.593,59.858,62.103,63.526,64.382,66.465,68.158,70.33,72.881,74.629,77.656,80.023,82.818,82.757,81.55,79.121,77.205,76.285,78.196,80.837,82.17,83.647,82.638,83.817,84.803,87.966,90.207,93.828,95.199,97.613,98.181,99.265,99.876,102.677,104.622,105.792,107.058,106.924,108.48,109.019,109.282,107.828,108.203,107.511,105.698,101.518,91.492,87.838,91.215,94.941,97.789,102.695,105.708,105.091,107.207,107.573,107.897,109.058
"55","47","    Goods","B255RA3",8.059,10.206,9.998,9.744,9.761,9.84,9.81,10.084,10.035,11.003,11.391,10.379,12.199,11.624,12.119,12.688,13.347,13.008,12.807,12.901,12.291,13.001,12.777,12.548,11.086,10.138,11.192,11.822,12.667,13.301,13.888,14.384,15.166,15.278,15.095,15.311,16.376,16.444,16.637,16.851,16.819,16.925,16.639,17.063,17.086,15.717,14.41,15.225,15.872,15.881,15.73,16.242,15.634,15.197,16.072,15.221,15.677,16.982,18.436,19.467,20.895,21.75,22.206,22.782,22.069,23.369,23.286,24.392,24.203,25.736,26.275,26.447,26.026,26.547,27.184,27.664,27.578,27.303,27.981,28.908,28.996,29.116,28.936,29.536,30.413,30.3,30.082,29.182,29.003,29.484,30.65,31.385,31.834,32.62,33.284,34.145,35.07,35.865,36.321,37.825,38.757,40.473,41.874,43.35,44.186,44.795,44.891,45.396,47.012,48.194,49.828,51.039,53.236,55.26,57.272,58.561,60.727,62.15,62.86,65.171,66.948,69.299,72.011,73.936,76.798,79.218,82.017,82.04,80.804,77.569,76.083,75.401,76.887,80.153,81.635,82.688,81.779,83.909,84.262,87.257,89.336,93.238,94.761,97.215,98.066,99.234,99.903,102.797,104.38,105.68,107.122,106.496,108.673,109.126,109.211,107.685,107.516,106.907,104.396,99.182,88.34,84.079,87.919,92.357,95.522,101.199,104.206,104.065,106.464,106.875,107.02,108.113
"56","48","    Services","B656RA3",20.807,21.523,21.706,22.349,21.967,23.115,23.112,22.695,22.001,22.369,21.99,21.941,23.311,23.363,22.255,23.117,23.738,22.765,21.141,21.298,21.782,22.456,22.007,22.596,21.994,20.712,20.718,21.566,22.1,22.388,22.947,23.42,23.724,24.165,23.588,23.906,25.213,25.165,25.667,26.138,25.961,25.982,25.805,25.841,25.754,25.012,24.782,25.729,26.866,27.053,26.477,26.717,27.236,28.367,28.217,28.999,28.733,30.09,31.316,31.791,35.51,37.173,39.031,40.789,41.652,41.855,40.276,40.32,41.593,39.703,42.055,42.602,44.284,46.364,46.343,48.52,47.965,47.087,47.941,48.823,49.399,49.762,50.809,51.14,53.226,53.61,54.095,53.324,51.58,52.727,51.821,52.563,51.411,50.442,50.226,50.993,50.848,51.427,52.215,54.005,54.922,55.163,54.966,54.554,56.524,55.801,56.371,57.529,58.486,58.955,60.417,60.197,62.666,63.336,65.819,66.928,69.63,71.037,72.724,73.493,74.695,75.855,77.492,78.236,82.182,84.23,86.983,86.424,85.375,87.568,83.234,80.989,85.198,84.434,84.976,88.739,87.206,83.371,87.636,91.684,94.787,96.949,97.531,99.741,98.816,99.441,99.73,102.012,105.888,106.358,106.715,109.276,107.509,108.471,109.642,108.535,111.891,110.696,112.908,114.459,108.49,107.816,108.94,109.06,110.303,111.197,114.282,111.185,111.798,111.918,113.243,114.788
"57","49","Government consumption expenditures and gross investment","B822RA3",53.674,53.45,53.525,52.739,52.455,51.777,52.001,52.002,51.16,50.996,50.964,50.584,50.768,51.083,50.03,50.344,50.839,50.536,49.887,50.254,51.305,51.651,51.728,51.908,52.544,52.14,53.057,53.507,53.64,53.052,52.773,52.732,53.21,53.763,53.861,53.688,53.775,55.227,55.667,56.172,55.667,56.255,56.337,56.704,57.616,57.795,56.998,56.94,57.696,57.825,57.694,58.225,58.167,58.506,58.906,59.923,60.373,60.889,61.946,60.899,61.512,62.838,63.302,64.659,65.4,66.867,68.603,69.013,69.759,71.242,72.854,72.436,72.732,73.192,73.194,74.08,73.721,73.914,73.871,75.372,74.909,76.069,76.786,77.194,78.385,78.501,78.478,79.257,79.579,79.857,79.478,79.144,79.745,79.651,80.06,80.083,79.239,79.18,79.101,79.491,78.48,78.81,80.192,79.5,79.816,80.083,79.907,79.013,79.519,80.661,80.583,81.266,81.411,82.116,82.208,82.344,81.849,83.628,84.402,85.157,85.593,85.95,87.061,88.438,87.714,88.884,88.604,88.874,90.188,92.061,91.893,93.525,94.958,95.87,96.646,97.293,97.091,98.534,98.824,98.895,99.366,99.73,100.094,99.482,99.577,99.685,100.59,100.147,101.147,101.232,101.386,101.67,101.552,102.401,103.292,103.606,104.391,104.838,105.941,106.356,105.895,107.431,107.779,107.537,107.205,108.193,108.457,107.691,106.076,105.837,105.812,104.582
