"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240"
"37","29","          Other","A937RG3",38.664,40.024,40.777,41.051,40.564,40.811,41.227,41.42,41.425,41.189,41.115,41.462,42.062,41.628,42.129,42.932,44.45,44.738,45.017,44.634,44.95,44.541,43.408,42.766,43.321,43.722,43.902,44.111,43.441,43.958,44.047,45.33,45.138,44.499,44.424,44.761,46.019,44.253,47.063,46.566,47.891,47.709,47.59,49.618,48.517,48.813,48.889,48.821,48.795,49.019,49.408,49.695,49.492,49.32,49.175,49.178,49.29,49.3,49.347,49.341,49.21,49.086,49.094,49.234,49.387,49.485,49.469,49.412,49.504,49.612,49.798,50.182,49.83,49.822,49.797,49.843,49.9,50.254,50.559,50.902,51.484,51.784,52.071,52.39,52.549,52.982,53.512,54.121,54.527,54.786,55.276,55.71,56.271,56.819,57.313,57.924,58.359,58.924,59.39,59.807,60.364,60.402,60.675,60.912,61.251,61.746,62.02,62.111,62.705,64.746,66.693,68.695,70.585,71.735,72.163,73.004,74.167,75.166,75.816,75.689,75.699,75.749,75.841,75.974,77.345,78.601,79.563,80.178,80.3,80.975,81.381,82.205,83.902,85.996,88.393,90.478,91.811,92.902,93.59,94.718,95.753,97.409,98.338,99.138,99.786,100.064,100.7,100.97,101.818,102.455,102.836,103.136,103.764,103.981,103.974,104.628,105.608,106.377,107.491,107.376,108.758,109.161,109.035,110.274,111.2,110.521,110.221,111.202,111.867,112.266,112.122,112.542,113.397,113.214,113.535,114.058,114.973,114.792,114.994,115.134,115.912,115.868,116.753,116.101,116.029,115.997,115.843,115.705,115.91,115.587,115.084,114.49,114.631,114.628,114.275,113.586,113.236,112.482,112.227,112.126,112.022,111.443,111.005,109.954,108.033,106.532,105.506,104.805,104.272,103.35,102.312,101.396,100.898,100.192,99.77,99.141,98.446,97.569,97.017,96.715,96.626,96.071,95.686,95.428,95.455,95.348,95.089,94.852,94.127,93.609,93.484,93.418,93.564,93.436,93.149,93.037,92.824
"38","30","        Industrial equipment","A680RG3",10.251,10.711,10.922,11.245,11.141,11.354,11.93,12.312,12.387,12.351,12.234,12.012,12.186,12.394,12.907,13.509,14.354,14.407,14.316,14.433,14.282,14.588,14.473,14.534,14.638,14.881,15.006,14.993,15.262,15.234,15.038,15.082,15.328,15.459,15.715,16.329,16.599,17.227,17.522,18.047,18.396,18.392,18.726,19.074,18.977,19.082,19.129,19.167,19.248,19.433,19.633,19.772,19.891,19.925,19.943,19.89,19.846,19.747,19.707,19.688,19.651,19.715,19.792,19.825,19.821,19.791,19.791,19.832,19.881,19.94,20.018,20.101,20.173,20.243,20.319,20.398,20.51,20.671,20.911,21.191,21.436,21.634,21.82,22.015,22.199,22.503,22.783,23.069,23.178,23.27,23.445,23.722,24.062,24.417,24.744,25.044,25.269,25.558,25.823,26.005,26.05,26.146,26.213,26.341,26.502,26.743,27.057,27.393,27.842,28.564,29.834,31.587,33.557,35.172,36.27,37.002,37.51,38.083,38.763,39.541,40.582,41.567,42.451,43.259,44.289,45.144,46.068,47.065,48.234,49.462,50.812,51.982,54.021,55.831,57.555,59.173,60.506,61.652,62.628,63.431,63.699,64.996,65.515,65.828,66.103,66.424,66.403,66.447,66.714,67.132,67.191,67.305,67.352,67.783,68.434,69.227,70.289,71.08,71.796,72.054,73.449,74.171,74.314,75.591,76.534,77.601,77.692,79.07,79.671,79.977,80.816,81.732,82.985,83.752,84.804,86.094,87.242,87.015,87.305,88.108,88.675,89.038,90.002,89.708,89.944,90.408,90.751,91.207,91.484,92.065,92.704,93.44,94.063,95.451,96.148,96.648,97.168,97.357,97.699,98.019,98.143,98.128,98.242,98.391,98.533,98.704,98.945,99.111,99.361,99.255,99.401,99.683,99.801,99.922,100.109,100.168,100.519,100.716,100.659,100.813,100.642,100.639,101.006,101.12,101.357,101.527,101.762,102.002,103.023,103.793,104.589,105.639,106.962,108.209,108.453,109.08,109.797
"39","31","        Transportation equipment","A681RG3",18.511,18.772,19.047,19.435,19.501,19.752,20.614,21.312,21.24,21.303,21.158,21.237,21.315,21.556,21.635,21.939,22.362,22.715,23.153,23.699,24.22,24.476,24.466,24.255,23.882,23.459,23.378,23.055,23.932,25.013,24.411,24.55,23.46,23.702,24.338,24.483,25.488,26.101,26.691,27.09,27.707,27.694,27.571,27.142,27.701,27.975,27.967,28.062,28.466,28.526,28.51,28.524,28.248,28.458,28.607,28.535,28.565,28.403,28.404,28.231,28.203,28.057,28.136,27.984,28.055,27.984,27.969,27.846,27.748,27.731,27.748,27.645,27.611,27.707,27.697,27.562,27.467,27.566,27.625,27.804,27.8,27.914,28.106,28.435,28.494,28.719,28.919,29.232,29.23,29.46,29.95,30.229,30.594,30.867,31.201,31.903,32.535,32.885,32.753,32.571,33.167,33.413,33.697,33.272,33.088,33.525,34.032,34.353,35.181,36.186,37.429,38.768,39.797,40.925,41.238,42.084,43.094,43.391,44.17,45.154,45.624,46.412,47.796,49.63,50.649,51.187,51.987,52.717,54.255,55.587,56.421,57.996,59.785,61.257,62.977,63.786,64.545,66.415,67.146,68.162,68.821,69.327,70.034,70.133,70.514,70.495,70.593,70.887,71.179,71.293,71.409,71.548,72.12,72.945,73.754,75.231,76.17,77.985,78.402,79.897,79.817,79.213,79.249,79.105,79.158,79.92,80.951,82.221,82.206,82.936,83.413,85.031,85.29,85.587,86.408,88.177,89.774,90.19,90.82,92.179,93.191,93.441,92.83,93.066,93.969,93.928,93.863,94.339,96.308,97.255,97.301,95.918,95.417,95.89,96.688,97.09,96.948,97.977,98.832,99.018,98.996,99.374,100.569,100.067,99.119,98.742,98.941,99.427,100.548,100.6,99.305,99.434,99.66,99.793,100.463,100.083,98.187,98.477,100.469,99.71,100.149,100.676,99.165,100.953,101.906,100.741,103.945,109.063,109.359,109.969,109.002,109.839,110.053,109.319,108.922,108.745,109.735
"40","32","        Other equipment","A862RG3",12.811,13.789,14.289,13.942,13.83,14.744,15.37,15.305,15.179,15.47,15.523,15.037,14.899,15.399,15.823,16.448,16.66,16.969,16.917,17.113,17.07,16.94,17.042,17.147,17.118,17.294,17.456,17.71,17.677,17.794,17.722,17.448,17.558,17.568,17.886,18.307,18.115,18.266,18.61,18.816,19.009,19.121,19.405,19.969,19.867,19.849,19.774,19.87,20.028,20.136,20.217,20.207,20.249,20.426,20.49,20.558,20.463,20.383,20.443,20.465,20.578,20.668,20.698,20.667,20.739,20.73,20.826,20.898,20.973,21.005,21.018,20.946,21.076,21.133,21.212,21.291,21.393,21.569,21.702,21.981,22.189,22.306,22.443,22.627,22.811,23.038,23.391,23.664,23.795,24.003,24.121,24.287,24.498,24.756,25.005,25.423,25.839,26.102,26.259,26.276,26.638,26.918,26.932,26.942,27.097,27.42,27.67,27.537,27.799,28.515,30.379,32.757,34.952,36.111,36.76,37.395,38.063,38.571,39.129,40.159,41.07,41.895,42.848,43.825,44.361,45.461,46.432,47.408,48.05,49.089,50.606,51.843,53.379,55.63,57.105,57.847,59.93,61.524,62.997,64.615,65.957,66.523,66.912,67.406,67.932,68.166,68.14,68.531,68.93,69.424,69.778,69.811,70.179,70.554,71.216,71.632,71.929,72.888,73.65,74.055,74.604,74.956,74.998,75.392,76.145,76.873,77.371,78.421,79.122,79.815,80.875,81.669,82.703,82.969,83.806,84.765,85.627,86.021,86.559,86.998,87.544,87.909,88.47,88.788,89.047,89.687,90.005,90.149,90.502,91.247,91.615,91.546,92.023,92.841,93.351,94.217,94.913,95.212,95.846,96.451,96.654,96.788,96.735,97.036,97.539,97.89,98.499,99.061,99.375,99.532,99.513,99.447,99.546,99.876,100.146,100.432,100.997,101.281,101.506,102.032,102.123,101.93,102.314,102.609,102.94,103.214,103.332,103.21,103.002,104.067,104.426,104.975,106.952,108.165,108.685,108.952,109.81
"41","33","    Residential","B011RG3",11.925,12.584,12.859,13.182,13.417,13.564,13.874,13.941,14.059,14.038,13.709,13.718,13.696,14.051,14.587,14.561,15.038,15.211,15.292,15.432,15.51,15.645,15.794,15.698,15.708,15.727,15.864,15.798,15.715,15.757,15.941,15.936,16.007,16.143,16.253,16.262,16.395,16.646,16.673,16.598,16.551,16.592,16.704,16.64,16.563,16.581,16.581,16.595,16.62,16.632,16.628,16.64,16.689,16.752,16.755,16.775,16.722,16.787,16.792,16.777,16.806,16.804,16.797,16.774,16.778,16.713,16.526,16.636,16.48,16.747,16.794,17.16,17.145,17.164,17.148,17.631,17.378,18.014,17.905,18.299,18.335,18.396,18.5,18.853,19.175,19.354,19.361,20.125,20.511,20.812,20.888,21.202,21.183,21.974,21.388,21.562,22.137,22.586,23.011,23.364,23.695,23.802,24.197,24.939,25.271,25.894,26.776,27.249,27.862,28.515,29.436,30.232,31.006,31.548,31.847,32.422,32.603,33.562,34.101,34.705,35.537,36.501,37.708,38.842,39.988,41.182,42.246,43.367,44.216,45.734,47.203,48.343,49.617,50.784,51.948,53.227,54.388,55.245,55.946,56.77,57.608,58.461,58.955,59.232,59.518,59.664,59.958,60.49,60.851,61.338,61.929,62.401,62.721,62.856,63.283,64.015,64.785,65.407,66.25,67.028,67.728,68.245,68.828,69.44,70.069,70.7,71.139,71.805,72.321,73.197,73.442,73.886,74.497,74.799,75.149,75.275,75.488,75.829,76.298,76.033,75.784,76.486,77.029,78.042,78.938,79.675,80.397,80.753,81.684,82.155,83.043,84.135,85.175,85.577,85.928,86.398,86.718,87.118,88.083,88.52,88.969,89.396,90.167,90.839,91.102,91.723,92.635,93.499,94.415,95.442,96.253,97.01,98.683,99.635,100.418,101.263,102.628,103.889,105.639,106.377,106.151,106.72,107.13,108.96,111.42,111.508,112.261,114.33,116.561,119.294,121.312,122.574,123.062,124.359,126.335,128.889,130.175
"42","34","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","38","  Exports","B020RG3",23.353,25.068,26.331,26.984,27.154,27.021,26.702,26.281,25.834,25.344,24.935,24.656,24.264,24.31,24.543,25.011,26.463,27.443,28.254,28.711,27.998,27.905,27.848,27.794,27.928,27.863,27.772,27.668,27.522,27.435,27.384,27.379,27.46,27.578,27.717,27.904,28.131,28.421,28.739,29.068,29.468,29.692,29.783,29.754,29.459,29.345,29.325,29.364,29.211,29.239,29.481,29.798,29.829,29.789,29.931,29.834,29.976,30.37,30.314,30.539,30.59,30.302,30.283,30.325,30.367,30.324,30.253,30.283,30.359,30.35,30.592,30.925,31.62,31.516,31.547,31.431,31.955,32.219,32.595,33.155,33.728,33.685,33.651,33.838,34.084,34.786,34.365,34.609,35.137,35.196,35.678,36.497,36.463,37.177,37.098,37.234,38.317,38.411,38.234,38.471,39.611,39.922,40.073,40.979,42.137,44.027,46.581,48.956,52.366,54.164,57.21,60.119,61.819,61.636,61.451,61.824,62.721,63.405,63.779,64.923,65.657,66.632,66.302,66.616,67.926,69.616,70.754,73.072,75.218,78.281,80.122,81.61,84.003,85.161,87.557,90.483,92.769,93.162,93.31,93.628,94.162,94.107,93.431,92.882,93.277,93.607,94.127,95.049,95.17,95.781,94.808,93.788,92.77,92.409,91.445,91.31,90.852,90.525,90.19,90.989,91.399,92.62,92.953,94.524,95.64,97.635,98.844,98.63,99.61,99.718,99.104,98.806,98.904,99.245,100.155,101.624,102.017,101.445,100.783,101.006,100.87,100.939,100.983,100.776,100.815,101.067,100.917,100.794,101.274,101.649,102.281,102.93,104.03,104.825,104.571,104.077,103.875,103.514,102.777,101.785,101.534,101.452,101.183,100.76,99.768,99.225,98.461,98.165,97.956,98.145,98.345,98.807,99.461,99.989,100.223,100.327,100.345,100.017,99.512,98.623,98.36,99.048,99.772,99.911,100.909,101.165,101.401,102.116,103.584,104.803,105.242,106.366,107.559,108.534,109.323,110.052,110.737
"47","39","    Goods","B253RG3",26.483,28.988,30.818,31.759,31.964,31.757,31.277,30.656,30.019,29.315,28.737,28.342,27.808,27.852,28.145,28.745,30.682,31.941,32.945,33.462,32.428,32.181,31.999,31.852,31.976,31.857,31.728,31.597,31.433,31.341,31.289,31.286,31.372,31.52,31.7,31.942,32.28,32.644,33.024,33.386,33.762,33.95,33.987,33.908,33.577,33.453,33.481,33.614,33.882,33.7,33.743,34.101,34.069,34.021,34.19,34.057,34.352,34.878,34.712,34.988,34.845,34.356,34.307,34.336,34.484,34.407,34.264,34.247,34.434,34.304,34.586,35.009,35.949,35.805,35.807,35.586,36.343,36.651,37.143,37.898,38.739,38.559,38.396,38.545,38.727,39.707,38.978,39.218,39.902,39.785,40.341,41.465,41.705,42.592,42.224,42.256,43.53,43.471,43.005,43.279,43.883,44.202,44.286,45.517,47.338,49.756,53.091,56.283,60.588,62.882,66.912,70.909,73.242,72.652,72.089,72.428,73.35,74.154,74.47,75.866,76.755,77.817,77.028,77.084,78.652,80.734,81.991,85.104,88.072,91.989,94.048,95.473,98.087,99.151,102.096,105.787,108.495,108.561,108.316,108.341,108.732,108.061,106.548,105.41,105.497,105.868,106.438,107.824,108.312,108.861,107.086,105.064,103.433,102.737,101.175,100.502,99.381,98.631,97.744,98.724,99.147,100.95,101.181,103.401,104.856,107.655,109.365,108.862,109.881,109.775,108.702,107.953,107.478,107.604,108.046,108.992,109.088,108.402,107.067,107.071,106.615,106.446,106.046,105.632,105.658,105.776,105.592,105.342,105.97,106.361,106.848,107.692,109.091,109.832,109.424,108.648,107.904,107.39,106.052,104.288,104.063,103.781,103.423,102.712,101.491,100.714,99.628,99.052,98.71,98.627,98.801,99.331,99.642,100.032,100.118,100.208,100.174,99.781,99.133,98.172,97.831,98.359,99.164,99.29,100.162,100.566,100.4,101.412,103.029,104.361,104.629,105.61,106.775,107.545,107.904,108.47,109.084
"48","40","    Services","B646RG3",17.971,17.203,16.811,16.674,16.799,16.899,17.041,17.176,17.242,17.344,17.394,17.431,17.403,17.46,17.547,17.687,17.928,18.251,18.624,18.978,19.077,19.391,19.665,19.862,20.034,20.11,20.109,20.067,19.954,19.871,19.818,19.81,19.883,19.932,19.975,20.028,19.971,20.086,20.266,20.542,21.064,21.425,21.679,21.771,21.532,21.433,21.291,21.102,20.212,20.582,21.157,21.405,21.545,21.524,21.614,21.593,21.426,21.569,21.725,21.851,22.288,22.373,22.414,22.481,22.324,22.338,22.404,22.547,22.392,22.63,22.795,22.94,23.154,23.126,23.215,23.319,23.367,23.554,23.715,23.896,23.974,24.175,24.378,24.629,24.985,25.17,25.314,25.56,25.8,26.169,26.511,26.756,26.216,26.601,27.057,27.383,28.085,28.438,28.798,28.981,31.008,31.327,31.63,31.92,31.709,32.509,33.439,34.092,35.574,36.302,37.239,37.853,38.321,38.953,39.551,40.015,40.848,41.283,41.777,42.405,42.828,43.621,44.209,45.024,45.822,46.713,47.602,48.272,48.702,49.977,51.359,53.031,54.991,56.431,57.665,58.982,60.446,61.542,62.49,63.408,64.227,65.384,66.365,66.945,67.902,68.155,68.578,68.587,68.019,68.727,69.273,70.213,70.389,70.678,70.89,71.805,72.582,73.009,73.662,74.103,74.474,74.646,75.151,75.478,75.94,76.346,76.57,76.926,77.798,78.322,78.634,79.226,80.459,81.216,83.024,85.468,86.443,86.113,86.783,87.435,87.937,88.477,89.412,89.632,89.69,90.205,90.124,90.26,90.435,90.778,91.703,91.938,92.387,93.298,93.382,93.506,94.479,94.463,95.063,95.802,95.52,95.912,95.86,96.133,95.68,95.686,95.675,96.044,96.154,96.967,97.227,97.528,99.01,99.876,100.486,100.628,100.779,100.61,100.448,99.735,99.654,100.717,101.253,101.423,102.71,102.623,103.79,103.822,104.942,105.895,106.735,108.197,109.454,110.908,112.724,113.844,114.709
"49","41","  Imports","B021RG3",16.298,17.455,18.396,19.018,19.461,19.519,19.331,19.033,18.588,18.404,18.328,18.395,18.739,19.129,19.75,20.683,22.386,23.594,24.284,24.374,23.389,22.994,22.594,22.233,22.028,21.819,21.721,21.724,21.976,22.074,22.21,22.222,21.949,21.965,22.011,22.084,22.144,22.317,22.448,22.652,22.747,22.762,22.637,22.433,21.91,21.684,21.619,21.604,21.786,21.82,21.891,22.107,22.052,22.069,22.19,22.129,22.15,22.119,22.092,22.081,21.832,21.868,21.792,21.906,22.105,22.201,22.332,22.456,22.655,22.771,22.739,22.808,22.993,22.895,23.054,23.296,23.414,23.658,23.59,23.724,23.734,23.669,23.67,23.68,23.846,24.026,24.074,24.246,24.346,24.453,24.631,25.269,25.533,25.827,26.458,26.721,27.398,27.49,27.827,28.241,28.715,29.46,29.94,30.613,31.517,33.998,35.602,38.248,44.327,49.412,51.975,53.674,54.477,54.628,53.407,53.475,54.366,55.188,56.177,56.758,58.742,60.374,61.176,61.801,62.845,64.364,65.425,66.555,69.149,72.745,78.196,83.425,90.352,93.632,96.225,97.844,100.422,101,98.365,98.587,98.272,96.563,95.42,94.687,92.688,92.687,92.864,92.277,92.555,93.071,91.413,90.278,88.135,88.502,88.43,90.185,90.383,87.61,88.213,89.278,91.616,93.994,94.952,96.441,97.787,99.544,98.468,99.296,100.878,101.964,100.203,100.732,102.244,100.461,103.404,109.194,105.904,103.057,101.839,102.881,102.407,103.031,104.616,104.156,102.621,103.369,102.47,102.226,101.694,102.996,104.675,105.171,105.618,107.465,106.736,105.828,105.411,104.95,103.787,103.968,102.763,100.819,100.165,99.516,96.72,95.664,94.515,94.513,94.023,95.268,96.634,97.914,99.321,99.487,100.506,100.686,99.926,98.416,97.089,94.556,94.146,96.474,97.304,97.441,100.069,98.938,99.58,99.853,102.177,103.812,105.269,107.026,107.783,109.925,112.413,113.626,113.496
"50","42","    Goods","B255RG3",15.687,17.199,18.418,19.231,19.639,19.703,19.461,19.088,18.625,18.404,18.311,18.396,18.905,19.389,20.157,21.308,23.361,24.913,25.843,26.017,24.469,24.011,23.55,23.165,22.935,22.746,22.69,22.745,23.045,23.191,23.402,23.436,23.116,23.162,23.231,23.312,23.384,23.583,23.71,23.966,24.005,24.018,23.856,23.607,22.911,22.62,22.525,22.443,22.601,22.672,22.783,23.102,23.042,23.049,23.102,22.934,22.896,22.801,22.784,22.769,22.395,22.354,22.175,22.146,22.289,22.384,22.54,22.677,23.013,23.142,23.053,23.107,23.188,22.993,23.167,23.423,23.458,23.802,23.706,23.895,23.829,23.728,23.72,23.72,23.895,24.074,24.053,24.252,24.396,24.492,24.633,25.466,25.756,26.016,26.817,27.125,27.61,27.538,27.833,28.15,28.852,29.733,30.205,30.857,31.801,34.373,35.919,38.933,46.153,52.29,55.356,57.232,58.137,58.089,56.319,56.166,57.277,58.309,59.349,59.889,62.19,64.03,64.807,65.311,66.452,68.046,68.895,70.041,72.997,77.026,83.236,89.17,96.978,100.826,103.573,105.477,108.67,109.287,105.791,105.756,105.251,103.337,102.227,101.34,98.803,98.821,99.02,98.283,98.543,99.218,97.738,96.709,94.196,94.146,93.406,95.027,94.341,90.582,91.078,92.336,95.648,98.466,99.388,101.101,102.233,104.245,102.984,103.939,106.229,107.681,105.398,105.759,107.096,104.43,107.435,113.77,109.468,106.491,104.839,106.006,105.185,105.755,107.062,106.816,104.956,105.698,104.769,104.363,103.67,105.237,106.84,107.287,108.115,109.729,108.725,107.723,107.104,106.441,104.932,104.989,103.678,101.321,100.767,100.092,97.189,95.745,94.337,94.057,93.481,94.666,96.103,97.573,99.182,99.474,100.57,100.773,99.803,98.112,96.467,93.609,93.139,95.563,96.177,96.272,99.011,97.311,97.912,98.028,100.413,102.337,103.692,105.44,105.937,108.473,111.228,112.538,112.232
