"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",88.022,88.317,88.576,88.563,89.002,88.889,88.99,89.078,89.444,89.623,89.58,89.348,89.622,89.603,89.73,89.928,89.785,89.87,89.922,90.587,90.167,90.574,90.474,90.523,90.473,90.66,90.756,90.733,90.796,90.722,91.029,91.139,91.372,91.09,91.082,90.966,91.283,91.409,91.268,91.792,91.827,91.061,91.208,91.367,91.457,91.566,92.156,92.196,92.504,92.792,92.924,92.935,92.595,92.702,92.943,93.167,92.859,93.25,93.265,93.402,93.327,93.538,93.557,92.024,92.416,93.08,92.761,93.464,93.338,93.165,93.398,93.341,93.056,93.301,93.978,94.357,94.351,94.074,94.005,94.195,94.753,94.758,94.371,94.437,94.742,94.709,94.329,94.779,95.358,94.413,93.872,93.967,93.607,93.968,93.607,93.405,94.237,94.721,94.684,94.525,95.093,95.513,95.566,95.538,95.698,95.566,96.052,96.201,96.386,96.227,96.189,96.803,96.888,97.529,97.883,97.92,97.744,97.931,98.16,97.595,97.485,98.266,97.86,97.864,98.677,98.382,98.054,99.029,99.244,99.088,99.713,99.513,99.612,99.583,99.402,99.505,99.272,98.64,98.904,99.415,99.442,99.479,99.104,99.142,99.32,99.166,99.841,100.122,100.017,100.217,100.097,99.76,99.731,100.287,100.273,100.095,100.124,99.713,99.865,99.954,100.114,100.286,100.085,99.839,100.161,100.098,100.181,99.581,99.616,99.915,99.734,99.724,99.852,99.764,99.634,99.713,99.361,99.921,99.866,99.695,100,100.328,100.445,100.573,100.679,100.593,100.897,101.118,101.251,101.418,101.642,101.557,101.686,101.937,101.883,101.916,101.649,102.164,102.001,102.782,103.057,103.219,103.032,102.933,103.018,103.053,102.933,102.898,102.689,102.672,102.996,103.26,103.034,102.92,103.079,102.471
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",90.427,90.631,90.962,91.4,91.144,91.489,91.849,91.714,91.472,91.401,91.832,92.392,92.205,92.272,92.416,92.772,92.773,92.471,92.53,92.767,92.433,92.811,93.181,93.261,93.267,93.614,93.916,93.769,94.03,94.319,94.345,94.497,94.686,94.944,95.102,95.356,95.664,95.842,95.85,96.121,96.218,96.408,96.732,96.978,97.176,97.011,97.484,97.496,97.551,97.794,98.086,98.468,98.308,98.078,98.341,98.263,98.619,98.532,98.753,99.038,98.994,99.091,99.479,99.788,99.634,99.395,99.404,99.129,99.163,99.333,99.171,99.229,99.699,99.689,99.186,99.769,99.773,99.65,99.943,99.896,99.779,99.942,99.721,100.373,100.844,100.58,100.351,101.006,100.914,100.77,100.693,100.522,101.088,100.874,100.543,100.706,100.815,101.063,101.537,101.894,101.713,101.522,101.679,101.23,101.552,101.458,101.602,101.037,101.383,101.63,101.385,101.586,101.47,101.611,101.698,101.243,101.581,101.179,101.163,100.547,100.515,100.703,100.434,101.153,100.821,101.014,100.961,100.852,100.892,100.791,100.57,100.318,100.435,100.545,100.297,100.006,99.336,99.166,99.44,99.441,99.478,99.282,99.16,99.226,99.483,99.59,99.94,100.058,100.209,100.347,100.298,100.291,100.55,101.011,100.991,100.816,100.707,100.5,100.412,100.417,100.307,99.827,99.78,99.732,99.805,99.715,99.443,99.357,99.555,99.494,99.451,99.787,99.946,99.968,99.9,100.188,99.769,99.44,99.346,99.606,99.927,100.315,100.488,100.514,100.801,100.881,101.022,100.801,101.05,101.35,101.772,101.922,102.35,102.617,102.895,102.916,103.085,103.432,104.005,104.163,104.362,104.481,103.889,103.569,103.744,104.115,105.058,105.726,105.473,105.756,105.61,105.196,105.518,105.585,105.423,105.132
"41","33","S3 PN4531ZZMG       Florists","T070333",95.767,96.137,97.818,100.371,97.644,99.902,99.364,98.121,97.305,95.127,94.704,99.044,97.418,96.843,96.72,98.039,96.899,94.174,93.766,94.041,95.255,95.753,96.125,95.745,94.102,95.978,95.252,93.638,95.325,96.453,96.187,97.064,97.527,98.376,98.379,98.302,98.151,98.849,98.453,98.212,98.968,98.766,99.387,99.5,100.496,99.459,99.484,98.3,95.265,96.346,99.038,99.239,98.575,96.015,96.044,95.775,97.5,94.267,94.474,97.941,95.883,95.11,96.665,97.924,96.807,95.264,94.051,92.733,91.247,92.555,92.128,92.094,96.941,97.745,95.262,97.243,95.801,95.326,96.05,95.794,94.137,93.842,94.214,93.493,93.643,95.477,95.546,95.685,95.486,95.602,92.372,92.41,91.827,92.547,91.396,93.301,92.537,93.486,97.318,99.079,99.418,99.106,98.855,98.314,97.455,97.241,98.139,97.701,98.932,100.927,100.195,99.946,100.018,100.268,100.024,100.251,100.053,100.339,100.479,100.334,100.456,100.351,100.024,100.375,100.661,100.437,100.417,99.312,100.005,100.572,100.757,99.574,100.008,99.905,99.446,99.659,99.203,99.22,99.658,99.895,99.999,99.518,99.757,101.308,101.366,101.863,102.714,103.698,103.058,101.707,102.02,102.497,102.824,103.887,102.92,102.265,101.483,100.738,99.69,100.05,99.888,99.559,99.588,100.12,100.231,99.903,99.504,99.554,99.331,99.092,99.146,99.392,99.576,99.547,99.002,98.578,98.257,98.591,98.964,99.021,98.811,98.747,98.332,98.349,98.414,98.001,97.971,97.785,97.635,97.396,96.874,96.293,95.848,95.143,95.37,95.409,95.383,95.002,95.673,95.71,95.939,96.13,96.181,96.342,96.324,96.715,97.042,96.461,96.432,96.901,96.991,96.679,96.028,95.811,95.701,95.439
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.293,105.573,105.926,106.192,106.097,106.288,107.114,106.907,106.569,106.783,107.746,107.598,107.102,107.105,107.277,107.615,107.864,107.904,107.863,108.731,107.958,108.603,109.005,109.144,109.064,109.612,109.757,109.561,109.529,109.668,109.479,109.566,109.77,110.264,109.933,110.559,110.933,111.112,111.322,111.845,111.991,112.472,112.974,113.769,113.846,113.399,113.941,114.129,114.649,114.855,114.404,115.299,115.051,115.048,115.628,115.629,115.72,116.037,116.281,116.08,116.326,116.739,117.404,117.554,117.542,117.607,117.932,117.399,117.619,117.535,117.287,117.818,117.922,117.555,117.38,117.963,117.715,117.711,117.9,117.756,117.708,118.114,117.437,117.202,117.111,116.517,116.495,116.504,116.476,116.225,115.86,115.844,116.194,115.378,114.885,114.941,115.026,115.016,114.853,114.94,114.941,114.307,114.308,113.74,113.88,114.237,113.843,113.259,113.401,113.475,113.17,112.768,112.593,112.577,112.396,112.031,112.04,111.695,111.364,110.797,110.68,110.639,110.403,110.632,110.323,110.287,110.101,109.439,109.067,109.377,108.831,108.558,108.434,108.374,108.187,107.743,106.921,106.346,106.303,105.703,105.414,104.968,104.499,104.259,104.296,104.146,104.015,103.835,103.648,103.667,103.399,103.511,103.32,103.571,103.356,103.074,102.621,101.978,101.73,101.506,100.858,100.019,99.64,99.093,98.69,98.371,97.914,97.581,97.487,97.463,97.16,97.09,96.872,96.661,96.38,96.736,96.415,96.138,95.986,96.147,96.123,96.31,96.348,96.36,96.59,96.605,96.664,96.267,96.269,96.594,96.911,96.652,96.932,97.211,97.27,97.037,96.927,96.821,96.995,96.813,96.475,96.401,95.642,95.159,95.038,95.278,95.074,94.961,94.58,94.682,93.84,93.148,93.241,93.649,93.415,92.987
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",107.412,107.733,108.069,108.214,108.25,108.272,108.507,108.315,108.442,108.697,108.989,108.832,108.68,108.727,108.606,108.885,108.623,108.516,108.446,108.896,108.713,108.954,109.214,109.087,108.809,108.712,108.923,109.144,109.259,109.571,109.814,109.691,109.651,109.325,109.548,109.336,109.361,108.948,109.047,109.263,108.78,108.41,108.762,109.228,109.309,109.301,109.013,109.172,109.626,109.557,109.771,109.865,109.457,109.211,109.015,108.569,109.316,109.171,109.097,109.073,109.156,109.142,109.188,109.345,109.486,109.347,108.937,108.526,108.67,108.484,108.299,108.227,107.904,107.564,107.531,107.734,107.716,107.474,107.643,108.048,107.364,107.505,107.336,107.06,107.163,106.607,106.27,107.233,107.08,106.829,106.795,106.734,106.94,106.927,106.725,106.82,106.82,106.888,107.243,106.799,106.747,106.762,106.764,106.375,106.831,106.673,106.703,106.471,106.646,106.714,106.51,106.327,105.966,106.028,105.787,105.234,105.131,104.912,104.605,104.218,104.006,103.924,104.123,104.284,104.088,103.856,103.622,103.796,103.643,103.492,103.361,102.975,102.811,102.895,102.434,102.129,101.439,101.377,101.567,101.708,101.742,101.568,101.314,101.069,101.395,101.444,101.639,101.575,101.665,101.974,101.653,101.092,101.069,101.727,101.823,101.393,101.339,100.891,100.976,100.874,100.819,100.037,99.665,99.548,99.312,99.049,98.951,98.722,98.819,98.474,98.61,99.01,99.207,99.147,99.02,99.382,98.759,98.489,98.265,98.327,98.789,99.543,99.247,99.097,99.318,99.767,100.287,100.529,101.448,102.308,102.466,103.195,103.623,103.405,103.108,102.915,102.807,102.845,103.12,103.475,103.603,103.355,102.851,102.205,102.348,102.978,103.144,103.039,102.794,102.965,102.68,102.22,102.543,102.087,101.584,101.378
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",76.041,76.133,76.154,76.315,76.415,76.523,76.761,76.939,76.83,77.021,77.347,77.522,77.901,78.172,78.415,78.604,78.711,78.624,78.87,78.611,78.235,78.439,78.804,78.972,79.412,79.379,80.021,80.137,80.335,80.561,80.753,80.854,81.017,81.105,81.59,81.726,82.108,82.283,82.218,82.419,82.462,82.621,82.771,82.646,82.811,82.946,83.554,83.624,83.852,84.021,84.362,84.517,84.539,84.555,84.73,84.689,84.917,85.118,85.371,85.471,85.566,85.629,85.704,85.974,85.85,85.635,85.72,85.787,85.94,86.125,86.058,85.879,86,86.128,85.657,86.08,86.457,86.335,86.641,86.608,86.778,86.855,86.822,88.379,89.328,89.002,88.608,89.704,89.587,89.49,90.111,89.783,90.734,90.729,90.611,90.596,90.875,91.213,91.626,92.095,91.664,91.774,92.146,91.786,92.42,92.026,92.459,91.825,92.203,92.316,92.183,92.957,92.896,93.144,93.533,92.927,93.665,93.087,93.31,92.544,92.582,93.04,92.667,93.895,93.43,93.926,93.992,94.361,94.638,94.16,94.102,94.016,94.309,94.57,94.346,94.094,93.506,93.578,94.064,94.428,94.681,94.691,94.779,94.917,95.343,95.599,96.273,96.531,97.03,97.419,97.542,97.483,98.129,98.637,98.855,98.862,99.073,99.285,99.407,99.554,99.851,99.679,99.931,100.2,100.687,100.835,100.693,100.804,101.292,101.279,101.383,102.019,102.45,102.673,102.847,103.162,102.693,102.221,102.135,102.538,103.17,103.702,104.156,104.22,104.585,104.708,104.865,104.688,105.049,105.29,105.966,106.414,107.065,107.538,108.099,108.352,108.82,109.684,110.614,111.016,111.651,111.983,111.412,111.221,111.664,112.085,114.191,115.836,115.674,116.111,116.56,116.387,117.037,116.963,116.937,116.742
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",90.053,90.217,90.4,90.595,90.727,91.242,91.629,91.747,91.742,91.858,91.924,91.79,91.606,91.644,91.989,92.242,92.17,92.08,92.098,92.093,92.009,92.268,92.243,91.951,91.831,92.788,92.768,92.499,92.496,92.709,93.057,93.151,93.114,92.789,92.825,92.864,92.915,92.78,92.754,92.912,93.027,93.169,93.394,93.563,93.562,93.398,93.25,93.691,95.105,95.001,95.64,96.679,96.318,95.604,95.555,95.578,96.204,97.437,97.604,97.726,97.627,97.569,97.111,96.771,96.566,96.467,96.155,95.886,95.789,95.715,95.593,95.645,95.255,94.816,94.62,94.734,94.821,94.618,94.669,94.636,94.106,94.065,93.743,93.372,93.274,92.997,93.003,93.82,94.032,94.165,94.526,94.898,95.554,95.7,95.884,96.485,97.201,100.457,99.062,98.463,98.461,98.649,98.98,98.846,100.342,100.474,100.554,100.742,100.319,99.777,99.026,98.867,98.73,99.021,98.596,98.149,98.318,97.539,96.777,95.86,95.482,95.151,95.351,95.909,95.927,95.815,95.852,95.875,95.721,95.91,95.893,95.837,96.767,98.189,99.017,96.905,95.593,95.145,95.156,95.092,94.809,94.63,94.848,95.093,96.199,96.124,96.132,96.192,96.766,96.993,96.839,96.956,97.162,98.222,98.767,98.074,97.88,98.003,98.659,99.172,99.083,99.204,99.892,100.343,102.299,102.341,101.604,101.52,101.78,101.47,101.372,101.578,101.636,101.41,101.327,101.648,100.858,100.147,99.921,100.383,100.43,101.548,102.278,102.969,103.352,103.739,104.273,104.457,105.299,106.222,108.626,109.321,109.865,109.984,111.079,111.423,112.102,113.353,113.767,112.803,111.993,110.392,107.813,106.001,105.631,105.887,105.131,105.334,105.325,106.191,105.722,105.909,105.841,106.215,106.815,106.545
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",106.701,107.172,107.586,107.971,107.961,107.995,108.326,108.288,108.349,108.54,108.929,108.994,108.963,109.093,109.137,109.179,109.142,109.131,109.309,109.693,109.686,109.819,109.996,110.083,109.999,110.194,110.436,110.522,110.75,110.915,110.973,110.982,111.017,110.975,111.141,111.116,111.128,110.84,110.773,110.881,110.702,110.651,110.97,111.309,111.318,111.369,111.457,111.561,111.769,111.823,111.916,112.001,111.768,111.649,111.757,111.56,111.807,111.995,111.794,111.647,111.752,111.924,112.051,111.999,111.947,111.905,111.744,111.281,111.265,111.108,111.033,111.225,111.24,111.046,110.901,111.257,111.253,111.032,111.011,111.119,110.826,110.889,110.604,110.455,110.419,110.175,109.989,110.479,110.483,110.364,110.226,110.185,110.193,110.103,110.006,110.03,109.944,109.742,109.908,109.82,109.82,109.538,109.502,109.308,109.385,109.353,109.302,109.192,109.26,109.217,108.982,108.768,108.308,108.455,108.433,107.863,107.505,107.509,107.298,107.09,106.84,106.588,106.398,106.476,106.449,106.192,106.026,105.905,105.455,105.23,104.903,104.533,104.369,104.026,103.784,103.57,102.806,102.446,102.449,102.069,101.787,101.81,101.525,101.376,101.468,101.431,101.43,101.581,101.534,101.351,101.027,100.744,100.624,100.633,100.22,99.74,99.73,99.596,99.744,99.889,100.019,99.873,99.931,99.9,100.143,100.316,100.284,100.46,100.275,100.089,100.064,99.851,99.545,99.182,98.936,99.13,98.792,98.537,98.218,98.287,98.972,99.812,100.204,100.58,100.898,101.376,101.639,101.949,102.392,102.759,103.284,103.5,103.75,103.762,103.668,103.449,103.037,103.062,103.063,103.284,103.126,103.104,103.01,102.822,102.849,103.231,103.025,103.12,103.122,103.279,102.788,102.453,102.377,102.568,102.452,102.118
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",73.383,73.634,73.816,73.784,73.7,73.935,73.923,74.424,74.613,74.613,74.542,74.594,74.745,74.924,74.949,75.151,75.707,75.547,75.516,75.628,75.514,75.766,75.842,76.091,76.236,76.199,76.063,76.282,76.478,76.776,76.957,76.943,77.017,76.874,76.96,77.323,77.318,77.57,77.557,78.105,78.206,78.237,78.378,78.455,78.66,78.933,78.87,79.09,79.316,79.667,80.016,80.296,80.339,80.831,81.187,81.4,81.747,82.207,82.414,82.378,82.325,82.729,82.616,82.692,82.636,82.8,82.868,83.051,83.186,83.283,83.506,83.506,83.83,83.852,83.902,84.098,84.366,84.365,84.593,84.894,84.886,85.271,85.357,85.81,86.326,86.33,86.135,86.367,86.438,86.425,86.619,86.687,87.1,87.178,87.375,87.358,87.436,87.702,87.911,88.112,88.503,88.492,88.972,89.225,89.423,89.431,89.483,89.954,90.028,90.646,90.859,91.074,91.203,91.552,91.977,92.073,92.192,92.526,92.543,92.392,92.776,93.162,93.253,93.627,93.049,93.145,93.255,93.304,93.39,93.237,93.551,93.526,93.638,94.117,94.367,94.326,94.408,95.055,95.187,95.593,95.799,96.106,96.618,97.08,96.888,97.032,97.411,97.537,98.326,98.504,98.705,98.788,98.571,99.242,99.664,99.538,99.41,99.086,99.272,100.256,100.212,99.937,100.094,100.005,100.149,100.287,100.608,100.742,101.031,100.924,101.067,100.942,101.048,101.385,101.663,101.949,102.306,102.593,102.452,102.453,99.569,101.749,104.928,106.723,107.881,107.971,109.857,109.429,112.328,114.976,126.831,129.619,130.55,131.138,131.513,133.245,133.976,135.077,136.782,137.701,138.424,138.758,138.915,138.619,138.554,138.025,137.436,137.064,136.319,136.416,135.814,135.686,135.24,135.369,135.388,135.751
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",66.01,65.956,65.971,66.055,66.272,67.024,67.452,67.589,67.51,67.578,67.453,67.189,66.88,66.829,67.363,67.713,67.531,67.422,67.347,67.082,66.973,67.271,67.1,66.511,66.346,67.812,67.641,67.096,66.906,67.107,67.611,67.761,67.667,67.186,67.12,67.151,67.228,67.165,67.167,67.279,67.585,67.857,67.986,68.014,67.982,67.621,67.308,67.952,70.196,69.937,70.935,72.654,72.209,70.962,70.726,70.905,71.803,73.827,74.289,74.655,74.415,74.118,73.174,72.565,72.237,72.076,71.63,71.519,71.33,71.327,71.129,71.053,70.176,69.451,69.184,69.007,69.154,68.96,69.053,68.827,68.017,67.804,67.409,66.705,66.454,66.116,66.358,67.532,67.966,68.381,69.301,70.168,71.598,72.034,72.558,73.956,75.803,84.103,80.307,78.894,78.872,79.742,80.543,80.438,84.075,84.466,84.732,85.291,84.111,82.765,81.209,81.075,81.369,81.862,80.738,80.436,81.396,79.354,77.684,75.624,74.973,74.448,75.265,76.536,76.707,76.81,77.155,77.41,77.709,78.586,79.028,79.467,82.125,86.385,89.062,83.732,81.476,80.806,80.793,81.194,80.849,80.27,81.276,82.143,85.154,84.946,84.886,84.7,86.449,87.48,87.598,88.489,89.366,92.571,95.109,93.899,93.285,94.018,95.866,97.196,96.602,97.393,99.649,101.368,107.797,107.579,104.986,104.261,105.73,105.075,104.779,106.208,107.267,107.38,107.735,108.413,106.18,104.003,104.008,105.711,104.058,105.855,107.317,108.826,109.313,109.418,110.664,110.489,112.375,114.902,122.664,124.761,126.235,126.67,131.758,133.872,138.247,143.793,145.535,140.196,136.937,129.699,118.673,111.367,109.565,109.369,106.74,107.258,107.211,110.507,110.128,112.202,112.193,113.249,116.543,116.527
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",71.922,72.035,72.126,72.264,72.373,72.447,72.508,72.615,72.791,72.828,72.924,73.029,73.187,73.314,73.415,73.57,73.71,73.839,73.942,74.008,74.084,74.174,74.232,74.335,74.471,74.498,74.614,74.767,74.86,74.951,74.997,75.092,75.257,75.381,75.572,75.692,75.805,75.958,76.18,76.346,76.488,76.607,76.753,76.891,77.034,77.201,77.282,77.392,77.526,77.691,77.838,78.068,78.278,78.419,78.595,78.782,78.971,79.324,79.545,79.698,79.895,80.035,80.236,80.336,80.371,80.542,80.758,80.903,81.15,81.332,81.529,81.734,81.903,82.077,82.182,82.28,82.478,82.518,82.761,82.921,83.216,83.375,83.474,83.712,83.967,84.076,84.226,84.421,84.573,84.673,84.906,85.085,85.274,85.387,85.563,85.768,85.98,86.173,86.327,86.485,86.683,86.867,87.156,87.375,87.608,87.761,88.033,88.192,88.493,88.654,88.993,89.235,89.479,89.7,89.983,90.308,90.434,90.718,90.958,91.109,91.33,91.591,91.7,91.772,91.932,92.191,92.357,92.525,92.679,92.852,93.052,93.135,93.09,93.445,93.635,93.684,93.857,94.054,94.257,94.366,94.521,94.764,95.035,95.308,95.599,95.869,96.045,96.304,96.602,96.804,97.243,97.531,97.726,97.968,98.125,98.282,98.733,99.004,99.181,99.384,99.576,99.875,100.111,100.392,100.558,100.861,101.082,101.244,101.601,101.936,102.152,102.404,102.81,103.104,103.38,103.619,103.722,104.021,104.199,104.531,105.015,105.442,105.513,105.893,106.207,106.493,107.012,107.469,108.006,108.338,108.526,108.837,109.259,109.642,109.994,110.294,110.737,111.317,112.005,112.287,112.824,113.362,113.718,114.043,114.418,114.733,114.883,115.251,115.321,115.481,115.52,115.617,115.766,115.809,116.026,116.104
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",71.718,71.831,71.941,72.102,72.213,72.286,72.353,72.46,72.638,72.678,72.781,72.889,73.043,73.163,73.278,73.438,73.577,73.707,73.816,73.886,73.959,74.048,74.096,74.214,74.367,74.389,74.506,74.666,74.755,74.848,74.883,74.977,75.143,75.271,75.466,75.584,75.688,75.846,76.076,76.253,76.402,76.524,76.674,76.817,76.96,77.122,77.206,77.313,77.45,77.62,77.771,78.014,78.225,78.368,78.523,78.717,78.911,79.267,79.482,79.634,79.842,79.984,80.186,80.286,80.339,80.507,80.732,80.88,81.126,81.305,81.501,81.717,81.888,82.058,82.178,82.326,82.553,82.685,82.832,83.058,83.323,83.533,83.666,83.94,84.147,84.46,84.547,84.64,84.837,84.946,85.173,85.299,85.492,85.587,85.771,85.885,86.078,86.316,86.41,86.615,86.891,87.094,87.414,87.619,87.924,88.039,88.27,88.338,88.694,88.985,89.314,89.565,89.773,90.021,90.301,90.614,90.733,90.99,91.195,91.279,91.416,91.709,91.896,92.024,92.183,92.402,92.517,92.706,92.882,93.05,93.278,93.337,93.485,93.683,93.848,93.974,94.07,94.353,94.513,94.639,94.828,94.991,95.246,95.515,95.79,95.996,96.202,96.421,96.659,96.886,97.344,97.542,97.753,98.005,98.277,98.457,98.86,99.138,99.26,99.415,99.57,99.848,100.085,100.314,100.494,100.756,101.002,101.182,101.47,101.946,102.205,102.519,102.979,103.269,103.578,103.807,103.934,104.323,104.344,104.711,105.193,105.635,105.693,106.084,106.403,106.66,107.188,107.669,108.23,108.573,108.732,109.067,109.445,109.877,110.186,110.502,110.855,111.43,111.946,112.128,112.594,113.05,113.176,113.356,113.651,113.959,114.138,114.632,114.666,114.764,114.805,114.848,114.978,115.042,115.222,115.409
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",72.574,72.681,72.717,72.788,72.894,72.964,73.003,73.105,73.273,73.297,73.376,73.469,73.635,73.777,73.841,73.98,74.116,74.25,74.337,74.398,74.492,74.586,74.666,74.732,74.827,74.864,74.978,75.119,75.22,75.308,75.378,75.475,75.64,75.758,75.942,76.063,76.199,76.343,76.548,76.685,76.806,76.918,77.055,77.18,77.324,77.5,77.572,77.687,77.808,77.957,78.09,78.291,78.497,78.633,78.853,79.024,79.202,79.55,79.791,79.951,80.127,80.262,80.468,80.567,80.558,80.739,80.932,81.072,81.326,81.513,81.714,81.89,82.055,82.233,82.32,82.363,82.549,82.462,82.807,82.883,83.207,83.299,83.363,83.527,83.854,83.695,83.932,84.26,84.343,84.424,84.668,84.911,85.081,85.239,85.402,85.724,85.952,86.085,86.344,86.449,86.534,86.682,86.908,87.133,87.274,87.473,87.802,88.093,88.321,88.305,88.659,88.88,89.165,89.338,89.629,89.98,90.12,90.436,90.717,90.954,91.295,91.523,91.519,91.491,91.655,91.985,92.221,92.346,92.462,92.639,92.775,92.896,92.56,93.145,93.373,93.315,93.592,93.671,93.938,94.032,94.112,94.465,94.758,95.036,95.358,95.72,95.852,96.151,96.521,96.672,97.091,97.507,97.684,97.905,97.899,98.019,98.553,98.813,99.066,99.335,99.579,99.904,100.139,100.488,100.634,100.993,101.18,101.317,101.755,101.898,102.058,102.223,102.541,102.829,103.061,103.31,103.367,103.563,103.962,104.25,104.731,105.173,105.23,105.621,105.939,106.196,106.721,107.2,107.759,108.099,108.252,108.582,109.072,109.39,109.806,110.083,110.651,111.239,112.166,112.586,113.222,113.871,114.536,115.059,115.544,115.867,115.973,116.166,116.284,116.524,116.56,116.727,116.902,116.915,117.18,117.112
"52","44","S4 PN7223ZZMG   Special food Services","T070443",72.674,72.786,72.837,72.933,73.037,73.111,73.17,73.277,73.456,73.483,73.563,73.654,73.812,73.95,74.028,74.185,74.329,74.459,74.549,74.612,74.708,74.803,74.88,74.953,75.048,75.081,75.198,75.345,75.449,75.545,75.604,75.703,75.868,75.989,76.176,76.294,76.421,76.57,76.784,76.941,77.073,77.188,77.33,77.456,77.607,77.78,77.85,77.962,78.093,78.245,78.391,78.603,78.811,78.947,79.166,79.339,79.522,79.868,80.102,80.258,80.43,80.567,80.771,80.878,80.88,81.064,81.257,81.395,81.645,81.833,82.03,82.224,82.382,82.543,82.663,82.863,83.168,83.287,83.355,83.598,83.836,84.064,84.224,84.46,84.684,84.991,85.075,85.179,85.342,85.427,85.669,85.759,85.943,86.088,86.253,86.346,86.522,86.761,86.926,87.148,87.395,87.57,87.828,87.992,88.314,88.405,88.64,88.707,89.074,89.371,89.695,89.924,90.1,90.336,90.602,90.917,91.013,91.239,91.434,91.492,91.631,91.966,92.121,92.223,92.369,92.623,92.737,92.913,93.07,93.218,93.389,93.461,93.581,93.8,93.957,94.077,94.194,94.48,94.652,94.809,94.921,95.076,95.322,95.594,95.886,96.075,96.317,96.493,96.722,96.901,97.349,97.544,97.774,98.023,98.282,98.436,98.865,99.142,99.264,99.419,99.575,99.855,100.094,100.324,100.503,100.762,101.007,101.189,101.448,101.899,102.181,102.47,102.87,103.112,103.43,103.657,103.741,104.183,104.215,104.589,105.106,105.441,105.612,105.895,106.182,106.709,107.166,107.456,107.835,108.085,108.508,108.67,109.035,109.457,109.76,110.073,110.425,110.998,111.513,111.695,112.159,112.612,112.739,112.923,113.225,113.54,113.726,114.223,114.261,114.362,114.406,114.452,114.582,114.647,114.828,115.014
