"","Table 7#6# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"40","30","    Information processing equipment and software","B679RG",136.36,140.91,143.51,144.65,142.81,143.75,144.94,145.91,145.94,145.05,144.78,146.1,148.09,146.59,148.2,151.08,156.35,157.34,158.4,157.11,158.25,156.84,152.88,150.68,152.69,154.08,154.68,155.41,152.99,154.9,155.13,159.59,158.89,156.57,156.33,157.57,161.86,155.7,165.58,163.88,168.51,167.69,167.42,174.51,170.56,171.55,171.87,171.75,171.56,172.45,173.83,174.56,173.83,174.05,172.76,168.93,171.6,173.01,167.77,168.47,168.37,168.36,166.07,163.18,162.2,161.52,160.49,159.56,159.63,159.33,157.81,157.75,157.04,154.6,155.63,152.04,149.99,148.42,146.45,145.57,145.85,145.86,146.41,146.16,145.22,145.13,145.08,146.06,146.57,146.59,146.98,147.51,148.75,149.07,148.38,148.06,147.2,146.17,145.07,144.24,143.7,142.93,142.58,142.74,144.26,145.17,144.49,143.25,143.2,146.14,149.01,151.98,155.29,156.96,157.01,157.52,158.17,158.63,158.74,157.97,158.51,157.87,156.08,153.5,152.23,151.36,150.51,149.73,150.17,150.45,149.63,149.04,150.12,150.96,151.84,152.76,154.19,155.4,155.77,156.01,155.3,157.1,157.88,158.67,156.16,154.02,152.31,151.07,149.47,148.28,146.94,145.98,144.76,143.25,141.99,140.76,138.78,138.25,139.47,139.2,137.07,135.12,133.63,134.55,135.06,133.84,133.22,133.48,133.22,132.09,131.36,130.34,129.39,128.85,128.99,128.93,129.24,128.13,126.24,124.61,123.49,121.59,120.35,119.06,118.88,117.79,116.73,115.59,114.65,113.86,112.71,111.15,110.03,109.04,107.3,105.27,103,100.64,98.98,97.38,95.54,93.88,92.11,90.37,87.66,85.43,83.58,81.93,80.74,79.61,78.62,77.74,77.17,76.69,76.58,76.02,74.85,74.23,73.29,72.52,71.96,71.31,70.76,70.12,69.3,68.81
"41","31","      Computers and peripheral equipment \1\","B935RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124127.52,108255.46,93619.86,79486.81,82810.63,96548.38,85419.96,53593.97,67835.88,78679.01,42750.74,45937.36,46856.61,49392.45,39729.89,30862.21,29191.83,28027.01,26727.9,25633.57,25005.65,24214.44,21823.13,20622.3,20940.07,18581.88,19597.97,16623.87,15217.72,13812.8,12418.74,11641.78,11158.39,10837.18,10786.45,10354.39,9787.98,9361.17,8895.08,8766.15,8620.27,8438.26,8207.85,8062.65,8054.56,7811.72,7270.44,6800.79,6386.13,5871.31,5432.83,5104.44,4812.06,4648.23,4486.49,4422.63,4568.47,4545.61,4296.6,4005.4,3767.91,3590.35,3467.69,3393.63,3405.96,3379.14,3259.98,3108.72,2942.83,2792.5,2667.74,2582.86,2608.23,2523.91,2335.15,2093.26,1848.46,1663.67,1526.43,1428.69,1434.14,1392.44,1311.84,1220.33,1160.02,1075.8,999.25,947.31,938.76,934.14,917.01,885.69,828.91,826.42,818.21,815.6,748.17,701.42,659.26,633.35,593.25,562.84,538.98,523.45,500.27,479.84,463.1,442.81,412.5,401.45,406.52,404.21,369.71,347.66,332.65,333.84,330.58,321.99,317.56,315.29,312.3,301.5,297.76,288.75,276.13,272.63,272.21,268.11,261.88,252.97,236.96,226.58,224.34,213.35,202.88,196.22,190.5,181.49,174.25,167.23,164.03,160.93,155.81,148.38,141.31,135.62,128.04,120.19,111.05,101.85,96.26,90.84,85.19,79.68,74.52,70.15,64.29,58.94,54.43,50.32,47.06,44.32,42.21,40.81,39.65,38.34,37.34,36.16,33.22,31.75,30.14,28.53,27.48,26.84,25.84,24.91,23.94,23.24
"42","32","      Software \2\","B985RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.14,61.16,61.17,61.2,60.92,61.21,61.67,61.87,62.2,62.36,62.5,62.74,62.8,62.92,62.88,62.84,62.78,62.85,63.15,63.4,63.93,64.2,64.55,64.7,64.68,64.88,64.94,65.12,65.17,65.59,65.87,66.16,66.34,66.56,66.7,67.01,67.6,67.99,68.53,69.1,69.52,69.76,70.46,71.12,72.02,72.39,72.84,73.13,72.84,72.72,72.81,72.73,72.7,72.86,73.1,73.32,74.06,74.85,75.49,76.18,77.35,79.16,81.16,82.92,84.2,84.54,84.98,85.67,85.99,86.31,86.94,87.59,88.42,88.98,89.33,89.45,89.2,89.64,90.26,91.24,93.08,94.41,95.93,97.54,98.81,100.38,101.46,102.49,104.58,106,107.56,108.98,110.39,111.35,112.3,112.95,112.94,112.95,112.88,112.91,113.16,113.78,113.61,113.54,113.86,113.5,113.46,112.99,112.16,111.62,111.41,111.57,111.85,112.04,112.43,112.7,113.47,113.82,113.62,113.15,111.98,111.3,110.53,109.68,109.4,109.17,109.2,109.57,111.02,110.58,109.83,108.53,105.42,103.79,102.94,102.46,103.83,104.1,104.06,103.7,102.45,101.73,101.25,101,101.71,102.13,102.05,101.67,101.03,100.32,99.62,99.02,98.56,98.43,97.61,96.78,95.58,95.27,95.19,94.87,95.62,95.98,96.19,96.06,96.01,96.72,98.07,98.3,98.9,99.45,98.99,99.05,98.99,98.24,98.34,98.13,97.13,97.07
"43","33","      Other","B937RG",34.59,35.74,36.4,36.69,36.22,36.46,36.77,37.01,37.02,36.79,36.72,37.06,37.56,37.18,37.59,38.32,39.66,39.91,40.18,39.85,40.14,39.78,38.78,38.22,38.73,39.08,39.24,39.42,38.81,39.29,39.35,40.48,40.3,39.72,39.65,39.97,41.06,39.49,42,41.57,42.74,42.53,42.47,44.27,43.24,43.51,43.6,43.59,43.51,43.74,44.11,44.38,44.2,44.05,43.91,43.91,44.01,44.03,44.08,44.08,43.96,43.85,43.87,44,44.14,44.23,44.22,44.18,44.25,44.35,44.52,44.87,44.54,44.54,44.51,44.55,44.59,44.91,45.18,45.51,46.06,46.35,46.63,46.92,47.05,47.43,47.9,48.45,48.83,49.06,49.49,49.86,50.35,50.84,51.28,51.82,52.19,52.7,53.14,53.55,54.08,54.13,54.39,54.62,54.94,55.38,55.61,55.67,56.22,58.11,59.87,61.62,63.22,64.21,64.56,65.26,66.3,67.2,67.77,67.62,67.62,67.6,67.58,67.61,68.82,69.94,70.79,71.3,71.21,71.68,71.91,72.55,74.08,75.93,78.06,79.91,81.03,81.92,82.42,83.3,84.33,85.78,86.52,87.17,87.58,87.78,88.41,88.68,89.5,90.22,90.65,90.89,91.39,91.55,91.59,92.15,93.02,93.68,94.71,94.58,95.61,95.77,95.67,96.68,97.54,96.9,96.75,97.62,98.16,98.54,98.42,98.79,99.54,99.38,99.64,100.01,100.77,100.72,100.86,100.89,101.38,101.46,102.25,101.85,102.02,102.19,102.19,102.25,102.28,102.17,101.82,101.3,101.05,100.94,100.54,100.06,100.01,100.1,99.96,99.94,99.62,99.49,99.63,99.33,98.11,97.17,96.39,96.22,95.67,95.24,94.68,93.83,93.58,93.08,92.72,92.34,92,91.48,91.14,90.86,90.68,90.39,90.1,89.75,89.82,89.55
"44","34","    Industrial equipment","B680RG",10.5,10.98,11.2,11.53,11.43,11.65,12.22,12.6,12.67,12.63,12.51,12.28,12.47,12.68,13.22,13.82,14.69,14.74,14.64,14.77,14.63,14.93,14.82,14.88,14.98,15.24,15.36,15.34,15.62,15.58,15.38,15.43,15.68,15.81,16.06,16.69,16.97,17.62,17.91,18.46,18.81,18.82,19.15,19.5,19.38,19.5,19.56,19.61,19.65,19.85,20.07,20.22,20.32,20.35,20.38,20.32,20.28,20.17,20.13,20.11,20.07,20.14,20.22,20.25,20.25,20.22,20.21,20.25,20.3,20.36,20.45,20.54,20.61,20.68,20.75,20.83,20.95,21.11,21.36,21.65,21.89,22.1,22.29,22.49,22.67,22.98,23.27,23.57,23.68,23.77,23.94,24.22,24.57,24.94,25.28,25.59,25.82,26.11,26.38,26.57,26.61,26.71,26.78,26.9,27.07,27.32,27.64,27.98,28.42,29.16,30.48,32.3,34.32,35.95,37.05,37.8,38.33,38.93,39.63,40.41,41.49,42.49,43.4,44.24,45.29,46.17,47.11,48.11,49.33,50.59,51.96,53.15,55.24,57.1,58.87,60.53,61.9,63.06,64.06,64.89,65.2,66.52,67.04,67.33,67.62,67.97,67.98,68,68.24,68.71,68.77,68.87,68.9,69.39,70.05,70.88,71.95,72.74,73.49,73.8,75.22,75.93,76.1,77.38,78.36,79.46,79.58,80.95,81.58,81.9,82.79,83.73,85.03,85.81,86.87,88.2,89.39,89.18,89.48,90.29,90.92,91.3,92.24,91.96,92.21,92.7,93.06,93.5,93.76,94.39,95.04,95.78,96.41,97.85,98.57,99.1,99.59,99.78,100.14,100.49,100.56,100.56,100.76,100.95,101.03,101.2,101.43,101.67,101.92,101.81,101.93,102.25,102.38,102.44,102.64,102.74,103.14,103.45,103.45,103.54,103.42,103.33,103.67,103.83,104.14,104.27
"45","35","    Transportation equipment","B681RG",18.64,18.91,19.18,19.57,19.64,19.89,20.76,21.46,21.39,21.46,21.31,21.39,21.47,21.71,21.79,22.1,22.52,22.88,23.32,23.87,24.39,24.65,24.64,24.43,24.05,23.63,23.55,23.22,24.1,25.19,24.59,24.73,23.63,23.87,24.51,24.66,25.67,26.29,26.88,27.28,27.9,27.89,27.77,27.34,27.91,28.18,28.17,28.25,28.69,28.75,28.72,28.72,28.46,28.66,28.81,28.76,28.78,28.61,28.6,28.43,28.42,28.26,28.34,28.19,28.27,28.19,28.16,28.05,27.94,27.92,27.95,27.86,27.83,27.91,27.91,27.77,27.67,27.76,27.82,28,28,28.11,28.31,28.65,28.72,28.93,29.13,29.45,29.45,29.68,30.17,30.45,30.83,31.1,31.43,32.14,32.77,33.13,32.98,32.81,33.42,33.66,33.95,33.52,33.33,33.77,34.28,34.6,35.43,36.45,37.7,39.05,40.09,41.23,41.55,42.39,43.42,43.72,44.49,45.5,45.96,46.75,48.16,50,51.03,51.58,52.38,53.13,54.67,55.99,56.83,58.42,60.21,61.68,63.4,64.23,64.99,66.88,67.67,68.75,69.5,69.92,70.54,70.58,70.93,71.16,71.32,71.59,71.95,72.06,72.11,72.25,73.03,73.67,74.61,75.61,76.44,78.38,79.29,80.45,80.15,80.01,80.02,79.94,79.83,80.69,81.64,82.95,83,83.7,84.03,85.57,85.89,85.97,86.7,88.24,89.7,90.11,90.75,91.95,92.78,93.33,93.22,93.74,94.52,94.76,94.94,95.42,97.11,98.08,98.45,97.52,97.52,98.11,98.79,99.15,99.14,99.91,100.52,100.43,100.59,100.55,101.03,100.37,99.78,99.64,99.99,100.5,101.03,101.09,100.43,100.68,101.26,101.54,101.86,102.01,101.13,100.71,101.68,101.78,101.73,101.25,100.03,102.05,102.05,100.86
"46","36","    Other","B862RG",13.41,14.42,14.93,14.61,14.48,15.45,16.13,16.06,15.96,16.28,16.35,15.84,15.66,16.21,16.71,17.25,17.48,17.84,17.83,17.95,17.9,17.67,17.87,17.98,17.95,18.23,18.33,18.57,18.52,18.67,18.55,18.26,18.42,18.45,18.72,19.16,18.95,19.08,19.41,19.65,19.87,20,20.28,20.89,20.72,20.75,20.74,20.78,20.9,21.07,21.17,21.14,21.2,21.33,21.41,21.52,21.41,21.33,21.37,21.37,21.51,21.6,21.63,21.62,21.67,21.67,21.75,21.85,21.9,21.95,21.97,21.89,22.03,22.05,22.16,22.26,22.34,22.54,22.69,22.96,23.17,23.32,23.44,23.6,23.82,24.1,24.42,24.67,24.85,25.05,25.2,25.39,25.62,25.86,26.11,26.54,26.97,27.26,27.44,27.47,27.87,28.15,28.09,28.08,28.25,28.62,28.9,28.8,29.04,29.77,31.72,34.2,36.49,37.69,38.37,39.01,39.73,40.27,40.86,41.89,42.84,43.68,44.65,45.72,46.13,47.37,48.49,49.58,50.32,51.45,53.03,54.38,55.97,58.36,59.94,60.83,63.15,64.78,66.15,67.69,69.01,69.98,70.53,71.1,71.61,71.8,71.73,72.1,72.55,73.08,73.42,73.43,73.81,74.2,74.89,75.35,75.76,76.78,77.57,77.92,78.6,79.05,79.01,79.45,80.27,81.05,81.5,82.62,83.32,84,85.09,85.93,86.94,87.22,88.12,89.15,90.07,90.38,90.92,91.43,91.95,92.36,93.05,93.36,93.64,94.26,94.51,94.64,95.01,95.73,96.11,96.06,96.51,97.36,97.87,98.71,99.39,99.64,100.22,100.75,100.91,101.01,100.96,101.28,101.78,102.06,102.55,103.01,103.42,103.51,103.41,103.43,103.51,103.74,103.95,104.16,104.72,105.05,105.26,105.6,105.7,105.58,105.84,105.91,106.31,106.63
"47","37","Residential","B011RG",13.62,14.38,14.7,15.07,15.34,15.5,15.85,15.93,16.07,16.04,15.67,15.67,15.65,16.06,16.67,16.64,17.18,17.38,17.48,17.64,17.73,17.88,18.05,17.94,17.95,17.97,18.13,18.05,17.96,18.01,18.22,18.21,18.29,18.45,18.57,18.58,18.74,19.02,19.05,18.97,18.91,18.96,19.09,19.02,18.93,18.95,18.95,18.96,18.98,18.99,18.99,19,19.06,19.13,19.13,19.15,19.09,19.17,19.17,19.16,19.19,19.19,19.18,19.15,19.16,19.08,18.87,18.99,18.82,19.12,19.18,19.59,19.58,19.6,19.58,20.13,19.84,20.57,20.44,20.89,20.93,21,21.12,21.53,21.89,22.1,22.11,22.98,23.42,23.76,23.85,24.21,24.19,25.09,24.42,24.62,25.28,25.79,26.27,26.68,27.05,27.18,27.63,28.47,28.85,29.56,30.57,31.11,31.81,32.56,33.61,34.52,35.4,36.02,36.36,37.02,37.23,38.32,38.94,39.63,40.57,41.68,43.05,44.35,45.66,47.02,48.24,49.51,50.48,52.22,53.89,55.2,56.65,57.98,59.31,60.77,62.1,63.08,63.88,64.82,65.77,66.75,67.31,67.63,67.96,68.12,68.46,69.07,69.48,70.03,70.71,71.25,71.61,71.77,72.26,73.09,73.97,74.68,75.65,76.53,77.34,77.93,78.59,79.3,80.01,80.73,81.23,81.99,82.58,83.58,83.86,84.36,85.05,85.4,85.79,85.93,86.17,86.54,87.08,86.75,86.48,87.29,87.91,89.06,90.08,90.93,91.76,92.17,93.25,93.8,94.81,96.05,97.23,97.69,98.09,98.62,99,99.44,100.53,101.03,101.66,102.22,102.96,103.89,104.28,105.06,106.02,106.95,108.04,109.23,110.11,110.98,112.88,113.97,114.85,115.9,117.49,118.78,119.5,120.6,120.61,121.4,121.38,122.88,125.1,125.23
"48","38","  Structures","B012RG",13.18,13.94,14.25,14.61,14.87,15.03,15.37,15.44,15.59,15.57,15.21,15.22,15.19,15.59,16.19,16.16,16.68,16.88,16.97,17.13,17.22,17.37,17.54,17.43,17.45,17.47,17.62,17.55,17.45,17.5,17.72,17.72,17.8,17.95,18.08,18.09,18.25,18.54,18.57,18.49,18.44,18.49,18.61,18.52,18.45,18.47,18.47,18.49,18.5,18.52,18.51,18.52,18.58,18.66,18.66,18.68,18.63,18.7,18.71,18.69,18.73,18.73,18.73,18.7,18.71,18.63,18.42,18.55,18.37,18.68,18.73,19.15,19.13,19.16,19.14,19.7,19.41,20.13,20.01,20.46,20.5,20.57,20.69,21.09,21.45,21.66,21.66,22.53,22.97,23.31,23.4,23.76,23.73,24.64,23.96,24.16,24.82,25.33,25.82,26.22,26.6,26.73,27.18,28.03,28.41,29.13,30.14,30.68,31.39,32.12,33.16,34.04,34.92,35.53,35.87,36.52,36.72,37.81,38.43,39.12,40.07,41.18,42.56,43.86,45.17,46.54,47.75,49.02,49.99,51.73,53.42,54.73,56.18,57.51,58.84,60.3,61.62,62.59,63.37,64.31,65.25,66.21,66.77,67.08,67.41,67.57,67.9,68.51,68.93,69.49,70.19,70.74,71.11,71.28,71.79,72.63,73.54,74.24,75.22,76.12,76.93,77.53,78.19,78.92,79.65,80.36,80.88,81.64,82.24,83.27,83.54,84.05,84.76,85.1,85.5,85.63,85.9,86.31,86.82,86.52,86.24,87.06,87.69,88.88,89.93,90.78,91.62,92.03,93.12,93.67,94.69,95.97,97.17,97.65,98.06,98.6,98.98,99.44,100.54,101.04,101.67,102.28,103.05,104.01,104.39,105.21,106.18,107.14,108.27,109.52,110.41,111.31,113.26,114.36,115.27,116.35,117.96,119.29,120.03,121.16,121.16,121.98,121.98,123.51,125.82,125.98
"49","39","    Single family","B944RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.53,18.53,18.53,18.53,18.61,18.68,18.68,18.68,18.61,18.68,18.68,18.68,18.76,18.76,18.76,18.76,18.76,18.68,18.38,18.53,18.3,18.68,18.68,19.22,19.14,19.22,19.14,19.91,19.52,20.44,20.21,20.75,20.67,20.75,20.83,21.29,21.67,21.9,21.82,22.89,23.2,23.43,23.43,23.81,23.66,24.81,23.81,23.97,24.66,25.19,25.73,26.19,26.65,26.8,27.34,28.33,28.71,29.4,30.55,31.16,31.78,32.39,33.31,34.15,34.99,35.76,36.06,36.68,36.68,37.98,38.59,39.2,40.14,41.31,42.79,44.1,45.59,47.17,48.36,49.72,50.72,52.82,54.76,56.08,57.54,58.69,60.21,62.11,63.31,64.15,64.73,65.39,66.1,66.78,67.23,67.27,67.27,67.19,67.27,67.74,68.49,68.82,69.6,69.87,70.1,70.18,70.61,71.32,71.97,72.97,73.88,74.92,75.63,76.31,76.78,77.5,78.64,79.04,79.52,80.36,81.14,82.41,82.73,83.09,84.04,84.43,84.97,84.88,84.79,84.89,85.37,84.84,84.65,85.33,86.01,87.24,88.56,89.29,90.48,91.69,92.64,93.25,94.73,96.46,97.64,98,98.41,98.75,98.95,99.22,100.66,101.14,101.82,102.24,103.35,104.25,104.35,104.84,105.93,107.12,108.6,109.99,110.98,111.98,114.1,115.1,115.9,117,118.78,119.98,120.77,122.47,122.3,123.1,122.8,124.6,127.48,127.29
"50","40","    Multifamily","B292RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.45,19.45,19.44,19.44,19.44,19.53,19.53,19.62,19.44,19.53,19.53,19.62,19.62,19.62,19.62,19.62,19.62,19.53,19.27,19.36,19.18,19.53,19.62,20.14,20.15,20.15,20.15,20.85,20.5,21.37,21.2,21.72,21.63,21.72,21.81,22.42,22.69,22.95,22.86,24,24.35,24.61,24.61,24.87,24.79,25.93,24.88,24.96,25.75,26.36,26.98,27.42,27.94,28.03,28.64,29.6,30.04,30.74,31.97,32.67,33.37,33.98,34.95,35.74,36.61,37.4,37.75,38.54,38.45,39.85,40.46,40.99,40.92,42.83,44.8,46.38,47.93,49.36,50.23,51.17,51.65,53.3,54.84,55.86,57.41,58.44,59.88,61.74,62.81,63.9,64.95,66.31,68.06,69.73,71.2,72.21,73.26,73.82,74.29,74.97,75.36,75.73,76.7,77.25,78.11,78.61,79.48,80.64,81.81,83.14,84.26,85.4,87.08,86.77,86.66,87.24,88.84,89.18,89.35,89.68,89.65,90.07,89.41,88.85,88.52,88.32,88.66,88.72,89.6,90.2,91.17,90.94,90.8,91.61,92.3,93.47,93.95,93.73,93.98,94.28,94.34,94.16,94.93,96.08,96.9,97.03,97.41,97.88,98.69,99.15,100.78,101.51,102.4,103.16,105.07,107.29,110.12,112.64,114.96,116.46,116.68,117.09,117.48,118.34,121.66,122.82,123.47,124.12,124.66,125.2,125.5,126.98,126.81,127.64,127.33,129.19,132.18,131.98
"51","41","    Other structures","B863RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.88,18.93,18.91,18.96,19.01,19.07,19.09,19.14,19.14,19.21,19.23,19.15,19.13,19.13,19.12,19.03,19.06,19,18.98,19.1,19.03,19.17,19.3,19.45,19.49,19.44,19.56,19.67,19.68,20.02,20.09,20.39,20.57,20.6,20.78,20.98,21.43,21.58,21.8,22.22,22.96,23.58,23.87,24.28,24.5,24.97,24.95,25.28,25.77,26.18,26.49,26.81,26.98,27.13,27.36,27.96,28.36,29.26,29.93,30.3,31.25,32.32,33.6,34.6,35.43,35.77,36.1,36.75,37.28,38.05,38.69,39.58,40.86,41.67,42.79,44.04,45.02,46.08,47.49,48.8,49.96,51.31,52.78,54.22,55.64,57.29,58.42,59.38,60.96,62.03,62.93,63.98,64.83,65.79,66.13,66.44,66.89,67.21,67.84,68.62,68.63,69.64,70.16,71.1,71.46,71.61,72.09,73.01,74.12,74.23,75.27,75.93,76.66,77.43,78.61,79.42,79.33,80.57,81.21,81.98,82.51,83.36,83.8,84.77,85.4,85.81,86.05,86.48,87.06,87.81,88.27,88.28,87.83,88.84,89.39,90.53,91.28,92.41,92.85,92.22,93.66,94.2,94.63,95.33,96.63,97.31,97.72,98.53,99.05,99.77,100.36,100.83,101.37,102.17,102.35,103.15,103.46,104.41,105.02,105.61,106.45,107.66,108.53,109.31,110.85,112.07,113.18,114.28,115.82,117.46,118.2,118.49,118.76,119.62,120.04,121.18,122.57,123.31
"52","42","  Equipment","B013RG",55.72,56.25,56.88,57.98,58.48,59.64,60.88,60.69,59.72,58.35,57.06,56.48,56.35,56.69,57.99,59.58,61.73,61.93,61.7,61.27,61.53,61.56,61.67,61.24,61.17,61.26,61.51,61.38,61.1,60.78,60.21,59.18,58.97,59.07,58.53,57.59,56.87,56.17,56.04,55.25,54.59,54.15,55.41,58.1,54.98,54.54,54.8,54.56,54.59,54.77,54.69,54.59,54.42,54.24,53.98,53.6,53.36,53.26,53,52.7,52.46,52.15,51.66,51.41,51.1,51.08,51.04,50.93,50.75,50.54,50.45,50.32,50.15,49.83,49.13,48.71,48.66,48.66,48.75,48.71,48.63,48.67,48.82,49.05,49.39,49.68,49.94,50.34,50.6,50.83,51.09,51.34,51.57,51.95,52.03,52.27,52.56,52.77,52.97,52.89,52.97,53.01,52.94,52.96,53.04,53.21,53.36,53.57,54.09,55.33,57.4,59.54,60.9,61.64,62.32,63.24,64.16,65.01,65.56,66.01,66.46,66.9,67.49,68.28,68.94,69.85,71.04,72.34,73.55,74.22,74.74,75.83,77.2,78.84,80.3,81.39,82.93,84.58,86.11,87.05,88.73,90.24,91.05,91.65,91.97,92.16,92.84,93.7,93.56,93.69,93.07,93.33,93.48,92.93,92.33,92.64,92.56,93.38,93.62,93.76,94.28,94.64,95.11,94.6,94.89,95.65,95.6,96.25,96.13,95.99,96.7,97.05,96.82,97.11,97.18,97.61,96.92,96.23,97.71,96.19,96.51,96.66,97.02,96.54,96.35,97.18,97.54,97.76,98.16,98.95,99.64,99.5,99.53,99.35,99.31,99.4,99.84,99.44,100.06,100.66,101.17,100.03,99.53,99.19,99.88,99.27,99.75,99.29,98.57,97.85,97.95,97.96,97.74,98.36,98.19,98.1,98.73,98.25,98.52,98.5,98.66,98.14,97.91,97.97,96.96,95.54
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54"," 1. Includes new computers and peripheral equipment only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
