"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"45","37","  Automotive vehicles, engines, and parts","B651RG3",14.428,14.503,14.431,15.953,15.951,15.805,16.602,16.819,17.545,17.69,17.547,18.274,18.929,19.219,19.58,20.302,20.659,22.676,23.09,23.639,22.23,23.659,25.546,26.96,29.572,29.915,30.301,30.802,30.761,31.1,32.035,32.479,33.305,33.393,34.994,35.928,38.153,40.307,42.18,43.843,46.313,45.013,44.071,45.514,46.667,45.796,49.199,52.108,53.858,54.428,54.019,57.285,57.2,56.988,56.117,56.729,57.841,58.081,57.865,59.017,58.897,59.719,59.447,59.859,59.995,60.361,60.639,62.842,65.403,67.133,68.392,69.967,70.942,72.024,72.026,73.062,74.725,76.032,76.237,78.103,78.036,77.468,76.974,78.631,78.249,77.5,78.044,79.744,80.944,81.3,81.118,82.428,82.613,82.377,83.069,83.577,82.955,83.883,84.342,85.556,85.958,86.441,86.966,88.256,88.353,89.491,89.851,90.187,90.048,89.939,90.1,90.096,90.083,89.933,90.291,90.61,90.604,90.409,90.022,90.354,90.694,90.936,91.078,91.182,91.326,92.144,92.298,92.176,92.281,91.979,91.959,92.068,92.22,92.239,92.443,92.53,92.68,92.776,92.793,93.175,93.304,94.197,94.596,95.089,95.325,95.372,95.539,95.504,95.485,95.618,95.993,96.17,96.311,96.358,96.717,97.69,98.018,99.025,99.475,99.661,99.681,99.498,100.175,100.646,100.366,100.257,100.636,101.232,101.826,104.169,104.646,104.681,104.952,105.817,105.972,106.346,106.302,105.597,104.765,104.755,104.998,105.187,104.474,104.26,103.081,102.618,102.57
"46","38","  Consumer goods, except food and automotive","B652RG3",24.426,24.752,25.822,25.977,26.223,26.556,26.605,27.802,28.226,28.337,29.139,29.699,30.618,31.868,31.193,31.657,32.223,34.911,36.673,37.997,40.258,42.321,45.668,47.504,51.945,52.028,51.419,52.844,52.523,52.062,52.744,52.359,52.331,54.827,55.391,57.957,59.006,59.797,60.035,63.042,62.526,64.158,64.16,64.661,66.957,68.015,71.782,71.234,71.05,70.895,70.39,71.959,71.089,71.084,70.036,68.993,69.279,69.827,69.771,69.54,70.259,71.707,71.286,71.769,70.047,70.357,70.884,72.234,74.3,75.837,77.863,78.093,80.535,82.483,83.326,85.547,87.61,89.103,88.363,89.967,90.789,91,90.953,91.869,92.95,93.984,94.023,95.017,95.331,94.301,94.143,95.313,96.763,96.849,98.104,98.735,97.723,98.438,98.702,98.882,98.747,98.938,99.311,99.589,99.875,100.747,100.95,100.911,101.231,101.056,100.861,100.617,100.122,99.825,99.575,99.31,98.91,98.38,97.949,98.112,98.104,97.536,97.438,97.512,97.206,97.009,96.796,96.505,96.667,96.283,96.041,95.584,95.449,95.028,95.064,94.94,94.915,94.879,94.881,94.93,95.391,95.429,95.199,95.529,96.387,96.339,96.226,96.114,96.379,96.294,96.793,97.089,97.573,97.536,98.09,98.51,99.364,100.648,100.934,100.459,100.185,99.955,99.859,100.001,100.122,100.285,99.833,99.523,100.275,101.213,102.165,103.03,103.203,103.241,102.937,103.249,103.211,103.146,102.769,102.725,103.235,103.471,103.502,103.103,102.639,102.467,102.324
"47","39","    Durable goods","B697RG3",30.56,32.196,33.099,32.725,32.706,32.695,33.592,34.675,35.129,34.859,35.589,36.499,38.587,39.396,39.467,40.426,39.38,42.506,44.839,46.383,48.312,50.061,53.436,56.629,57.653,58.479,56.309,58.741,59.713,60.425,61.42,58.807,59.193,62.831,62.026,65.828,67.903,67.266,69.621,71.521,72.625,74.075,73.437,74.058,74.93,75.006,77.984,79.983,78.929,78.143,77.337,79.7,78.331,78.148,76.781,75.132,76.11,77.27,76.814,75.642,76.282,78.106,76.963,77.097,75.573,75.622,76.084,78.026,80.845,83.053,85.704,86.083,88.331,89.752,90.283,92.528,94.729,96.856,95.492,97.675,98.711,98.18,97.89,99.09,100.903,101.515,101.092,102.635,103.593,102.276,102.053,103.361,104.682,104.766,105.811,106.054,105.838,106.377,106.885,107.067,107.165,107.117,107.268,107.372,107.858,108.67,109.008,108.716,109.047,108.663,108.351,108.042,107.222,106.307,105.851,105.217,104.388,103.493,102.637,102.753,102.675,102.008,101.807,101.761,101.355,101.262,100.899,100.574,100.873,100.144,99.687,98.918,98.821,98.304,98.012,97.674,97.624,97.397,97.358,97.256,97.057,97.289,96.88,97.287,97.745,97.475,97.143,97.032,97.48,97.604,98.201,98.605,98.76,98.594,99.094,99.505,99.879,101.398,101.682,100.932,99.902,99.924,100.019,100.156,99.667,99.504,98.156,97.547,98.418,99.668,100.368,100.512,100.679,100.386,99.945,100.06,99.548,99.262,98.675,98.43,98.266,98.385,98.09,97.29,96.525,96.075,95.783
"48","40","    Nondurable goods","B698RG3",17.717,16.876,18.01,18.621,19.088,19.703,19.025,20.238,20.61,21.059,21.887,22.107,21.874,23.532,22.162,22.155,24.263,26.451,27.587,28.655,31.245,33.687,37.039,37.288,45.726,44.903,45.961,46.252,44.628,43.098,43.472,45.293,44.858,46.083,48.286,49.421,49.26,51.754,49.479,53.806,51.468,53.284,54.011,54.359,58.398,60.722,65.639,61.814,62.716,63.364,63.233,63.839,63.576,63.792,63.101,62.74,62.231,62.099,62.483,63.311,64.125,65.173,65.546,66.452,64.473,65.103,65.708,66.383,67.61,68.393,69.738,69.824,72.509,75.012,76.185,78.387,80.299,81.146,81.034,82.034,82.627,83.631,83.834,84.458,84.82,86.247,86.725,87.185,86.891,86.138,86.042,87.075,88.635,88.723,90.165,91.15,89.406,90.277,90.313,90.49,90.133,90.551,91.131,91.574,91.667,92.589,92.664,92.862,93.167,93.193,93.114,92.934,92.751,93.035,92.98,93.065,93.077,92.903,92.888,93.098,93.161,92.693,92.702,92.896,92.697,92.39,92.335,92.084,92.11,92.074,92.046,91.902,91.728,91.406,91.787,91.883,91.883,92.034,92.078,92.289,93.454,93.283,93.25,93.491,94.803,95.005,95.147,95.034,95.083,94.758,95.145,95.316,96.189,96.3,96.917,97.347,98.782,99.782,100.07,99.925,100.501,99.992,99.682,99.825,100.615,101.147,101.756,101.801,102.407,102.981,104.224,105.928,106.115,106.553,106.414,106.968,107.523,107.735,107.63,107.845,109.229,109.616,110.066,110.202,110.143,110.322,110.365
"49","41","  Other","B653RG3",20.461,20.548,20.582,21.515,21.815,21.919,22.605,22.903,23.081,23.072,23.199,23.369,24.242,24.916,25.365,25.831,26.644,28.857,29.908,31.406,32.115,34.82,37.861,40.47,42.245,42.097,40.432,40.111,40.322,41.107,42.143,42.596,44.041,45.322,46.008,46.364,47.95,49.539,50.444,51.63,53.629,54.48,54.461,56.972,59.313,60.118,61.769,62.521,63.194,63.319,62.232,63.068,62.717,62.365,61.564,61.291,61.346,61.314,61.28,61.016,61.162,61.685,61.008,60.726,59.079,59.325,59.184,60.564,61.602,61.69,62.558,63.179,64.728,66.349,66.987,68.803,70.412,72.026,71.711,73.124,73.966,74.023,73.207,73.426,74.162,74.132,74.836,76.248,76.726,76.032,75.382,76.038,76.634,76.684,77.617,77.934,77.413,78.115,78.419,78.798,78.94,79.525,80.508,81.472,82.17,83.34,83.715,83.666,83.505,83.434,83.15,83.158,83.154,82.735,82.727,82.653,82.5,82.72,82.16,82.256,82.163,81.95,82.204,82.518,82.727,83.489,83.851,83.947,84.5,83.506,82.583,82.072,81.881,82.15,82.532,82.719,83.594,83.841,84.206,84.44,85.214,86.426,87.058,87.763,88.519,89.104,89.767,91.315,91.059,91.298,92.181,92.234,91.951,92.54,93.581,95.623,98.26,102.659,104.489,104.152,100.603,99.247,99.435,100.715,101.808,102.808,102.918,103.612,105.332,106.764,107.581,107.314,107.176,107.702,107.484,108.141,108.468,108.096,107.141,107.424,108.597,108.532,108.749,108.817,107.861,107.236,107.05
"50","42","Imports of services \1\","B656RG3",18.905,19.011,19.231,19.312,19.47,19.766,19.917,20.032,20.949,21.387,21.739,22.28,22.125,22.378,22.78,23.375,23.967,25.675,27.095,28.131,29.743,30.911,31.581,32.47,32.873,33.481,33.907,34.562,34.69,34.781,35.43,36.009,36.65,37.328,38.038,38.91,39.451,40.444,41.945,42.794,43.765,45.321,47.39,49.445,52.322,53.242,54.864,55.349,55.65,55.992,56.316,57.201,57.45,56.664,55.691,55.537,55.408,55.368,55.45,55.412,55.648,55.615,53.852,52.713,52.063,53.43,55.167,56.899,59.296,59.981,60.786,61.07,60.105,60.747,61.583,62.12,63.708,64.372,64.047,64.358,63.651,63.498,63.56,64.42,66.012,66.983,69.096,72.156,72.192,70.359,70.619,71.106,71.841,72.453,74.527,73.436,73.296,74.055,73.518,73.867,73.995,74.179,75.85,76.494,75.544,77.965,78.27,78.121,78.581,79.057,79.645,80.35,79.887,79.955,79.122,78.662,76.807,77.572,77.828,79.206,79.498,80.599,81.048,80.568,80.355,79.678,80.271,79.743,80.634,79.354,79.635,78.923,78.947,81.186,82.116,81.644,83.168,85.504,86.576,86.942,87.671,86.919,89.133,90.582,90.668,90.226,91.644,91.819,92.816,93.765,94.38,94.345,94.297,95.499,97.195,98.676,99.593,102.655,104.098,100.889,99.084,98.901,100.279,101.735,101.561,101.462,101.484,102.759,103.595,104.745,104.46,103.62,104.332,104.601,104.841,105.383,105.57,105.581,105.68,106.884,107.241,107.373,107.358,107.015,105.834,105.789,105.263
"51","43","  Transport","Y804RG3",16.443,16.735,16.979,17.231,17.556,17.756,17.928,18.114,18.205,18.444,18.672,18.878,18.197,19.129,19.998,20.806,20.442,21.813,23.14,24.461,27.385,27.641,27.887,28.081,27.795,28.188,28.59,29.01,29.377,29.814,30.196,30.558,30.769,31.249,31.748,32.232,31.561,32.778,33.977,35.16,35.044,37.075,39.081,41.093,45.037,45.797,46.541,47.263,48.063,48.76,49.456,50.095,51.528,51.657,51.777,51.842,51.81,51.9,51.982,52.048,51.843,52.072,52.272,52.467,51.168,52.36,53.506,54.653,58.848,58.21,57.42,56.638,54.156,54.866,55.586,55.917,56.586,56.685,56.389,56.646,57.247,57.448,57.302,57.905,58.987,59.038,60.845,65.004,64.343,63.412,63.461,63.159,62.472,63.564,64.823,64.385,63.882,64.3,63.947,63.607,63.272,63.629,64.586,64.889,65.752,67.214,67.208,67.708,68.367,68.437,68.123,69.101,69.303,69.198,68.948,68.895,67.828,68.424,68.859,69.425,69.303,73.585,77.198,78.17,78.656,79.245,79.918,81.9,82.529,82.279,81.869,79.706,79.408,80.065,81.907,81.953,83.124,88.2,91.285,90.821,92.821,93.856,94.412,95.825,96.41,97.425,98.953,99.74,99.929,98.618,96.812,96.723,97.47,97.821,98.815,98.701,100.715,106.784,113.169,112.06,104.061,97.574,96.708,101.657,104.31,108.619,110.979,113.241,113.861,116.303,116.592,114.915,115.641,117.387,117.786,117.78,118.123,118.079,117.779,120.709,122.222,122.958,123.351,123.741,123.126,122.428,120.94
"52","44","  Travel (for all purposes including education)","Y805RG3",21.269,21.271,21.327,21.276,21.41,21.785,21.889,21.99,22.904,23.493,24.036,25.342,25.295,25.298,25.284,26.218,27.222,28.537,29.878,32.973,34.384,35.533,35.838,37.226,37.983,39.074,40.444,41.542,39.941,39.94,39.937,39.932,40.865,41.968,41.972,43.699,45.12,45.954,46.942,47.537,49.707,52.454,53.824,55.261,57.122,57.686,58.812,59.993,60.234,60.717,61.214,61.682,60.498,56.703,52.587,52.431,51.742,52.068,52.172,52.214,52.603,51.869,48.327,45.732,45.939,47.099,48.897,50.899,52.918,54.571,55.584,55.748,52.868,52.104,51.785,52.042,54.388,55.403,56.191,56.666,55.964,56.052,56.26,56.646,57.412,58.252,59.271,60.392,61.983,60.306,61.227,62.271,64.033,64.786,66.738,65.012,65.33,66.014,64.987,66.038,67.186,66.464,68.801,70.035,66.722,70.367,70.635,69.669,70.137,70.983,72.083,72.5,71.813,72.201,71.025,69.739,67.433,68.428,67.914,69.644,69.895,68.99,69.556,69.945,69.134,68.065,68.128,67.053,68.828,66.792,67.59,67.298,66.895,69.942,71.8,71.907,73.259,75.763,76.232,79.013,79.338,76.047,81.109,85.704,83.972,83.065,86.738,87.436,86.86,89.713,90.465,91.627,92.045,95.791,97.741,102.685,102.946,107.044,104.715,98.967,97.866,99.741,100.773,101.619,101.675,101.429,101.969,103.548,104.369,105.896,105.378,104.212,106.052,105.484,105.581,106.816,106.13,106.057,105.521,106.384,106.077,106.338,105.413,104.566,102.203,101.836,101.475
"53","45","  Charges for the use of intellectual property n.e.c.","B908RG3",18.149,18.366,18.618,18.834,19.098,19.396,19.556,19.78,20.151,20.469,20.724,20.947,21.148,21.32,21.522,21.819,22.179,22.598,23,23.445,24.04,24.669,25.462,26.085,26.637,27.058,27.565,28.065,28.467,28.81,29.263,29.81,30.401,30.987,31.501,32.103,32.608,33.399,34.038,34.749,35.48,36.335,37.314,38.222,39.295,40.183,41.124,42.228,43.355,44.19,44.926,45.862,46.462,46.841,47.413,47.954,48.366,48.984,49.562,49.915,50.592,51.148,51.563,51.99,52.468,52.944,53.335,53.913,54.245,54.424,54.925,55.344,55.929,56.425,56.939,57.456,57.902,58.557,59.212,59.847,60.574,61.327,61.795,62.354,63.216,63.879,64.678,65.616,66.164,66.532,67.002,67.489,68.043,68.549,68.938,69.366,69.903,70.301,70.549,70.934,71.346,71.738,72.274,72.645,73.166,73.605,73.948,74.319,74.819,75.128,75.574,76.02,76.45,76.624,76.812,77.061,77.099,77.227,77.439,77.665,77.944,78.352,78.714,79.145,79.877,80.314,80.752,81.182,81.702,82.175,82.385,82.49,82.723,83.254,83.617,84.137,84.953,85.006,85.491,85.929,86.788,87.561,88.26,89.09,89.893,90.594,91.702,92.634,93.273,94.087,94.753,94.982,96.025,96.781,97.263,98.158,99.175,100.263,101.288,100.146,99.562,99.624,100.078,100.676,101.095,101.256,101.596,102.2,103.058,103.958,104.551,104.781,105.397,105.68,106.005,106.461,106.784,106.989,107.436,107.834,108.211,108.741,109.129,109.074,108.623,109.032,109.379
"54","46","  Other business services \3\","Y806RG3",40.156,40.719,41.314,41.82,42.51,43.147,43.473,43.983,44.728,45.442,46.042,46.625,47.118,47.3,47.583,47.854,48.125,48.573,48.965,49.371,49.978,50.867,52.019,52.935,53.787,54.313,55.025,55.749,56.339,57.141,57.756,58.488,59.271,60.484,61.175,62.156,62.691,63.734,64.552,63.763,63.727,64.575,65.502,68.327,69.448,70.86,72.595,73.838,74.938,75.824,74.416,75.44,76.147,77.298,79.488,80.377,81.08,81.882,82.509,82.906,83.35,83.278,82.509,83.1,83.879,84.632,85.354,86.259,84.054,86.294,88.713,91.261,93.143,95.948,97.765,98.776,98.328,97.421,95.445,92.567,89.28,87.851,87.717,89.221,92.123,94.677,96.763,98.336,100.423,99.504,98.318,97.051,99.405,99.051,99.391,100.382,102.184,102.516,102.776,103.419,103.21,103.357,103.669,103.792,103.847,104.21,105.593,105.543,106.611,107.469,108.131,109.335,109.668,109.893,109.14,109.031,107.557,107.744,108.207,108.924,109.993,110.853,106.745,102.494,102.943,101.538,103.463,100.255,99.928,98.217,98.099,97.715,98.742,102.117,100.265,97.957,98.789,98.497,99.221,96.638,95.406,95.641,96.877,94.491,93.993,93.422,92.909,92.618,95.541,95.707,97.399,96.379,94.829,94.494,96.374,96.343,96.711,98.13,100.05,98.536,98.623,99.032,100.993,101.352,100.662,99.883,98.809,99.164,99.922,99.965,99.566,99.337,99.684,100.011,100.038,100.688,101.046,101.009,101.535,102.143,102.297,102.021,102.514,102.48,102.258,102.667,102.151
"55","47","  Government goods and services n.e.c.","Y807RG3",8.89,8.889,9.02,9.015,9.018,9.165,9.24,9.253,10.089,10.339,10.503,10.683,10.787,10.663,10.8,10.859,11.568,12.968,13.921,13.348,13.543,14.881,15.639,16.477,17.045,17.354,17.064,17.397,18.03,17.635,18.599,19.429,20.032,20.281,21.275,21.685,22.775,23.151,24.777,25.337,26.587,26.545,28.51,30.014,31.643,32.387,34.435,33.915,33.37,32.99,33.038,33.91,33.603,33.457,32.938,32.43,32.428,31.891,31.724,31.352,31.462,31.686,30.325,29.557,28.447,29.794,31.627,33.216,34.965,35.152,36.413,36.928,38.944,40.227,42.068,42.815,44.896,46.259,44.939,46.447,45.323,44.871,44.976,46.3,48.764,50.035,53.999,58.826,55.94,51.868,52.102,54.118,53.792,53.778,58.999,55.93,53.612,55.459,54.778,54.343,52.93,55.006,58.249,58.712,58.008,62.61,62.129,62.216,60.87,60.68,62.09,62.036,58.721,57.959,56.167,56.318,52.925,54.322,55.8,59.044,58.406,57.597,58.24,58.2,55.937,54.145,53.638,53.67,55.582,54.002,55.435,55.389,54.649,56.526,59.997,60.457,65.121,69.617,69.359,72.356,76.194,74.596,76.607,81.281,85.244,81.996,83.039,81.195,82.124,86.406,88.549,89.303,91.373,95.085,98.307,102.565,105.467,109.429,106.694,93.883,93.193,97.896,102.833,106.077,101.701,96.005,95.386,99.827,101.6,105.999,104.799,101.475,101.024,99.786,101.532,100.398,101.749,102.349,102.107,105.505,106.66,106.954,104.563,100.919,93.957,92.91,93.1
"56","48","  Other","B910RG3",16.913,17.115,17.349,17.551,17.796,18.073,18.222,18.431,18.775,19.073,19.31,19.52,19.709,19.87,20.059,20.335,20.67,21.059,21.431,21.843,22.393,22.978,23.716,24.298,24.817,25.213,25.686,26.153,26.527,26.846,27.268,27.779,28.332,28.879,29.359,29.921,30.39,31.128,31.721,32.382,33.061,33.855,34.766,35.61,36.609,37.436,38.313,39.342,40.394,41.172,41.86,42.732,43.292,43.646,44.181,44.685,45.071,45.647,46.185,46.514,47.145,47.662,48.047,48.443,48.885,49.328,49.694,50.237,50.552,50.723,51.192,51.583,52.126,52.587,53.065,53.545,53.961,54.571,55.179,55.769,56.442,57.144,57.585,58.114,58.929,59.554,60.3,61.17,61.671,62.006,62.438,62.887,63.402,63.871,64.229,64.626,65.121,65.493,65.728,66.095,66.492,66.864,67.364,67.704,68.066,68.839,69.209,69.593,70.306,70.558,70.729,71.07,71.386,71.556,71.519,71.802,71.186,71.604,71.855,72.188,72.155,74.012,75.305,75.78,77.038,77.627,78.284,78.579,78.277,78.247,77.713,76.652,77.007,77.329,77.469,78.008,79.594,80.833,82.283,82.653,84.81,85.713,86.251,87.295,93.083,93.659,95.316,96.172,97.033,97.547,97.462,96.455,97.876,98.891,99.502,100.441,102.051,103.687,105.879,102.823,100.218,98.781,99.721,101.28,100.097,100.975,101.907,102.936,104.533,106.273,106.527,105.916,107.818,108.528,108.649,109.107,109.568,109.506,110.026,111.458,111.963,112.936,113.309,113.2,111.822,112.163,112.046
"57",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","49","  Exports of durable goods","B332RG3",44.606,44.431,45.078,46.711,47.089,48.154,47.13,46.899,48.907,48.601,47.553,48.61,49.24,49.22,49.18,49.967,50.547,52.08,53.24,55.212,58.26,59.919,63.995,66.632,69.543,71.503,72.192,73.303,74.762,76.131,76.305,78.637,78.716,79.095,80.54,81.58,82.014,83.941,84.974,88.651,90.556,94.552,95.841,96.442,99.647,102.678,105.802,109.314,111.83,113.005,114.448,115.796,116.602,117.041,116.774,116.291,115.67,115.339,114.917,114.805,115.294,115.165,114.118,112.917,111.233,110.311,109.204,108.251,107.801,107.404,107.45,107.593,106.863,106.991,107.408,108.451,109.79,110.7,111.23,111.478,111.889,111.828,111.627,110.881,109.837,109.953,110.47,110.372,111.121,111.107,110.122,109.697,109.712,109.155,108.758,108.404,108.51,108.7,108.214,107.804,107.918,107.894,107.595,107.179,107.251,106.734,105.895,105.077,104.079,102.533,101.151,99.757,99.415,99.061,98.712,98.051,97.424,96.905,96.1,95.76,95.544,95.322,95.04,95.289,95.202,95.626,95.974,95.92,95.906,95.796,95.508,95.153,95.078,94.939,95.05,94.941,95.045,95.142,94.96,95.029,95.386,96.311,96.936,97.517,98.087,98.2,98.187,98.521,99.292,100.425,101.296,101.767,101.631,101.737,101.368,101.557,101.819,102.996,103.651,100.917,99.412,99.079,100.096,101.413,101.445,101.937,101.979,103.096,104.032,104.909,105.593,105.168,105.444,105.693,105.337,105.555,105.68,105.159,105.015,105.162,105.32,105.616,105.587,105.211,104.958,104.561,104.055
"59","50","  Exports of nondurable goods","B339RG3",22.451,22.433,22.721,23.052,23.112,23.55,23.829,24.052,24.322,24.47,24.609,24.189,24.572,25.049,25.196,26.318,28.384,30.593,34.4,37.259,40.991,42.998,45.506,49.246,50.049,47.36,46.004,45.539,45.782,45.838,46.135,46.217,47.536,48.732,46.469,45.791,47.73,49.13,50.064,51.463,54.209,56.551,58.499,60.072,61.266,60.273,61.933,64.456,66.215,65.535,64.111,63.113,63.184,62.179,60.413,59.246,59.798,60.579,61.782,63.729,63.988,64.887,63.241,61.589,60.445,60.061,58.69,58.413,56.996,56.156,54.732,55.855,57.202,59.676,59.462,61.917,62.917,66.549,68.783,67.666,69.067,68.982,67.36,66.83,67.259,67.367,67.66,69.514,68.851,67.638,66.365,66.888,66.047,66.443,66.139,65.823,65.771,65.798,66.106,66.217,67.296,68.273,69.592,71.866,74.684,77.064,77.471,77.177,77.28,78.31,77.502,75.759,75.793,75.757,75.441,74.953,73.176,72.228,70.94,69.959,69.533,69.771,70.872,71.824,73.087,74.283,74.37,74.874,74.474,73.533,72.668,70.644,69.93,71.291,73.328,73.839,75.885,76.29,76.519,78.511,80.786,83.382,83.37,84.82,86.534,88.399,90.042,91.367,91.418,93.705,96.159,95.514,97.499,100.908,103.549,108.294,112.801,121.367,124.785,105.736,96.979,99.122,100.881,103.019,105.782,108.686,109.636,116.556,124.047,130.094,130.486,126.666,127.974,127.754,128.284,128.379,128.795,126.265,126.667,125.576,127.935,126.634,124.75,117.416,108.083,107.637,104.052
"60","51","  Exports of agricultural goods \4\","B181RG3",24.428,24.369,24.428,24.105,24.63,24.865,25.481,26.032,26.627,27.014,27.193,26.606,27.099,27.737,28.408,30.342,34.481,38.507,46.063,50.12,55.833,56.077,56.041,62.042,61.06,55.933,54.491,53.49,52.598,52.258,53.259,53.078,55.353,57.806,51.437,50,53.113,55.38,56.546,57.666,60.392,61.775,65.516,65.285,65.346,62.697,66.429,71.942,74.303,72.205,67.992,65.138,64.708,63.063,60.456,59.151,60.913,62.795,65.375,68.977,69.257,70.198,66.962,62.787,61.356,60.801,57.653,58.117,56.39,55.066,51.147,53.937,53.324,56.47,54.789,59.437,59.566,65.71,71.35,67.619,69.505,69.225,67.578,66.175,66.058,67.347,64.935,63.246,65.187,65.771,64.295,65.541,64.68,64.6,63.17,63.244,63.872,63.507,65.677,66.764,69.064,68.022,66.472,67.908,69.764,71.538,75.535,79.059,80.618,85.754,82.97,76.606,77.159,76.989,75.164,73.989,70.959,70.016,68.267,66.646,65.427,63.793,63.364,63.313,62.998,64.35,62.378,63.697,63.908,63.548,65.241,62.917,62.455,63.282,67.068,67.719,68.454,70.025,71.224,77.407,79.543,83.597,76.573,73.647,74.703,77.698,77.976,77.266,76.736,77.597,80.519,83.813,88.182,90.347,95.461,102.444,110.182,119.582,122.02,100.457,95.727,101.723,101.342,101.207,101.476,101.684,105.387,117.095,127.108,128.942,128.086,123.606,123.892,126.816,135.661,135.814,135.169,132.822,130.882,127.195,129.215,133.864,127.287,120.951,116.628,111.187,109.425
"61","52","  Exports of nonagricultural goods","B182RG3",28.348,27.955,28.537,29.5,29.815,30.475,30.561,30.453,31.266,31.172,30.885,31.495,31.735,32.238,32.172,32.541,33.045,34.208,35.372,37.34,39.933,41.973,45.678,47.534,50.065,50.558,50.504,51.579,52.732,53.436,53.568,55.081,55.795,55.932,57.491,57.961,58.113,59.372,59.921,62.705,65.028,68.416,69.212,71.126,74.034,75.633,78.122,80.092,82.508,82.959,85.071,86.17,87.213,88.273,88.832,88.64,88.494,89.38,90.931,92.095,93.738,95.084,95.95,95.185,94.789,94.198,93.359,92.498,91.612,91.07,90.99,91.205,91.806,92.886,93.365,94.602,96.05,97.626,98.234,98.432,99.158,99.121,98.354,97.824,97.415,97.334,98.238,99.461,99.264,98.499,97.404,97.21,96.906,96.769,96.576,96.158,96.093,96.29,95.798,95.433,95.733,96.344,97.005,97.618,98.736,99.235,98.269,97.093,96.255,94.98,94.013,93.066,92.77,92.52,92.339,91.799,90.979,90.334,89.438,88.987,88.798,88.902,89.176,89.724,90.165,90.778,91.268,91.285,91.116,90.72,89.98,89.17,88.864,89.228,89.71,89.764,90.606,90.668,90.508,90.7,91.667,92.973,94.084,95.361,96.322,96.825,97.406,98.199,98.838,100.423,101.678,101.472,101.684,102.792,103.001,104.193,105.309,108.4,109.88,102.899,98.849,98.819,100.269,102.063,103.18,104.659,104.704,107.021,109.591,112.349,113.071,111.739,112.396,112.238,111.348,111.534,111.841,110.745,110.961,110.998,111.827,111.119,110.966,108.489,105.096,105.15,103.537
