"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"40","32","    Lumber and other construction materials wholesalers","PK42133",89.012,89.533,89.409,90.027,90.89,89.668,89.921,89.515,89.547,88.859,89.241,88.819,87.928,87.684,87.421,87.342,86.75,85.199,85.948,86.341,86.223,86.232,86.08,86.518,87.061,87.567,88.096,88.07,89.047,90.222,92.196,91.122,90.528,89.744,90.317,90.643,90.8,90.253,90.124,89.72,88.793,88.475,87.892,87.227,87.103,87.845,87.807,87.839,87.051,86.907,86.844,87.059,89.654,90.624,89.017,89.025,88.663,88.068,87.827,87.405,87.923,87.965,88.305,88.115,88.244,87.714,87.827,88.388,88.006,88.329,88.426,88.445,88.211,88.303,87.946,87.929,88.241,88.614,89.546,89.819,91.413,91.556,92.204,92.658,92.707,93.732,95.302,97.116,99.356,98.75,98.856,101.647,101.52,99.716,98.402,98.834,98.993,100.228,100.15,100.172,98.671,99.754,99.317,98.898,99.62,100.759,101.2,101.955,103.167,103.027,102.652,102.556,102.665,101.213,100.678,100.133,100.229,99.446,99.235,99.621,99.975,99.507,99.118,99.007,98.379,98.701,99.378,99.288,98.609,98.954,98.776,99.271,97.89,97.359,97.415,98.185,99.32,100.418,101.424,103.021,103.962,103.909,103.84,104.066,102.513,100.522,100.826,100.622,99.752,99.556,100.643,100.079,100.986,101.54,101.93,102.359,102.404,104.253,105.43,106.617,107.976,105.647,105.133,104.41,103.866,104.325,104.804,105.364,106.193,105.867,106.407
"41","33","    Professional and commercial equipment wholesalers","PK42143",238.751,236.188,234.056,232.397,226.754,224.769,222.313,218.937,216.717,214.148,211.588,210.053,205.303,200.816,198.182,193.806,190.846,189.136,186.568,181.016,179.267,176.28,174.414,171.77,168.996,166.914,165.181,162.753,161.219,159.494,158.109,156.229,155.319,153.713,153.338,152.11,151.274,150.111,149.156,148.113,147.282,146.493,146.597,144.891,144.599,143.85,142.901,141.654,136.555,134.748,132.507,132.31,131.326,130.92,129.726,127.228,126.244,124.899,123.583,122.728,122.015,121.174,120.851,119.985,119.848,119.192,118.211,117.254,116.823,115.877,115.287,114.884,114.235,112.583,112.078,112.076,111.558,111.237,110.633,110.174,110.328,109.882,109.627,109.065,109.011,108.966,108.756,108.375,108.237,107.204,106.874,106.321,105.783,105.19,104.664,104.578,103.409,103.331,102.455,101.759,100.833,100.506,99.615,99.448,98.247,97.816,97.16,96.583,96.198,95.422,95.019,94.235,93.926,93.299,92.791,92.37,91.781,91.394,91.382,91.177,90.376,90.035,89.597,89.618,89.146,88.632,88.141,87.693,87.398,87.129,86.812,86.531,85.959,85.685,85.33,85.182,85.127,84.773,84.699,84.439,83.968,83.777,83.571,83.438,83.36,82.585,82.198,81.831,81.896,81.184,80.917,80.948,80.525,80.48,79.644,79.462,79.399,79.338,78.985,78.662,78.639,78.182,78.305,78.239,77.761,77.743,77.626,77.371,76.889,76.802,76.296
"42","34","      Computers and software wholesalers","PK42433",468.836,460.436,452.236,445.205,426.833,420.388,412.807,402.21,395.16,387.019,379.185,374.041,360.885,347.223,339.788,328.13,320.282,315.69,308.908,294.119,289.559,281.66,276.395,269.753,262.78,257.585,253.149,246.774,242.907,238.806,235.376,230.654,228.689,224.99,223.827,220.938,218.928,216.122,213.837,211.309,209.293,207.278,207.255,203.288,202.077,200.187,198.593,195.526,184.115,180.404,175.306,174.584,172.18,171.191,168.457,162.651,160.208,157.101,154.311,152.224,150.72,148.529,148.069,146.543,146.122,144.572,142.418,140.188,139.21,137.126,135.67,134.741,132.681,129.541,128.23,127.992,126.993,126.149,124.849,123.821,123.987,122.39,121.7,120.568,119.832,119.624,119.164,118.276,117.941,115.81,115.084,113.922,112.522,111.602,110.316,109.975,107.419,106.653,104.852,103.704,101.799,101.02,99.2,98.705,96.414,95.489,94.263,92.928,92.199,90.69,89.909,88.294,87.556,86.342,85.246,84.393,83.308,82.557,82.234,81.893,80.954,80.271,79.233,78.635,77.736,76.713,75.814,74.896,74.322,73.838,73.175,72.647,71.517,70.871,70.006,69.619,69.477,68.899,68.591,68.081,67.227,66.922,66.683,66.298,66.048,64.835,64.006,63.33,63.343,62.381,61.99,62.144,61.469,61.26,60.292,60.074,60.019,59.922,59.726,59.311,59.236,58.728,58.614,58.442,58.093,57.978,57.831,57.542,56.859,56.561,55.952
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",93.456,93.22,93.359,93.675,93.613,93.527,93.392,93.377,93.414,93.462,93.478,93.677,93.403,93.681,93.667,93.5,93.435,93.443,93.404,93.443,93.412,93.437,93.641,93.52,93.476,93.503,93.629,93.855,93.957,93.909,94.017,94.252,94.148,94.145,94.329,94.299,94.223,94.247,94.26,94.337,94.402,94.514,94.706,94.747,95.134,95.218,94.799,94.994,94.926,94.689,94.736,94.933,95.064,95.144,95.213,95.304,95.505,95.567,95.448,95.598,95.568,95.825,95.639,95.339,95.437,95.532,95.544,95.72,95.767,95.825,95.969,95.997,96.529,96.154,96.331,96.514,96.414,96.535,96.543,96.576,96.713,97.268,97.408,97.375,97.99,98.112,98.146,98.247,98.294,98.312,98.349,98.391,98.671,98.442,98.66,98.802,99.009,99.645,99.749,99.551,99.728,99.907,100.063,100.272,100.328,100.427,100.415,100.687,100.745,100.83,100.878,101.041,101.242,101.302,101.505,101.616,101.638,101.715,102.104,102.08,101.45,101.541,101.871,102.714,102.804,102.995,103.036,103.231,103.317,103.367,103.562,103.648,103.877,104.15,104.567,104.789,104.877,104.903,105.217,105.368,105.561,105.555,105.429,105.731,105.976,105.964,106.372,106.567,106.737,106.561,106.586,106.419,106.563,106.89,106.512,106.486,106.369,106.397,105.77,105.712,105.811,105.581,106.22,106.412,105.743,105.949,105.931,105.813,105.924,106.376,106.261
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",73.666,74.007,74.325,74.115,74.121,74.314,74.217,74.411,74.466,74.152,73.987,73.921,73.221,73.166,72.627,72.499,72.393,71.813,71.241,70.446,69.662,68.618,67.799,67.356,66.447,66.606,66.143,66.071,66.382,66.537,66.638,67.152,67.366,67.931,68.428,69.117,70.013,70.162,70.686,70.66,70.384,70.274,70.407,70.259,70.059,69.389,68.404,68.412,68.218,68.27,67.885,67.321,67.304,66.67,66.742,66.383,66.245,65.672,65.343,64.996,65.127,65.274,65.814,66.456,67.255,68.217,68.86,69.099,69.97,70.199,70.27,70.3,70.371,71.127,71.27,71.064,70.819,70.724,70.737,71.447,71.943,72.618,73.683,75.395,78.351,82.617,85.777,88.57,89.33,89.463,93.923,97.163,97.846,100.331,102.046,102.119,102.824,102.676,101.962,101.833,99.458,96.317,95.467,96.138,98.616,99.07,102.309,103.139,104.347,106.185,106.884,109.223,113.513,115.503,117.4,117.035,118.82,118.678,116.958,117.662,117.123,119.123,123.268,125.863,125.613,125.512,125.338,123.796,122.775,122.983,123.224,124.387,128.397,132.022,137.802,149.351,156.178,161.288,165.697,165.25,157.034,140.851,127.937,119.587,117.334,114.937,111.747,108.091,107.625,108.249,111.15,115.87,119.559,121.207,120.866,124.127,128.881,130.403,134.327,139.482,140.322,136.84,133.357,132.808,134.994,136.304,138.764,141.277,146.514,150.559,153.789
"45","37","    Electrical goods wholesalers","PK42163",113.256,113.054,113.183,112.756,112.532,112.644,112.573,112.199,111.956,111.593,111.392,111.043,110.828,110.345,110.309,110.154,110.024,109.677,109.24,109.219,109.088,109.267,109.248,109.123,109.16,109.23,109.078,108.895,108.518,108.248,107.956,107.933,107.894,107.68,107.49,107.4,107.223,107.077,106.876,107.007,106.962,106.913,106.867,106.628,106.566,106.482,106.307,105.89,105.876,105.695,105.606,105.258,105.134,104.908,104.745,104.542,104.37,104.391,104.373,104.243,104.392,104.326,104.312,104.006,103.785,103.783,103.335,103.457,103.414,103.149,103.044,102.737,102.711,102.409,102.377,102.446,102.361,102.177,102.085,101.903,101.879,101.648,101.671,101.236,100.872,100.469,100.483,100.469,100.519,100.433,100.025,100.063,100.028,99.946,99.994,100.048,100.246,100.366,100.344,100.338,100.173,100.106,99.999,100.036,99.769,99.766,99.512,99.392,99.369,99.463,100.463,100.889,100.934,101.123,101.376,101.799,102.046,102.014,101.966,101.796,101.924,101.127,100.891,100.614,100.457,100.635,100.395,100.297,100.278,100.245,100.28,100.151,100.288,100.586,100.571,100.586,100.83,100.861,100.931,101.101,101.206,101.351,101.144,101.021,100.981,101.003,101.139,101.17,101.159,101.054,100.867,100.931,100.95,100.971,101.034,100.728,100.747,100.731,100.44,100.356,100.402,100.449,100.415,100.415,100.305,100.236,99.898,100.112,100.012,100.374,100.597
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",87.347,87.494,87.583,87.622,87.668,87.671,87.619,87.801,87.853,87.968,88.003,88.048,88.008,88.259,88.12,88.15,88.221,88.098,88.172,88.118,88.193,88.262,88.375,88.347,88.548,88.341,88.379,88.523,88.608,88.857,88.888,89.042,89.128,89.187,89.303,89.471,89.449,89.662,89.757,89.973,89.967,90.075,90.237,90.334,90.257,90.331,90.3,90.3,90.571,90.89,90.703,90.624,91.024,91.053,90.98,91.043,91.207,91.325,91.49,91.514,91.49,91.476,91.584,91.561,91.588,91.48,91.462,91.659,91.793,91.704,91.583,91.725,92.044,92.227,92.292,92.34,92.397,92.502,92.52,92.583,92.677,92.708,92.969,93.09,93.635,93.8,94.062,94.322,94.864,95.253,95.602,95.795,96.31,96.83,97.088,97.399,98.506,99.172,99.399,99.52,99.647,99.71,99.677,100.299,100.42,100.707,101.267,101.429,101.621,101.594,101.895,102.546,102.858,103.536,104.234,104.604,105.29,105.718,106.271,106.717,107.096,107.699,108.001,108.372,108.901,109.004,108.95,109.302,109.535,109.59,109.795,109.811,110.441,111.272,111.735,112.717,113.757,114.583,116,116.695,117.49,117.636,117.678,117.772,117.077,116.342,116.586,116.354,116.132,116.289,116.033,116.184,116.48,116.703,116.808,116.984,117.035,117.032,116.866,117.413,117.839,117.686,118.059,118.073,118.091,118.207,118.511,118.636,119.016,119.252,119.706
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",87.573,87.67,87.619,87.693,87.733,87.793,87.873,87.912,87.858,88.006,88.122,88.177,88.306,88.33,88.443,88.412,88.455,88.465,88.455,88.509,88.67,88.808,88.951,88.961,89.074,89.136,89.124,89.245,89.191,89.172,89.187,89.207,89.284,89.421,89.528,89.567,89.67,89.813,89.79,89.842,89.862,89.894,90.037,90.057,90.168,90.206,90.2,90.306,90.436,90.536,90.549,90.67,90.737,90.798,90.785,90.866,90.959,91.073,91.098,91.091,91.067,91.088,91.21,91.214,91.248,91.338,91.524,91.677,91.774,91.806,91.846,91.967,92.08,92.179,92.32,92.401,92.454,92.683,92.759,92.84,92.886,93.016,93.253,93.395,93.645,93.878,94.19,94.62,94.913,95.163,95.458,95.754,96.099,96.627,97.035,97.488,98.083,98.474,99.037,99.411,99.939,100.061,100.266,100.412,100.63,100.84,101.17,101.429,101.782,102.194,102.348,102.539,102.903,103.233,103.652,103.871,104.179,104.463,104.718,104.905,105.491,105.864,106.1,106.366,106.616,106.888,107.205,107.426,107.588,107.817,108.28,108.519,109.069,109.554,109.893,110.568,111.122,111.62,112.818,113.35,113.9,114.186,114.671,114.822,115.217,115.106,115.103,115.048,115.048,114.919,114.891,114.745,114.762,114.772,114.821,115.02,114.955,115.141,115.28,115.547,115.676,115.733,115.84,116.059,116.214,116.363,116.761,116.98,117.5,118.028,118.383
"48","40","    Miscellaneous durable goods wholesalers","PK42193",92.339,92.291,92.632,92.358,92.036,91.964,91.618,92.502,91.849,92.141,92.333,92.026,91.932,91.852,91.404,91.068,90.759,89.76,88.92,88.299,88.224,87.607,87.016,86.78,86.633,87.032,86.733,86.524,86.659,87.332,87.908,88.365,88.897,89.974,91.118,91.513,91.888,91.793,91.622,91.579,91.354,91.518,90.696,89.216,89.444,89.502,89.064,88.277,87.812,87.346,87.766,87.176,87.489,87.158,86.354,86.479,86.682,86.317,86.195,85.59,85.3,85.437,85.549,86.095,86.47,87.547,87.704,87.053,87.394,88.634,87.663,87.616,88.054,88.635,88.864,88.244,89.287,89.428,88.838,89.426,90.396,90.923,91.966,93.699,95.351,96.963,97.928,96.816,94.564,95.056,98.432,99.949,98.944,101.176,102.144,101.522,100.776,99.429,99.477,99.657,98.284,96.612,96.843,99.075,101.343,101.354,102.582,104.142,104.467,105.811,105.728,106.449,110.803,110.638,111.387,110.274,110.414,110.044,111.234,112.464,113.087,115.2,118.522,116.558,115.787,116.286,116.371,118.035,119.067,121.813,122.355,122.956,124.152,125.745,128.644,131.616,132.793,133.754,137.005,134.314,126.739,117.952,107.123,107.488,108.497,108.673,107.649,106.538,108.798,111.434,113.289,116.973,118.546,120.807,123.831,127.96,130.181,129.439,132.94,133.501,130.114,127.258,124.467,125.343,129.166,135.559,141.344,145.049,146.653,147.68,145.928
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",80.834,80.297,80.299,79.636,79.185,78.299,78.104,78.535,78.459,78.948,78.423,78.501,77.165,76.896,76.304,76.112,75.757,75.21,75.615,74.109,73.892,74.724,74.356,73.943,74.665,73.687,74.442,75.907,75.991,76.172,76.54,77.789,78.653,78.381,78.956,80.173,80.419,82.051,82.974,82.013,82.461,82.962,82.684,81.95,83.373,84.01,84.616,84.581,85.011,84.656,84.208,84.201,84.362,83.859,82.777,83.051,83.665,81.738,81.203,80.837,80.841,81.12,82.163,82.186,81.85,82.202,83.371,84.038,84.829,85.845,85.204,85.19,86.606,89.235,89.437,86.582,85.81,86.486,86.375,87.148,87.612,88.36,89.061,90.283,91.288,91.256,91.579,92.309,93.345,92.595,92.735,92.752,93.494,95.694,96.239,94.966,95.528,96.605,98.334,98.135,97.355,98.221,99.329,100.499,103.37,105.658,102.833,104.062,104.817,103.537,103.625,105.612,106.063,107.153,107.234,108.284,105.397,106.017,107.405,109.048,107.443,110.164,110.997,112.182,112.788,112.838,113.852,113.233,116.553,119.078,125.279,125.856,128.62,129.821,133.076,133.144,136.209,140.012,142.007,138.379,139.467,128.45,118.851,109.733,111.396,110.81,108.637,110.322,112.298,116.217,112.414,117.133,116.973,119.912,122.199,123.602,126.843,125.237,126.536,126.121,122.861,119.461,120.262,122.922,126.609,131.638,134.437,138.157,141.58,146.041,147.275
"50","42","    Paper and paper products wholesalers","PK42213",85.634,84.838,83.45,82.771,82.787,83.238,83.506,84.822,86.023,86.765,87.969,88.884,89.182,88.948,88.508,87.992,87.67,87.757,87.283,86.668,85.792,85.123,84.375,84.031,83.718,83.627,84.183,84.579,85.034,85.704,86.59,87.617,88.92,89.619,90.116,90.488,91.229,91.673,93.879,95.269,96.629,97.138,97.128,97.197,97.294,97.621,97.659,97.565,97.736,97.254,96.922,96.479,95.544,94.879,94.269,92.916,92.619,92.171,91.911,92.081,91.592,91.036,90.542,90.267,89.742,90.006,90.316,91.242,91.656,92.195,92.153,92.013,92.031,92.211,92.306,92.654,92.774,92.752,92.247,92.136,91.642,91.527,91.47,91.678,90.975,91.031,91.44,92.828,93.952,95.568,96.813,98.008,98.488,98.603,98.639,99.086,99.68,100.303,100.88,100.974,100.847,100.103,99.768,98.667,98.782,99.074,100.357,100.742,101.37,103.568,104.182,104.281,106.54,107.853,108.172,108.94,109.363,109.407,109.234,109.437,109.522,109.435,109.381,109.415,109.146,109.402,109.509,109.847,110.645,112.145,112.514,112.909,114.038,114.707,115.126,115.804,116.12,116.664,117.792,121.933,123.204,123.208,123.087,122.731,121.496,120.341,119.19,117.639,115.678,114.95,113.856,113.492,113.286,112.598,112.922,112.897,113.071,115.438,117.032,118.177,122.363,123.7,124.153,124.396,125.984,125.854,125.807,126.12,126.623,126.421,126.578
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",80.925,80.583,80.308,80.072,80.218,80.303,80.343,80.571,80.71,80.982,81.228,81.507,81.584,81.997,85.604,85.59,85.931,86.266,86.569,86.653,86.743,87.054,87.293,87.442,87.305,87.166,87.297,87.083,87.171,87.989,88.215,88.279,88.652,88.894,89.089,89.061,89.245,89.245,89.082,89.145,89.34,89.199,89.507,89.94,90.021,89.96,89.919,90.065,90.172,90.352,90.292,90.418,90.008,90.385,90.152,90.185,90.32,90.55,90.67,90.679,90.719,90.852,90.94,91.014,91.075,91.34,91.448,91.795,91.975,92.297,92.274,92.347,92.532,92.468,92.764,92.968,93.142,93.417,93.622,93.664,93.979,94.191,94.466,94.626,95.135,95.223,95.432,95.929,96.026,95.905,95.917,96.196,96.279,96.679,96.984,97.512,97.661,98.387,98.553,98.952,99.534,99.947,100.813,100.99,100.818,101.046,101.599,101.637,101.962,102.191,102.368,102.16,102.903,103.001,103.315,103.345,103.468,103.724,103.939,104.392,104.839,105.069,105.037,105.342,105.506,105.73,106.01,106.672,106.982,107.394,107.625,107.839,108.187,109.108,109.232,109.737,110.134,110.772,111.276,111.571,112.077,112.547,112.954,113.031,113.881,113.591,114.071,114.443,114.669,114.976,115.655,115.94,116.16,116.723,117.112,117.641,118.134,118.499,118.706,118.809,118.939,119.349,119.929,120.103,120.553,120.936,121.129,121.176,121.521,121.57,121.032
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",100.593,100.767,100.855,100.903,101.045,100.977,101.066,101.181,101.312,101.301,101.3,101.326,101.741,101.632,101.549,101.521,101.512,101.343,101.225,101.258,101.384,101.351,101.189,100.972,100.95,100.807,100.907,100.855,100.772,100.605,100.684,100.594,100.724,100.614,100.455,100.716,100.66,100.721,100.753,100.746,100.682,100.235,100.475,100.5,100.573,100.496,100.396,100.35,100.354,100.429,100.99,100.825,100.676,100.582,100.486,100.615,100.246,100.079,99.998,99.885,99.63,99.502,99.064,98.902,98.909,98.825,98.757,98.8,98.656,98.845,98.801,99.417,99.207,99.13,99.278,99.339,99.437,99.241,99.164,99.368,99.484,99.436,99.461,99.517,99.61,99.545,99.474,99.558,99.599,99.582,99.602,99.517,99.609,99.63,99.653,99.626,99.779,99.8,99.841,99.777,99.851,99.914,99.992,100.076,100.448,100.219,100.134,100.175,100.371,100.491,100.323,100.523,100.634,100.599,100.644,100.774,100.72,100.86,100.868,100.768,101.087,101.086,101.284,101.316,101.272,101.252,101.334,101.433,101.645,101.682,101.736,101.882,102.044,102.071,102.179,102.449,102.427,102.405,102.772,103.169,103.228,103.391,103.631,103.57,103.758,103.847,103.815,103.685,103.508,103.573,103.422,103.453,103.49,103.55,103.528,103.185,103.336,103.374,103.49,103.783,103.876,104.085,104.49,104.567,104.43,104.477,104.919,105.287,105.91,107.26,108.016
"53","45","    Grocery and related products wholesalers","PK42243",87.658,87.733,88.657,87.752,88.185,87.096,86.731,87.228,87.233,88.245,87.297,87.912,87.176,87.747,87.451,88.093,87.316,86.97,87.864,87.296,87.575,88.1,87.609,87.969,89.048,87.805,88.254,87.983,88.167,88.465,88.034,87.986,88.951,88.683,87.945,88.781,88.077,88.202,88.45,88.799,89.558,88.308,88.35,87.663,88.677,89.245,89.464,88.644,89.825,90.312,90.899,90.719,91.305,90.918,90.196,91.051,91.684,91.361,90.962,91.461,92.088,92.638,93.628,89.86,90.261,90.128,90.332,90.144,89.921,90.406,90.227,90.056,91.547,91.28,91.572,92.188,92.639,92.173,92.222,93.234,94.491,95.638,95.435,96.069,94.621,94.169,95.337,96.286,97.915,97.068,95.913,96.407,97.691,100.196,99.971,99.449,98.891,99.535,100.07,100.414,100.223,99.674,98.812,98.865,100.013,100.2,100.936,102.377,102.219,99.92,100.19,101.132,100.262,101.202,101.976,103.852,104.56,104.409,103.329,105.411,105.731,107.609,108.842,109.57,108.21,108.041,108.062,107.994,109.091,110.79,110.743,112.781,113.78,112.871,114.248,114.13,114.737,115.868,115.931,116.035,117.424,117.355,117.751,116.908,116.077,114.881,114.575,115.372,113.907,114.852,114.046,114.25,114.406,116.264,116.664,118.62,118.646,119.143,122.318,121.48,120.567,117.927,118.701,118.74,119.519,119.567,120.333,122.031,123.192,127.982,127.25
"54","46","    Farm product raw material wholesalers","PK42253",119.855,119.58,124.375,126.848,123.54,122.138,122.022,120.093,120.123,120.187,116.296,115.642,111.119,112.013,109.967,105.66,105.007,104.688,106.425,97.083,92.896,97.59,97.5,94.367,94.407,92.631,90.558,90.206,90.632,90.478,83.473,90.651,87.684,85.989,86.223,84.766,87.229,91.592,94.171,92.627,94.883,90.95,86.684,83.049,86.748,91.662,92.474,94.756,95.993,92.004,92.493,89.475,88.439,88.438,93.612,93.39,91.655,89.693,87.777,88.726,88.428,88.581,87.591,86.36,87.046,88.22,98.417,107.041,112.987,110.96,105.109,103.349,102.081,106.757,101.926,103.285,105.796,104.887,100.391,102.746,109.288,115.097,118.457,118.21,120.088,120.456,124.64,124.297,125.837,119.024,114.734,105.229,105.054,99.675,97.108,98.04,99.389,96.164,104.188,98.275,99.596,99.295,102.698,101.259,98.043,99.999,100.584,101.092,100.389,99.4,97.744,101.515,102.088,101.425,108.189,104.943,106.663,125.868,139.031,133.398,130.694,141.794,138.195,133.264,136.007,141.131,139.424,143.929,156.651,163.11,173.454,184.624,201.299,203.606,214.634,213.916,207.285,218.653,221.474,210.241,208.087,167.677,162.817,140.48,150.301,148.002,143.506,149.892,156.708,162.444,146.044,152.535,146.176,156.273,157.748,153.219,149.805,143.466,142.193,144.413,143.942,138.675,150.023,164.24,184.427,203.565,214.166,212.339,218.946,235.355,218.126
"55","47","    Chemical and allied products wholesalers","PK42263",75.521,75.383,75.002,74.729,74.678,74.506,74.724,75.061,75.035,74.822,74.912,74.87,74.699,74.216,74.626,74.338,74.282,74.169,74.072,73.798,73.589,73.502,73.638,73.453,73.169,72.773,72.552,72.52,72.795,73.079,73.38,73.499,74.07,74.772,75.162,75.445,75.769,76.254,76.775,77.04,77.294,77.762,78.853,78.354,78.478,78.499,78.521,78.741,79.554,80.013,80.102,79.53,79.347,78.993,77.577,76.819,77.483,76.596,76.117,75.325,75.344,75.241,76.154,77.169,77.225,77.34,77.954,78.441,78.726,79.417,79.545,79.257,80.916,83.653,84.684,82.662,82.631,82.976,82.312,82.576,82.423,82.715,82.75,83.589,85.506,85.604,85.679,86.871,87.234,88.214,89.242,91.281,93.083,94.12,95.116,95.342,95.601,96.341,98.118,98.152,97.466,96.744,98.084,98.632,102.527,106.9,106.047,106.28,107.672,107.715,107.694,107.957,109.482,111.083,111.506,112.315,110.845,110.272,108.95,109.639,109.878,109.879,110.714,111.285,113.513,114.124,115.429,113.5,114.929,117.005,121.204,120.805,123.804,124.508,127.161,129.931,134.294,137.456,143.942,142.84,144.525,134.708,126.408,118.249,117.19,117.678,117.399,116.743,118.025,120.332,120.761,122.241,123.192,123.409,124.663,126.898,129.089,131.348,132.92,133.978,133.536,132.074,130.434,131.157,132.378,134.021,136.419,138.566,140.625,144.472,147.221
"56","48","    Petroleum and petroleum products wholesalers","PK42273",50.97,48.983,46.455,43.762,42.18,40.433,39.919,41.277,40.465,41.392,41.258,40.876,37.565,35.714,32.965,32.964,32.395,30.792,30.877,28.526,28.768,29.943,29.087,26.757,28.503,26.796,29.701,35.794,35.637,35.48,39.155,41.956,43.869,43.072,46.11,50.841,51.656,56.379,59.197,54.272,53.317,58.617,58.071,56.242,59.915,60.017,62.384,61.915,60.29,59.379,56.084,57.744,58.348,56.696,51.631,52.448,55.195,47.549,46.009,43.72,43.315,44.046,47.76,51.8,49.602,50.521,52.205,52.375,54.207,58.223,57.053,58.318,62.987,73.251,74.006,59.467,54.452,58.456,59.647,61.362,59.868,59.662,61.898,66.103,70.567,70.477,68.938,70.123,72.926,71.955,74.615,75.917,77.746,86.706,89.797,82.996,83.86,88.474,92.63,92.384,87.48,92.435,96.844,103.05,116.393,125.875,108.986,113,115.969,111.792,112.059,119.557,121.205,125.234,121.771,126.055,110.296,107.01,111.003,117.024,108.752,115.014,118.143,123.374,126.27,124.434,128.645,123.896,133.525,140.193,166.421,162.048,166.136,169.495,177.8,175.908,189.088,198.843,203.104,187.292,190.764,153.959,112.563,83.637,89.048,89.631,81.083,86.225,94.281,109.709,99.125,118.54,119.214,126.751,135.455,140.521,157.386,149.914,151.915,148.919,133.898,122.865,121.144,128.042,136.517,151.213,158.265,173.842,184.849,193.677,205.791
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",85.439,85.25,85.692,85.692,85.881,85.439,85.629,85.692,84.619,84.556,84.556,84.871,85.25,85.187,85.187,85.187,85.124,85.124,85.124,85.061,84.998,85.692,86.007,86.133,86.323,86.575,85.755,85.818,86.007,85.881,86.764,86.197,86.323,86.386,86.26,86.638,86.701,87.206,87.08,86.638,89.225,89.099,89.099,89.667,89.667,90.109,89.604,90.235,91.182,90.803,91.497,91.497,91.623,91.813,91.749,91.813,91.623,92.254,92.317,92.57,92.507,92.444,92.38,92.444,92.57,92.759,92.696,92.57,92.759,92.885,93.516,93.579,93.075,92.759,94.147,94.21,93.958,93.958,94.21,93.832,93.201,94.652,93.832,95.409,97.492,97.555,97.744,97.681,95.283,95.22,95.22,96.608,95.409,96.23,96.545,95.977,99.385,99.637,99.953,99.7,99.953,99.826,100.079,100.079,100.016,100.394,100.457,100.521,100.962,101.215,101.972,102.224,101.719,101.846,101.909,99.637,99.637,99.637,100.268,101.404,100.647,101.404,99.511,100.457,100.521,100.962,100.962,101.278,101.404,101.972,102.035,102.098,102.54,104.307,104.433,104.559,104.433,104.685,104.748,104.811,104.811,105.947,105.884,105.821,107.272,108.345,108.408,108.345,108.408,108.661,108.345,107.651,108.03,109.67,109.796,109.733,109.67,109.481,109.733,109.607,109.67,109.607,109.544,109.67,110.364,112.702,112.954,113.144,114.155,113.27,113.397
