"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",87.925,88.218,88.478,88.465,88.903,88.79,88.892,88.979,89.345,89.523,89.481,89.249,89.522,89.504,89.63,89.828,89.686,89.77,89.822,90.486,90.067,90.473,90.373,90.422,90.373,90.559,90.656,90.632,90.696,90.621,90.928,91.037,91.271,90.989,90.98,90.865,91.181,91.307,91.167,91.69,91.725,90.96,91.107,91.265,91.355,91.464,92.054,92.094,92.401,92.689,92.82,92.832,92.492,92.599,92.84,93.063,92.756,93.147,93.162,93.298,93.223,93.434,93.453,91.922,92.313,92.976,92.658,93.36,93.234,93.061,93.294,93.238,92.953,93.198,93.873,94.252,94.247,93.969,93.901,94.09,94.648,94.653,94.267,94.332,94.637,94.603,94.224,94.674,95.252,94.308,93.768,93.863,93.503,93.864,93.503,93.301,94.132,94.616,94.579,94.42,94.988,95.407,95.46,95.432,95.592,95.46,95.945,96.095,96.279,96.12,96.082,96.696,96.78,97.421,97.775,97.811,97.636,97.822,98.051,97.487,97.377,98.157,97.751,97.756,98.568,98.273,97.945,98.919,99.134,98.978,99.602,99.401,99.501,99.471,99.288,99.389,99.158,98.527,98.794,99.304,99.333,99.372,98.999,99.022,99.203,99.051,99.727,100.009,99.904,100.104,99.987,99.646,99.615,100.173,100.156,99.977,100.009,99.621,99.826,99.956,100.078,100.219,100.042,99.954,100.264,100.189,100.213,99.63,99.659,99.953,99.775,99.759,99.879,99.794,99.656,99.721,99.379,99.934,99.871,99.688,99.969,100.283,100.39,100.499,100.618,100.546,100.852,101.057,101.165,101.378,101.603,101.513,101.935,102.283,102.297,102.566,102.179,102.938,103.013,104.059,104.328,104.452,104.479,104.343,104.643,105.476,105.887,106.465,106.708,107.244,107.49,107.62,107.523,107.765,107.86,107.374
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",89.327,89.529,89.856,90.288,90.035,90.376,90.732,90.598,90.359,90.289,90.715,91.268,91.083,91.149,91.292,91.643,91.644,91.347,91.404,91.639,91.308,91.682,92.047,92.127,92.132,92.475,92.774,92.628,92.886,93.172,93.197,93.347,93.534,93.789,93.945,94.196,94.5,94.676,94.684,94.951,95.048,95.236,95.556,95.798,95.994,95.831,96.298,96.31,96.364,96.604,96.893,97.27,97.112,96.885,97.145,97.068,97.42,97.333,97.552,97.833,97.79,97.886,98.269,98.575,98.422,98.186,98.195,97.923,97.956,98.125,97.965,98.022,98.486,98.476,97.98,98.556,98.559,98.438,98.728,98.681,98.565,98.726,98.508,99.152,99.617,99.357,99.13,99.778,99.686,99.544,99.468,99.299,99.858,99.646,99.32,99.481,99.588,99.833,100.302,100.655,100.475,100.287,100.442,99.998,100.316,100.223,100.366,99.808,100.149,100.393,100.151,100.35,100.235,100.374,100.461,100.012,100.346,99.948,99.933,99.325,99.293,99.48,99.214,99.923,99.596,99.786,99.733,99.625,99.664,99.564,99.345,99.094,99.206,99.31,99.067,98.783,98.125,97.952,98.213,98.201,98.234,98.042,97.916,97.975,98.225,98.328,98.676,98.791,98.939,99.073,99.024,99.019,99.277,99.732,99.712,99.534,99.423,99.474,99.791,99.991,99.803,99.664,99.881,100.128,100.655,100.565,100.27,100.355,100.538,100.471,100.421,100.746,100.905,100.914,100.832,101.123,100.703,100.376,100.278,100.523,100.871,101.273,101.437,101.454,101.738,101.825,101.973,101.768,102.035,102.347,102.751,102.913,103.34,103.625,104.014,104.106,104.474,105.22,106.045,106.138,106.403,106.011,104.561,103.826,104.144,104.643,106.179,107.249,107.192,107.791,107.908,107.993,108.464,108.439,108.503,108.381
"41","33","S3 PN4531ZZMG       Florists","T070333",93.285,93.645,95.282,97.769,95.113,97.312,96.789,95.578,94.783,92.661,92.25,96.477,94.893,94.333,94.213,95.498,94.387,91.733,91.335,91.604,92.786,93.271,93.634,93.263,91.663,93.49,92.783,91.211,92.855,93.953,93.694,94.548,94.999,95.826,95.829,95.754,95.607,96.287,95.901,95.666,96.403,96.206,96.811,96.921,97.891,96.881,96.905,95.752,92.796,93.848,96.471,96.667,96.02,93.526,93.555,93.293,94.973,91.824,92.025,95.402,93.398,92.645,94.16,95.385,94.298,92.795,91.613,90.329,88.882,90.156,89.74,89.706,94.428,95.211,92.793,94.722,93.318,92.855,93.561,93.311,91.697,91.41,91.772,91.07,91.215,93.002,93.069,93.204,93.011,93.124,89.977,90.015,89.447,90.148,89.027,90.883,90.138,91.063,94.795,96.511,96.841,96.537,96.293,95.765,94.929,94.721,95.595,95.168,96.367,98.31,97.598,97.355,97.425,97.67,97.431,97.652,97.46,97.738,97.874,97.734,97.852,97.75,97.431,97.773,98.052,97.833,97.814,96.738,97.413,97.965,98.145,96.993,97.415,97.315,96.868,97.076,96.632,96.648,97.075,97.306,97.407,96.939,97.171,98.682,98.739,99.223,100.051,101.01,100.387,99.071,99.376,99.84,100.159,101.194,100.252,99.614,98.852,97.853,98.703,98.532,98.945,100.08,100.45,100.873,101.34,101.562,101.097,101.255,101.028,100.785,100.841,101.091,101.277,101.248,100.694,100.262,99.936,100.276,100.655,100.713,100.5,100.435,100.013,100.03,100.095,99.676,99.645,99.456,99.303,99.06,98.529,97.938,97.613,97.981,98.435,98.029,97.743,97.21,97.832,97.651,97.162,97.218,96.728,96.003,95.189,95.591,95.48,95.499,94.961,94.675,93.86,93.203,93.761,94.219,94.186,94.079
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",102.854,103.128,103.473,103.733,103.64,103.827,104.634,104.431,104.101,104.31,105.251,105.107,104.622,104.625,104.792,105.123,105.366,105.405,105.365,106.213,105.458,106.088,106.48,106.616,106.538,107.073,107.215,107.024,106.992,107.128,106.944,107.029,107.228,107.71,107.387,107.999,108.364,108.539,108.743,109.255,109.398,109.867,110.358,111.135,111.209,110.773,111.302,111.486,111.994,112.195,111.755,112.628,112.387,112.384,112.951,112.952,113.04,113.35,113.588,113.392,113.632,114.035,114.685,114.832,114.82,114.883,115.201,114.68,114.895,114.813,114.571,115.089,115.191,114.833,114.661,115.231,114.989,114.985,115.169,115.029,114.982,115.378,114.717,114.488,114.399,113.819,113.797,113.806,113.779,113.534,113.177,113.161,113.503,112.706,112.224,112.279,112.362,112.352,112.193,112.278,112.279,111.66,111.66,111.106,111.243,111.591,111.207,110.636,110.775,110.847,110.549,110.156,109.985,109.97,109.793,109.437,109.445,109.108,108.785,108.231,108.117,108.077,107.847,108.071,107.768,107.733,107.551,106.904,106.541,106.844,106.31,106.043,105.921,105.862,105.68,105.247,104.443,103.881,103.839,103.253,102.971,102.535,102.078,101.843,101.88,101.734,101.608,101.433,101.255,101.275,101.017,101.127,100.943,101.192,100.99,100.719,100.284,100.236,100.662,100.95,100.376,99.914,99.875,99.777,99.638,99.409,99.35,99.529,99.435,99.407,99.097,99.023,98.801,98.584,98.299,98.661,98.328,98.041,97.886,98.051,98.031,98.219,98.255,98.268,98.501,98.508,98.566,98.168,98.166,98.482,98.784,98.508,98.923,99.095,99.334,99.137,99.213,99.398,99.85,99.756,99.891,99.4,97.721,96.82,96.848,97.519,97.59,97.533,97.218,97.688,97.282,97.056,97.697,97.607,97.417,97.382
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",106.233,106.55,106.882,107.026,107.061,107.083,107.316,107.126,107.252,107.504,107.792,107.637,107.487,107.533,107.413,107.689,107.43,107.325,107.255,107.7,107.519,107.758,108.015,107.889,107.614,107.518,107.727,107.945,108.06,108.368,108.608,108.486,108.447,108.124,108.345,108.135,108.161,107.752,107.85,108.063,107.586,107.22,107.568,108.029,108.109,108.101,107.816,107.973,108.423,108.354,108.566,108.659,108.255,108.012,107.818,107.377,108.116,107.973,107.899,107.876,107.958,107.944,107.99,108.144,108.283,108.147,107.74,107.334,107.477,107.293,107.11,107.039,106.72,106.383,106.35,106.551,106.533,106.294,106.461,106.862,106.185,106.324,106.158,105.884,105.986,105.436,105.103,106.056,105.905,105.656,105.622,105.562,105.765,105.753,105.554,105.647,105.647,105.714,106.065,105.626,105.575,105.589,105.592,105.207,105.658,105.502,105.531,105.302,105.475,105.542,105.341,105.159,104.802,104.864,104.625,104.078,103.976,103.76,103.456,103.073,102.864,102.783,102.979,103.139,102.945,102.715,102.484,102.657,102.505,102.356,102.226,101.844,101.682,101.766,101.309,101.008,100.325,100.263,100.451,100.591,100.625,100.452,100.201,99.959,100.282,100.33,100.523,100.46,100.548,100.854,100.537,99.982,99.96,100.61,100.705,100.279,100.227,100.051,100.266,100.3,100.161,99.665,99.641,99.885,100.341,100.085,99.804,99.6,99.697,99.349,99.486,99.89,100.088,100.027,99.9,100.265,99.636,99.364,99.138,99.2,99.667,100.427,100.129,99.977,100.201,100.654,101.178,101.423,102.349,103.216,103.376,104.112,104.448,105.195,106.754,107.26,108.002,108.863,110.836,112.297,113.489,114.661,115.704,116.18,117.026,117.578,117.675,117.934,118.14,117.936,118.046,117.938,117.807,117.708,117.31,117.349
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",75.649,75.74,75.761,75.922,76.021,76.128,76.365,76.543,76.434,76.624,76.948,77.122,77.5,77.769,78.01,78.199,78.305,78.219,78.463,78.206,77.832,78.035,78.398,78.565,79.003,78.97,79.608,79.724,79.921,80.146,80.337,80.437,80.599,80.687,81.169,81.305,81.684,81.859,81.794,81.994,82.037,82.195,82.344,82.22,82.384,82.518,83.123,83.193,83.42,83.587,83.928,84.081,84.103,84.119,84.294,84.252,84.479,84.679,84.931,85.03,85.125,85.188,85.262,85.531,85.407,85.193,85.278,85.345,85.497,85.681,85.615,85.436,85.556,85.684,85.216,85.636,86.011,85.89,86.195,86.161,86.331,86.407,86.375,87.923,88.867,88.543,88.151,89.242,89.125,89.029,89.646,89.32,90.266,90.261,90.144,90.129,90.407,90.743,91.153,91.62,91.191,91.301,91.671,91.313,91.944,91.552,91.982,91.352,91.727,91.84,91.708,92.477,92.417,92.663,93.051,92.448,93.182,92.608,92.83,92.068,92.106,92.563,92.191,93.413,92.95,93.443,93.508,93.875,94.149,93.672,93.614,93.526,93.815,94.07,93.852,93.61,93.035,93.107,93.582,93.938,94.196,94.218,94.31,94.441,94.865,95.124,95.817,96.077,96.587,96.978,97.102,97.049,97.711,98.215,98.432,98.434,98.644,98.949,99.133,99.347,99.377,99.393,99.845,100.352,101.445,101.459,100.998,101.058,101.543,101.531,101.634,102.267,102.718,102.934,103.102,103.416,102.955,102.486,102.398,102.776,103.486,104.048,104.506,104.559,104.926,105.06,105.223,105.069,105.456,105.714,106.392,106.888,107.462,107.726,107.946,108.243,108.851,110.206,111.072,111.012,111.248,110.474,108.443,107.512,108.084,108.411,111.807,114.273,114.475,115.536,116.266,116.791,117.245,117.222,117.656,117.411
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",90.354,90.518,90.701,90.897,91.029,91.546,91.935,92.053,92.048,92.165,92.231,92.097,91.911,91.95,92.296,92.55,92.477,92.387,92.405,92.4,92.316,92.575,92.551,92.258,92.137,93.098,93.078,92.807,92.804,93.018,93.367,93.462,93.425,93.099,93.134,93.173,93.225,93.09,93.063,93.222,93.337,93.48,93.705,93.875,93.874,93.709,93.562,94.004,95.422,95.318,95.959,97.002,96.639,95.923,95.873,95.897,96.525,97.762,97.93,98.052,97.953,97.895,97.435,97.094,96.888,96.789,96.476,96.206,96.109,96.034,95.912,95.964,95.573,95.133,94.936,95.05,95.137,94.934,94.985,94.952,94.42,94.379,94.056,93.684,93.585,93.307,93.313,94.133,94.346,94.479,94.842,95.215,95.873,96.019,96.204,96.807,97.525,100.791,99.392,98.791,98.79,98.978,99.31,99.175,100.677,100.809,100.89,101.08,100.655,100.112,99.358,99.199,99.061,99.353,98.925,98.476,98.645,97.862,97.097,96.175,95.793,95.46,95.661,96.22,96.24,96.13,96.17,96.196,96.044,96.239,96.227,96.178,97.125,98.588,99.454,97.286,95.954,95.501,95.515,95.463,95.179,94.989,95.229,95.492,96.656,96.574,96.578,96.629,97.239,97.487,97.337,97.476,97.702,98.84,99.461,98.735,98.514,98.548,99.213,99.549,99.277,99.283,99.894,100.234,102.147,101.899,100.978,100.463,100.782,100.47,100.371,100.632,100.735,100.53,100.473,100.808,99.949,99.158,98.941,99.47,99.362,100.501,101.283,102.022,102.408,102.782,103.375,103.538,104.463,105.48,108.358,109.182,110.292,110.908,113.34,115.082,117.119,119.742,121.184,119.334,118.46,115.782,111.349,108.216,107.387,106.966,105.696,105.852,105.382,106.644,106.155,107.072,106.86,107.497,109.135,109.544
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",108.127,108.604,109.025,109.414,109.404,109.439,109.774,109.735,109.797,109.991,110.386,110.451,110.419,110.551,110.595,110.639,110.601,110.59,110.77,111.159,111.152,111.287,111.466,111.554,111.47,111.667,111.913,111.999,112.23,112.398,112.456,112.466,112.501,112.459,112.627,112.601,112.614,112.322,112.253,112.363,112.182,112.13,112.453,112.797,112.806,112.858,112.947,113.052,113.263,113.317,113.412,113.499,113.262,113.142,113.251,113.051,113.302,113.492,113.288,113.139,113.246,113.42,113.549,113.496,113.443,113.401,113.238,112.769,112.752,112.593,112.518,112.711,112.727,112.531,112.383,112.744,112.74,112.516,112.495,112.605,112.308,112.371,112.082,111.931,111.895,111.648,111.459,111.956,111.96,111.839,111.699,111.657,111.666,111.574,111.477,111.501,111.413,111.209,111.377,111.288,111.288,111.002,110.965,110.769,110.848,110.814,110.763,110.652,110.72,110.677,110.439,110.222,109.756,109.905,109.882,109.305,108.942,108.946,108.732,108.521,108.268,108.013,107.821,107.9,107.872,107.612,107.444,107.32,106.864,106.637,106.305,105.931,105.764,105.416,105.172,104.955,104.18,103.815,103.818,103.434,103.148,103.171,102.882,102.731,102.824,102.787,102.785,102.939,102.891,102.706,102.378,102.091,101.969,101.978,101.559,101.074,101.064,100.7,100.724,100.598,100.493,100.081,99.892,99.605,99.609,99.443,99.256,98.869,98.688,98.504,98.479,98.27,97.969,97.611,97.369,97.56,97.227,96.976,96.662,96.731,97.405,98.231,98.617,98.988,99.3,99.771,100.03,100.334,100.771,101.132,101.648,101.861,102.509,102.936,103.266,104.372,104.941,105.74,106.864,107.455,107.967,108.238,108.343,108.246,108.336,108.163,108.14,108.189,107.727,107.794,107.347,107.343,107.106,107.163,107.212,107.487
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",73.091,73.341,73.523,73.49,73.407,73.641,73.629,74.128,74.316,74.316,74.245,74.297,74.448,74.626,74.651,74.852,75.406,75.247,75.216,75.327,75.214,75.465,75.54,75.788,75.932,75.896,75.76,75.979,76.173,76.47,76.651,76.637,76.711,76.568,76.654,77.016,77.011,77.261,77.249,77.794,77.895,77.926,78.066,78.143,78.347,78.619,78.557,78.775,79,79.35,79.698,79.976,80.019,80.509,80.864,81.076,81.421,81.88,82.086,82.051,81.997,82.4,82.287,82.363,82.308,82.471,82.539,82.721,82.855,82.951,83.174,83.174,83.497,83.518,83.569,83.763,84.03,84.03,84.256,84.556,84.549,84.932,85.018,85.469,85.982,85.986,85.792,86.024,86.094,86.081,86.274,86.342,86.753,86.831,87.028,87.011,87.088,87.353,87.561,87.761,88.151,88.14,88.618,88.87,89.067,89.075,89.127,89.596,89.67,90.285,90.497,90.712,90.841,91.188,91.611,91.707,91.826,92.158,92.175,92.024,92.407,92.792,92.882,93.254,92.679,92.774,92.884,92.932,93.018,92.866,93.179,93.154,93.265,93.742,93.992,93.95,94.033,94.677,94.808,95.213,95.418,95.723,96.233,96.694,96.502,96.646,97.023,97.149,97.935,98.112,98.312,98.395,98.179,98.847,99.267,99.142,99.015,98.865,99.087,99.957,100.01,99.901,100.128,100.17,100.372,100.581,100.93,101.118,101.408,101.301,101.444,101.318,101.425,101.764,102.042,102.329,102.688,102.976,102.834,102.835,99.941,102.129,105.32,107.121,108.284,108.374,110.267,109.838,112.748,115.405,127.304,130.103,132.37,133.284,142.637,146.552,154.786,165.639,168.201,157.258,150.977,136.468,114.098,100.23,97.967,98.067,93.432,94.41,94.484,100.995,101.011,105.655,105.671,107.394,113.242,113.654
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",65.539,65.485,65.501,65.584,65.799,66.546,66.971,67.107,67.029,67.096,66.972,66.709,66.403,66.352,66.882,67.23,67.049,66.941,66.867,66.604,66.495,66.791,66.622,66.037,65.873,67.328,67.158,66.618,66.429,66.628,67.129,67.278,67.184,66.707,66.641,66.672,66.748,66.686,66.688,66.799,67.103,67.373,67.501,67.529,67.497,67.139,66.828,67.467,69.696,69.438,70.429,72.135,71.694,70.456,70.221,70.399,71.291,73.301,73.76,74.123,73.884,73.589,72.653,72.047,71.722,71.562,71.119,71.009,70.821,70.818,70.622,70.546,69.676,68.955,68.69,68.514,68.661,68.468,68.56,68.336,67.532,67.32,66.928,66.229,65.98,65.645,65.885,67.051,67.482,67.893,68.807,69.668,71.088,71.52,72.04,73.429,75.262,83.502,79.733,78.331,78.309,79.173,79.968,79.864,83.476,83.864,84.129,84.684,83.513,82.177,80.631,80.499,80.79,81.279,80.163,79.862,80.814,78.786,77.127,75.081,74.433,73.91,74.721,75.983,76.154,76.257,76.602,76.858,77.158,78.033,78.477,78.918,81.585,85.893,88.617,83.205,80.922,80.242,80.239,80.657,80.316,79.726,80.75,81.631,84.7,84.49,84.427,84.234,86.014,87.063,87.181,88.092,88.995,92.267,94.886,93.633,92.977,93.828,95.865,97.137,96.485,97.402,99.813,101.62,108.12,107.704,104.96,104.09,105.639,104.974,104.676,106.185,107.292,107.417,107.798,108.497,106.148,103.831,103.837,105.647,103.863,105.747,107.268,108.81,109.283,109.413,110.747,110.58,112.539,115.058,123.128,125.239,127.288,128.282,135.212,138.327,143.38,149.817,151.902,144.706,140.886,132.287,119.153,110.229,107.568,106.587,102.978,103.26,102.706,106.061,105.429,108.069,107.904,109.721,114.237,114.933
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",71.903,72.015,72.107,72.244,72.354,72.428,72.488,72.595,72.772,72.809,72.905,73.009,73.167,73.294,73.395,73.55,73.69,73.82,73.922,73.988,74.064,74.154,74.212,74.315,74.451,74.478,74.593,74.747,74.84,74.931,74.977,75.072,75.237,75.361,75.552,75.672,75.784,75.938,76.16,76.326,76.467,76.586,76.732,76.87,77.013,77.18,77.261,77.371,77.505,77.67,77.817,78.047,78.257,78.398,78.574,78.761,78.95,79.303,79.524,79.676,79.873,80.013,80.215,80.315,80.35,80.521,80.736,80.881,81.129,81.31,81.507,81.712,81.881,82.055,82.16,82.258,82.456,82.495,82.739,82.898,83.194,83.353,83.452,83.69,83.944,84.053,84.203,84.398,84.55,84.65,84.883,85.063,85.251,85.364,85.54,85.745,85.957,86.149,86.304,86.461,86.659,86.843,87.133,87.351,87.585,87.738,88.009,88.168,88.469,88.63,88.969,89.211,89.455,89.675,89.959,90.284,90.41,90.694,90.934,91.085,91.305,91.567,91.676,91.748,91.907,92.166,92.332,92.5,92.654,92.827,93.026,93.109,93.062,93.419,93.61,93.658,93.832,94.027,94.23,94.339,94.493,94.738,95.009,95.282,95.574,95.845,96.02,96.28,96.579,96.781,97.22,97.509,97.704,97.945,98.1,98.257,98.709,98.993,99.185,99.392,99.564,99.865,100.099,100.369,100.559,100.881,101.111,101.272,101.631,101.963,102.177,102.427,102.833,103.129,103.403,103.643,103.746,104.04,104.222,104.554,105.045,105.478,105.551,105.932,106.247,106.531,107.05,107.507,108.044,108.375,108.556,108.865,109.343,109.671,110.073,110.362,110.909,111.495,112.371,112.764,113.373,113.978,114.565,115.04,115.499,115.812,115.926,116.156,116.263,116.493,116.528,116.68,116.861,116.891,117.135,117.105
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",71.696,71.809,71.919,72.08,72.19,72.264,72.33,72.437,72.615,72.656,72.759,72.867,73.02,73.14,73.256,73.415,73.554,73.684,73.793,73.863,73.936,74.025,74.073,74.191,74.344,74.365,74.483,74.643,74.732,74.825,74.86,74.954,75.12,75.247,75.442,75.561,75.664,75.822,76.053,76.23,76.379,76.5,76.651,76.793,76.936,77.098,77.182,77.289,77.426,77.595,77.747,77.99,78.201,78.344,78.498,78.693,78.886,79.243,79.457,79.609,79.817,79.959,80.161,80.261,80.314,80.482,80.707,80.855,81.101,81.28,81.476,81.692,81.862,82.032,82.152,82.301,82.528,82.66,82.806,83.032,83.297,83.507,83.64,83.914,84.121,84.434,84.52,84.614,84.81,84.92,85.147,85.272,85.465,85.561,85.745,85.858,86.052,86.289,86.383,86.588,86.864,87.067,87.387,87.592,87.896,88.011,88.242,88.31,88.666,88.958,89.286,89.538,89.745,89.994,90.273,90.586,90.705,90.962,91.166,91.251,91.387,91.68,91.868,91.996,92.154,92.373,92.488,92.677,92.854,93.021,93.249,93.308,93.456,93.654,93.819,93.945,94.041,94.324,94.483,94.61,94.799,94.961,95.217,95.485,95.76,95.966,96.172,96.391,96.629,96.856,97.314,97.511,97.722,97.974,98.247,98.426,98.829,99.128,99.269,99.425,99.554,99.842,100.072,100.286,100.495,100.785,101.046,101.224,101.512,101.988,102.248,102.561,103.022,103.311,103.621,103.85,103.978,104.366,104.387,104.755,105.236,105.679,105.737,106.128,106.447,106.705,107.233,107.714,108.274,108.618,108.777,109.112,109.612,109.938,110.357,110.646,111.217,111.811,112.739,113.16,113.794,114.43,115.072,115.58,116.057,116.374,116.482,116.679,116.793,117.037,117.071,117.236,117.414,117.431,117.691,117.631
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",72.579,72.687,72.722,72.793,72.899,72.969,73.008,73.11,73.279,73.302,73.382,73.475,73.64,73.782,73.846,73.986,74.121,74.255,74.342,74.403,74.497,74.591,74.672,74.737,74.832,74.87,74.984,75.124,75.226,75.313,75.383,75.48,75.646,75.764,75.947,76.069,76.204,76.348,76.553,76.69,76.812,76.924,77.061,77.186,77.33,77.505,77.577,77.692,77.813,77.962,78.095,78.297,78.502,78.638,78.859,79.029,79.207,79.556,79.796,79.957,80.132,80.267,80.474,80.572,80.564,80.745,80.938,81.078,81.331,81.519,81.719,81.896,82.061,82.239,82.326,82.369,82.555,82.468,82.813,82.889,83.213,83.305,83.369,83.533,83.86,83.701,83.938,84.266,84.349,84.43,84.675,84.917,85.087,85.245,85.408,85.73,85.958,86.091,86.351,86.456,86.54,86.688,86.914,87.14,87.281,87.479,87.809,88.099,88.328,88.311,88.665,88.887,89.171,89.344,89.636,89.987,90.126,90.442,90.724,90.961,91.301,91.53,91.526,91.498,91.661,91.991,92.227,92.353,92.469,92.646,92.781,92.902,92.566,93.151,93.379,93.321,93.599,93.678,93.945,94.038,94.118,94.47,94.763,95.042,95.364,95.727,95.859,96.157,96.527,96.678,97.097,97.514,97.69,97.91,97.903,98.024,98.558,98.816,99.067,99.341,99.578,99.896,100.134,100.482,100.641,100.995,101.177,101.314,101.753,101.897,102.058,102.222,102.54,102.828,103.06,103.308,103.364,103.56,103.958,104.245,104.737,105.186,105.245,105.635,105.95,106.202,106.723,107.198,107.752,108.086,108.231,108.551,109.03,109.339,109.746,110.022,110.585,111.17,112.091,112.509,113.143,113.786,114.441,114.965,115.458,115.789,115.904,116.105,116.227,116.476,116.517,116.688,116.867,116.885,117.147,117.084
"52","44","S4 PN7223ZZMG   Special food Services","T070443",72.662,72.774,72.826,72.922,73.025,73.099,73.158,73.265,73.444,73.471,73.551,73.643,73.8,73.938,74.016,74.173,74.317,74.447,74.537,74.6,74.696,74.791,74.868,74.941,75.036,75.069,75.186,75.333,75.437,75.533,75.592,75.691,75.855,75.976,76.164,76.282,76.409,76.558,76.771,76.928,77.061,77.176,77.317,77.443,77.594,77.768,77.838,77.949,78.08,78.233,78.378,78.59,78.799,78.934,79.153,79.327,79.509,79.855,80.09,80.245,80.417,80.554,80.758,80.865,80.867,81.051,81.244,81.382,81.632,81.82,82.017,82.21,82.369,82.53,82.65,82.849,83.155,83.273,83.341,83.584,83.823,84.05,84.21,84.447,84.67,84.978,85.061,85.165,85.328,85.413,85.655,85.746,85.929,86.074,86.239,86.332,86.508,86.747,86.912,87.134,87.381,87.556,87.814,87.978,88.3,88.391,88.626,88.693,89.06,89.357,89.681,89.91,90.085,90.321,90.587,90.902,90.998,91.224,91.419,91.477,91.616,91.951,92.106,92.209,92.354,92.608,92.722,92.898,93.055,93.203,93.374,93.446,93.565,93.785,93.941,94.059,94.176,94.463,94.637,94.794,94.906,95.06,95.305,95.577,95.868,96.057,96.297,96.473,96.703,96.882,97.33,97.525,97.754,98.003,98.263,98.418,98.847,99.128,99.289,99.444,99.572,99.839,100.082,100.306,100.489,100.782,101.021,101.201,101.458,101.907,102.189,102.477,102.876,103.12,103.438,103.666,103.751,104.191,104.225,104.6,105.113,105.445,105.615,105.894,106.179,106.708,107.166,107.46,107.842,108.095,108.521,108.684,109.078,109.484,109.802,110.127,110.514,111.069,111.573,111.746,112.169,112.526,112.594,112.729,112.979,113.209,113.323,113.784,113.811,113.922,113.926,113.971,114.145,114.259,114.373,114.574
