"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"22","14","      Used autos","A137RG3",13.987,14.372,15.219,15.596,15.438,15.648,15.928,16.019,16.354,16.385,16.087,16.254,16.169,16.445,16.659,17.016,17.876,18.554,18.362,18.174,18.505,19.366,19.525,19.679,20.241,20.898,20.789,20.928,20.336,21.028,23.454,25.094,25.367,25.154,26.362,26.906,27.316,29.084,30.852,32.566,32.92,32.948,31.812,31.415,32.042,33.64,35.515,35.765,35.704,36.439,35.288,34.556,34.824,34.752,35.019,37.85,39.791,41.537,43.845,45.357,46.275,47.082,47.758,48.522,51.282,53.068,55.365,57.216,57.567,59.663,60.998,60.443,60.306,59.908,59.466,59.51,58.447,58.015,59.794,61.744,63.816,69.602,72.552,72.899,69.059,68.732,71.115,72.199,75.478,76.347,75.626,74.362,72.195,70.63,70.149,69.088,70.472,70.987,72.002,72.209,70.733,72.43,74.28,76.05,76.862,79.485,82.481,84.833,85.144,87.062,90.663,94.572,97.49,98.311,96.959,97.487,100.195,100.113,100.856,102.13,104.129,100.985,99.742,100.872,99.387,97.944,98.793,99.181,98.573,98.789,101.047,101.581,100.74,101.217,100.007,101.859,102.19,102.104,102.067,102.338,103.055,104.179,105.042,103.566,99.701,98.371,95.849,92.468,93.802,95.729,96.605,98.843,97.651,99.931,100.163,102.255,102.031,100.183,98.926,98.781,99.083,99.426,99.484,99.43,97.832,96.785,96.724,92.126,90.294,90.656,93.052,97.245,100.713,101.954,101.238,101.32,102.69
"23","15","        Margin","GAP583",7.654,7.911,8.48,8.774,8.515,8.837,9.095,9.358,9.538,9.527,9.562,9.63,9.686,9.8,9.926,10.107,10.786,11.383,11.337,11.292,11.645,12.451,12.578,12.475,12.711,13.283,13.42,13.942,13.796,14.19,15.765,16.615,16.583,16.415,17.236,17.609,18.074,19.119,20.633,22.098,21.792,21.832,21.41,21.558,22.267,23.676,24.969,24.81,24.838,24.535,23.434,23.812,23.936,23.621,23.286,24.783,25.969,27.257,28.125,28.6,29.147,29.216,29.29,29.844,32.584,34.195,35.498,36.11,35.601,36.675,37.691,36.866,36.234,36.617,37.417,37.666,36.42,37.476,40.918,43.993,47.097,53.374,56.953,57.494,50.929,50.116,53.802,55.22,59.078,60.683,60.891,59.324,55.673,53.791,53.229,52.147,54.223,54.449,55.799,55.941,53.572,54.516,56.108,57.348,58.44,60.798,63.683,66.354,68.39,70.96,74.479,77.879,78.567,78.637,77.393,78.08,81.544,82.716,85.067,87.96,91.7,87.677,89.086,92.545,88.72,85.769,86.632,86.736,88.4,88.416,89.782,90.353,89.653,89.122,86.203,87.03,86.803,87.312,88.223,89.373,93.995,98.357,99.653,99.43,91.563,89.113,88.282,89.652,93.108,97.843,98.205,98.803,95.843,100.33,99.992,104.452,103.654,99.256,97.075,98.856,101.422,102.723,102.528,100.814,96.697,95.991,98.224,93.24,93.651,95.584,97.955,99.046,101.082,101.947,98.421,99.735,102.49
"24","16","        Net transactions","GAP613",24.909,25.355,26.289,26.62,27.104,26.655,26.786,26.267,26.864,27.037,26.01,26.396,26.024,26.632,27.014,27.68,28.382,28.707,28.296,27.843,27.797,27.939,28.087,28.997,30.189,30.592,29.926,28.963,27.743,28.885,32.115,34.797,35.665,35.51,37.014,37.779,37.955,40.637,42.136,43.495,45.348,45.342,43.12,41.72,41.896,43.106,45.376,46.492,46.407,48.939,48.228,46.047,46.585,47.056,48.364,52.606,55.406,57.376,61.488,64.385,65.626,67.729,69.365,70.279,71.597,72.756,75.99,79.612,81.614,84.771,86.339,86.345,87.025,85.722,83.775,83.698,83.284,80.955,79.696,79.55,79.761,83.573,85.349,85.841,85.992,86.734,87.46,88.108,90.033,89.769,88.037,87.441,87.538,86.66,86.282,85.434,85.818,86.651,87.375,87.42,86.97,89.17,91.573,93.827,94.344,97.002,99.705,101.511,100.144,101.304,104.58,108.665,113.682,115.142,113.883,114.247,116.057,114.654,113.836,113.351,113.8,111.609,108.067,107.088,107.79,107.844,108.846,109.408,107.127,107.59,110.382,110.982,109.923,111.211,111.6,114.18,114.931,114.192,113.233,112.934,110.32,108.985,109.603,107.105,106.437,106.079,102.294,95.187,94.531,94.03,95.237,98.703,99.314,99.627,100.415,100.654,100.799,101.085,100.654,99.103,97.482,96.859,97.345,98.649,99.244,98.095,95.933,91.929,88.869,88.278,90.804,97.133,101.274,102.692,104.543,103.736,103.806
"25","17","        Employee reimbursement","GAP643",16.273,16.51,16.629,16.833,17.101,17.311,17.546,17.841,18.201,18.381,18.701,19,19.446,19.811,20.159,20.451,20.778,21.235,21.671,21.849,22.086,22.239,22.44,22.674,23.039,23.368,23.722,24.107,24.583,25.393,26.48,27.553,28.44,29.039,29.502,30.046,30.692,31.171,31.687,32.191,32.866,33.491,34.058,34.65,35.196,35.473,36.043,37.311,38.173,39.182,40.076,40.675,41.69,43.098,44.457,45.378,46.873,47.315,48.015,48.712,49.641,51.349,52.365,53.122,53.569,54.221,54.41,54.841,55.828,56.219,57.069,57.552,58.241,58.466,58.941,59.916,61.314,63.226,64.592,65.838,67.172,67.708,68.362,68.678,67.849,68.541,70.324,71.545,72.652,72.55,73.004,74.506,76.071,76.836,76.246,76.748,76.315,77.15,79.263,76.918,76.235,75.505,80.862,82.043,82.424,82.57,81.991,83.643,85.329,86.015,85.332,86.324,87.934,87.202,88.117,88.432,90.197,89.207,89.366,87.761,90.447,91.596,92.85,94.101,94.117,94.395,97.508,96.689,95.605,97.981,97.763,101.263,100.032,101.354,101.606,101.141,100.358,97.404,94.606,96.059,101.118,104.142,104.325,100.204,99.389,101.193,101.859,102.849,99.764,99.494,98.171,96.702,98.505,98.561,100.173,102.886,102.615,102.365,102.262,106.99,106.165,102.967,107.48,107.73,108.245,112.221,110.117,108.732,114.917,118.906,122.282,120.023,114.343,113.225,116.353,118.594,115.493
"26","18","      Used light trucks (including utility vehicles)","W241RG3",24.707,24.757,25.103,25.438,25.571,25.6,25.735,25.973,25.893,26.05,26.166,26.419,26.43,26.537,26.8,27.813,28.471,28.449,27.797,27.231,27.731,27.835,27.975,27.545,27.514,27.777,27.904,27.923,27.939,28.669,29.844,30.96,30.996,31.771,32.07,32.844,33.421,33.72,34.1,34.992,35.106,35.28,35.651,37.109,38.107,39.229,41.219,42.19,42.035,44.194,43.466,41.631,42.164,42.675,43.843,47.66,50.163,51.964,55.486,58.123,59.25,61.137,62.78,63.822,65.434,66.681,69.675,72.862,74.298,76.937,78.226,78.204,78.871,77.879,75.951,75.832,75.325,73.098,72.092,72.021,72.531,75.923,77.619,78.074,78.191,78.757,79.348,79.92,81.63,81.432,79.688,79.337,79.355,78.587,78.339,77.59,78.013,78.755,79.314,79.173,77.05,76.067,75.744,75.938,78.479,82.088,84.446,88.497,87.837,89.244,90.917,96.057,98.589,99.247,98.833,100.546,103.375,101.776,101.263,101.737,100.235,102.041,102.195,102.423,100.262,99.488,99.724,100.686,100.174,100.415,102.515,102.534,102.029,102.751,102.883,104.869,105.536,105.192,104.7,104.635,105.654,105.393,105.848,103.725,100.948,99.684,97.779,94.131,94.849,95.196,95.957,98.588,99.332,100.345,99.969,100.354,101.111,100.837,99.88,98.99,98.36,98.281,99.23,100.75,100.22,97.944,94.912,92.148,90.055,90.72,93.901,98.036,101.18,102.812,104.264,103.634,102.912
"27","19","        Margin","W491RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.732,54.598,57.015,59.733,61.178,63.544,64.724,64.741,65.238,64.402,62.821,62.762,62.427,60.598,59.735,59.602,59.902,62.614,63.97,64.353,64.503,65.02,65.544,66.049,67.482,67.325,65.888,65.589,65.599,64.938,64.697,64.033,64.326,64.948,65.498,65.53,61.193,54.681,49.022,45.74,52.052,57.431,59.111,66.246,66.511,68.104,67.727,73.582,73.019,72.722,73.324,76.596,80.592,79.027,78.824,80.546,76.318,83.767,89.605,91.709,84.978,82.867,81.739,83.455,86.471,86.247,87.004,85.835,86.385,86.1,85.755,86.56,86.953,87.368,87.859,88.443,96.552,98.561,98.818,97.601,90.468,87.384,89.069,91.911,95.294,97.276,97.189,98.28,99.352,101.77,99.072,99.8,101.867,100.431,98.367,98.844,100.307,101.395,103.323,105.276,102.123,97.158,92.067,92.403,92.873,96.896,101.896,100.605,101.481,103.594,104.165,103.949,101.278
"28","20","        Net transactions","W492RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.682,72.844,76.077,79.693,81.6,84.761,86.339,86.352,87.022,85.895,83.787,83.725,83.252,80.828,79.68,79.499,79.891,83.518,85.332,85.839,86.044,86.729,87.429,88.095,90.003,89.804,87.882,87.494,87.491,86.616,86.298,85.411,85.802,86.637,87.36,87.42,86.988,89.111,91.681,93.813,94.352,96.956,99.721,101.53,100.158,101.292,104.559,108.639,113.704,115.165,113.914,114.264,116.102,114.571,113.838,113.342,113.774,111.592,108.044,107.086,107.784,107.841,108.848,109.413,107.13,107.589,110.351,110.982,109.948,111.192,111.568,114.146,114.927,114.185,113.228,112.939,110.267,108.986,109.601,107.11,106.437,106.077,102.297,95.186,94.531,94.029,95.25,98.7,99.316,99.63,100.42,100.662,100.796,101.082,100.646,99.092,97.477,96.856,97.344,98.642,99.241,98.092,95.912,91.914,88.871,88.282,90.77,97.138,101.273,102.698,104.539,103.732,103.799
"29","21","  Private fixed investment","AB62RG3",30.229,30.311,30.51,30.958,30.922,31.183,31.408,31.795,31.654,31.854,32.435,32.626,32.956,33.142,33.472,34.392,35.233,35.619,35.334,35.009,35.712,35.923,36.15,35.374,35.035,35.531,36.126,36.39,37.267,38.195,39.316,40.507,41.264,42.438,42.539,43.395,44.422,44.498,45.249,46.26,46.645,47.429,48.934,51.035,52.233,52.643,53.385,53.996,55.624,56.896,57.569,59.319,61.119,62.435,64.297,64.752,65.184,67.338,67.713,68.501,68.057,68.622,69.395,69.359,69.671,69.482,69.478,69.724,70.013,70.108,70.163,70.235,70.817,71.722,72.59,74.198,75.218,77.247,77.727,79.529,79.249,78.512,78.518,78.387,78.449,79.034,80.059,81.376,81.117,81.804,82.225,83.954,83.837,84.047,84.665,86.708,88.401,88.537,89.028,90.78,91.64,91.705,90.809,91.061,92.015,91.792,91.632,91.972,94.118,95.078,95.052,93.398,92.544,92.793,93.472,93.757,93.519,94.616,95.465,95.574,95.512,96.047,97.446,96.832,95.691,95.168,95.438,96.004,97.299,97.248,95.579,95.493,95.7,95.573,95.71,94.308,92.395,92.028,93.781,92.738,93.901,93.715,91.616,94.393,94.471,92.817,95.595,101.254,101.119,101.818,100.005,99.57,100.703,100.753,98.833,99.711,100.047,99.93,99.9,100.329,100.93,101.652,101.329,100.247,99.035,99.148,100.6,102.945,110.514,116.925,113.42,103.652,96.597,95.66,95.153,95.607,96.501
"30","22","    New motor vehicles","AB68RG3",30.018,30.173,30.523,30.949,31.017,31.138,31.345,31.567,31.553,31.764,32.054,32.281,32.464,32.741,33.09,33.991,34.819,35.194,34.881,34.531,35.125,35.313,35.53,35.016,34.901,35.376,35.771,35.832,36.388,37.36,38.84,40.352,41.162,42.109,42.52,43.378,44.232,44.834,45.697,46.77,47.395,48.068,49.01,50.585,51.662,52.215,53.231,53.967,55.374,56.906,57.36,58.394,59.973,61.146,62.97,64.297,65.263,67.455,68.638,69.944,69.871,70.808,71.823,71.997,72.511,72.549,73.135,74.015,74.601,75.332,75.721,75.804,76.437,76.917,77.11,78.383,79.109,80.195,80.28,81.651,81.519,81.789,82.248,82.287,82.413,83.04,83.975,85.147,85.488,85.934,85.64,86.747,86.687,86.559,86.876,87.959,89.202,89.605,90.181,91.322,91.744,92.662,93.125,94.142,94.9,95.636,96.456,97.205,98.247,99.27,100.277,100.213,101.095,101.747,101.883,102.158,102.501,102.786,103.125,102.997,103.177,102.73,102.406,101.575,101.156,100.874,101.413,101.96,101.999,102.13,101.916,102.064,101.819,102.168,102.43,102.413,101.496,100.975,101.708,100.851,100.441,99.717,98.583,99.311,99.255,98.12,98.442,99.123,98.842,99.145,98.475,99.409,100.33,100.365,99.322,99.982,100.25,100.296,100.17,99.924,99.671,99.905,99.917,99.843,99.599,99.396,99.277,98.141,98.679,100.127,100.62,102.183,101.907,102.139,102.779,102.65,103.258
"31","23","      Autos","B139RG3",36.843,37.049,37.613,38.14,38.114,38.294,38.541,38.883,38.715,38.933,39.164,39.426,39.423,39.57,40.03,41.585,42.519,42.556,41.573,40.751,41.505,41.676,41.931,41.023,41.19,41.572,41.826,41.663,41.876,42.905,44.816,46.235,46.529,47.717,48.07,48.959,49.946,50.348,50.891,51.993,52.372,52.824,53.512,55.172,56.523,56.855,57.68,59.002,60.284,61.634,62.457,63.266,64.965,66.319,67.683,68.32,68.437,70.54,71.643,72.488,72.675,73.305,74.014,73.931,74.531,74.993,75.568,76.202,76.647,77.107,77.626,77.966,78.895,79.47,79.962,80.441,81.158,82.425,83.671,84.838,84.924,85.52,86.476,86.851,86.42,86.979,88.07,88.556,88.738,89.154,88.918,89.81,90.374,89.949,90.046,91.013,92.642,93.408,93.755,94.243,94.794,95.433,95.998,96.449,96.824,97.499,98.253,99.072,99.81,100.634,101.673,102.204,102.636,103.168,103.178,103.585,104.145,104.484,105.12,105.304,105.22,105.088,104.779,104.366,104.246,103.91,104.187,103.823,103.604,103.163,103.04,102.989,102.962,103.409,103.433,102.993,102.908,102.858,102.489,102.7,102.023,101.481,101.205,101.357,100.133,99.765,99.445,99.106,98.992,99.352,98.633,99.252,100.062,100.159,99.445,100.333,100.926,100.777,101.047,100.819,100.473,100.418,100.244,100.191,99.843,99.957,100.689,99.591,99.825,100.775,100.99,102.767,102.206,102.067,102.189,101.809,102.48
"32","24","        Domestic","GAP673",36.833,37.035,37.598,38.123,38.098,38.277,38.52,38.857,38.681,38.907,39.162,39.463,39.515,39.692,40.156,41.693,42.575,42.576,41.569,40.746,41.513,41.69,41.946,41.033,41.187,41.565,41.82,41.665,41.894,42.925,44.825,46.22,46.47,47.632,47.978,48.876,49.892,50.317,50.876,51.989,52.371,52.822,53.503,55.15,56.484,56.812,57.647,58.995,60.317,61.694,62.524,63.319,64.984,66.317,67.677,68.326,68.473,70.595,71.698,72.527,72.685,73.289,73.975,73.872,74.456,74.911,75.49,76.139,76.61,77.09,77.621,77.967,78.895,79.469,79.964,80.446,81.165,82.443,83.682,84.839,84.906,85.492,86.447,86.827,86.409,86.979,88.078,88.567,88.753,89.169,88.928,89.82,90.375,89.944,90.039,91.005,92.627,93.402,93.748,94.234,94.783,95.419,95.981,96.431,96.803,97.476,98.227,99.046,99.782,100.609,101.654,102.19,102.631,103.169,103.182,103.586,104.143,104.477,105.113,105.297,105.215,105.086,104.78,104.37,104.254,103.92,104.197,103.833,103.612,103.168,103.044,102.992,102.966,103.413,103.434,102.99,102.901,102.849,102.481,102.681,102.02,101.493,101.216,101.368,100.136,99.761,99.437,99.1,98.989,99.351,98.633,99.257,100.061,100.16,99.445,100.332,100.922,100.773,101.044,100.818,100.471,100.415,100.24,100.184,99.832,99.937,100.65,99.534,99.744,100.661,100.918,102.651,102.084,101.944,102.065,101.686,102.387
"33","25","        Foreign","GAP703",36.835,37.037,37.591,38.123,38.098,38.277,38.538,38.855,38.679,38.906,39.162,39.464,39.514,39.692,40.153,41.697,42.574,42.576,41.691,40.749,41.513,41.69,41.949,41.032,41.188,41.564,41.815,41.659,41.885,42.921,44.856,46.21,46.493,47.638,47.96,48.876,49.892,50.316,50.89,51.986,52.372,52.819,53.505,55.166,56.48,56.815,57.663,58.99,60.36,61.709,62.527,63.323,64.975,66.324,67.671,68.321,68.469,70.57,71.703,72.547,72.698,73.292,73.973,73.871,74.45,74.913,75.482,76.137,76.614,77.09,77.624,77.967,78.89,79.471,79.945,80.448,81.206,82.418,83.671,84.826,84.912,85.498,86.448,86.826,86.407,86.973,88.075,88.574,88.75,89.164,88.937,89.799,90.371,89.945,90.032,91.003,92.683,93.392,93.747,94.233,94.781,95.415,95.987,96.427,96.802,97.469,98.233,99.042,99.786,100.606,101.634,102.189,102.631,103.167,103.181,103.591,104.14,104.484,105.112,105.298,105.214,105.081,104.772,104.369,104.254,103.929,104.21,103.833,103.604,103.166,103.044,102.998,102.969,103.415,103.437,102.997,102.896,102.848,102.482,102.738,102.055,101.494,101.222,101.366,100.135,99.763,99.444,99.1,98.985,99.345,98.627,99.239,100.066,100.165,99.451,100.34,100.932,100.784,101.053,100.828,100.485,100.43,100.252,100.197,99.845,99.949,100.671,99.548,99.75,100.697,100.819,102.639,102.094,101.957,102.081,101.702,102.315
"34","26","      Trucks","B705RG3",23.65,23.761,23.918,24.25,24.399,24.465,24.636,24.75,24.866,25.066,25.397,25.594,25.918,26.294,26.531,26.879,27.573,28.248,28.523,28.575,29.014,29.199,29.373,29.185,28.854,29.384,29.88,30.102,30.867,31.76,32.87,34.404,35.627,36.338,36.821,37.654,38.367,39.176,40.343,41.382,42.251,43.133,44.319,45.797,46.601,47.343,48.526,48.727,50.225,51.886,52.02,53.22,54.666,55.646,57.885,59.929,61.908,64.198,65.468,67.329,66.97,68.266,69.69,70.229,70.631,70.104,70.719,71.939,72.713,73.801,74.017,73.768,74.042,74.422,74.259,76.509,77.308,78.199,76.683,78.357,77.946,77.819,77.675,77.296,78.104,78.823,79.562,81.636,82.187,82.68,82.302,83.678,82.794,83.047,83.684,84.978,85.659,85.496,86.471,88.678,88.895,90.216,90.536,92.296,93.545,94.36,95.261,95.936,97.323,98.583,99.567,98.862,100.228,101.01,101.272,101.421,101.559,101.791,101.862,101.477,101.874,101.176,100.846,99.71,99.088,98.849,99.567,100.737,100.944,101.45,101.17,101.444,101.052,101.336,101.766,102.061,100.521,99.639,101.237,99.587,99.365,98.495,96.681,97.851,98.714,96.996,97.779,99.148,98.759,99.023,98.381,99.497,100.481,100.479,99.253,99.787,99.874,100.026,99.68,99.417,99.202,99.606,99.741,99.671,99.52,99.119,98.376,97.197,97.941,99.783,100.499,101.885,101.851,102.398,103.451,103.499,104.066
"35","27","        Light trucks (including utility vehicles)","B196RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.663,80.473,81.049,80.125,81.386,82.42,83.648,84.254,85.479,85.844,85.043,87.03,85.578,85.451,86.433,87.197,88.72,88.6,90.023,92.06,92.789,94.073,94.542,96.43,98.242,99.369,100.265,100.885,102.667,104.391,105.571,104.087,104.91,105.47,105.568,105.645,105.812,106.189,106.62,106.465,106.695,105.705,105.128,103.727,102.782,101.983,102.722,103.982,104.173,104.762,104.269,104.572,103.926,104.302,104.7,104.833,103.138,102.059,103.978,101.871,101.525,100.282,97.84,99.147,100.119,98.041,99.098,100.816,100.056,100.081,99.026,99.946,101.055,100.854,98.873,99.218,99.184,98.857,98.257,97.391,96.866,96.908,97.049,96.891,96.423,95.706,94.563,92.484,93.194,95.519,96.318,97.895,97.668,98.096,98.901,98.966,99.59
"36","28","          Domestic","BTRLDP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.558,100.321,97.869,99.16,100.089,98.014,99.067,100.787,100.046,100.089,99.051,99.992,101.121,100.925,98.941,99.253,99.184,98.838,98.242,97.394,96.92,96.962,97.046,96.777,96.149,95.34,94.17,92.143,92.95,95.353,96.205,97.806,97.577,98.006,98.81,98.876,99.495
"37","29","          Foreign","BTRLMP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.561,100.309,97.875,99.166,100.201,98.012,99.055,100.802,100.047,100.091,99.062,99.993,101.129,100.933,98.904,99.278,99.197,98.86,98.248,97.41,96.936,96.97,97.054,96.79,96.157,95.352,94.211,92.159,92.977,95.359,96.209,97.818,97.599,98.02,98.827,98.887,99.53
"38","30","        Other trucks, buses, and truck trailers","B197RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.578,68.77,68.115,68.14,68.545,68.958,69.235,72.327,72.301,72.826,72.791,73.547,73.226,73.836,74.057,75.828,75.519,75.333,75.673,77.94,77.528,78.794,78.916,80.384,80.943,81.367,82.2,82.886,83.737,84.349,85.024,85.303,87.2,88.193,88.682,88.985,89.169,89.179,88.569,87.651,88.312,88.257,88.483,87.982,88.132,89.233,89.882,90.814,91.038,91.339,91.554,91.755,91.981,92.035,92.546,93.303,92.239,91.989,92.462,92.433,92.645,93.071,93.284,93.998,94.476,94.026,93.903,94.152,94.998,96.01,96.617,98.318,98.95,99.437,100.293,101.32,101.691,103.179,103.576,105.082,105.937,107.632,107.77,108.042,109.208,110.059,110.787,112.498,113.42,113.692,114.126,114.835,115.493,116.491,118.507,118.487,118.847
"39","31","    Net purchases of used autos and used light trucks","W242RG3",25.888,26.326,27.239,27.558,28.116,27.586,27.702,27.096,27.689,27.92,26.795,27.186,26.745,27.375,27.77,28.503,29.181,29.477,29.056,28.625,28.516,28.566,28.72,29.709,30.877,31.239,30.528,29.485,28.258,29.502,32.653,35.468,36.3,36.169,37.618,38.353,38.438,41.141,42.467,43.815,45.751,45.843,43.607,42.159,42.418,43.648,45.999,47.26,47.224,49.853,49.194,46.982,47.574,48.146,49.654,53.955,56.765,58.822,63.033,66.254,67.723,70.066,71.896,72.871,74.186,75.263,78.666,82.656,84.495,87.963,89.638,89.658,90.306,88.999,86.64,86.531,86.06,83.504,82.245,82.082,82.535,86.223,88.061,88.514,88.737,89.387,89.963,90.612,92.546,92.298,90.272,89.893,89.972,89.106,88.778,87.918,88.273,89.187,89.93,90.004,89.694,92.045,94.743,97.05,97.452,100,102.8,104.437,102.901,104.019,107.467,111.5,116.91,118.514,117.159,117.345,119.078,117.46,116.613,115.91,116.653,113.879,109.646,108.458,109.672,109.949,111.062,111.553,108.924,109.403,112.308,112.954,111.782,113.093,113.578,116.233,117.198,116.383,115.255,114.8,111.441,109.818,110.371,107.695,107.428,107.161,102.954,95.19,94.374,93.748,95.102,98.831,99.412,99.497,100.475,100.615,100.657,101.121,100.816,99.077,97.238,96.502,96.913,98.218,99.075,98.133,96.071,91.927,88.693,87.963,90.437,97.219,101.469,102.878,104.893,104.021,104.21
"40","32","      Used autos","B140RG3",25.548,25.989,26.899,27.214,27.768,27.238,27.351,26.743,27.335,27.566,26.441,26.829,26.389,27.016,27.406,28.126,28.796,29.091,28.679,28.255,28.137,28.186,28.34,29.342,30.52,30.883,30.163,29.102,27.847,29.089,32.255,35.086,35.935,35.777,37.244,37.967,38.035,40.786,42.129,43.473,45.443,45.524,43.227,41.691,41.905,43.11,45.432,46.686,46.659,49.27,48.629,46.441,47.028,47.596,49.091,53.345,56.12,58.154,62.329,65.528,66.996,69.323,71.133,72.085,73.354,74.395,77.761,81.74,83.568,87.033,88.707,88.732,89.369,88.065,85.718,85.617,85.164,82.633,81.362,81.181,81.587,85.193,86.992,87.436,87.688,88.344,88.898,89.541,91.451,91.195,89.177,88.797,88.892,88.042,87.709,86.875,87.208,88.124,88.845,88.905,88.546,90.772,93.304,95.535,96.013,98.616,101.342,103.142,101.68,102.812,106.109,110.216,115.383,116.905,115.625,115.94,117.767,116.132,115.316,114.752,115.166,113.069,109.33,108.204,108.964,109.079,110.011,110.53,108.135,108.579,111.384,111.947,110.866,112.121,112.615,115.214,116.12,115.357,114.294,113.868,110.86,109.34,109.896,107.324,106.778,106.442,102.535,95.247,94.467,93.844,95.13,98.819,99.459,99.607,100.425,100.509,100.663,101.109,100.734,99.043,97.328,96.65,97.155,98.552,99.285,98.155,95.907,92.048,88.906,88.416,91.036,97.594,101.713,103.176,105.214,104.336,104.344
