"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"39","31","    Farm","B316RG3",10.764,10.764,10.717,10.719,10.809,10.76,10.713,10.622,10.621,10.67,10.715,10.762,10.76,10.808,10.81,10.904,10.953,11.001,11.047,11.092,11.05,11.24,11.239,11.474,11.481,11.575,11.577,11.858,11.756,12.086,12.088,12.28,12.326,12.376,12.421,12.614,12.8,12.94,13.034,13.465,13.688,13.925,14.113,14.396,14.501,15.019,14.925,15.213,15.653,16.032,16.411,16.738,17.102,17.291,17.569,18.041,18.249,18.629,19.154,19.49,19.872,20.54,21.395,22.225,22.805,23.076,23.128,23.275,23.326,23.799,24.096,24.329,24.717,25.186,25.779,26.314,26.954,27.608,28.19,28.901,29.568,30.601,31.589,32.416,33.273,34.091,34.991,35.984,36.714,37.389,38.002,38.648,39.328,39.907,40.372,40.675,40.873,41.092,41.352,41.741,42.247,42.635,43.154,43.518,43.842,44.097,44.412,44.797,45.055,45.515,45.961,46.468,46.886,47.287,47.636,48.083,48.663,49.016,49.386,49.845,50.272,50.872,51.19,51.541,52.074,52.42,52.814,53.01,53.187,53.327,53.512,53.311,53.227,53.448,53.709,54.192,54.741,55.129,55.656,56.191,56.716,57.104,57.838,58.698,59.382,59.728,60.034,60.301,60.582,60.884,61.525,61.868,62.292,62.719,63.453,64.161,64.592,65.135,65.851,66.586,67.278,67.962,68.58,69.219,70.209,70.911,71.608,72.342,73.312,74.094,75.097,75.641,75.443,75.622,75.747,76.609,77.822,77.79,78.05,79.034,80.464,82.021,83.764,85.479,86.894,88.57,90.776,92.858,95.249,97.115,98.391,100.105,101.125,101.69,102.55,103.432,103.818,104.32,104.661,104.736,103.765,100.881,98.115,97.204,96.328,95.144,95.261,95.671,95.826,96.106,96.482,96.963,96.803,97.202,98.023,98.739,100.185,101.409,102.52,104.6,106.439,106.864,108.947,110.683
"40","32","    Other \4\","W050RG3",11.14,11.013,10.923,10.906,10.91,10.849,10.846,10.838,10.865,10.86,10.857,10.925,10.987,11.04,11.171,11.291,11.301,11.322,11.418,11.405,11.38,11.555,11.613,11.679,11.743,11.819,11.813,12.001,12.12,12.304,12.332,12.499,12.55,12.679,12.846,12.976,13.481,13.605,13.652,13.994,14.104,14.55,14.751,15.06,15.328,15.678,16.102,16.579,16.735,16.93,17.141,17.475,17.808,17.962,18.123,18.501,18.809,19.143,19.508,20.086,21.096,22.525,24.046,25.292,25.957,26.282,26.672,26.815,27.139,27.185,26.983,27.056,28.589,28.614,28.978,29.294,29.264,29.584,29.907,30.402,30.958,31.77,32.734,33.728,34.807,36.017,37.232,38.425,39.693,40.926,42.026,43.079,43.999,44.576,44.975,45.123,45.531,45.026,44.517,44.206,44.186,44.372,44.544,44.67,44.842,45.028,45.278,45.594,45.967,46.243,46.614,47.086,47.578,48.142,48.517,48.696,48.826,48.948,49.132,49.428,49.673,50.099,50.519,51.115,51.69,52.04,52.565,52.9,53.07,53.642,53.841,53.948,54.063,54.332,54.393,54.388,54.528,54.77,54.789,55.307,55.536,56.062,56.688,57.178,57.868,58.514,59.267,59.953,60.466,60.651,60.888,61.06,61.665,62.684,63.163,62.895,62.736,63.035,63.583,64.106,64.729,65.279,65.842,66.668,67.061,68.037,68.759,69.535,70.278,70.728,71.074,71.53,71.863,72.171,72.476,72.739,72.988,73.291,73.777,74.486,75.209,76.782,79.041,81.365,82.596,84.197,85.889,87.27,88.802,90.4,92.034,94.755,95.4,96.576,97.985,99.573,99.922,100.019,101.306,102.538,101.991,99.95,99.37,98.688,99.103,99.948,100.958,101.765,102.261,103.247,104.525,105.704,106.586,107.553,108.278,108.791,109.251,109.926,110.372,110.754,111.327,111.939,112.67,113.42
"41","33","    Brokers' commissions on sale of structures","B321RG3",15.478,15.474,15.41,15.41,15.54,15.472,15.407,15.319,15.288,15.357,15.439,15.483,15.472,15.519,15.533,15.648,15.703,15.773,15.824,16.027,16.013,16.063,16.192,16.228,16.35,16.398,16.624,16.815,16.935,17.278,17.316,17.566,17.736,17.677,17.787,17.861,18.206,18.376,18.586,19.076,19.755,20.112,20.491,20.874,21.1,21.681,21.636,22.096,22.728,23.29,23.717,24.216,24.67,24.978,25.484,26.016,26.294,27.066,27.772,28.072,28.689,29.84,31.076,32.23,33.034,33.359,33.413,33.572,33.887,34.342,34.808,35.42,36.246,36.767,37.542,38.66,39.23,40.069,41.344,42.329,43.461,44.693,45.821,47.077,48.515,49.795,50.952,51.472,53.096,53.871,54.422,56.297,57.164,58.336,58.784,59.348,60.176,60.717,61.631,62.109,62.695,63.591,64.223,65.947,66.294,66.821,67.62,68.686,69.634,70.638,71.457,71.898,73.008,74.157,75.273,76.469,77.615,78.383,79.556,80.468,80.806,81.671,82.224,83.581,84.668,85.168,85.189,85.45,85.952,86.52,86.725,86.27,86.496,86.536,86.933,87.44,87.426,88.652,88.75,88.229,89.683,90.481,90.904,91.507,92.331,93.117,93.464,93.963,94.218,94.715,95.089,95.31,95.538,96.886,97.076,97.078,98.323,99.104,99.135,98.698,98.138,98.578,98.737,98.866,99.057,99.25,99.474,104.386,104.619,104.347,106.07,105.944,106.066,106.252,106.346,106.784,106.848,106.879,106.878,106.875,106.875,107.407,107.813,107.813,107.813,107.813,108.313,107.813,108.1,108.294,108.69,108.113,108.31,108.315,108.388,107.781,107.52,105.551,102.687,100.958,99.692,100.184,100.084,100.078,99.259,98.473,97.851,97.688,97.12,96.586,98.088,98.69,99.692,102.297,102.33,103.165,102.697,103.198,103.365,103.9,105.069,105.102,106.066,108.452
"42","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","35","Residential","B012RG3",12.175,12.183,12.179,12.189,12.227,12.275,12.278,12.294,12.255,12.305,12.309,12.3,12.323,12.323,12.32,12.304,12.31,12.26,12.12,12.202,12.086,12.284,12.324,12.596,12.584,12.597,12.595,12.946,12.766,13.238,13.156,13.453,13.482,13.525,13.601,13.855,14.104,14.231,14.237,14.807,15.114,15.335,15.397,15.632,15.616,16.207,15.76,15.891,16.324,16.665,16.978,17.247,17.495,17.578,17.88,18.441,18.686,19.167,19.833,20.184,20.65,21.14,21.814,22.396,22.969,23.371,23.587,24.016,24.159,24.874,25.28,25.749,26.392,27.116,28.028,28.909,29.752,30.649,31.474,32.309,32.964,34.106,35.21,36.078,37.039,37.917,38.787,39.69,40.603,41.215,41.694,42.374,42.975,43.623,43.969,44.171,44.411,44.527,44.775,45.157,45.438,45.826,46.28,46.724,46.95,47.071,47.435,48.037,48.658,49.167,49.822,50.391,50.973,51.422,51.911,52.438,52.827,53.311,53.703,54.226,54.593,55.274,55.458,55.864,56.293,56.521,56.742,56.817,57.023,57.317,57.645,57.439,57.23,57.816,58.244,59.036,59.69,60.34,60.873,61.073,61.884,62.279,62.923,63.73,64.5,64.84,65.115,65.495,65.756,66.066,66.743,67.044,67.358,67.706,68.277,68.794,68.989,69.481,70.175,70.817,71.495,72.289,72.902,73.491,74.757,75.513,76.164,76.845,77.931,78.977,80.264,80.732,80.603,81.078,81.44,82.807,84.609,84.775,85.397,86.947,88.879,90.679,92.545,94.021,95.229,96.773,99.344,101.201,102.82,103.769,104.132,104.871,105.42,105.134,105.18,105.283,104.882,104.455,103.479,101.988,101.138,99.802,99.142,99.917,100.109,99.424,99.434,100.057,100.307,100.663,100.634,100.664,100.479,100.875,101.784,102.837,104.513,105.875,107.342,109.389,111.717,111.979,113.984,115.3
"44","36","  Permanent site","B943RG3",11.609,11.609,11.609,11.608,11.648,11.696,11.697,11.706,11.649,11.699,11.699,11.71,11.747,11.746,11.746,11.746,11.745,11.695,11.511,11.592,11.456,11.687,11.703,12.037,12.009,12.046,12.005,12.459,12.209,12.763,12.631,12.974,12.948,13.012,13.068,13.373,13.584,13.724,13.671,14.342,14.54,14.686,14.684,14.891,14.805,15.51,14.89,14.982,15.444,15.802,16.153,16.431,16.719,16.79,17.125,17.719,17.953,18.368,19.081,19.47,19.86,20.238,20.82,21.345,21.893,22.388,22.596,23.002,22.997,23.818,24.201,24.575,25.067,25.86,26.817,27.657,28.589,29.55,30.249,31.039,31.58,32.816,33.962,34.74,35.666,36.363,37.289,38.454,39.167,39.723,40.161,40.698,41.336,41.945,42.405,42.588,42.734,42.773,42.869,43.188,43.597,43.806,44.312,44.52,44.754,44.864,45.196,45.706,46.193,46.863,47.456,48.11,48.653,48.965,49.197,49.636,50.401,50.648,50.924,51.405,51.814,52.533,52.636,52.779,53.263,53.456,53.776,53.738,53.773,53.882,54.227,53.912,53.8,54.237,54.667,55.446,56.238,56.66,57.363,58.074,58.621,58.966,59.856,60.917,61.646,61.859,62.12,62.346,62.513,62.698,63.615,63.936,64.384,64.6,65.444,66.112,66.328,66.805,67.581,68.375,69.192,69.987,70.608,71.205,72.621,73.262,73.764,74.37,75.386,76.224,77.827,78.685,78.386,78.777,79.003,80.648,82.947,82.729,83.146,85.001,87.442,89.54,91.442,92.92,94.037,95.808,98.459,100.393,102.522,103.645,103.855,105.233,105.784,105.192,105.222,105.25,104.259,103.678,102.657,101.905,102.018,99.771,98.54,99.671,99.64,98.373,98.773,99.381,99.254,99.225,99.408,99.856,99.407,99.846,100.921,101.653,103.436,104.685,105.657,108.219,110.43,110.243,112.862,114.665
"45","37","    Single-family structures","B944RG3",12.074,12.074,12.074,12.074,12.123,12.173,12.173,12.174,12.123,12.174,12.173,12.173,12.223,12.223,12.223,12.223,12.224,12.173,11.974,12.074,11.924,12.173,12.173,12.523,12.473,12.523,12.473,12.972,12.722,13.321,13.171,13.521,13.471,13.52,13.57,13.87,14.119,14.269,14.219,14.918,15.117,15.266,15.266,15.517,15.416,16.165,15.516,15.615,16.065,16.414,16.763,17.063,17.362,17.462,17.811,18.459,18.709,19.158,19.906,20.306,20.705,21.103,21.702,22.251,22.8,23.3,23.499,23.899,23.898,24.746,25.145,25.544,26.153,26.919,27.878,28.736,29.707,30.733,31.508,32.398,33.044,34.412,35.677,36.538,37.492,38.241,39.231,40.467,41.249,41.797,42.175,42.607,43.067,43.513,43.808,43.836,43.829,43.78,43.828,44.137,44.624,44.842,45.347,45.525,45.676,45.73,46.007,46.468,46.895,47.543,48.138,48.814,49.279,49.723,50.03,50.5,51.243,51.502,51.816,52.365,52.867,53.696,53.903,54.142,54.758,55.01,55.361,55.306,55.246,55.31,55.627,55.278,55.157,55.597,56.039,56.845,57.701,58.181,58.955,59.74,60.358,60.761,61.722,62.851,63.62,63.851,64.121,64.345,64.474,64.651,65.583,65.9,66.349,66.535,67.355,67.941,67.951,68.302,69.021,69.826,70.754,71.645,72.34,72.968,74.357,75.01,75.538,76.18,77.302,78.222,79.899,80.782,80.419,80.781,80.996,82.691,85.077,84.907,85.408,87.404,89.997,92.215,94.205,95.729,96.888,98.695,101.383,103.304,105.354,106.406,106.556,107.948,108.331,107.51,107.294,107.03,105.666,104.754,103.433,102.419,102.343,99.83,98.395,99.381,99.136,97.616,98.045,98.788,98.789,98.846,99.096,99.595,98.884,99.219,100.323,101.058,103.066,104.471,105.575,108.619,111.295,111.061,114.305,116.549
"46","38","    Multifamily structures","B292RG3",10.427,10.427,10.427,10.426,10.427,10.475,10.474,10.521,10.427,10.474,10.474,10.522,10.521,10.521,10.521,10.522,10.521,10.474,10.333,10.38,10.286,10.474,10.521,10.803,10.803,10.803,10.803,11.179,10.99,11.46,11.366,11.648,11.601,11.649,11.695,12.025,12.165,12.306,12.259,12.869,13.057,13.198,13.198,13.339,13.292,13.903,13.34,13.386,13.809,14.138,14.467,14.701,14.983,15.03,15.359,15.875,16.11,16.486,17.144,17.519,17.895,18.224,18.741,19.163,19.633,20.056,20.243,20.667,20.619,21.369,21.698,21.983,21.942,22.967,24.025,24.869,25.702,26.469,26.935,27.439,27.697,28.581,29.406,29.956,30.789,31.34,32.108,33.107,33.682,34.266,34.831,35.557,36.499,37.394,38.18,38.721,39.286,39.585,39.839,40.205,40.411,40.613,41.132,41.427,41.89,42.155,42.622,43.245,43.871,44.587,45.185,45.797,46.698,46.533,46.47,46.782,47.643,47.821,47.916,48.093,48.075,48.303,47.944,47.647,47.469,47.363,47.542,47.577,48.046,48.372,48.892,48.768,48.693,49.126,49.497,50.124,50.38,50.262,50.397,50.561,50.588,50.493,50.908,51.523,51.964,52.035,52.234,52.486,52.92,53.171,54.046,54.433,54.915,55.323,56.343,57.532,59.025,60.379,61.624,62.433,62.564,62.786,62.995,63.459,65.233,65.852,66.199,66.552,66.823,67.101,68.254,68.978,69.104,69.701,69.98,71.315,73.038,72.403,72.216,73.166,74.684,76.054,77.42,78.606,79.4,81.041,83.735,86.175,89.47,91.453,92.174,93.484,94.836,95.288,96.419,97.658,98.074,98.799,99.048,99.496,100.616,99.419,99.065,100.936,102.087,102.706,102.773,102.285,101.239,100.533,100.153,100.095,101.174,102.138,102.984,103.711,104.317,104.775,105.08,105.232,105.254,105.28,105.273,105.26
"47","39","  Other structures","A863RG3",12.99,13.019,13.01,13.044,13.074,13.118,13.13,13.161,13.161,13.209,13.223,13.169,13.16,13.159,13.151,13.097,13.117,13.072,13.047,13.127,13.076,13.175,13.273,13.371,13.399,13.356,13.45,13.524,13.533,13.781,13.817,14.022,14.155,14.158,14.275,14.404,14.732,14.822,14.966,15.281,15.83,16.211,16.415,16.695,16.825,17.174,17.088,17.302,17.663,17.961,18.172,18.406,18.538,18.648,18.836,19.272,19.528,20.167,20.661,20.916,21.557,22.276,23.114,23.777,24.36,24.611,24.83,25.285,25.646,26.197,26.64,27.274,28.171,28.742,29.539,30.478,31.121,31.876,32.914,33.807,34.651,35.597,36.601,37.603,38.603,39.725,40.512,41.077,42.244,42.922,43.45,44.303,44.862,45.556,45.758,45.973,46.328,46.555,47.048,47.534,47.584,48.287,48.638,49.487,49.69,49.82,50.23,50.966,51.79,52.038,52.782,53.207,53.842,54.498,55.385,56.048,55.849,56.684,57.245,57.826,58.129,58.742,59.047,59.834,60.175,60.455,60.534,60.777,61.218,61.75,62.06,62.004,61.663,62.448,62.871,63.675,64.141,65.092,65.398,64.927,66.084,66.545,66.837,67.29,68.123,68.639,68.936,69.515,69.898,70.374,70.728,71.002,71.14,71.661,71.883,72.21,72.375,72.884,73.475,73.914,74.407,75.199,75.802,76.382,77.44,78.352,79.198,79.974,81.151,82.472,83.337,83.295,83.391,83.976,84.513,85.522,86.69,87.342,88.227,89.387,90.649,92.057,93.874,95.346,96.665,97.904,100.368,102.124,103.034,103.752,104.33,104.3,104.865,104.929,104.982,105.142,105.274,104.977,104.054,102.037,100.615,99.826,99.483,100.077,100.368,99.98,99.778,100.41,100.855,101.405,101.273,101.095,101.038,101.409,102.223,103.467,105.072,106.506,108.299,109.992,112.401,112.999,114.539,115.483
"48","40","    Manufactured homes","B945RG3",30.965,30.753,30.146,29.978,29.437,29.296,29.276,29.173,29.224,29.25,28.319,27.335,26.583,25.513,24.23,23.274,22.682,22.115,21.653,21.459,21.415,21.414,21.558,21.621,21.607,21.537,21.167,20.749,20.477,20.215,19.993,19.954,19.727,19.6,19.668,19.994,19.945,19.813,19.817,19.915,20.215,21.498,21.623,21.847,21.971,22.107,22.153,22.157,22.198,22.159,22.106,21.939,21.804,21.578,21.445,21.797,22.112,22.775,22.995,23.081,23.743,24.355,25.811,27.012,27.59,27.484,27.943,28.199,28.47,29.168,29.79,30.328,31.071,31.416,32.081,32.615,33.639,34.151,34.786,35.495,36.344,37.169,38.081,39.168,40.068,40.819,41.307,41.761,42.12,42.557,43.223,43.518,43.867,44.347,44.46,44.252,44.283,44.418,44.761,45.062,44.349,44.648,44.621,44.857,44.911,44.939,45.042,45.058,44.854,45.534,45.638,45.771,45.88,45.937,46.149,46.628,47.326,48.089,48.637,49.179,49.492,50.213,50.845,51.416,51.554,51.903,52.361,52.86,53.058,53.304,53.72,53.824,53.861,54.066,54.214,54.802,55.269,56.295,57.172,57.837,59.453,60.489,61.099,62.631,64.335,64.713,64.685,65.699,66.205,66.553,66.966,67.253,67.371,67.799,68.018,68.165,68.222,68.55,68.895,69.303,69.702,70.547,70.977,71.301,71.443,71.833,72.139,72.32,72.278,72.751,73.415,73.928,73.823,74.308,74.431,74.402,74.36,75.202,75.801,77.152,77.182,81.107,84.535,86.797,87.949,89.263,89.981,90.8,91.424,93.049,94.071,94.142,93.684,94.038,94.395,94.514,95.329,96.754,99.144,100.926,100.026,99.678,99.869,100.393,100.814,101.964,104.147,104.206,104.984,105.808,107.232,108.028,108.888,109.964,110.896,112.537,114.669,115.674,115.795,117.296,117.476,118.146,118.779,119.864
"49","41","    Dormitories","B295RG3",11.947,11.941,11.941,11.964,11.998,12.048,12.055,12.052,12.005,12.045,12.05,12.061,12.099,12.101,12.104,12.11,12.102,12.049,11.85,11.95,11.807,12.053,12.053,12.397,12.351,12.399,12.348,12.847,12.594,13.183,13.033,13.387,13.336,13.387,13.432,13.741,13.985,14.127,14.071,14.771,14.968,15.118,15.12,15.342,15.265,15.996,15.359,15.437,15.902,16.252,16.611,16.919,17.171,17.2,17.558,18.304,18.486,18.986,19.712,20.009,20.505,20.961,21.476,22.034,22.579,23.039,23.274,23.675,23.644,24.535,24.977,25.389,26.187,26.973,27.942,28.794,29.734,30.737,31.493,32.367,32.99,34.354,35.626,36.498,37.474,38.22,39.205,40.436,41.229,41.814,42.227,42.687,43.135,43.573,43.857,43.874,43.862,43.801,43.836,44.134,44.622,44.833,45.333,45.506,45.651,45.704,45.982,46.447,46.885,47.542,48.145,48.831,49.312,49.771,50.088,50.563,51.302,51.55,51.848,52.376,52.84,53.655,53.857,54.105,54.718,55.027,55.444,55.439,55.431,55.457,55.74,55.357,55.138,55.534,55.948,56.756,57.733,58.28,59.087,59.866,60.407,60.788,61.735,62.855,63.633,63.86,64.127,64.347,64.478,64.653,65.581,65.893,66.361,66.566,67.399,67.992,67.981,68.308,69.011,69.807,70.709,71.596,72.296,72.943,74.393,75.08,75.629,76.288,77.371,78.263,79.924,80.801,80.437,80.803,81.027,82.738,85.129,84.979,85.515,87.582,90.037,92.255,94.246,95.772,96.933,98.742,101.433,103.355,105.365,106.365,106.491,107.87,108.277,107.493,107.337,107.144,106,105.172,103.825,102.645,102.1,99.485,98.063,99.16,98.916,97.399,97.827,98.569,98.569,98.627,98.876,99.373,98.665,98.998,100.1,100.834,102.837,104.239,105.34,108.377,111.048,110.814,114.052,116.291
"50","42","    Improvements","B946RG3",11.489,11.534,11.544,11.589,11.634,11.679,11.692,11.737,11.747,11.792,11.837,11.803,11.803,11.848,11.894,11.861,11.906,11.906,11.966,12.054,12.045,12.123,12.188,12.274,12.316,12.309,12.389,12.53,12.561,12.781,12.893,13.112,13.269,13.319,13.462,13.607,13.914,14.077,14.258,14.544,15.028,15.362,15.563,15.879,16.05,16.385,16.455,16.748,17.131,17.445,17.752,18.048,18.236,18.398,18.596,18.991,19.342,19.886,20.398,20.733,21.43,22.253,23.125,23.796,24.318,24.563,24.762,25.216,25.625,26.089,26.498,27.049,27.901,28.472,29.21,29.846,30.584,31.308,32.096,33.039,33.703,34.584,35.676,36.652,37.596,38.836,39.635,40.634,41.577,42.521,43.392,43.828,44.513,45.105,45.451,45.752,45.96,46.188,46.459,47.183,47.219,47.953,48.382,48.564,48.946,48.996,49.161,49.597,50.32,49.923,50.62,51.204,51.405,51.65,52.333,52.596,52.825,53.766,53.885,54.271,54.836,55.323,55.598,55.937,56.665,56.964,57.369,57.813,58.121,58.62,58.972,59.247,58.937,59.415,59.691,60.451,61.11,61.361,61.612,61.222,61.596,61.6,61.905,62.312,63.268,63.62,63.93,64.341,64.566,65.148,65.811,66.313,66.579,67.125,67.37,67.617,67.727,68.177,68.687,69.22,69.897,70.659,71.318,71.804,72.989,73.701,74.256,74.841,75.67,76.519,77.517,77.952,77.813,78.145,78.416,79.462,81.02,81.168,81.675,83.093,85.044,86.993,89.1,89.817,90.946,92.233,94.423,96.254,97.788,99.151,99.733,100.338,101.252,101.342,101.321,102.29,102.836,103.651,104.204,102.402,101.293,99.563,99.044,100.1,100.956,100.897,100.937,101.923,103.136,104.644,104.821,104.663,104.564,105.012,105.402,105.779,107.359,108.166,108.778,110.193,111.943,112.255,114.137,114.659
"51","43","    Brokers' commissions and other ownership transfer costs \5\","B758RG3",12.245,12.239,12.24,12.243,12.285,12.331,12.339,12.328,12.286,12.328,12.331,12.33,12.373,12.37,12.37,12.372,12.418,12.33,12.157,12.244,12.109,12.242,12.414,12.501,12.501,12.372,12.594,12.592,12.637,13.029,12.948,13.162,13.298,13.207,13.25,13.293,13.732,13.734,13.824,14.303,15.052,15.138,15.355,15.578,15.577,16.062,15.58,15.709,16.148,16.543,16.716,17.025,17.2,17.376,17.726,18.299,18.43,19.175,19.834,20.094,20.621,21.195,21.722,22.16,22.773,23.081,23.251,23.736,24.045,24.705,25.144,25.889,26.835,27.445,28.338,29.763,30.181,31.028,32.486,33.33,34.417,35.475,36.345,37.323,38.385,39.28,40.079,39.926,41.676,41.876,41.635,43.503,43.737,44.666,44.546,44.716,45.408,45.664,46.546,46.718,47.031,47.764,48.076,50.136,50.03,50.266,51.064,52.343,53.474,54.711,55.636,55.916,57.341,58.754,60.059,61.425,60.292,60.895,62.142,63.041,62.92,63.737,64.038,65.556,65.272,65.489,64.969,64.816,65.493,66.087,66.323,65.721,65.327,66.608,67.282,68.152,68.265,70.355,70.666,69.932,72.278,73.402,73.613,73.892,74.222,75.033,75.368,76.092,76.699,77.01,76.842,76.733,76.672,77.149,77.348,77.829,78.084,78.697,79.438,79.772,80.058,80.878,81.442,82.183,83.203,84.454,85.755,86.852,88.607,90.644,91.356,90.641,91.075,91.99,92.9,93.96,94.751,95.966,97.296,98.162,98.769,99.452,100.893,103.119,104.662,105.876,108.81,110.656,110.937,110.887,111.391,110.629,110.837,110.827,110.949,109.994,109.472,107.406,104.062,101.467,99.52,100.248,100.117,100.085,99.353,98.318,97.612,97.687,96.93,95.971,95.315,95.062,95.012,95.239,96.652,99.076,100.716,103.013,106.371,108.415,111.831,112.84,113.926,115.405
"52","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
