"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.137,95.89,96.502,96.384,96.614,96.301,96.541,96.802,95.797,95.548,95.538,95.654,95.915,95.84,96.008,95.905,95.788,95.938,95.965,96.024,96.192,96.761,97.174,97.07,97.119,97.418,96.705,96.692,96.842,96.752,97.817,97.267,97.641,97.47,97.447,97.66,97.543,98.156,98.207,97.674,100.499,100.338,100.446,101.146,101.354,101.622,101.213,101.715,102.623,102.243,103.194,103.174,103.224,103.346,103.447,103.556,103.518,104.025,104.287,104.353,104.13,104.154,104.153,104.248,104.294,104.388,104.52,104.398,104.786,104.733,105.659,105.499,104.767,104.571,106.159,106.234,105.86,105.725,106.23,105.815,105.278,106.572,105.952,107.374,110.154,110.46,110.212,109.64,107.179,107.111,107.2,109.018,108.06,109.102,109.552,108.584,110.672,111.005,111.071,111.55,113.068,113.137,113.537,113.277,114.262,113.705,113.796,113.598,113.035,113.043,113.068,113.916,113.24,114.011,114.133,111.932
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.805,92.607,92.922,93.304,93.401,92.773,92.708,92.712,93.413,92.892,92.873,92.528,91.804,91.422,91.087,91.075,91.626,91.602,92.031,91.902,91.935,92.112,92.223,95.6,95.513,95.053,95.228,95.303,95.333,95.722,95.514,95.88,97.986,97.947,98.083,98.083,97.477,99.506,99.226,98.565,99.323,99.565,99.564,100.305,100.959,101.568,101.934,102.169,104.851,104.752,104.745,104.163,105.021,104.52,104.236,104.259,103.95,103.114,103.522,103.214,102.828,102.55,103.328,104.54,104.983,105.252,106.067,106.726,107.267,106.962,106.764,105.247,105.843,106.749,107.826,107.475,107.799,107.784,106.96,107.284,107.674,108.333,109.246,110.044,110.56,110.961,111.467,112.351,112.64,112.338,112.814,112.985,113.14,113.582,113.656,113.538,114.741,114.833,116.049,116.853,117.412,118.601,119.505,120.024,120.478,120.749,120.825,121.719,122.711,122.33,121.657,122.721,122.872,122.992,123.968,123.414
"59","51","  Retail trade industries","PK443",99.735,99.984,99.984,99.732,99.456,99.175,99.094,99.055,99.142,99.002,98.851,98.728,98.579,98.3,97.954,97.903,97.906,97.77,97.91,97.9,97.595,97.588,97.491,97.433,97.43,97.113,97.065,98.01,98.016,98.107,98.507,98.704,99.055,98.955,98.844,99.087,99.129,99.452,100.21,99.923,99.862,100.312,100.28,99.795,100.342,100.172,100.257,100.251,100.366,100.362,100.127,100.299,100.659,100.576,99.969,99.54,99.847,99.152,98.53,97.996,98.024,97.791,98.24,98.881,98.527,98.416,98.44,98.583,98.514,98.398,98.239,98.02,98.202,98.814,99.08,98.322,97.443,97.418,97.52,97.735,97.889,97.438,97.075,97.129,97.609,98.101,98.598,98.665,99.326,99.292,98.983,98.958,99.064,99.849,99.668,99.389,99.405,99.754,100.25,100.627,100.344,100.149,100.524,100.928,102.181,101.977,100.696,100.47,100.966,100.852,101.203,101.793,102.115,101.915,102.136,102.226
"60","52","    Motor vehicle and parts dealers","PK4413",99.513,99.847,100.314,99.858,99.649,99.213,99.095,98.851,98.834,98.784,98.622,98.505,98.579,98.642,98.477,98.455,98.272,98.292,98.694,98.87,98.822,98.819,99.124,99.022,98.81,98.402,98.302,98.439,98.525,98.767,99.075,99.332,99.724,99.648,99.735,99.524,99.421,99.304,99.726,99.896,100.124,100.158,100.048,99.963,99.994,100.11,100.453,100.897,101.175,101.225,101.303,101.239,101.1,100.946,100.954,100.728,100.219,100.558,100.735,100.827,100.599,99.946,99.65,99.628,99.576,99.534,99.742,99.894,99.836,99.617,99.301,99.057,98.771,98.596,98.736,98.508,98.326,98.183,97.89,97.759,96.917,96.147,95.677,95.508,95.542,95.754,95.902,95.957,96.115,96.048,96.067,96.124,96.671,96.87,97.264,97.554,98.06,98.164,98.143,98.228,98.499,98.716,98.523,98.419,98.579,98.772,98.528,98.539,98.92,99.001,99.222,99.329,99.419,99.516,99.743,99.871
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.867,125.012,124.453,123.45,122.895,122.48,121.537,120.206,119.794,119.115,118.416,118.225,117.335,116.436,116.411,116.487,115.187,114.353,113.738,112.335,111.563,111.052,109.984,109.466,108.79,107.984,107.404,107.408,106.362,105.914,105.57,104.694,104.308,103.507,102.704,102.437,102.223,101.724,101.672,101.072,100.93,100.111,99.78,99.147,99.304,98.602,98.093,97.474,96.517,95.911,94.917,94.629,93.491,92.796,92.556,91.525,90.848,90.381,90.101,89.486,88.791,87.901,87.325,87.197,87.13,86.689,86.232,85.826,85.168,84.66,83.868,83.279,82.871,82.261,81.759,81.58,80.264,79.686,79.292,78.309,77.737,77.729,77.45,77.077,77.133,77.053,76.636,76.391,75.955,75.777,75.077,74.591,74.392,74.518,73.747,73.143,73.236,72.69,72.714,72.496,72.339,71.598,71.194,70.541,70.244,69.901,69.678,69.44,69.035,68.77,68.492,68.098,67.59,67.099,66.808,66.764
"62","54","    Building material and garden equipment and supplies dealers","PK4443",101.564,102.173,102.629,102.687,102.909,102.484,102.618,102.338,102.075,101.518,101.526,101.265,101.621,101.808,101.838,101.639,100.86,100.082,100.212,100.523,99.757,98.948,98.853,99.104,99.261,99.794,100.183,100.12,100.64,101.544,102.639,102.167,101.024,100.185,100.252,100.663,100.801,100.759,101.404,101.041,100.228,100.183,99.874,99.189,99.147,99.169,99.203,99.013,98.763,99.192,99.325,99.234,100.653,100.921,100.037,100.106,99.798,98.792,98.375,98.094,98.323,98.841,99.508,99.775,99.374,99.191,99.146,99.232,98.873,98.45,98.503,98.313,98.307,98.718,98.569,98.578,98.571,98.716,99.451,99.7,101.291,101.353,101.417,101.305,101.714,103.388,104.707,105.75,106.659,105.777,105.4,106.775,106.993,106.035,104.94,105.298,106.117,107.203,107.597,107.663,106.966,107.681,107.383,106.935,107.893,108.311,107.376,107.602,108.275,108.79,108.84,108.884,109.026,108.135,107.898,107.234
"63","55","    Food and beverage stores","PK4453",92.617,92.953,92.962,93.039,93.116,93.138,93.299,93.4,93.543,93.673,93.811,93.763,94.167,94.208,94.248,94.445,94.725,94.727,94.951,95.145,95.245,95.593,95.651,96.159,96.726,96.732,96.569,96.896,97.049,97.116,97.342,97.435,97.96,98.036,98.184,98.314,98.45,98.761,99.11,99.361,99.766,99.855,100.399,100.575,100.791,100.709,100.899,101.25,101.534,101.909,102.082,102.411,102.609,102.947,103.471,103.546,103.819,103.939,104.133,103.869,104.177,104.553,104.556,105.182,104.557,104.693,104.889,104.899,105.11,104.841,105.138,105.252,105.171,105.708,105.881,105.869,105.795,106.28,106.333,106.723,106.851,107.078,107.322,107.951,107.876,108.186,108.547,108.736,109.456,109.58,109.669,109.733,109.564,110.151,110.274,110.227,110.19,110.214,110.468,111.347,111.348,111.204,111.548,111.654,112.052,112.187,112.237,112.326,112.856,112.855,113.03,113.177,113.385,113.693,113.872,114.125
"64","56","    Clothing and clothing accessories stores","PK4483",105.537,105.42,105.356,105.931,106.326,106.077,105.865,104.895,105.102,104.794,104.764,104.897,104.633,103.857,103.346,103.128,103.468,103.24,103.303,104.424,103.066,102.892,103.04,102.196,101.76,101.302,100.964,101.976,102.019,101.916,101.602,101.316,101.445,101.646,101.384,101.336,100.751,100.504,100.462,100.329,99.992,99.601,99.39,99.345,99.988,100.009,99.901,99.802,100.135,100.026,100.176,99.189,98.376,98.668,98.441,97.711,97.202,97.489,97.022,96.755,96.492,96.314,97.002,96.766,96.331,95.772,95.166,95.827,95.542,95.174,95.077,94.79,94.278,94.05,93.378,93.18,92.875,93.221,93.448,93.275,93.205,93.316,93.017,92.635,92.763,92.647,93.098,93.263,93.587,93.664,93.368,92.815,92.496,92.884,92.954,92.589,92.615,92.421,92.902,92.258,92.3,91.716,91.272,91.864,91.848,91.452,91.629,91.363,91.488,90.496,91.319,91.904,92.154,92.21,91.24,92.087
"65","57","    General merchandise stores","PK4523",100.931,101.044,100.984,101.32,101.446,101.268,101.244,100.77,100.84,100.745,100.801,100.71,100.852,100.666,100.499,100.617,100.708,100.445,100.561,100.959,100.456,100.46,100.392,100.279,100.371,100.04,99.755,100.348,100.307,100.306,100.213,100.053,100.273,100.325,100.104,100.054,99.865,99.768,100.005,100.106,100.074,99.945,100.061,99.961,100.182,99.992,100.023,100.004,100.114,100.213,100.08,100.008,99.677,99.778,99.826,99.507,99.543,99.512,99.463,99.079,99.032,99.032,99.093,99.288,98.831,98.596,98.419,98.546,98.38,98.021,97.999,97.725,97.44,97.328,97.028,97.059,96.514,96.576,96.593,96.275,96.092,96.117,96.045,95.923,95.942,96.04,96.104,96.045,96.123,95.992,95.697,95.412,95.283,95.869,95.676,95.19,95.278,95.223,95.262,95.23,95.304,94.82,94.58,94.512,94.427,94.322,94.318,94.162,94.057,93.809,93.937,93.954,93.92,93.724,93.38,93.504
"66","58","      Department stores","PK45213",103.524,103.548,103.477,103.939,104.108,103.867,103.736,103.1,103.166,102.945,103.049,102.931,102.989,102.707,102.492,102.529,102.588,102.225,102.323,102.838,102.101,102.049,101.941,101.533,101.486,101.102,100.822,101.449,101.397,101.416,101.138,100.923,101.045,101.133,100.811,100.728,100.41,100.131,100.287,100.311,100.138,99.888,99.932,99.798,99.961,99.792,99.731,99.638,99.703,99.737,99.506,99.242,98.601,98.655,98.553,98.086,98.081,98.051,97.97,97.544,97.4,97.312,97.343,97.391,96.972,96.648,96.302,96.494,96.164,95.824,95.687,95.254,94.895,94.652,94.232,94.26,93.69,93.745,93.795,93.409,93.217,93.219,93.056,92.758,92.803,92.829,92.902,92.822,92.852,92.705,92.305,91.919,91.793,92.442,92.248,91.623,91.797,91.764,91.884,91.604,91.685,91.118,90.712,90.742,90.584,90.401,90.425,90.259,90.079,89.669,89.963,90.069,90.026,89.78,89.232,89.461
"67","59","      Other general merchandise stores","PK45293",96.795,97.076,97.037,97.14,97.185,97.124,97.299,97.121,97.198,97.336,97.303,97.26,97.558,97.538,97.456,97.711,97.855,97.761,97.9,98.104,97.986,98.083,98.082,98.443,98.755,98.504,98.207,98.749,98.725,98.693,98.881,98.805,99.172,99.169,99.097,99.09,99.086,99.25,99.602,99.812,99.981,100.019,100.232,100.175,100.476,100.259,100.413,100.491,100.651,100.834,100.822,100.99,101.031,101.189,101.41,101.264,101.347,101.314,101.299,100.959,101.019,101.112,101.206,101.557,101.06,100.914,100.908,100.973,100.969,100.591,100.683,100.562,100.345,100.356,100.164,100.199,99.673,99.742,99.73,99.471,99.295,99.341,99.35,99.377,99.375,99.535,99.592,99.551,99.669,99.55,99.338,99.137,99.003,99.543,99.35,98.971,98.99,98.917,98.894,99.051,99.121,98.694,98.575,98.434,98.4,98.353,98.328,98.176,98.123,97.988,98,97.956,97.927,97.764,97.553,97.608
"68","60","    Other retail stores","PK44X3",96.659,96.809,96.304,95.581,94.513,94.204,94.082,94.935,95.308,95.161,94.738,94.547,93.623,92.788,91.746,91.474,91.911,91.975,91.967,91.351,91.118,91.311,90.828,90.648,90.645,90.056,90.279,93.204,93.092,92.947,93.901,94.876,95.9,95.944,95.64,96.71,97.13,98.627,100.688,99.425,99.11,101.212,101.045,99.533,101.285,100.784,100.771,100.334,100.519,100.186,99.287,100.224,101.821,101.398,98.999,98.058,100.096,97.298,94.772,93.214,93.573,93.191,95.04,97.178,96.687,96.663,96.814,97.089,97.236,97.74,97.496,97.266,98.742,101.251,102.634,99.855,97.263,97.049,97.503,98.747,99.902,98.663,97.704,98.082,99.822,100.8,101.966,101.724,103.556,103.886,103.164,102.873,102.943,105.579,105.142,104.151,103.321,104.472,106.099,107.327,106.158,105.595,107.657,109.67,114.176,113.209,108.617,107.761,109.085,108.805,109.735,111.923,113.117,112.715,113.962,114.091
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
