"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"39","31","  Equipment","Y050RG3",59.028,57.788,57.96,58.616,57.055,57.792,58.405,56.814,57.739,57.438,58.649,58.398,59.208,60.591,61.538,62.841,64.73,65.879,67.022,67.644,69.976,70.893,70.526,72.458,75.113,75.958,76.932,77.206,77.184,78.259,79.189,79.823,80.661,83.32,83.443,85.302,87.479,89.382,91.425,92.84,94.539,96.719,97.894,97.896,98.828,99.179,100.265,100.282,100.172,100.709,100.881,101.679,100.069,97.992,98.123,96.512,94.248,93.984,92.916,90.764,90.607,88.961,87.746,87.299,87.953,87.749,87.415,87.892,88.474,88.856,89.609,88.301,89.605,90.134,91.204,91.941,92.29,92.404,92.609,93.061,93.079,93.703,93.755,94.643,95.357,95.723,96.509,97.113,97.426,100.053,99.785,100.555,100.5,101.537,101.593,103.316,107.058,101.176,100.596,100.451,100.131,99.943,99.122,98.878,98.396,98.58,97.958,98.54,99.849,99.645,99.243,99.451,99.388,98.445,98.284,98.111,97.008,96.996,96.532,94.764,94.646,94.698,94.868,95.266,95.118,95.196,95.501,95.642,95.744,96.083,95.853,96.343,97.012,96.829,96.598,96.909,97.008,97.231,97.657,97.641,97.823,97.572,97.874,98.081,98.609,99.024,99.554,100.313,100.045,99.968,99.89,100.096,100.258,100.531,100.634,101.318,102.76,102.477,102.725,102.301,103.094,103.07,102.982,102.4,102.47,102.677,102.68,103.344,103.365,103.17,102.877,102.683,102.929,102.075
"40","32","    Aircraft","B874RG3",75.332,77.199,75.815,75.916,75.3,76.978,77.449,74.555,75.311,75.265,76.007,75.828,76.779,77.26,78.953,78.671,80.232,78.884,78.264,78.562,82.097,82.497,82.909,83.304,86.041,86.274,86.804,86.861,87.968,88.892,92.488,93.088,95.148,97.469,94.686,95.774,96.521,100.542,102.253,103.77,107.481,113.204,115.367,115.803,115.275,118.442,121.738,120.519,117.2,121.44,118.961,121.02,112.33,106.313,108.593,104.027,100.002,98.257,93.997,86.053,85.87,82.129,77.909,77.846,77.751,76.612,74.379,74.455,74.83,75.17,76.13,72.336,75.941,77.555,81.567,83.29,83.078,84.539,85.823,86.897,87.135,88.577,87.196,88.484,89.155,90.141,93.091,93.55,95.089,105.523,105.063,104.604,103.589,107.588,109.398,116.446,132.846,108.829,107.502,108.93,107.699,106.399,101.585,101.219,100.469,103.134,101.34,107.223,119.473,120.462,119.628,119.589,117.608,114.308,112.65,111.911,109.462,109.271,108.149,100.827,100.78,101.286,102.975,103.435,102.354,101.756,102.896,101.705,100.587,100.615,98.977,99.915,99.392,97.489,96.453,96.451,96.027,95.915,97.721,95.553,94.719,94.94,96.044,97.515,98.989,99.135,99.1,100.384,100.142,99.977,100.304,99.577,99.729,100.105,100.915,103.323,106.836,103.137,103.125,100.88,101.464,102.18,101.353,98.777,98.178,98.008,97.963,99.506,99.284,98.728,97.83,96.94,96.814,94.57
"41","33","    Missiles","B875RG3",94.164,97.641,100.519,105.664,94.274,94.289,95.456,92.926,93.388,94.433,94.76,93.961,92.365,92.987,97.97,104.279,115.069,129.154,127.005,131.398,132.317,136.514,136.894,151.52,151.513,151.795,151.895,144.209,131.869,129.951,119.828,108.55,105.344,108.729,109.761,111.552,115.015,114.233,114.126,113.642,108.921,109.887,112.41,111.232,113.505,115.82,116.23,119.48,118.778,119.393,121.867,124.642,125.768,124.484,122.478,117.296,114.323,115.317,115.309,116.631,113.1,112.68,113.587,109.79,112.12,110.024,110.792,110.145,109.45,108.961,110.742,106.558,107.089,106.112,105.325,104.918,104.324,103.32,101.203,100.158,98.951,100.532,100.957,102.476,102.378,104.238,103.695,105.468,103.277,103.698,100.31,103.308,100.553,99.848,98.519,100.576,99.505,98.356,97.43,93.069,91.916,92.086,91.967,92.857,92.405,94.67,95.168,92.583,90.89,89.722,90.201,89.867,89.884,89.632,89.373,88.972,88.504,88.513,88.498,88.212,87.749,87.136,87.126,87.955,89.22,90.323,90.603,91.356,91.76,92.804,92.667,93.133,93.774,94.466,94.576,95.556,96.121,95.925,95.967,96.339,95.606,96.214,96.685,98.089,98.22,99.12,99.954,100.371,99.716,99.523,100.177,100.584,101.148,101.076,101.626,103.64,104.818,106.394,106.24,106.609,112.028,106.177,106.541,106.298,106.644,109.637,109.263,108.487,107.3,105.924,106.058,105.858,106.756,105.471
"42","34","    Ships","B876RG3",22.038,21.141,22.152,22.207,22.739,22.84,23.596,23.976,24.445,25.002,26.16,26.849,27.708,28.082,28.697,28.883,29.906,30.161,29.981,30.393,32.93,33.752,33.135,34.289,37.053,37.069,37.718,38.258,39.043,39.697,40.674,41.783,43.351,44.08,44.691,45.452,46.981,47.417,48.83,49.542,50.009,50.061,50.243,50.376,51.437,51.639,51.925,52.272,54.345,54.888,55.378,55.964,55.867,55.773,55.974,56.565,56.743,57.206,57.308,58.202,58.154,58.18,58.609,59.049,59.626,60.166,60.864,60.943,62.207,62.945,63.381,63.628,63.968,64.431,65.014,65.271,66.524,67.857,68.69,69.21,69.368,69.52,69.551,70.033,70.568,70.654,71.155,71.302,71.957,72.657,73.484,74.821,76.629,77.341,77.661,77.667,77.485,77.543,77.47,77.547,78.207,78.854,79.1,78.865,78.758,78.673,78.44,77.678,77.109,77.367,77.952,78.333,79.202,79.499,80,79.671,79.505,79.729,79.607,79.211,79.322,79.734,80.427,80.476,80.641,80.923,81.503,82.781,83.926,84.642,84.856,85.063,86.012,86.543,87.232,88.314,88.653,89.138,90.206,91.399,93.09,93.391,94.527,94.903,96.037,97.422,98.773,99.12,99.777,100.002,99.791,100.431,101.076,102.32,102.611,102.897,106.024,106.955,108.007,108.033,108.166,108.758,108.969,108.248,108.584,108.528,108.906,109.834,110.422,110.794,110.677,110.403,110.522,110.13
"43","35","    Vehicles","B877RG3",29.214,28.86,29.262,29.385,29.812,29.458,28.886,28.003,27.922,27.596,30.219,28.165,26.108,27.858,34.404,34.116,35.634,37.549,37.279,38.611,39.795,40.33,40.569,42.089,42.579,44.061,44.238,44.755,43.888,44.443,45.839,47.225,47.813,51.223,53.283,58.334,59.366,71.029,77.664,78.124,82.055,89.653,90.953,87.46,89.748,82.964,85.006,84.126,81.264,76.764,75.151,76.633,76.357,75.129,76.771,78.586,69.896,70.186,73.723,73.885,79.693,77.848,77.009,77.422,77.536,78.033,78.799,79.874,79.651,79.302,78.97,80.324,80.092,80.547,80.644,82.141,82.308,82.015,82.198,84.864,84.633,84.419,85.775,88.662,89.186,89.457,88.72,90.911,91.733,92.251,93.077,95.61,96.028,95.695,92.167,94.168,94.874,95.164,97.413,96.114,96.205,95.559,95.387,97.053,94.673,94.585,93.804,95.77,94.872,94.56,94.557,98.203,97.059,93.381,91.467,93.147,92.126,91.937,92.108,92.606,92.365,92.93,90.357,91.568,90.88,92.046,92.686,94.103,93.302,92.512,91.062,94.141,93.854,93.273,91.927,92.578,91.728,91.287,89.695,93.83,96.114,94.009,96.593,96.436,96.783,96.479,95.82,100.226,100.045,99.947,99.117,100.891,100.768,100.032,99.321,100.072,100.333,101.093,101.199,102.657,103.421,104.408,104.917,107.365,106.527,105.946,105.459,107.707,108.031,107.338,107.036,108.823,109.62,107.741
"44","36","    Electronics","Y051RG3",255.719,256.581,248.246,247.57,253.136,259.023,259.732,254.423,262.144,270.773,279.768,295.194,288.807,284.027,287.016,302.635,294.553,289.767,294.754,301.399,304.074,304.391,302.659,301.986,294.988,301.314,297.885,300.049,301.39,318.364,321.498,316.706,321.389,316.795,310.092,324.366,326.36,328.074,336.12,331.962,334.536,332.341,326.576,333.207,330.14,326.276,320,315.005,313.42,309.542,308.957,304.155,305.332,299.009,294.164,290.78,283.407,281.971,282.318,284.594,276.206,270.694,270.257,270.146,268.359,267.667,266.465,266.625,269.026,268.43,269.228,268.651,267.037,267.419,267.692,267.245,263.917,261.558,258.086,256.245,254.236,251.217,248.828,247.012,249.88,245.945,242.762,240.209,239.784,238.685,236.715,233.383,230.766,228.139,223.929,219.657,212.542,205.234,201.379,197.169,192.079,187.713,183.824,179.561,175.007,169.611,164.249,159.692,155.678,151.57,148.718,147.221,145.709,144.409,143.025,141.195,137.016,135.096,132.641,130.513,128.8,127.628,125.616,123.947,121.915,120.675,119.952,118.703,117.921,117.541,116.521,115.867,114.823,113.837,112.579,111.787,111.277,111.195,110.543,110.046,108.959,107.636,105.756,104.68,103.548,103.047,103.006,102.234,100.868,100.043,99.7,99.39,99.084,98.807,97.932,97.431,97.534,97.672,97.561,97.344,97.647,97.635,97.393,97.137,97.394,97.457,97.402,97.417,97.299,97.329,97.307,97.338,97.094,96.401
"45","37","    Other equipment","B879RG3",25.187,25.343,24.483,24.148,23.78,24.691,30.445,36.303,45.029,35.838,33.199,32.691,35.686,34.079,40.427,40.866,39.82,39.674,41.696,41.248,42.004,42.686,42.512,43.745,45.069,46.096,47.432,48.234,48.437,49.299,49.821,52.322,51.744,54.94,56.204,57.147,59.879,59.733,61.009,63.356,65.348,65.636,66.535,66.764,67.274,67.986,67.958,67.845,69.042,69.08,70.626,69.912,70.958,70.846,70.016,70.094,70.806,71.164,71.245,72.227,72.056,72.398,72.782,72.472,73.672,74.731,74.916,76.481,76.963,77.602,77.954,79.459,79.881,80.106,79.926,80.818,81.662,81.049,81.809,82.39,83.054,83.458,84.203,84.546,85.598,85.536,86.301,86.768,87.024,87.357,87.426,87.977,88.236,88.678,88.805,89.125,89.972,90.39,89.99,90.47,90.565,90.739,90.902,90.72,90.908,90.868,90.812,91.1,91.22,91.115,90.57,90.687,91.249,90.971,91.521,91.8,91.254,91.55,91.309,91.448,91.391,91.168,91.079,91.752,92.133,92.306,92.276,92.353,92.693,93.183,93.644,93.948,95.536,96.04,96.261,96.52,97.082,97.666,97.833,97.543,97.733,97.641,97.356,97.283,97.968,98.633,99.669,99.891,99.783,99.984,100.013,100.22,100.465,100.93,101.12,101.2,101.572,102.217,102.498,102.448,102.945,103.185,103.326,103.479,104.057,104.295,104.396,104.506,104.72,104.81,104.768,104.913,105.403,105.452
"46","38","  Intellectual property products","Y052RG3",28.248,28.458,28.721,29.037,29.413,29.896,30.488,31.186,31.989,32.788,33.573,34.345,35.092,35.707,36.207,36.596,36.859,37.402,37.888,38.442,38.857,39.36,39.917,40.505,41.026,41.572,42.228,42.967,43.728,44.56,45.489,46.398,47.623,48.716,49.77,50.887,51.917,53.14,54.098,55.344,56.233,57.056,57.743,58.544,59.079,59.49,60.224,60.826,61.679,62.032,62.559,62.702,63.106,63.404,63.723,63.885,64.094,64.337,64.478,64.608,64.814,65.125,65.512,66.295,67.247,67.978,68.414,68.842,69.363,69.835,70.187,70.557,70.891,71.29,71.723,71.906,72.823,73.49,74.085,74.057,73.922,74.389,74.817,75.583,75.517,75.923,75.962,76.94,76.854,77.128,77.604,78.374,79.988,80.43,81.187,80.873,81.328,81.427,81.496,81.404,82.196,83.097,83.583,83.305,83.05,83.522,83.761,84.59,84.601,85.231,85.301,86.487,87.169,87.82,88.487,88.877,88.707,88.554,88.27,88.289,88.527,88.459,88.714,88.574,88.785,89.505,90.261,90.8,91.132,91.366,91.53,92.222,92.63,93.345,93.78,94.594,95.173,95.151,95.27,95.702,96.6,97.415,98.173,98.55,99.601,100.295,100.848,100.586,99.937,99.67,99.625,100.769,101.195,102.061,102.048,103.236,104.336,105.018,105.424,105.416,106.231,106.716,107.157,106.883,106.806,107.388,107.694,108.363,108.611,108.87,109.45,109.854,109.897,109.47
"47","39","    Software","Y053RG3",62.792,63.005,63.263,63.634,64.46,65.183,65.854,66.462,67.18,68.791,70.526,72.229,73.381,73.77,74.218,74.812,74.944,75.269,75.91,76.639,77.815,78.4,78.723,78.775,78.325,78.521,78.892,79.568,81.046,82.037,83.237,84.595,85.574,86.747,87.573,88.77,90.392,91.537,92.79,93.994,95.035,95.748,96.333,96.816,96.665,96.738,96.673,96.486,97.099,97.727,97.832,97.667,98.088,97.743,97.517,97.229,96.645,96.344,96.368,96.585,96.863,96.987,97.266,97.48,98.048,98.598,98.677,98.4,97.824,97.458,97.017,96.41,96.242,96.29,96.487,97.383,98.922,98.66,98.228,97.166,95.057,94.543,94.201,94.207,95.075,95.608,95.919,95.98,94.819,95.013,94.576,94.721,95.271,96.327,96.449,97.1,96.375,95.423,94.967,94.667,94.096,94.57,94.079,93.457,92.171,92.796,92.824,92.719,93.235,93.93,94.505,94.857,95.615,96.201,97.779,98.05,97.472,97.894,97.069,97.347,97.894,97.042,96.967,96.742,97.003,97.129,96.52,95.438,96.041,96.443,96.473,95.829,96.604,96.876,97.034,96.958,97.396,97.855,98.077,98.245,98.664,98.873,98.947,99.128,99.756,100.295,100.471,100.22,100.074,100.175,99.586,100.165,99.545,99.532,99.397,99.488,99.789,99.927,99.995,99.962,99.989,100.027,99.808,99.743,100.207,100.535,100.461,100.31,100.318,100.528,100.561,99.953,99.473,99.055
"48","40","    Research and development","Y076RG3",26.187,26.385,26.632,26.93,27.277,27.73,28.289,28.951,29.713,30.457,31.185,31.9,32.601,33.191,33.669,34.035,34.289,34.812,35.271,35.796,36.175,36.652,37.188,37.763,38.284,38.815,39.451,40.16,40.87,41.664,42.548,43.408,44.593,45.642,46.664,47.737,48.709,49.891,50.805,52.007,52.859,53.655,54.322,55.104,55.643,56.05,56.787,57.398,58.232,58.563,59.092,59.243,59.633,59.948,60.282,60.46,60.7,60.964,61.107,61.229,61.425,61.738,62.12,62.913,63.865,64.591,65.041,65.507,66.094,66.619,67.029,67.477,67.853,68.279,68.726,68.84,69.685,70.436,71.131,71.215,71.305,71.888,72.41,73.27,73.089,73.48,73.484,74.578,74.627,74.91,75.505,76.357,78.113,78.474,79.315,78.875,79.486,79.728,79.869,79.805,80.793,81.758,82.388,82.16,82.06,82.512,82.787,83.769,83.702,84.322,84.307,85.638,86.311,86.976,87.502,87.913,87.804,87.567,87.358,87.343,87.543,87.576,87.875,87.747,87.956,88.742,89.641,90.347,90.649,90.864,91.04,91.866,92.238,92.995,93.458,94.359,94.953,94.883,94.992,95.449,96.394,97.269,98.094,98.491,99.585,100.295,100.888,100.624,99.923,99.617,99.628,100.832,101.373,102.338,102.338,103.655,104.85,105.599,106.046,106.042,106.955,107.499,108.027,107.725,107.574,108.19,108.549,109.332,109.612,109.878,110.536,111.089,111.209,110.781
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. National defense consumption expenditures are defense services produced by government that are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","measure of the services of general government fixed assets; the use of depreciation assumes a zero net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Own-account investment is measured in current dollars by compensation of general government employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and related expenditures for goods and services and is classified as investment in structures, software,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
