"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"59","50","  Exports of agricultural goods \2\","B181RA3",31.328,30.895,29.88,31.36,32.726,29.325,31.061,29.945,19.703,34.097,30.21,33.811,32.354,33.767,34.706,36.527,35.118,33.216,37.008,31.793,37.395,36.579,39.102,44.515,50.464,51.416,46.619,51.435,48.189,48.122,43.493,43.52,48.242,41.185,45.866,50.724,50.003,51.902,52.686,53.695,52.761,52.98,53.779,53.808,55.127,68.745,66.834,61.861,56.611,62.991,69.511,74.653,70.142,75.423,79.037,72.313,76.176,70.932,72.26,77.307,71.816,77.634,68.325,65.594,67.529,65.942,70.757,66.508,66.515,63.999,67.408,70.666,62.558,56.203,56.138,59.406,58.447,53.525,61.396,62.734,56.309,57.934,70.791,62.935,69.905,66.503,67.261,68.874,69.101,73.24,69.968,71.344,75.444,72.959,72.56,68.296,70.798,68.973,73.837,75.727,77.932,78.995,84.59,82.782,80.138,81.851,76.267,77.484,73.957,77.655,84.062,90.738,92.56,91.204,92.916,87.284,92.286,85.833,85.731,91.259,88.299,89.091,91.262,94.043,93.553,89.179,85.622,94.149,84.958,90.738,96.779,92.602,96.008,96.574,104.176,98.042,100.069,102.112,101.307,103.606,102.441,102.14,97.449,94.763,98.703,99.064,103.903,100.404,94.598,89.581,93.746,102.574,99.339,100.979,98.076,101.606,107.032,110.444,108.791,107.505,106.596,113.036,122.775,121.749,124.182,125.435,122.641,122.458,116.605,120.045
"60","51","  Exports of nonagricultural goods","B182RA3",11.006,11.03,10.918,11.015,11.405,11.966,12.905,12.531,11.187,13.542,13.399,13.677,13.998,14.313,14.029,14.089,13.953,14.059,14.86,12.787,14.902,14.376,15.177,16.047,17.294,18.234,18.689,19.393,20.229,21.291,20.28,20.826,19.994,19.659,19.578,20.16,19.903,20.082,20.442,20.492,19.895,20.593,20.537,19.486,19.858,22.092,22.555,24.079,24.465,24.043,24.869,26.558,27.807,27.986,26.83,27.275,27.05,27.516,26.019,26.065,24.456,24.035,22.87,21.38,21.562,21.587,21.279,22.408,21.99,22.563,22.785,23.396,23.442,23.757,23.418,24.017,24.147,24.97,24.957,26.039,26.092,27.243,28.334,30.375,32.035,33.256,33.788,35.457,36.13,38.183,38.551,39.12,40.835,41.399,41.652,42.089,43.188,44.395,45.234,45.897,46.953,47.046,48.22,49.007,48.638,49.212,49.188,51.663,51.921,53.702,56.274,57.473,58.824,60.005,62.431,63.823,64.904,66.221,67.596,71.184,74.141,77.863,80.176,80.085,80.362,78.628,79.049,81.833,80.76,81.325,83.755,87.014,88.861,91.812,95.476,94.361,92.881,88.234,83.084,80.865,80.878,83.976,84.73,82.759,82.857,82.79,84.145,88.62,90.639,92.697,93.6,94.499,96.85,100.166,100.106,102.878,107.083,108.905,109.086,112.891,113.877,115.218,118.738,122.684,123.804,128.253,127.912,117.971,104.426,102.228
"61","52","  Imports of durable goods","B333RA3",3.96,3.895,4.016,4.375,4.964,5.049,5.313,5.363,4.686,5.953,5.84,5.629,5.571,5.736,5.629,5.78,5.89,6.453,6.461,6.208,7.174,6.991,7.071,7.534,7.963,7.618,7.546,7.502,7.586,7.846,7.854,7.461,6.577,5.82,6.208,6.522,7.247,7.563,7.859,8.112,8.204,8.698,8.743,9.19,9.819,10.1,10.064,10.276,9.99,10.296,10.315,10.583,10.927,10.357,9.844,10.378,10.549,11.251,11.362,11.801,11.58,11.612,11.516,10.765,12.263,12.882,13.958,15.705,17.022,17.966,18.743,19.195,19.328,19.969,20.172,20.757,20.892,22.121,22.244,22.412,22.115,22.72,22.979,23.726,23.455,23.281,23.855,24.769,24.762,25.134,24.633,25.062,25.176,25.762,25.782,25.495,24.816,25.022,26.216,26.722,27.349,28.147,28.667,29.383,30.529,31.265,31.821,33.395,34.363,36.346,37.645,39.63,40.459,41.244,41.237,42.018,43.591,44.915,46.571,47.543,50.291,52.431,54.368,55.662,58.075,59.538,60.04,63.139,64.686,67.697,70.538,72.932,76.138,78.834,81.482,81.421,78.71,74.571,72.896,72.042,74.54,77.833,78.999,79.332,78.551,80.083,80.3,85.098,86.799,91.598,93.735,96.505,97.206,99.073,100.292,103.429,107.593,108.157,108.918,110.427,111.326,109.995,111.597,111.717,110.405,109.452,107.046,97.984,81.465,77.834
"62","53","  Imports of nondurable goods","B340RA3",16.714,16.002,15.733,17.26,17.579,18.171,19.81,18.867,16.382,20.662,20.197,19.966,20.305,19.933,20.279,20.881,20.139,22.111,23.896,20.296,24.421,22.536,24.526,25.06,26.196,26.199,25.573,26.167,23.38,25.228,24.361,24.661,21.835,20.562,23.379,24.804,25.783,27.214,28.527,29.624,32.259,31.237,30.416,29.879,31.97,31.342,32.193,32.323,33.122,32.55,31.435,32.2,31.433,28.219,25.109,26.57,28.273,26.824,26.102,26.792,25.29,23.782,26.865,25.759,23.847,26.779,29.137,28.541,30.248,30.916,30.655,31.526,28.887,31.704,30.96,33.28,32.288,34.545,36.281,36.451,35.699,35.952,37.607,37.326,37.769,37.217,38.156,39.051,39.424,38.827,39.547,40.58,43.476,41.445,40.593,38.204,39.271,40.493,41.551,42.891,42.825,43.549,44.573,45.794,46.077,47.002,47.164,48.401,49.192,50.062,51.687,51.711,52.527,52.649,53.017,52.779,54.466,55.274,56.814,58.546,59.454,61.171,63.318,64.574,66.131,67.443,68.658,68.987,71.311,72.03,74.424,75.319,77.451,79.316,82.419,82.643,84.277,82.883,81.846,81.586,80.919,84.132,86.248,88.706,87.54,90.766,91.336,90.859,93.635,95.939,96.389,98.328,99.418,99.468,99.291,101.823,99.79,102.055,104.397,100.732,102.628,103.86,103.482,101.025,100.596,99.083,99.643,98.255,92.209,88.204
"63","54","  Imports of nonpetroleum goods","B187RA3",5.756,5.565,5.704,6.199,6.701,6.88,7.331,7.214,6.216,7.967,7.804,7.55,7.541,7.629,7.631,7.802,7.833,8.532,8.785,7.875,9.405,8.932,9.261,9.683,10.096,9.666,9.479,9.46,9.538,9.629,9.449,9.087,7.953,7.235,7.959,8.441,9.23,9.59,9.958,10.198,10.199,10.702,10.614,11.005,11.939,12.269,12.168,12.411,12.198,12.537,12.29,12.695,12.814,12.232,11.555,12.233,12.7,13.266,13.354,13.991,13.494,13.778,13.919,13.237,14.632,15.336,16.325,18.034,19.583,20.486,21.161,21.687,21.807,22.506,22.602,23.301,23.485,24.547,24.738,25.126,24.996,25.508,25.631,26.317,26.223,25.852,26.514,27.326,27.22,27.606,27.329,27.896,28.172,28.561,28.558,28.222,27.527,27.925,28.936,29.761,30.28,31.194,31.725,32.342,33.316,34.179,34.701,35.968,36.965,38.783,39.989,41.706,42.599,43.391,43.295,43.797,45.373,46.532,48.182,49.352,51.681,53.895,55.952,57.123,59.319,60.786,61.456,63.801,65.596,68.106,70.958,73.232,75.836,78.584,81.498,81.277,79.479,76.387,75.138,74.147,76.057,79.437,81.076,81.746,81.134,82.689,82.963,86.598,88.158,92.83,94.443,96.581,97.849,99.293,100.081,102.777,105.819,107.117,107.767,108.849,110.406,109.423,110.538,109.92,108.825,107.931,106.419,98.699,85.029,81.518
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
