"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"45","37","        Research and development","Y006RG3",22.122,22.349,22.577,22.806,23.036,23.268,23.504,23.742,23.983,24.208,24.418,24.612,24.791,25.001,25.244,25.519,25.826,26.287,26.902,27.671,28.594,29.453,30.248,30.979,31.647,32.21,32.668,33.023,33.273,33.866,34.34,34.875,35.18,35.625,36.153,36.736,37.25,37.786,38.47,39.264,40.063,40.941,41.901,42.79,44.082,45.166,46.19,47.261,48.177,49.382,50.243,51.491,52.293,53.076,53.741,54.606,55.208,55.61,56.403,57.002,57.858,58.093,58.611,58.673,59.064,59.362,59.684,59.811,60.017,60.288,60.44,60.598,60.879,61.257,61.679,62.576,63.636,64.404,64.808,65.224,65.785,66.294,66.678,67.14,67.538,67.952,68.344,68.231,69.054,69.822,70.589,70.591,70.683,71.388,71.927,72.864,72.225,72.458,72.192,73.549,73.457,73.663,74.278,75.224,77.438,77.711,78.747,78.015,78.859,79.136,79.232,78.998,80.207,81.434,82.235,81.871,81.736,82.351,82.684,83.992,83.774,84.518,84.33,86.065,86.829,87.611,88.212,88.664,88.342,87.791,87.258,87.013,87.1,86.929,87.187,86.772,86.89,87.895,89.064,89.928,90.169,90.283,90.342,91.373,91.73,92.666,93.192,94.402,95.16,94.907,94.91,95.425,96.662,97.723,98.67,98.945,100.187,100.934,101.579,101.05,99.959,99.458,99.433,101.15,101.67,102.614,102.101,103.458,104.853,105.664,106.101,105.921,107.621,108.157,108.973,108.189,108.464,109.142,109.94,111.054,111.956,112.417,112.497,112.665
"46","38","        Entertainment, literary, and artistic originals","Y020RG3",24.744,25.115,25.708,26.107,26.839,27.149,27.643,28.238,28.999,29.187,29.349,29.408,30.091,30.491,30.771,30.89,31.317,31.539,31.772,32.048,32.551,33.089,33.791,34.654,35.26,36.619,37.084,37.639,37.775,38.374,38.929,39.403,39.586,39.993,40.451,40.865,42.175,42.905,43.625,44.216,44.294,44.991,45.366,46.093,46.271,46.824,47.869,48.615,49.611,49.733,50.464,51.271,51.359,51.906,52.559,52.909,53.872,54.541,55.192,55.581,55.652,56.636,57.71,58.053,58.992,59.465,60.127,60.392,61.627,61.968,62.598,63.073,63.453,64.244,65.316,66.362,66.896,66.996,67.772,68.171,69.822,70.712,72.197,72.541,73.204,74.409,75.419,75.597,77.559,78.85,79.453,79.545,79.15,79.529,80.029,80.569,80.58,80.838,81.111,81.772,82.677,82.981,83.334,83.947,84.407,85.068,86.058,86.706,87.058,88.077,88.246,88.202,88.962,88.752,89.025,88.89,90.761,88.726,88.058,88.659,90.16,91,91.18,92.442,93.097,93.477,93.905,94.583,95.112,95.243,95.08,95.333,94.606,95.562,95.925,95.994,96.44,96.568,96.746,96.811,97.285,97.697,97.41,97.272,97.649,97.986,98.143,97.936,98.069,98.565,98.901,99.625,100.8,100.571,99.409,99.801,99.925,99.775,100.363,100.486,100.469,99.163,100.342,100.026,99.096,99.406,99.824,99.296,99.462,99.45,98.946,98.416,99.071,99.357,99.906,99.807,99.479,99.131,99.803,99.925,100.548,100.982,101.171,100.593
"47","39","    Residential","B011RG3",15.485,15.707,15.772,16.008,15.994,16.586,16.142,16.274,16.708,17.051,17.366,17.634,17.883,17.966,18.267,18.828,19.074,19.555,20.221,20.572,21.039,21.536,22.226,22.826,23.408,23.815,24.036,24.471,24.622,25.341,25.748,26.219,26.862,27.587,28.501,29.385,30.23,31.131,31.964,32.806,33.469,34.611,35.712,36.584,37.551,38.437,39.314,40.219,41.14,41.766,42.259,42.941,43.557,44.217,44.569,44.776,45.017,45.134,45.388,45.775,46.051,46.436,46.877,47.318,47.544,47.655,48.007,48.605,49.217,49.73,50.38,50.944,51.526,51.972,52.462,52.975,53.362,53.85,54.235,54.76,55.121,55.789,55.981,56.385,56.804,57.033,57.252,57.332,57.524,57.801,58.147,57.921,57.72,58.298,58.726,59.499,60.141,60.793,61.323,61.524,62.33,62.729,63.373,64.169,64.93,65.262,65.533,65.909,66.172,66.474,67.15,67.453,67.769,68.101,68.659,69.167,69.366,69.845,70.538,71.166,71.829,72.604,73.211,73.794,75.041,75.795,76.433,77.103,78.183,79.209,80.483,80.944,80.818,81.28,81.633,82.984,84.753,84.899,85.511,87.034,88.936,90.709,92.541,93.999,95.218,96.756,99.302,101.137,102.748,103.684,104.054,104.798,105.339,105.061,105.104,105.201,104.797,104.365,103.439,101.985,101.153,99.837,99.141,99.868,100.027,99.328,99.325,99.898,100.112,100.472,100.482,100.512,100.36,100.745,101.618,102.644,104.271,105.571,106.982,108.968,111.244,111.45,113.4,114.643
"48","40","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","Government consumption expenditures and gross investment","B822RG3",15.726,15.988,16.337,16.578,17.004,17.291,17.594,17.868,18.362,18.702,18.968,19.259,19.888,20.096,20.313,20.667,21.046,21.402,21.726,22.157,22.615,23.237,23.968,24.718,25.187,25.634,25.986,26.431,26.746,27.034,27.286,27.774,28.231,28.641,28.979,29.639,30.049,30.464,30.907,31.478,32.104,32.683,33.554,34.484,35.253,36.091,36.936,38.285,39.187,39.868,40.408,41.395,41.965,42.517,43.069,43.736,43.998,44.267,44.691,44.954,45.694,46.103,46.478,46.813,47.331,47.52,47.775,48.213,48.225,48.347,48.599,48.973,49.31,49.691,50.105,50.365,50.853,51.334,51.661,52.024,52.757,53.266,53.676,54.102,54.793,55.314,55.878,56.709,57.175,57.388,57.859,58.265,58.719,59.317,59.752,60.105,60.392,60.742,61.048,61.391,61.83,62.299,62.677,63.236,63.808,64.163,64.409,64.918,65.541,65.371,65.663,66.05,66.556,66.755,66.986,67.432,67.572,67.817,68.214,68.668,69.318,70.074,70.747,71.474,72.502,72.974,73.768,74.482,75.09,75.441,75.758,75.949,76.687,77.157,77.56,78.302,79.833,80,80.517,81.016,82.434,83.405,84.442,85.508,86.789,87.614,88.76,89.779,90.846,91.852,92.511,93.133,94.903,95.721,96.465,97.473,99.054,100.29,101.324,100.46,99.833,99.695,99.984,100.488,101.667,102.422,102.936,103.668,104.7,105.809,106.247,106.114,107.046,107.054,107.263,107.781,108.142,108.312,108.69,109.33,109.431,109.805,110.21,110.089
"52","44","  Federal","B823RG3",18.721,18.981,19.471,19.712,20.287,20.551,20.901,21.164,21.834,22.243,22.561,23.021,24.006,24.218,24.361,24.886,25.321,25.732,26.183,26.744,27.04,27.569,28.299,29.26,29.764,30.193,30.631,31.323,31.736,32.032,32.414,33.227,33.656,33.999,34.178,35.191,35.659,36.049,36.555,37.436,37.949,38.458,39.143,40.629,41.339,42.164,42.925,45.018,45.677,46.346,47.052,48.719,49.276,49.819,50.358,51.281,51.487,51.537,52.028,52.261,53.199,53.647,54.013,54.257,54.81,54.713,54.826,55.332,55.125,55.159,55.252,55.372,55.32,55.501,55.774,56.017,56.817,57.339,57.595,57.692,58.511,58.803,59.127,59.275,59.951,60.514,60.926,61.835,62.671,62.778,63.258,63.564,64.015,64.476,64.895,65.181,65.396,65.762,66.28,66.721,67.049,67.735,67.865,68.51,69.462,69.621,69.858,70.839,71.484,70.84,70.96,71.234,71.943,72.128,72.249,72.577,72.78,72.923,73.136,73.396,74.209,74.654,75.015,75.59,76.825,76.765,77.683,78.09,78.394,78.522,78.857,79.221,80.825,81.035,81.202,82.177,84.339,84.603,85.001,85.149,87.002,87.542,87.993,88.408,90.624,91.102,91.849,92.22,93.996,94.423,94.556,94.817,96.572,97.169,97.47,98.064,99.611,100.43,100.941,100.161,100.178,99.651,99.809,100.362,101.719,102.452,102.855,103.429,104.585,105.524,105.89,105.688,106.197,106.338,106.388,106.44,106.828,107.093,107.406,108.791,108.105,108.563,108.721,108.631
"53","45","    National defense","B824RG3",18.189,18.464,18.937,19.158,19.676,19.897,20.24,20.495,21.161,21.546,21.871,22.4,23.637,23.848,23.959,24.504,24.915,25.37,25.877,26.361,26.74,27.179,27.973,28.875,29.312,29.662,30.079,30.766,31.164,31.516,31.945,32.776,33.244,33.582,33.74,34.848,35.364,35.774,36.308,37.171,37.691,38.21,38.959,40.5,41.308,42.208,42.897,45.137,45.703,46.462,47.189,49.092,49.6,50.157,50.692,51.624,51.862,51.937,52.436,52.775,53.792,54.211,54.523,54.73,55.161,54.968,55.127,55.657,55.357,55.26,55.309,55.383,55.507,55.652,55.896,56.093,56.853,57.331,57.597,57.773,58.513,58.781,59.095,59.197,60.038,60.517,61.047,61.918,62.452,62.484,63.079,63.538,64.07,64.567,65.012,64.997,65.044,65.405,65.844,66.251,66.496,67.19,67.377,67.982,68.874,69.069,69.317,69.803,70.699,70.224,70.319,70.562,71.249,71.37,71.437,71.685,71.979,72.082,72.25,72.608,73.488,73.891,74.169,74.589,75.997,76.021,76.762,77.088,77.639,77.653,77.982,78.222,79.796,79.98,80.299,82.042,83.996,84.255,84.689,84.958,86.584,87.149,87.617,88.134,90.547,91.035,91.801,92.199,94.182,94.613,94.738,95.001,96.741,97.349,97.719,98.479,100.016,101.047,101.598,100.577,100.359,99.611,99.736,100.293,101.671,102.266,102.48,103.043,104.443,105.444,105.763,105.446,106.262,106.406,106.474,106.518,106.829,106.983,107.238,108.052,108.067,108.514,108.633,108.447
"54","46","      Consumption expenditures","B977RG3",15.884,16.099,16.592,16.777,17.255,17.425,17.741,17.955,18.611,18.954,19.262,19.779,20.636,20.843,20.899,21.396,21.822,22.222,22.677,23.152,23.453,23.859,24.578,25.479,25.84,26.12,26.485,27.139,27.465,27.748,28.103,28.921,29.265,29.526,29.687,30.761,31.151,31.491,31.956,32.848,33.31,33.722,34.396,36.022,36.781,37.523,38.168,40.482,40.892,41.516,42.119,44.101,44.468,44.857,45.323,46.341,46.504,46.523,46.922,47.251,48.352,48.783,49.085,49.22,49.856,49.774,49.925,50.775,50.613,50.493,50.666,50.977,51.106,51.433,51.808,52.029,52.809,53.324,53.601,53.656,54.473,54.695,54.942,55.15,56.038,56.536,57.023,58.014,58.529,58.471,59.095,59.63,60.304,60.797,61.288,61.067,61.04,61.389,61.834,62.158,62.428,62.995,63.176,63.741,64.644,64.726,64.927,65.385,66.078,66.02,66.161,66.47,67.221,67.271,67.35,67.684,68.104,68.153,68.362,68.641,69.583,69.996,70.349,70.698,72.321,72.344,73.168,73.527,74.299,74.327,74.794,75.247,77.158,77.376,77.717,79.845,82.24,82.459,82.87,83.118,85.08,85.691,86.243,86.712,89.609,90.122,91.026,91.356,93.767,94.254,94.319,94.57,96.627,97.309,97.622,98.507,100.257,101.423,101.976,100.565,100.411,99.538,99.746,100.306,101.986,102.617,102.869,103.348,104.785,105.994,106.299,105.94,106.734,106.864,106.893,107.061,107.397,107.498,107.752,108.608,108.559,109.084,109.257,109.056
"55","47","      Gross investment","B788RG3",28.163,28.771,28.898,29.315,29.908,30.424,30.841,31.311,31.756,32.286,32.572,32.883,36.961,37.022,37.559,38.189,38.292,38.969,39.658,39.961,40.796,41.305,42.353,42.935,43.755,44.495,45.119,45.832,46.594,47.307,48.111,48.817,49.956,50.687,50.784,51.798,52.99,53.744,54.571,55.056,55.814,56.865,57.916,58.696,59.628,61.251,62.061,63.486,64.842,66.23,67.522,68.766,69.939,71.292,72.117,72.545,73.131,73.473,74.407,74.776,75.398,75.755,76.094,76.59,76.23,75.628,75.826,75.239,74.445,74.427,74.05,73.339,73.445,72.985,72.809,72.938,73.659,74.02,74.248,74.876,75.358,75.805,76.38,76.09,76.78,77.206,77.911,78.346,78.951,79.338,79.813,79.953,79.893,80.417,80.671,81.532,81.903,82.314,82.711,83.489,83.61,84.874,85.085,85.861,86.686,87.391,87.85,88.441,90.231,87.899,87.774,87.686,88.029,88.5,88.498,88.332,88.017,88.369,88.338,89.049,89.608,89.952,89.881,90.624,90.98,91.002,91.334,91.505,91.018,90.973,90.688,89.986,90.061,90.092,90.318,90.463,90.59,90.996,91.522,91.879,92.147,92.533,92.676,93.372,93.929,94.32,94.569,95.223,95.633,95.865,96.205,96.511,97.127,97.481,98.046,98.375,99.181,99.765,100.314,100.608,100.177,99.865,99.705,100.254,100.551,101.018,101.102,101.969,103.236,103.47,103.842,103.679,104.58,104.775,104.988,104.558,104.773,105.134,105.387,106.045,106.322,106.442,106.33,106.207
"56","48","    Nondefense","B825RG3",19.77,19.959,20.489,20.786,21.55,21.952,22.309,22.587,23.239,23.708,23.999,24.252,24.538,24.753,24.972,25.439,25.926,26.22,26.527,27.261,27.359,28.099,28.666,29.748,30.398,30.997,31.476,32.17,32.608,32.78,33.057,33.82,34.165,34.516,34.737,35.545,35.913,36.259,36.704,37.614,38.106,38.593,39.143,40.511,41.019,41.691,42.583,44.371,45.213,45.693,46.348,47.504,48.153,48.658,49.197,50.093,50.227,50.222,50.693,50.664,51.397,51.919,52.419,52.756,53.617,53.765,53.759,54.201,54.238,54.62,54.832,55.069,54.549,54.827,55.18,55.548,56.463,57.112,57.339,57.203,58.242,58.601,58.956,59.225,59.465,60.239,60.345,61.339,62.928,63.222,63.41,63.353,63.629,64.011,64.372,65.322,65.89,66.264,66.945,67.454,67.95,68.617,68.631,69.357,70.426,70.519,70.732,72.666,72.825,71.856,72.026,72.359,73.113,73.413,73.634,74.105,74.145,74.355,74.652,74.733,75.433,75.952,76.456,77.3,78.237,78.036,79.25,79.793,79.683,80.001,80.347,80.919,82.573,82.827,82.741,82.439,84.945,85.213,85.544,85.485,87.738,88.234,88.652,88.885,90.75,91.207,91.918,92.24,93.649,94.068,94.215,94.472,96.256,96.833,97.009,97.3,98.862,99.291,99.729,99.401,99.85,99.72,99.942,100.488,101.811,102.792,103.53,104.123,104.847,105.673,106.12,106.125,106.092,106.226,106.244,106.312,106.833,107.286,107.699,110.047,108.199,108.675,108.899,108.97
"57","49","      Consumption expenditures","B542RG3",17.119,17.249,17.841,18.097,18.968,19.36,19.68,19.905,20.624,21.123,21.391,21.607,21.904,22.099,22.292,22.78,23.263,23.495,23.71,24.316,24.275,24.926,25.333,26.368,26.924,27.442,27.909,28.659,29.012,29.187,29.415,30.237,30.499,30.787,30.895,31.777,32.094,32.363,32.72,33.677,34.035,34.355,34.727,36.117,36.421,36.903,37.667,39.625,40.317,40.506,41.001,42.103,42.62,42.982,43.539,44.507,44.586,44.508,44.977,44.804,45.571,46.103,46.606,46.955,47.936,48.046,47.962,48.473,48.475,48.905,49.106,49.318,48.627,48.912,49.251,49.525,50.493,51.137,51.254,50.845,52.013,52.306,52.621,52.827,52.984,53.848,53.809,54.952,56.817,57.069,57.223,57.134,57.543,57.971,58.378,59.486,60.125,60.497,61.351,61.85,62.46,63.206,63.083,63.838,64.916,64.844,64.962,67.555,67.77,66.527,66.772,67.269,68.22,68.517,68.763,69.415,69.57,69.802,70.162,70.2,71.099,71.693,72.322,73.248,74.334,73.875,75.341,75.974,75.861,76.256,76.754,77.516,79.754,80.126,79.972,79.544,82.829,83.07,83.396,83.229,86.124,86.647,87.074,87.175,89.487,89.947,90.784,91.085,92.852,93.314,93.41,93.637,95.884,96.508,96.594,96.82,98.698,99.099,99.516,99.053,99.744,99.634,100.018,100.605,102.147,103.146,103.84,104.434,105.266,106.259,106.8,106.82,106.779,106.925,106.923,106.998,107.587,108.074,108.534,111.558,109.082,109.627,109.858,109.92
"58","50","      Gross investment","B798RG3",27.245,27.586,27.98,28.39,28.901,29.339,29.8,30.226,30.695,31.076,31.431,31.794,32.04,32.307,32.603,32.995,33.481,33.958,34.538,35.651,36.189,37.201,38.253,39.43,40.366,41.205,41.699,42.175,42.872,43.029,43.451,44.01,44.599,45.141,45.699,46.268,46.788,47.356,48.055,48.83,49.705,50.671,51.73,53.025,54.132,55.37,56.624,57.872,59.137,60.507,61.644,62.933,63.992,64.941,65.401,65.986,66.303,66.563,66.977,67.42,68.014,68.475,68.925,69.197,69.606,69.872,70.14,70.32,70.473,70.671,70.902,71.204,71.287,71.529,71.908,72.55,73.289,73.949,74.496,75.171,75.795,76.358,76.832,77.283,77.759,78.245,78.798,79.316,80.06,80.49,80.783,80.815,80.705,80.947,81.172,81.655,82.026,82.406,82.611,83.149,83.308,83.727,84.145,84.772,85.798,86.362,86.855,86.915,86.934,86.718,86.689,86.574,86.768,87.077,87.23,87.176,86.899,87.059,87.206,87.402,87.573,87.905,88.093,88.737,89.291,89.778,90.304,90.608,90.514,90.623,90.539,90.576,90.596,90.517,90.619,90.68,90.976,91.329,91.679,91.928,92.339,92.761,93.163,93.776,94.344,94.796,95.151,95.534,95.92,96.214,96.504,96.841,97.329,97.769,98.199,98.672,99.333,99.847,100.351,100.414,100.16,99.974,99.719,100.146,100.839,101.764,102.629,103.211,103.628,103.988,104.177,104.139,104.126,104.223,104.3,104.346,104.674,105.028,105.308,105.688,105.696,105.965,106.169,106.269
"59","51","  State and local","B829RG3",13.79,14.066,14.306,14.559,14.877,15.193,15.467,15.755,16.125,16.42,16.651,16.824,17.209,17.417,17.687,17.926,18.268,18.588,18.829,19.178,19.738,20.419,21.149,21.763,22.206,22.661,22.957,23.248,23.502,23.781,23.953,24.237,24.709,25.156,25.592,26.029,26.401,26.828,27.231,27.606,28.299,28.917,29.9,30.479,31.28,32.128,33.029,33.89,34.958,35.653,36.081,36.598,37.183,37.745,38.311,38.8,39.107,39.544,39.924,40.215,40.817,41.205,41.593,42.003,42.503,42.915,43.284,43.679,43.859,44.051,44.433,45.014,45.66,46.207,46.74,47.02,47.277,47.736,48.121,48.688,49.37,50.046,50.525,51.161,51.871,52.369,53.049,53.836,54.047,54.338,54.809,55.289,55.751,56.448,56.897,57.298,57.634,57.975,58.146,58.43,58.944,59.283,59.813,60.322,60.671,61.139,61.391,61.634,62.247,62.343,62.73,63.178,63.574,63.778,64.067,64.575,64.681,64.979,65.469,66.018,66.586,67.492,68.315,69.115,70.036,70.764,71.495,72.354,73.106,73.563,73.87,73.974,74.282,74.878,75.397,76.015,77.213,77.328,77.907,78.597,79.768,80.977,82.346,83.784,84.527,85.552,86.929,88.323,88.976,90.322,91.289,92.121,93.9,94.847,95.851,97.106,98.708,100.201,101.562,100.647,99.61,99.722,100.098,100.57,101.629,102.399,102.991,103.836,104.778,106.006,106.496,106.413,107.641,107.556,107.876,108.715,109.052,109.154,109.572,109.729,110.332,110.653,111.216,111.076
"60","52","      Consumption expenditures","B991RG3",13.244,13.499,13.758,13.981,14.302,14.586,14.842,15.09,15.475,15.766,16.003,16.14,16.557,16.777,17.041,17.249,17.576,17.866,18.064,18.363,18.816,19.32,19.869,20.382,20.793,21.303,21.633,21.94,22.209,22.491,22.68,22.977,23.459,23.93,24.367,24.817,25.181,25.569,25.924,26.254,26.941,27.495,28.465,28.95,29.707,30.502,31.322,32.114,33.154,33.78,34.119,34.582,35.152,35.672,36.233,36.777,37.123,37.638,38.071,38.412,39.103,39.524,39.953,40.419,40.958,41.416,41.816,42.227,42.383,42.51,42.874,43.458,44.165,44.735,45.284,45.565,45.786,46.275,46.666,47.291,48.06,48.782,49.277,49.982,50.761,51.262,51.973,52.901,53.135,53.428,53.968,54.581,55.174,55.963,56.478,56.903,57.216,57.552,57.737,58.013,58.535,58.885,59.411,59.921,60.215,60.688,60.919,61.135,61.821,61.926,62.335,62.844,63.289,63.441,63.759,64.285,64.408,64.761,65.269,65.86,66.5,67.504,68.454,69.307,70.32,71.034,71.83,72.799,73.63,74.156,74.484,74.518,74.825,75.471,76.064,76.807,78.155,78.279,78.981,79.796,81.143,82.309,83.504,84.832,85.591,86.495,87.765,89.215,89.899,91.119,92.022,92.544,94.204,95.145,96.17,97.457,99.228,100.898,102.273,100.681,99.24,99.596,100.282,100.881,102.116,102.96,103.611,104.538,105.557,106.834,107.167,106.845,108.179,107.894,108.166,109.146,109.462,109.479,109.858,109.907,110.541,110.844,111.415,111.192
"61","53","      Gross investment","B799RG3",16.608,16.979,17.166,17.541,17.862,18.319,18.673,19.14,19.468,19.788,20.002,20.338,20.593,20.755,21.054,21.443,21.862,22.329,22.771,23.364,24.439,25.965,27.579,28.715,29.338,29.516,29.635,29.841,30.013,30.276,30.347,30.55,30.954,31.26,31.687,32.035,32.44,33.083,33.729,34.334,35.043,35.991,37.039,38.084,39.111,40.222,41.53,42.744,43.933,44.971,45.893,46.701,47.353,48.14,48.712,48.849,48.903,48.848,48.894,48.892,48.963,49.153,49.32,49.422,49.703,49.864,50.073,50.378,50.684,51.199,51.667,52.225,52.559,52.985,53.436,53.707,54.136,54.439,54.795,55.077,55.334,55.782,56.179,56.479,56.87,57.353,57.885,58.023,58.131,58.414,58.566,58.428,58.295,58.568,58.704,58.981,59.43,59.794,59.898,60.221,60.688,60.981,61.525,62.029,62.632,63.077,63.427,63.797,64.065,64.121,64.409,64.588,64.77,65.196,65.358,65.789,65.827,65.876,66.287,66.657,66.911,67.402,67.684,68.262,68.811,69.6,70.06,70.474,70.908,71.091,71.31,71.698,72.008,72.402,72.628,72.752,73.355,73.437,73.533,73.733,74.208,75.579,77.627,79.504,80.185,81.705,83.525,84.689,85.213,87.071,88.293,90.386,92.648,93.621,94.538,95.658,96.572,97.348,98.658,100.49,101.132,100.239,99.342,99.287,99.603,100.061,100.407,100.898,101.507,102.521,103.686,104.651,105.424,106.242,106.787,106.971,107.406,107.911,108.514,109.186,109.642,110.046,110.571,110.827
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
