"","Table 5#5#4U# Price Indexes for Private Fixed Investment in Equi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231"
"25","17","    Metalworking machinery","B271RG3",14.439,14.617,14.837,15.024,15.21,15.31,15.45,15.564,15.545,15.504,15.461,15.425,15.577,15.787,15.926,15.984,15.893,15.84,15.844,15.867,15.911,16.014,16.126,16.28,16.401,16.475,16.509,16.576,16.733,16.945,17.124,17.328,17.48,17.594,17.703,17.864,18.065,18.328,18.619,18.872,18.955,18.974,19.089,19.33,19.719,20.055,20.268,20.343,20.294,20.472,20.653,20.77,20.861,20.946,21.044,21.157,21.293,21.58,21.852,22.011,22.39,23.081,24.322,26.046,27.64,28.565,29.094,29.54,29.972,30.491,31.033,31.664,32.611,33.566,34.443,35.326,36.031,37.011,37.9,38.808,40.253,41.45,42.646,43.981,45.94,47.504,48.834,50.45,51.17,52.216,53.348,53.93,54.177,55.971,56.497,56.278,56.498,56.399,56.377,56.408,56.665,57.416,57.398,57.374,57.285,57.904,58.833,59.769,60.98,61.763,62.507,63.097,64.136,64.733,65.185,66.188,66.838,67.612,67.843,68.937,69.222,69.136,69.956,70.505,71.5,71.998,72.923,74.292,75.547,75.377,75.729,76.497,77.105,77.51,78.05,77.912,78.3,78.985,79.574,80.056,80.405,81.273,81.701,82.163,82.664,84.276,85.108,85.234,85.805,86.046,86.346,86.722,86.734,86.629,86.844,87.098,87.367,87.401,87.528,87.781,87.902,87.742,87.84,88.241,88.396,88.385,88.623,88.78,89.048,88.667,88.581,88.924,88.449,88.331,88.962,88.751,88.697,88.696,88.755,88.907,89.815,89.814,90.262,91.191,92.228,94.027,94.258,94.493,94.491,94.851,94.99,95.186,95.542,95.838,96.216,96.868,97.183,98.512,100.429,100.592,100.18,100.409,99.782,99.629,99.81,100.471,100.723,101.078,101.933,103.043,104.128,103.944,104.78,105.391,105.518,106.125,105.84,105.479,105.491,105.631,106.342,106.522,106.629,106.229,105.964,105.84,105.883,105.875
"26","18","    Special industry machinery, n.e.c.","B272RG3",12.469,12.607,12.75,12.802,12.867,12.968,13.051,13.051,13.089,12.989,12.991,13.038,13.064,13.121,13.151,13.248,13.33,13.403,13.488,13.599,13.677,13.743,13.794,13.839,13.904,13.988,14.052,14.089,14.17,14.281,14.494,14.754,15,15.176,15.269,15.351,15.564,15.785,15.993,16.189,16.312,16.481,16.7,16.931,17.156,17.342,17.501,17.681,17.941,18.187,18.369,18.527,18.621,18.7,18.796,18.869,18.974,19.212,19.614,20.009,20.484,21.358,22.634,24.099,25.488,26.456,27.091,27.529,27.989,28.594,29.292,29.989,31.317,31.836,32.139,32.522,33.773,34.55,35.452,36.287,37.247,38.191,39.168,40.271,41.249,42.879,44.316,45.313,46.984,47.638,48.573,49.405,49.49,50.203,50.689,51.133,51.251,51.924,52.26,52.521,52.899,53.391,53.388,53.462,53.304,54.144,54.511,55.532,56.761,57.647,58.753,59.166,60.878,61.291,61.288,62.862,63.857,64.766,64.638,65.87,66.205,66.351,66.891,67.624,68.737,69.386,70.617,72.112,73.335,72.946,73.091,74.03,74.788,75.099,76.559,76.051,76.262,76.828,77.075,77.532,77.669,78.16,79.018,79.747,80.278,81.636,82.165,82.318,83.159,83.293,83.725,84.097,84.344,84.133,84.235,84.379,84.448,84.683,85.004,85.418,85.819,85.721,85.707,85.862,86.001,85.848,85.884,85.722,86.19,86.461,86.255,85.748,85.637,85.55,85.558,85.87,85.803,85.978,86.614,86.897,87.768,88.641,89,89.806,90.525,91.057,91.16,91.741,92.351,92.888,94.099,94.789,95.728,96.271,96.833,97.702,98.187,99.353,99.915,100.018,99.59,99.662,100.173,100.575,100.137,100.608,100.83,101.549,102.612,103.357,103.982,104.094,104.416,104.785,104.512,104.937,104.933,104.509,104.368,104.305,104.522,104.867,104.848,104.647,104.228,104.233,104.29,103.897
"27","19","    General industrial, including materials handling, equipment","B273RG3",15.339,15.551,15.737,15.847,15.965,15.957,15.929,15.921,15.928,15.973,16.003,16.014,15.955,15.961,16.05,16.09,16.097,16.107,16.129,16.199,16.249,16.259,16.312,16.357,16.481,16.568,16.702,16.85,16.969,17.11,17.346,17.544,17.752,17.873,17.987,18.116,18.318,18.539,18.762,18.949,19.117,19.258,19.454,19.727,20.03,20.363,20.687,20.978,21.216,21.474,21.7,21.85,21.922,22.013,22.045,22.182,22.294,22.426,22.593,22.821,23.145,23.528,24.292,25.518,27.141,28.716,29.834,30.519,30.977,31.393,31.944,32.576,33.259,34.026,34.731,35.294,35.927,36.516,37.162,37.936,38.729,39.643,40.713,41.831,43.152,44.484,45.824,47.074,48.241,49.259,49.999,50.459,50.247,51.015,51.17,51.419,51.692,51.754,51.552,51.81,52.096,52.181,52.15,52.303,52.341,52.44,53.213,53.873,54.957,55.837,56.439,56.44,57.683,58.668,58.778,60.233,60.983,61.812,61.597,63.06,63.259,63.366,63.907,64.555,65.61,66.305,67.26,68.226,68.956,68.651,68.968,69.735,69.983,70.283,71.533,71.254,71.505,71.886,72.219,72.792,73.176,73.498,73.91,74.448,74.998,75.852,76.314,76.622,77.075,77.224,77.478,77.737,77.889,78.029,78.083,78.266,78.403,78.573,78.853,78.995,79.273,79.25,79.266,79.537,79.585,79.648,79.923,80.093,80.348,80.567,80.739,81.067,81.122,81.148,81.516,81.654,81.988,82.25,82.491,82.782,83.334,84.281,85.069,85.837,87,87.992,88.665,89.406,89.928,90.45,91.256,91.723,92.597,93.621,94.417,95.127,96.237,97.54,99.221,99.583,99.878,99.852,100.049,100.221,100.312,100.605,100.995,101.407,102.587,103.604,104.311,104.546,105.409,105.997,106.425,106.736,107.276,107.207,107.181,107.289,108.067,108.477,108.776,108.866,109.033,108.953,108.987,108.899
"28","20","    Electrical transmission, distribution, and industrial apparatus","B276RG3",26.276,26.279,26.418,26.538,26.516,26.365,26.23,25.961,25.757,25.489,25.307,25.167,25.063,25.053,25.048,24.938,24.756,24.521,24.322,24.188,24.197,24.24,24.307,24.311,24.196,24.179,24.198,24.236,24.22,24.302,24.534,24.909,25.306,25.694,26.044,26.3,26.556,26.762,27.05,27.272,27.219,27.176,27.121,27.139,27.357,27.613,27.911,28.283,28.529,28.708,28.796,28.712,28.443,28.28,28.269,28.379,28.464,28.634,28.859,29.116,29.471,29.992,31.071,32.8,34.876,36.854,38.155,39.026,39.562,40.084,40.664,41.299,41.966,42.828,43.746,44.551,44.833,45.316,45.87,46.43,47.197,47.945,48.765,49.736,50.987,52.797,54.595,56.243,57.522,58.489,59.107,59.927,60.904,62.1,62.214,62.282,63.054,63.652,63.795,63.316,63.207,63.866,64.259,64.56,64.83,64.817,65.216,65.509,65.887,66.254,66.616,66.905,67.906,68.51,68.486,68.473,68.806,69.208,69.376,69.987,71.423,72.264,72.913,73.925,74.984,75.801,76.59,77.23,78.333,78.182,78.015,78.448,78.659,78.934,79.035,79.057,79.297,79.312,79.424,79.704,79.625,80.03,80.58,80.997,81.373,82.339,82.804,84.243,83.314,83.349,83.302,83.479,83.307,83.423,83.442,83.277,83.307,83.476,83.463,83.154,83.099,82.944,83.745,83.948,84.195,84.852,84.842,84.656,85.071,85.323,85.131,85.187,84.309,83.869,83.784,83.764,83.79,83.871,83.989,83.878,84.143,84.337,84.714,85.278,86.109,86.781,87.036,87.852,89.015,90.079,91.679,92.332,94.082,95.132,95.776,96.82,97.458,99.92,101.408,100.831,99.618,99.531,99.842,101.008,102.547,102.59,102.958,103.633,104.778,106.151,106.779,106.809,107.278,107.169,107.01,107.266,107.365,107.3,107.311,107.361,107.337,107.534,107.999,107.804,107.049,106.347,106.155,105.359
"29","21","  Transportation equipment","A681RG3",23.297,23.352,23.34,23.348,23.125,23.293,23.415,23.359,23.378,23.251,23.252,23.109,23.087,22.966,23.031,22.905,22.965,22.907,22.895,22.792,22.714,22.7,22.714,22.628,22.601,22.68,22.673,22.56,22.484,22.562,22.613,22.761,22.754,22.849,23.007,23.277,23.326,23.509,23.672,23.925,23.92,24.109,24.517,24.756,25.054,25.28,25.544,26.087,26.638,26.898,26.796,26.691,27.124,27.368,27.603,27.223,27.111,27.437,27.843,28.113,28.783,29.618,30.646,31.742,32.579,33.499,33.754,34.449,35.273,35.518,36.157,36.963,37.348,37.992,39.123,40.624,41.46,41.899,42.554,43.153,44.41,45.501,46.185,47.474,48.946,50.141,51.545,52.211,52.815,54.362,54.969,55.811,56.385,56.735,57.297,57.401,57.706,57.719,57.799,58.012,58.264,58.338,58.449,58.591,59.03,59.716,60.378,61.575,62.349,63.835,64.176,65.404,65.357,64.763,64.755,64.922,64.674,65.18,65.898,66.894,66.85,67.404,68.083,69.244,69.962,70.299,70.839,72.455,73.804,74.241,74.616,75.421,76.284,76.424,75.913,75.754,76.313,76.282,76.357,76.815,78.222,78.829,78.9,78.316,77.776,78.278,79.145,79.693,79.648,80.565,81.314,81.829,81.911,82.498,83.687,83.833,83.377,83.319,83.345,83.194,84.114,84.039,83.263,83.276,83.623,83.935,83.99,83.111,82.852,83.168,83.505,84.044,84.123,84.328,84.245,85.896,85.103,84.992,86.687,89.723,90.093,90.777,89.968,89.929,90.998,91.224,89.989,90.688,91.067,91.157,91.464,91.832,92.55,92.995,93.057,92.434,91.625,92.038,93.745,95.305,99.668,102.684,101.484,96.165,92.59,92.81,93.228,93.82,94.182,95.105,95.129,95.602,96.543,96.821,97.479,98.55,98.595,98.886,99.301,99.057,99.279,99.887,100.415,101.291,101.441,101.53,102.1,102.193
"30","22","    Trucks, buses, and truck trailers","B279RG3",20.012,20.106,20.114,19.968,19.588,19.543,19.585,19.551,19.5,19.563,19.585,19.634,19.58,19.49,19.475,19.458,19.343,19.299,19.265,19.257,19.233,19.182,19.227,19.248,19.296,19.449,19.596,19.666,19.503,19.479,19.585,19.728,19.79,19.879,20.008,20.287,20.414,20.471,20.612,20.702,20.788,20.959,21.249,21.44,21.709,22.032,22.205,22.423,23.088,23.592,23.828,23.964,24.205,24.467,24.624,24.399,24.198,24.567,24.964,25.178,25.795,26.577,27.519,28.79,29.813,30.394,30.8,31.51,32.092,32.779,33.757,34.622,35.355,36.086,37.075,38.313,38.983,39.602,40.584,40.741,41.986,43.385,43.525,44.566,45.782,46.62,48.494,50.18,51.849,53.705,54.71,56.228,55.791,56.982,58.238,58.694,58.959,58.438,58.852,59.795,60.426,61.283,61.426,61.205,61.406,61.775,61.723,63.724,64.471,65.426,64.141,65.719,65.317,64.685,64.302,64.493,64.553,64.834,65.19,67.081,67.262,67.67,68.209,69.196,69.678,70.397,70.821,73.092,73.798,73.725,74.195,75.791,76.229,76.737,76.073,76.432,77.353,77.636,78.201,78.814,80.153,80.898,81.292,81.136,81.324,82.091,82.995,83.585,83.621,84.311,84.649,85.163,85.503,86.069,87.183,87.324,86.801,86.878,87.114,87.301,88.318,88.545,87.956,87.902,87.777,88.044,87.632,86.4,85.731,85.77,85.822,86.541,86.325,86.544,86.527,88.507,87.513,87.028,88.532,91.733,91.941,92.392,90.975,91.07,91.963,91.915,90.293,90.619,90.562,90.544,90.46,90.495,90.842,91.539,91.441,90.796,89.846,89.579,89.85,91.081,97.735,104.982,103.179,94.104,89.455,90.099,90.874,91.677,91.973,92.454,92.044,92.533,93.795,94.153,94.971,95.954,95.827,96.392,97.161,97.091,97.166,97.885,98.591,99.503,99.502,99.915,100.721,101.023
"31","23","      Light trucks (including utility vehicles) \1\","W178RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.315,46.908,46.856,47.172,46.879,46.975,47.324,47.645,47.966,48.135,49.173,50.213,51.477,52.152,52.682,54.974,56.511,56.541,57.034,57.685,58.945,58.572,57.137,56.084,57.262,57.353,57.55,57.977,59.414,60.073,60.171,59.756,58.765,59.191,60.17,60.838,60.825,61.713,62.404,63.355,63.481,64.115,65.273,65.64,65.008,64.676,64.691,64.498,65.607,65.74,64.943,64.784,64.532,64.821,64.156,62.541,62.192,62.327,62.237,62.992,62.703,62.795,62.685,64.671,63.381,62.984,64.701,68.086,68.028,68.174,66.404,65.93,66.681,66.434,64.369,64.405,64.234,63.728,63.483,62.951,63.019,63.291,63.295,62.812,61.918,61.183,60.464,60.102,94.53,134.693,111.548,59.228,40.462,37.096,35.381,35.382,36.702,37.816,37.922,38.093,38.43,38.313,38.695,39.222,39.177,39.594,40.044,39.807,39.744,40.19,40.599,41.092,40.967,41.156,41.6,41.715
"32","24","      Other trucks, buses, and truck trailers \1\","W179RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.709,60.503,59.659,59.632,60.157,60.639,60.949,63.685,63.619,64.05,64.002,64.664,64.393,64.936,65.134,66.693,66.418,66.253,66.551,68.545,68.183,69.297,69.404,70.695,71.186,71.558,72.292,72.897,73.65,74.187,74.776,75.012,76.666,77.563,78.004,78.273,78.426,78.428,77.891,77.088,77.679,77.622,77.813,77.373,77.505,78.472,79.043,79.863,80.062,80.323,80.512,80.689,80.887,80.934,81.384,82.045,81.113,80.889,81.304,81.279,81.462,81.836,82.018,82.649,83.102,82.778,82.516,82.757,83.547,84.46,85.004,86.485,87.036,87.46,88.205,89.054,89.368,90.652,90.988,92.364,93.035,94.464,94.547,94.797,95.83,96.61,97.341,98.851,99.474,99.632,100.039,100.854,101.277,101.713,102.554,103.116,103.829,104.296,104.818,105.931,106.794,107.35,107.531,107.957,108.157,108.133,108.471,109.49,109.962,109.907,110.054,110.489,111.087,111.457,111.829,112.216
"33","25","    Autos \1\","B280RG3",41.726,41.765,41.642,41.75,41.26,41.901,42.18,42.01,42.117,41.497,41.351,40.627,40.6,40.215,40.365,39.681,40.048,39.83,39.881,39.5,39.256,39.311,39.331,38.799,38.509,38.502,38.174,37.469,37.369,37.692,37.555,37.807,37.334,37.362,37.61,38.193,37.869,38.407,38.692,39.464,38.92,39.097,40.037,40.196,40.494,40.306,40.724,42.517,43.428,43.318,42.2,41.312,42.354,42.568,42.846,41.18,40.868,41.23,41.906,42.2,43.121,43.96,44.945,45.362,45.269,47.039,46.658,47.482,48.81,47.889,47.974,48.86,48.589,49.18,50.971,53.731,55.377,55.294,55.399,56.545,58.173,58.723,60.129,62.459,64.559,66.182,67.226,65.579,64.221,66.024,65.445,65.063,64.631,64.386,64.485,63.942,64.171,64.336,63.892,63.366,63.222,62.451,62.368,62.741,63.619,64.955,66.731,67.434,68.606,71.35,73.563,75.215,75.181,74.318,74.732,75.02,74.187,74.611,75.832,76.127,75.267,76.003,76.939,78.527,79.294,79.161,79.489,81.423,83.647,84.229,84.306,85.044,86.163,85.628,84.683,83.812,84.078,83.359,82.724,82.833,84.833,85.357,84.873,83.22,80.729,80.528,81.306,81.689,81.35,82.977,84.545,85.2,84.73,86.094,88.406,88.641,87.931,87.298,86.983,85.896,87.392,86.282,84.069,83.589,84.303,84.15,83.867,81.436,80.752,81.187,81.338,81.944,82.757,82.889,82.135,83.969,82.427,82.075,84.053,88.693,89.168,90.32,88.16,86.467,87.365,87.481,85.56,87.142,87.773,87.201,88.061,88.759,89.829,90.115,89.552,88,86.541,87.529,91.052,92.772,99.938,104.989,102.243,92.83,85.722,84.811,84.351,84.761,84.91,86.899,86.965,86.977,87.632,87.638,88.169,89.394,89.479,89.278,89.258,88.098,88.203,88.776,88.808,89.7,89.744,89.295,89.569,89.203
"34","26","    Aircraft","B281RG3",11.837,11.898,11.943,12.009,11.991,11.953,11.986,11.966,12.023,12.036,12.134,12.169,12.224,12.3,12.508,12.913,13.039,13.191,13.056,12.939,12.795,12.75,12.719,12.82,12.962,13.061,13.098,13.105,13.114,13.15,13.249,13.387,13.564,13.704,13.805,13.875,14.003,14.083,14.179,14.266,14.376,14.514,14.696,14.993,15.199,15.462,15.669,15.879,16.064,16.226,16.269,16.373,16.468,16.428,16.558,16.852,16.948,17.04,17.261,17.547,18.152,18.899,19.437,19.802,19.989,20.151,20.515,21.08,21.951,22.719,23.376,23.906,24.094,24.378,24.967,25.774,25.872,26.327,26.946,27.639,28.403,29.252,30.139,30.984,31.921,32.87,33.736,34.561,35.22,36.009,36.879,37.857,39.964,40.247,40.557,41.015,41.385,41.58,41.782,41.965,42.199,42.415,42.689,42.993,43.233,43.438,43.768,44.234,44.419,44.939,44.99,45.105,45.631,45.585,45.698,45.66,45.522,46.495,46.978,47.342,47.993,48.278,48.763,49.554,50.627,51.126,52.177,52.72,53.66,54.475,55.208,55.256,56.433,57.014,57.222,57.387,57.937,58.273,58.327,58.916,59.455,59.843,60.536,60.857,61.49,62.362,63.202,63.921,64.092,64.52,65.243,65.682,65.764,65.786,65.933,65.867,65.837,65.971,65.838,65.986,66.273,66.549,66.594,67.299,68.345,69.315,70.481,71.55,72.459,73.183,74.232,74.432,74.147,74.262,74.919,75.711,76.076,77.09,79.117,79.665,80,80.348,83.236,84.668,85.63,86.441,87.335,88.001,89.246,90.563,91.215,92.209,92.828,92.809,93.876,94.949,95.583,96.651,98.366,100.954,101.775,99.585,99.125,99.515,100.165,100.457,101.474,101.974,102.466,102.962,104.175,105.332,106.09,106.538,107.323,107.445,107.839,108.126,108.842,109.322,110.078,110.487,111.175,111.423,112.073,111.992,112.095,112.001
"35","27","    Ships and boats","B282RG3",13.122,13.069,13.042,13.079,13.29,13.463,13.673,13.682,13.6,13.507,13.502,13.537,13.459,13.508,13.607,13.764,13.761,13.776,13.776,13.844,13.902,13.947,13.983,14.169,14.137,14.16,14.151,14.254,14.341,14.494,14.581,14.651,14.774,14.816,14.97,15.214,15.313,15.439,15.583,15.775,15.925,16.185,16.411,16.638,16.9,17.136,17.352,17.623,17.821,17.928,18.119,18.358,18.556,18.769,19.012,19.269,19.606,20.134,20.308,20.675,21.139,22.172,23.731,24.747,25.338,25.595,25.575,26.004,26.492,26.816,27.252,27.867,28.214,28.596,29.398,30.215,30.61,31.192,31.797,32.391,33.086,34.198,34.937,35.603,36.636,37.403,38.056,38.868,39.73,40.587,41.869,43.266,46.847,46.168,46.127,46.092,46.365,47.781,48.273,48.555,49.309,48.818,49.753,51.092,50.656,51.381,51.42,51.45,52.786,52.909,53.299,53.324,54.127,54.341,54.162,53.947,54.658,54.955,55.561,56.662,56.978,57.261,58.101,58.987,59.531,59.885,60.244,60.57,61.236,61.502,61.867,62.019,62.412,62.81,63.016,63.345,64.071,64.867,65.515,65.719,66.456,66.939,66.162,66.982,67.297,67.525,67.885,68.223,68.575,68.969,69.74,70.564,70.748,70.885,71.217,71.533,71.723,72.051,72.25,72.289,72.633,72.798,72.959,73.459,74.151,74.329,75.291,75.952,76.323,76.664,76.942,77.486,77.853,78.406,79.438,79.955,81.345,81.904,82.472,83.48,84.334,85.309,85.652,85.829,86.43,87.343,88.342,89.08,89.429,90.298,91.208,92.264,94.238,93.743,94.749,95.197,95.749,96.092,97.429,98.304,99.231,100.05,100.264,100.455,100.444,102.047,101.99,102.431,102.872,103.546,104.209,104.531,104.529,104.931,105.049,104.794,104.86,104.852,105.088,106.094,106.391,106.844,106.868,107.301,107.631,107.979,108.61,108.448
"36","28","    Railroad equipment","B283RG3",14.316,14.372,14.459,14.572,14.696,14.798,14.879,14.896,14.957,15.035,15.114,15.156,15.148,15.075,15.033,15.006,15.045,15.069,15.078,15.07,15.092,15.084,15.047,15.039,15.053,15.067,15.067,15.075,15.108,15.139,15.139,15.139,15.194,15.267,15.369,15.456,15.544,15.675,15.741,15.874,16.087,16.286,16.484,16.785,17.174,17.481,17.641,17.673,17.64,17.708,17.952,18.219,18.63,19.171,19.687,20.141,20.266,20.397,20.566,20.758,21.101,21.79,23.217,25.323,27.714,29.442,30.635,31.243,31.768,32.385,33.075,33.793,34.86,36.012,36.695,36.993,37.712,38.543,39.186,39.999,41.093,42.063,42.679,43.512,45.13,46.618,47.898,49.043,50.123,51.34,52.346,52.974,53.53,53.524,53.803,54.171,54.209,54.818,55.433,55.451,55.308,55.225,55.416,55.434,55.947,56.155,56.22,56.113,56.243,55.806,55.654,55.638,55.792,55.21,55.454,55.717,56.056,57.222,58.083,58.707,59.924,61.395,61.763,62.451,62.783,62.918,63.457,64.102,64.532,64.657,64.821,64.592,64.815,64.971,64.855,64.554,64.431,64.762,65.472,66.307,66.65,67.177,67.612,68.127,69.598,70.846,72.171,73.032,73.276,73.374,73.249,72.86,73.184,71.518,71.421,71.762,71.946,72.516,72.554,72.097,71.998,72.186,72.712,72.481,72.556,72.701,72.752,72.79,72.809,72.716,72.333,72.323,72.313,72.712,72.711,72.59,73.034,73.689,74.236,74.383,76.3,78.372,78.442,81.459,87.149,89.277,89.614,89.871,92.44,94.518,95.25,95.631,97.743,97.931,99.816,99.473,98.757,99.983,102.376,101.093,101.124,100.106,99.21,99.56,100.132,100.211,99.988,99.38,100.882,101.875,102.594,102.85,103,103.347,103.097,106.289,106.809,107.19,106.151,106.51,107.104,107.126,107.937,109.79,110.374,109.749,110.411,111.455
"37","29","  Other equipment","B682RG3",16.26,16.366,16.444,16.443,16.468,16.547,16.591,16.645,16.584,16.575,16.603,16.577,16.676,16.692,16.699,16.675,16.735,16.743,16.802,16.897,16.947,17.023,17.085,17.059,17.145,17.188,17.253,17.315,17.403,17.54,17.651,17.834,17.94,18.047,18.166,18.325,18.471,18.64,18.854,19.046,19.207,19.416,19.61,19.809,20.02,20.216,20.365,20.619,20.909,21.09,21.22,21.261,21.557,21.791,21.763,21.791,21.989,22.331,22.651,22.94,23.389,24.212,25.72,27.311,28.545,29.332,29.806,30.347,30.924,31.45,31.957,32.535,33.273,33.904,34.576,35.294,35.879,36.712,37.508,38.274,39.036,39.898,40.945,41.936,43.346,44.637,45.914,47.169,48.411,49.691,50.827,51.868,52.89,53.388,53.743,54.172,54.526,54.729,54.729,55.044,55.371,55.766,56.035,56.066,56.339,56.638,57.149,57.468,57.888,58.433,58.924,59.223,59.751,60.179,60.523,61.188,62.066,62.686,63.187,64.025,64.619,65.056,65.714,66.259,67.007,67.436,68.167,68.856,69.375,69.536,69.895,70.222,70.587,70.958,71.412,71.617,71.954,72.353,72.661,72.953,73.417,74.01,74.495,74.829,75.301,75.898,76.371,76.899,77.233,77.484,77.784,78.176,78.492,78.622,78.62,78.938,79.092,79.227,79.436,79.56,79.813,80.063,80.223,80.44,80.627,80.751,80.932,81.109,81.516,81.69,81.811,82.134,82.191,82.259,82.661,82.928,83.198,83.487,83.691,83.948,84.3,85.024,85.896,86.718,87.7,88.516,89.125,89.702,90.419,90.937,91.732,92.449,93.252,93.694,93.973,94.808,95.653,97.027,98.861,99.961,100.188,99.936,99.87,100.005,99.788,99.985,100.358,100.621,101.263,102.237,103.128,103.787,104.429,104.636,104.961,105.276,105.23,105.427,105.566,105.86,106.324,106.581,106.831,106.948,107.106,107.397,107.296,107.278
"38","30","    Furniture and fixtures","B667RG3",18.066,18.079,18.126,18.06,18.165,18.212,18.141,18.093,18.133,18.095,18.023,18.008,18.054,18.034,18.064,18.175,18.045,17.983,18.032,18.151,18.239,18.29,18.32,18.28,18.335,18.36,18.341,18.454,18.524,18.661,18.773,18.964,19.2,19.371,19.535,19.645,19.858,20.06,20.282,20.508,20.748,21.086,21.357,21.659,21.879,21.994,22.211,22.394,22.635,22.9,23.033,23.164,23.287,23.412,23.489,23.772,24.141,24.665,25.41,25.822,26.569,27.6,29.199,30.827,31.355,31.311,31.436,31.826,32.199,32.706,33.244,33.95,34.72,35.443,36.252,36.96,37.944,39.124,39.8,40.207,41.358,42.387,42.745,43.215,44.032,44.799,45.654,46.695,47.537,48.2,48.85,49.619,50.186,50.953,51.293,51.361,52.057,52.304,52.57,52.889,53.4,53.848,54.115,54.41,54.972,55.572,56.333,56.667,57.177,57.742,57.965,58.48,59.019,59.419,59.806,60.345,61.649,62.602,63.548,64.033,64.453,64.927,65.836,66.191,66.996,67.575,67.989,68.634,69.078,69.091,69.364,69.227,69.638,69.767,70.082,70.103,70.456,70.896,71.265,71.411,72.017,73.315,73.886,74.049,74.433,75.197,75.766,76.518,76.894,76.923,77.099,77.798,78.022,78.368,78.483,78.638,78.781,78.79,78.7,78.664,78.69,78.817,79.143,79.237,79.334,79.446,79.711,79.923,80.41,80.61,80.664,80.918,81.049,80.789,81.583,82.093,82.244,82.482,82.619,82.795,83.191,84.142,85.257,86.464,87.8,88.915,89.436,89.673,89.91,90.322,91.009,91.437,92.267,92.566,92.514,93.16,94.138,96.511,99.079,100.265,100.466,99.897,99.76,99.878,99.014,99.398,99.801,99.979,101.098,102.341,103.374,104.228,104.935,105.148,105.305,105.498,105.07,105.509,105.688,106.036,106.529,107.253,108.155,107.973,108.004,108.438,108.493,108.388
