"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"46","35","Q1TRN1 C Transportation","Q1TRN10",633380,599823,595019,598850,588481,591067,592569,587090,586698,577361,570551,560890,530124,540911,568707,543856,542029,549719,556281,547218,559166,543147,545844,560736,567427,571558,567794,563032,577549,586032,584257,584282,591485,591588,584530,603689,594037,587850,586706,602759,611575,604654,610995,607308,613325,619264,624786,628328,636222,644185,634814,652036,629941,636538,639644,643434,640523,652249,655117,653914,644645,640557,651294,636410,644372,664744,646950,662499,665409,653828,664633,679883,665947,677656,684244,690073,688938,680165,685311,693393,690099,695672,698608,695237,716180,714003,723861,710402,706348,717101,729715,745538,729365,731183,749608,756009,740579,742815,748892,762760,784138,770697,764100,781586,796504,814187,811542,833663,801685,812370,813752,831418,838254,845730,843673,842828,836231,832468,832784,847445,859880,881352,868926,846285,847386,833338,836624,846490,859684,853761,850381,857047,853112,862048,862551,868167,867621,867996,870846,873757,844211,936381,909020,878860,882206,910975,912929,906511,875276,883238,901621,903516,865948,858233,876752,915984,884749,879645,884032,883076,887019,884826,906716,937721,914619,898054,917546,936185,899095,891679,898685,894529,914107
"47","36","Q1USE1 C   User-operated transportation","Q1USE10",589347,555072,552087,555929,545269,548094,549460,543895,543054,533219,526218,517328,486966,498237,527075,500325,498856,506786,512914,504294,516772,500436,504000,516248,525035,529131,525353,521344,536220,543006,538728,540307,547610,550412,542530,560493,551793,545443,544649,560057,568875,561604,568177,564073,569161,575535,580195,583497,591760,599118,588752,606461,583179,589791,592379,596404,592943,604103,606080,605238,595689,592419,603690,588418,596205,616883,599412,614089,617018,604881,615018,629909,616042,626091,632743,638442,636545,629361,633314,641442,637553,643086,647904,640696,662954,660676,669621,656810,653357,663351,675702,692300,675519,678234,696507,701714,686108,687593,693244,706826,727940,714652,707945,725432,740006,757453,754690,776869,743959,754627,756254,773987,780583,787712,785441,784330,777702,773170,773400,790156,800888,822336,808699,786203,786727,773225,776654,787291,799626,794332,790101,799213,792903,802142,803293,807961,808207,808564,810985,813485,794276,883076,853722,823947,823963,851642,852619,847483,815827,823582,842180,844403,807588,799840,818931,856651,824471,821098,825535,824765,828416,825813,847134,879067,855270,839370,858191,878162,839648,830647,837346,832298,852627
"48","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10575,10734,10906,10473,10751,10705,10692,10790,11021,11564,11540,11159,10742,10916,10928,10815,10811,10908,10832,10832,10834,10747,10711,10643,10750,10747,10758,10750,10818,10712,10642,10523,10563,10581,10553,10582,10537,10475,10479,10617,10636,10692,10788,10923,10866,11005,11049,11241,10835,11131,11133,11283,11287,11354,11303,11111,11300,11288,11338,11382,11356,11338,11420,11317,11379,11269,11136,11165,11209,11047,11053,11133,10973,11097,10943,10986,10957,11038,11148,10914,10954,10898,10765,10840,10828,10884,10812,10962,10750,10943,11004,11024,11043,10966,11067,11161,11451,11678,11719,11661,11740,11436,11834,11974,11977,12067,12148,12147,12138,12009,11971,12007,12230,12088,11986,12090,12082,12294,12116,12110,12383,11970,12205,12328,12221,12211,12299,12164,12214,12229,12205,12295,12312,12328,12238,12412,12344,12352,12455,12307,12320,12223,12209,12396,12184,12234,12218,12149,12163,12365,12163,12174,12428,12281,12290,12353,12160,12175,12272,12127,12133,12247,12239,12232,12225,12221,12218,12215,12113,12013,11914,11816,11719
"49","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",33418,33823,32007,32387,32335,32184,32317,32280,32490,32446,32600,32185,32116,31503,30651,32426,32096,31798,32289,31834,31395,31689,30927,33514,31492,31540,31499,30779,30456,32214,34688,33284,33146,30593,31361,32532,31661,31832,31513,32061,32082,32312,32054,32278,33215,32712,33493,33547,33608,33905,34800,34255,35314,35246,35820,35776,36140,36714,37564,37139,37503,36668,36008,36536,36648,36476,36269,37114,37074,37759,38422,38696,38800,40394,40471,40539,41394,39645,40773,40963,41546,41627,39848,43742,42344,42390,43400,42566,42182,42746,42962,42148,42718,41914,41996,43082,42922,43413,43799,44181,44416,44555,44216,44125,44497,44683,44702,44674,45545,45698,45507,45443,45453,45954,46260,46413,46455,47011,47275,45162,46582,47014,48001,47739,48426,47896,47661,47032,47853,47223,48092,45580,48011,47676,47111,47909,47134,47172,47530,48140,36904,40366,42704,42156,46020,47031,48117,46794,47408,47356,47238,46831,45918,46175,45381,46784,48369,46339,46112,46108,46402,46735,47242,46143,47005,46301,46980,45510,47284,49252,49696,50883,50013
"50","39","Q1RCR1 C Recreation","Q1RCR10",273598,274330,276034,277299,275642,275015,276515,276134,277586,278254,280357,277721,274957,278102,279437,277212,279525,280743,283356,282477,284170,283649,282752,284305,291087,290923,288399,290255,291567,293781,296868,298022,300488,303510,304488,309894,315336,311909,313163,317637,321216,320420,325017,325925,329211,329188,331654,334442,333692,336855,342062,343631,346695,350853,352616,355258,356663,362251,364225,366093,369028,367072,373093,372390,378663,384356,384005,389006,393798,393593,397523,400328,398612,399555,404346,408587,409987,415949,419680,419141,420114,425034,426621,432935,430082,436970,440291,442236,444304,446248,450172,451110,453359,456399,460182,462349,468534,472131,472699,476711,481010,485309,492045,496215,498769,503747,505891,510975,512779,521618,526573,529390,533666,538878,542065,547951,555788,557036,558951,566553,567057,574314,582819,582760,581536,581471,587592,589115,594878,593982,596864,596155,601497,599183,602270,602815,606686,607676,613428,618032,604923,619666,628036,629869,636593,639662,642544,646702,649209,647059,653180,653256,656689,659898,661632,668848,668368,666775,674143,680931,685992,695164,700424,706591,709965,714580,714434,717819,719243,729534,736381,731273,734858
"51","40","Q1TED1 C Education and research","Q1TED10",124820,125072,125211,125124,125399,125506,125976,126320,126058,125891,125891,125865,125652,125910,126366,126680,126882,127026,127316,127466,127763,127897,128277,128454,129296,129690,129949,130028,129992,130385,130902,131375,131466,131100,130920,131015,131238,131538,131669,131726,131701,132309,132836,133295,133644,133465,133495,133712,133850,133922,133814,133952,134174,134513,134928,135267,135083,135288,136059,136546,136818,137150,137530,137749,138087,138244,138273,138726,139137,139546,139910,140312,140904,141275,141618,142093,142427,142712,143283,143974,143881,143460,143519,143619,143388,143483,143835,144382,144883,145380,145895,146361,146942,147361,147867,148354,149425,150109,150730,150987,151265,151852,152124,152163,152189,153193,154284,154475,154742,155412,155846,156411,156685,157133,157682,158036,158100,158278,159122,159975,161013,161632,162115,162480,163013,163542,164176,164555,164989,165484,165993,166257,166604,167030,167451,168034,168908,168925,168398,168193,168244,169097,169629,170152,170731,171468,172022,171832,171869,171994,172498,172361,172158,172041,172184,172472,172698,172803,173112,173571,173668,173319,173288,173198,173307,173560,172769,173090,173158,173289,173448,173743,174120
"52","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",115725,116952,118530,119594,120744,121655,122916,124093,124458,123591,123633,122866,122234,122173,121863,121834,122044,122553,122845,123044,123106,123409,123982,124077,125073,127121,128209,129907,130083,130938,132271,134195,134912,135050,134452,133861,132500,131625,132018,132481,132908,133374,133742,134185,134471,134406,134366,135028,136135,136678,137333,138015,139168,140396,141531,142408,143475,144345,144839,144110,142339,141493,141595,141872,141878,142191,142138,142315,142634,143039,143552,144086,145323,146886,148073,148242,149033,150209,150860,151377,151779,152532,152859,151748,149589,148364,148188,148598,148845,148855,149446,149610,149820,150183,150550,150943,151818,152971,154205,155205,156213,157600,159140,160017,161030,161403,161957,161697,160781,160214,160512,160386,160820,161570,162030,162379,162803,163608,164623,165358,166959,168120,169445,170503,171211,171636,172389,173400,174500,175707,177087,176452,175406,175290,176240,177079,177542,178395,179659,180631,181286,182071,183038,183798,183970,184659,185097,185793,186902,188306,189693,190741,190834,190722,191313,191066,189411,187645,187459,187664,187288,186997,187266,187140,187156,187746,190572,191209,192465,193601,194991,195577,196137
"53","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-9108,-10121,-10715,-10390,-10775,-11240,-11767,-12415,-14320,-16478,-19766,-20502,-18525,-16187,-16379,-17978,-20516,-22494,-22661,-23046,-23841,-24685,-25534,-25576,-27145,-28555,-26244,-30474,-27537,-26609,-27088,-30625,-28021,-28942,-26625,-25374,-27241,-30290,-27500,-29222,-30403,-29217,-29043,-28019,-25748,-28837,-19704,-27334,-20215,-21214,-30190,-23716,-23276,-26771,-26718,-23441,-24009,-24579,-29401,-28899,-31207,-23536,-22703,-30666,-30820,-20433,-33124,-32302,-36197,-33012,-34917,-36863,-31884,-27414,-34411,-31059,-37853,-36275,-25223,-27239,-27636,-40701,-41032,-36850,-33376,-29996,-30515,-31512,-29974,-28210,-26621,-28047,-29345,-28415,-24612,-22789,-22681,-20612,-18050,-22353,-20302,-16659,-13527,-14565,-13213,-15082,-15797,-20055,-19584,-18871,-16741,-16463,-17736,-18334,-16809,-16307,-17478,-17948,-18334,-17251,-19018,-16651,-12496,-17282,-13236,-12931,-11104,-10732,-9958,-10095,-10742,-12030,-12610,-14352,-15755,-5326,-4045,-6858,-6407,-4670,-5047,-2113,-4945,-6658,-5432,-6883,-9695,-8056,-7923,-6292,-9205,-12122,-10668,-13904,-16759,-13971,-9484,-12316,-9547,-11145,-16866,-16537,-15308,-16387,-19327,-19756,-24553,-22398,-18953,-24074,-22641,-22852,-19787
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","  Business annually (NIPA table 2.5.6 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
