"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115"
"59","51","  Retail trade industries","PK443",99.735,99.984,99.984,99.732,99.456,99.175,99.094,99.055,99.142,99.002,98.851,98.728,98.579,98.3,97.954,97.903,97.906,97.77,97.91,97.9,97.595,97.588,97.491,97.433,97.43,97.113,97.065,98.01,98.016,98.107,98.507,98.704,99.055,98.955,98.844,99.087,99.129,99.452,100.21,99.923,99.862,100.312,100.28,99.795,100.342,100.172,100.257,100.251,100.366,100.362,100.127,100.299,100.659,100.576,99.969,99.54,99.847,99.152,98.53,97.996,98.024,97.791,98.24,98.881,98.527,98.416,98.44,98.583,98.514,98.398,98.239,98.02,98.217,98.792,99.111,98.458,97.585,97.513,97.47,97.672,97.81,97.297,96.938,96.966,97.537,97.965,98.505,98.663,99.349,99.286,98.853,98.845,99.013,99.767,99.649,99.382,99.458,99.742,100.328,100.804,100.545,100.356,100.549,101,102.33,102.148,100.875,100.646,101.258,101.162,101.519,102.119
"60","52","    Motor vehicle and parts dealers","PK4413",99.513,99.847,100.314,99.858,99.649,99.213,99.095,98.851,98.834,98.784,98.622,98.505,98.579,98.642,98.477,98.455,98.272,98.292,98.694,98.87,98.822,98.819,99.124,99.022,98.81,98.402,98.302,98.439,98.525,98.767,99.075,99.332,99.724,99.648,99.735,99.524,99.421,99.304,99.726,99.896,100.124,100.158,100.048,99.963,99.994,100.11,100.453,100.897,101.175,101.225,101.303,101.239,101.1,100.946,100.954,100.728,100.219,100.558,100.735,100.827,100.599,99.946,99.65,99.628,99.576,99.534,99.742,99.894,99.836,99.617,99.301,99.057,98.8,98.719,98.815,98.643,98.472,98.233,97.862,97.672,96.694,95.753,95.231,95.016,95.103,95.312,95.368,95.444,95.61,95.488,95.517,95.685,96.289,96.427,96.835,97.163,97.701,97.847,97.758,97.844,98.1,98.278,98.096,98.078,98.166,98.337,98.088,98.128,98.531,98.608,98.823,98.943
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.867,125.012,124.453,123.45,122.895,122.48,121.537,120.206,119.794,119.115,118.416,118.225,117.335,116.436,116.411,116.487,115.187,114.353,113.738,112.335,111.563,111.052,109.984,109.466,108.79,107.984,107.404,107.408,106.362,105.914,105.57,104.694,104.308,103.507,102.704,102.437,102.223,101.724,101.672,101.072,100.93,100.111,99.78,99.147,99.304,98.602,98.093,97.474,96.517,95.911,94.917,94.629,93.491,92.796,92.556,91.525,90.848,90.381,90.101,89.486,88.791,87.901,87.325,87.197,87.13,86.689,86.232,85.826,85.168,84.66,83.868,83.279,82.885,82.317,81.809,81.636,80.299,79.697,79.266,78.254,77.699,77.752,77.484,77.097,77.205,77.074,76.678,76.503,76.175,75.989,75.328,74.824,74.67,74.858,74.051,73.46,73.533,72.989,73.036,72.839,72.66,71.924,71.503,70.837,70.6,70.254,70.037,69.799,69.351,69.08,68.843,68.451
"62","54","    Building material and garden equipment and supplies dealers","PK4443",101.564,102.173,102.629,102.687,102.909,102.484,102.618,102.338,102.075,101.518,101.526,101.265,101.621,101.808,101.838,101.639,100.86,100.082,100.212,100.523,99.757,98.948,98.853,99.104,99.261,99.794,100.183,100.12,100.64,101.544,102.639,102.167,101.024,100.185,100.252,100.663,100.801,100.759,101.404,101.041,100.228,100.183,99.874,99.189,99.147,99.169,99.203,99.013,98.763,99.192,99.325,99.234,100.653,100.921,100.037,100.106,99.798,98.792,98.375,98.094,98.323,98.841,99.508,99.775,99.374,99.191,99.146,99.232,98.873,98.45,98.503,98.313,98.262,98.747,98.651,98.612,98.68,98.771,99.329,99.577,101.019,101.104,101.192,101.104,101.671,103.362,104.534,105.468,106.332,105.433,105.114,106.375,106.579,105.796,104.874,105.246,106.07,107.16,107.605,107.688,107.106,107.747,107.404,106.958,107.902,108.415,107.587,107.704,108.356,108.99,108.971,109.034
"63","55","    Food and beverage stores","PK4453",92.617,92.953,92.962,93.039,93.116,93.138,93.299,93.4,93.543,93.673,93.811,93.763,94.167,94.208,94.248,94.445,94.725,94.727,94.951,95.145,95.245,95.593,95.651,96.159,96.726,96.732,96.569,96.896,97.049,97.116,97.342,97.435,97.96,98.036,98.184,98.314,98.45,98.761,99.11,99.361,99.766,99.855,100.399,100.575,100.791,100.709,100.899,101.25,101.534,101.909,102.082,102.411,102.609,102.947,103.471,103.546,103.819,103.939,104.133,103.869,104.177,104.553,104.556,105.182,104.557,104.693,104.889,104.899,105.11,104.841,105.138,105.252,105.16,105.624,105.743,105.767,105.724,106.19,106.254,106.59,106.726,107.015,107.299,107.931,107.776,108.041,108.374,108.553,109.217,109.336,109.464,109.495,109.401,109.958,110.139,110.159,110.074,110.04,110.253,111.105,111.162,110.996,111.305,111.32,111.734,111.89,112.058,112.177,112.663,112.668,112.836,112.938
"64","56","    Clothing and clothing accessories stores","PK4483",105.537,105.42,105.356,105.931,106.326,106.077,105.865,104.895,105.102,104.794,104.764,104.897,104.633,103.857,103.346,103.128,103.468,103.24,103.303,104.424,103.066,102.892,103.04,102.196,101.76,101.302,100.964,101.976,102.019,101.916,101.602,101.316,101.445,101.646,101.384,101.336,100.751,100.504,100.462,100.329,99.992,99.601,99.39,99.345,99.988,100.009,99.901,99.802,100.135,100.026,100.176,99.189,98.376,98.668,98.441,97.711,97.202,97.489,97.022,96.755,96.492,96.314,97.002,96.766,96.331,95.772,95.166,95.827,95.542,95.174,95.077,94.79,94.324,94.11,93.567,93.281,92.994,93.191,93.283,93.277,93.318,93.341,93.086,92.603,92.824,92.764,93.318,93.335,93.777,93.659,93.18,92.88,92.65,92.88,93.015,92.63,92.652,92.548,93.207,92.427,92.568,91.817,91.124,92.05,92.107,91.711,91.845,91.583,91.752,90.773,91.53,92.118
"65","57","    General merchandise stores","PK4523",100.931,101.044,100.984,101.32,101.446,101.268,101.244,100.77,100.84,100.745,100.801,100.71,100.852,100.666,100.499,100.617,100.708,100.445,100.561,100.959,100.456,100.46,100.392,100.279,100.371,100.04,99.755,100.348,100.307,100.306,100.213,100.053,100.273,100.325,100.104,100.054,99.865,99.768,100.005,100.106,100.074,99.945,100.061,99.961,100.182,99.992,100.023,100.004,100.114,100.213,100.08,100.008,99.677,99.778,99.826,99.507,99.543,99.512,99.463,99.079,99.032,99.032,99.093,99.288,98.831,98.596,98.419,98.546,98.38,98.021,97.999,97.725,97.492,97.484,97.288,97.267,96.83,96.955,96.994,96.828,96.742,96.755,96.734,96.711,96.769,96.898,97.1,97.067,97.306,97.206,96.85,96.663,96.605,97.188,97.154,96.721,96.793,96.806,97.068,97.108,97.213,96.73,96.497,96.658,96.762,96.753,96.731,96.588,96.649,96.393,96.607,96.77
"66","58","      Department stores","PK45213",103.524,103.548,103.477,103.939,104.108,103.867,103.736,103.1,103.166,102.945,103.049,102.931,102.989,102.707,102.492,102.529,102.588,102.225,102.323,102.838,102.101,102.049,101.941,101.533,101.486,101.102,100.822,101.449,101.397,101.416,101.138,100.923,101.045,101.133,100.811,100.728,100.41,100.131,100.287,100.311,100.138,99.888,99.932,99.798,99.961,99.792,99.731,99.638,99.703,99.737,99.506,99.242,98.601,98.655,98.553,98.086,98.081,98.051,97.97,97.544,97.4,97.312,97.343,97.391,96.972,96.648,96.302,96.494,96.164,95.824,95.687,95.254,94.9,94.69,94.383,94.402,93.846,93.832,93.85,93.538,93.36,93.342,93.222,92.981,93.031,93.057,93.252,93.175,93.251,93.056,92.568,92.25,92.133,92.662,92.538,91.952,92.069,92.066,92.357,92.046,92.155,91.51,91.022,91.148,90.981,90.845,90.876,90.722,90.504,90.077,90.402,90.541
"67","59","      Other general merchandise stores","PK45293",96.795,97.076,97.037,97.14,97.185,97.124,97.299,97.121,97.198,97.336,97.303,97.26,97.558,97.538,97.456,97.711,97.855,97.761,97.9,98.104,97.986,98.083,98.082,98.443,98.755,98.504,98.207,98.749,98.725,98.693,98.881,98.805,99.172,99.169,99.097,99.09,99.086,99.25,99.602,99.812,99.981,100.019,100.232,100.175,100.476,100.259,100.413,100.491,100.651,100.834,100.822,100.99,101.031,101.189,101.41,101.264,101.347,101.314,101.299,100.959,101.019,101.112,101.206,101.557,101.06,100.914,100.908,100.973,100.969,100.591,100.683,100.562,100.446,100.63,100.538,100.481,100.152,100.405,100.464,100.43,100.425,100.467,100.534,100.699,100.764,100.982,101.191,101.195,101.571,101.55,101.3,101.217,101.205,101.839,101.878,101.565,101.599,101.624,101.867,102.18,102.282,101.916,101.872,102.061,102.366,102.451,102.389,102.253,102.517,102.38,102.518,102.699
"68","60","    Other retail stores","PK44X3",96.659,96.809,96.304,95.581,94.513,94.204,94.082,94.935,95.308,95.161,94.738,94.547,93.623,92.788,91.746,91.474,91.911,91.975,91.967,91.351,91.118,91.311,90.828,90.648,90.645,90.056,90.279,93.204,93.092,92.947,93.901,94.876,95.9,95.944,95.64,96.71,97.13,98.627,100.688,99.425,99.11,101.212,101.045,99.533,101.285,100.784,100.771,100.334,100.519,100.186,99.287,100.224,101.821,101.398,98.999,98.058,100.096,97.298,94.772,93.214,93.573,93.191,95.04,97.178,96.687,96.663,96.814,97.089,97.236,97.74,97.496,97.266,98.755,100.932,102.493,100.148,97.446,97.182,97.215,98.371,99.566,98.238,97.287,97.565,99.516,100.22,101.61,101.772,103.577,103.889,102.665,102.272,102.421,104.915,104.533,103.502,102.86,103.632,105.49,107.086,105.927,105.499,106.887,108.805,113.464,112.493,107.95,107.118,108.736,108.474,109.397,111.511
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
