"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163"
"42","34","    Other","B853RG3",62.292,62.455,62.45,62.429,63.239,63.203,63.178,63.136,65.071,65.009,64.919,64.789,66.054,68.419,79.632,80.36,86.802,81.487,82.611,78.643,83.102,85.911,93.133,95.261,97.804,106.646,102.958,104.683,106.242,114.659,121.303,124.987,117.526,134.373,131.318,130.448,127.346,129.898,130.62,125.076,131.718,133.196,147.322,140.173,138.562,153.765,155.758,149.57,155.521,157.888,153.406,160.272,166.749,173.942,174.866,177.653,178.981,172.929,166.906,168.677,165.925,164.306,159.304,155.374,155.751,153.504,150.148,149.142,148.154,144.875,140.124,134.849,126.9,125.175,126.189,128.37,132.266,135.278,138.724,139.346,144.714,148.803,147.558,153.79,158.271,161.088,156.395,158.918,158.725,156.909,153.521,149.81,147.831,146.15,146.483,148.294,149.144,144.44,140.291,140.859,141.608,139.248,141.361,140.731,138.435,139.397,140.989,141.114,140.318,140.877,141.742,141.901,141.532,143.329,140.456,136.074,131.441,125.119,119.035,112.644,109.002,107.82,107.148,105.837,104.115,103.324,101.929,102.584,102.751,101.836,100.998,100.756,100.351,100.411,99.852,99.387,99.223,98.765,98.455,98.251,96.888,96.527,96.531,96.175,96.489,96.821,97.235,97.161,97.419,97.145,97.488,97.738,98.859,99.302,99.02,98.925,99.326,99.885,100.604,100.806
"43","35","  Automotive vehicles, engines, and parts","B651RG3",14.872,15.03,14.635,14.873,15.664,15.429,15.035,15.749,15.752,15.833,15.755,17.417,17.414,17.255,18.125,18.363,19.155,19.314,19.157,19.95,20.667,20.983,21.376,22.163,22.551,24.752,25.208,25.817,24.278,25.841,27.892,29.412,32.279,32.649,33.081,33.647,33.581,33.96,34.979,35.453,36.365,36.454,38.201,39.229,41.652,44.009,46.053,47.862,50.564,49.142,48.114,49.692,50.949,50,53.714,56.886,58.798,59.419,58.975,62.548,62.448,62.222,61.269,61.929,63.151,63.407,63.171,64.436,64.298,65.201,64.905,65.35,65.503,65.898,66.201,68.609,71.402,73.293,74.668,76.389,77.454,78.634,78.635,79.763,81.582,83.008,83.232,85.269,85.196,84.575,84.036,85.847,85.428,84.612,85.207,87.059,88.371,88.759,88.558,89.987,90.187,89.932,90.69,91.243,90.562,91.575,92.074,93.39,93.836,94.358,94.934,96.35,96.447,97.696,98.088,98.45,98.305,98.179,98.354,98.353,98.335,98.175,98.567,98.916,98.909,98.695,98.271,98.632,99.002,99.264,99.419,99.535,99.69,100.026,100.136,100.147,100.097,99.823,99.712,100.073,99.971,100.079,100.286,100.57,100.5,100.652,100.651,101.282,101.792,102.192,102.649,103.29,103.391,103.506,103.64,103.762,103.519,103.81,104.197,104.343
"44","36","  Consumer goods, except automotive","B652RG3",25.628,25.077,25.143,25.057,24.676,25.64,25.933,25.739,25.224,25.561,26.667,26.826,27.08,27.423,27.475,28.711,29.15,29.264,30.092,30.668,31.617,32.907,32.212,32.697,33.28,36.058,37.872,39.23,41.574,43.702,47.161,49.06,53.639,53.729,53.101,54.573,54.24,53.763,54.468,54.072,54.04,56.619,57.203,59.853,60.938,61.755,61.998,65.096,64.568,66.25,66.256,66.783,69.144,70.243,74.131,73.557,73.377,73.211,72.688,74.312,73.41,73.408,72.327,71.25,71.545,72.109,72.051,71.813,72.555,74.051,73.617,74.115,72.34,72.658,73.2,74.593,76.726,78.313,80.408,80.651,83.169,85.182,86.051,88.339,90.476,92.015,91.25,92.907,93.756,93.974,93.925,94.871,95.985,97.055,97.095,98.119,98.448,97.383,97.219,98.427,99.923,100.013,101.309,101.961,100.916,101.652,101.923,102.108,101.967,102.166,102.551,102.84,103.135,104.034,104.244,104.2,104.532,104.354,104.152,103.903,103.402,103.101,102.846,102.58,102.169,101.625,101.19,101.372,101.354,100.775,100.671,100.745,100.424,100.006,99.924,99.646,99.62,99.298,99.114,98.715,98.377,98.078,98.18,98.03,97.92,97.963,97.966,98.015,98.708,98.564,98.466,98.763,99.624,99.635,99.495,99.432,99.636,99.696,100.359,100.558
"45","37","    Durable goods","B697RG3",31.46,30.391,30.125,31.028,29.423,31.227,31.235,31.421,30.264,31.883,32.778,32.41,32.388,32.379,33.268,34.339,34.792,34.523,35.244,36.141,38.209,39.01,39.084,40.044,39.001,42.101,44.406,45.923,47.847,49.575,52.917,56.08,57.088,57.909,55.764,58.18,59.134,59.843,60.827,58.232,58.621,62.22,61.423,65.193,67.245,66.617,68.948,70.824,71.921,73.353,72.723,73.345,74.201,74.282,77.23,79.205,78.169,77.385,76.585,78.926,77.571,77.391,76.037,74.406,75.37,76.52,76.07,74.911,75.543,77.351,76.219,76.345,74.842,74.887,75.344,77.273,80.058,82.248,84.875,85.252,87.478,88.885,89.408,91.626,93.812,95.915,94.565,96.731,97.753,97.229,96.942,98.129,99.926,100.53,100.111,101.639,102.59,101.282,101.062,102.359,103.665,103.748,104.785,105.026,104.812,105.344,105.846,106.026,106.122,106.075,106.226,106.328,106.81,107.614,107.95,107.661,107.986,107.605,107.298,106.991,106.184,105.284,104.839,104.226,103.412,102.535,101.705,101.848,101.753,101.108,100.9,100.849,100.433,100.028,99.912,99.626,99.565,98.996,98.654,98.023,97.559,97.306,97.124,96.759,96.534,96.47,96.427,96.32,96.46,96.4,96.243,96.591,96.977,96.813,96.433,96.437,96.739,97.117,97.96,98.372
"46","38","    Nondurable goods","B698RG3",18.755,18.761,19.18,18.123,18.955,19.042,19.619,19.039,19.185,18.278,19.506,20.163,20.673,21.337,20.602,21.917,22.319,22.806,23.703,23.941,23.689,25.483,24,23.994,26.278,28.648,29.875,31.027,33.836,36.48,40.112,40.382,49.513,48.624,49.775,50.097,48.329,46.676,47.079,49.046,48.581,49.903,52.29,53.523,53.346,56.05,53.585,58.264,55.733,57.697,58.489,58.879,63.245,65.767,71.086,66.927,67.924,68.614,68.473,69.141,68.842,69.086,68.34,67.944,67.399,67.249,67.662,68.561,69.44,70.579,70.984,71.966,69.823,70.504,71.158,71.886,73.218,74.065,75.523,75.618,78.522,81.235,82.505,84.889,86.961,87.878,87.755,88.835,89.481,90.565,90.783,91.462,91.844,93.401,93.919,94.412,94.097,93.283,93.178,94.294,95.983,96.079,97.641,98.71,96.819,97.76,97.797,97.986,97.598,98.052,98.681,99.164,99.265,100.26,100.341,100.548,100.886,100.922,100.835,100.648,100.465,100.784,100.726,100.815,100.828,100.637,100.622,100.846,100.913,100.405,100.417,100.63,100.412,99.98,99.938,99.67,99.689,99.634,99.617,99.469,99.27,98.919,99.343,99.429,99.443,99.599,99.653,99.877,101.205,100.961,100.931,101.163,102.602,102.824,102.982,102.83,102.909,102.571,103.011,102.945
"47","39","  Other","B653RG3",24.964,24.778,24.524,24.527,24.644,24.667,24.592,24.534,24.577,24.681,24.723,25.842,26.202,26.327,27.153,27.513,27.725,27.716,27.866,28.065,29.122,29.928,30.466,31.026,31.981,34.642,35.923,37.768,38.625,41.881,45.479,48.503,50.739,50.532,48.557,48.225,48.395,49.381,50.639,51.179,52.924,54.447,55.254,55.667,57.585,59.494,60.592,62.036,64.429,65.457,65.42,68.398,71.239,72.187,74.185,75.137,75.884,76.069,74.765,75.751,75.358,74.914,73.939,73.6,73.679,73.638,73.606,73.308,73.462,74.105,73.287,72.928,70.969,71.246,71.08,72.764,73.988,74.113,75.152,75.87,77.759,79.687,80.454,82.649,84.564,86.515,86.142,87.84,88.85,88.916,87.932,88.191,89.082,89.043,89.89,91.587,92.158,91.326,90.547,91.335,92.051,92.111,93.231,93.609,92.985,93.828,94.193,94.651,94.819,95.524,96.704,97.859,98.701,100.104,100.554,100.498,100.301,100.219,99.878,99.886,99.884,99.377,99.366,99.276,99.087,99.356,98.684,98.802,98.685,98.433,98.734,99.106,99.382,99.814,100.247,100.557,101.162,99.99,98.784,98.397,98.164,98.431,98.814,99.18,100.31,100.539,100.803,101.294,102.86,103.793,104.413,105.273,106.465,107.081,107.667,109.418,109.308,110.088,111.011,111.158
"48","40","Imports of services \1\","B656RG3",22.823,22.84,22.864,22.895,23.034,23.206,23.436,23.528,23.514,23.644,23.92,24.024,24.22,24.59,24.775,24.911,26.056,26.597,27.038,27.721,27.518,27.84,28.338,29.069,29.819,31.937,33.699,34.982,36.988,38.443,39.284,40.403,40.888,41.648,42.176,42.982,43.15,43.26,44.067,44.795,45.587,46.434,47.317,48.393,49.072,50.303,52.173,53.235,54.437,56.376,58.95,61.503,65.085,66.226,68.241,68.842,69.218,69.642,70.043,71.143,71.446,70.469,69.262,69.069,68.911,68.862,68.964,68.917,69.215,69.173,66.979,65.559,64.75,66.448,68.614,70.782,74.032,74.881,75.872,76.204,75.025,75.827,76.878,77.564,79.587,80.423,80.019,80.394,79.504,79.303,79.376,80.454,82.497,83.715,86.347,90.147,90.294,88.003,88.311,88.898,89.666,90.473,93.094,91.807,91.579,92.337,91.576,92.001,92.143,92.33,94.32,95.031,93.721,96.626,97.176,96.709,97.239,97.724,98.218,98.998,98.321,98.42,97.263,96.744,94.461,95.348,95.498,96.895,96.88,98.448,99.459,99.735,100.054,99.554,100.164,100.227,100.61,100.051,100.342,99.51,99.43,101.256,103.236,103.59,105.636,108.627,109.45,109.449,111.587,112.786,114.498,116.272,118.198,119.676,120.945,120.913,122.242,123.89,124.876,125.269
"49","41","  Direct defense expenditures","B752RG3",14.8,14.8,14.8,14.8,14.801,14.862,14.862,14.923,14.924,14.924,15.168,15.168,15.162,15.408,15.536,15.541,17.044,17.461,17.729,17.967,18.15,17.925,18.19,18.214,19.483,22.022,23.713,22.239,22.501,24.957,26.418,27.931,28.916,29.406,28.658,29.173,30.634,29.83,31.779,33.463,34.547,34.889,36.872,37.452,39.449,40.093,43.217,44.267,46.469,45.998,49.777,52.595,55.568,56.953,60.843,59.666,58.602,57.807,57.848,59.501,59.029,59.175,58.69,57.696,57.773,56.65,56.307,55.576,55.75,56.285,54.033,52.835,50.572,53.116,56.585,59.557,62.742,62.9,65.262,66.216,70.783,73.521,77.432,78.987,82.805,85.454,82.567,85.585,83.373,82.429,82.614,85.322,90.295,92.762,100.751,110.356,104.282,96.075,96.31,100.425,99.17,99.027,109.862,103.588,98.596,102.332,101.107,99.843,96.245,101.21,107.782,108.307,108.114,117.378,116.128,116.764,113.427,112.641,115.413,115.033,107.574,105.758,102.323,103.462,97.161,99.825,102.511,107.614,103.658,101.815,103.717,104.837,101.844,98.826,98.964,100.367,102.597,99.257,101.618,99.699,97.118,100.369,110.668,112.48,122.379,123.979,124.087,129.864,135.88,134.367,139.13,148.716,155.171,149.528,152.454,151.195,152.061,160.023,163.267,163.839
"50","42","  Travel","B768RG3",28.918,28.918,28.918,28.918,29.459,29.858,30.654,30.654,30.917,30.917,30.996,30.917,31.106,31.652,31.808,31.964,33.308,34.17,34.954,36.835,36.736,36.736,36.736,38.143,39.684,41.648,43.613,48.092,50.054,51.656,52.056,54.058,55.175,56.775,58.774,60.373,58.045,58.045,58.045,58.045,59.411,61.017,61.017,63.511,65.551,66.751,68.187,69.065,72.249,76.264,78.266,80.354,83.047,83.85,85.465,87.156,87.477,88.195,88.979,89.773,88.204,82.716,76.67,76.339,75.158,75.546,75.697,75.848,76.594,75.631,70.492,66.675,66.902,68.527,71.087,73.949,76.84,79.211,80.666,80.902,76.727,75.621,75.158,75.527,78.928,80.392,81.526,82.206,81.176,81.299,81.601,82.168,83.292,84.52,86.003,87.628,89.933,87.487,88.819,90.33,92.885,93.972,96.798,94.274,94.72,95.705,94.21,95.744,97.427,96.387,99.789,101.584,96.765,102.058,102.435,101.018,101.68,102.9,104.498,105.113,104.133,104.704,102.994,101.112,97.741,99.172,98.415,100.924,101.289,101.103,101.215,102.19,102.195,100.348,99.852,97.7,97.855,97.191,97.921,97.745,97.136,99.733,102.383,103.197,104.295,111.291,110.322,110.295,112.99,115.868,118.088,120.47,121.368,126.418,127.402,123.525,125.44,128.249,131.302,132.786
"51","43","  Passenger fares","B769RG3",28.207,28.437,28.659,28.864,29.221,29.3,29.376,29.45,29.601,29.616,29.63,29.643,28.791,29.387,29.989,30.592,31.532,31.911,32.285,32.652,33.726,33.612,33.502,33.384,30.565,32.179,33.814,35.478,38.462,39.337,40.189,40.966,42.03,42.506,42.974,43.444,43.527,44.263,45.002,45.737,48.48,47.877,47.276,46.677,43.988,44.78,45.567,46.351,45.438,47.341,49.248,51.163,54.225,55.398,56.564,57.722,59.829,60.325,60.825,61.328,62.534,62.582,62.628,62.669,63.315,62.936,62.561,62.19,62.032,61.508,60.979,60.452,58.3,58.855,59.411,59.965,60.974,61.217,61.46,61.705,61.111,61.916,62.718,63.519,65.586,65.535,64.198,64.782,65.019,64.434,64.183,64.947,66.439,68.872,72.471,75.678,79.593,78.788,78.252,79.405,79.857,80.98,83.351,80.469,79.75,80.472,80.361,79.59,79.788,79.467,80.739,81.818,83.499,85.071,84.472,85.671,85.943,85.205,84.867,87.099,88.948,91.189,91.632,92.013,92.221,91.572,91.705,92.916,93.113,94.431,95.072,95.612,97.335,99.179,99.102,104.383,107.948,108.683,110.13,110.506,111.982,113.883,117.057,115.086,116.422,118.225,119.017,114.911,113.193,114.332,115.758,117.61,118.934,119.215,120.082,121.874,123.509,125.759,126.988,130.466
"52","44","  Other transportation","B770RG3",18.297,18.274,18.25,18.227,18.043,18.127,18.219,18.316,17.853,18.307,18.688,19.09,19.85,20,20.101,20.216,20.118,20.385,20.644,20.885,19.499,20.996,22.417,23.732,24.026,25.752,27.419,29.083,32.908,33.072,33.227,33.318,32.531,33.021,33.523,34.047,34.635,35.115,35.523,35.912,35.494,36.416,37.354,38.27,37.967,39.678,41.368,43.041,43.108,45.828,48.495,51.162,56.633,57.523,58.384,59.212,59.793,60.794,61.787,62.688,64.713,64.919,65.105,65.188,64.828,65.172,65.519,65.831,65.542,66.168,66.755,67.335,65.935,67.86,69.713,71.533,78.673,77.396,75.869,74.361,70.147,71.065,72.008,72.263,72.583,72.776,72.79,72.983,73.951,74.561,74.424,75.208,76.522,75.474,77.078,83.097,80.313,78.977,79.26,78.259,76.844,78.319,79.555,80.03,79.448,79.878,79.286,79.026,78.306,79.131,80.281,80.314,81.078,83.022,83.325,83.618,84.755,85.31,84.891,85.538,84.886,83.385,82.627,82.299,80.121,81.639,82.407,82.79,82.348,89.574,96.178,97.855,98.522,98.667,100.703,102.108,100.895,100.05,98.54,94.454,93.131,94.237,96.201,97.873,100.693,106.59,111.396,112.216,114.756,116.227,118.474,121.49,123.78,126.322,130.292,132.827,130.301,128.846,126.378,123.126
"53","45","  Royalties and license fees","B908RG3",20.636,20.78,20.968,21.204,21.524,21.736,22.016,22.297,22.529,22.798,23.111,23.38,23.707,24.077,24.276,24.554,25.014,25.409,25.725,26.002,26.252,26.466,26.717,27.084,27.532,28.052,28.551,29.104,29.842,30.623,31.607,32.38,33.066,33.589,34.217,34.838,35.338,35.763,36.325,37.004,37.738,38.465,39.103,39.851,40.477,41.46,42.252,43.135,44.043,45.104,46.319,47.446,48.778,49.881,51.049,52.419,53.819,54.854,55.769,56.93,57.675,58.145,58.856,59.527,60.039,60.806,61.523,61.961,62.802,63.492,64.007,64.538,65.131,65.721,66.206,66.925,67.336,67.559,68.181,68.701,69.427,70.043,70.68,71.322,71.876,72.69,73.502,74.291,75.193,76.127,76.709,77.402,78.472,79.296,80.287,81.451,82.132,82.589,83.172,83.776,84.465,85.093,85.575,86.107,86.773,87.268,87.575,88.053,88.564,89.051,89.716,90.177,90.824,91.369,91.795,92.255,92.876,93.259,93.813,94.366,94.9,95.116,95.35,95.659,95.706,95.865,96.128,96.409,96.755,97.261,97.711,98.245,99.154,99.697,100.241,100.775,101.42,102.007,102.268,102.399,102.688,103.313,103.766,104.258,105.31,105.402,105.931,106.375,107.48,108.572,109.115,109.967,110.757,111.657,112.834,113.869,114.618,115.755,116.345,117.864
"54","46","  Other private services","B909RG3",36.376,36.463,36.774,37.184,37.854,38.25,38.687,39.254,39.641,40.2,40.787,41.284,41.969,42.595,42.916,43.42,44.153,44.86,45.454,46.031,46.518,46.698,46.975,47.236,47.509,47.947,48.337,48.746,49.338,50.221,51.356,52.252,53.104,53.616,54.319,55.036,55.615,56.409,57.019,57.743,58.514,59.712,60.393,61.359,61.888,62.917,63.726,62.95,62.913,63.752,64.666,67.448,68.568,69.956,71.663,72.886,73.901,74.748,73.453,74.429,75.03,75.869,77.635,78.448,79.046,79.817,80.413,80.794,81.236,81.134,80.164,80.501,81.259,82.037,82.844,83.84,84.075,86.202,88.481,90.839,92.457,95.156,96.933,97.973,98.044,97.292,95.481,92.767,89.587,88.201,88.055,89.499,92.679,95.172,97.263,98.892,101.395,100.453,99.292,97.979,99.646,99.544,100.206,101.415,102.802,102.266,101.993,102.614,102.414,102.31,102.389,102.196,101.449,101.659,103.686,102.386,103.205,103.622,103.363,104.155,104.054,104.31,102.912,102.762,101.012,101.12,101.221,101.525,102.052,102.742,101.123,99.386,99.742,99.547,100.775,99.936,100.098,99.661,99.847,99.949,101.124,102.705,102.34,101.755,102.615,102.565,102.678,101.589,103.25,103.834,104.566,103.729,105.638,106.187,105.981,106.53,109.626,110.908,112.115,112.915
"55","47","  Other","B910RG3",23.517,23.591,23.69,23.814,24.24,24.532,25.03,25.161,25.381,25.518,25.715,25.821,26.082,26.516,26.694,26.916,27.729,28.304,28.802,29.717,29.816,29.937,30.082,30.831,31.676,32.71,33.735,35.681,36.844,37.916,38.687,39.89,40.733,41.64,42.754,43.715,43.225,43.493,43.832,44.247,45.211,46.256,46.662,48.039,49.18,50.224,51.232,52.088,53.788,55.901,57.378,58.838,60.66,61.685,63.019,64.508,65.575,66.485,67.316,68.299,68.117,66.392,64.382,64.672,64.636,65.264,65.74,66.036,66.707,66.682,64.843,63.484,63.905,64.947,66.344,67.973,69.466,70.57,71.483,71.836,70.626,70.5,70.619,71.101,72.873,73.925,74.841,75.566,75.714,76.325,76.786,77.412,78.476,79.433,80.588,81.892,83.124,82.519,83.384,84.331,85.679,86.462,87.832,87.194,87.743,88.4,88.03,88.892,89.858,89.727,91.447,92.379,90.804,93.442,93.876,93.65,94.504,95.174,95.914,96.419,96.302,96.647,95.974,95.495,93.751,94.615,94.514,95.751,95.844,97.275,98.338,99.074,100.101,99.912,100.265,99.721,99.546,99.286,99.113,98.169,98.225,99.727,100.873,101.517,103.114,106.298,107.051,107.276,109.702,111.6,112.873,114.49,115.602,118.326,119.887,119.141,120.155,121.986,123.018,122.596
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RG3",43.445,43.189,43.155,43.774,43.96,45.928,44.954,45.721,46.491,46.298,46.976,48.684,49.072,50.187,49.11,48.865,50.966,50.644,49.54,50.651,51.301,51.273,51.235,52.057,52.68,54.286,55.515,57.674,60.903,62.664,66.99,69.815,72.949,75.026,75.664,76.842,78.349,79.786,79.987,82.487,82.473,82.876,84.431,85.491,85.914,87.953,89.053,92.999,95.003,99.252,100.61,101.267,104.64,107.824,111.145,114.772,117.518,118.635,120.125,121.612,122.327,122.686,122.373,121.854,121.196,120.779,120.222,120.131,120.678,120.545,119.438,117.988,116.336,115.424,114.243,113.3,112.899,112.529,112.63,112.914,112.092,112.31,112.861,113.97,115.41,116.392,116.99,117.267,117.664,117.609,117.386,116.615,115.486,115.601,116.102,115.967,116.768,116.753,115.709,115.25,115.271,114.665,114.25,113.86,113.967,114.155,113.616,113.165,113.294,113.195,112.889,112.447,112.517,111.967,111.085,110.175,109.062,107.535,106.072,104.588,104.232,103.851,103.508,102.802,102.143,101.593,100.763,100.446,100.184,99.966,99.676,99.942,99.848,99.925,100.17,100.057,100.168,100.061,99.664,99.314,99.262,99.158,99.207,99.081,99.235,99.367,99.159,99.278,100.101,100.738,101.321,101.881,102.493,102.68,102.552,102.754,103.628,104.959,105.811,106.174
"58","49","  Exports of nondurable goods","B339RG3",30.96,30.841,30.549,30.237,30.416,30.357,29.928,29.626,30.16,30.128,30.515,30.95,31.028,31.617,32,32.303,32.658,32.864,33.051,32.467,32.978,33.623,33.832,35.371,38.2,41.232,46.506,50.569,55.776,58.561,62.006,67.219,68.411,64.597,62.583,61.936,62.18,62.236,62.665,62.747,64.52,66.201,62.981,61.972,64.654,66.601,67.9,69.85,73.687,76.923,79.594,81.76,83.372,81.933,84.266,87.745,90.177,89.118,87.024,85.589,85.633,84.053,81.543,79.939,80.697,81.782,83.376,86.083,86.511,87.719,85.424,82.987,81.492,81.091,79.198,78.88,77.033,75.889,73.938,75.63,77.482,81.098,80.925,84.403,85.793,90.938,94.124,92.546,94.469,94.303,92.035,91.344,91.863,91.993,92.319,94.904,93.924,92.212,90.435,91.183,89.974,90.506,90.142,89.701,89.606,89.601,90.009,90.094,91.561,92.833,94.766,97.959,101.873,105.118,105.67,105.183,105.187,106.782,105.725,103.375,103.452,103.411,103.027,102.31,99.758,98.436,96.73,95.519,94.963,95.211,96.534,97.732,99.103,100.323,99.98,100.594,100.146,99.021,97.763,95.391,94.43,96.399,98.948,99.662,102.151,103.178,103.099,106.149,109.647,112.597,112.126,113.974,116.458,118.728,120.28,121.961,122.325,124.843,127.81,126.968
"59","50","  Exports of agricultural goods \2\","B181RG3",39.518,39.518,38.989,38.103,38.641,38.816,37.748,37.652,38.784,38.693,38.786,38.265,39.102,39.471,40.454,41.341,42.279,42.9,43.176,42.223,43.009,44.018,45.1,48.211,54.768,61.168,73.135,79.515,88.644,89.026,88.973,98.51,96.94,88.804,86.516,84.925,83.508,82.967,84.556,84.273,87.876,91.778,81.668,79.386,84.337,87.933,89.776,91.536,95.874,98.062,104.014,103.679,103.734,99.549,105.476,114.219,117.984,114.644,107.947,103.397,102.72,100.102,95.982,93.952,96.736,99.744,103.808,109.425,109.83,111.311,106.309,99.956,98.1,96.994,91.87,92.622,89.902,87.871,81.639,86.055,85.094,90.064,87.388,94.856,95.026,104.864,113.852,107.833,110.86,110.296,107.714,105.425,105.067,107.002,103.254,100.703,103.732,104.615,102.294,104.329,102.814,102.666,100.579,100.79,101.773,101.161,104.648,106.17,109.656,108.114,105.915,108.344,111.184,113.833,120.076,125.59,127.993,135.839,131.693,121.995,122.93,122.657,119.775,117.949,113.017,111.501,108.689,106.038,104.063,101.468,100.783,100.695,100.17,101.394,98.022,100.414,100.909,100.113,102.47,99.335,98.641,99.65,105.296,106.901,107.997,110.159,111.762,122.389,126.823,131.678,120.04,116.16,118.289,122.352,122.347,121.817,121.904,122.663,126.512,131.704
"60","51","  Exports of nonagricultural goods","B182RG3",29.868,29.653,29.573,29.937,29.9,30.732,30.175,30.488,31.224,31.008,31.667,32.804,33.248,33.934,33.899,33.835,34.628,34.459,34.091,34.662,35.039,35.419,35.358,35.841,36.404,37.708,39.044,41.205,43.984,46.187,49.973,51.893,54.679,55.05,55.01,56.151,57.455,58.312,58.531,60.209,60.801,61.041,62.728,63.123,63.59,65.112,66.034,68.977,71.551,75.348,76.575,78.382,81.627,83.895,86.676,88.623,91.128,91.335,93.611,95.232,96.567,97.545,97.948,98.023,97.987,98.894,100.395,101.435,103.173,104.862,105.637,104.892,104.34,103.756,102.798,101.905,101.03,100.474,100.446,100.855,101.486,102.833,103.517,104.921,106.571,108.382,109.117,109.355,110.128,110.09,109.21,108.653,108.166,108.07,109.009,110.355,110.117,109.253,108.014,107.79,107.454,107.282,107.075,106.585,106.498,106.698,106.113,105.681,106.031,106.614,107.376,108.062,109.317,109.868,108.789,107.41,106.386,105.111,104.025,102.952,102.626,102.344,102.18,101.555,100.627,99.906,98.95,98.532,98.314,98.417,98.658,99.233,99.604,99.933,100.27,100.193,100.122,99.76,98.868,98.089,97.778,98.262,98.673,98.68,99.528,99.798,99.494,99.742,101.186,102.279,103.373,104.659,105.725,106.282,106.647,107.323,108.107,109.825,111.091,110.791
"61","52","  Imports of durable goods","B333RG3",34.878,34.616,34.33,34.584,34.913,35.24,35.044,35.459,35.605,35.999,36.116,37.401,37.572,37.765,39.628,40.006,41.076,40.714,41.012,41.597,43.136,44.159,45.244,46.32,47.196,51.228,52.626,54.86,56.577,61.433,65.894,69.072,70.103,71.505,69.737,69.403,69.73,71.106,72.442,72.015,74.139,75.688,78.085,79.12,81.367,84.706,87.213,88.52,92.448,93.651,93.412,97.479,101.162,102.289,105.371,108.025,109.143,108.403,106.691,109.081,108.448,107.528,105.233,104.13,104.607,104.422,103.493,102.958,102.976,103.218,101.403,100.287,97.811,97.783,97.99,99.779,102.468,104.461,106.6,107.492,109.391,111.261,111.373,114.064,117.125,120.171,119.004,121.511,121.899,121.043,119.482,119.151,118.608,118.303,118.721,119.985,120.588,119.006,117.218,117.704,118.188,117.48,118.28,118.002,117.208,117.505,117.628,117.893,117.953,118.256,118.622,119.408,119.657,120.554,120.026,118.341,116.311,113.845,111.73,109.587,108.165,107.271,106.69,105.489,103.952,102.763,101.543,101.178,101.134,100.421,100.073,100.016,100.3,100.24,100.026,99.434,99.302,98.564,97.698,96.789,96.22,96.265,96.204,95.794,95.708,95.704,96.011,96.242,97.175,97.919,98.273,98.406,99.023,99.057,98.474,98.531,98.92,99.915,100.753,100.934
