"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146"
"47","38","    Nondurable goods","B698RA",9.98,9.9,9.95,11.86,12.18,12.86,13.13,14.26,13.49,17.96,16.68,16.06,16.73,16.79,18.45,17.88,17.84,18.52,17.27,17.53,21.68,18.89,21.76,22.17,22.22,20.41,19.67,20.15,16.89,17.96,16.95,16.62,12.85,12.83,13.71,15.92,17.96,19.83,20.64,19.8,19.47,21.15,20.26,20.21,24.52,25.31,26.06,25.2,26.53,25.99,25.22,26.23,25.5,24.55,22.46,25,26.08,26.35,26.44,29.05,27.83,28.14,31.03,29.87,32.75,35.03,37.11,39.69,44.43,47.19,46.5,44.93,46.59,47.49,48.61,52.53,53.56,54.05,56.62,58.86,59.63,61.81,59.47,59.48,61.51,59.87,61.26,62.31,60.14,63.4,64.76,66.34,65.25,65.74,65.39,64.2,64.11,64.08,67.11,72.5,72.19,73.82,75.55,76.93,78,81.07,81.91,81.82,82.73,85.28,88.4,90.38,93.98,94.99,95.33,91.53,95.61,96.83,100.46,107.1,108.43,114.33,118.32,121.93,123.83,127.97,130.04,128.71,137.42,135.79,143.34,150.23,151.07,162.47,168.03,171.64,172.15,172.89,170.33,167.1,169.03,177.92,188.44
"48","39","  Other","B653RA",16.69,17.85,18.22,19.84,16.98,18.65,21.12,18.51,18.08,21.37,21.73,20.52,20.7,20.13,20.99,20.13,20.61,21.71,21.91,20.85,22.61,20.57,23.07,22.82,23.34,22.67,21.67,14.51,24.78,22.2,13.67,14.43,14.44,13.78,17.52,13.47,19.1,16.48,16.32,15.53,21.14,21.02,19.26,20.43,22.01,20.55,22.65,22.85,26.39,19.98,20.46,23.85,27.17,24.16,27.09,30.14,32.29,37.17,35.9,37.94,38.35,43.68,36.99,38.08,39.53,41.58,40.67,40.83,42.9,46.47,47.23,51.95,52.75,58.74,56.3,56.81,54.97,58.65,55.79,59.16,59.2,59.12,59.02,61.44,59.17,59.35,61.8,67.32,61.15,64.84,67.16,73.67,73.31,76.91,78.95,79.67,73.43,82.6,79.03,81.15,84.09,81.15,80.69,81.83,79.5,83.23,82.53,88.75,89.06,95.44,92.07,93.52,90.67,97.8,92.44,97.6,99.02,101.74,99,100.25,102.14,110.19,118.74,120.23,120.65,125.77,135.9,150.26,148.56,152.66,153.79,158.2,157.62,161.3,189.44,182.77,161.62,178,177.09,183.36,167.51,184.22,189.78
"49","40","Imports of services \1\","B656RA",32.35,33.7,34.51,33.34,33.58,33.28,34.48,34.96,34.9,36.1,36.41,37.48,36.84,38.76,38.76,38.08,36.91,37.53,36.89,36.77,39.06,39.12,37.26,38.71,39.74,38.13,35.41,35.67,36.49,37.61,36.85,37.84,36.83,34.69,34.7,36.12,37.01,37.5,38.43,39.22,39.73,40.47,39.5,40.04,42.23,42.15,42.99,43.78,43.48,43.51,43.22,43.28,43.13,41.89,41.51,43.09,45,45.31,44.35,44.75,45.62,47.51,47.26,48.57,48.12,50.39,52.45,53.26,59.48,62.26,65.37,68.31,69.78,70.12,67.46,67.5,69.08,65.88,69.86,70.92,73.93,77.62,77.66,81.33,80.31,78.57,79.6,80.53,80.83,81.06,82.67,83.37,87.28,88.24,89.27,88.11,85.49,87.23,85.5,86.49,84.74,83.17,78.64,84.23,84.25,85.44,86.85,89.86,91.37,91.9,91.82,91.5,95.55,94.45,95.05,96.53,97.86,98.85,101.64,101.65,106.39,107.86,113.61,115.89,121.62,123.59,125.7,125.73,125.79,127.88,130.86,133.14,139.53,142.76,147.87,147.7,147.81,150.84,141.21,134.98,145.69,144.92,146.02
"50","41","  Direct defense expenditures","B752RA",304.97,302.19,310.7,312.64,310.08,311.33,320.96,326.95,333.83,330.82,334.89,343.01,323.3,339.76,324.14,323.19,286.41,287.3,282.42,286.07,279.37,293.95,250.97,268.13,247.16,229.67,184.67,214.59,210.81,214.43,197.81,195.13,188.48,166.75,158.22,169.91,156.17,168.59,161,158.35,163.7,173.36,166.45,166.97,176.38,181.06,179.64,191.46,178.3,174.23,173.5,178.6,196.22,186.61,183.21,204.69,196.11,221.69,193.78,207.26,207.06,221.49,221.61,228.93,231.06,237.25,241.78,247.1,226.55,236.25,230.63,252.89,264.9,246.42,222.95,252.79,226.64,230.88,210.24,216.18,210.94,202.92,202.43,206.63,191.45,187.31,193,195.99,195.71,196.07,186.39,181.25,183.92,174.8,183.75,193.71,205.79,169.96,155.03,153.21,154.7,143.2,124.14,134.27,133.29,129.19,119.49,115.86,115.44,108.6,94.97,89.93,98.14,86.1,87.08,91.35,100.05,99.04,100.71,100.19,108.87,106.09,121.11,126.03,124.45,118.39,128.67,123.95,127.23,134.33,142.02,129.6,132.49,141.53,148,139.12,147.09,149.02,156.7,182.87,190.22,190.62,187
"51","42","  Travel","B768RA",21.08,25.13,27.25,22.15,22.24,21.31,22.16,20.92,22.89,23.25,23.64,24.2,26.22,27.37,27.37,27.48,28.03,27.2,26.12,26.98,28.91,28.89,29.33,30.04,29.06,28.85,27.18,25.44,24.89,25.02,24.57,24.75,24.19,23.22,23.86,24.46,24.98,24.62,25.47,26.75,26.58,26.55,25.85,25.92,26.41,26.19,28.2,27.56,26.61,26.87,26.22,26.02,27.02,25.51,26.34,26.72,28.71,26.99,28.04,27.95,30.04,32.98,33.11,36.25,34.02,37.19,39.87,38.91,61.53,65.01,73.27,74.34,78.66,80.18,76.07,67.69,73.66,62.36,71.94,73.35,79.7,83.9,82.43,87.52,87.26,82.48,85.45,87.57,86.59,85.7,88.78,92.08,95.18,96.79,94.07,91.27,80.84,89.32,85.56,85.95,87.93,87.83,85.88,90.14,89.46,88.51,91.91,99.14,96.26,97.32,95.41,93.14,97.83,95.46,93.27,98.56,101.24,98.58,100.14,100.04,106.75,105.71,110.06,112.24,121.44,122.52,124.06,123.67,121.95,124.08,125.73,128.38,138.33,138.06,138.79,142.72,140.67,147.55,126.87,113.8,131.42,126.8,124.92
"52","43","  Passenger fares","B769RA",15.92,15.64,15.37,16.08,15.37,15.99,16.99,17.09,18.69,19.34,20.28,20.78,22,21.63,23.15,21.99,18.93,22.59,21.19,24.47,24.27,25.5,25.95,27.44,32.87,30.13,28.03,26.61,27.17,27.82,27.74,31.63,29.39,26.85,28.97,29.65,31.6,30.05,31.1,32.06,30.24,31.25,30.87,32.93,36.04,34.38,34.74,33.91,36.26,36.36,35.3,35.09,33.61,34.9,36.49,34.78,40.87,39.55,39.9,40.35,42.77,41.01,39.76,41.81,45.76,52.26,53.44,56.09,45.93,52.7,50.88,53.59,55.28,64.2,60.61,56.29,58.95,54.15,57.74,59.17,61.81,63.81,63.51,64.42,63.9,63.45,63.45,67.07,68.71,69.36,70.63,68.1,81.71,83.92,81.48,75.18,62.59,69.56,69.75,73.01,71.31,69.06,68.39,74.61,73.86,74.23,78.44,82.69,86.42,88.09,89.96,87.72,88.46,93.23,96.2,97.79,97.48,99.11,102.11,101.31,105.03,110,111.8,105.87,109.95,118.35,121.06,121.96,121.72,120.77,121.79,126.96,129.98,134.94,134.97,128.26,118.22,126.03,114.56,87.9,101.37,99.25,98.26
"53","44","  Other transportation","B770RA",37.94,37.02,34.25,36.98,40.27,39.36,41.26,40.26,35.97,42.72,41.92,43.8,39.67,44.72,47.28,43.84,47.29,49.05,49.36,43.12,55.22,49.35,47.44,49.05,56.74,54.37,54.23,53.24,50.08,54.88,56.39,60.54,56.1,50.67,51.48,53.97,57.72,58.03,61.11,63.32,66.17,68.68,66.77,65.82,69.89,69.09,69.44,70.23,70.97,71.05,72.18,72.01,66.69,64.44,59.58,61.07,64.51,64.88,62.53,59.99,57.65,56.85,54.6,53.89,55,54.41,59.66,62.44,67.06,68.53,70.13,70.74,70.58,70.72,67.77,72.39,69.08,68.43,74.95,75.79,74.56,82.37,83.51,90.48,90.36,90.58,88.59,87.08,90.29,91.49,94.39,93.37,97.79,99.77,101.67,98.23,94.7,98.49,99.57,99.04,95.41,91.92,94.85,93.12,94.29,96.68,95.23,97.53,98,101.12,104.91,102.57,103.49,101.46,102.28,98.63,95.68,101.82,102.34,100.16,104.2,107.61,106.93,113.23,114.81,113.48,114.1,119.12,117.45,113.54,115.65,117.02,123.18,128.25,134.14,131.2,129.62,125.88,115.83,118.48,120.62,131.09,128.09
"54","45","  Royalties and license fees","B908RA",9.49,9.43,9.34,9.91,10.88,9.89,9.76,10.07,11.66,11.11,11.16,12.46,11.08,11.71,10.82,10.9,10.7,10.53,11.51,12.31,12.56,13.18,12.52,14.29,16.66,15.67,15.39,17.23,18.89,17.94,16.93,16.38,22.25,22.33,17.87,19.75,21.76,21.24,17.49,18.07,19.62,18.01,17.84,20.62,23.49,21.89,22.27,22.7,25.05,24.89,23.72,26.68,20.86,16.18,14.6,28.71,22.72,11.5,17.99,17.29,15.74,16.27,15.99,16.85,16.39,17.91,18.64,20.82,20.92,20.31,22.84,23.61,20.76,20.35,22.66,21.06,23.2,25.67,25.43,24.2,26.97,32.33,31.36,35.3,40.94,42.32,43.67,43.15,39.52,40.6,36.18,41.84,44.56,42.77,47.42,52.55,53.28,59.75,60.94,58.45,78.72,63.83,83.57,62.91,62.92,68.86,70.91,72.21,86.95,70.38,75.66,79.88,82.52,86.47,92.27,99.57,92.27,92.82,116.66,98.26,111.5,110.21,133.84,126.5,136.3,132.48,140.9,149.16,146.1,152.45,154.72,164.27,174.86,180.1,216.79,197.03,192.84,189.45,193.03,192.65,221.31,208.87,222.74
"55","46","  Other private services","B909RA",2.65,2.84,3.13,3.07,2.99,3.31,3.39,3.55,3.65,3.72,3.67,3.68,3.67,3.91,3.98,3.88,4.17,4.27,4.35,4.25,4.37,4.48,4.28,4.43,4.81,4.83,4.85,5.18,9.99,9.94,9.72,9.86,10.45,11.13,11.34,11.74,12.53,12.93,13.96,14.26,14.15,13.88,13.8,14.36,15.73,16.21,16.38,17.38,18.42,18.77,18.57,18.66,18.08,19.33,19.48,19.07,21.38,21.91,22.57,23.63,24.83,25.66,25.5,25.5,23.15,23.85,24.08,24.02,24.52,25.19,26.75,30.12,28.06,27.9,30.07,32.72,37.69,40.32,41.09,41.91,45.93,48.36,48.87,49.51,49.6,49.37,49.44,50.09,50.31,50.8,53.52,53.5,56.92,58.61,61.45,61.87,67.55,67.29,66.25,70.34,60.98,62.97,47.96,64.4,64.75,68.79,71.33,73.23,76.78,79.45,80.21,85.08,90.78,92.55,94.21,92.99,95.84,98.16,100.05,105.95,107.07,110.5,118.7,124.08,131.01,137.41,136.68,133.03,137.15,143.89,148.73,153.73,157.56,160.94,166.4,174.44,184.06,188.29,186.88,175.52,181.81,180.22,187.59
"56","47","  Other","B910RA",58.21,59.73,61.43,63.29,60.56,60.08,60.95,77.71,61.64,62.19,62.37,64.54,63.24,61.99,61.37,62.99,59.08,60.92,61.26,59.57,58.41,60.85,60.93,59.25,60.19,58.81,61.09,57.59,57.48,58.72,57.41,53.96,55.52,58.59,55.33,55.56,57.78,60.59,63.78,59.82,61.2,59.82,60.04,62.61,63.38,63.54,63.07,65.1,65.13,65.63,65.63,60.21,59.85,58.87,64.08,57.9,59.68,60.66,60.58,58.84,60.28,65.65,73.11,68.27,72.89,75.69,69.85,69.27,70.21,72.44,75.86,78.67,82.89,80.2,79.14,75.99,77.71,72.61,77.02,73.22,76.08,83.15,88.81,92.64,87.24,85.65,87.39,84.79,84.21,84.18,86.57,91.52,83.45,87.46,90.21,86.2,84.39,86.83,96.48,92.01,88.06,95.34,91.76,91.96,93.98,92.49,95.19,87.11,93.76,95.72,98.76,96.95,102.11,95.66,97.04,96.12,98,98.51,101.4,102.1,101.63,103.35,105.85,103.88,105.59,104.58,111.06,109.21,106.38,105.04,110.76,107.46,109.98,112.58,115.45,115.77,117.41,119.06,120.68,122.42,126.33,123.63,122.51
"57",NA,"  Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","48","    Exports of agricultural goods \4\","B181RA",35.87,35.37,34.21,35.9,37.47,33.57,35.56,34.28,22.56,39.04,34.59,38.71,37.04,38.66,39.74,41.82,40.21,38.03,42.37,36.4,42.81,41.88,44.77,50.96,57.78,58.87,53.37,58.89,55.17,55.09,49.8,49.83,55.23,47.15,52.51,58.07,57.25,59.42,60.32,61.47,60.41,60.66,61.57,61.6,63.11,78.71,76.52,70.82,64.81,72.12,79.58,85.47,80.31,86.35,90.49,82.79,87.21,81.21,82.73,88.51,82.24,88.9,78.22,75.07,77.25,75.44,81.02,76.25,76.43,73.49,77.16,80.43,70.59,63.12,62.89,66.5,65.55,60.07,68.96,70.53,63.24,65.06,79.49,70.64,78.47,74.65,75.52,77.39,81.65,83.77,78.25,83.87,86.51,81.93,78.61,78.36,80.29,77.88,81.21,86.29,88.98,87.52,92.93,95.02,90.32,90.63,84.58,89.86,83.44,85.06,93.6,104.52,105.06,101.42,102.34,100.29,103.9,96.53,95.52,104.06,98.6,100.2,103.07,105.06,104.96,100.28,96.3,105.77,95.54,102.07,108.85,104.12,108.48,108.53,116.57,110.69,113.74,114.61,112.06,118.23,117.65,114.27,107
"59","49","    Exports of nonagricultural goods","B182RA",16.18,16.23,16.04,16.15,16.72,17.53,18.76,18.37,16.57,19.86,19.69,20.06,20.52,20.96,20.68,20.64,20.45,20.64,21.83,18.88,21.87,21.31,22.5,23.67,25.51,26.9,27.56,28.6,29.84,31.42,30.09,30.91,29.69,29.29,29.15,30.11,29.68,29.87,30.39,30.46,29.66,30.64,30.59,29.07,29.46,32.7,33.1,35.48,36.07,35.4,36.41,39.09,40.95,40.92,39.24,39.97,39.77,40.55,38.43,38.31,35.85,35.33,33.78,31.49,31.72,31.8,31.49,33.24,32.69,33.51,33.91,34.74,34.82,35.29,34.78,35.67,35.87,37.09,37.07,38.67,38.75,40.45,42.08,45.12,47.58,49.39,50.18,52.65,54.07,57.09,56.88,58.44,60.63,62.37,61.48,63.22,64.12,67.18,66.94,68.97,69.73,70.63,70.77,72.88,71.89,73.7,71.85,76.89,76.64,80.37,82.55,85.29,87.32,88.81,92.3,95.22,96.11,98.07,100.28,105.54,109.89,115.62,119.09,118.94,118.88,116.47,117.03,121.67,119.55,120.4,123.87,129.15,131.03,136.38,142.31,140.05,137.45,131.02,124.16,120.87,119.78,124.98,127.02
"60","50","    Imports of nonpetroleum goods","B187RA",12.14,11.77,12.07,13.12,14.17,14.54,15.5,15.25,13.14,16.84,16.5,15.96,15.94,16.13,16.13,16.49,16.56,18.04,18.57,16.65,19.88,18.88,19.58,20.47,21.34,20.43,20.04,20,20.16,20.35,19.97,19.21,16.81,15.29,16.82,17.84,19.51,20.27,21.05,21.55,21.55,22.61,22.43,23.25,25.23,25.92,25.71,26.23,25.78,26.49,25.97,26.82,27.08,25.84,24.42,25.86,26.83,28.03,28.21,29.56,28.51,29.11,29.41,27.97,30.92,32.41,34.49,38.1,41.38,43.29,44.71,45.82,46.07,47.54,47.74,49.21,49.6,51.85,52.25,53.07,52.8,53.88,54.14,55.59,55.39,54.61,56.01,57.72,56.86,58.05,58.11,59.25,58.99,60.31,60.54,59.94,57.66,59.07,61.3,63.13,63.7,66.02,67.07,68.24,70.32,72.22,73.01,76.09,77.86,81.9,84.47,88.02,89.85,91.57,91.3,92.52,95.59,98.17,101.87,104.37,108.51,113.57,118.14,120.34,124.82,127.98,129.18,134.4,137.75,143.08,148.86,153.88,158.52,165.41,171.5,170.98,165.54,160.8,157.65,156.08,158.25,168.1,170.24
"61",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","51","      Exports of goods and services","B020RG",32.6,32.51,32.47,32.65,32.87,33.57,33.13,33.35,33.82,33.85,34.33,35.15,35.28,35.99,35.85,35.97,37.01,37.05,36.81,37.05,37.63,37.93,38.1,39.03,40.19,42.04,44.51,46.86,50.18,51.92,54.89,57.75,59.41,59.18,59.02,59.36,60.18,60.83,61.16,62.26,62.95,63.89,63.58,63.88,65.17,66.79,67.86,70.08,72.15,75.11,76.9,78.35,80.66,81.76,84.03,86.82,88.98,89.32,89.51,89.83,90.3,90.26,89.64,89.14,89.51,89.84,90.35,91.26,91.36,91.97,91.07,90.13,89.24,89.05,88.34,88.17,87.64,87.26,86.85,87.56,88.02,89.4,89.73,91.33,92.34,94.31,95.52,95.38,96.39,96.55,95.97,95.69,95.74,96.04,96.95,98.41,98.72,98.24,97.62,97.83,97.77,97.88,97.9,97.71,97.73,97.95,97.82,97.77,98.17,98.57,99.17,99.84,100.92,101.73,101.48,101.01,100.83,100.51,99.81,98.85,98.66,98.72,98.46,98.04,97.08,96.58,95.86,95.52,95.21,95.3,95.48,95.88,96.36,96.84,97.04,97.08,96.87,96.46,96,95.06,94.88,95.58,96.41
"63","52","Exports of goods \1\","B253RG",36.24,36.04,35.9,36.05,36.21,37.13,36.45,36.67,37.31,37.2,37.72,38.77,39,39.83,39.48,39.51,40.71,40.65,40.22,40.47,41.04,41.33,41.41,42.56,44.27,46.53,49.65,52.63,56.66,58.8,62.57,66.31,68.49,67.94,67.41,67.73,68.59,69.34,69.64,70.94,71.77,72.77,72.03,72.08,73.55,75.5,76.67,79.58,82.36,86.02,87.95,89.28,91.73,92.72,95.47,98.92,101.44,101.5,101.27,101.29,101.65,101.02,99.61,98.54,98.64,98.98,99.5,100.79,101.2,101.73,100.12,98.31,96.93,96.34,94.92,94.3,93.21,92.5,91.66,92.58,92.99,94.68,94.9,96.98,98.35,100.97,102.57,102.1,103.06,102.97,101.99,101.28,100.85,100.96,101.38,102.26,102.34,101.71,100.48,100.5,100.12,99.99,99.64,99.26,99.28,99.4,99.21,98.96,99.56,99.93,100.4,101.2,102.51,103.21,102.81,102.08,101.4,100.92,99.67,98.01,97.81,97.55,97.23,96.58,95.44,94.7,93.69,93.16,92.82,92.75,92.91,93.42,93.71,94.08,94.17,94.25,94.19,93.84,93.26,92.39,92.14,92.67,93.45
"64","53","  Foods, feeds, and beverages","B638RG",31.1,31.1,30.71,30.07,30.4,30.66,29.68,29.41,30.28,30.21,30.09,29.39,30.14,30.55,31.34,32.25,33.12,33.44,33.58,32.63,33.02,33.76,34.36,37.03,43.06,49.1,59.34,64.63,71.97,71.65,71.67,80.45,79.27,72.16,69.18,67.9,65.97,65.07,65.97,65.11,67.85,70.96,61.83,60.3,65.5,69.26,70.68,69.56,73.45,75.09,79.97,79.4,79.15,76.61,80.91,88.2,90.82,88.49,82.56,78.79,79.05,77.19,73.34,70.97,73.85,76.07,79.33,84.15,83.62,84.41,79.78,75.34,74.31,73.87,70.31,71.33,69.5,68.61,64.64,66.23,64.45,67.59,65.35,72.15,71.69,80.42,90.42,85.81,88.04,87.08,83.07,80.65,80.25,81.7,78.99,76.29,78.58,79.77,78.16,80.52,80.26,80.14,77.58,77.33,78.22,78.39,80.87,81.99,84.4,83.26,80.58,81.78,83.1,86.1,92.17,96.66,98.82,105.68,101.87,93.64,93.95,94.33,92.13,90.08,86.3,84.9,83.52,82.35,81.62,80.85,79.92,79.21,79.31,80.32,77.44,79.19,79.4,78.66,80.47,78.7,78.42,79.17,83.24
"65","54","  Industrial supplies and materials","B639RG",25.87,25.7,25.45,25.31,25.42,24.97,24.49,24.5,24.77,24.78,25.19,25.72,25.78,26.55,26.62,26.79,26.81,26.89,27.22,26.57,27.2,27.52,27.82,28.34,29.48,30.52,32.65,35.36,40.02,44.58,50.02,53.51,55.22,52.98,52.04,51.06,52.25,52.94,52.44,53.4,54.25,54.87,55.45,55.15,55.45,55.85,57.22,61.41,64.8,68.96,70.12,74.66,78.91,78.24,77.55,78.24,80.95,81.2,81.38,80.99,80.54,79.69,77.73,76.7,76.12,75.96,76.12,77.52,78.29,79.99,79,77.99,76.41,76.05,75.03,74.31,72.9,71.36,70.79,72.1,75.51,79.34,81.62,83.54,86.05,89.68,89.47,89.3,90.75,91.15,89.71,89.37,89.8,89.17,90.86,94.62,92.26,88.89,87.32,86.95,85.22,86.08,87.31,86.86,86.82,87.53,86.76,86.13,87.58,89.93,93.98,98.68,104.33,107.37,105.26,102.38,101.13,99.96,99.38,99.53,99.81,99.65,99.85,99.01,96.7,95.28,93.21,91.74,90.93,91.39,93.57,95.5,97.41,98.8,99.42,99.41,98.63,97.34,94.95,92.18,91.42,93.92,95.87
"66","55","    Durable goods","B686RG",23.55,23.38,23.14,23.05,23.1,22.71,22.26,22.27,22.54,22.55,22.94,23.4,23.45,24.13,24.2,24.35,24.36,24.44,24.76,24.15,24.76,25.07,25.32,26.11,26.85,27.79,29.71,32.14,36.3,40.36,45.29,48.48,50.15,48.16,47.34,46.47,47.53,48.13,47.66,48.57,49.34,49.88,50.43,50.14,50.41,50.74,52,55.81,58.91,62.71,63.77,67.92,71.78,71.19,70.54,71.14,73.63,73.86,74.02,73.66,73.22,72.46,70.69,69.76,69.25,69.1,69.26,70.5,71.27,72.77,71.85,70.87,69.31,68.67,68.16,68.4,69.62,69.26,69.88,70.37,71.57,73.7,78.41,80.53,82.92,85.73,86.3,86.81,87.5,88.17,87.87,86.9,86.64,86.69,87.96,87.56,87.59,86.39,86.15,85.53,85.64,87.01,89.15,89.54,91.67,94.41,93.8,93.16,94.78,95.58,96.8,99.64,103.35,104.41,103.82,102.73,101.99,100.7,98.73,98.57,99.52,99.61,99.63,97.69,96.48,95.8,94.44,93.35,92.51,92.14,92.4,93.18,93.93,94.43,94.48,93.99,93.3,92.77,92.61,91.45,91.5,92.42,93.37
"67","56","    Nondurable goods","B687RG",27.01,26.84,26.59,26.41,26.57,26.07,25.58,25.59,25.87,25.88,26.29,26.86,26.92,27.74,27.82,27.99,28.01,28.1,28.43,27.77,28.4,28.72,29.06,29.4,30.78,31.87,34.1,36.96,41.88,46.69,52.4,56.04,57.75,55.38,54.38,53.34,54.6,55.33,54.83,55.81,56.7,57.36,57.95,57.65,57.95,58.39,59.82,64.19,67.73,72.07,73.28,78.01,82.45,81.74,81.04,81.76,84.58,84.84,85.03,84.64,84.18,83.29,81.23,80.16,79.54,79.37,79.53,81.01,81.78,83.58,82.56,81.52,79.93,79.71,78.43,77.28,74.67,72.59,71.5,73.18,77.64,82.31,83.4,85.22,87.78,91.85,91.2,90.66,92.55,92.79,90.69,90.72,91.58,90.54,92.46,98.59,94.88,90.3,87.93,87.71,85,85.58,86.33,85.45,84.27,83.94,83.08,82.46,83.81,86.96,92.46,98.16,104.89,109.03,106.06,102.18,100.65,99.53,99.76,100.07,99.96,99.66,99.97,99.78,96.83,94.97,92.49,90.78,89.97,90.94,94.3,96.95,99.62,101.61,102.58,102.88,102,100.22,96.45,92.73,91.49,94.92,97.48
"68","57","  Capital goods, except automotive","B640RG",61.86,61.32,61.54,63.06,63.27,69.3,67.56,68.78,70.3,69.58,70.17,74,74.83,76.26,74.33,74.04,76.99,75.98,72.39,75.39,76.36,75.71,74.78,75.43,75.16,77.36,77.02,80.03,83.77,84.24,88.99,91.05,96.28,101.23,103.07,106.1,107.03,109.57,109.88,113.62,111.61,111.92,114.64,116.64,116.09,118.94,117.51,123.4,121.74,126.62,128.13,125.67,128.21,133.9,139.07,144.21,147.08,148.57,150.78,152.96,153.74,154.42,154.24,153.46,151.97,150.6,148.4,147.35,147.57,146.2,144.35,142.29,139.27,137.22,134.82,132.73,131.06,130.01,129.89,129.65,127.22,126.25,125.3,126.01,127.55,127.58,127.44,127.48,127.8,127.09,126.45,124.73,122.45,122.15,122.43,121.95,122.69,122.65,120.93,120.2,119.84,118.49,117.08,116.05,115.48,115.07,114.27,113.66,113.13,112.59,111.65,110.03,109.02,107.71,106.24,104.84,103.16,100.95,99.04,96.85,95.98,95.31,94.81,94.16,93.47,92.86,91.95,91.65,91.44,91.16,90.62,90.75,90.37,90.28,90.6,90.56,90.76,90.74,90.23,90,90.02,89.79,89.62
"69","58","    Civilian aircraft, engines, and parts","B688RG",21.11,21.24,21.38,21.51,21.72,21.93,22.06,22.26,22.47,22.68,22.95,23.36,23.55,23.96,24.24,24.59,24.88,25.17,25.24,25.38,25.44,25.37,25.58,26.01,26.22,26.44,26.86,27.36,28.41,29.59,30.41,30.88,31.02,31.14,31.69,32.53,33.92,35.21,36.27,37.26,37.84,38.47,39.25,40.06,40.86,41.68,42.74,43.77,44.84,45.94,47.29,48.75,50.28,51.91,53.36,54.65,55.52,56.59,57.78,59.37,61.17,62.24,63.1,64.27,65.16,65.72,66.22,66.79,67.26,67.58,67.92,68.36,68.86,69.2,69.55,70.03,70.03,70.54,70.66,70.97,68.86,69.15,69.32,69.52,69.93,71.11,71.78,72.49,73.4,74.32,75.1,75.64,76.92,78.38,79.28,79.99,82.93,85.28,86.27,86.27,87.17,87.6,88.25,88.54,89.5,90.18,90.47,91.11,92.16,92.69,93.29,93.76,95.08,95.9,96.43,97.24,98.28,99.46,100.83,101.43,102.91,102.85,103.77,104.1,104.39,104.65,104.59,105.32,106.45,106.8,106.97,107.94,109.42,110.64,112.12,113.6,115.77,117.25,118.19,118.93,119.65,120.08,120.94
