"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"35","27","          Consumption of general government fixed capital \2\","B432RG3",16.487,16.612,16.946,17.32,17.165,17.266,17.684,17.859,18.122,17.752,17.51,17.465,17.378,17.283,17.617,18.416,18.725,18.797,18.927,19.154,19.094,19.11,19.3,19.448,19.311,19.559,19.221,19.265,19.365,19.602,19.705,20.038,20.056,19.986,20.302,20.719,21.215,21.439,21.615,21.879,22.408,22.528,22.821,23.016,22.648,22.688,23,23.207,23.161,23.177,23.287,23.315,23.356,23.343,23.392,23.403,23.437,23.44,23.537,23.656,23.759,23.699,24.077,24.439,24.489,24.627,24.516,24.413,24.407,24.412,24.399,24.468,24.545,24.649,24.811,24.893,24.903,25.14,25.261,25.439,25.546,25.751,25.997,26.237,26.484,26.564,26.834,27.118,27.447,27.763,27.97,28.233,28.637,29.029,29.453,29.934,30.489,30.862,31.087,31.277,32.028,32.281,32.784,33.463,33.9,34.519,35.165,35.25,36.087,37.023,38.49,39.455,39.838,40.243,41.24,42.232,43.057,43.914,44.801,45.66,46.918,47.537,47.48,48.697,50.157,51.079,52.026,52.257,52.647,53.781,55.058,55.997,56.593,58.448,59.309,60.84,62.385,63.728,64.943,65.966,67.47,68.726,69.707,69.911,70.347,70.821,72.288,72.435,73.327,73.753,73.714,74.284,73.94,73.232,73.467,73.313,72.468,72.858,72.88,72.614,72.916,72.124,71.976,71.747,72.246,72.638,72.905,73.604,73.972,74.177,74.606,75.169,75.725,76.019,76.519,77.437,78.085,78.293,79.004,79.331,79.264,79.678,79.864,80.715,81.866,82.331,83.032,83.55,84.085,85.162,85.803,87.273,87.695,87.871,87.908,88.321,88.357,88.478,88.563,88.619,88.496,88.573,88.448,88.808,88.585,88.951,89.1,89.419,89.759,90.28,90.751,91.262,92.246,92.208,92.529,92.552,92.578,92.9,93.029,92.716,92.659,92.675,92.844,93.496,93.532,93.771,94.028,94.08,95.015,96.322,97.213,98.353,99.484,99.676,99.986,100.854,101.917,103.414,104.481,104.448,105.286,105.848,106.319,106.962,107.436,108.925,109.579,109.114,108.546,108.059,108.257,108.589
"36","28","        Intermediate goods and services purchased \3\","W087RG3",11.771,11.914,12.974,12.934,13.449,13.445,14.057,13.864,14.123,13.751,13.635,13.577,13.87,14.36,14.439,15.397,16.061,15.528,15.654,15.884,14.484,15.055,15.175,15.685,15.277,15.295,15.249,15.476,16.027,15.677,16.097,16.165,16.639,16.829,17.182,17.512,17.56,17.792,17.668,17.724,18.432,18.388,18.417,18.51,18.71,18.758,18.755,18.807,17.705,17.266,16.659,16.797,16.675,16.939,16.985,17.648,17.358,17.492,17.342,17.498,17.833,17.996,17.988,17.674,17.948,17.846,17.589,18.072,18.083,17.923,18.503,18.202,18.408,18.521,18.781,19.1,18.875,18.566,19.621,19.588,19.644,19.859,20.154,20.244,20.288,20.646,20.634,21.013,20.933,21.558,21.671,22.07,21.735,21.593,22.181,22.27,22.555,22.975,23.457,23.832,23.871,24.122,24.298,24.488,25.209,25.893,26.833,27.008,27.855,28.907,30.774,32.087,32.653,32.95,33.717,33.993,34.762,35.073,35.951,36.881,37.555,38.037,38.399,39.514,40.16,40.693,41.677,42.516,43.543,44.302,46.13,48.313,50.167,52.088,53.203,54.314,55.335,56.755,57.816,58.511,59.316,59.835,60.442,61.039,61.548,61.828,62.264,62.699,63.301,64.1,64.566,64.263,64.289,64.541,64.772,65.512,65.218,64.373,64.696,65.181,65.294,65.934,66.776,66.784,66.712,66.976,66.8,67.362,67.8,67.744,68.438,68.979,69.987,70.48,71.753,73.85,73.163,72.554,73.141,74.008,73.609,73.769,75.134,75.133,75.006,75.605,76.081,76.338,76.226,76.912,77.494,77.803,77.798,78.437,78.822,79.14,79.407,79.663,80.058,80.711,80.851,80.786,81.046,81.533,81.209,81.37,81.657,81.954,81.782,82.306,83.111,83.871,84.8,85.156,86.016,86.847,87.112,87.237,87.571,87.439,87.657,88.546,89.336,90.087,91.618,91.879,92.396,92.829,93.773,94.905,95.944,97.133,98.295,99.512,100.753,101.44,102.13,103.859,104.883,104.379,104.875,106.23,107.105,108.706,109.984,112.907,114.584,110.876,108.693,109.154,110.325,110.973
"37","29","          Durable goods","A998RG3",16.406,16.56,17.182,17.447,17.631,17.73,18.539,18.602,18.856,18.194,18.153,18.297,18.746,18.9,19.072,20.443,20.305,20.351,20.355,20.57,20.686,20.912,21.157,21.397,21.302,21.461,21.357,21.534,21.408,21.664,22.291,22.737,22.259,22.381,22.87,23.646,23.991,24.289,24.372,24.683,25.356,25.49,25.764,26.138,26.071,25.968,26.159,26.376,26.448,26.592,26.739,26.814,26.794,26.755,26.821,26.788,26.836,26.894,27.017,27.104,27.177,27.292,27.472,27.916,28.1,28.304,28.085,28.025,27.957,27.935,27.94,28.017,28.101,28.265,28.354,28.36,28.473,28.654,28.822,29.062,28.972,29.16,29.527,29.403,30.025,30.335,30.573,30.936,31.042,31.485,31.747,32.232,32.479,32.968,33.34,33.891,34.568,34.999,35.016,34.753,33.964,33.784,33.653,33.738,34.612,35.497,35.965,35.986,36.657,37.356,39.03,40.485,41.805,42.251,42.986,44.18,44.475,45.394,47.49,48.789,49.532,49.674,49.074,52.231,52.49,53.356,54.47,56.049,57.187,58.163,60.026,61.382,62.101,63.176,63.993,65.291,66.911,68.294,70.477,71.439,74.088,75.363,76.622,78.684,80.794,81.985,83.274,84.43,86.446,88.856,89.413,88.659,88.48,88.682,88.951,89.682,89.546,90.241,90.895,91.748,90.621,90.664,90.61,89.795,87.678,87.339,86.859,86.845,86.597,86.69,86.801,87.431,88.097,88.614,89.019,89.579,90.956,90.917,91.472,91.91,92.391,92.713,93.295,93.594,94.354,94.806,95.461,96.138,96.504,96.368,96.185,96.435,96.37,96.543,96.529,97.004,97.331,96.983,96.28,96.567,96.735,96.796,96.684,96.273,96.275,96.293,95.973,96.202,96.205,96.006,95.861,96.215,96.763,96.575,96.601,96.599,96.563,96.817,96.628,96.575,96.758,96.692,96.651,96.906,97.426,97.595,97.464,97.515,97.873,98.343,98.63,99.062,99.773,100.035,100.115,100.077,100.82,102.129,103.011,103.435,103.057,102.523,102.262,102.338,102.672,103.109,103.728,104.288,104.139,104.031,104.094,104.288
"38","30","          Nondurable goods","A725RG3",7.811,8.484,8.874,9.553,10.766,10.798,10.957,10.852,10.482,9.896,9.735,9.704,9.634,9.788,10.415,10.982,10.271,10.306,10.286,10.299,9.47,9.443,9.449,9.469,9.112,9.041,8.994,9.028,10.48,10.494,10.451,10.57,11.625,11.703,11.887,12.12,12.367,12.466,12.429,12.4,13.066,13.069,12.818,12.635,12.377,12.082,12.258,12.231,12.432,12.24,12.171,12.121,12.265,12.383,12.459,12.467,12.377,12.259,12.2,12.18,12.206,12.16,12.204,12.147,11.953,11.897,11.923,11.857,11.853,11.782,11.869,11.819,11.977,11.951,12.086,12.123,12.234,12.322,12.621,12.437,12.445,12.463,12.488,12.528,12.519,12.571,12.594,12.644,12.738,12.777,12.836,12.863,12.901,12.932,12.966,12.952,13.025,13.107,13.156,13.213,13.323,13.609,13.692,13.943,14.9,15.484,17.651,18.58,20.292,21.26,24.601,27.926,27.329,26.595,28.653,28.382,29.558,29.667,30.184,30.545,31.527,32.212,32.618,33.501,33.813,34.15,34.613,35.352,37.091,39.331,44.332,51.265,56.927,64.804,64.753,64.875,67.131,71.946,72.013,70.566,69.538,68.725,68.191,68.222,65.907,64.156,64.316,64.372,63.216,63.2,63.18,62.375,61.416,61.541,61.404,62.001,58.316,48.854,46.182,46.02,47.87,50.68,52.54,53.65,52.887,54.512,56.235,54.661,56.817,58.04,57.231,58.963,61.463,60.361,64.816,77.072,67.444,59.665,61.068,62.076,57.797,59.044,61.464,60.487,58.371,59.728,57.89,57.923,55.276,56.999,58.188,59.228,57.377,58.558,58.548,60.047,62.118,63.023,63.833,67.808,66.405,62.566,61.326,62.496,58.084,56.502,55.461,55.472,53.499,56.841,60.339,64.7,68.909,68.569,72.484,76.957,71.441,69.993,69.179,64.037,62.747,66.638,68.594,71.133,78.176,73.702,72.913,72.889,73.792,80.372,84.369,91.017,90.728,97.246,104.705,107.321,104.973,112.728,114.579,106.609,105.287,112.829,115.703,128.074,135.094,156.081,160.958,118.559,97.584,104.108,111.486,115.879
"39","31","          Services","A489RG3",13.339,12.763,14.398,13.878,14.012,13.928,14.825,14.365,15.236,15.193,15.048,14.862,15.379,16.509,15.994,17.042,19.788,18.148,18.5,18.943,15.326,16.921,17.077,18.449,17.609,17.606,17.654,18.188,18.36,16.778,17.547,17.063,18.126,18.528,18.932,19.049,18.791,19.053,18.703,18.629,19.509,19.353,19.356,19.428,20.002,20.256,20.03,19.955,17.492,16.592,15.366,15.629,15.426,15.895,15.945,17.069,16.582,16.802,16.546,16.783,17.322,17.59,17.505,16.86,17.351,17.14,16.771,17.621,17.658,17.434,18.354,17.844,18.105,18.261,18.625,19.159,18.675,17.985,19.735,19.699,19.832,20.175,20.615,20.788,20.7,21.283,21.165,21.775,21.505,22.578,22.672,23.266,22.555,22.141,23.07,23.096,23.398,23.974,24.754,25.405,25.605,25.943,26.243,26.404,26.893,27.527,28.017,27.9,28.421,29.58,30.87,31.375,32.202,32.868,33.217,33.433,34.194,34.41,35.127,36.125,36.687,37.218,37.852,38.471,39.348,39.834,40.946,41.588,42.425,42.785,43.854,45.143,46.485,47.255,48.813,50.162,50.727,51.373,52.329,53.467,54.111,54.689,55.344,55.614,56.151,56.547,56.768,57.061,57.521,57.943,58.485,58.405,58.674,58.959,59.224,59.978,60.096,60.301,61.05,61.529,61.705,62.183,63.154,63.231,63.914,64.149,63.767,64.853,65.246,64.93,66.069,66.425,67.35,68.048,69.148,70.238,70.276,70.492,70.961,71.947,71.859,71.831,73.277,73.331,73.226,73.773,74.546,74.735,74.82,75.568,76.254,76.486,76.708,77.389,77.898,78.064,78.134,78.436,79.017,79.383,79.686,80.012,80.506,81.089,81.171,81.568,82.142,82.5,82.515,82.863,83.52,83.889,84.45,85.026,85.677,86.254,87.269,87.573,88.16,88.628,89.022,89.7,90.501,91.143,92.158,93.024,93.795,94.354,95.404,96,96.812,97.515,98.906,99.689,100.407,100.999,102.007,103.184,104.141,104.293,105.143,106.135,106.985,107.723,108.594,110.127,111.673,111.144,110.548,110.467,111.195,111.563
"40","32","      Less: Own-account investment \4\","W088RG3",9.264,9.478,9.883,10.15,9.737,9.642,9.556,9.41,9.939,9.797,9.827,10.022,9.91,9.619,9.752,9.744,11.308,11.024,10.872,10.88,11.244,11.253,11.266,11.366,11.406,11.534,11.365,11.469,11.423,11.536,11.446,11.408,11.505,11.681,11.554,11.529,11.626,11.86,11.89,11.892,12.027,12.114,12.196,12.283,12.714,12.868,12.903,12.864,12.927,12.91,12.847,12.794,12.856,12.799,13.26,13.284,13.313,13.2,13.164,13.17,13.247,13.135,13.128,13.402,13.422,13.403,13.401,13.433,13.6,13.547,13.748,13.715,13.719,13.769,13.834,14.004,14.137,14.135,14.214,14.195,14.262,14.348,14.436,14.877,14.966,15.137,15.49,15.733,15.814,15.911,16.455,16.581,16.925,17.268,17.53,17.735,18.35,18.669,18.901,19.022,19.419,19.586,19.716,20.254,20.593,20.894,21.3,21.767,22.103,22.911,23.671,24.669,25.359,25.715,25.912,26.643,26.922,27.261,27.818,28.717,29.423,30,30.508,31.192,31.533,31.946,32.488,33.231,33.749,34.15,34.814,36.132,37.021,37.717,38.358,39.837,40.58,41.242,41.585,42.749,43.436,43.785,44.101,44.939,45.062,45.294,45.505,45.912,46.809,47.019,47.452,47.545,48.095,48.26,48.293,48.723,48.872,49.184,49.564,49.802,50.112,50.381,50.907,51.31,51.992,52.987,53.625,53.539,54.306,54.731,55.445,55.6,55.751,56.445,57.191,57.807,58.948,59.103,59.635,59.366,60.033,60.629,61.678,61.437,61.635,62.5,63.689,63.842,64.381,65.586,65.855,66.247,67.492,67.673,68.541,68.37,69.703,69.498,69.67,70.614,71.352,71.926,72.715,73.149,73.557,73.74,74.648,74.532,75.094,76.099,77.084,76.444,77.908,78.233,80.183,80.426,80.477,81.342,82.536,83.044,85.702,85.637,85.859,86.062,89.034,89.496,89.991,90.23,93.556,95.281,96.104,96.266,99.134,99.416,100.603,100.847,103.495,104.787,105.341,105.078,107.641,108.739,109.119,108.911,110.88,111.721,111.968,112.017,107.586,107.949,108.536,108.978
"41","33","            Sales to other sectors","W089RG3",10.379,10.797,11.058,11.32,11.483,11.631,11.968,11.773,12.16,12.085,11.792,11.71,11.767,11.952,12.139,12.646,12.963,12.91,12.865,12.964,12.951,13.048,13.277,13.21,13.419,13.741,13.423,13.402,13.56,13.979,13.901,14.59,14.252,14.468,14.051,14.34,14.272,14.377,14.428,14.563,14.949,15.041,15.082,14.93,15.318,15.311,15.385,15.511,15.612,15.741,15.817,15.913,15.953,15.959,15.984,15.981,15.998,16.025,16.026,15.97,16.093,16.086,16.034,16.076,16.115,16.232,16.187,16.33,16.389,16.561,16.519,16.466,16.471,16.481,16.483,16.532,16.439,16.523,16.58,16.678,16.778,16.92,17.076,17.287,17.658,17.775,18.105,17.996,18.33,18.425,18.725,19.145,19.059,19.274,19.605,19.657,20.811,20.937,21.141,21.211,16.532,16.9,16.982,17.078,17.474,17.644,18.404,18.517,18.859,20.465,21.251,22.705,23.041,23.005,23.314,23.779,24.783,24.936,24.865,25.506,25.343,25.638,26.014,26.857,27.891,28.325,28.927,29.682,29.95,30.583,30.992,32.16,32.952,33.681,34.267,35.46,36.637,37.174,37.629,38.519,39.625,40.08,40.762,41.182,41.835,42.36,42.195,42.647,43.648,44.167,45.001,45.23,46.109,46.002,46.506,47.608,47.775,47.956,48.18,48.033,48.785,48.62,48.81,49.366,50.076,49.859,49.637,49.782,50.512,52.784,54.043,54.523,55.394,56.228,55.485,55.551,58.464,59.882,60.976,63.125,65.386,66.189,66.223,66.749,69.526,69.474,68.619,68.355,69.119,69.067,69.4,69.54,69.994,70.2,70.655,70.85,72.657,73.243,73.623,73.852,74.663,75.064,75.277,75.752,76.533,76.965,77.394,77.858,79.132,79.216,79.556,79.974,80.989,81.344,82.08,82.876,84.987,85.274,86.477,87.309,88.628,89.162,89.686,89.82,91.895,92.412,92.727,93.093,95.06,95.713,96.431,96.644,99.27,99.88,100.358,100.491,102.644,103.149,103.866,104.276,106.783,107.72,108.121,109.402,110.775,109.013,112.964,113.128,110.005,109.411,109.913,110.301
"42","34","    Nondefense consumption expenditures \1\","A542RG3",8.552,8.095,9.103,9.123,8.624,8.344,8.269,8.205,8.954,9.025,8.874,9.209,9.276,9.155,8.813,8.085,9.683,9.171,9.004,9.099,9.557,9.641,9.744,9.934,9.948,10.06,9.958,10.106,9.936,10.154,10.055,10.165,10.54,10.729,10.518,10.542,10.55,10.721,10.908,10.771,10.929,11.12,11.141,11.399,11.761,12.094,12.039,12.114,12.194,12.048,11.843,11.839,11.891,11.893,12.32,12.426,12.61,12.53,12.554,12.583,12.869,12.841,12.87,13.252,13.063,13.114,13.201,13.279,13.574,13.735,14.048,14.076,14.163,14.18,14.295,14.565,14.767,14.78,14.967,15.084,15.102,15.232,15.327,15.514,15.92,16.14,16.497,16.799,16.821,16.931,17.452,17.664,18.54,18.883,19.026,19.073,19.804,20.292,20.541,20.751,21.103,21.259,21.409,21.813,22.269,22.419,22.589,23.178,23.292,23.988,24.478,25.582,26.313,26.845,27.437,28.33,28.497,28.768,29.214,30.191,30.897,31.324,31.485,32.32,32.35,32.587,32.889,33.857,34.279,34.697,35.226,36.766,37.387,38.001,38.733,40.86,41.684,41.995,42.282,43.706,44.309,44.707,45.094,46.28,46.632,46.802,47.11,46.893,47.468,47.999,48.524,48.839,49.74,50.12,49.913,50.568,50.875,51.402,51.677,51.88,52.154,52.361,52.628,52.831,53.764,54.4,54.44,54.089,55.324,55.74,56.119,56.604,56.962,57.942,57.926,59.206,61.003,61.3,61.504,61.418,62.039,62.513,63.029,64.194,65.282,65.721,66.663,67.113,67.843,68.819,68.563,69.285,70.619,70.409,70.577,73.592,73.912,72.472,72.856,73.591,74.733,75.049,75.382,76.126,76.316,76.527,76.952,76.862,77.961,78.607,79.339,80.235,81.47,80.732,82.485,83.252,83.114,83.552,84.097,84.925,87.784,87.612,87.278,87.487,90.754,90.951,91.171,91.425,94.839,96.077,96.449,96.665,99.204,99.674,100.508,100.614,102.878,103.858,103.999,104.254,106.854,107.558,107.345,107.574,109.367,109.858,110.057,110.109,111.136,111.432,111.656,111.907
"43","35","      Gross output of general government","W128RG3",8.08,8.386,9.109,9.166,8.617,8.396,8.324,8.226,8.978,9.041,8.88,9.205,9.281,9.172,8.853,8.144,9.707,9.225,9.06,9.146,9.582,9.676,9.761,9.939,9.954,10.066,9.969,10.114,9.976,10.152,10.064,10.177,10.551,10.732,10.527,10.553,10.566,10.752,10.935,10.823,10.986,11.153,11.179,11.415,11.791,12.101,12.032,12.105,12.179,12.054,11.862,11.87,11.916,11.922,12.324,12.424,12.602,12.525,12.546,12.579,12.859,12.833,12.865,13.233,13.065,13.108,13.201,13.285,13.571,13.733,14.037,14.064,14.152,14.168,14.284,14.553,14.748,14.772,14.954,15.066,15.079,15.206,15.312,15.515,15.908,16.133,16.493,16.816,16.875,16.974,17.43,17.644,18.473,18.8,18.947,19.01,19.73,20.225,20.499,20.714,21.047,21.208,21.377,21.781,22.261,22.466,22.649,23.246,23.361,24.042,24.508,25.54,26.248,26.775,27.365,28.253,28.456,28.758,29.196,30.166,30.887,31.297,31.539,32.388,32.466,32.723,33.047,34.026,34.479,34.924,35.559,36.987,37.827,38.428,39.211,41.313,42.127,42.454,42.713,44.068,44.626,44.98,45.37,46.522,46.847,47.021,47.315,47.135,47.68,48.157,48.67,48.961,49.807,50.136,49.957,50.581,50.794,51.101,51.365,51.681,52.005,52.233,52.564,52.763,53.668,54.321,54.37,54.062,55.309,55.801,56.172,56.649,56.997,57.897,57.989,59.44,60.838,61.159,61.435,61.416,61.992,62.458,62.968,64.14,65.293,65.771,66.646,67.128,67.837,68.798,68.57,69.278,70.583,70.387,70.559,73.484,73.83,72.484,72.874,73.69,74.816,75.078,75.398,76.116,76.305,76.511,76.626,76.825,77.921,78.578,79.325,80.226,81.485,80.789,82.532,83.268,83.143,83.572,84.109,84.918,87.755,87.599,87.28,87.494,90.733,90.935,91.163,91.422,94.809,96.04,96.422,96.652,99.189,99.667,100.54,100.604,102.863,103.839,103.995,104.252,106.825,107.524,107.333,107.596,109.393,109.897,110.136,109.968,110.975,111.285,111.516,111.773
"44","36","        Value added","W129RG3",4.832,5.03,5.542,5.522,5.048,4.944,4.865,4.79,5.454,5.424,5.393,5.689,5.614,5.376,5.37,5.082,6.16,5.743,5.558,5.526,5.894,5.95,6.001,6.143,6.248,6.346,6.203,6.248,6.191,6.279,6.283,6.366,6.516,6.796,6.776,6.803,6.924,7.148,7.185,7.16,7.259,7.357,7.423,7.574,7.977,8.198,8.302,8.338,8.367,8.397,8.415,8.407,8.435,8.385,8.83,8.929,9.04,9.09,9.144,9.155,9.254,9.23,9.233,9.653,9.698,9.741,9.751,9.794,10.19,10.195,10.432,10.456,10.539,10.656,10.738,10.971,11.078,11.091,11.201,11.186,11.23,11.265,11.29,11.761,11.945,12.098,12.424,12.706,12.65,12.696,13.229,13.418,14.444,14.643,14.773,14.826,15.661,16.167,16.441,16.593,17.066,17.182,17.284,17.733,18.168,18.314,18.606,19.256,19.178,19.573,19.885,21.017,21.603,22.045,22.314,23.158,23.311,23.45,23.732,24.855,25.724,26.108,26.303,27.274,27.181,27.25,27.418,28.438,28.743,29.001,29.312,30.739,31.316,31.601,32.071,34.211,34.705,35.123,35.444,36.652,37.199,37.512,37.668,38.416,38.558,39.01,39.056,39.181,40.176,40.376,40.788,41.001,41.966,42.196,41.775,42.087,42.488,42.965,43.442,43.752,44.313,44.459,44.529,44.834,45.983,47.033,47.595,47.802,48.923,49.117,49.293,49.699,50.073,51.119,51.061,52.994,54.734,54.928,55.16,54.904,55.683,56.198,56.649,57.905,59.449,60.046,61.222,61.792,62.656,63.904,63.346,64.197,65.78,65.281,65.343,69.719,70.233,67.97,68.304,69.27,70.691,70.93,71.268,72.135,72.637,72.8,72.823,73.086,74.604,75.489,76.378,77.421,78.709,77.494,79.841,80.623,80.028,80.386,81.071,82.267,86.532,85.815,85.027,85.06,89.627,89.923,89.998,90.241,94.977,96.435,96.499,96.385,99.548,99.65,100.56,100.241,103.448,104.481,104.159,104.403,108.028,108.554,107.982,108.005,110.201,109.864,109.52,109.726,112.295,112.34,112.027,112.031
"45","37","          Compensation of general government employees","W130RG3",3.669,3.839,4.149,4.226,3.806,3.712,3.59,3.554,4.109,4.082,4.144,4.393,4.325,4.097,4.102,3.817,4.737,4.387,4.235,4.244,4.565,4.619,4.62,4.746,4.802,4.941,4.807,4.866,4.82,4.92,4.879,4.967,5.108,5.353,5.323,5.362,5.46,5.659,5.725,5.707,5.779,5.86,5.906,6.048,6.424,6.61,6.713,6.732,6.767,6.782,6.781,6.768,6.79,6.724,7.167,7.244,7.316,7.369,7.401,7.444,7.505,7.477,7.495,7.846,7.877,7.907,7.878,7.932,8.281,8.305,8.512,8.529,8.603,8.685,8.77,8.985,9.075,9.065,9.153,9.13,9.166,9.187,9.198,9.627,9.777,9.901,10.189,10.438,10.352,10.366,10.862,11.015,11.972,12.133,12.225,12.245,13.01,13.465,13.699,13.811,14.258,14.352,14.435,14.849,15.233,15.35,15.615,16.132,16.076,16.37,16.561,17.537,18.031,18.401,18.635,19.419,19.483,19.65,19.901,20.954,21.749,22.097,22.236,23.148,23.044,23.077,23.205,24.132,24.379,24.56,24.789,26.098,26.552,26.755,27.136,29.121,29.507,29.824,30.06,31.164,31.628,31.86,32.012,32.736,32.884,33.346,33.389,33.509,34.502,34.672,35.078,35.292,36.255,36.489,36.042,36.363,36.775,37.256,37.725,38.005,38.61,38.753,38.798,39.072,40.225,41.291,41.848,42.015,43.173,43.341,43.492,43.899,44.255,45.332,45.214,47.223,49.032,49.231,49.494,49.227,50.126,50.675,51.172,52.52,54.134,54.75,56.026,56.621,57.589,58.912,58.288,59.201,60.885,60.216,60.253,65.117,65.773,63.322,63.734,64.866,66.542,66.799,67.206,68.228,68.902,69.069,69.122,69.444,71.133,72.095,73.079,74.21,75.621,74.131,76.764,77.646,76.996,77.372,78.212,79.631,84.709,83.919,83.01,83.051,88.396,88.742,88.841,89.164,94.709,96.314,96.265,95.991,99.616,99.632,100.593,100.159,103.878,104.935,104.43,104.624,108.949,109.567,108.855,108.808,111.451,110.98,110.469,110.713,113.755,113.845,113.637,113.606
"46","38","          Consumption of general government fixed capital \2\","B546RG3",20.122,20.363,24.648,22.516,21.81,21.748,23.131,22.219,23.617,23.613,21.207,21.787,21.715,21.963,21.658,22.519,24.093,23.247,22.78,21.799,22.261,22.187,23.352,23.452,24.458,23.327,23.324,22.946,22.764,22.404,23.404,23.178,23.198,23.616,23.895,23.571,23.927,24.172,23.46,23.328,23.817,24.058,24.427,24.395,24.365,24.848,24.665,25.046,24.847,25.159,25.614,25.751,25.882,26.456,25.497,25.859,26.668,26.462,26.955,26.059,26.872,27.034,26.622,27.568,27.857,28.086,29.095,28.737,29.157,28.701,29.003,29.115,29.221,29.857,29.717,29.828,30.093,30.543,30.881,31.063,31.165,31.399,31.636,32.13,32.638,33.079,33.585,34.032,34.577,35.139,35.542,36.099,36.852,37.416,38.042,38.588,39.449,40.107,40.682,41.327,41.545,41.881,42.165,42.564,43.245,43.694,44.031,46.071,45.708,47.344,49.384,51.586,52.93,53.995,54.473,55.071,56.627,56.02,56.409,56.975,57.798,58.223,59.156,59.633,59.909,60.524,61.164,62.269,63.165,64.4,65.683,67.114,68.96,70.252,71.596,73.508,75.15,76.654,77.923,79.387,80.586,81.749,81.805,82.174,82.107,82.033,82.065,82.162,82.389,82.827,83.025,83.092,83.47,83.503,83.642,83.67,83.714,83.9,84.254,84.736,84.609,84.729,85.035,85.529,86.179,86.691,87.1,87.643,88.028,88.424,88.783,89.064,89.49,89.917,90.44,91.142,91.838,91.934,91.856,91.751,91.301,91.407,91.371,91.592,92.231,92.553,92.687,92.978,92.867,93.329,93.364,93.617,94.192,95.019,95.245,95.73,95.233,94.457,94.218,93.987,93.621,93.721,93.599,93.455,92.877,93.008,92.856,92.76,93.211,93.622,93.955,94.484,95.056,95.425,96.118,96.359,96.071,96.327,96.168,96.165,96.126,95.778,95.632,95.633,96.042,96.089,96.041,95.862,96.348,97.042,97.69,98.4,99.198,99.74,100.404,100.658,101.343,102.258,102.824,103.303,103.612,103.704,103.778,104.123,104.254,104.535,104.96,104.987,105.334,105.171,104.369,104.529
