"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155"
"45","37","GAP85        Net transactions in used autos","GAP853",22.18,22.601,23.413,23.814,24.246,23.85,23.971,23.487,24.089,24.087,23.17,23.7,23.184,23.96,24.175,24.784,25.312,25.759,25.395,24.828,24.852,25.063,25.198,26.024,26.986,27.409,26.682,25.909,24.732,25.894,28.61,31.165,32.001,31.69,33.006,33.889,33.926,36.423,37.55,39.085,40.579,40.735,38.612,37.161,37.652,38.496,40.566,41.577,41.551,43.982,43.229,41.348,41.653,42.236,43.181,47.067,49.474,51.245,54.797,57.634,58.857,60.732,61.873,62.845,64.116,65.184,68.02,71.082,72.966,75.817,77.222,77.23,77.887,76.761,74.929,74.88,74.742,72.287,71.272,71.15,71.468,74.804,76.319,76.775,76.944,77.575,78.201,78.798,80.477,80.31,78.613,78.245,78.202,77.542,77.165,76.38,76.726,77.472,78.197,78.191,77.833,79.609,81.988,83.91,84.428,86.77,89.179,90.812,89.559,90.68,93.497,96.814,101.752,103.035,101.881,102.278,103.812,102.466,101.801,101.258,101.703,99.77,96.519,95.768,96.433,96.359,97.356,97.848,95.736,96.234,98.658,99.331,98.744,99.761,99.71,101.636,103.27,102.557,101.285,100.502,99.281,97.86,97.858,95.404,95.582,95.314,91.262,84.813,84.092,84.305,86.158,87.884
"46","38","GAP88        Employee reimbursement","GAP883",16.103,16.338,16.455,16.658,16.923,17.131,17.363,17.655,18.011,18.189,18.506,18.802,19.244,19.604,19.949,20.238,20.562,21.013,21.445,21.622,21.856,22.008,22.206,22.438,22.798,23.125,23.475,23.856,24.326,25.128,26.204,27.266,28.143,28.736,29.195,29.733,30.372,30.846,31.356,31.855,32.523,33.142,33.703,34.289,34.805,35.126,35.646,36.944,37.796,38.753,39.638,40.271,41.235,42.628,44.014,44.924,46.404,46.802,47.515,48.204,49.142,50.832,51.8,52.549,53.011,53.656,53.843,54.27,55.245,55.633,56.474,56.952,57.634,57.856,58.327,59.292,60.675,62.567,63.918,65.151,66.472,67.003,67.649,67.962,67.141,67.826,69.591,70.799,71.894,71.793,72.243,73.729,75.278,76.035,75.451,75.948,75.519,76.346,78.436,76.116,75.44,74.717,80.019,81.188,81.564,81.709,81.136,82.771,84.439,85.118,84.442,85.424,87.017,86.293,87.198,87.51,89.256,88.277,88.435,86.846,89.504,90.641,91.882,93.12,93.136,93.411,96.491,95.681,94.578,96.866,96.775,100.3,98.958,100.112,100.611,100.335,99.484,96.175,93.615,95.173,100.502,102.562,103.151,99.541,98.823,99.2,100.735,102.703,99.162,96.873,97.472,97.036
"47","39","B708RG     Trucks","B708RG3",24.993,25.11,25.276,25.626,25.784,25.854,26.035,26.155,26.275,26.492,26.851,27.073,27.331,27.766,28.071,28.495,29.597,30.143,30.017,29.461,28.785,28.452,28.3,27.994,27.906,28.497,29.05,29.31,29.886,30.756,31.849,33.368,34.838,35.589,36.113,36.974,37.664,38.477,39.625,40.632,41.483,42.315,43.454,44.894,45.659,46.412,47.609,47.848,49.327,50.974,51.097,52.24,53.561,54.454,56.557,58.448,60.379,62.561,63.802,65.682,65.4,66.424,67.635,68.036,68.507,68.62,69.303,70.401,71.359,72.349,72.378,72.027,72.67,72.672,72.925,74.352,74.928,76.552,76.223,77.389,76.117,75.514,75.127,74.812,75.278,75.795,76.367,79.058,79.439,79.998,79.804,81.098,80.382,80.852,81.359,82.927,83.159,82.886,83.673,86.18,86.474,87.838,87.966,89.624,90.641,91.122,91.786,92.284,93.74,94.704,95.303,94.537,95.701,96.573,97.106,97.271,97.188,97.438,97.192,96.511,97.249,97.154,97.511,96.682,96.317,96.862,97.541,98.696,99.194,99.623,99.352,99.545,99.556,99.667,100.19,100.587,99.115,98.826,100.021,99.007,99.234,99.539,98.639,99.74,100.617,99.492,100.106,102.407,103.353,103.796,103.75,104.858
"48","40","W495RG       New trucks","W495RG3",24.897,25.014,25.178,25.527,25.685,25.755,25.935,26.055,26.174,26.39,26.748,26.969,27.226,27.659,27.963,28.385,29.483,30.027,29.902,29.347,28.674,28.343,28.191,27.886,27.799,28.388,28.938,29.198,29.772,30.638,31.726,33.24,34.704,35.452,35.974,36.832,37.519,38.329,39.473,40.475,41.323,42.152,43.287,44.722,45.483,46.234,47.426,47.664,49.137,50.778,50.9,52.039,53.355,54.245,56.34,58.224,60.143,62.319,63.558,65.435,65.178,66.189,67.371,67.729,68.1,68.225,68.995,70.183,71.188,72.246,72.327,71.991,72.629,72.599,72.776,74.142,74.676,76.146,75.785,76.879,75.682,75.277,74.99,74.719,75.175,75.697,76.272,78.823,79.28,79.796,79.524,80.726,80.055,80.448,80.907,82.333,82.573,82.362,83.138,85.443,85.684,87.087,87.412,89.086,90.046,90.687,91.497,92.108,93.293,94.276,95.118,94.789,96.316,97.237,97.601,97.785,97.882,97.967,97.668,97.004,97.684,97.4,97.406,96.575,96.327,96.828,97.533,98.63,98.887,99.317,99.318,99.54,99.489,99.687,100.151,100.672,99.502,99.182,100.143,99.164,99.22,99.346,98.537,99.261,100.038,98.984,99.14,100.471,101.247,101.663,101.831,102.984
"49","41","W496RG       Net transactions in used light trucks","W496RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.151,65.188,68.06,71.316,73.036,75.861,77.287,77.3,77.889,76.911,75.012,74.94,74.543,72.363,71.328,71.163,71.524,74.765,76.386,76.839,77.021,77.636,78.264,78.861,80.571,80.393,78.675,78.317,78.324,77.538,77.252,76.458,76.807,77.553,78.204,78.254,77.869,79.766,82.069,83.979,84.465,86.799,89.274,90.886,89.655,90.679,93.597,97.236,101.76,103.094,101.976,102.281,103.922,102.567,101.903,101.464,101.918,99.857,96.699,95.862,96.486,96.544,97.439,97.925,95.906,96.344,98.842,99.364,98.824,99.873,99.809,101.523,103.254,102.569,101.263,100.532,99.123,97.874,97.873,95.433,95.627,95.258,91.495,84.767,84.089,84.298,86.217,87.928
"50","42","ZZZZZZ   Net exports","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","AB69RG     Exports","AB69RG3",19.679,19.769,19.605,20.327,20.361,19.833,19.977,20.398,20.517,20.406,21.463,21.571,21.127,21.883,21.533,21.116,22.223,23.106,22.84,23.031,23.533,23.629,23.629,23.488,23.997,24.372,25.419,25.312,26.045,26.891,28.29,30.135,30.586,31.772,32.574,32.964,34.192,33.959,34.896,35.6,36.709,37.348,38.29,39.038,38.576,41.318,42.272,42.924,45.702,46.975,47.287,48.105,51.047,50.776,53.894,55.807,59.949,62.053,62.555,64.167,64.714,65.13,65.634,65.976,66.663,67.642,68.201,68.91,69.572,69.477,70.344,70.659,72.197,72.515,72.983,73.443,73.949,75.906,76.848,78.039,78.475,78.81,79.218,79.304,80.007,80.159,80.544,81.004,80.686,81.034,82.04,84.577,84.517,85.218,85.756,86.159,87.522,88.238,88.809,89.252,89.605,90.005,90.438,90.575,90.35,90.67,90.864,90.423,91.182,91.782,92.435,92.753,93.094,93.519,93.772,94.117,94.449,94.705,94.693,94.402,95.192,95.727,96.165,96.379,96.591,96.825,96.877,97.295,97.654,97.969,98.274,99.162,99.65,99.93,100.166,100.253,100.437,100.522,100.468,100.963,101.309,101.616,102.04,103.052,103.284,103.494,103.823,104.205,104.745,105.318,105.903,106.75
"52","44","B142RG       Autos","B142RG3",17.7,17.792,17.792,17.975,17.977,18.068,17.702,18.07,18.343,18.526,19.168,19.443,19.443,19.352,19.167,18.894,20.087,20.543,20.727,20.819,21.096,21.187,21.555,21.644,21.919,22.653,23.478,23.571,24.305,24.945,26.23,28.432,29.075,30.357,30.632,30.909,31.824,32.007,33.11,34.395,35.127,35.494,36.505,37.052,36.959,38.522,40.724,40.811,44.297,46.225,46.5,47.601,50.075,51.821,54.666,57.228,60.851,62.947,63.423,65.034,65.593,65.997,66.488,66.806,67.451,68.425,68.983,69.711,70.431,70.356,71.248,71.567,72.833,73.151,73.63,74.108,74.665,76.658,77.614,78.809,79.208,79.526,79.925,80.004,80.722,80.881,81.279,81.757,81.45,81.805,82.819,85.404,85.338,86.325,87.011,86.911,88.344,89.336,90.053,90.033,90.438,91.093,91.741,91.308,91.203,91.771,92.205,91.184,92.184,92.936,93.722,93.653,94.277,94.847,95.43,95.874,96.233,96.644,97.105,96.549,96.942,97.3,97.601,97.212,97.305,97.493,97.624,98.352,98.415,98.287,98.288,99.647,99.827,100.123,100.122,99.931,100.205,100.229,100.262,100.596,100.73,101,101.098,102.3,102.298,102.465,102.498,102.898,103.335,104.063,104.028,104.436
"53","45","B706RG       Trucks","B706RG3",23.59,23.68,23.135,25.359,25.54,23.03,24.655,25.236,24.935,24.113,26.087,25.783,24.483,26.895,26.154,25.466,26.414,28.344,26.923,27.361,28.408,28.524,27.595,26.907,27.945,27.4,28.946,28.311,28.972,30.214,31.804,32.957,33.11,34.209,35.79,36.424,38.335,37.379,38.067,37.79,39.595,40.792,41.516,42.552,41.291,45.909,44.694,46.24,47.992,48.286,48.769,49.251,53.252,49.768,53.359,54.476,59.269,61.357,61.847,63.421,63.965,64.348,64.811,65.118,65.741,66.681,67.229,67.936,68.65,68.575,69.441,69.755,71.793,72.105,72.573,73.04,73.583,75.543,76.485,77.665,78.069,78.388,78.784,78.864,79.558,79.716,80.116,80.601,80.338,80.726,81.766,84.278,84.222,84.423,84.608,85.985,87.153,87.306,87.514,88.864,89.08,89.077,89.201,90.141,89.81,89.834,89.739,89.989,90.453,90.877,91.386,92.111,92.171,92.453,92.389,92.636,92.942,93.04,92.568,92.518,93.641,94.333,94.898,95.606,95.962,96.254,96.249,96.38,96.977,97.681,98.246,98.739,99.509,99.783,100.234,100.572,100.672,100.81,100.643,101.304,101.843,102.176,102.963,103.779,104.277,104.543,105.174,105.545,106.179,106.613,107.711,108.915
"54","46","AB70RG     Imports","AB70RG3",14.845,14.978,14.658,14.85,15.525,15.379,15.064,15.651,15.661,15.774,15.723,17.147,17.16,17.028,17.766,17.976,18.785,18.887,18.818,19.455,20.024,20.366,20.704,21.28,21.563,23.335,23.744,24.272,23.051,24.431,26.176,27.594,29.992,30.391,30.777,31.346,31.349,31.707,32.632,33.2,34.034,34.15,35.563,36.588,38.564,40.412,42.034,43.515,45.599,44.798,44.228,45.512,46.677,46.187,49.291,51.909,53.272,54.289,53.848,57.927,57.657,57.493,56.755,57.834,58.595,58.892,58.766,60.588,60.046,61.26,61.194,61.945,62.458,62.698,62.699,65.499,68.819,71.139,72.35,74.578,75.516,76.595,76.327,77.63,79.277,80.82,80.227,82.76,82.626,81.638,80.803,82.918,82.183,80.824,81.286,83.644,84.999,85.353,85.303,87.024,87.168,86.623,87.305,88.414,87.756,88.851,89.312,91.188,91.414,92.265,92.802,94.468,94.644,95.444,96.032,96.59,96.321,96.295,96.746,96.881,96.745,96.813,97.316,97.831,97.807,98.034,97.903,98.483,99.031,99.274,99.572,99.632,99.765,99.838,100.046,100.351,100.459,100.337,100.548,101.036,101.137,101.12,101.287,101.571,101.63,101.998,102.061,102.928,103.095,103.53,104.13,104.546
"55","47","B143RG       Autos","B143RG3",13.664,13.84,13.488,13.664,14.37,14.193,13.84,14.458,14.457,14.545,14.457,16.044,16.044,15.868,16.661,16.837,17.631,17.719,17.631,18.336,18.953,19.306,19.658,20.364,20.716,22.744,23.184,23.802,22.391,23.89,25.741,27.151,29.708,29.972,30.325,30.854,30.854,31.206,32.176,32.617,33.411,33.499,35.085,35.967,38.259,40.463,42.314,43.99,46.457,45.135,44.254,45.665,46.81,45.928,49.367,52.275,53.2,54.197,53.753,57.838,57.605,57.446,56.706,57.761,58.482,58.759,58.65,60.448,59.95,61.167,61.13,61.861,62.36,62.594,62.59,65.382,68.71,71.027,72.263,75.126,76.286,77.372,77.367,78.394,80,81.709,81.078,83.787,83.398,82.302,81.394,83.593,82.787,81.297,81.675,84.222,85.532,85.886,85.92,87.723,87.865,87.339,87.952,89.356,88.698,89.821,90.244,92.335,92.793,93.34,93.848,95.434,95.591,96.521,97.151,97.786,97.435,97.336,97.588,97.756,97.751,98.016,98.82,99.174,98.985,98.821,98.465,99.053,99.758,100.055,99.949,99.913,99.918,99.983,99.919,100.178,100.209,100.011,100.142,100.906,100.944,100.776,100.91,101.409,101.377,101.443,101.443,102.343,102.477,102.674,103.344,103.808
"56","48","B707RG       Trucks","B707RG3",22.765,22.523,22.523,22.852,23.108,23.272,23.428,23.514,23.509,23.76,24.002,24.097,24.275,24.543,24.811,25.252,26.034,26.216,26.302,26.207,26.287,26.529,26.78,26.529,26.372,26.649,27.012,27.176,27.595,28.27,29.385,30.69,31.572,32.273,32.541,33.241,33.817,34.319,35.088,36.221,36.843,36.955,37.483,39.117,40.043,40.718,41.643,42.507,43.305,44.265,44.965,45.735,47.023,48.224,49.936,51.397,54.332,55.386,54.935,59.074,58.849,58.698,57.945,59.074,59.751,60.052,59.827,61.784,61.26,62.539,62.386,63.209,63.649,63.864,63.854,66.701,70.073,72.474,73.678,73.91,74.307,75.451,74.488,76.608,78.351,79.485,78.957,81.058,81.508,80.772,80.134,82.082,81.572,80.502,81.15,83.141,84.547,84.886,84.665,86.246,86.401,85.829,86.636,87.268,86.64,87.689,88.198,89.652,89.381,90.673,91.278,93.123,93.521,94.188,94.759,95.202,94.961,95.013,95.702,95.795,95.529,95.339,95.437,96.161,96.326,97.053,97.207,97.773,98.139,98.324,99.11,99.293,99.582,99.67,100.204,100.564,100.761,100.73,101.03,101.197,101.362,101.525,101.73,101.762,101.931,102.63,102.766,103.596,103.799,104.469,104.998,105.364
"57",NA,"       Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","50","AB75RG   Final sales of motor vehicles to domestic purchasers","AB75RG3",29.299,29.509,30.022,30.492,30.448,30.647,30.891,31.178,31.136,31.307,31.533,31.762,31.843,32.041,32.408,33.449,34.345,34.606,34.047,33.494,34.106,34.401,34.618,33.993,34.053,34.49,34.772,34.817,35.069,35.975,37.63,39.007,39.494,40.371,40.827,41.655,42.478,43.036,43.841,44.983,45.328,45.778,46.397,47.842,48.928,49.505,50.469,51.338,52.485,53.695,54.106,54.893,56.291,57.312,58.617,59.665,60.283,62.26,63.383,64.351,64.466,65.167,65.91,66.021,66.855,67.288,67.915,68.67,69.11,69.737,70.228,70.36,71.051,71.536,71.976,72.746,73.198,74.388,75.425,76.608,76.728,77.691,78.578,78.86,77.865,78.406,79.68,80.653,80.888,81.604,81.594,82.473,82.145,82.157,82.245,83.269,84.373,85.112,85.67,86.52,86.498,87.14,87.532,88.145,89.023,90.055,91.122,92.242,93.263,94.373,95.55,96.195,96.754,97.35,97.501,98.047,98.807,99.189,99.774,100.231,100.494,100.261,100.464,100.347,99.529,99,99.416,99.68,99.936,99.961,100.041,100.154,99.839,100.197,100.017,99.947,99.467,99.332,99.535,99.452,98.995,98.601,98.118,98.388,97.874,97.117,96.998,97.232,97.337,97.562,96.587,97.34
"59","51","AB76RG   Private fixed investment in new autos and new light trucks","AB76RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.654,81.273,82.093,82.121,82.146,82.805,83.892,84.39,84.833,85.22,84.851,85.998,86.01,85.684,86.01,86.892,88.432,88.949,89.556,90.422,91.003,91.797,92.319,93.16,93.936,94.722,95.495,96.227,97.268,98.352,99.398,99.246,99.791,100.31,100.348,100.616,101.008,101.349,101.881,101.916,101.98,101.469,101.049,100.182,99.663,99.107,99.603,100.048,100.036,100.123,99.843,100.012,99.624,100.017,100.216,100.143,99.157,98.904,99.646,98.373,97.86,97.441,95.99,96.369,96.61,95.235,95.414,96.738,96.041,96.331,95.346,96.401
"60","52","B148RG   Domestic output of new autos","B148RG3",33.934,34.121,34.613,35.1,35.086,35.243,35.448,35.763,35.633,35.841,36.088,36.348,36.306,36.429,36.782,38.161,39.129,39.204,38.516,37.558,38.288,38.468,38.777,37.951,38.078,38.466,38.777,38.625,38.895,39.742,41.55,43.005,43.422,44.711,45.037,45.84,46.799,47.158,47.7,48.798,49.22,49.656,50.341,51.85,53.024,53.463,54.413,55.605,57.057,58.435,59.192,59.986,61.674,63.033,64.534,65.343,65.798,67.724,68.847,69.681,70.408,70.634,71.331,71.294,71.906,72.438,72.984,73.576,74.005,74.458,74.996,75.242,76.143,76.746,77.276,77.651,78.365,79.695,80.823,81.93,82.052,82.561,83.589,83.916,83.568,83.96,84.962,85.476,85.618,86.033,85.829,86.986,87.523,86.947,87.136,87.989,89.728,90.63,90.793,91.215,91.943,92.523,93.084,93.301,93.637,94.3,94.971,95.529,96.464,97.046,98.005,98.415,99.861,99.291,99.414,99.83,98.983,100.652,101.264,101.39,101.038,101.332,101.137,100.751,101.003,100.32,100.648,100.395,100.204,99.764,99.666,99.834,99.755,100.174,100.177,99.894,99.751,99.854,99.017,99.729,99.092,98.856,98.276,99.076,98.396,98.122,96.36,96.586,97.287,97.554,96.951,97.308
"61","53","B149RG   Sales of imported new autos","B149RG3",35.753,35.95,36.486,36.997,36.965,37.133,37.378,37.69,37.524,37.747,37.996,38.287,38.336,38.503,38.948,40.418,41.253,41.243,40.362,39.468,40.216,40.392,40.647,39.767,39.929,40.292,40.529,40.367,40.551,41.542,43.393,44.727,45.026,46.163,46.5,47.406,48.402,48.82,49.368,50.428,50.766,51.188,51.844,53.449,54.756,55.087,55.909,57.204,58.503,59.811,60.6,61.365,62.963,64.267,65.571,66.197,66.334,68.362,69.467,70.288,70.453,71.048,71.708,71.622,72.188,72.645,73.175,73.812,74.254,74.705,75.228,75.575,76.473,77.025,77.514,78.013,78.741,79.98,81.194,82.288,82.356,82.907,83.803,84.152,83.708,84.244,85.304,85.79,85.982,86.392,86.178,87.024,87.567,87.153,87.24,88.18,89.812,90.512,90.855,91.326,91.848,92.461,93.015,93.446,93.819,94.471,95.212,95.999,96.717,97.511,98.509,99.038,99.458,99.974,99.985,100.379,100.915,101.243,101.852,102.03,101.943,101.812,101.512,101.119,101.009,100.694,100.962,100.603,100.356,99.907,99.837,99.864,99.745,100.18,100.18,99.896,99.872,99.43,99.446,99.386,99.188,98.081,98.367,98,96.004,96.506,96.984,96.83,96.031,96.222,95.626,95.961
"62","54","GAP91      Imports from Canada","GAP913",35.614,35.867,36.641,37.077,37.034,37.283,37.404,37.657,37.616,37.813,38.086,38.29,38.431,38.629,39.63,40.962,41.578,41.492,38.476,39.955,40.421,40.509,40.418,39.603,40.184,40.45,40.372,40.764,40.85,42.743,44.471,45.756,45.57,46.43,47.068,48.054,48.623,48.993,49.866,50.808,51.15,51.61,52.639,54.03,55.445,55.747,56.381,57.779,59.699,60.654,61.202,62.065,64.276,65.324,66.649,67.193,66.87,70.276,70.3,71.867,68.669,71.821,72.018,71.659,72.532,72.697,73.406,74.228,74.727,74.631,75.052,76.238,77.329,77.093,77.395,78.657,79.293,80.547,82.078,83.121,82.647,82.876,83.202,83.775,83.687,85.005,85.962,86.204,86.212,86.407,86.72,87.179,87.576,88.558,88.588,89.289,90.266,90.278,91.803,92.308,91.747,92.557,92.762,93.669,93.988,94.416,95.154,95.943,95.414,97.538,98.525,99.069,93.61,99.98,99.964,100.368,107.359,101.268,101.866,102.057,103.566,101.796,101.513,101.146,99.467,100.856,100.813,100.585,100.315,99.961,99.885,99.873,99.753,100.193,100.192,99.902,99.534,98.411,101.561,99.132,98.967,96.761,99.805,96.492,94.366,93.308,102.124,98.922,95.985,96.054,95.653,95.805
"63","55","GAP128     Imports from Mexico","GAP1283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.539,77.73,75.064,77.101,79.062,78.519,82.174,84.322,82.165,82.899,83.1,83.891,83.67,85.006,85.971,86.202,86.217,86.413,86.718,87.158,87.576,88.58,88.614,89.281,90.249,90.278,91.788,92.309,91.746,92.571,92.779,93.651,93.988,94.416,95.154,95.943,95.414,97.538,98.525,99.069,93.61,99.98,99.964,100.368,107.359,101.268,101.866,102.057,103.566,101.796,101.513,101.146,99.467,100.856,100.813,100.585,100.315,99.961,99.885,99.873,99.729,100.17,100.169,99.878,99.963,99.523,99.372,99.539,99.615,98.411,97.212,97.214,95.856,95.712,99.244,99.274,95.976,96.034,95.646,95.8
"64","56","GAP100   Exports of used autos","GAP1003",22.308,22.695,23.522,23.834,24.27,23.872,23.997,23.507,24.063,24.211,23.314,23.64,23.299,23.845,24.188,24.8,25.425,25.704,25.351,24.931,24.879,25.013,25.151,26.015,27.031,27.386,26.773,25.938,24.88,25.832,28.733,31.196,31.94,31.804,33.135,33.827,33.966,36.441,37.731,38.973,40.62,40.65,38.649,37.378,37.51,38.624,40.631,41.623,41.605,43.837,43.162,41.253,39.283,50.311,43.348,42.916,45.231,51,53.125,67.489,32.731,71.894,73.572,67.923,68.936,65.673,65.438,67.732,70.82,75.342,78.65,79.034,77.912,76.903,75.03,74.985,74.472,73.281,72.789,71.753,71.985,74.761,76.407,76.521,77.026,77.657,78.299,78.888,80.602,80.391,78.708,78.332,78.326,77.562,77.27,76.483,76.822,77.562,78.238,78.265,77.889,79.766,82.057,84.008,84.487,86.819,89.306,90.904,89.682,90.717,93.603,97.251,101.779,103.125,101.998,102.292,103.946,102.586,101.929,101.482,101.886,99.949,96.755,95.885,96.516,96.566,97.461,97.958,95.926,96.317,98.805,99.362,98.855,99.907,99.842,101.507,103.255,102.595,101.246,100.518,99.146,97.865,97.906,95.422,95.625,95.223,91.407,84.813,84.105,84.252,86.1,87.922
"65","57","GAP103   Imports of used autos","GAP1033",22.272,22.702,23.542,23.833,24.252,23.862,23.984,23.501,23.953,24.211,23.297,23.628,23.296,23.816,24.189,24.779,25.411,25.694,25.34,24.932,24.868,25.006,25.146,25.989,27.01,27.375,26.776,25.934,24.836,25.871,28.703,31.183,31.926,31.793,33.133,33.811,33.962,36.426,37.712,38.956,40.593,40.653,38.648,37.359,37.498,38.605,40.599,41.601,41.575,43.814,43.12,41.227,41.678,42.522,43.668,47.425,49.898,51.82,55.024,57.994,58.948,60.248,62.086,62.939,64.152,65.169,68.124,71.306,72.945,75.826,77.202,77.278,82.2,83.587,82.563,82.607,80.54,77.176,74.498,73.279,72.144,74.724,76.37,75.892,77.02,77.619,78.245,78.834,80.563,80.357,78.667,78.296,78.285,77.519,77.23,76.442,76.787,77.534,78.191,78.229,77.851,79.724,82.009,83.964,84.433,86.754,89.242,90.857,89.637,90.67,93.556,97.201,101.725,103.075,101.948,102.242,103.899,102.525,101.881,101.425,101.804,99.937,96.721,95.839,96.458,96.541,97.414,97.913,95.852,96.301,98.818,99.332,98.805,99.841,99.77,101.43,103.256,102.594,101.246,100.519,99.146,97.865,97.906,95.422,95.591,95.343,91.612,84.955,84.102,84.233,85.965,87.97
