"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"47","39","        Intermediate goods and services purchased \3\","W131RA3",4.46,9.283,5.481,4.951,3.372,9.367,12.606,14.909,16.633,19.812,14.838,11.158,7.587,7.373,0.008,16.562,2.394,4.001,6.642,5.749,9.58,8.476,8.972,9.138,14.456,21.812,17.678,18.581,20.993,15.986,14.639,19.634,15.158,26.183,18.488,15.626,14.145,15.38,9.144,10.949,15.464,9.754,8.152,16.081,4.702,14.994,9.917,14.762,19.599,27.124,27.714,27.422,15.478,15.777,17.632,20.828,12.96,17.169,17.836,17.739,19.259,22.258,27.153,27.405,27.097,22.605,30.901,27.949,30.22,31.391,28.904,27.886,29.419,29.303,33.368,32.198,30.657,33.765,28.817,25.037,35.218,29.18,28.357,30.733,29.992,27.089,30.845,32.003,32.419,33.569,34.912,31.021,31.282,32.88,31.875,31.974,29.3,34.69,37.998,34.979,39.691,40.838,40.363,40.104,39.323,38.921,38.757,37.277,41.346,33.964,42.99,45.437,41.872,43.704,42.664,42.957,41.396,41.023,40.565,39.186,41.637,42.996,44.736,47.247,45.112,47.408,47.136,49.766,49.855,49.433,48.432,52.126,49.506,58.082,51.865,50.661,52.567,57.443,55.342,53.258,51.77,46.716,48.435,51.401,52.675,54.166,66.08,38.483,39.398,51.057,50.31,50.593,52.632,54.327,54.544,53.168,52.828,55.994,61.06,63.872,58.712,54.746,48.002,56.396,45.632,44.696,43.33,50.121,52.769,56.979,57.146,56.435,59.641,60.837,63.523,63.489,64.313,62.826,65.292,63.159,69.629,68.209,70.251,69.697,66.143,64.76,64.562,65.599,67.426,68.721,68.767,71.505,70.943,68.866,69.455,68.381,66.962,65.751,65.696,67.981,70.136,70.375,69.602,70.852,69.766,69.29,67.863,65.648,63.519,65.433,67.242,67.209,68.195,69.396,71.662,74.682,73.328,80.153,80.427,83.812,86.682,90.223,91.663,91.324,95.043,90.011,96.686,93.13,96.014,96.659,97.391,100.604,100.105,95.283,99.933,104.679,111.233,103.804,104.589,94.89,94.119,97.335,100.502,104.664,108.75,112.157,112.955,113.365,113.7,114.75,117.409,122.369
"48","40","          Durable goods","A543RA3",21.96,18.413,3.506,1.774,10.982,5.224,4.94,12.426,5.894,2.5,7.384,12.754,7.433,6.194,12.511,2.833,4.574,6.972,3.134,14.044,8.144,5.407,5.777,7.178,2.812,7.615,7.271,6.565,4.886,10.848,5.318,6.418,7.324,5.867,3.787,5.713,5.704,5.696,6.03,5.735,5.721,5.353,4.944,5.272,4.47,3.086,4.766,4.308,3.359,3.23,2.934,3.071,2.932,3.544,4.006,4.676,4.905,5.323,8.238,8.994,9.052,9.91,12.403,13.062,13,14.022,16.741,17.971,18.777,17.508,21.15,22.606,23.465,25.248,26.76,26.772,27.208,26.326,27.557,25.119,24.794,23.398,22.601,22.405,20.279,18.03,18.541,17.519,17.686,16.572,15.947,14.653,13.686,12.612,12.945,12.546,12.363,13.244,13.18,10.834,12.713,12.868,14.806,12.914,10.67,10.765,11.136,9.458,9.161,9.496,8.985,8.967,11.339,8.618,9.072,10.116,9.648,10.322,11.346,10.704,11.111,12.111,12.742,12.475,14.953,15.818,14.641,15.624,16.521,16.742,20.004,20.518,22.733,22.978,20.483,19.903,19.784,20.54,21.279,14.938,23.275,12.22,14.121,16.076,23.792,24.258,25.581,26.416,25.6,27.379,28.042,27.511,27.741,27.162,28.17,27.87,26.544,26.951,27.995,30.462,29.792,30.995,31.924,32.38,32.004,32.74,32.853,33.145,33.629,35.375,36.855,37.939,39.976,40.64,41.524,41.735,41.457,41.519,42.178,43.605,45.959,44.172,46.65,45.902,46.49,46.389,44.088,44.844,43.499,42.918,43.835,42.537,42.353,40.54,42.518,44.022,46.355,47.564,50.221,51.356,51.264,51.456,52.999,51.984,52.74,53.207,51.052,51.009,54.886,57.552,57.962,57.248,57.776,59.383,61.441,64.352,61.765,64.409,66.466,68.48,77.173,78.121,80.284,80.944,78.007,76.161,78.341,77.407,80.278,87.01,88.16,91.588,92.971,97.315,102.53,107.184,114.036,105.872,106.702,100.772,101.9,106.174,111.892,115.721,120.944,124.454,124.583,128.469,127.916,129.645,135.37,138.511
"49","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","            Other nondurable goods","B828RA3",7.861,12.823,4.412,6.321,5.388,19.457,18.156,17.253,12.629,7.779,24.638,23.964,10.668,5.307,6.036,9.024,13.011,12.623,14.683,14.129,13.911,7.06,7.049,5.973,9.795,9.042,8.04,7.033,6.638,6.444,6.115,13.713,5.718,8.907,11.52,11.853,16.033,14.134,14.081,14.728,24.438,20.96,23.932,12.174,7.106,6.715,8.79,13.771,21.056,26.589,25.433,27.02,10.509,21.723,24.178,22.679,7.892,28.321,27.656,28.448,15.145,27.131,28.221,21.312,27.327,29.476,28.449,17.103,27.584,35.646,26.629,20.076,12.625,31.893,34.141,31.883,25.644,44.654,31.102,28.024,44.209,26.314,30.6,38.659,29.785,24.365,26.846,31.243,36.585,35.878,32.923,35.694,37.894,37.639,34.089,34.988,33.656,36.232,34.449,33.269,36.586,40.199,40.404,37.511,33.74,35.497,32.131,32.208,35.16,37.319,37.568,36.899,27.848,27.638,26.047,29.685,30.331,35.257,37.775,37.292,36.094,38.739,41.348,44.718,43.053,46.476,48.276,50.27,50.521,46.361,46.623,44.78,41.418,41.852,44.555,57.968,61.455,84.806,87.832,73.949,60.351,53.387,51.718,54.135,50.756,57.728,64.386,57,56.58,61.727,54.35,67.639,55.832,61.291,54.297,39.32,47.441,48.178,46.984,43.54,52.621,58.483,53.88,47.064,61.052,59.492,43.524,44.677,50.23,43.935,46.663,44.462,49.235,53.86,48.177,46.305,42.883,39.016,43.019,43.482,49.014,51.237,53.102,52.89,59.781,57.584,57.585,56.791,50.326,50.854,46.874,50.286,58.267,57.298,57.523,56.51,51.121,50.846,51.654,52.195,59.282,60.791,61.538,61.212,67.126,66.528,65.688,66.452,48.14,47.561,46.88,46.342,48.523,48.655,52.444,54.667,61.992,64.954,70.215,74.833,71.02,74.05,72.908,73.98,73.472,81.126,86.727,87.479,93.394,91.209,90.933,96.51,100.067,98.355,98.435,103.143,103.449,93.507,91.018,84.959,83.628,87.995,90.33,95.092,99.092,105.758,99.021,99.702,108.347,112.108,106.78,109.261
"52","44","          Services","A544RA3",7.259,9.703,5.778,5.778,8.191,9.819,10.918,11.442,9.046,15.18,7.694,5.371,11.011,12.177,7.31,4.789,6.129,7.281,6.803,5.633,13.265,11.09,11.345,8.338,7.93,10.61,12.056,13.572,14.521,11.086,12.562,9.493,12.139,20.945,7.752,8.687,13.199,14.434,14.01,12.64,11.537,15.483,13.134,13.093,11.532,16.674,10.813,10.017,16.382,14.733,14.728,18.378,21.157,16.779,17.998,19.402,25.11,20.624,21.456,21.927,29.906,22.685,24.617,26.638,31.516,28.55,32.635,37.743,38.218,37.139,34.827,39.274,42.102,36.398,37.632,38.24,42.271,41.723,44.413,39.285,41.663,34.948,38.54,39.565,34.987,32.357,34.57,34.685,34.463,34.15,31.546,33.257,35.041,38.088,38.309,40.195,39.107,42.506,43.109,40.57,47.079,48.158,50.376,50.017,51.876,52.534,47.861,44.068,48.584,46.485,49.859,53.667,50.082,52.152,53.382,53.516,47.911,47.191,47.732,44.883,48.102,48.693,49.592,52.246,52.159,54.291,53.112,54.057,56.032,57.725,55.015,59.733,57.182,59.111,58.403,52.467,53.608,51.776,50.279,50.956,50.465,46.031,49.545,52.815,54.011,51.63,51.199,51.889,52.864,52.934,51.816,53.147,55.803,54.247,56.311,54.048,54.048,53.98,55.255,56.689,58.567,57.953,62.382,60.508,58.366,59.803,59.165,59.155,58.275,59.895,60.085,61.742,66.482,67.998,68.929,68.132,66.51,67.58,72.372,71.795,77.652,73.817,75.758,74.452,68.306,67.424,66.999,69.179,72.877,74.181,76.328,78.06,74.471,74.018,73.391,72.185,71.403,70.318,69.925,72.489,73.225,73.369,72.116,73.63,70.717,70.066,68.421,65.771,67.163,69.299,71.881,72.425,72.061,73.527,75.146,77.836,74.995,80.342,83.07,86.168,90.295,93.173,95.72,95.453,100.607,91.684,99.454,94.554,98.046,98.441,100.86,101.671,97.915,97.36,100.53,104.195,112.692,105.55,107.233,96.548,95.959,98.905,101.982,105.926,109.806,113.871,115,115.36,114.168,114.658,119.437,124.444
"53","45","      Less: Own-account investment \4\","W136RA3",9.988,14.65,14.015,13.833,14.52,19.557,24.724,34.681,23.019,23.01,36.493,35.299,26.624,18.129,54.056,41.765,49.789,64.79,78.635,73.731,88.126,94.823,103.273,101.282,112.916,103.054,96.773,86.933,91.447,89.654,82.257,76.788,75.555,69.837,70.193,62.435,61.626,67.472,73.81,69.921,69.091,72.037,77.983,83.278,74.192,75.339,84.447,93.397,117.083,122.563,112.438,111.558,99.294,107.837,107.368,117.364,119.524,104.722,112.963,119.4,102.613,113.738,113.286,119.539,92.407,97.191,112.963,100.721,93.411,95.311,98.833,98.696,91.536,100.786,99.968,103.249,111.007,106.931,103.325,103.094,123.317,113.428,115.197,107.91,109.198,102.868,95.306,96.904,93.211,93.601,93.076,88.714,88.812,93.324,96.675,95.775,100.449,98.367,104.094,99.736,119.364,100.007,96.368,102.3,96.577,90.145,91.613,93.729,68.271,88.462,87.511,92.061,75.689,76.635,81.349,83.051,69.13,77.308,75.972,74.164,62.268,63.484,70.12,63.705,65.528,71.118,81.183,76.392,73.523,79.654,87.846,87.663,88.658,92.164,94.592,90.367,85.507,88.768,88.299,91.201,90.681,92.389,95.462,92.422,96.396,95.951,102.048,98.709,101.072,103.146,108.789,114.824,119.163,120.553,118.638,116.669,115.169,118.664,119.505,121.939,126.35,131.536,130.004,133.18,131.685,134.873,140.557,139.282,139.796,142.067,154.04,157.519,162.998,173.51,158.071,152.419,155.986,163.432,165.493,169.208,174.241,166.788,163.987,152.568,156.663,160.904,163.898,156.742,147.672,145.062,156.307,146.659,154.767,147.986,159.648,134.434,135.028,141.29,151.492,138.413,153.223,142.956,130.472,114.223,141.096,156.512,147.127,111.523,84.141,146.358,143.471,123.799,95.482,99.633,104.43,102.721,121.297,132.414,120.932,108.083,103.881,102.827,109.087,100.634,94.635,97.283,93.284,101.75,93.74,96.259,100.426,94.982,97.849,99.994,102.476,99.681,97.084,97.609,100.43,98.944,94.896,94.368,97.101,92.913,99.43,101.081,106.457,110.251,113.38,109.609,113.057,110.877
"54","46","            Sales to other sectors","W137RA3",172.076,131.083,34.752,32.348,73.245,23.19,21.184,55.752,17.71,16.824,34.337,20.287,20.674,128.482,14.123,15.513,37.43,29.093,27.912,23.854,17.461,43.154,18.943,28.087,27.824,22.252,24.279,24.938,24.286,66.623,21.53,29.728,33.215,265.452,29.358,29.248,28.897,54.013,26.668,24.803,53.773,80.07,64.791,65.894,24.744,112.081,26.614,26.602,79.841,27.908,36.37,62.366,39.64,36.315,37.187,35.226,38.152,34.657,40.663,34.654,43.481,34.497,40.107,34.643,104.079,31.232,43.611,37.311,70.339,30.296,46.81,37.302,47,34.273,42.806,39.794,53.099,44.023,36.219,35.922,42.726,29.735,72.096,57.266,55.228,57.753,63.636,66.437,57.977,65.222,69.14,66.604,66.83,61.918,53.85,63.824,57.282,62.371,58.997,64.882,80.337,81.67,81.133,92.953,86.362,86.175,66.365,75.664,89.172,85.796,68.474,76.305,71.718,80.37,73.676,78.958,70.495,110.712,125.45,60.414,107.282,110.312,137.783,103.773,109.286,127.314,144.588,129.111,130.826,136.526,132.552,184.406,119.464,137.928,135.188,114.01,105.782,110.925,127.548,97.746,99.496,98.004,109.743,93.1,98.669,95.765,129.906,123.38,108.684,116.975,115.719,112.396,117.934,112.678,115.154,121.678,121.688,128.378,117.54,126.83,128.722,126.66,131.888,139.465,139.228,148.239,147.21,132.641,137.63,152.139,152.605,129.811,133.596,117.71,131.518,141.567,176.409,113.096,173.283,149.183,151.415,118.374,141.966,92.897,112.858,115.471,94.139,84.464,103.139,147.557,91.406,92.655,104.101,89.391,91.455,123.766,92.088,95.497,119.239,97.871,72.415,68.283,56.967,68.087,60.6,54.415,221.6,51.714,60.786,76.926,59.566,58.062,74.221,81.629,74.424,142.004,50.6,55.768,55.877,77.982,72.371,47.02,45.018,46.781,47.281,70.361,58.564,56.726,51.689,52.214,73.094,84.039,102.21,68.146,104.813,124.831,77.515,76.676,77.262,64.39,58.193,72.284,69.029,65.916,66.872,67.926,111.971,72.688,86.483,95.343,98.575,101.861
"55","47","State and local consumption expenditures \1\","A991RA3",13.781,14.024,14.281,14.365,14.143,14.212,14.246,14.448,14.943,15.334,15.748,16.074,16.511,16.535,16.467,16.443,16.339,16.37,16.471,16.569,16.389,16.999,16.503,16.75,17.082,17.025,17.399,17.389,17.647,17.757,18.132,18.28,18.899,19.033,19.213,19.404,19.394,19.704,19.972,20.255,20.354,20.65,21.078,21.46,21.923,22.394,22.753,23.002,23.117,23.287,23.565,23.869,24.237,24.76,24.928,25.289,25.833,26.22,26.178,26.42,26.463,26.787,27.044,27.348,27.588,27.97,28.478,28.874,29.412,29.868,30.277,30.805,31.197,31.814,32.377,32.865,33.317,33.745,34.224,34.811,34.866,35.241,35.866,36.381,37.076,37.532,38.2,38.776,39.407,39.985,40.564,41.241,41.863,42.341,43.025,43.625,44.131,44.531,45.036,45.566,45.873,46.309,46.763,47.113,47.337,47.757,48.438,48.975,49.529,50.045,50.551,51.155,52.167,52.738,53.167,53.168,53.236,53.327,53.643,53.954,54.198,54.324,54.72,54.998,55.324,55.362,55.759,56.189,56.31,55.96,55.725,56.107,56.128,56.013,55.842,55.637,55.41,55.447,55.827,56.054,56.295,56.536,56.523,56.669,57.192,57.11,57.127,57.154,57.376,57.861,58.525,59.106,59.762,60.594,61.818,62.825,64.084,64.881,65.459,66.126,65.876,65.935,65.646,66.196,67.337,67.85,68.374,69.005,69.51,70.017,70.639,71.265,71.945,72.36,72.89,73.224,73.578,73.926,74.206,74.557,75.119,75.553,76.136,76.405,76.878,77.068,77.527,77.862,78.532,79.14,79.607,79.889,80.548,80.939,81.261,81.674,81.642,82.561,82.844,83.323,83.731,84.36,85.136,85.949,86.941,87.945,88.874,89.618,90.485,91.184,91.916,92.569,92.817,93.299,93.737,94.296,95.21,96.214,97.257,98.32,99.282,99.926,100.293,100.25,99.95,99.733,99.481,99.349,99.501,99.602,99.6,99.761,99.849,99.893,100.14,100.118,100.167,100.372,100.848,101.481,101.948,102.494,102.73,102.919,103.103,103.144,103.341,103.431,103.323,103.356,102.848,102.811
"56","48","      Gross output of general government","W138RA3",12.671,12.895,13.134,13.218,13.014,13.126,13.176,13.391,13.871,14.28,14.671,14.977,15.38,15.427,15.367,15.346,15.23,15.284,15.371,15.448,15.365,15.876,15.47,15.691,15.963,15.926,16.251,16.279,16.501,16.636,16.989,17.146,17.705,17.861,18.041,18.229,18.244,18.522,18.761,19.018,19.129,19.407,19.801,20.174,20.63,21.083,21.442,21.721,21.939,22.116,22.368,22.602,22.946,23.397,23.54,23.84,24.403,24.712,24.762,25.084,25.222,25.464,25.809,26.115,26.485,26.82,27.294,27.697,28.19,28.676,29.097,29.619,30.042,30.648,31.229,31.73,32.165,32.651,33.097,33.694,33.876,34.232,34.802,35.36,36.092,36.622,37.227,37.771,38.362,38.875,39.416,40.015,40.575,41.052,41.748,42.322,42.911,43.352,43.847,44.414,44.732,45.226,45.638,46.074,46.338,46.688,47.189,47.803,48.265,48.699,49.077,49.567,50.513,50.962,51.267,51.404,51.517,51.7,52.036,52.371,52.556,52.68,53.042,53.365,53.654,53.839,54.328,54.856,54.938,54.784,54.663,55.047,55.035,54.94,54.826,54.758,54.632,54.753,55.135,55.406,55.642,55.904,55.934,56.116,56.625,56.669,56.765,56.777,56.879,57.307,57.926,58.49,59.115,59.933,61.032,61.983,63.093,63.857,64.414,64.991,64.816,64.89,64.698,65.188,66.181,66.688,67.173,67.79,68.326,68.849,69.435,70.034,70.632,70.998,71.475,71.858,72.261,72.656,73.011,73.443,74.053,74.513,75.107,75.455,76.062,76.348,76.855,77.257,77.89,78.47,79.006,79.387,80.098,80.521,80.86,81.279,81.307,82.089,82.378,82.902,83.495,84.097,84.867,85.706,86.582,87.515,88.384,89.046,89.824,90.505,91.209,91.968,92.454,93.027,93.637,94.338,95.437,96.504,97.444,98.41,99.192,99.715,100.017,99.977,99.686,99.504,99.351,99.27,99.471,99.609,99.624,99.772,99.845,99.9,100.107,100.148,100.202,100.467,100.917,101.52,102.007,102.599,102.944,103.239,103.613,103.748,103.943,103.973,103.865,103.945,103.525,103.451
"57","49","        Value added","W139RA3",17.066,17.333,17.57,17.749,17.734,17.748,17.895,18.151,18.521,18.915,19.279,19.558,19.632,19.691,19.751,19.846,19.983,20.147,20.333,20.527,20.653,20.799,20.992,21.218,21.44,21.68,21.968,22.222,22.443,22.653,22.897,23.186,23.376,23.621,24.008,24.394,24.643,25.165,25.598,25.971,26.185,26.489,26.91,27.357,27.67,28.182,28.643,29.005,29.164,29.373,29.682,30.013,30.459,30.899,31.373,31.761,32.328,32.508,32.908,33.172,33.297,33.696,34.141,34.559,34.97,35.388,35.99,36.43,37.052,37.589,38.021,38.675,39.037,39.814,40.534,41.161,41.589,42.187,42.794,43.51,43.523,43.907,44.594,45.199,46.129,46.687,47.262,47.771,48.33,48.828,49.343,49.931,50.451,51.003,51.573,52.112,52.611,53.041,53.614,54.23,54.38,54.993,55.49,56.01,56.393,56.867,57.396,57.954,58.557,58.995,59.443,59.918,60.673,60.954,61.199,61.298,61.458,61.587,61.963,62.33,62.461,62.526,62.905,63.236,63.632,63.743,64.422,65.185,65.374,65.161,65.091,65.945,66.271,66.356,66.292,66.18,65.946,65.978,66.413,66.635,66.765,66.853,66.566,66.487,66.534,66.462,66.389,66.215,66.221,66.529,67.049,67.383,67.819,68.259,69.167,69.609,69.925,70.415,70.844,71.632,71.64,71.913,71.907,72.796,73.783,74.273,74.728,75.337,75.927,76.495,77.169,77.675,78.463,78.895,79.403,79.653,79.824,80.044,80.186,80.431,80.98,81.317,81.777,81.856,82.172,82.429,82.785,83.029,83.362,83.919,84.334,84.533,85.236,85.549,85.812,86.231,86.119,87.084,87.257,87.679,88.054,88.46,88.991,89.53,90.011,90.522,90.947,91.179,91.461,91.822,92.377,92.985,93.5,93.928,94.315,94.701,95.278,96.015,96.748,97.362,97.777,98.258,98.584,98.633,98.868,98.912,98.884,98.903,99.048,99.282,99.367,99.6,99.786,99.885,100.186,100.143,100.347,100.583,101.061,101.539,101.986,102.524,102.755,103.162,103.694,103.996,104.276,104.298,104.202,104.269,103.852,103.843
"58","50","          Compensation of general government employees","B251RA3",18.425,18.76,19.054,19.265,19.225,19.217,19.382,19.684,20.129,20.604,21.039,21.356,21.41,21.446,21.487,21.564,21.702,21.872,22.072,22.282,22.406,22.55,22.757,23.003,23.246,23.512,23.831,24.103,24.334,24.55,24.8,25.108,25.292,25.545,25.973,26.402,26.659,27.257,27.736,28.144,28.351,28.667,29.131,29.617,29.941,30.511,31.018,31.402,31.511,31.707,32.025,32.369,32.856,33.335,33.854,34.267,34.897,35.055,35.481,35.742,35.832,36.255,36.732,37.174,37.607,38.045,38.704,39.163,39.84,40.412,40.857,41.568,41.926,42.783,43.57,44.243,44.674,45.308,45.952,46.727,46.652,47.026,47.764,48.405,49.436,50.022,50.627,51.156,51.744,52.261,52.799,53.427,53.973,54.561,55.172,55.749,56.278,56.728,57.35,58.025,58.145,58.818,59.351,59.911,60.31,60.813,61.383,61.985,62.642,63.101,63.574,64.079,64.926,65.198,65.43,65.487,65.621,65.722,66.122,66.513,66.624,66.657,67.067,67.418,67.851,67.939,68.703,69.566,69.741,69.434,69.297,70.264,70.596,70.643,70.514,70.327,69.997,69.988,70.466,70.691,70.808,70.874,70.49,70.354,70.37,70.238,70.104,69.845,69.798,70.103,70.652,70.977,71.415,71.857,72.844,73.282,73.567,74.058,74.476,75.317,75.242,75.477,75.385,76.34,77.411,77.89,78.324,78.932,79.511,80.058,80.726,81.192,81.981,82.362,82.832,83.006,83.093,83.236,83.293,83.47,84.005,84.295,84.73,84.727,84.999,85.204,85.525,85.718,86.017,86.569,86.958,87.096,87.809,88.076,88.285,88.672,88.451,89.463,89.561,89.943,90.274,90.625,91.115,91.607,92.026,92.477,92.829,92.959,93.145,93.421,93.919,94.477,94.926,95.28,95.591,95.903,96.436,97.15,97.862,98.442,98.8,99.237,99.502,99.46,99.631,99.588,99.466,99.397,99.421,99.565,99.559,99.737,99.877,99.914,100.172,100.037,100.177,100.349,100.794,101.237,101.643,102.152,102.312,102.672,103.171,103.414,103.633,103.56,103.355,103.325,102.737,102.605
"59","51","          Consumption of general government fixed capital \2\","B986RA3",9.017,9.044,9.076,9.128,9.177,9.241,9.304,9.375,9.457,9.54,9.625,9.726,9.834,9.94,10.04,10.158,10.259,10.363,10.463,10.564,10.666,10.781,10.886,10.999,11.107,11.218,11.348,11.488,11.626,11.775,11.943,12.108,12.278,12.447,12.62,12.785,12.953,13.125,13.321,13.503,13.694,13.893,14.089,14.313,14.526,14.744,14.956,15.173,15.464,15.683,15.903,16.123,16.343,16.567,16.793,17.021,17.254,17.486,17.719,17.953,18.193,18.438,18.688,18.946,19.209,19.484,19.77,20.066,20.377,20.69,21.009,21.334,21.663,22.001,22.345,22.696,23.052,23.416,23.786,24.161,24.544,24.925,25.305,25.683,26.053,26.424,26.794,27.16,27.522,27.88,28.232,28.578,28.919,29.249,29.569,29.88,30.183,30.477,30.764,31.044,31.316,31.59,31.866,32.143,32.419,32.704,32.995,33.288,33.588,33.878,34.162,34.443,34.722,34.994,35.259,35.516,35.767,36.004,36.231,36.448,36.655,36.858,37.057,37.255,37.445,37.65,37.863,38.085,38.318,38.558,38.804,39.055,39.315,39.561,39.798,40.025,40.242,40.446,40.639,40.822,40.994,41.167,41.342,41.523,41.706,41.911,42.136,42.384,42.651,42.95,43.277,43.632,44.019,44.421,44.842,45.278,45.737,46.186,46.637,47.09,47.542,47.998,48.46,48.932,49.399,49.916,50.464,51.046,51.661,52.309,52.984,53.684,54.427,55.136,55.837,56.525,57.189,57.856,58.512,59.156,59.782,60.399,61.003,61.598,62.19,62.768,63.34,63.906,64.459,65.032,65.615,66.209,66.831,67.438,68.048,68.662,69.273,69.909,70.567,71.254,71.91,72.667,73.467,74.308,75.199,76.098,77.016,77.947,78.879,79.828,80.781,81.735,82.704,83.646,84.572,85.481,86.37,87.275,88.157,89.013,89.842,90.646,91.423,92.17,92.888,93.603,94.313,95.023,96.124,97.075,97.873,98.535,99.08,99.665,100.294,100.961,101.658,102.377,103.108,103.852,104.608,105.367,106.127,106.889,107.655,108.401,109.134,109.852,110.552,111.327,112.177,113.094
