"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"88","10","  Electronic machinery","PS363",90.638,90.903,91.224,91.471,91.764,92.164,92.401,92.524,92.795,93.034,93.327,93.389,93.618,93.818,93.83,93.663,93.676,93.674,93.885,94.014,94.118,94.151,94.216,94.462,94.683,94.755,95.002,95.225,95.326,95.438,95.906,95.928,96.302,96.337,96.37,96.525,95.274,95.189,95.283,95.267,95.328,95.327,95.584,95.716,95.613,95.859,96.011,96.18,96.183,96.459,96.31,96.289,96.579,96.573,96.696,96.96,97.13,97.181,97.433,97.566,97.777,98.111,98.25,98.373,98.514,98.888,99.105,99.168,99.283,99.402,99.331,99.279,99.569,99.544,99.659,99.71,99.772,99.927,100.049,99.939,100.118,100.085,100.261,100.372,100.705,100.738,100.553,100.668,100.59,100.654,100.595,100.565,100.514,100.395,100.339,100.413,100.332,100.548,100.825,100.875,100.667,100.649,100.576,100.572,100.575,100.645,100.684,100.847,100.848,101.16,101.205,101.349,101.281,101.386,101.31,101.395,101.462,101.593,101.719,101.704,101.626,101.604,101.718,101.745,101.895,101.838,101.8,101.555,101.408,101.247,101.196,101.211,101.181,101.348,101.01,101.136,101.12,100.982,100.827,100.745,100.821,100.863,101.034,101,100.938,100.908,100.446,100.117,99.928,99.816,99.766,99.874,99.865,99.437,99.513,99.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","11","  Transportation equipment","PS373",76.451,76.688,76.986,77.575,77.626,77.638,78.019,78.105,78.353,78.541,78.928,78.955,78.516,78.67,78.759,79.267,79.565,79.778,79.823,80.063,78.944,80.323,80.584,80.852,80.658,80.875,81.014,81.651,81.666,81.825,81.674,81.659,81.313,82.28,82.447,82.408,82.943,82.097,82.334,82.573,82.49,82.419,82.099,82.087,82.117,81.834,81.788,81.294,81.649,81.693,81.97,82.069,82.376,82.53,83.012,83.394,83.387,83.456,83.448,84.003,84.49,84.724,84.617,84.312,84.865,85.047,84.92,85.255,85.692,85.886,85.917,86.164,86.222,86.341,86.489,86.723,86.786,87.314,87.745,87.82,88.446,88.603,88.892,89.121,89.426,89.729,89.944,90.077,90.023,90.061,90.206,90.658,90.928,91.706,91.803,91.863,92.274,92.185,92.49,92.706,92.84,92.893,93.054,93.077,93.072,93.19,93.371,93.548,93.687,94.095,94.323,94.651,94.842,94.993,95.299,95.509,95.324,95.258,95.567,95.917,96.473,96.599,96.72,97.082,97.562,97.658,97.726,97.953,97.926,97.404,97.374,97.863,98.134,98.181,98.177,98.574,98.724,98.661,98.611,98.658,98.54,99.264,99.734,100.072,100.233,100.257,100.416,99.707,100.007,100.182,99.98,100.096,99.961,99.662,99.679,99.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","12","    Motor vehicles","PS3713",78.134,78.372,78.799,78.829,78.868,78.864,79.082,79.26,79.523,78.407,78.958,79.035,79.826,80.097,80.294,80.218,80.663,80.998,81.107,81.446,79.616,81.228,81.644,81.987,81.536,81.889,82.114,82.738,82.797,83.041,83.243,83.227,82.853,84.538,84.861,84.816,84.628,83.201,83.456,84.376,84.211,84.041,84.208,84.126,84.125,84.043,83.958,83.201,83.511,83.574,83.985,84.114,84.522,84.622,84.936,85.507,85.288,85.755,85.728,86.261,86.511,86.784,86.514,86.143,86.939,87.174,86.346,86.822,87.526,87.814,87.763,88.074,87.391,87.48,87.66,87.766,87.788,88.599,88.909,88.897,89.856,89.449,89.875,90.279,90.797,91.206,91.371,91.162,90.838,90.807,90.946,91.46,91.862,92.78,92.893,92.954,93.017,92.918,93.365,93.566,93.691,93.555,93.775,93.782,93.596,93.686,94.006,94.228,94.523,95.022,95.299,95.486,95.574,95.876,96.047,96.272,95.943,95.707,96.108,96.559,97.032,97.172,97.313,97.597,98.226,98.37,98.698,98.96,98.862,98.008,97.929,98.579,98.796,98.812,98.764,98.907,99.058,98.882,99.066,99.079,98.861,99.4,100,100.406,99.75,99.729,99.906,99.877,100.266,100.461,100.248,100.345,100.112,99.664,99.677,99.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","13","    Other","PS37X3",73.496,73.693,73.735,75.28,75.336,75.366,75.993,75.917,76.157,78.528,78.668,78.629,76.099,76.074,76.008,77.441,77.498,77.519,77.475,77.558,77.617,78.579,78.586,78.729,78.967,78.953,78.958,79.611,79.557,79.579,78.885,78.866,78.565,78.466,78.408,78.358,79.97,80.051,80.239,79.41,79.448,79.519,78.481,78.569,78.641,78.059,78.063,77.969,78.388,78.403,78.476,78.534,78.675,78.913,79.658,79.74,80.06,79.489,79.505,80.083,80.971,81.127,81.285,81.101,81.255,81.369,82.305,82.431,82.464,82.493,82.666,82.837,83.946,84.127,84.248,84.653,84.78,84.882,85.503,85.701,85.86,86.785,86.889,86.911,86.959,87.138,87.402,87.931,88.216,88.354,88.506,88.874,88.965,89.55,89.622,89.684,90.561,90.478,90.586,90.822,90.964,91.285,91.365,91.409,91.678,91.834,91.806,91.915,91.795,92.05,92.196,92.759,93.113,93.019,93.561,93.736,93.81,94.067,94.209,94.363,95.09,95.194,95.281,95.825,95.973,95.967,95.434,95.581,95.726,95.981,96.07,96.16,96.565,96.686,96.78,97.779,97.909,98.106,97.515,97.627,97.763,98.97,99.086,99.233,101.477,101.592,101.667,99.315,99.384,99.49,99.325,99.49,99.592,99.647,99.684,99.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","14","  Instruments","PS383",79.605,79.716,79.993,80.324,80.497,80.829,80.528,81.01,81.007,81.387,81.424,81.645,82.09,82.142,82.159,81.96,82.155,82.466,82.121,82.156,82.235,82.431,82.641,82.774,82.366,82.391,82.407,83.495,83.609,83.685,83.592,83.724,83.814,84.285,84.617,84.65,83.752,83.904,84.059,84.398,84.509,84.581,85.811,85.892,86.001,85.622,85.721,85.777,85.879,85.952,86.082,86.329,86.482,86.314,86.505,86.455,86.535,86.936,86.99,87.149,87.86,87.998,88.296,89.052,89.324,89.537,89.861,89.943,90.18,90.608,90.792,90.909,90.737,90.761,90.965,91.648,91.889,92.022,92.308,92.353,92.515,92.399,92.555,92.683,93.009,92.864,92.996,93.074,93.064,93.141,93.311,93.409,93.543,93.961,94.132,94.133,94.632,94.567,94.552,94.809,95.351,95.511,95.538,95.704,95.901,96.055,96.234,96.264,96.695,96.823,96.908,96.999,96.918,97.009,97.079,97.315,97.272,97.183,97.332,97.345,97.898,97.753,97.683,97.829,97.762,97.782,97.898,97.9,97.784,98.077,98.179,98.089,98.296,98.595,98.625,98.85,98.951,99.068,99.416,99.475,99.405,100.434,100.317,99.682,100,100.097,100.049,99.935,100.008,99.952,100.103,99.953,99.936,100.04,99.915,99.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","15","  Other manufacturing","PS393",77.675,77.302,78.181,77.713,77.623,77.563,77.861,78.574,77.491,77.767,78.007,78.226,77.855,78.538,78.23,78.694,78.61,78.476,78.372,78.469,78.509,78.615,78.626,78.574,78.91,78.834,79.03,79.298,79.406,79.473,79.595,79.793,80.056,80.288,80.317,80.256,80.259,80.275,80.398,80.57,80.949,81.129,81.263,81.476,81.713,81.933,82.237,82.546,82.684,82.743,82.957,83.217,83.465,83.829,84.369,84.496,84.707,84.781,85.094,85.32,85.742,86.066,86.393,86.539,86.886,87.061,87.35,87.593,87.761,87.958,88.132,88.43,88.692,89.04,89.187,89.308,89.418,89.573,89.652,89.943,90.02,90.287,90.483,90.455,90.938,90.962,91.231,91.346,91.511,91.815,91.957,92.036,92.074,92.292,92.434,92.554,92.665,92.83,92.912,93.025,93.211,93.352,93.43,93.593,94.018,94.128,93.949,93.993,94.069,94.162,94.242,94.526,94.756,94.834,95.12,95.216,95.285,95.37,95.504,95.64,95.735,95.726,95.763,95.995,96.138,96.217,96.419,96.418,96.589,96.637,96.91,97.092,97.549,97.755,97.87,98.033,98.045,98.304,98.584,98.606,98.751,98.94,99.045,99.183,99.438,99.65,99.555,99.554,99.729,99.876,100.025,100.149,100.295,100.514,100.561,100.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","16"," Nondurable goods","PSMN3",78.185,78.573,79.08,79.093,79.567,79.68,79.793,79.391,79.217,79.253,79.511,79.288,79.093,78.655,78.694,78.964,79.291,79.202,79.01,78.62,78.604,78.741,79.236,79.641,79.009,77.543,75.745,75.021,75.363,75.485,74.667,74.778,75.263,74.995,75.121,75.273,75.202,75.843,75.785,76.523,77.108,77.622,78.161,78.626,78.541,78.843,79.155,79.097,79.274,79.52,79.748,80.502,81.258,81.852,82.721,82.941,83.081,83.011,83.557,83.779,84.686,84.985,85.678,86.852,87.4,87.213,86.855,86.188,86.56,86.747,86.783,87.021,88.58,87.846,87.837,88.167,88.646,88.581,88.549,90.157,92.051,93.635,93.792,92.868,92.071,91.185,89.919,89.838,90.018,89.934,89.471,89.92,90.098,90.166,90.268,89.751,89.058,89.426,89.457,90.055,90.993,91.578,91.45,91.254,91.501,91.485,91.28,90.79,90.971,91.057,91.323,91.806,91.987,91.736,91.52,90.824,90.92,91.143,90.91,90.167,90.196,90.713,90.814,91.105,91.413,91.609,92.099,92.963,93.17,93.211,93.784,93.766,94.795,95.576,96.209,97.299,98.028,98.125,98.181,98.275,98.45,98.357,98.19,98.399,98.771,98.384,98.779,99.71,100.479,100.123,100.068,100.37,100.865,101.005,100.706,100.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","17","  Food and kindred product","PS203",80.571,80.374,81.241,81.527,81.869,81.775,82.08,81.287,80.87,80.102,80.443,80.436,80.454,80.363,80.079,79.758,79.324,79.502,79.152,78.417,77.966,78.576,79.237,79.819,79.795,79.331,79.093,78.94,79.57,79.733,80.83,81.391,81.168,81.168,81.209,81.264,79.11,79.369,79.258,79.98,81.149,81.329,81.503,81.424,81.436,81.344,81.389,81.668,82.009,81.983,82.412,82.768,83.192,84.894,86.142,85.795,86.68,86.762,86.771,86.806,87.848,87.879,88.6,88.491,88.916,88.927,89.066,88.783,88.874,88.797,89.565,90.056,90.314,90.518,90.993,91.272,92.451,92.501,92.787,92.436,92.207,92.087,91.572,91.645,91.785,91.937,92.056,92.086,91.797,91.785,91.53,91.352,91.181,91.646,91.387,91.27,91.175,91.448,91.587,91.62,92.21,92.476,92.081,91.838,91.956,91.72,91.653,92.034,92.207,92.221,92.391,93.123,93.377,93.306,93.643,93.461,93.441,93.43,93.765,94.265,94.472,94.906,95.274,95.285,95.008,94.399,93.947,94.026,94.019,93.632,93.684,93.614,94.258,94.671,94.934,94.371,94.198,94.407,95.311,95.631,96.054,96.73,97.271,97.619,97.695,97.812,97.723,98.134,99.678,100.628,101.053,101.879,101.965,101.905,100.893,100.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","18","  Tobacco products","PS213",51.135,51.363,51.473,51.584,51.714,53.114,54.161,54.137,54.249,53.804,53.957,54.106,56.021,56.577,56.688,56.803,56.928,57.053,59.018,59.134,59.157,58.911,59.125,59.43,61.384,61.598,61.712,61.82,61.961,62.07,64.403,64.497,65.541,64.532,64.854,65.087,63.315,63.382,63.316,63.391,63.4,63.395,66.378,66.389,66.372,66.376,66.393,68.924,70.444,70.838,70.636,70.459,70.492,70.501,74.098,74.127,74.137,74.319,74.246,77.919,78.776,78.78,78.81,78.807,78.837,82.787,83.18,83.267,83.282,84.078,84.1,87.834,88.73,88.955,88.995,89.006,90.657,93.636,93.654,93.678,93.903,93.778,95.776,97.91,98.647,98.828,99.724,101.49,101.519,103.787,105.902,106.128,106.091,106.139,108.184,111.171,111.474,111.462,111.486,113.537,117.379,117.427,117.481,110.906,114.216,114.211,115.111,118.752,121.17,121.404,121.431,123.015,123.259,120.353,119.581,90.26,90.099,90.287,90.318,94.504,94.693,94.676,94.699,94.745,94.737,94.746,94.759,94.344,94.753,94.645,94.857,94.97,94.919,95.148,96.089,96.23,98.292,98.325,98.316,98.355,98.344,98.414,98.437,98.155,98.107,98.134,98.147,98.197,101.069,100.994,101.089,101.256,100.635,100.816,100.749,100.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","19","  Textile mill products","PS223",86.292,86.971,86.983,86.627,87.248,87.249,87.304,87.245,87.241,87.117,86.88,86.815,86.786,86.738,86.709,86.828,86.644,86.695,86.69,86.659,86.741,86.781,86.912,86.951,86.941,86.997,87.116,87.196,87.234,87.347,87.438,87.457,87.428,87.56,87.61,87.722,86.8,86.788,86.847,87.209,87.504,87.931,88.477,88.806,89.167,89.624,89.943,90.143,90.69,91.163,91.354,91.594,91.726,91.945,92.18,92.201,92.312,92.276,92.387,92.624,92.847,92.993,93.396,93.732,93.746,94.092,94.39,94.688,94.856,95.154,95.226,95.037,95.413,95.487,95.271,95.38,95.338,95.037,95.078,95.073,94.945,95.058,95.153,95.148,95.34,95.393,95.427,95.432,95.665,95.76,95.853,95.958,95.961,96.05,96.08,96.149,96.275,96.3,96.504,96.281,96.483,96.724,96.377,96.367,96.407,96.382,96.319,96.255,96.03,95.942,95.977,95.931,95.946,95.975,96.029,96.109,96.151,96.049,96.018,95.897,95.782,95.362,95.444,95.581,95.557,95.935,95.959,96.13,96.136,96.247,96.576,96.685,97.089,97.785,98.127,98.452,98.981,99.076,99.032,99.257,99.462,99.498,99.353,99.511,99.56,99.589,99.758,99.954,99.955,99.799,99.985,100.135,100.237,100.33,100.341,100.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","20","  Apparel products","PS233",81.827,82.023,82.055,82.148,82.393,82.19,82.439,82.393,82.772,82.729,82.938,82.919,83.121,83.319,83.41,83.573,83.649,83.615,83.722,84.079,83.988,84.065,84.489,84.607,84.583,84.701,85.084,84.741,84.919,84.99,84.996,84.937,85.038,85.158,85.239,85.283,84.57,84.655,84.913,84.991,85.167,85.418,85.593,85.854,86.028,86.197,86.106,86.712,87.01,87.218,87.387,87.52,87.73,88.067,88.18,88.2,88.642,88.788,88.974,89.171,89.417,89.691,89.726,89.901,90.138,90.323,90.706,90.992,91.153,91.275,91.503,91.785,92.222,92.112,92.338,92.541,92.682,92.911,93.035,93.287,93.626,93.792,93.852,94.012,94.099,94.429,94.563,94.872,94.918,95.134,95.237,95.357,95.485,95.618,95.898,95.702,96.144,96.274,96.273,96.269,96.253,96.303,96.593,96.757,96.791,97.014,97.104,97.173,97.258,97.21,97.281,97.332,97.576,97.458,97.588,97.611,97.561,97.55,97.591,97.565,97.566,97.653,97.728,97.62,97.833,97.707,97.871,97.806,97.882,97.933,97.852,97.986,98.067,98.256,98.426,98.294,98.477,98.401,98.539,98.5,98.748,98.816,98.569,98.647,99.082,99.235,99.257,99.264,99.923,100.094,100.312,100.2,100.613,100.725,100.596,100.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","21","  Paper & allied products","PS263",67.948,69.2,69.759,70.182,70.622,70.94,71.548,72.005,72.278,72.619,72.8,72.645,72.446,72.234,71.828,71.556,71.384,71.261,70.905,70.689,70.535,70.253,70.151,70.227,70.221,70.087,70.187,70.552,70.893,71.191,71.648,72.056,72.327,72.754,73.198,73.399,74.01,74.577,74.642,74.989,75.017,75.29,75.668,76.124,76.679,77.268,77.598,78.004,79.371,79.706,80.442,81.388,82.192,82.724,83.59,84.052,84.697,85.08,85.247,85.664,86.287,87.187,87.725,88.005,88.494,88.563,88.473,88.643,88.498,88.805,88.661,88.61,88.549,88.445,88.387,88.417,88.36,88.371,88.353,88.35,88.127,88.229,88.187,88.088,88.087,88.07,87.773,87.04,86.56,86.28,86.07,85.835,85.957,85.8,85.924,85.877,85.826,85.814,85.851,87.212,87.334,87.348,87.281,87.351,87.401,87.018,86.769,86.459,86.146,85.834,86.05,86.034,86.06,86.06,85.67,85.498,85.24,85.311,85.176,85.211,85.282,85.302,85.641,85.974,86.399,87.149,87.775,89.045,90.596,92.643,94.163,95.549,98.537,101.092,103.247,105.857,107.911,109.955,111.151,111.678,111.56,111.214,110.493,109.539,107.728,105.964,103.743,101.547,99.741,99.136,98.483,97.696,97.294,96.885,96.388,96.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","22","  Printing & publishing","PS273",60.248,60.679,60.985,61.281,61.775,61.978,62.272,62.607,62.854,62.976,63.32,63.562,63.787,64.126,64.482,64.696,64.871,65.058,65.384,65.654,65.767,66.036,66.228,66.43,66.622,66.762,66.748,67.103,67.309,67.508,67.696,67.879,68.14,68.383,68.612,68.843,68.717,69.005,69.209,69.399,69.589,69.887,70.068,70.361,70.703,71.047,71.079,71.356,71.823,72.113,72.414,72.647,72.959,73.229,73.718,73.923,74.182,74.569,74.884,75.26,75.648,76.011,76.271,76.61,76.829,77.229,77.498,77.926,78.25,78.314,78.608,78.783,78.969,79.206,79.475,79.804,80.172,80.416,80.714,80.97,81.346,81.724,82.054,82.331,82.603,82.941,83.158,83.332,83.68,83.921,83.929,84.187,84.253,84.432,84.651,84.696,85.252,85.291,85.474,85.766,85.994,86.128,86.413,86.612,86.866,87.163,87.265,87.537,88.023,88.201,88.303,88.616,88.734,88.647,88.884,89.24,89.342,89.61,89.632,89.86,89.938,89.982,90.212,90.347,90.67,90.875,91.077,91.357,91.781,91.995,92.488,92.907,93.539,94.065,94.651,95.113,95.627,96.375,96.957,97.341,97.561,98.018,98.54,98.736,98.951,99.185,99.335,99.479,99.774,100.025,99.951,100.336,100.648,100.649,100.79,100.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","23","  Chemical & allied prod","PS283",69.358,69.597,69.701,70.139,70.39,70.388,70.474,70.622,70.552,70.714,70.801,70.531,70.677,70.489,70.64,70.782,70.888,70.989,71.154,71.147,71.477,71.221,71.081,70.931,71.29,71.426,71.111,70.955,70.611,70.58,70.594,70.448,70.173,70.356,70.455,70.299,70.229,70.43,70.705,71.193,71.824,72.331,72.938,73.15,73.524,74.115,74.593,74.836,75.919,76.701,77.088,77.871,78.787,79.422,80.717,81.422,81.944,82.286,82.928,83.324,84.387,84.525,84.923,85.283,85.297,85.049,84.459,84.049,83.854,83.668,83.544,83.541,83.702,83.948,84.184,84.215,84.403,84.479,84.619,84.845,85.52,86.198,87.247,87.731,88.109,88.393,87.58,87.378,87.011,86.932,86.509,86.716,86.706,86.794,86.596,86.886,86.656,86.825,86.867,87.058,87.535,87.759,88.255,88.281,88.324,88.406,88.346,88.242,88.703,88.747,88.741,88.932,88.691,88.691,88.707,88.592,88.639,88.576,88.609,88.442,88.424,88.309,88.28,88.647,89.187,89.573,90.115,90.928,92.117,93.195,93.702,94.95,96.293,97.421,97.942,99.439,99.744,99.205,99.526,99.388,99.516,99.362,99.269,99.127,99.222,99.092,99.456,99.456,100.052,100.215,100.116,100.23,100.731,100.569,100.338,100.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","24","  Petroleum products","PS293",117.797,118.88,120.194,118.126,119.544,119.872,118.764,116.007,114.821,116.459,117.304,115.746,112.972,109.398,110.011,112.779,116.568,115.042,113.543,111.688,112.074,112.097,114.854,116.675,109.662,96.789,81.525,75.213,76.672,76.833,65.756,65.083,69.868,66.323,66.377,67.321,72.907,76.836,75.683,78.959,79.691,81.973,83.676,86.595,83.522,83.791,84.953,81.402,77.221,76.666,75.438,78.346,80.854,79.563,79.45,79.895,76.585,74.114,77.203,76.653,78.66,79.504,82.066,91.596,94.941,92.169,89.032,83.649,86.678,88.733,87.011,87.127,99.978,92.06,89.945,91.551,91.761,90.174,88.466,103.425,119.802,133.711,133.309,121.492,111.639,101.638,91.124,90.71,93.84,92.681,89.743,93.782,95.736,94.86,96.107,90.189,83.316,85.68,85.15,88.562,93.917,98.306,96.608,95.799,96.84,97.091,95.205,88.901,88.604,89.556,91.385,92.975,94.578,92.042,89.166,86.95,88.001,90.215,87.014,77.46,77.299,81.571,81.022,82.518,84.222,85.618,89.481,94.627,91.218,87.291,89.222,84.205,85.098,85.469,86.268,91.854,95.481,93.894,89.376,88.729,88.821,86.217,83.91,86.241,90.859,88.511,93.55,103.573,106.169,99.958,98.829,99.5,102.935,105.362,105.869,105.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","25","  Rubber & plastic product","PS303",80.203,80.882,81.008,81.214,81.576,81.811,81.917,81.929,82.096,82.015,81.926,81.848,81.962,81.733,81.857,81.899,81.857,81.777,81.501,81.272,81.274,81.49,81.389,81.982,82.086,82.435,82.112,82.021,82.019,82.089,82.061,82.161,82.016,82.092,82.076,81.993,81.58,81.642,81.46,81.509,81.6,81.808,82.179,82.447,82.775,83.335,83.777,84.013,84.722,85.332,85.964,86.447,87.109,87.543,88.046,88.628,89.04,89.204,89.331,89.382,89.772,90.024,90.434,90.615,90.618,90.543,90.421,90.059,90.367,89.878,89.869,89.934,90.046,90.015,90.233,90.354,90.56,90.397,90.345,90.441,90.629,91.334,91.986,92.536,92.785,92.763,92.725,92.505,92.181,92.058,91.922,91.89,91.927,91.913,91.863,91.909,91.99,91.93,91.94,91.936,92.094,92.034,92.243,92.447,92.554,92.667,92.799,92.7,92.774,92.646,92.656,92.892,92.679,93.699,93.665,93.654,93.896,93.969,93.888,94.009,93.822,93.881,93.883,93.957,94.086,94.412,94.662,94.906,95.65,96.437,96.989,97.523,98.488,98.899,99.534,100.075,100.365,100.711,100.748,100.821,100.795,100.667,100.333,100.058,99.882,99.829,99.839,99.636,99.89,99.945,100.11,100.269,100.319,100.016,100.102,100.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","26","  Leather & leather product","PS313",71.318,71.952,72.417,72.502,72.604,73.97,73.54,73.626,73.483,73.694,73.412,73.246,73.602,73.674,73.512,73.377,73.347,73.581,73.164,73.408,73.756,73.913,74.405,74.58,74.624,74.822,74.184,74.402,74.578,74.921,74.856,75.059,75.316,75.399,75.787,76.327,77.03,77.042,77.553,77.9,78.484,79.124,79.475,79.691,81.067,81.579,82.021,82.566,83.281,83.781,84.797,85.565,85.579,85.747,86.13,86.504,86.69,86.946,86.942,87.062,87.283,87.64,87.768,87.766,87.681,88.141,88.687,89.387,90,90.044,90.089,90.67,91.268,91.58,91.863,91.955,92.479,92.601,92.464,92.784,92.736,92.335,92.434,92.615,92.365,92.52,92.664,92.583,92.771,93.385,92.611,92.792,92.152,91.824,92.06,92.105,92.625,92.483,92.93,92.541,92.841,93.453,93.049,93.824,93.785,93.796,93.861,94.217,94.743,94.694,94.683,94.829,94.693,95.029,94.774,95.381,95.211,95.152,95.485,95.365,95.773,95.19,95.63,95.869,96,96.989,97.534,97.834,98.538,99.282,99.755,100,100.64,101.054,101.125,101.857,101.923,101.77,101.641,101.421,100.893,100.633,100.385,100.127,100,99.869,99.869,99.332,99.49,99.592,99.216,99.623,100.634,100.504,100.62,101.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
