"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238"
"51","43","            Other nondurable goods","B828RA3",18.083,29.495,10.144,14.522,12.377,44.701,41.76,39.717,28.995,17.862,56.627,55.202,24.6,12.212,13.857,20.697,29.875,29.019,33.784,32.521,32,16.236,16.201,13.727,22.514,20.797,18.496,16.17,15.265,14.813,14.062,31.539,13.144,20.503,26.503,27.224,36.871,32.496,32.378,33.869,56.195,48.205,55.029,27.988,16.333,15.441,20.215,31.672,48.423,61.137,58.477,62.135,24.164,49.941,55.597,52.162,18.145,65.106,63.598,65.432,34.833,62.377,64.89,49.014,62.838,67.783,65.416,39.328,63.44,81.97,61.227,46.156,29.031,73.337,78.504,73.315,58.968,102.685,71.515,64.439,101.662,60.51,70.363,88.893,68.489,56.024,61.731,71.849,84.126,82.503,75.707,82.072,87.137,86.548,78.385,80.459,77.393,83.321,79.217,76.492,84.128,92.429,92.902,86.272,77.569,81.639,73.9,74.049,80.864,85.807,86.379,84.852,64.028,63.552,59.896,68.268,69.757,81.082,86.863,85.732,82.957,89.037,95.077,102.917,99.082,106.985,111.039,115.369,116.047,106.381,107.149,103.383,95.353,96.617,102.639,132.619,141.275,194.722,202.013,170.328,138.575,122.75,119.014,124.607,116.813,132.804,148.017,130.949,130.115,141.896,124.945,155.6,128.092,140.99,125.09,90.422,109.238,110.713,107.937,100.144,120.892,134.527,123.964,108.218,140.442,136.792,100.059,102.714,115.477,101.034,107.317,102.245,113.216,123.845,110.782,106.48,98.618,89.72,98.919,99.976,112.694,117.806,122.105,121.65,120.496,118.067,118.734,116.555,117.441,118.02,108.548,116.162,114.27,112.288,113.107,111.032,107.741,107.204,108.778,109.777,114.63,117.246,118.194,117.308,116.788,115.576,114.625,112.534,90.61,91.96,92.208,92.593,95.045,95.381,102.42,107.153,109.078,112.591,121.547,131.111,140.467,147.913,144.134,145.834,138.485,154.739,168.717,173.634,183.373,179.5,177.987,182.919,194.246,185.991,179.152
"52","44","          Services","A544RA3",8.624,11.53,6.864,6.858,9.723,11.658,12.971,13.606,10.732,18.041,9.151,6.376,13.095,14.465,8.675,5.684,7.27,8.642,8.084,6.709,15.793,13.177,13.462,9.882,9.42,12.599,14.321,16.128,17.241,13.164,14.924,11.291,14.418,24.91,9.21,10.291,15.672,17.137,16.646,15.032,13.699,18.396,15.607,15.553,13.703,19.805,12.844,11.901,19.463,17.504,17.497,21.827,25.134,19.932,21.38,23.05,29.827,24.5,25.49,26.05,35.526,26.947,29.243,31.647,37.443,33.919,38.769,44.831,45.4,44.117,41.372,46.657,50.013,43.239,44.706,45.427,50.216,49.564,52.76,46.669,49.493,41.516,45.784,47,41.563,38.438,41.067,41.204,40.938,40.568,37.475,39.508,41.63,45.248,45.509,47.744,46.452,50.488,51.209,48.208,55.93,57.215,59.845,59.407,61.63,62.406,56.855,52.349,57.712,55.22,59.231,63.757,59.495,61.955,63.415,63.572,56.915,56.059,56.702,53.32,57.142,57.846,58.913,62.064,61.963,64.495,63.094,64.215,66.563,68.573,65.354,70.96,67.926,70.219,69.382,62.33,63.687,61.509,59.728,60.528,59.948,54.679,58.856,62.748,64.161,61.337,60.824,61.636,62.802,62.881,61.553,63.137,66.288,64.444,66.896,64.204,64.211,64.113,65.79,67.822,70.222,69.8,75.321,73.264,70.811,72.587,71.886,71.829,70.719,72.639,72.805,74.837,80.632,82.529,83.743,82.854,80.88,82.239,88.191,87.742,95.071,90.703,93.185,91.684,85.237,85.029,84.746,87.291,89.395,90.687,93.008,94.965,93.056,92.564,91.877,90.516,89.031,87.733,87.295,90.368,92.66,92.754,91.023,92.671,90.26,89.381,87.283,84.19,86.531,89.612,93.325,94.597,95.948,98.29,100.906,104.856,100.321,106.476,109.481,112.951,114.864,118.259,121.441,121.581,129.526,119.206,130.093,125.207,130.579,131.661,134.679,134.084,132.73,134.017,138.841
"53","45","      Less: Own-account investment \4\","W136RA3",9.924,14.557,13.928,13.751,14.436,19.445,24.572,34.448,22.873,22.863,36.265,35.087,26.457,18.017,53.723,41.505,49.482,64.388,78.146,73.271,87.578,94.234,102.631,100.653,112.215,102.414,96.172,86.393,90.879,89.097,81.746,76.311,75.085,69.404,69.758,62.047,61.244,67.052,73.351,69.487,68.662,71.589,77.499,82.761,73.732,74.871,83.923,92.815,116.355,121.801,111.74,110.866,98.677,107.167,106.701,116.634,118.783,104.071,112.261,118.658,101.974,113.031,112.583,118.798,91.833,96.587,112.261,100.095,92.832,94.718,98.218,98.083,90.966,100.16,99.347,102.608,110.319,106.267,102.683,102.452,122.551,112.723,114.482,107.241,108.52,102.231,94.715,96.3,92.634,93.017,92.496,88.166,88.258,92.746,96.076,95.178,99.827,97.755,103.446,99.116,118.621,99.386,95.77,101.666,95.976,89.585,91.045,93.148,67.847,87.913,86.968,91.488,75.221,76.159,80.843,82.534,68.699,76.828,75.501,73.703,61.881,63.09,69.684,63.309,65.121,70.677,80.679,75.917,73.066,79.16,87.3,87.118,88.107,91.591,94.004,89.806,84.976,88.217,87.751,90.633,90.118,91.814,94.869,91.849,95.796,95.356,101.415,98.096,100.445,102.505,108.113,114.111,118.422,119.804,117.901,115.945,114.454,117.927,118.763,121.181,125.566,130.718,129.196,132.353,130.866,134.035,139.685,138.418,138.93,141.186,153.083,156.536,161.983,172.428,157.089,151.48,155.016,162.421,164.469,168.15,173.167,165.749,162.963,151.62,155.682,159.886,162.894,155.755,146.75,144.161,155.371,145.829,153.845,147.107,158.695,133.599,134.194,140.418,150.574,137.607,152.321,142.155,129.741,113.554,140.259,155.522,146.21,110.875,83.619,145.494,142.605,123.117,94.896,99.019,103.807,102.277,120.609,131.627,120.192,107.458,103.248,102.2,108.427,99.977,94.364,96.855,92.751,101.178,93.082,96.493,100.602,94.299,103.783,105.312,108.325
"54","46","            Sales to other sectors","W137RA3",182.859,136.773,36.1,33.809,76.717,24.403,22.354,58.926,18.712,17.701,36.035,21.353,21.741,135.255,14.863,16.245,39.447,30.589,29.318,25.096,18.327,45.461,19.941,29.521,29.247,23.369,25.53,26.318,25.626,70.165,22.587,31.193,34.995,279.126,30.961,30.798,30.439,56.81,28.048,26.081,56.54,84.24,68.179,69.344,26.011,117.978,27.999,27.949,84.021,29.363,38.262,65.592,41.656,38.209,39.149,37.08,40.159,36.461,42.769,36.451,45.737,36.293,42.2,36.452,109.501,32.858,45.881,39.254,74.001,31.874,49.249,39.244,49.447,36.057,45.035,41.869,55.87,46.317,38.103,37.787,44.941,31.284,75.85,60.258,58.107,60.778,66.957,69.869,61.012,68.613,72.733,70.069,70.293,65.133,56.659,67.171,60.272,65.633,62.071,68.238,84.519,85.918,85.357,97.801,90.856,90.661,69.822,79.61,93.812,90.265,72.042,80.279,75.457,84.557,77.511,83.066,74.168,116.477,131.972,63.57,112.876,116.059,144.951,109.176,114.988,133.963,152.134,135.789,137.675,143.62,139.438,194.006,125.64,145.115,142.244,119.972,111.288,116.717,134.202,102.812,104.692,103.09,115.436,97.973,103.792,100.773,136.695,129.774,114.364,123.053,121.731,118.257,124.063,118.553,121.161,128.011,128.025,135.05,123.656,133.455,135.437,133.278,138.762,146.688,146.411,155.89,154.884,139.677,144.904,160.234,160.591,136.254,140.391,123.56,138.275,149.474,185.36,119.011,182.591,156.878,159.603,124.507,149.184,97.638,118.662,121.48,99.073,88.906,108.493,155.235,96.176,97.497,109.595,94.09,96.212,130.104,96.757,101.348,127.233,103.459,76.362,72.015,60.024,71.477,63.24,56.462,205.165,53.606,63.111,80.051,62.315,61.234,78.578,87.146,80.068,154.208,53.574,58.981,59.08,82.488,76.606,49.723,46.919,49.453,50.071,74.497,62.018,60.106,54.951,55.836,78.422,86.986,110.432,73.472,102.623
"55","47","State and local consumption expenditures \1\","A991RA3",14.804,15.064,15.341,15.429,15.193,15.264,15.302,15.519,16.05,16.47,16.916,17.266,17.733,17.76,17.689,17.66,17.549,17.582,17.693,17.797,17.604,18.258,17.726,17.99,18.347,18.289,18.689,18.677,18.955,19.075,19.475,19.633,20.299,20.444,20.637,20.842,20.833,21.165,21.45,21.755,21.861,22.181,22.641,23.048,23.545,24.05,24.438,24.707,24.816,24.999,25.299,25.624,26.019,26.58,26.761,27.148,27.731,28.148,28.104,28.362,28.414,28.761,29.037,29.364,29.622,30.032,30.576,31.003,31.579,32.067,32.508,33.073,33.496,34.156,34.76,35.284,35.77,36.229,36.743,37.372,37.432,37.834,38.504,39.057,39.801,40.291,41.008,41.626,42.306,42.924,43.546,44.273,44.94,45.451,46.186,46.828,47.373,47.804,48.346,48.915,49.245,49.713,50.201,50.576,50.816,51.266,51.997,52.574,53.168,53.721,54.264,54.911,55.997,56.615,57.076,57.077,57.148,57.246,57.585,57.919,58.181,58.316,58.74,59.041,59.39,59.43,59.855,60.317,60.447,60.072,59.82,60.227,60.257,60.131,59.948,59.731,59.489,59.528,59.935,60.18,60.442,60.702,60.686,60.843,61.407,61.317,61.335,61.363,61.592,62.11,62.823,63.446,64.152,65.054,66.374,67.456,68.8,69.659,70.292,71.013,70.503,70.635,70.581,71.415,72.476,72.967,73.407,73.939,74.467,75.006,75.662,76.332,77.062,77.541,78.146,78.524,78.904,79.269,79.575,79.968,80.59,81.063,81.713,81.989,82.518,82.696,83.144,83.479,84.22,84.882,85.408,85.711,86.402,86.809,87.152,87.595,87.546,88.518,88.83,89.363,89.822,90.51,91.341,92.21,92.991,93.934,94.905,95.796,96.951,97.77,98.499,99.172,99.413,99.841,100.098,100.649,101.287,101.938,102.987,104.002,104.809,105.451,105.91,106.315,106.273,106.25,106.214,106.283,106.271,106.47,106.851,107.302,107.519,107.736,108.224
"56","48","      Gross output of general government","W138RA3",13.585,13.824,14.08,14.169,13.952,14.07,14.124,14.355,14.869,15.307,15.727,16.056,16.486,16.536,16.474,16.45,16.326,16.384,16.478,16.56,16.471,17.018,16.584,16.819,17.111,17.074,17.421,17.45,17.689,17.836,18.212,18.379,18.979,19.147,19.339,19.541,19.558,19.857,20.11,20.386,20.504,20.805,21.228,21.624,22.113,22.598,22.984,23.285,23.506,23.697,23.968,24.217,24.586,25.068,25.223,25.543,26.146,26.478,26.533,26.877,27.029,27.288,27.658,27.987,28.383,28.742,29.249,29.682,30.21,30.73,31.182,31.741,32.195,32.843,33.465,34.003,34.469,34.989,35.467,36.106,36.302,36.684,37.294,37.892,38.676,39.244,39.893,40.475,41.11,41.658,42.238,42.88,43.479,43.99,44.735,45.35,45.981,46.456,46.985,47.592,47.933,48.463,48.905,49.372,49.653,50.028,50.564,51.222,51.717,52.181,52.586,53.111,54.124,54.609,54.937,55.083,55.202,55.399,55.758,56.116,56.315,56.447,56.835,57.183,57.492,57.689,58.212,58.779,58.866,58.702,58.571,58.98,58.973,58.869,58.747,58.677,58.543,58.671,59.079,59.37,59.626,59.907,59.939,60.135,60.683,60.727,60.83,60.842,60.943,61.4,62.064,62.669,63.34,64.223,65.405,66.427,67.609,68.432,69.04,69.661,69.274,69.412,69.418,70.144,71.072,71.565,71.985,72.528,73.09,73.646,74.267,74.906,75.545,75.964,76.506,76.934,77.362,77.782,78.168,78.645,79.31,79.81,80.468,80.833,81.494,81.783,82.292,82.705,83.394,84.027,84.623,85.036,85.776,86.223,86.587,87.036,87.054,87.88,88.197,88.773,89.423,90.081,90.904,91.801,92.679,93.637,94.59,95.416,96.372,97.125,97.826,98.643,99.188,99.709,100.189,100.914,101.855,102.837,103.974,105.139,105.828,106.377,106.798,107.221,107.27,107.419,107.582,107.818,108.072,108.453,108.969,109.571,110.017,110.452,111.059
"57","49","        Value added","W139RA3",18.136,18.419,18.671,18.858,18.845,18.857,19.013,19.287,19.679,20.098,20.487,20.781,20.858,20.921,20.989,21.086,21.232,21.406,21.606,21.812,21.946,22.099,22.306,22.543,22.779,23.039,23.343,23.611,23.847,24.074,24.329,24.633,24.839,25.099,25.509,25.919,26.187,26.741,27.196,27.594,27.82,28.147,28.596,29.066,29.397,29.941,30.432,30.818,30.969,31.191,31.521,31.871,32.344,32.811,33.315,33.726,34.327,34.52,34.946,35.225,35.365,35.789,36.261,36.707,37.143,37.587,38.225,38.694,39.354,39.923,40.383,41.076,41.462,42.286,43.049,43.716,44.172,44.806,45.449,46.21,46.225,46.632,47.362,48.005,48.991,49.584,50.195,50.735,51.33,51.858,52.405,53.03,53.581,54.166,54.771,55.343,55.872,56.332,56.939,57.593,57.752,58.404,58.931,59.482,59.889,60.391,60.953,61.545,62.186,62.65,63.125,63.628,64.431,64.735,64.995,65.1,65.267,65.404,65.803,66.192,66.331,66.4,66.803,67.156,67.575,67.692,68.411,69.222,69.422,69.196,69.121,70.025,70.377,70.464,70.398,70.28,70.032,70.061,70.523,70.759,70.902,70.995,70.689,70.604,70.657,70.577,70.5,70.315,70.322,70.648,71.2,71.554,72.018,72.486,73.449,73.92,74.256,74.775,75.23,76.068,76.076,76.366,76.358,77.304,78.351,78.872,79.354,80.004,80.63,81.233,81.948,82.486,83.323,83.781,84.321,84.587,84.769,85.003,85.154,85.414,85.998,86.356,86.844,86.93,87.266,87.539,87.918,88.177,88.532,89.123,89.564,89.777,90.523,90.856,91.136,91.581,91.462,92.487,92.672,93.123,93.539,93.973,94.539,95.112,95.548,96.037,96.493,96.848,97.237,97.636,98.122,98.794,99.323,99.801,100.131,100.745,101.173,102.035,102.846,103.51,103.912,104.259,104.478,104.791,105.091,105.219,105.37,105.602,105.71,105.936,106.268,106.716,106.917,107.143,107.66
"58","50","          Compensation of general government employees","B251RA3",19.307,19.659,19.967,20.188,20.147,20.139,20.311,20.627,21.094,21.591,22.046,22.379,22.435,22.473,22.515,22.597,22.741,22.919,23.13,23.35,23.48,23.63,23.848,24.106,24.36,24.639,24.973,25.258,25.5,25.726,25.989,26.311,26.505,26.77,27.218,27.668,27.937,28.564,29.066,29.493,29.71,30.041,30.527,31.037,31.375,31.971,32.503,32.908,33.022,33.227,33.56,33.921,34.432,34.933,35.477,35.91,36.57,36.736,37.182,37.456,37.551,37.994,38.493,38.956,39.41,39.869,40.56,41.041,41.75,42.35,42.816,43.561,43.936,44.834,45.659,46.365,46.816,47.48,48.155,48.967,48.889,49.281,50.054,50.725,51.807,52.42,53.055,53.609,54.225,54.767,55.33,55.988,56.561,57.177,57.817,58.422,58.977,59.448,60.1,60.807,60.933,61.638,62.197,62.784,63.201,63.729,64.326,64.957,65.645,66.127,66.622,67.151,68.039,68.324,68.567,68.627,68.768,68.873,69.292,69.702,69.818,69.852,70.282,70.651,71.103,71.196,71.997,72.901,73.085,72.763,72.62,73.632,73.981,74.03,73.895,73.699,73.353,73.344,73.845,74.081,74.203,74.273,73.87,73.727,73.744,73.606,73.465,73.194,73.144,73.464,74.04,74.38,74.84,75.302,76.337,76.796,77.094,77.609,78.047,78.928,78.85,79.096,78.999,80.001,81.123,81.625,82.079,82.716,83.323,83.897,84.596,85.085,85.912,86.311,86.804,86.986,87.077,87.227,87.286,87.472,88.032,88.336,88.792,88.79,89.074,89.289,89.626,89.828,90.141,90.719,91.126,91.272,92.019,92.298,92.517,92.923,92.691,93.751,93.855,94.254,94.601,94.969,95.482,95.998,96.352,96.764,97.138,97.395,97.689,97.994,98.395,99.006,99.454,99.847,100.075,100.624,100.965,101.797,102.575,103.19,103.48,103.728,103.852,104.097,104.357,104.41,104.487,104.652,104.673,104.827,105.099,105.501,105.611,105.775,106.271
"59","51","          Consumption of general government fixed capital \2\","B986RA3",10.747,10.773,10.815,10.864,10.932,10.995,11.074,11.167,11.261,11.36,11.468,11.583,11.701,11.833,11.965,12.091,12.215,12.339,12.464,12.582,12.702,12.831,12.963,13.086,13.217,13.368,13.513,13.673,13.841,14.034,14.218,14.404,14.618,14.817,15.017,15.218,15.431,15.636,15.846,16.069,16.29,16.541,16.782,17.03,17.284,17.544,17.803,18.058,18.32,18.575,18.845,19.1,19.358,19.62,19.895,20.16,20.431,20.715,20.996,21.267,21.588,21.879,22.174,22.493,22.799,23.124,23.458,23.818,24.181,24.547,24.935,25.312,25.708,26.104,26.505,26.924,27.352,27.78,28.212,28.657,29.12,29.565,30.02,30.465,30.895,31.338,31.779,32.21,32.652,33.063,33.489,33.899,34.295,34.678,35.056,35.422,35.778,36.144,36.477,36.806,37.126,37.455,37.783,38.105,38.427,38.76,39.106,39.451,39.804,40.144,40.476,40.807,41.138,41.494,41.807,42.111,42.392,42.674,42.941,43.195,43.438,43.679,43.913,44.16,44.374,44.61,44.85,45.118,45.392,45.681,45.969,46.242,46.589,46.861,47.149,47.428,47.685,47.902,48.132,48.352,48.583,48.782,48.977,49.191,49.422,49.648,49.914,50.208,50.533,50.871,51.26,51.68,52.145,52.626,53.116,53.644,54.188,54.71,55.247,55.788,56.32,56.861,57.4,57.965,58.515,59.134,59.774,60.48,61.201,61.974,62.766,63.603,64.484,65.315,66.15,66.962,67.75,68.541,69.319,70.08,70.827,71.556,72.27,72.978,73.68,74.369,75.053,75.721,76.379,77.062,77.751,78.459,79.195,79.919,80.642,81.369,82.083,82.842,83.629,84.455,85.385,86.3,87.261,88.267,89.317,90.38,91.472,92.578,93.702,94.831,95.98,97.125,98.288,99.437,100.574,101.701,102.83,103.935,105.018,106.071,107.384,108.55,109.563,110.449,111.092,111.86,112.651,113.466,114.345,115.194,116.052,116.901,117.908,118.678,119.385
"60","52","        Intermediate goods and services purchased \3\","W140RA3",6.32,6.464,6.666,6.643,6.286,6.478,6.419,6.559,7.087,7.455,7.82,8.115,8.81,8.839,8.659,8.519,8.15,8.079,8.047,7.987,7.687,8.539,7.514,7.706,8.006,7.656,7.985,7.756,7.954,7.987,8.434,8.421,9.365,9.402,9.32,9.255,8.986,8.947,8.931,9.025,9,9.225,9.555,9.807,10.411,10.758,10.967,11.124,11.398,11.524,11.686,11.783,11.977,12.412,12.128,12.296,12.822,13.28,12.873,13.256,13.406,13.426,13.624,13.767,14.069,14.281,14.564,14.906,15.21,15.614,16.013,16.342,16.845,17.2,17.576,17.892,18.334,18.654,18.865,19.286,19.724,20.044,20.443,20.942,21.384,21.885,22.558,23.176,23.843,24.397,25.004,25.647,26.296,26.674,27.615,28.278,29.053,29.539,29.931,30.449,31.075,31.4,31.695,32.017,32.088,32.246,32.732,33.49,33.736,34.187,34.47,35.013,36.316,37.066,37.489,37.697,37.735,38.02,38.307,38.607,38.892,39.12,39.472,39.802,39.929,40.246,40.445,40.612,40.521,40.457,40.246,39.89,39.348,38.97,38.772,38.774,38.816,39.082,39.389,39.744,40.15,40.694,41.225,41.832,43.11,43.345,43.722,44.039,44.286,44.931,45.748,46.731,47.708,49.241,50.756,52.663,55.242,56.574,57.443,57.688,56.618,56.491,56.523,56.855,57.565,58.004,58.309,58.661,59.105,59.572,60.022,60.83,61.115,61.462,62.002,62.709,63.566,64.317,65.12,65.986,66.791,67.55,68.51,69.383,70.637,70.956,71.703,72.401,73.71,74.418,75.303,76.089,76.817,77.476,77.992,78.451,78.719,79.179,79.736,80.542,81.62,82.69,83.992,85.487,87.191,89.037,90.938,92.668,94.717,96.151,97.262,98.357,98.932,99.534,100.299,101.236,103.151,104.361,106.12,108.263,109.519,110.469,111.288,111.931,111.483,111.674,111.857,112.102,112.643,113.331,114.211,115.112,116.032,116.868,117.647
"61","53","          Durable goods","B989RA3",3.031,3.225,3.421,3.446,4.44,4.363,4.182,4.078,3.992,4.406,4.851,5.082,4.851,4.789,4.608,4.398,4.904,4.928,4.977,4.897,5.311,5.366,5.349,5.408,5.478,5.531,5.625,5.743,6.139,6.043,6.228,6.297,5.979,6.175,6.06,5.904,6.438,6.667,6.76,6.904,7.687,8.012,8.31,8.576,7.968,8.132,8.226,8.47,9.103,9.118,9.33,9.334,9.512,9.753,9.767,9.893,10.294,10.147,10.355,10.443,10.915,10.77,11.134,11.325,11.717,11.539,11.727,12.007,12.216,12.363,12.675,12.98,13.719,13.828,14.258,14.55,14.758,15.093,15.31,15.578,16.04,15.942,15.838,16.079,17.211,18.179,19.055,19.707,20.135,20.809,21.496,22.309,22.612,23.512,24.54,25.206,26.358,27.292,28.086,29.075,29.9,30.716,31.074,31.674,32.281,32.697,33.599,34.538,35.253,35.352,34.787,34.55,35.055,35.544,36.131,36.825,36.788,37.242,37.785,38.024,38.389,38.864,39.071,38.953,38.957,39.585,40.105,40.542,40.348,40.741,40.9,40.75,40.233,40.1,40.155,40.626,40.985,41.638,42.103,42.432,42.62,42.986,43.365,43.802,44.52,44.799,45.459,45.999,46.708,47.547,48.402,48.845,49.033,49.865,50.751,51.656,52.888,53.969,55,55.55,55.591,55.975,56.621,57.107,57.231,57.686,58.009,58.58,59.464,60.192,60.83,61.707,61.818,61.864,62.211,62.396,63.098,63.876,64.779,65.588,65.749,66.143,66.625,66.571,67.597,67.943,68.701,69.084,70.058,70.751,71.879,72.843,74.648,75.724,76.7,77.695,77.468,77.66,78.557,79.653,81.942,83.143,84.574,85.702,87.631,89.36,91.155,91.926,93.336,94.451,95.518,97.169,98.533,99.293,100.809,101.365,103.627,105.573,106.556,107.386,107.571,107.197,107.086,107.034,106.64,106.857,107.083,107.188,107.724,108.344,108.889,109.446,110.057,110.795,111.329
"62","54","          Nondurable goods","B337RA3",6.927,7.029,7.234,7.114,6.512,6.625,6.756,7.066,7.742,8.366,8.865,9.215,9.917,9.869,9.514,9.179,8.35,8.279,8.229,8.143,7.958,8.931,7.85,8.116,8.343,7.913,8.182,7.979,7.985,8.046,8.635,8.688,9.666,9.792,9.733,9.64,9.068,8.958,8.98,9.069,8.734,8.963,9.418,9.804,10.55,11.154,11.56,11.901,13.439,13.638,13.894,14.034,14.199,14.385,14.508,14.718,15.028,15.349,15.499,15.661,15.741,15.772,16.039,16.2,16.494,16.65,16.82,17.095,17.346,17.836,18.206,18.49,18.894,19.178,19.416,19.561,19.911,20.087,20.13,20.461,20.782,20.983,21.257,21.765,22.187,22.591,23.14,23.812,24.314,24.69,25.239,25.857,26.605,27.078,28.144,29.027,29.874,30.275,30.74,31.074,31.514,31.613,31.593,31.78,31.75,31.697,32.08,32.774,32.403,32.778,32.822,33.285,34.892,35.774,36.263,36.89,37.796,38.52,39.406,40.292,40.838,41.278,41.991,42.264,42.335,42.632,42.796,42.864,42.749,42.588,42.246,41.731,41.102,40.594,40.213,40.097,40.208,40.299,40.379,40.456,40.675,41.082,41.482,41.905,42.907,43.083,43.522,43.947,44.578,45.306,46.061,46.721,47.245,48.254,49.329,50.502,51.962,52.939,53.74,54.24,54.207,54.525,55.061,55.59,55.971,56.373,56.67,57.101,57.914,58.452,59.001,59.767,59.922,60.262,60.943,61.599,62.422,63.159,63.998,64.752,65.377,66.051,66.932,67.706,68.766,69.016,69.75,70.563,72.07,73.066,74.17,75.089,75.935,76.676,77.266,77.801,78.148,78.682,79.269,80.011,80.979,82.012,83.183,84.599,86.373,88.127,89.974,91.711,93.606,95.121,96.393,97.673,98.47,99.382,100.532,101.617,103.697,105.67,107.33,109.32,110.759,111.44,111.92,112.113,111.557,111.611,111.775,111.94,112.502,113.034,113.669,114.322,114.953,115.624,116.224
"63","55","          Services","A988RA3",6.31,6.487,6.689,6.746,6.433,6.736,6.512,6.533,7.022,7.175,7.426,7.69,8.503,8.604,8.566,8.599,8.504,8.418,8.39,8.354,7.856,8.723,7.6,7.752,8.144,7.803,8.215,7.917,8.243,8.27,8.644,8.568,9.664,9.611,9.515,9.484,9.334,9.313,9.252,9.344,9.447,9.658,9.898,10.048,10.704,10.888,10.972,10.987,10.355,10.448,10.546,10.626,10.841,11.456,10.877,11.023,11.702,12.318,11.483,12.042,12.198,12.231,12.365,12.491,12.787,13.08,13.446,13.838,14.186,14.566,14.992,15.351,15.89,16.318,16.775,17.202,17.731,18.141,18.459,18.956,19.465,19.91,20.45,20.972,21.344,21.848,22.573,23.152,23.949,24.598,25.229,25.865,26.493,26.751,27.605,28.136,28.822,29.306,29.608,30.176,30.882,31.279,31.747,32.116,32.186,32.441,32.939,33.715,34.302,34.844,35.39,36.08,37.266,37.953,38.308,38.163,37.609,37.574,37.422,37.335,37.436,37.491,37.619,38.037,38.216,38.509,38.692,38.89,38.829,38.776,38.615,38.349,37.867,37.557,37.464,37.497,37.453,37.803,38.256,38.811,39.371,40.025,40.66,41.406,42.92,43.187,43.49,43.713,43.669,44.242,45.092,46.326,47.663,49.576,51.408,53.836,57.162,58.693,59.569,59.646,57.93,57.516,57.213,57.422,58.369,58.827,59.135,59.423,59.626,60.027,60.402,61.224,61.598,61.979,62.461,63.248,64.137,64.891,65.665,66.594,67.556,68.393,69.44,70.452,71.824,72.173,72.925,73.595,74.837,75.408,76.163,76.866,77.437,78.016,78.454,78.826,79.1,79.547,80.058,80.871,81.899,82.974,84.328,85.893,87.544,89.444,91.378,93.185,95.356,96.781,97.823,98.786,99.192,99.628,100.143,101.037,102.846,103.625,105.494,107.809,109.067,110.244,111.292,112.198,111.799,112.054,112.243,112.537,113.067,113.838,114.868,115.924,117.022,117.956,118.853
