"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"89",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","22","E1NRG1 B   Energy goods and services","E1NRG10",84431,80831,81490,82307,83171,84430,85132,86489,88454,90298,94171,95105,96936,95025,91734,93850,92845,94903,97163,97635,98269,100232,97471,101228,100376,103377,103020,102863,105067,103264,103295,104483,105093,106667,107984,110214,112730,119890,115379,120286,121334,125119,127286,134805,138483,141252,140620,143400,145465,154472,164590,159266,156987,160674,160714,161111,160007,162199,162157,168073,172460,169504,176349,173668,178941,186337,179870,177453,180044,181974,179527,185955,188151,185466,183878,181094,175547,182191,182862,181421,182325,183886,187609,178569,180087,175770,184228,186639,185503,188814,192127,197808,192518,191543,189084,204709,196893,180123,198157,198253,197806,196411,192714,193818,196334,194239,201506,192991,204739,204695,196225,197584,200314,200092,200697,200932,201236,198116,199084,214503,200408,197946,187987,175920,177914,183488,179801,169773,174755,172070,174739,172317,174752,180869,183980,184958,190094,190166,191441,191592,188424,194508,188748,190036,197056,190738,192705,191782,192625,198421,199598,201961,193754,202686,197521,196224,189967,213820,205567,213616,216260,212437,210376,211335,209154,211882,211868,231530,205000,216674,214430,216230,214641,215589,215825,231711,238676,245740,241948,244846,239176,223343,222970,224067,236763,229246,229915,225501,228634,223716,230872,224922,222904,216448,232955,234038,231604,230842,234445,229972,241646,237087,247452,242762
"91","23","E1XEF1 B   Personal consumption expenditures excluding food and energy","E1XEF10",790311,796326,800749,809178,804195,817473,825451,829945,838330,842439,852113,869829,866576,882086,893847,899268,905016,910067,923464,930283,938905,950823,962345,971531,964528,982037,999602,1017596,1028554,1039286,1038708,1054807,1055435,1068767,1076299,1086176,1086296,1092034,1103876,1110908,1126091,1130459,1143680,1160503,1170216,1174648,1182847,1188146,1211796,1209404,1202243,1193590,1198352,1212731,1238883,1248810,1265059,1295463,1303270,1318510,1329057,1346223,1357016,1357927,1360612,1373035,1385955,1409547,1406101,1398558,1408648,1415760,1423052,1443017,1450277,1451080,1472520,1469005,1488152,1499852,1522522,1536847,1560287,1577347,1592181,1595716,1609926,1629282,1648832,1672179,1693436,1704733,1721397,1744273,1752146,1768588,1793967,1794301,1802473,1826310,1843641,1861165,1864117,1878046,1894181,1899492,1926856,1946837,1968301,1985866,1999947,2006236,2039452,2030594,2053756,2087301,2124487,2090691,2102094,2125742,2149398,2145281,2155500,2181679,2200258,2200307,2223219,2253876,2320135,2279418,2273945,2342441,2281788,2335702,2345585,2364030,2367819,2389899,2412265,2445602,2444409,2444862,2457183,2481621,2514685,2524775,2550622,2554054,2578036,2593437,2609059,2623325,2638074,2665787,2681444,2713019,2735326,2718223,2733109,2768446,2768038,2785977,2803941,2836207,2833301,2843385,2849975,2868545,2934273,2912565,2935805,2951972,2961158,2982468,2997395,3004659,3014866,3014540,3016632,3010258,2995400,3036199,3076441,3070702,3075775,3089659,3114956,3123304,3140178,3139492,3157428,3184091,3235393,3258165,3259984,3272693,3300067,3325449,3344549,3359757,3381648,3403914,3404111,3443372
"92",NA,"PCE by Major Type of Expenditure (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","24","E1PCE1 A     Personal consumption expenditures","E1PCE10",1111201,1111792,1119032,1129573,1126830,1144652,1153754,1162251,1173170,1181239,1193462,1215962,1219255,1235565,1242565,1251638,1261532,1268159,1285150,1290428,1299387,1316278,1331980,1341278,1335162,1361021,1383613,1402464,1418174,1432148,1433151,1453424,1459379,1473526,1487136,1503044,1508871,1524362,1537679,1545139,1565463,1582326,1592642,1622300,1640832,1648729,1664498,1673485,1704128,1708171,1714915,1701822,1706565,1725344,1753557,1770108,1786643,1822966,1833002,1858336,1877677,1892249,1911273,1912583,1921689,1942267,1949571,1973663,1972070,1969971,1976045,1993649,2001146,2024858,2028101,2030531,2049285,2053480,2078277,2086898,2111979,2133780,2158078,2170789,2183567,2186529,2212158,2235312,2254688,2284704,2313200,2329189,2343410,2366222,2374960,2402718,2428566,2412845,2441273,2467595,2484975,2506469,2505652,2523751,2545377,2543571,2583991,2595338,2629613,2650462,2657091,2668769,2705042,2696373,2720462,2756030,2799681,2762296,2778707,2819090,2833513,2826652,2830664,2843845,2867801,2874225,2895910,2914762,2989761,2951560,2948486,3019494,2959749,3026745,3037582,3061198,3070058,3094770,3118194,3155246,3151286,3159626,3169321,3199022,3238612,3246239,3285545,3288019,3318544,3342673,3365571,3389975,3396575,3436326,3452441,3482846,3505311,3509317,3519258,3563228,3571826,3586718,3606370,3642241,3644198,3657003,3667554,3708928,3754486,3752235,3781011,3800468,3808573,3838533,3855078,3881029,3902725,3902868,3905636,3896570,3879283,3907702,3955642,3950463,3976778,3983642,4008407,4011252,4027330,4020070,4048208,4064008,4128244,4141837,4157562,4169847,4195540,4213785,4241761,4258777,4292456,4320210,4334302,4368835
"94","25","E1FTB1 C Food and tobacco","E1FTB10",252531,251004,253194,255237,256544,259898,260181,262752,263250,265191,264052,267882,272680,275534,274137,275529,280431,279558,281018,279236,279544,282600,289439,285767,287888,293300,298794,299912,302496,307655,309809,312807,317586,316820,321622,325426,328627,331368,337392,332958,337046,345732,340756,346320,351604,352306,360581,361570,366869,364436,368339,369341,371780,372878,375049,381313,382825,386465,389086,393667,398043,398548,400076,403395,405084,405887,406824,409719,409177,412815,411294,415281,412975,419730,417614,422104,425128,426105,431165,429534,431668,438332,436065,441457,438168,442030,444983,446551,447528,450837,455418,454650,457550,458355,461779,457473,466038,466957,469370,471917,472559,478149,478358,481483,484570,479576,485415,485290,486612,490137,491320,495482,495936,496417,496857,498785,505082,504774,508868,510400,515120,514898,518741,518006,521491,522351,525061,523491,527461,532756,532702,537900,536856,544176,542284,546597,546654,549286,549218,552804,553357,555251,558331,562201,561448,565209,576608,576611,582311,585152,591609,599611,599735,602912,608732,608984,616835,614441,618051,618764,625523,626944,631178,634121,641190,641418,645423,649109,655407,663206,671006,672525,673050,681431,683594,686244,690721,684193,688686,683139,686194,689361,697472,697273,705672,706823,705677,704910,701487,700006,704019,700049,715967,713962,711847,710519,712252,705633,711182,717425,718096,728588,731201,731320
"95","26","E1FXA1 C   Food excluding alcoholic beverages","E1FXA10",207231,205134,206789,208012,209509,211843,212183,214813,215253,217125,215767,219360,223098,223904,223501,225363,230414,230247,231758,229911,229688,232320,238674,235009,236829,241467,246023,246870,249288,253594,254567,257018,261094,260549,264772,268280,270985,273201,278587,274465,278610,286040,280751,285445,289951,291129,297955,298419,302220,300337,303557,304172,306128,306718,309036,314542,316160,318983,320659,324480,328305,328447,329838,332501,332985,333967,334642,336926,336298,339538,338168,341168,339695,345158,343002,347010,349597,350677,355068,353866,355334,360261,357864,362382,358523,361636,364149,365348,366187,369420,372908,371928,374159,375076,377873,373743,382119,383556,385420,388097,388544,393308,392773,395493,398270,393619,398773,398358,399173,402342,403026,406403,406964,407237,407514,409118,412825,413785,417249,418136,422675,422259,425162,424050,427574,427753,430062,428748,432502,437523,437989,442683,440881,446951,445650,449430,449099,452058,451878,454627,455390,456643,459662,463052,462361,465979,476009,476438,481514,483978,490131,497041,497227,500170,504968,504708,510838,508456,510703,511423,516582,517430,520726,523694,529760,530077,533433,536264,541088,548715,555133,555333,555933,562350,563449,565177,568348,561987,565551,560432,562919,566526,573856,574278,582176,581936,581027,579880,576897,575210,577652,575157,587935,584972,582370,581426,581811,576620,581211,586457,586349,595365,598092,598725
"96","27","E1ALC1 C   Alcoholic beverages","E1ALC10",29229,29501,30004,30075,29956,30907,30989,31004,31133,31377,31410,31668,32644,34550,33483,33156,33257,32942,32765,32598,32525,32902,33489,33510,33428,34141,34967,35136,35265,36004,36582,37115,37757,37542,38081,38374,38860,39236,39836,39481,39428,40707,40925,41547,42183,41700,43077,43520,44648,43957,44524,44794,45098,45222,44923,45644,45417,46320,46916,47274,47854,48076,48069,48487,49151,48927,49103,49736,49626,49901,49701,50766,50247,51217,50943,51347,51621,51608,52195,51758,51798,52786,52317,52491,52776,53408,53854,54044,54166,54291,54728,54720,55336,55331,55857,55679,55587,54865,55223,54935,54984,55585,56049,56393,56591,56222,56856,57151,57400,57560,57893,58546,58312,58449,58496,58680,61132,59705,60279,60709,61032,61165,62016,62196,62055,62677,62827,62366,62369,62549,61813,62054,62328,63224,62367,62781,63046,62647,62610,63425,63063,63613,63727,64313,64511,64747,66210,65745,66369,66838,66782,67648,67520,67683,68509,68896,69179,68818,69878,69742,70947,70874,71327,71005,71983,71659,72277,72589,74125,74281,75642,76932,76840,78126,78409,79482,80835,80601,81505,81034,81788,81634,82374,81416,82063,82801,82509,82567,81622,81652,82255,79839,82012,82252,82253,81690,82058,80874,81555,82591,82813,83844,84648,83976
"97","28","E1TOB1 C   Tobacco products","E1TOB10",16071,16369,16401,17149,17079,17148,17010,16935,16864,16689,16875,16854,16937,17079,17153,17009,16760,16369,16495,16727,17331,17377,17275,17248,17631,17692,17803,17906,17943,18057,18661,18674,18735,18728,18770,18772,18783,18930,18968,19013,19008,18984,19080,19328,19470,19477,19549,19630,20002,20142,20257,20375,20554,20938,21090,21127,21248,21162,21511,21914,21884,22025,22169,22407,22948,22993,23078,23057,23253,23376,23424,23346,23033,23355,23668,23747,23910,23821,23902,23909,24537,25286,25884,26584,26870,26986,26979,27159,27175,27125,27782,28003,28055,27949,28050,28052,28333,28536,28727,28884,29031,29257,29536,29597,29708,29736,29787,29780,30038,30236,30401,30533,30660,30730,30847,30988,31124,31284,31340,31555,31413,31474,31563,31760,31862,31921,32172,32377,32591,32684,32900,33163,33647,34001,34266,34386,34509,34581,34730,34752,34904,34995,34942,34836,34577,34483,34390,34428,34427,34337,34695,34922,34988,35059,35255,35380,36818,37167,37470,37598,37994,38640,39125,39422,39447,39682,39712,40256,40194,40210,40231,40259,40277,40955,41736,41585,41538,41605,41630,41672,41487,41201,41242,41580,41433,42086,42141,42462,42968,43143,44112,45053,46020,46738,47224,47403,48383,48139,48416,48378,48935,49380,48462,48620
"98","29","E1CAJ1 C Clothing, accessories, and jewelry","E1CAJ10",91142,91256,90469,92409,90621,93286,94394,94909,95228,96386,96088,97660,94262,97922,98245,100153,100274,100993,103614,103960,104631,108405,110403,110486,107555,109730,111760,113442,114782,115943,114802,116409,119108,117752,119472,120913,118513,117402,120923,119880,121644,122109,124408,127002,126444,127103,128400,127236,131127,129331,128036,128301,129217,129700,131131,133660,133652,137470,137256,138383,140166,142094,141473,143787,141529,144699,145459,145759,146179,145417,144177,145437,143947,147798,146056,145727,145659,144037,148397,146820,146686,148422,148905,151870,152752,152378,154683,157246,159395,162154,162147,162828,164054,166322,169241,169394,173406,171456,168987,172846,175205,180020,174795,174663,178246,177293,181496,181641,180446,184547,184297,185832,187615,185337,187383,190588,192041,192081,195571,193444,196296,196607,199629,200759,202667,202916,203264,206990,206606,212019,208969,212471,207716,217728,215845,215869,216622,218936,220437,221145,220910,222247,222605,226388,227216,225686,231334,229937,232636,232708,235734,236161,239947,244959,244920,247576,252353,243824,244626,250939,250760,251836,251847,253338,256888,256253,258315,259133,259748,260267,263538,259945,261839,264736,265304,261959,261280,259928,260219,259005,257310,261695,264261,267414,266288,263121,266348,267116,262460,261865,263214,261293,270792,276012,272243,274581,277404,280727,280711,285327,287263,288003,287733,290036
"99","30","E1PCR1 C Personal care","E1PCR10",16994,16958,17140,17166,17039,17297,17389,17558,17718,17850,18169,18455,18260,19054,19588,19497,19437,19548,20063,20095,20493,20702,20880,20937,20804,21191,21433,21593,21953,22082,22042,22198,22373,22287,22385,22963,23118,23409,23293,23309,23416,23781,23835,23862,24237,24452,24724,24656,25211,25057,25085,24985,25171,25244,25387,25829,25861,26005,25927,26026,26722,26572,26615,26891,26829,27112,27217,27410,27539,27601,27630,27600,27398,27474,27445,27506,27567,27637,27988,27999,28221,28648,28813,29364,29617,30233,30801,31194,31655,32216,32733,33008,33472,33755,34148,34018,34576,34487,34391,34934,35153,35656,35373,35610,36101,36215,36763,36962,37169,37637,37697,38032,38283,38407,38760,39242,39528,39831,40192,40366,40700,40885,41312,41364,41706,42031,42417,42708,42962,43429,43590,44087,44464,45232,45191,45733,46099,46480,46664,47176,47276,47528,47725,48159,48492,48670,49448,49421,49677,49951,50028,50344,50791,51135,51480,51603,52381,52316,52272,52781,53407,53551,53948,54150,54745,54798,55289,55722,55882,56509,56667,56749,56642,56956,57054,57271,57346,57272,57632,57395,57412,58000,58483,58329,58610,58366,58539,58617,58641,58796,59022,59111,60621,61099,60906,61398,61721,61701,62025,62494,62557,63069,62918,63107
"100","31","E1HOS1 B Housing","E1HOS10",155512,156674,157581,158750,159916,161285,162873,163988,165405,166735,168125,169801,171554,173491,174912,176495,177809,179064,180862,182409,184118,185547,187440,189111,191776,193451,195245,197261,199323,201734,202836,204684,207220,209203,211697,213896,215464,217115,218408,220034,223329,225266,227174,230158,233553,237199,238729,240923,243097,244898,246718,248096,251250,254763,256730,259225,262049,266220,269066,271936,274518,277316,279593,282577,286258,288539,290330,294313,297266,300231,301707,304068,306023,306401,308283,308473,311274,312513,316104,317828,319980,323291,324887,326904,329408,330459,331492,334862,335635,338303,341240,344285,347694,350164,353038,355402,358131,360247,363213,366423,369044,371402,376111,379145,383176,386929,388914,391791,393716,397192,399848,402891,408932,411171,415118,418817,421112,424535,428196,430993,434309,435779,438166,442500,443597,445684,448881,452148,455722,458275,461724,463648,466699,469887,472974,475326,478112,479645,482719,487994,490714,497075,499858,502953,506114,508163,511096,513435,516281,519211,522128,525766,529696,532547,535576,537997,540462,543358,545984,548983,552281,555109,558797,561598,564334,568577,572061,576697,579504,581164,586581,588801,591695,597495,601104,605890,608239,610073,611079,613641,616491,619207,620939,625193,627519,629844,632345,634703,637689,640485,643345,645612,648088,649538,652631,653922,655413,657443,659917,661213,661551,665024,667464,669392
"101","32","E1HHO1 C Household operation","E1HHO10",146923,143692,145574,147380,147615,149715,150829,153711,155329,158161,161859,163543,165483,166540,164456,165406,164477,167970,171538,172526,173623,177395,175811,180185,177503,183824,184235,187065,189873,189738,188478,191051,193320,194082,196531,199560,201450,206316,203249,206652,207713,210767,210895,217121,218090,220240,221629,220103,220631,227438,231007,225644,227323,230256,234679,235813,235916,241167,243817,246222,244976,241670,246984,247614,253365,261350,258373,256344,258366,260625,258521,265328,266067,266995,267556,270317,265944,271649,271236,271026,273952,278350,280687,279338,278689,281676,287995,293815,290503,294803,298867,304414,302235,303843,305046,319017,315913,304917,320232,321603,324012,324882,320508,325010,327941,325889,334009,328742,340633,341372,331834,334512,339107,337984,341353,346620,348759,348499,348199,364359,351265,354569,354320,353580,356958,360112,364381,359413,365954,364894,364517,365469,363680,368803,371066,373273,376269,378682,381999,382303,377381,384374,377088,380753,389982,386129,393030,390010,393423,398875,402195,405322,398308,410307,406113,409949,405648,421813,416760,416515,420225,417926,419462,425258,425551,428303,431295,449653,422902,428865,432696,433403,433500,433170,431875,439246,440211,437286,432172,434137,436648,431567,440240,442376,453735,445119,449530,446121,447687,443480,452357,442460,449576,448663,460240,463928,462085,463294,466202,465012,475875,474382,483485,479646
"102","33","E1MED1 C Medical care","E1MED10",117875,118658,120535,121533,121918,122995,124973,126818,128116,128771,131387,132493,132707,133883,135963,137953,141396,142522,144564,145676,145993,147305,148124,149437,151970,154283,156428,158502,159889,161872,163265,164716,166346,168818,169900,172012,174750,175276,176490,178673,180958,182297,184300,184862,185979,189998,191788,193941,197762,198166,199736,201219,202439,205067,208365,212423,218217,220528,223649,227842,228740,233178,236339,238650,241350,244075,247506,250548,252500,253603,257532,258846,260149,262970,264948,267472,270027,272924,276272,278889,281394,284227,287198,290931,294353,296832,300160,302297,305844,308220,311470,315287,317208,320664,323606,324648,331462,332151,334069,337770,340053,342241,344865,345928,350018,352550,354900,358157,359440,364428,366692,369659,371298,374051,377859,380919,384208,386724,388869,392510,394357,396829,398507,400211,402417,405275,407142,410127,413515,416885,420311,423393,423910,429147,434150,436930,441323,446504,450528,454735,458190,461807,466171,467264,475707,480711,488386,492065,497887,502117,508969,514158,517722,522203,527776,532509,538615,541528,544309,549344,552418,556526,562705,566563,572319,579805,586322,591940,601697,606624,612491,619302,626538,633502,641453,647171,650157,656728,661909,664023,665931,672612,674509,681057,682679,688937,693403,699743,704030,710501,716140,724850,732115,736122,743853,750354,754778,759204,764663,770205,775491,779160,780460,786890
"103","34","E1PBU1 C Personal business","E1PBU10",57880,59010,59320,58874,59194,60011,60251,60504,61344,61854,62839,64420,64142,64078,64203,65294,65673,65621,67953,67394,68600,70048,70721,72094,73285,74502,75978,78247,79204,80062,79413,82171,81892,81226,80434,80681,81618,82824,83194,84468,84508,85849,85191,87990,88043,88495,88150,90670,92801,93622,92621,91335,93023,93461,95441,95643,97431,99696,98245,99423,99823,98928,101094,100997,100886,101500,102303,103007,104391,103440,105560,105310,104188,105557,106645,108753,110690,111178,113524,117009,119954,126324,127754,129137,134892,136337,137995,141087,143897,146106,145715,144774,147467,148738,147956,148752,148697,147427,146927,147986,149023,149676,149557,154209,154359,155339,157385,161482,168629,172080,172359,173204,176657,178818,178146,176742,177099,181932,185380,189246,187056,190521,193649,194586,194465,197814,198704,199090,202376,202173,207673,211570,214495,214433,214458,213194,210656,209448,211944,213466,212763,217054,214770,216574,219532,220463,221751,221937,221671,224461,225996,225732,226480,226692,226346,228804,233212,234165,234227,235016,235232,236321,236027,236096,236507,239102,238161,240916,241299,240335,243445,248423,252589,254160,253495,254830,254143,254509,255181,257878,263189,269218,272860,276159,276896,278466,280783,283521,284642,287329,288701,294135,302837,302753,301943,301997,301225,303028,306788,307917,309778,312034,313131,316450
"104","35","E1TRN1 C Transportation","E1TRN10",149594,152583,152947,155161,151208,156086,157511,156045,159881,158113,162213,170069,170464,173667,178384,177169,177212,177734,178257,180214,182000,181894,184677,187879,179875,183971,191245,198098,200078,199798,197344,203465,194130,203327,204389,204167,202257,204093,206491,208681,214902,212366,223031,229301,236813,231426,231074,235052,244929,241048,241182,230055,221925,228113,238705,236222,237977,247542,246266,253307,265499,273155,277028,264592,261592,262041,260891,274572,264994,253515,254836,255476,262945,267436,266257,257475,268733,260279,264687,268079,278822,272239,288583,284131,284294,276177,280556,281782,288473,298681,309415,313853,314452,321259,313794,325456,327906,322845,330804,337140,342019,342477,343774,341147,341690,339968,353433,355616,366305,362508,373671,366661,382382,368670,379102,394861,418888,369244,368379,381338,394907,376997,365171,371556,380590,371268,376076,387577,437426,381015,366371,413172,354616,380845,386699,394839,394158,405403,410044,428481,424272,405959,409975,419718,429579,425902,425000,423250,429346,433416,428338,431503,427930,433701,438529,446896,448521,444406,447138,468457,456835,459165,462196,478993,457961,454886,444778,447434,494735,469573,465413,468634,459775,462538,463448,469550,478757,481528,476893,469304,438849,440518,458464,437471,438977,445648,451458,446329,456976,444128,447329,461041,465898,468778,466632,464948,477664,485677,487617,485338,492666,497997,493693,510987
"105","36","E1USE1 C   User-operated transportation","E1USE10",137282,140112,140368,142378,138311,143057,144299,142818,146474,144574,148590,156200,156427,159669,164179,162817,162596,163274,163458,165427,166892,166588,169302,172510,164629,168640,175615,182736,184390,184224,181674,187646,178095,186830,188879,188972,186486,187766,189851,191878,198084,195257,205522,211522,218998,213103,211966,216220,225483,221482,221466,210665,202319,208070,218484,215671,217267,226664,225984,231858,244142,251713,255784,243082,239922,241044,239364,253959,243443,232181,233650,234033,241653,245940,244785,235798,247149,238211,242556,245686,256460,250081,266292,261724,261870,254263,257563,259236,264740,275070,285050,289198,289539,296089,288869,299995,301621,296125,304036,310205,314298,315260,317437,314516,316066,312842,325980,328324,338611,334999,345847,338700,354369,340543,351572,366953,391116,340785,341204,353286,366998,348977,336423,343238,352404,342552,347200,358686,408520,352005,337124,383395,324995,350695,356717,364448,364120,374801,379216,397566,392465,374266,378469,388273,398065,393815,392264,390158,396021,399872,394733,397246,393805,399349,403548,412682,413528,409203,411386,433365,421459,424036,427576,443761,422682,419255,409040,412998,458540,432888,428904,432250,422880,426080,427174,432492,441425,442581,438183,432645,402594,404440,422502,401332,402615,409272,414739,409891,420107,406895,411603,423333,428195,431177,429128,427368,441509,450323,447605,450082,456395,461066,455808,472513
"106","37","E1PLT1 C   Purchased local transportation","E1PLT10",4353,4374,4503,4404,4410,4383,4476,4452,4422,4470,4533,4608,4611,4638,4668,4551,4755,4809,4773,4818,4869,4902,4863,4851,4797,4845,4794,4785,4797,4740,4776,4728,4782,4758,4725,4665,4725,4731,4827,4908,4896,4887,5004,4881,4824,4872,4896,4689,4815,4752,4785,4539,4773,4692,4845,4941,5034,4824,4761,4755,4755,4788,4782,4809,4755,4800,5178,5193,5211,5223,5298,5340,5223,5349,5337,5250,5235,5244,5307,5433,5385,5454,5484,5523,5565,5574,5625,5670,5736,5784,5856,5880,5934,5943,6033,6048,6324,6303,6306,6363,6372,6393,6450,6450,6489,6504,6489,6525,6531,6681,6747,6819,6786,6810,6861,6930,6819,6930,6912,6906,6933,7143,7071,7278,7125,7104,7176,7062,7053,6966,6876,6825,7053,7044,7023,6987,6966,6918,6960,6873,6843,6864,6807,6966,7086,7116,6968,7307,7247,7390,7400,7427,7375,7267,7378,7396,7350,7321,7319,7383,7452,7432,7539,7591,7716,7585,7603,7608,7954,8137,8267,7937,8187,8178,8253,8362,8549,9023,9104,8843,8595,8777,8772,8708,8738,8792,8785,8800,8843,8781,8759,8692,9057,9060,9098,9063,9129,9075,9033,8955,8997,9024,9036,9062
"107","38","E1PIT1 C   Purchased intercity transportation","E1PIT10",7959,8097,8076,8379,8487,8646,8736,8775,8985,9069,9090,9261,9426,9360,9537,9801,9861,9651,10026,9969,10239,10404,10512,10518,10449,10487,10836,10576,10891,10834,10894,11092,11254,11739,10785,10530,11047,11596,11812,11896,11923,12222,12504,12898,12991,13450,14212,14143,14632,14814,14931,14851,14832,15352,15376,15610,15676,16054,15520,16694,16603,16654,16462,16702,16914,16196,16349,15420,16339,16111,15888,16103,16069,16147,16135,16427,16348,16824,16824,16960,16977,16704,16807,16884,16858,16340,17368,16876,17998,17827,18508,18774,18979,19227,18891,19413,19962,20416,20462,20572,21349,20825,19888,20182,19135,20622,20963,20767,21163,20829,21077,21142,21226,21317,20669,20977,20953,21529,20263,21146,20976,20877,21677,21040,21062,21612,21700,21829,21854,22044,22370,22952,22568,23106,22959,23404,23071,23684,23868,24042,24964,24829,24699,24478,24427,24971,25768,25785,26077,26154,26205,26830,26750,27085,27603,26818,27643,27882,28433,27709,27924,27697,27082,27641,27563,28046,28135,26827,28241,28548,28242,28447,28709,28281,28020,28696,28782,29925,29605,27815,27661,27301,27190,27431,27624,27584,27935,27638,28026,28452,26966,29016,28647,28541,28406,28517,27026,26279,30979,26302,27274,27907,28849,29411
"108","39","E1RCR1 C Recreation","E1RCR10",75768,75153,75780,76796,76570,77868,78547,79072,79638,80233,80136,82311,79360,80921,82296,83579,84361,83927,85623,87377,88308,89075,90557,90890,89445,91287,92739,92058,94185,95965,97019,97410,98049,99966,101384,103468,101739,104862,105548,107207,108198,110060,108753,111118,111587,111951,113088,111946,113774,115734,113473,113528,114233,114438,116347,117276,119532,122994,123739,124693,125864,125804,126775,128664,129242,130468,133305,133546,133160,133325,134593,135326,135278,136699,138847,137747,138953,141214,142270,142478,143001,143801,144539,145941,148563,148002,150758,152001,155585,156372,158506,158488,161036,162660,164841,166240,169138,169182,169315,171527,172623,175783,173990,176995,177731,178528,179806,182522,184190,186808,185803,187601,188236,186806,187734,189645,193166,195030,195589,195966,197929,198506,200039,199529,201948,204309,207136,209379,213035,215373,215653,220436,217144,223046,220972,225082,225365,225549,228699,229905,229246,230247,232231,234256,236595,240318,245101,246368,248959,250841,252681,253270,256259,261103,261729,266714,265242,262451,264347,267602,270893,274371,273896,275878,277394,276775,279265,280797,283663,285554,287655,289294,288435,288188,290479,290498,293347,294369,296981,293510,291718,297115,300245,298004,300825,302190,304620,303874,306613,306406,305978,306152,313177,313730,312121,315049,316581,318345,321969,323201,325690,329413,330321,336207
