"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150"
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4902,4753,4613,4781,4604,4835,4762,4792,4911,4800,4874,5220,5115,5242,5557,5205,5217,5441,5364,5517,5582,5646,5811,5495,5591,5780,6088,5830,6032,5878,5997,5969,5830,5821,5794,5866,5966,6016,5981,6057,6197,6064,6078,6150,6167,6222,6261,6362,6341,6314,6229,6258,6227,6391,6284,6327,6347,6324,6215,6303,6402,6383,6560,6650,6635,6545,6573,6493,6677,6795,6883,6877,6932,6913,7053,6971,7049,7051,7114,6904,7170,7159,7367,7259,7256,7169,7040,7108,7127,7328,7453,7454,7367,7400,7544,7750,7896,7985,7957,8018,8027,8040,7942,8302,8322,8477,8521,8440,8297,8244,8619,8695,8919,8736,8716,8769,8841,8819,9019,9152,9319,9397,9392,9633,9584,9731,10107,9822,10078,10055,10036,10083,10282,10286,10349,10209,10540,10597,10712,10754,10810,10884,11071,11287,11135,11255,11402
"58","50","D     Miscellaneous nondurable goods wholesalers","S42290",15366,15324,15294,15280,15041,14861,14753,15246,15508,15088,15044,15477,15113,15568,15658,15394,15684,16038,16109,16004,16097,15896,16542,16872,16910,16463,16417,16416,15584,15795,15920,16266,16755,17017,17420,17744,17870,17973,17918,17770,18006,18197,18200,18359,18387,18658,18401,18506,18851,19237,19147,19424,19735,19930,19858,19762,19249,18975,18716,18161,17820,17747,17824,17946,18270,18099,18418,18335,18242,18105,17831,17874,17770,17769,18284,18084,17705,17650,17746,17940,18601,18542,18669,18507,18954,18695,18218,18590,18872,19230,19868,19473,19405,19870,20330,20585,20424,20528,19923,20673,20714,21128,20957,21043,21462,21334,21497,22154,22122,22092,22068,22267,22324,22123,22021,22281,22291,22193,22007,22127,22099,23162,23787,24508,24009,23980,24317,24407,24733,25265,25769,25856,26850,27669,28142,28681,29409,29966,30263,30412,30597,30189,29584,28622,28370,28749,28689
"59","51","A Retail trade industries","S440",327901,329858,327392,330769,331427,330447,332431,331301,333878,335413,336784,337516,339150,342097,346609,350551,349007,349072,350270,349640,351320,351910,353761,353588,356756,357613,360406,361790,362718,364858,366772,368422,371308,375093,378757,383794,382890,383917,386428,388938,393479,396808,398987,401959,402968,406362,408369,408986,408396,405318,404870,406641,407541,406532,406300,408008,407460,397129,391634,395637,398678,399883,400429,401016,404564,407535,408849,407960,412721,414394,418215,419258,421844,425242,427991,428596,427708,429271,431256,428553,433620,434644,437021,436426,437969,440873,445729,452273,455219,456944,458642,462986,464701,469011,471498,472783,474811,478390,478869,477684,477454,476817,470744,475084,480976,483665,484434,486991,489522,487962,493929,492228,497913,501462,502445,505244,505179,500953,501206,505951,504348,507332,506786,509421,509410,510390,515394,516847,516213,519628,518470,516993,519920,520569,518402,518583,519228,522421,530377,527306,527014,522516,514200,506713,499584,494685,491087
"60","52","A   Motor vehicle and parts dealers","S4410",101051,101606,100492,102296,101816,100654,101821,101699,101718,103304,104474,104162,104873,106200,107919,110705,110830,108072,107847,106707,107755,108387,108923,107624,109395,110178,111837,111833,112169,112670,113827,114155,115670,118202,119653,121531,121644,120965,122145,124752,126689,129080,131269,132327,133341,134644,135281,135607,134239,130909,129774,131185,131933,131962,133563,133393,133691,123186,120169,125007,127531,128793,129600,130034,132079,134296,133598,132562,134840,137308,140697,140385,142642,144241,146147,147101,147657,148839,149329,147281,149218,148598,149845,149280,150694,151827,153539,156780,157381,158015,159347,161419,161640,163294,162621,161057,160630,162049,161049,159610,158663,156801,151233,152992,156971,159545,159223,159323,159798,158823,161686,159187,162096,163298,162344,162328,162260,157753,156686,159472,157177,156257,155141,156718,154866,154997,159255,160406,158576,158256,157532,152587,153148,152522,150760,147824,147236,147926,152292,149925,149740,149043,148354,145770,140840,137340,134633
"61","53","D   Furniture, furnishings, electronics, and appliance stores","S44230",24923,24853,24558,24202,24457,24255,24388,23826,23814,23913,23777,23616,23424,23442,23635,23671,23455,23331,23406,23193,23112,23245,23380,23303,23399,23517,23288,23512,23436,23737,23985,24027,24118,24178,24270,24617,24412,24563,25039,25039,25234,25804,25702,25932,25450,25885,26574,26145,26022,25532,25812,25829,25542,25098,24808,24766,24584,24730,24824,24859,25598,25779,25854,25831,26216,26109,26438,26284,26734,26680,26557,26348,26276,26388,26214,26312,26293,26738,26736,26778,26996,27712,27769,27691,27331,27532,28031,28301,28661,28676,28957,29442,29470,29527,30042,31031,30769,30738,30789,30957,31371,31587,31474,31485,31309,31268,31520,32141,32422,32731,32779,32877,33054,33140,33240,33276,33320,33171,33070,33060,33375,33713,33527,33541,33430,33693,34002,33957,34320,35043,34808,34596,34603,34445,34245,34735,34513,34764,35250,35320,35467,35467,33277,32798,32485,32040,31881
"62","54","D   Building material and garden equipment and supplies dealers","S4440",31999,32082,32221,32362,32494,32790,32752,32946,33347,33152,33155,33540,33717,34311,34313,34341,33740,34406,34682,35277,35211,35179,35596,35828,36048,36223,36412,36541,36630,36942,37290,37371,37363,37723,37949,38493,38632,38912,38933,39367,39503,39801,39984,40228,40306,40114,40344,39943,40168,40105,40069,40166,40465,40287,39854,40216,40139,40232,40050,40037,40277,40402,40888,41009,40885,40897,40861,40932,41463,41884,41725,41986,41422,42180,42349,42112,42060,42281,42362,42748,43669,43572,43729,43881,43845,44608,45285,46146,46828,47035,47459,47895,47806,48484,48573,49289,50576,50622,50375,49911,50105,50171,50182,50444,51299,51779,52625,53470,54333,53759,54897,55235,55287,55756,56497,57327,56833,56318,56084,55549,55413,56016,55749,57163,56896,57034,56969,56977,56543,57007,57060,57252,58131,58329,58663,59303,59515,59965,60648,61272,61329,60310,59724,58506,58155,58328,58876
"63","55","A   Food and beverage stores","S4450",27424,27501,27664,27565,27624,27515,27480,27878,28071,27940,28040,27835,28026,28067,28420,28768,28724,28940,29237,29179,29106,29134,29421,29487,29907,29865,29859,29702,30029,30214,30372,30710,31205,31362,31345,31531,31453,31576,31736,31926,32207,31592,31420,31506,31851,31976,31806,32066,32477,32864,32996,33224,33279,33386,33327,33467,33437,33651,33660,33571,33509,33651,33490,33230,33157,33266,33179,33382,33672,33169,33314,33744,33756,33986,34157,34189,34176,34056,34273,34367,34972,34741,34620,34497,34462,34332,34750,35279,35737,35608,35391,35377,35763,36134,36239,35929,36092,36219,36313,36468,36434,36296,35894,35950,35692,36137,36458,36707,36796,36595,36656,36930,37154,37348,37676,38005,38264,38091,37986,38283,38598,38948,39536,39322,39573,39751,39786,40192,40693,41347,41523,42116,42576,42882,43209,43754,44148,44609,44819,44978,45281,45190,44801,44230,44278,44182,44260
"64","56","D   Clothing and clothing accessories stores","S4480",26355,26564,25967,26764,26913,26853,26937,26819,27286,27329,27295,27639,27782,27683,28106,28277,28192,28562,28700,28811,29130,28897,28814,28795,29165,29445,29313,29478,29518,29684,29354,29232,28998,29200,29535,30078,29340,29750,30114,30251,30764,30581,31007,31429,31384,31913,32071,32445,32321,32543,32465,32309,32153,32275,32069,32075,32282,32556,31707,31401,31394,30934,30640,30939,31038,31468,31959,32027,32407,32464,32564,33138,33647,33778,33949,33690,33731,33540,33691,33717,33673,33622,34067,34047,34155,34399,34426,34981,35251,35309,35380,35855,36096,36467,36846,37137,37644,38198,38324,38288,38177,38705,38686,38942,39256,39530,39232,39294,39180,39863,40553,41140,41793,42241,42549,42834,43127,43389,43978,44893,44863,45612,45015,44632,44544,44292,44273,44460,44648,44622,44660,44971,44819,44843,44528,44654,44246,44281,44479,44139,43944,43837,43504,43069,42680,42604,41996
"65","57","A   General merchandise stores","S4520",57333,57586,57257,57920,57996,58065,57912,57596,57806,57528,57624,58279,58639,58786,58998,59129,58353,59209,59618,59657,59981,59919,59772,59632,59563,59635,60045,60342,60327,60304,60502,60892,61082,60971,62018,62470,62802,63096,62737,62679,62926,63298,62957,63062,63089,63600,63576,63794,64282,64488,65662,65356,65802,65870,65075,65993,65439,65331,64648,64017,63576,63536,62973,62802,63412,63099,64003,64052,64206,64317,65222,65336,65242,65086,65312,66195,65424,65476,65776,65072,66146,66984,66633,66935,67237,67712,68630,69169,69551,70098,69809,70089,70174,70362,71505,72312,72714,73109,74518,74528,74769,74746,74373,75267,75385,75017,75037,75462,75026,74481,74841,73604,74454,74731,75772,76558,76820,77784,78401,78827,79325,80086,80295,80481,80708,80833,80503,80399,80711,81333,80154,81041,81873,82384,81567,82387,82549,82822,83452,82875,83546,83371,82514,81723,80668,80166,80721
"66","58","D     Department stores","S45210",41311,41496,41391,41788,41791,41879,41651,41438,41550,41469,41553,42117,42307,42323,42391,42361,41649,42257,42598,42485,42522,42213,41929,41709,41791,41539,41772,41896,41777,41671,41724,41807,41745,41494,42268,42415,42451,42573,42109,41978,42069,42102,41647,41650,41549,42021,41941,41792,41938,41825,42320,42126,42164,41983,41162,41774,41606,40989,40371,39783,39047,38883,38385,37993,37946,37914,38198,37995,37966,37807,38289,38217,38000,37693,37753,38416,37687,37538,37313,36771,37229,37484,36894,36765,36955,36941,37223,37367,37454,37428,37411,37508,37246,37574,37698,37822,37906,38040,39089,38260,38132,38203,38286,38347,38297,38051,37882,38195,37596,37141,37149,36956,36988,36690,37103,37461,37690,38020,38467,38698,38908,39063,38895,39150,39033,39218,39177,39028,39276,39760,38561,38968,39088,39269,38876,38762,38864,38627,38622,38237,38657,38614,37613,37076,36509,36560,36638
"67","59","D     Other general merchandise stores","S45290",16022,16090,15866,16132,16205,16186,16261,16158,16256,16059,16071,16162,16332,16463,16607,16768,16704,16952,17020,17172,17459,17706,17843,17923,17772,18096,18273,18446,18550,18633,18778,19085,19337,19477,19750,20055,20351,20523,20628,20701,20857,21196,21310,21412,21540,21579,21635,22002,22344,22663,23342,23230,23638,23887,23913,24219,23833,24342,24277,24234,24529,24653,24588,24809,25466,25185,25805,26057,26240,26510,26933,27119,27242,27393,27559,27779,27737,27938,28463,28301,28917,29500,29739,30170,30282,30771,31407,31802,32097,32670,32398,32581,32928,32788,33807,34490,34808,35069,35429,36268,36637,36543,36087,36920,37088,36966,37155,37267,37430,37340,37692,36648,37466,38041,38669,39097,39130,39764,39934,40129,40417,41023,41400,41331,41675,41615,41326,41371,41435,41573,41593,42073,42785,43115,42691,43625,43685,44195,44830,44638,44889,44757,44901,44647,44159,43606,44083
"68","60","D   Other retail stores","S44X0",58816,59666,59233,59660,60127,60315,61141,60537,61836,62247,62419,62445,62689,63608,65218,65660,65713,66552,66780,66816,67025,67149,67855,68919,69279,68750,69652,70382,70609,71307,71442,72035,72872,73457,73987,75074,74607,75055,75724,74924,76156,76652,76648,77475,77547,78230,78717,78986,78887,78877,78092,78572,78367,77654,77604,78098,77888,77443,76576,76745,76793,76788,76984,77171,77777,78400,78811,78721,79399,78572,78136,78321,78859,79583,79863,78997,78367,78341,79089,78590,78946,79415,80358,80095,80245,80463,81068,81617,81810,82203,82299,82909,83752,84743,85672,86028,86386,87455,87501,87922,87935,88511,88902,90004,91064,90389,90339,90594,91967,91710,92517,93255,94075,94948,94367,94916,94555,94447,95001,95867,95597,96700,97523,97564,99393,99790,100606,100456,100722,102020,102733,104430,104770,105164,105430,105926,107021,108054,109437,108797,107707,105298,102026,100617,100478,100025,98720
"69",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","A=Data published in the Survey of Current Business (NIPA table 5.7.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
