"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"47","39","  Other","B653RA3",13.049,15.427,15.685,14.808,14.944,14.533,15.148,14.531,14.878,15.668,15.816,15.048,16.316,14.849,16.65,16.469,16.844,16.365,15.641,10.472,17.885,16.025,9.866,10.416,10.422,9.945,12.642,9.716,13.769,11.882,11.782,11.234,15.348,15.297,14.039,14.9,16.029,14.955,16.48,16.629,19.212,14.548,14.89,17.347,19.763,17.577,19.715,21.957,23.511,27.061,26.127,27.6,27.921,31.791,26.921,27.713,28.766,30.255,29.602,29.733,31.226,33.832,34.374,37.797,38.388,42.749,40.979,41.365,40.005,42.7,40.613,43.047,43.094,43.029,42.953,44.724,43.058,43.203,44.988,48.998,45.71,47.083,49.048,52.327,54.543,55.767,58.066,56.5,54.758,59.854,57.718,57.806,62.105,58.797,59.423,58.245,58.527,60.623,60.916,63.454,64.961,69.667,66.525,68.205,68.099,71.069,65.955,70.021,71.833,72.847,70.271,70.332,75.681,79.753,85.88,87.728,88.129,90.593,98.874,105.841,104.389,107.105,109.02,106.59,114.207,111.046,129.005,124.915,117.716,124.343,123.585,123.5,122.599,125.609,127.463,128.029,117.188,121.628,114.767,120.181,112.185,113.731,121.686,119.261,126.692,116.253,122.271,117.886,124.16,131.024,116.779,113.541,129.437,121.304,122.572,111.034,110.623,112.637,103.622,100.717,102.646,101.764,98.089,97.501,121.122,111.579,113.048,134.599,102.063,112.089,100.786,107.343,112.235,112.962,112.618,106.198,118.522,130.843,116.493,116.561
"48","40","Imports of services \1\","B656RA3",19.087,19.745,19.913,20.503,20.152,21.205,21.202,20.82,20.184,20.521,20.173,20.128,21.385,21.433,20.416,21.207,21.776,20.884,19.395,19.538,19.982,20.601,20.188,20.729,20.177,19.001,19.006,19.784,20.274,20.538,21.051,21.485,21.764,22.168,21.639,21.931,23.13,23.086,23.546,23.979,23.816,23.835,23.673,23.706,23.626,22.946,22.735,23.603,24.647,24.818,24.289,24.51,24.985,26.024,25.886,26.603,26.359,27.604,28.729,29.164,32.576,34.101,35.806,37.419,38.211,38.397,36.948,36.988,38.156,36.423,38.581,39.082,40.625,42.533,42.514,44.512,44.002,43.196,43.98,44.789,45.318,45.651,46.611,46.915,48.829,49.181,49.625,48.919,47.318,48.371,47.54,48.22,47.163,46.275,46.076,46.779,46.647,47.178,47.901,49.543,50.384,50.605,50.425,50.047,51.853,51.19,51.714,52.777,53.656,54.086,55.425,55.22,57.478,58.094,60.381,61.417,63.924,65.209,66.713,67.335,67.326,68.3,69.443,70.447,73.952,75.696,78.281,77.969,76.877,78.962,74.755,72.673,76.777,75.794,76.283,79.844,78.207,74.089,78.304,82.089,84.209,86.16,86.424,88.644,87.814,88.603,88.985,90.747,94.915,95.171,94.752,97.545,99.183,100.176,101.117,99.809,102.685,101.538,103.528,104.978,100.461,99.261,99.864,100.414,100.519,101.469,104.845,104.172,102.853,104.807,107.793,108.282,108.248,108.873,109.139,108.855,110.197,111.296,111.977,112.389
"49","41","  Direct defense expenditures","B752RA3",192.17,190.443,192.817,197.549,186.178,195.687,186.643,185.95,164.847,165.256,162.547,164.976,161.363,170.127,145.383,155.368,143.104,132.946,106.864,124.121,122.049,124.089,114.458,112.923,109.035,96.511,91.594,98.352,90.401,97.571,93.168,91.637,94.732,100.333,96.339,96.638,102.087,104.792,103.966,110.795,103.179,100.822,100.413,103.389,113.569,108.007,106.037,118.445,113.511,128.299,112.149,119.946,119.826,128.183,128.259,132.502,133.706,137.296,139.933,143.041,131.143,136.764,133.484,146.288,153.364,142.572,128.991,146.333,131.028,133.647,121.753,125.152,122.175,117.433,117.108,119.55,110.78,108.415,111.714,113.429,113.263,113.455,107.862,104.935,106.416,101.187,106.375,112.089,119.194,98.359,89.671,88.634,89.472,82.879,71.871,77.738,77.162,74.767,69.146,67.045,66.807,62.854,54.968,52.045,56.794,49.822,50.393,52.876,57.985,57.251,58.34,58.531,63.379,61.805,69.224,73.176,72.617,69.005,74.399,70.702,67.522,70.684,71.147,69.31,72.726,77.065,80.964,75.003,73.55,76.337,78.024,91.597,97.181,95.432,97.105,101.476,102.357,99.108,110.101,118.986,109.733,114.788,108.291,106.943,105.199,110.885,110.052,109.64,112.44,102.544,99.323,98.117,98.434,97.099,93.325,89.465,87.803,84.366,86.742,100.005,103.952,102.613,98.538,94.898,93.027,97.283,99.213,92.019,91.186,87.733,86.472,86.441,84.976,83.521,82.968,76.601,72.613,70.5,68.424,62.66
"50","42","  Travel","B768RA3",20.643,20.969,21.317,21.824,23.64,24.682,24.683,24.782,25.275,24.524,23.551,24.333,26.07,26.048,26.45,27.085,26.21,26.018,24.508,22.936,22.441,22.558,22.16,22.317,21.809,20.935,21.519,22.056,22.525,22.204,22.967,24.119,23.97,23.938,23.314,23.378,23.812,23.617,25.434,24.852,23.993,24.228,23.648,23.459,24.365,23.001,23.748,24.099,25.886,24.335,25.283,25.206,27.091,29.744,29.859,32.687,30.677,33.534,35.952,35.092,55.484,58.627,66.077,67.037,70.935,72.304,68.596,61.042,66.424,56.232,64.874,66.145,71.872,75.657,74.333,78.921,78.692,74.377,77.052,78.968,78.083,77.286,80.058,83.034,85.833,87.281,84.827,82.305,72.9,80.545,77.158,77.511,79.295,79.205,77.447,81.285,80.672,79.818,82.883,89.399,86.801,87.761,86.039,83.991,88.222,86.084,84.112,88.879,91.351,88.59,90.307,90.681,96.261,95.327,99.25,101.22,108.759,110.764,112.129,111.537,110.705,112.746,114.212,116.933,125.233,125.919,126.249,130.724,127.635,134.944,116.946,105.19,116.947,112.823,109.731,116.08,110.291,91.933,104.293,109.498,111.468,111.703,110.549,110.189,112.463,108.517,105.449,109.165,110.573,109.222,107.449,109.956,109.743,106.109,105.902,105.843,107.419,101.363,101.777,106.222,105.066,96.547,99.285,99.102,99.113,97.187,101.546,101.717,98.121,100.218,101.407,103.819,108.559,109.684,107.464,106.019,107.425,108.69,109.109,110.725
"51","43","  Passenger fares","B769RA3",19.92,20.613,21.618,22.155,23.452,23.057,24.68,23.441,20.184,24.082,22.586,26.09,25.876,27.188,27.667,29.252,35.039,32.112,29.877,28.368,28.958,29.655,29.576,33.72,31.328,28.621,30.882,31.61,33.686,32.032,33.15,34.18,32.238,33.314,32.903,35.106,38.414,36.65,37.031,36.154,38.65,38.756,37.633,37.405,35.825,37.205,38.898,37.077,43.564,42.165,42.537,43.015,45.596,43.713,42.386,44.569,48.777,55.714,56.968,59.793,48.957,56.175,54.241,57.13,58.931,68.441,64.613,60.007,62.842,57.719,61.555,63.075,65.89,68.024,67.706,68.671,68.118,67.638,67.641,71.494,73.243,73.936,75.29,72.599,87.104,89.465,86.86,80.141,66.722,74.152,74.355,77.825,76.019,73.617,72.907,79.541,78.737,79.127,83.615,88.148,92.129,93.902,95.894,93.505,94.296,99.382,102.551,104.243,104.055,105.681,109.037,107.403,111.935,117.383,119.39,112.473,116.701,125.876,129.578,129.246,125.323,125.799,127.548,130.854,132.516,139.029,141.33,130.275,119.706,126.626,120.454,94.489,94.504,94.991,90.965,103.861,92.992,91.445,103.522,106.991,110.995,123.347,121.573,117.635,113.521,120.58,126.276,122.217,118.63,123.95,122.365,118.87,110.389,117.041,120.94,120.118,122.125,117.784,114.427,114.397,96.898,100.106,106.194,96.802,91.126,94.03,98.641,98.392,99.734,101.517,103.876,101.02,103.757,108.076,108.12,105.187,108.847,110.459,111.841,111.148
"52","44","  Other transportation","B770RA3",31.947,37.931,37.227,38.909,35.236,39.722,41.991,38.929,41.998,43.547,43.834,38.315,49.057,43.849,42.138,43.524,50.398,48.278,48.158,47.295,44.457,48.739,50.089,53.774,49.836,45.006,45.715,47.916,51.256,51.527,54.27,56.258,58.764,61.007,59.298,58.446,62.069,61.351,61.664,62.381,63.016,63.102,64.112,63.951,59.253,57.226,52.905,54.23,57.281,57.621,55.542,53.286,51.204,50.488,48.49,47.856,48.85,48.322,52.981,55.448,59.542,60.854,62.283,62.84,62.686,62.822,60.189,64.277,61.112,60.515,66.282,67.035,65.939,72.854,73.868,80.025,79.926,80.116,78.352,77.012,79.855,80.916,83.487,82.586,86.494,88.244,89.922,86.88,83.762,87.11,88.063,87.596,84.385,81.3,83.893,82.366,83.397,85.509,84.224,86.257,86.673,89.438,92.784,90.718,91.529,89.737,90.463,87.229,84.63,90.057,90.511,88.585,92.154,95.177,94.565,100.148,101.551,100.376,100.92,105.35,95.994,92.138,94.198,94.963,97.965,101.72,106.846,105.06,104.302,99.906,91.534,96.307,96.292,102.981,103.131,107.461,109.743,105.217,101.957,103.367,111.595,112.738,115.602,117.862,126.145,121.376,116.507,120.973,120.317,125.846,129.649,130.146,129.124,135.573,133.307,125.942,126.787,125.678,123.326,115.793,103.174,98.383,98.309,100.134,107.668,113.577,116.925,108.833,112.252,112.225,114.324,115.42,115.984,115.733,116.121,116.448,120.979,124.492,126.663,128.573
"53","45","  Royalties and license fees","B908RA3",3.873,3.688,3.707,4.139,3.681,3.888,3.594,3.618,3.552,3.496,3.824,4.088,4.17,4.376,4.157,4.745,5.532,5.203,5.112,5.724,6.273,5.958,5.622,5.439,7.389,7.416,5.935,6.558,7.228,7.053,5.809,6.002,6.516,5.981,5.923,6.847,7.8,7.271,7.397,7.54,8.321,8.266,7.878,8.861,6.928,5.375,4.848,9.534,7.547,3.818,5.974,5.741,5.226,5.402,5.31,5.597,5.443,5.949,6.189,6.913,6.947,6.747,7.585,7.842,6.894,6.759,7.524,6.993,7.704,8.524,8.447,8.036,8.958,10.736,10.415,11.723,13.597,14.056,14.505,14.329,13.124,13.484,12.016,13.897,14.799,14.205,15.749,17.452,17.694,19.844,20.238,19.411,26.146,21.199,27.753,20.894,20.898,22.87,23.551,23.982,28.877,23.374,25.128,26.531,27.407,28.719,30.643,33.07,30.645,30.825,38.744,32.632,36.912,36.462,40.515,38.676,45.255,44.004,46.806,49.549,51.601,53.519,54.36,56.955,60.705,61.679,73.832,67.27,64.855,63.704,63.821,66.684,76.106,73.394,77.31,71.819,68.331,70.168,74.494,75.348,78.491,82.497,92.56,90.65,85.22,90.415,94.34,88.369,87.489,82.182,79.028,90.745,90.758,88.742,86.726,82.536,93.185,90.198,104.276,89.997,97.123,99.384,99.827,103.665,108.229,96.205,103.016,102.269,100.922,98.167,111.412,116.473,118.085,120.729,124.328,118.315,121.827,124.112,125.93,126.431
"54","46","  Other private services","B909RA3",0.984,1.006,0.991,0.993,0.99,1.056,1.074,1.049,1.127,1.153,1.176,1.149,1.179,1.211,1.155,1.197,1.298,1.303,1.31,1.398,2.698,2.685,2.625,2.661,2.822,3.007,3.062,3.172,3.383,3.491,3.771,3.85,3.823,3.75,3.726,3.879,4.249,4.377,4.424,4.694,4.975,5.069,5.015,5.038,4.883,5.219,5.261,5.15,5.773,5.916,6.093,6.377,6.702,6.926,6.881,6.882,6.248,6.436,6.5,6.483,6.62,6.798,7.219,8.127,7.567,7.524,8.115,8.842,10.789,11.545,11.712,11.799,12.677,13.151,13.209,13.378,13.48,13.657,14.058,14.771,15.506,16.032,16.963,16.783,17.298,17.442,18.027,18.04,19.29,19.415,19.357,20.743,17.97,18.441,18.755,18.702,18.521,19.396,19.973,20.481,21.454,22.036,21.981,22.877,23.599,23.949,24.772,24.943,25.954,26.51,26.54,27.519,27.37,27.866,29.115,29.926,30.271,31.904,32.434,33.063,36.156,37.394,38.162,38.491,40.504,41.257,42.205,43.531,44.471,46.16,46.514,46.566,48.312,46.97,48.674,51.258,51.369,51.029,52.163,55.888,57.625,58.256,57.81,63.385,60.224,62.328,64.503,67.348,76.543,77.926,77.994,81.525,86.595,88.46,91.73,92.336,96.184,98.516,101.063,104.295,98.538,99.946,99.798,101.719,101.579,103.992,106.321,108.255,106.392,110.958,113.958,113.352,110.944,111.012,112.058,114.621,115.436,116.019,116.655,117.528
"55","47","  Other","B910RA3",54.916,55.405,55.564,57.502,56.348,55.232,54.673,56.117,52.634,54.271,54.575,53.07,52.036,54.211,54.284,52.79,53.63,52.392,54.423,51.309,51.209,52.318,51.146,48.075,49.468,52.195,49.291,49.497,51.478,53.98,56.825,53.294,54.529,53.297,53.491,55.785,56.468,56.612,56.189,57.996,58.03,58.468,58.469,53.644,53.32,52.447,57.094,51.584,53.164,54.04,53.967,52.433,53.71,58.501,65.138,60.808,64.939,67.424,62.228,61.724,62.546,64.557,67.604,70.111,73.874,71.471,70.524,67.712,69.247,64.702,68.635,65.26,67.8,74.105,79.148,82.546,77.75,76.321,77.873,75.565,75.041,75.021,77.152,81.557,74.366,77.942,80.392,76.817,75.206,77.382,85.976,81.996,78.472,84.959,81.769,81.954,83.754,82.422,84.828,77.624,83.555,85.301,88.006,86.394,91.286,85.213,86.35,85.645,87.435,87.867,90.04,89.789,90.065,91.88,94.31,92.741,93.999,93.119,98.915,97.174,88.545,88.928,91.293,90.302,91.709,94.468,95.108,96.585,97.466,98.826,99.382,99.341,100.974,98.917,98.279,98.858,98.964,97.322,98.156,99.95,102.396,104.121,105.694,104.069,101.707,98.837,99.465,99.349,98.473,98.843,99.367,100.456,102.075,101.084,101.166,99.645,97.004,94.916,93.889,99.114,99.518,98.389,99.218,102.875,84.995,85.535,90.05,89.735,83.861,80.472,83.47,83.001,76.801,75.595,72.946,73.567,70.596,72.339,71.474,70.443
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RA3",6.872,8.094,8.155,8.261,8.356,8.704,8.648,8.622,8.489,8.563,8.882,8.15,9.122,9.051,9.502,9.971,10.937,11.607,11.948,12.418,13.019,13.915,13.325,13.884,13.272,13.265,13.093,13.388,13.234,13.346,13.608,13.581,13.315,13.697,13.514,13.123,13.514,14.961,15.091,16.245,16.646,16.394,16.715,18.328,19.539,19.325,18.349,18.723,18.406,19.153,17.928,17.718,16.493,16.587,15.904,14.643,14.976,15.372,15.41,16.561,16.515,16.941,17.428,18.168,18.319,18.919,18.496,18.875,18.984,19.837,19.566,20.573,20.679,21.786,22.847,24.846,26.422,27.728,27.968,29.731,30.448,31.844,32.38,32.917,35.038,35.253,35.537,35.404,35.99,37.691,38.818,39.254,40.146,39.989,41.403,42.298,42.032,42.612,42.706,45.009,45.599,47.167,49.632,50.842,52.658,54.023,56.361,57.723,58.833,60.361,61.792,65.193,68.438,72.375,75.047,74.818,75.515,73.442,73.923,77.191,76.775,77.588,80.268,83.169,85.513,88.906,91.709,90.644,88.968,84.057,78.408,75.711,75.05,78.143,78.979,76.628,76.116,76.823,78.32,83.066,85.134,86.921,87.989,88.825,91.165,94.371,95.916,100.178,103.678,105.015,105.177,108.878,110.59,112.987,116.398,119.055,120.74,125.042,124.448,112.231,97.569,94.827,99.984,107.62,110.657,116.314,118.31,121.816,123.824,126.692,128.729,130.062,133.58,133.694,133.614,132.759,132.533,137.102,136.412,139.206
"58","49","  Exports of nondurable goods","B339RA3",12.905,18.431,17.059,18.242,18.794,18.754,19.082,19.781,19.329,18.987,21.322,16.863,20.803,19.813,21.248,23.201,25.083,25.896,24.872,26.838,26.36,26.542,24.649,24.195,25.395,22.703,24.276,26.672,26.348,26.863,27.341,28.014,27.454,28.058,29.277,27.574,27.32,32.395,32.504,32.223,31.132,32.436,35.193,36.889,36.248,38.488,39.667,38.164,39.912,37.579,38.425,40.651,38.839,39.592,37.117,36.277,36.418,35.666,36.995,36.663,36.386,37.145,38.636,39.319,38.022,35.851,36.019,37.652,37.549,36.655,39.177,40.06,38.56,39.468,42.609,41.95,44.335,43.892,45.104,45.892,46.094,49.684,48.659,49.288,49.748,50.438,50.382,51.297,53.715,52.485,53.054,54.375,55.754,56.722,57.718,57.372,56.36,56.949,55.424,57.23,55.66,57.829,60.623,62.518,62.34,62.184,63.924,63.435,65.008,63.651,64.137,67.497,67.604,69.064,69.836,70.682,69.743,68.762,68.106,70.146,71.494,73.07,73.406,75.055,74.952,75.456,79.268,77.771,77.344,77.257,75.257,75.738,76.747,78.353,78.097,77.473,79.301,77.807,79.675,80.281,80.85,81.019,81.246,84.371,84.778,86.71,83.424,82.943,88.31,89.874,89.996,91.961,92.808,93.101,95.715,97.822,102.415,104.729,103.828,99.38,94.788,97.586,101.409,106.216,108.736,107.626,110.547,114.192,114.349,112.922,114.138,117.798,114.166,117.866,119.238,118.133,116.265,116.716,121.959,129.312
"59","50","  Exports of agricultural goods \2\","B181RA3",16.593,28.715,25.441,28.474,27.247,28.437,29.228,30.761,29.575,27.973,31.166,26.774,31.492,30.805,32.93,37.488,42.498,43.3,39.26,43.316,40.583,40.526,36.628,36.651,40.627,34.684,38.627,42.718,42.111,43.709,44.369,45.219,44.433,44.617,45.29,45.315,46.425,57.894,56.284,52.097,47.675,53.048,58.539,62.869,59.07,63.518,66.561,60.899,64.152,59.735,60.854,65.104,60.48,65.38,57.541,55.24,56.869,55.533,59.589,56.01,56.016,53.897,56.768,59.512,52.683,47.332,47.277,50.029,49.221,45.076,51.705,52.832,47.421,48.789,59.617,53.001,58.871,56.006,56.644,58.003,58.194,61.68,58.924,60.082,63.535,61.442,61.106,57.516,59.623,58.086,62.182,63.774,65.631,66.526,71.238,69.715,67.489,68.931,64.228,65.253,62.283,65.398,70.793,76.415,77.95,76.807,78.249,73.506,77.719,72.285,72.199,76.854,74.361,75.028,76.857,79.199,78.786,75.103,72.107,79.287,71.546,76.419,81.503,77.99,80.862,80.559,86.833,81.878,84.149,85.166,84.419,86.508,86.131,85.029,81.16,79.21,82.953,82.507,86.582,83.959,79.727,74.591,78.088,85.857,83.606,84.118,81.552,84.91,90.129,91.888,90.339,89.967,90.703,93.366,101.162,102.496,105.299,104.853,102.129,101.031,95.745,99.243,98.822,106.189,111.046,104.604,110.449,116.78,113.469,108.472,105.187,109.851,106.553,112.103,116.523,105.473,105.31,98.122,105.512,121.429
"60","51","  Exports of nonagricultural goods","B182RA3",10.135,12.268,12.138,12.391,12.681,12.967,12.709,12.764,12.641,12.737,13.462,11.584,13.5,13.024,13.75,14.538,15.667,16.519,16.931,17.568,18.326,19.288,18.372,18.866,18.112,17.809,17.736,18.263,18.03,18.192,18.519,18.564,18.023,18.656,18.604,17.653,17.99,20.014,20.433,21.815,22.164,21.781,22.53,24.06,25.192,25.353,24.306,24.71,24.506,24.928,23.572,23.614,22.156,21.773,20.716,19.367,19.532,19.554,19.275,20.297,19.919,20.439,20.64,21.194,21.235,21.52,21.214,21.756,21.873,22.619,22.607,23.588,23.635,24.678,25.667,27.515,29.018,30.125,30.607,32.119,32.728,34.588,34.922,35.437,36.99,37.501,37.731,38.126,39.121,40.215,40.975,41.576,42.533,42.617,43.681,44.394,44.059,44.579,44.557,46.8,47.034,48.647,50.977,52.063,53.287,54.357,56.554,57.815,58.794,59.987,61.232,64.484,67.164,70.535,72.629,72.543,72.788,71.219,71.608,74.146,74.867,75.607,77.332,80.281,81.767,84.451,87.319,86.4,84.864,81.152,76.378,74.376,74.232,77.135,77.97,76.19,76.148,76.191,77.586,81.468,83.523,85.331,85.859,86.946,88.968,91.928,92.008,94.53,98.565,99.941,100.229,103.608,105.088,106.627,109.284,111.818,114.594,118.542,118.054,108.042,96.601,95.475,100.705,107.22,109.857,113.908,115.894,119.144,120.935,122.745,125.027,127.052,128.054,129.195,129.238,129.559,128.554,132.696,133.753,137.045
"61","52","  Imports of durable goods","B333RA3",5.518,7.009,6.877,6.629,6.56,6.755,6.628,6.806,6.936,7.598,7.608,7.311,8.447,8.233,8.326,8.871,9.376,8.971,8.886,8.834,8.933,9.238,9.248,8.786,7.744,6.853,7.311,7.68,8.534,8.905,9.255,9.553,9.661,10.242,10.295,10.821,11.563,11.893,11.851,12.1,11.764,12.124,12.147,12.462,12.867,12.196,11.592,12.22,12.422,13.248,13.38,13.897,13.636,13.673,13.56,12.676,14.441,15.169,16.436,18.493,20.045,21.156,22.071,22.603,22.76,23.515,23.753,24.442,24.601,26.049,26.194,26.391,26.041,26.754,27.059,27.938,27.619,27.415,28.09,29.167,29.159,29.597,29.006,29.512,29.646,30.336,30.36,30.021,29.222,29.465,30.87,31.467,32.205,33.144,33.757,34.599,35.949,36.816,37.471,39.325,40.464,42.799,44.329,46.667,47.643,48.567,48.559,49.478,51.33,52.889,54.84,55.985,59.22,61.74,64.021,65.545,68.385,70.108,70.7,74.349,76.059,79.625,82.954,85.681,89.578,92.553,95.64,95.718,92.248,87.558,85.662,84.626,87.466,91.422,92.833,93.195,92.205,94.085,94.31,99.955,102.29,107.788,110.305,113.219,114.402,116.624,117.796,121.564,126.612,127.557,128.334,129.81,131.122,131.269,132.594,130.366,131.9,131.521,127.274,114.609,97.123,93.299,100.468,109.11,112.92,121.422,127.041,129.761,131.243,131.029,134.696,138.065,141.99,143.84,143.559,144.173,143.838,148.274,150.275,151.544
"62","53","  Imports of nondurable goods","B340RA3",18.239,23.004,22.486,22.23,22.607,22.193,22.578,23.248,22.422,24.617,26.606,22.597,27.19,25.091,27.306,27.901,29.166,29.169,28.472,29.134,26.031,28.088,27.123,27.457,24.31,22.893,26.03,27.616,28.706,30.299,31.761,32.983,35.917,34.778,33.864,33.266,35.594,34.895,35.843,35.987,36.877,36.24,34.999,35.85,34.996,31.418,27.956,29.582,31.478,29.866,29.062,29.829,28.158,26.478,29.911,28.68,26.551,29.815,32.441,31.777,33.677,34.421,34.131,35.1,32.162,35.298,34.47,37.053,35.948,38.461,40.395,40.583,39.746,40.028,41.871,41.557,42.051,41.437,42.482,43.478,43.894,43.228,44.031,45.181,48.405,46.144,45.195,42.535,43.723,45.084,46.262,47.753,47.68,48.486,49.626,50.986,51.301,52.331,52.511,53.888,54.769,55.738,57.547,57.573,58.482,58.619,59.027,58.762,60.64,61.539,63.255,65.187,66.203,68.114,70.496,71.879,73.589,75.055,76.445,76.879,80.458,81.111,83.781,84.35,86.735,88.457,91.712,92.559,94.036,92.522,91.262,91.219,90.481,93.874,96.007,99.135,97.842,101.328,101.581,101.335,104.966,107.089,107.13,109.507,111.291,110.85,109.82,113.402,111.497,113.723,115.737,111.833,114.972,115.567,113.631,112.301,112.117,110.381,108.507,109.274,104.255,97.653,98.423,99.668,103.075,106.215,108.287,106.294,107.435,107.281,105.752,106.305,103.016,102.679,103.181,100.37,100.556,100.611,100.115,99.395
"63","54","  Imports of nonpetroleum goods","B187RA3",7.12,9.126,8.94,8.648,8.638,8.738,8.741,8.937,8.972,9.773,10.063,9.021,10.773,10.231,10.608,11.092,11.564,11.072,10.858,10.836,10.926,11.029,10.823,10.409,9.11,8.287,9.116,9.668,10.573,10.985,11.407,11.681,11.683,12.258,12.158,12.606,13.676,14.054,13.938,14.216,13.973,14.36,14.077,14.541,14.678,14.011,13.236,14.013,14.547,15.196,15.296,16.026,15.457,15.782,15.944,15.163,16.761,17.567,18.7,20.657,22.432,23.466,24.24,24.841,24.979,25.78,25.89,26.69,26.901,28.117,28.337,28.78,28.632,29.218,29.359,30.145,30.037,29.613,30.371,31.301,31.179,31.622,31.304,31.954,32.27,32.716,32.712,32.327,31.531,31.988,33.145,34.09,34.685,35.732,36.339,37.046,38.162,39.151,39.748,41.2,42.342,44.425,45.806,47.773,48.795,49.702,49.593,50.168,51.973,53.301,55.191,56.531,59.199,61.735,64.091,65.432,67.948,69.627,70.396,73.083,75.018,77.924,81.163,83.66,86.761,89.653,92.898,92.975,90.562,87.182,85.785,84.696,86.834,90.695,92.523,93.401,92.672,94.427,94.566,98.856,101.065,106.157,107.804,110.083,112.063,113.508,113.814,117.318,121.12,122.646,122.966,124.167,126.412,126.518,126.881,124.434,125.874,125.556,122.073,111.781,98.258,94.427,100.105,107.21,110.914,117.221,121.91,124.179,124.599,125.577,127.439,129.898,131.85,133.239,133.814,133.175,133.906,137.113,138.312,139.238
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
