"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"56","48","  Alcoholic beverages","PS5183",38.186,38.388,38.59,38.792,38.994,38.994,39.197,39.23,39.23,39.466,39.803,39.972,40.073,40.68,41.118,41.623,42.196,42.567,42.769,42.668,42.769,42.87,42.87,43.106,43.342,43.645,43.814,44.32,45.229,45.971,47.892,49.409,50.892,52.408,53.183,53.689,53.723,53.857,53.925,54.026,54.2,54.623,55.103,55.611,56.797,57.164,58.18,59.987,60.918,62.584,63.656,65.209,66.507,67.524,69.415,70.347,71.645,72.944,73.621,74.327,74.891,75.484,76.134,76.557,77.247,78.432,78.971,79.24,79.275,79.803,79.904,79.833,79.695,79.939,80.739,81.69,82.022,82.377,82.587,82.534,82.91,83.541,83.375,83.838,84.132,84.013,84.973,85.528,85.738,87.355,88.095,87.823,88.637,89.119,89.399,89.798,93.137,93.024,93.533,93.798,94.604,95.138,95.818,95.67,95.086,95.071,95.106,95.296,94.593,93.541,93.901,94.414,94.676,96.183,96.867,97.349,98.01,99.091,100.018,102.88
"57","49","  Other nondurable goods","PS5193",27.652,27.835,28.08,28.172,28.447,28.539,28.722,28.967,28.936,29.181,29.762,29.915,30.007,30.343,30.955,31.078,31.322,31.567,31.842,31.842,32.087,32.332,32.913,32.729,33.402,34.748,35.88,35.696,37.103,39.948,40.223,41.019,43.221,43.649,43.863,43.435,43.894,43.405,43.068,43.405,45.885,46.671,44.265,44.906,44.888,46.818,48.305,49.331,50.891,53.112,56.324,58.397,62.358,62.806,65.87,67.58,68.762,69.054,69.073,69.257,69.689,69.965,69.202,70.731,70.564,71.048,71.89,72.856,72.925,73.267,72.716,72.426,72.14,71.894,72.213,72.913,71.663,68.566,68.454,68.796,70.628,71.75,73.371,74.047,74.988,76.192,78.883,79.551,81.215,81.771,82.704,83.262,84.105,85.025,86.004,87.139,88.026,89.072,90.42,91.272,92.368,94.139,93.605,93.794,95.323,95.871,92.036,91.41,92.465,92.795,92.864,93.472,94.487,95.769,96.92,98.148,99.137,100.649,100.955,99.26
"58","50","Retail trade","PS5R3",30.249,30.36,30.674,30.93,31.255,31.508,31.795,32.16,32.467,32.808,33.078,33.437,33.851,34.152,34.383,34.815,35.122,35.422,35.604,35.695,35.842,36.021,36.343,36.619,37.209,38.078,38.755,39.665,40.986,42.225,43.337,44.457,45.008,45.534,46.496,47.116,47.47,47.824,48.443,49.085,49.737,50.467,50.941,51.579,52.269,53.354,54.375,55.415,56.705,58.426,59.953,61.232,63.247,64.761,66.15,67.601,69.249,70.313,71.272,72.055,72.771,73.168,74.012,74.271,74.018,74.804,75.447,75.929,76.557,76.971,77.359,77.827,78.472,78.931,79.104,79.701,79.609,78.482,78.804,79.157,80.513,81.318,82.143,82.707,82.992,83.725,84.529,85.128,85.979,87.351,87.433,87.913,89.316,89.769,90.838,92.306,92.433,92.748,93.119,93.485,93.833,94.395,94.891,95.353,95.855,96.216,96.249,96.89,96.918,97.19,97.998,98.33,98.691,98.963,99,99.056,99.617,100.009,99.953,100.409
"59","51","Retail less motor vehicle","PS5RX3",30.25,30.342,30.614,30.832,31.194,31.496,31.814,32.214,32.561,32.924,33.253,33.622,33.983,34.292,34.467,34.781,34.969,35.299,35.646,35.879,36.074,36.232,36.588,37.033,37.693,38.691,39.519,40.672,42.318,43.611,44.54,45.575,46.131,46.594,47.636,48.224,48.476,48.705,49.253,49.767,50.437,51.265,51.81,52.427,53.2,54.343,55.315,56.399,57.798,59.535,61.321,62.867,65.047,66.675,68.1,69.528,71.649,72.583,73.41,74.069,74.844,75.134,75.994,76.269,75.85,76.719,77.306,77.586,78.22,78.502,78.825,79.302,79.932,80.458,80.645,81.27,81.043,79.542,79.841,80.16,81.762,82.469,83.276,83.852,84.234,85.019,85.832,86.441,87.302,88.991,89.193,89.668,91.313,91.943,93.259,95.004,94.905,95.153,95.487,95.867,96.246,96.655,97.013,97.347,97.834,97.953,97.643,98.184,98.189,98.297,98.908,98.914,98.906,99.026,99.094,99.037,99.518,100.044,99.926,100.493
"60","52"," Durable goods","PS5RD3",33.499,33.678,34.134,34.514,34.763,34.961,35.244,35.644,36.015,36.171,36.135,36.443,37.025,37.259,37.658,38.411,39.114,39.371,39.254,38.955,38.899,39.115,39.42,39.29,39.681,40.252,40.452,40.736,41.012,42.131,43.729,45.004,45.64,46.496,47.129,47.847,48.746,49.46,50.31,51.343,51.985,52.469,52.829,53.472,54.17,55.029,56.124,57.191,58.063,59.472,60.252,60.971,62.52,63.897,65.309,66.755,67.874,69.323,70.684,71.822,72.672,73.484,74.106,74.328,74.757,75.108,75.707,76.601,76.859,77.455,77.939,78.358,79.058,79.152,79.193,79.606,79.903,79.689,80.185,80.72,81.387,82.277,83.157,83.739,83.966,84.556,85.148,85.674,86.416,86.788,86.926,87.404,87.941,88.069,88.182,88.399,89.142,89.769,90.282,90.451,91.097,91.98,92.418,93.103,94.053,95.16,95.632,96.513,96.871,97.292,98.141,98.827,99.775,100.092,99.939,99.926,100.197,99.958,99.961,99.893
"61","53","  Automotives","PS553",30.347,30.545,31.031,31.462,31.616,31.669,31.814,32.047,32.179,32.436,32.46,32.772,33.434,33.707,34.181,35.177,35.99,36.135,35.608,35.107,35.085,35.346,35.53,35.161,35.471,35.869,35.997,36.017,36.112,37.148,38.98,40.431,40.975,41.773,42.426,43.176,43.951,44.768,45.675,46.798,47.373,47.743,47.955,48.663,49.078,49.958,51.148,52.049,52.95,54.602,55.188,55.466,56.856,57.903,59.16,60.763,61.858,63.529,65.112,66.455,66.866,67.754,68.455,68.629,69.049,69.394,70.199,71.426,71.903,72.778,73.357,73.77,74.46,74.665,74.772,75.216,75.62,75.836,76.205,76.627,77.115,78.239,79.118,79.641,79.613,80.133,80.876,81.425,82.242,82.486,82.183,82.673,83.156,82.97,83.123,83.557,84.497,85.012,85.544,85.862,86.107,87.165,88.138,89.005,89.518,90.657,91.833,92.758,92.893,93.696,95.099,96.468,98.041,98.823,98.752,99.171,99.96,99.904,100.022,100.111
"62","54","   Motor vehicle dealers","PS55X3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.883,61.586,63.19,64.545,65.004,65.888,66.677,66.873,67.338,67.778,68.685,69.986,70.619,71.537,72.18,72.618,73.317,73.539,73.632,74.11,74.497,74.759,75.154,75.621,76.071,77.274,78.173,78.681,78.621,79.161,79.941,80.503,81.319,81.544,81.197,81.698,82.21,82.008,82.143,82.557,83.548,84.123,84.635,84.951,85.198,86.336,87.375,88.314,88.859,90.109,91.396,92.389,92.508,93.352,94.856,96.313,97.955,98.768,98.691,99.126,99.953,99.891,100.037,100.118
"63","55","   Auto & home supply stores","PS5533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.559,89.929,91.352,92.599,92.459,93.382,93.111,93.02,92.905,92.12,91.665,91.998,90.461,90.764,90.483,90.586,91.182,91.153,91.469,91.437,92.04,91.634,91.609,91.332,92.393,92.451,93.042,93.796,94.186,94.461,94.699,95.075,95.905,96.4,96.717,97.084,97.197,97.2,97.566,98.276,98.554,98.284,99.085,99.449,99.704,99.652,99.682,99.517,99.538,99.026,98.558,98.437,98.845,99.023,98.864,98.895,99.391,99.683,99.721,99.88,100.076,100.118,99.785,99.989
"64","56","  Lumber & building stores","PS523",25.933,26.041,26.511,26.736,27.114,27.638,28.181,29.014,30.124,29.583,28.961,29.21,29.738,29.843,30.101,30.456,30.964,31.395,32.189,32.187,31.822,31.917,32.717,33.037,33.813,35.009,35.178,36.12,36.389,37.349,37.899,38.156,38.625,39.772,40.337,41.05,42.479,42.944,43.899,45.073,45.85,46.672,47.185,47.695,48.418,48.937,49.653,50.991,51.751,52.684,53.75,54.943,56.209,57.765,59.373,60.441,61.463,62.595,63.451,63.967,65.179,65.951,66.438,66.491,66.788,67.173,67.337,67.659,67.658,67.423,67.984,68.595,69.887,69.582,69.6,70.117,70.487,68.612,69.447,70.779,71.706,72.433,73.85,74.832,75.701,76.231,76.561,76.74,77.964,79.304,80.384,80.917,81.348,82.227,82.072,81.595,81.934,83.672,84.531,84.287,87.137,88.792,88.398,89.519,94.515,97.404,95.898,97.882,99.664,98.756,98.671,99.339,99.838,99.959,99.882,99.273,98.761,99.457,100.486,101.219
"65","57","  Furniture & furnishings","PS573",60.06,60.01,60.311,60.637,61.248,61.662,62.028,62.475,62.971,63.483,63.96,64.27,64.605,64.913,65.055,65.446,65.785,66.091,66.48,66.535,66.679,66.848,66.935,67.178,67.386,67.851,68.441,69.075,70.117,71.843,73.965,75.885,76.936,77.89,78.515,79.316,80.195,80.759,81.228,81.767,82.425,82.982,83.732,84.222,86.833,87.981,89.198,90.866,91.554,92.399,93.275,94.711,96.543,98.1,99.7,100.898,102.415,103.721,105.294,106.337,109.509,110.345,110.754,111.15,111.657,111.837,111.872,112.168,111.761,111.921,111.895,112.138,112.299,111.936,111.377,111.529,111.119,110.74,111.123,111.166,112.063,112.084,112.002,112.18,112.258,113.03,113.076,113.54,113.243,112.843,113.263,113.31,113.442,113.264,113.039,112.948,113.103,112.806,112.232,111.5,111.913,111.642,110.856,110.467,109.567,109.379,109.065,109.068,109.104,109.328,109.184,107.595,107.148,106.236,104.943,103.318,102.216,100.461,99.503,97.984
"66","58","  Other durable goods","PS59X3",37.082,37.406,37.619,37.892,38.157,38.476,39.024,39.59,39.961,40.408,40.691,41.01,41.311,41.41,41.698,42.01,42.441,42.854,43.118,43.344,43.556,43.703,43.964,44.282,44.511,44.999,45.338,45.801,46.484,47.645,48.862,50.071,51.034,51.596,52.117,52.478,53.154,53.658,54.131,54.598,55.243,55.699,56.342,56.761,57.514,58.397,59.237,60.16,61.039,61.992,63.209,64.881,67.329,69.787,71.375,72.716,73.712,74.55,75.298,76.297,76.89,77.294,77.832,78.354,78.906,79.316,79.875,80.207,80.184,80.754,80.98,81.265,81.514,81.945,82.12,82.367,82.527,82.615,83.324,83.727,84.687,85.273,86.147,86.784,87.594,88.438,89.04,89.928,90.477,90.893,91.8,92.478,93.712,94.644,95.165,95.43,96.204,96.822,97.789,98.545,98.673,98.849,98.877,99.165,99.212,99.402,99.465,99.743,99.949,100.21,100.459,100.2,100.109,99.743,100.238,100.522,100.696,100.209,99.62,99.533
"67","59"," Nondurable goods","PS5RN3",28.652,28.735,28.991,29.195,29.547,29.819,30.104,30.452,30.729,31.144,31.536,31.912,32.257,32.58,32.74,33.043,33.189,33.501,33.802,34.058,34.298,34.459,34.785,35.244,35.921,36.932,37.838,39.047,40.865,42.158,43.037,44.082,44.59,44.971,46.078,46.653,46.757,46.938,47.448,47.903,48.552,49.401,49.929,50.564,51.254,52.451,53.433,54.456,55.959,57.836,59.739,61.296,63.531,65.105,66.48,67.932,69.831,70.715,71.486,72.105,72.758,72.965,73.907,74.18,73.605,74.603,75.267,75.541,76.364,76.68,77.015,77.509,78.124,78.787,79.031,79.728,79.41,77.767,77.985,78.228,79.99,80.748,81.542,82.096,82.412,83.23,84.162,84.805,85.726,87.697,87.744,88.226,90.145,90.792,92.42,94.62,94.388,94.523,94.813,95.291,95.47,95.846,96.376,96.704,96.937,96.85,96.615,97.105,96.926,97.101,97.884,97.984,97.964,98.207,98.368,98.469,99.221,100.044,99.948,100.762
"68","60","  Food stores","PS543",24.759,24.628,24.859,24.989,25.324,25.476,25.685,26.018,26.173,26.562,27.023,27.459,27.901,28.103,28.132,28.289,28.205,28.772,29.003,29.289,29.761,29.912,30.379,30.947,32.217,33.778,35.442,36.704,38.563,39.435,39.891,41.483,41.832,41.935,43.382,43.976,43.556,43.392,43.577,43.675,44.306,45.48,45.878,46.455,47.32,49.258,50.388,51.191,53.061,54.222,55.089,56.096,57.161,58.57,60.695,62.675,63.612,64.082,65.042,65.41,66.161,66.903,67.377,67.518,67.271,68.185,68.595,69.011,70.398,70.635,71.32,71.615,72.246,72.409,72.574,73.232,73.763,73.851,74.887,75.439,76.387,77.005,77.439,77.791,78.305,79.014,80.424,81.163,82.334,83.953,84.747,85.38,87.129,87.621,89.023,89.929,91.161,91.962,91.82,91.918,92.336,92.638,93.223,93.429,93.711,94.126,93.971,94.487,94.523,94.801,95.673,95.896,96.336,97.036,97.444,97.957,98.684,99.636,100.455,101.233
"69","61","  Apparel stores","PS563",48.446,48.944,49.459,49.995,50.696,51.643,52.473,53.239,53.97,54.689,55.435,56.111,56.604,57.032,57.549,58.268,58.656,59.112,59.382,59.663,60.053,60.381,60.424,61.165,61.641,62.607,63.024,63.629,64.764,66.291,67.825,68.729,68.804,68.894,69.426,69.775,70.34,71.071,72.017,72.624,73.388,73.597,74.666,75.029,75.242,76.305,76.681,77.281,77.779,78.667,79.347,80.054,81.418,81.836,82.651,83.804,84.323,85.055,85.782,86.212,86.85,87.37,87.492,87.517,87.777,88.572,89.465,89.586,89.578,89.36,90.145,91.158,91.865,92.673,92.78,93.374,92.389,91.557,92.714,93.17,94.635,95.663,96.017,97.179,97.152,98.934,98.95,100.395,100.194,100.629,99.609,100.773,102.058,103.648,103.9,104.025,104.462,104.842,105.813,106.578,106.281,106.101,106.325,106.569,106.492,105.844,105.841,105.727,104.62,105.049,104.331,103.185,102.078,101.614,101.281,101.174,100.964,100.442,99.073,99.576
"70","62","  Department stores","PS5313",42.308,42.505,42.902,43.206,43.765,44.374,44.901,45.43,45.86,46.412,46.907,47.307,47.677,47.923,48.232,48.731,49.041,49.346,49.622,49.831,50.022,50.272,50.418,50.822,51.196,51.84,52.205,52.828,53.876,55.382,57.012,58.282,58.902,59.398,59.95,60.478,61.151,61.771,62.416,62.972,63.661,64.177,65.022,65.564,66.388,67.368,68.124,69.025,69.833,70.734,71.58,72.712,74.316,75.534,76.778,78.002,78.953,79.994,81.068,81.882,82.721,83.537,84.034,84.47,85.099,85.774,86.433,86.663,86.764,86.803,87.312,87.905,88.499,88.957,89.074,89.563,89.297,88.833,89.714,90.061,91.177,91.802,92.184,92.839,93.206,94.449,94.747,95.7,95.85,96.228,96.011,96.664,97.854,98.941,99.183,99.351,99.971,100.451,101,101.446,101.586,101.682,101.804,101.841,101.787,101.69,101.737,102.02,101.519,101.825,101.763,101.26,100.809,100.484,100.533,100.407,100.399,100.202,99.667,99.757
"71","63","  Other general mdse stores","PS53X3",40.703,40.901,41.203,41.476,41.953,42.439,42.928,43.403,43.781,44.198,44.607,44.953,45.286,45.448,45.692,46.089,46.359,46.642,46.943,47.145,47.309,47.537,47.776,48.115,48.409,48.951,49.302,49.972,50.935,52.51,54.19,55.539,56.377,56.866,57.447,58.025,58.748,59.303,59.827,60.369,60.973,61.516,62.232,62.761,64.215,65.143,65.969,66.926,67.802,68.716,69.653,70.952,72.781,74.411,75.747,76.955,77.9,78.95,79.976,80.816,82.518,83.221,83.888,84.296,84.395,84.971,85.494,85.735,85.975,86.185,86.493,86.821,87.22,87.541,87.572,87.901,87.731,87.349,88.021,88.31,89.475,89.949,90.413,90.903,91.234,91.899,92.243,92.808,92.971,93.263,93.508,93.744,94.762,95.262,95.658,95.841,96.656,97.029,97.232,97.424,97.676,97.889,98.211,98.301,98.328,98.568,98.393,98.745,98.699,98.925,99.196,99.028,99.096,99.24,99.538,99.652,99.888,99.962,100.027,100.13
"72","64","  Other nondurable goods","PS5Y3",24.194,24.386,24.582,24.775,25.023,25.217,25.42,25.661,25.937,26.287,26.531,26.795,27.012,27.438,27.627,27.945,28.21,28.265,28.62,28.847,28.883,28.997,29.266,29.602,29.891,30.549,31.051,32.42,34.468,35.941,36.797,37.3,37.916,38.508,39.544,40.122,40.397,40.651,41.313,41.993,42.611,43.341,43.801,44.522,45.019,45.684,46.672,47.937,49.455,52.286,55.476,57.68,61.121,63.023,63.849,64.954,68.115,69.291,69.793,70.564,70.996,70.486,72.072,72.435,71.082,72.28,73.114,73.303,74.034,74.585,74.503,75.048,75.645,76.783,77.168,78.004,77.086,73.46,72.64,72.572,75.233,76.119,77.407,77.989,78.181,78.801,79.752,80.095,81.314,84.43,84.165,84.385,86.836,87.314,89.873,94.186,92.4,91.869,92.289,93.037,93.119,93.754,94.455,95.012,95.39,95.015,94.58,95.243,95.185,95.194,96.546,97.04,97.054,97.351,97.462,97.419,98.719,100.183,99.897,101.159
