"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"40","32","    Civilian aircraft, engines, and parts","B932RG3",17.163,17.341,17.551,17.858,18.027,18.364,18.593,18.848,19.029,19.237,19.291,19.417,19.467,19.438,19.602,19.93,20.084,20.227,20.544,20.893,21.675,22.55,23.186,23.563,23.723,23.837,24.256,24.879,25.854,26.803,27.623,28.448,29.039,29.573,30.163,30.694,31.16,31.623,32.407,33.284,34.25,35.251,36.33,37.457,38.506,39.691,40.785,41.791,42.516,43.375,44.324,45.498,46.865,47.712,48.398,49.25,49.909,50.38,50.769,51.18,51.483,51.72,51.959,52.315,52.726,52.997,53.24,53.561,53.449,53.89,54.101,54.593,52.116,52.698,52.98,53.207,53.525,54.507,54.887,55.415,56.187,56.977,57.473,57.79,58.431,59.88,60.527,61.067,64.318,66.891,67.657,67.714,67.603,67.961,68.616,68.925,69.531,70.258,70.494,70.883,71.916,72.308,72.524,72.831,73.535,74.048,74.283,74.839,76.126,77.191,78.06,78.346,79.731,80.017,80.644,80.997,81.424,81.606,81.505,82.33,82.95,82.998,83.125,83.636,84.401,85.314,86.415,87.333,87.928,88.979,89.736,90.091,90.26,90.534,91.559,91.786,92.027,92.687,93.904,94.475,94.865,95.689,97.099,98.077,98.915,99.528,100.497,101.06,102.465,103.611,104.331,105.272,106.877,107.467,110.641,112.07,112.895,115.46,116.781,118.66,120.366,121.882,123.183,123.99,124.822,125.063,126.029,126.599,127.884,130.079
"41","33","    Computers, peripherals, and parts","B852RG3",9530.624,8980.482,8639.237,8799.772,8346.914,7801.124,7801.884,7454.784,7139.486,6870.399,6461.453,6225.797,5910.456,5958.12,5633.667,5592.985,5572.775,5390.771,5072.71,4804.392,4454.542,4182.801,3942.631,3818.326,3829.31,3794.569,3744.135,3622.769,3479.474,3297.989,3171.2,3071.733,2986.824,2870.474,2759.221,2641.881,2525.202,2421.409,2344.572,2226.475,2182.878,2120.459,2032.627,1912.591,1797.946,1684.087,1590.646,1526.017,1532.181,1524.705,1521.302,1499.429,1473.515,1411.168,1377.113,1350.699,1261.546,1193.738,1133.078,1086.523,1029.361,972.272,933.218,905.344,897.059,880.271,844.637,794.098,745.186,726.918,715.124,700.624,656.585,617.067,579.628,578.031,585.526,582.242,568.588,560.004,546.136,537.319,527.086,515.808,509.799,507.443,506.073,496.389,475.551,456.912,433.409,418.291,409.167,397.246,385.939,377.199,371.448,357.837,347.92,336.097,331.714,327.118,318.293,311.211,305.575,298.65,293.334,282.984,271.075,255.679,246.504,240.222,231.899,223.669,215.556,204.723,193.528,183.231,178.202,171.119,166.994,159.24,153.774,152.955,152.428,149.42,148.671,145.405,142.921,137.67,132.201,127.235,126.302,125.881,123.988,121.127,119.08,117.198,115.185,112.97,112.45,109.935,107.098,104.947,103.155,101.699,98.648,96.498,94.985,93.172,91.972,91.268,88.954,87.407,87.429,86.723,84.447,83.796,81.977,80.474,78.764,77.996,78.03,77.342,76.926,76.813,76.528,75.882,74.343,73.915
"42","34","    Other","B853RG3",65.84,65.785,65.68,65.511,66.814,69.19,80.551,81.342,87.81,82.45,83.581,79.545,84.09,86.914,94.21,96.359,98.925,107.876,104.161,105.934,107.498,116.021,122.722,126.396,118.9,135.912,132.839,132.002,128.805,131.419,132.156,126.54,133.283,134.76,149.031,141.775,140.132,155.514,157.577,151.4,157.408,159.827,155.211,161.95,168.716,175.851,176.826,179.897,180.851,175.011,168.986,170.658,168.037,166.195,161.069,157.127,157.493,155.305,151.942,150.9,149.928,146.549,141.724,136.422,128.342,126.654,127.688,129.855,133.832,136.84,140.324,140.979,146.381,150.541,149.288,155.59,160.127,162.967,158.213,160.763,160.569,158.727,155.306,151.558,149.56,147.88,148.225,150.049,150.936,146.151,141.946,142.547,143.291,140.917,143.071,142.421,140.095,141.059,142.67,142.826,142.004,142.586,143.46,143.59,143.274,145.051,142.128,137.709,132.981,126.62,120.474,113.997,110.319,109.096,108.407,107.084,105.337,104.553,103.147,103.807,103.978,103.044,102.193,101.947,101.54,101.735,101.181,100.709,100.517,100.067,99.772,99.548,98.182,97.801,97.81,97.47,97.741,98.122,98.477,98.214,98.265,98.079,98.361,98.778,99.58,100.284,100.097,100.039,100.35,100.789,101.45,101.761,102.155,102.123,101.967,101.654,102.337,104.076,104.96,104.122,103.002,102.299,102.147,102.266,102.032,101.759,101.736,102.12,103.017,103.602
"43","35","  Automotive vehicles, engines, and parts","B651RG3",15.207,15.285,15.21,16.814,16.812,16.658,17.497,17.727,18.491,18.645,18.494,19.26,19.95,20.256,20.636,21.398,21.774,23.9,24.335,24.914,23.429,24.936,26.924,28.414,31.168,31.529,31.936,32.464,32.421,32.778,33.764,34.232,35.103,35.195,36.882,37.867,40.212,42.482,44.457,46.208,48.812,47.442,46.45,47.97,49.185,48.267,51.854,54.92,56.764,57.365,56.934,60.376,60.287,60.063,59.146,59.791,60.962,61.215,60.987,62.202,62.076,62.941,62.655,63.089,63.232,63.618,63.911,66.233,68.933,70.756,72.082,73.742,74.771,75.91,75.913,77.004,78.757,80.135,80.351,82.317,82.247,81.649,81.128,82.874,82.471,81.682,82.255,84.047,85.312,85.687,85.495,86.876,87.071,86.823,87.552,88.088,87.432,88.41,88.893,90.172,90.597,91.106,91.659,93.019,93.121,94.321,94.7,95.054,94.907,94.792,94.962,94.958,94.944,94.786,95.164,95.5,95.494,95.288,94.88,95.23,95.585,95.839,95.989,96.099,96.251,96.574,96.68,96.691,96.642,96.378,96.272,96.621,96.522,96.626,96.825,97.099,97.031,97.179,97.178,97.787,98.282,98.668,99.109,99.726,99.824,99.934,100.062,100.179,99.945,100.225,100.601,100.764,100.879,101.027,101.316,102.35,103.38,103.887,104.228,104.382,104.425,104.353,104.938,105.373,105.025,105.169,105.618,106.078,106.557,107.794
"44","36","  Consumer goods, except automotive","B652RG3",25.357,25.695,26.807,26.968,27.223,27.568,27.619,28.862,29.302,29.417,30.25,30.832,31.786,33.083,32.382,32.863,33.452,36.242,38.071,39.446,41.793,43.934,47.41,49.315,53.925,54.012,53.379,54.858,54.525,54.047,54.755,54.356,54.326,56.917,57.503,60.167,61.255,62.077,62.324,65.446,64.91,66.604,66.606,67.127,69.51,70.609,74.519,73.95,73.759,73.598,73.074,74.703,73.8,73.794,72.706,71.623,71.921,72.489,72.431,72.191,72.938,74.441,74.004,74.506,72.718,73.04,73.586,74.988,77.133,78.728,80.832,81.07,83.606,85.628,86.503,88.809,90.95,92.5,91.732,93.397,94.25,94.47,94.421,95.371,96.494,97.568,97.607,98.639,98.966,97.896,97.732,98.947,100.452,100.542,101.844,102.499,101.449,102.191,102.465,102.652,102.511,102.71,103.097,103.386,103.683,104.588,104.799,104.759,105.09,104.909,104.707,104.453,103.94,103.631,103.371,103.096,102.681,102.131,101.684,101.853,101.844,101.255,101.154,101.231,100.916,100.76,100.616,100.309,100.31,100.017,99.793,99.336,99.053,98.733,98.792,98.629,98.54,98.584,98.577,98.603,99.127,99.159,98.927,99.204,100.103,100.113,99.949,99.836,100.06,100.066,100.568,100.833,101.329,101.372,101.906,102.317,103.262,104.6,104.884,104.362,103.958,103.836,103.778,103.942,104.091,104.175,103.751,103.449,104.236,105.103
"45","37","    Durable goods","B697RG3",31.331,33.009,33.934,33.55,33.532,33.52,34.44,35.55,36.016,35.738,36.487,37.42,39.561,40.39,40.463,41.446,40.374,43.579,45.97,47.554,49.531,51.325,54.785,58.058,59.107,59.955,57.73,60.223,61.219,61.95,62.97,60.291,60.687,64.417,63.591,67.489,69.617,68.964,71.378,73.325,74.457,75.944,75.29,75.927,76.82,76.899,79.952,82.001,80.921,80.115,79.288,81.712,80.308,80.12,78.718,77.028,78.03,79.22,78.752,77.551,78.207,80.077,78.906,79.042,77.479,77.531,78.004,79.995,82.885,85.149,87.867,88.256,90.56,92.017,92.561,94.863,97.12,99.3,97.901,100.14,101.202,100.657,100.36,101.59,103.449,104.077,103.643,105.225,106.207,104.856,104.628,105.969,107.323,107.41,108.481,108.73,108.508,109.062,109.582,109.769,109.869,109.82,109.974,110.081,110.579,111.412,111.759,111.46,111.799,111.404,111.085,110.768,109.927,108.99,108.522,107.872,107.022,106.105,105.227,105.346,105.265,104.583,104.377,104.334,103.92,104.008,103.769,103.419,103.406,102.879,102.451,101.691,101.321,101.025,100.754,100.352,100.168,100.103,100.038,99.89,99.711,99.99,99.58,99.896,100.361,100.192,99.765,99.682,100.031,100.325,100.906,101.275,101.39,101.371,101.805,102.214,102.626,104.246,104.509,103.714,102.42,102.653,102.817,103.032,102.552,102.245,100.92,100.337,101.244,102.239
"46","38","    Nondurable goods","B698RG3",18.665,17.779,18.974,19.617,20.11,20.758,20.043,21.321,21.714,22.186,23.058,23.29,23.045,24.791,23.349,23.34,25.561,27.867,29.064,30.188,32.917,35.49,39.021,39.283,48.173,47.306,48.421,48.727,47.017,45.404,45.798,47.718,47.259,48.55,50.871,52.066,51.896,54.524,52.127,56.685,54.222,56.135,56.902,57.268,61.524,63.971,69.152,65.122,66.073,66.755,66.617,67.256,66.979,67.206,66.478,66.098,65.562,65.423,65.827,66.699,67.557,68.661,69.054,70.008,67.923,68.587,69.224,69.936,71.229,72.054,73.471,73.561,76.39,79.027,80.262,82.582,84.596,85.489,85.371,86.424,87.049,88.107,88.321,88.978,89.359,90.863,91.366,91.851,91.541,90.748,90.647,91.735,93.379,93.472,94.991,96.028,94.191,95.109,95.147,95.333,94.956,95.397,96.008,96.475,96.573,97.545,97.623,97.832,98.153,98.181,98.097,97.908,97.715,98.014,97.957,98.045,98.058,97.875,97.86,98.081,98.146,97.653,97.664,97.869,97.66,97.241,97.2,96.943,96.964,96.911,96.894,96.75,96.557,96.212,96.626,96.716,96.724,96.878,96.93,97.146,98.441,98.2,98.167,98.396,99.801,100.016,100.166,100.017,100.091,99.754,100.166,100.307,101.263,101.38,102.033,102.443,104.054,105.041,105.349,105.163,105.795,105.264,104.948,105.048,105.913,106.459,107.127,107.167,107.805,108.519
"47","39","  Other","B653RG3",22.827,22.924,22.963,24.003,24.338,24.454,25.22,25.552,25.751,25.741,25.882,26.071,27.046,27.798,28.299,28.819,29.726,32.195,33.367,35.039,35.829,38.847,42.24,45.151,47.131,46.966,45.108,44.75,44.985,45.862,47.017,47.522,49.135,50.564,51.329,51.727,53.496,55.269,56.278,57.602,59.831,60.781,60.76,63.561,66.174,67.071,68.913,69.752,70.503,70.643,69.43,70.363,69.97,69.578,68.684,68.38,68.441,68.406,68.368,68.073,68.236,68.82,68.064,67.75,65.912,66.187,66.029,67.569,68.727,68.825,69.794,70.486,72.214,74.023,74.735,76.76,78.556,80.356,80.005,81.581,82.521,82.584,81.674,81.918,82.74,82.706,83.492,85.067,85.6,84.826,84.101,84.832,85.498,85.553,86.594,86.947,86.366,87.15,87.488,87.912,88.07,88.723,89.819,90.895,91.674,92.979,93.398,93.343,93.163,93.084,92.767,92.776,92.772,92.304,92.295,92.212,92.042,92.288,91.662,91.769,91.665,91.428,91.707,92.058,92.293,92.956,93.385,93.654,94.113,93.037,91.932,91.481,91.211,91.543,91.873,92.213,93.174,93.448,93.721,94.135,95.309,96.426,96.944,97.771,98.798,99.456,99.915,101.83,101.918,102.184,102.778,102.666,102.921,103.658,104.401,106.429,110.21,114.987,116.497,116.046,112.893,111.443,111.246,112.417,114.002,115.111,115.435,116.211,118.047,119.772
"48","40","Imports of services \1\","B656RG3",19.588,19.697,19.925,20.009,20.173,20.48,20.636,20.755,21.705,22.159,22.524,23.084,22.923,23.186,23.603,24.218,24.832,26.601,28.073,29.146,30.818,32.028,32.722,33.643,34.059,34.688,35.13,35.809,35.942,36.037,36.709,37.31,37.973,38.676,39.412,40.315,40.876,41.904,43.461,44.339,45.347,46.959,49.103,51.232,54.212,55.164,56.844,57.347,57.658,58.011,58.345,59.259,59.515,58.699,57.693,57.533,57.402,57.361,57.446,57.406,57.651,57.617,55.793,54.615,53.941,55.356,57.155,58.948,61.429,62.136,62.97,63.263,62.267,62.933,63.799,64.355,65.997,66.684,66.347,66.668,65.936,65.778,65.841,66.731,68.379,69.384,71.572,74.74,74.775,72.878,73.146,73.649,74.408,75.041,77.186,76.058,75.912,76.697,76.142,76.502,76.633,76.825,78.551,79.215,78.237,80.739,81.056,80.907,81.388,81.878,82.478,83.194,82.695,82.771,81.942,81.523,79.685,80.454,80.593,81.783,81.722,83.029,83.877,84.114,84.411,83.892,84.3,84.233,84.562,84.111,84.421,83.784,84.117,85.772,87.283,87.181,88.966,91.839,92.507,92.566,93.702,94.813,96.188,97.589,98.408,99.679,101.007,100.906,102.446,103.817,104.505,104.455,105.189,106.933,108.655,110.223,111.601,114.96,116.498,112.966,110.668,110.451,111.552,113.493,113.763,113.979,114.431,116.066,117.261,119.136
"49","41","  Direct defense expenditures","B752RG3",10.048,10.048,10.211,10.208,10.204,10.369,10.458,10.469,11.476,11.76,11.936,12.086,12.222,12.066,12.243,12.261,13.103,14.817,15.965,14.99,15.156,16.813,17.785,18.782,19.471,19.794,19.29,19.64,20.618,20.08,21.395,22.53,23.256,23.486,24.822,25.214,26.558,26.992,29.093,29.796,31.287,30.967,33.509,35.401,37.402,38.335,40.959,40.177,39.447,38.916,38.944,40.056,39.739,39.837,39.509,38.839,38.898,38.139,37.904,37.407,37.52,37.881,36.375,35.587,34.06,35.778,38.097,40.051,42.217,42.313,43.93,44.631,47.647,49.51,52.133,53.154,55.757,57.526,55.577,57.609,56.136,55.5,55.616,57.417,60.764,62.419,67.819,74.346,70.188,64.712,64.861,67.557,66.799,66.637,73.923,69.758,66.336,68.909,68.092,67.203,64.816,68.118,72.537,72.922,72.761,79.025,78.187,78.607,76.373,75.832,77.69,77.426,72.416,71.189,68.88,69.66,65.399,67.206,69.016,72.44,69.796,68.54,69.814,70.568,68.553,66.525,66.622,67.576,69.065,66.829,68.415,67.102,65.58,68.616,72.973,74.267,80.218,81.979,81.31,84.677,88.35,88.021,90.43,97.315,101.108,98.345,100.572,99.975,100.02,105.804,108.077,107.085,110.221,114.434,117.971,123.355,124.714,128.449,125.005,111.055,110.764,115.805,120.359,123.995,117.985,111.125,111.734,117.213,119.162,124.138
"50","42","  Travel","B768RG3",24.771,24.771,24.835,24.771,24.923,25.361,25.486,25.61,26.687,27.378,28.006,29.513,29.434,29.434,29.434,30.561,31.796,33.37,34.944,38.533,40.105,41.388,41.709,43.313,44.208,45.49,47.091,48.373,46.508,46.508,46.508,46.508,47.602,48.888,48.888,50.887,52.522,53.483,54.633,55.337,57.888,61.105,62.709,64.382,66.539,67.183,68.477,69.832,70.089,70.664,71.293,71.929,70.672,66.274,61.43,61.165,60.219,60.53,60.651,60.772,61.37,60.598,56.48,53.422,53.604,54.906,56.957,59.25,61.567,63.466,64.632,64.821,61.476,60.59,60.219,60.514,63.239,64.412,65.321,65.866,65.041,65.139,65.381,65.835,66.736,67.72,68.908,70.21,72.057,70.097,71.164,72.375,74.422,75.293,77.557,75.535,75.893,76.681,75.484,76.713,78.061,77.228,79.954,81.392,77.531,81.772,82.074,80.939,81.469,82.447,83.727,84.22,83.434,83.892,82.522,81.014,78.313,79.459,78.853,80.863,81.156,81.007,81.096,81.878,81.882,80.402,80.004,78.28,78.423,77.891,78.476,78.335,78.954,81.007,83.102,82.388,83.584,89.191,88.414,88.393,90.557,92.859,94.634,96.543,97.404,101.388,102.152,99.172,101.328,103.208,105.137,106.111,107.173,111.22,113.743,117.424,119.691,124.311,122.073,115.347,113.213,115.036,116.336,117.255,117.36,116.961,117.371,119.119,120.156,123.612
"51","43","  Passenger fares","B769RG3",24.658,24.669,24.679,24.69,23.981,24.477,24.979,25.483,26.262,26.579,26.892,27.2,28.096,28.002,27.906,27.797,25.456,26.793,28.161,29.568,32.037,32.774,33.477,34.112,35.015,35.404,35.792,36.185,36.253,36.869,37.486,38.098,40.381,39.878,39.378,38.882,36.64,37.301,37.956,38.605,37.847,39.429,41.02,42.621,45.167,46.147,47.116,48.074,49.835,50.246,50.663,51.085,52.086,52.129,52.167,52.199,52.74,52.421,52.108,51.801,51.668,51.233,50.793,50.354,48.562,49.023,49.486,49.947,50.787,50.99,51.193,51.398,50.903,51.574,52.241,52.905,54.628,54.585,53.473,53.964,54.159,53.675,53.463,54.089,55.338,57.36,60.362,63.047,66.295,65.63,65.182,66.135,66.521,67.45,69.424,67.026,66.425,67.03,66.938,66.294,66.46,66.191,67.25,68.151,69.55,70.861,70.361,71.357,71.587,70.969,70.688,72.55,74.088,75.957,76.325,76.64,76.816,76.273,76.385,77.395,77.557,78.658,79.191,79.639,81.078,82.611,82.546,86.943,89.915,90.528,91.732,92.043,93.256,95.005,98.434,95.891,97.041,98.535,99.144,95.761,94.396,95.254,96.416,97.939,99.33,99.296,100.044,101.33,103.372,104.586,105.825,108.253,110.897,112.158,115.866,113.662,117.979,128.476,137.321,136.165,126.267,114.824,114.026,125.459,130.341,137.582,137.462,141.562,144.529,145.186
"52","44","  Other transportation","B770RG3",14.486,14.859,15.167,15.486,16.107,16.226,16.309,16.409,16.327,16.547,16.754,16.937,15.816,17.024,18.187,19.28,19.502,20.911,22.252,23.577,26.71,26.836,26.96,27.033,26.39,26.79,27.203,27.639,28.105,28.5,28.828,29.133,28.804,29.545,30.308,31.059,30.808,32.201,33.571,34.92,34.977,37.18,39.349,41.527,45.958,46.684,47.377,48.036,48.524,49.33,50.135,50.867,52.509,52.676,52.829,52.903,52.601,52.885,53.167,53.421,53.189,53.697,54.169,54.629,53.504,55.061,56.566,58.052,63.837,62.803,61.564,60.343,56.92,57.669,58.433,58.634,58.9,59.052,59.064,59.224,60.006,60.504,60.393,61.026,62.095,61.241,62.543,67.432,65.167,64.088,64.318,63.502,62.359,63.552,64.554,64.939,64.466,64.815,64.337,64.13,63.543,64.214,65.145,65.166,65.792,67.366,67.612,67.855,68.771,69.226,68.887,69.41,68.883,67.663,67.047,66.78,65.014,66.246,66.869,67.18,66.82,72.684,78.044,79.407,79.95,80.068,81.716,82.847,81.868,81.178,79.958,76.659,75.57,76.04,77.367,78.514,80.001,85.548,89.258,90.081,91.591,92.751,93.89,95.975,96.307,98.528,101.678,103.487,102.009,101.246,98.384,96.056,96.067,96.075,96.152,96.965,98.303,103.007,108.829,107.53,99.818,94.855,94.141,96.992,99.313,102.627,105.502,106.933,108.11,111.226
"53","45","  Royalties and license fees","B908RG3",19.897,20.135,20.411,20.648,20.937,21.264,21.44,21.685,22.091,22.441,22.72,22.965,23.185,23.374,23.595,23.92,24.316,24.774,25.215,25.704,26.355,27.045,27.914,28.597,29.203,29.665,30.22,30.768,31.209,31.585,32.081,32.681,33.33,33.971,34.535,35.195,35.748,36.616,37.316,38.096,38.898,39.834,40.908,41.903,43.08,44.053,45.085,46.295,47.531,48.446,49.254,50.279,50.937,51.352,51.98,52.573,53.025,53.702,54.335,54.722,55.465,56.074,56.529,56.998,57.522,58.043,58.472,59.106,59.469,59.666,60.215,60.675,61.316,61.86,62.423,62.99,63.479,64.197,64.915,65.612,66.408,67.233,67.747,68.36,69.305,70.032,70.907,71.936,72.537,72.94,73.455,73.989,74.597,75.152,75.577,76.047,76.635,77.072,77.344,77.766,78.218,78.647,79.235,79.642,80.213,80.695,81.071,81.477,82.026,82.364,82.853,83.342,83.813,84.004,84.211,84.484,84.525,84.666,84.897,85.146,85.452,85.899,86.296,86.767,87.57,88.05,88.53,89.002,89.571,90.09,90.32,90.436,90.691,91.247,91.629,92.125,93.07,93.202,93.717,94.161,95.147,96.123,96.776,97.646,98.542,99.294,100.567,101.55,102.264,103.17,103.911,104.059,105.178,106.002,106.536,107.526,108.593,109.796,110.896,109.589,109.069,109.252,109.65,110.202,110.792,110.808,110.978,111.508,112.581,113.473
"54","46","  Other private services","B909RG3",36.535,37.047,37.588,38.048,38.677,39.256,39.552,40.017,40.694,41.344,41.89,42.42,42.869,43.035,43.292,43.538,43.785,44.192,44.549,44.918,45.471,46.28,47.328,48.161,48.936,49.415,50.063,50.721,51.258,51.988,52.547,53.213,53.925,55.029,55.658,56.551,57.037,57.986,58.73,58.011,57.978,58.749,59.595,62.169,63.194,64.478,66.048,67.162,68.112,68.885,67.692,68.596,69.141,69.92,71.551,72.303,72.855,73.563,74.108,74.451,74.864,74.766,73.877,74.203,74.887,75.616,76.355,77.252,75.468,77.47,79.606,81.816,83.319,85.724,87.286,88.168,87.884,87.148,85.485,83.032,80.174,78.953,78.85,80.173,82.72,84.967,86.82,88.235,90.11,89.253,88.268,87.215,89.329,89.065,89.445,90.233,91.803,92.123,92.306,92.911,92.786,92.889,93.263,93.426,93.332,93.81,95.022,94.947,95.903,96.681,97.291,98.327,98.553,98.775,98.128,98.078,96.841,97.012,97.165,97.46,97.787,98.345,96.664,94.922,95.375,94.795,95.542,94.188,94.365,94.049,94.476,94.869,96.304,98.229,98.122,97.731,99.136,99.419,99.814,98.986,98.721,99.442,100.569,99.413,99.412,99.775,100.272,100.541,103.926,105.168,106.583,106.894,106.716,107.714,109.229,110.214,110.686,112.208,113.625,111.786,111.783,112.804,114.248,115.142,115.166,114.987,114.735,115.669,116.587,117.285
"55","47","  Other","B910RG3",21.553,21.667,21.834,21.925,22.145,22.515,22.667,22.856,23.546,24.034,24.456,25.232,25.317,25.42,25.543,26.18,26.896,27.775,28.645,30.297,31.285,32.195,32.85,33.872,34.587,35.357,36.303,37.118,36.703,36.931,37.218,37.571,38.388,39.276,39.622,40.792,41.761,42.648,43.502,44.225,45.672,47.465,48.72,49.962,51.502,52.374,53.511,54.783,55.686,56.461,57.161,57.978,57.845,56.364,54.66,54.926,54.87,55.424,55.831,56.068,56.656,56.618,55.051,53.9,54.253,55.145,56.337,57.726,58.987,59.926,60.698,60.989,59.973,59.859,59.96,60.375,61.873,62.771,63.551,64.165,64.292,64.808,65.199,65.73,66.634,67.448,68.428,69.535,70.581,70.067,70.802,71.608,72.752,73.418,74.58,74.034,74.503,75.059,74.746,75.483,76.299,76.192,77.651,78.435,77.105,79.34,79.708,79.523,80.241,80.815,81.445,81.87,81.775,82.063,81.491,81.085,79.603,80.339,80.254,81.303,81.384,82.598,83.5,84.124,84.996,84.835,85.137,84.677,84.533,84.313,84.167,83.365,83.84,84.819,85.623,85.704,87.248,89.947,90.505,90.78,92.768,94.337,95.43,96.827,97.912,99.894,101.367,100.827,102.228,103.463,104.141,103.757,104.924,107.112,108.457,110.326,112.291,115.019,115.888,111.143,108.895,108.809,110.067,111.055,111.856,112.224,112.929,114.008,115.593,118.24
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RG3",45.295,45.109,45.769,47.428,47.811,48.894,47.845,47.607,49.654,49.341,48.266,49.347,49.978,49.951,49.916,50.723,51.328,52.895,54.087,56.18,59.337,61.05,65.265,68.02,71.065,73.091,73.718,74.876,76.335,77.739,77.93,80.355,80.353,80.739,82.255,83.298,83.695,85.691,86.765,90.609,92.58,96.715,98.02,98.624,101.92,105.01,108.278,111.893,114.489,115.617,117.051,118.435,119.213,119.514,119.203,118.72,118.054,117.677,117.143,117.043,117.585,117.437,116.354,114.955,113.326,112.459,111.313,110.385,110.009,109.633,109.725,110,109.198,109.414,109.958,111.051,112.439,113.403,113.983,114.24,114.647,114.579,114.359,113.613,112.503,112.622,113.112,112.98,113.759,113.738,112.718,112.271,112.293,111.701,111.293,110.912,111.016,111.195,110.673,110.243,110.357,110.266,109.965,109.524,109.606,109.056,108.193,107.317,106.225,104.74,103.317,101.87,101.519,101.16,100.827,100.136,99.494,98.957,98.149,97.84,97.587,97.374,97.09,97.345,97.247,97.466,97.721,97.685,97.739,97.618,97.265,96.954,96.892,96.733,96.798,96.735,96.819,96.899,96.682,96.822,97.333,98.047,98.646,99.328,99.864,99.944,99.919,100.273,101.1,102.202,103.052,103.54,103.483,103.585,103.131,103.257,103.926,104.871,105.461,102.607,101.2,100.894,101.883,103.026,103.371,103.828,103.559,104.324,105.187,105.856
"58","49","  Exports of nondurable goods","B339RG3",25.248,25.222,25.547,25.912,25.977,26.47,26.789,27.041,27.34,27.511,27.669,27.183,27.607,28.149,28.324,29.61,31.989,34.525,38.934,42.317,46.669,49.005,51.913,56.315,57.269,54.085,52.395,51.844,52.064,52.101,52.457,52.526,54.013,55.423,52.727,51.878,54.124,55.752,56.843,58.484,61.688,64.402,66.636,68.441,69.801,68.592,70.543,73.454,75.49,74.603,72.852,71.661,71.69,70.373,68.268,66.912,67.559,68.457,69.793,72.079,72.407,73.442,71.527,69.471,68.245,67.883,66.291,66.029,64.475,63.529,61.902,63.328,64.871,67.9,67.749,70.647,71.824,76.126,78.795,77.483,79.09,78.981,77.068,76.486,76.949,77.074,77.356,79.49,78.713,77.284,75.796,76.399,75.421,75.864,75.513,75.12,75.051,75.058,75.393,75.514,76.769,77.81,79.373,82.018,85.325,88.082,88.565,88.168,88.184,89.589,88.654,86.599,86.652,86.622,86.3,85.695,83.595,82.484,81.05,80.04,79.564,79.777,80.888,81.881,83.043,84.157,83.878,84.42,84.184,83.08,82.054,80.007,79.404,80.843,83.036,83.65,85.871,86.482,86.582,89.036,91.822,94.401,94.091,95.616,97.595,99.383,100.785,102.237,102.513,104.501,107.134,106.778,109.242,112.859,115.768,120.648,126.641,135.86,139.827,118.038,108.724,110.972,112.955,114.786,118.261,121.653,122.69,130.272,139.066,146.019
