"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140"
"49","41","    Nondurable goods merchant wholesale industries","PK42WN3",96.95,96.613,96.954,95.949,95.64,94.631,94.049,94.817,94.627,95.029,94.521,94.364,92.809,92.622,92.286,91.923,91.684,91.054,91.239,89.632,89.156,90.114,89.798,89.189,90.045,88.981,90.043,91.671,91.833,91.969,92.154,93.77,94.574,94.232,94.976,96.339,96.659,98.963,100.423,98.817,99.678,100.362,99.677,99.034,100.721,101.301,102.299,101.907,102.543,102.169,101.643,101.647,101.953,101.092,99.525,100.067,100.523,97.664,96.95,96.484,96.767,97.18,98.929,98.996,98.755,98.551,100.163,101.311,102,103.069,102.107,102.503,104.75,107.81,108.358,104.632,103.593,104.126,104.242,105.262,105.226,106.484,107.354,109.206,110.159,110.162,111.124,112.259,113.422,112.171,112.905,112.726,113.197,115.996,116.282,115.085,115.642,116.42,119.175,119.122,118.505,120.194,122.295,123.065,125.86,126.658,124.85,126.644,126.434,124.762,125.442,128.738,129.915,132.139,133.077,132.745,127.846,126.406,129.863,132.004,130.384,133.907,135.287,136.584,138.385,139.42,140.433,137.464,141.158,141.678,150.395,152.644,156.342,157.905,162.387,162.569,166.226
"50","42","      Paper and paper products wholesalers","PK42213",88.97,88.347,87.492,86.959,87.218,87.537,87.648,88.838,89.89,90.302,91.418,92.263,92.667,92.614,92.613,92.247,92.136,92.084,91.399,90.662,89.643,88.73,87.911,87.467,87.151,87.236,88.047,88.598,89.272,89.85,90.559,91.534,92.836,93.387,93.882,94.189,94.915,95.584,97.941,99.554,101.222,101.641,101.479,101.525,101.587,101.758,101.775,101.601,101.734,101.411,101.096,100.728,100.009,99.212,98.533,97.12,96.777,96.194,95.926,96.089,95.477,95.015,94.439,94.238,93.949,94.173,94.485,95.377,95.742,96.223,96.225,96.057,95.936,96.244,96.317,96.629,97.094,97.101,96.547,96.354,95.789,95.653,95.754,95.976,95.281,95.443,95.701,96.832,98.13,99.753,100.963,102.035,102.68,102.634,102.982,103.689,104.327,105.21,105.734,105.676,105.56,104.549,103.934,102.538,102.903,103.844,105.121,105.716,106.298,108.273,109.069,108.527,110.969,112.201,112.49,113.305,114.322,114.611,114.488,114.801,114.769,114.5,114.232,114.064,113.548,113.817,113.89,114.373,115.688,117.415,117.697,118.216,119.095,119.765,120.064,120.465,121.036
"51","43","      Drugs and druggists' sundries wholesalers","PK42223",89.84,89.749,89.54,89.26,89.43,89.568,89.601,89.756,89.857,90.166,90.451,90.694,90.666,91.374,95.607,95.61,95.991,96.39,96.729,96.739,96.796,97.15,97.417,97.579,97.323,97.317,97.465,97.269,97.373,98.276,98.531,98.556,98.962,99.197,99.438,99.426,99.617,99.675,99.475,99.566,99.759,99.594,99.941,100.413,100.486,100.37,100.35,100.567,100.747,100.918,100.849,100.988,100.523,100.969,100.646,100.689,100.872,101.053,101.244,101.26,101.415,101.469,101.551,101.624,101.755,102.035,102.131,102.533,102.779,103.078,103.06,103.129,103.491,103.403,103.592,103.802,104.165,104.408,104.669,104.741,105.124,105.181,105.505,105.722,106.482,106.554,106.634,107.167,107.478,107.308,107.319,107.719,107.694,108.06,108.378,108.88,109.195,110.167,110.266,110.54,111.376,111.849,113.011,113.212,112.872,113,113.556,113.557,114.269,114.498,114.736,114.463,115.266,115.343,115.709,115.673,115.879,116.038,116.349,116.818,117.416,117.66,117.511,118.143,118.103,118.353,118.609,119.544,119.972,120.369,120.576,120.857,121.215,122.136,122.394,123.046,123.385
"52","44","      Apparel, piece goods, and notions wholesalers","PK42233",100.079,100.239,100.311,100.354,100.497,100.433,100.525,100.631,100.773,100.754,100.788,100.824,101.228,101.107,100.999,100.965,100.955,100.796,100.671,100.696,100.829,100.789,100.672,100.459,100.432,100.282,100.344,100.288,100.201,100.049,100.121,100.024,100.156,100.042,99.939,100.195,100.145,100.201,100.185,100.173,100.112,99.69,99.915,99.948,100.012,99.928,99.883,99.829,99.842,99.918,100.427,100.261,100.111,100.036,99.921,100.065,99.69,99.514,99.487,99.362,99.126,98.997,98.521,98.359,98.369,98.307,98.224,98.286,98.131,98.306,98.308,98.905,98.728,98.645,98.751,98.808,98.918,98.744,98.655,98.867,98.964,98.899,98.957,99.021,99.129,99.077,98.977,99.057,99.095,99.088,99.089,99.009,99.093,99.117,99.152,99.141,99.288,99.328,99.337,99.368,99.36,99.42,99.487,99.576,99.944,99.737,99.638,99.7,99.916,100.013,99.85,100.059,100.146,100.126,100.175,100.304,100.225,100.392,100.377,100.312,100.628,100.6,100.806,100.864,100.775,100.77,100.852,100.96,101.171,101.211,101.269,101.437,101.578,101.561,101.78,101.957,101.95
"53","45","      Grocery and related products wholesalers","PK42243",98.754,98.907,100.106,98.927,99.795,98.476,97.985,98.768,98.634,99.639,98.445,98.954,98.169,98.912,98.687,99.39,98.794,98.362,99.308,98.8,98.96,99.432,98.741,98.964,100.261,98.943,99.581,99.282,99.759,100.118,99.495,99.542,100.478,100.023,99.02,99.873,99.055,99.42,99.85,100.294,101.371,99.96,99.836,99.08,100.099,100.638,100.698,99.718,101.046,101.925,102.735,102.586,103.385,102.989,101.944,102.893,103.488,103.007,102.313,102.952,103.611,104.615,105.894,101.564,102.117,102.001,102.032,101.687,101.292,101.827,101.406,101.323,102.96,102.989,103.464,104.294,104.924,104.391,104.224,105.188,106.514,107.746,107.389,108.372,106.672,106.449,107.951,109.024,111.195,110.058,108.434,108.685,110.034,113.112,112.725,112.251,111.627,112.526,113.193,113.523,113.669,112.946,111.829,111.564,112.926,113.084,113.775,115.544,115.335,112.769,113.123,114.128,113.495,114.66,115.322,117.408,118.239,117.831,116.23,118.667,119.038,121.314,122.764,123.74,122.683,122.579,122.525,122.412,123.593,125.204,124.725,126.994,128.249,127.2,129,128.862,129.923
"54","46","      Farm product raw material wholesalers","PK42253",132.379,132.723,141.142,141.865,139.271,134.805,130.358,129.687,128.952,130.007,128.783,127.106,123.077,124.354,124.664,117.947,117.789,114.94,113.332,104.732,99.664,105.305,107.49,103.654,104.875,102.908,102.351,100.164,101.35,99.502,89.747,98.744,94.789,93.497,95.696,93.883,97.594,102.334,106.446,103.282,106.563,100.746,94.089,91.362,94.382,99.05,102.176,104.678,107.083,102.827,104.533,100.104,100.128,99.268,102.392,104.198,100.936,97.436,97.333,98.43,99.155,99.387,99.21,96.926,98.757,99.162,107.731,118.869,124.145,118.086,115.295,114.252,113.936,119.038,114.587,115.663,119.452,117.565,110.279,113.174,120.7,123.995,129.789,131.422,133.497,134.962,141.158,140.601,142.77,134.743,127.926,115.903,116.027,107.122,105.975,109.501,110.842,108.553,117.235,111.754,113.378,113.489,115.177,111.934,108.235,106.908,108.672,112.134,111.465,112.569,112.256,115.561,116.359,116.263,121.521,114.736,116.666,131.529,146.439,145.813,144.963,160.551,158.533,151.728,156.07,162.346,156.359,155.652,167.78,172.373,181.278,202.065,223.303,231.517,246.913,242.851,239.99
"55","47","      Chemical and allied products wholesalers","PK42263",97.321,97.227,96.756,96.389,96.293,96.045,96.315,96.75,96.687,96.417,96.506,96.459,96.224,95.612,96.042,95.632,95.523,95.347,95.171,94.792,94.442,94.344,94.494,94.263,93.881,93.407,93.107,93.034,93.39,93.766,94.117,94.27,95.008,96.022,96.534,96.973,97.403,98.173,98.893,99.197,99.471,100.103,101.57,100.83,100.94,101.002,100.921,101.256,102.456,103.18,103.237,102.355,102.064,101.576,99.643,98.589,99.541,98.293,97.636,96.514,96.548,96.474,97.724,99.11,99.124,99.291,100.233,100.918,101.27,102.242,102.497,102.071,104.395,108.289,109.59,106.532,106.553,107.157,106.282,106.746,106.408,106.716,106.609,107.802,110.633,110.806,110.822,112.519,113.064,114.522,116.08,118.995,121.428,122.683,123.984,124.138,124.444,125.465,128.019,127.946,126.965,125.986,127.976,128.751,134.186,140.153,138.521,138.717,140.669,140.704,140.777,141.184,143.401,145.835,146.454,147.611,145.384,144.36,142.347,143.267,143.606,143.659,144.979,145.845,149.045,150.021,151.892,148.999,150.999,153.766,159.708,158.942,162.941,163.803,165.306,170.018,176.133
"56","48","      Petroleum and petroleum products wholesalers","PK42273",84.208,82.053,78.031,73.731,71.016,69.802,69.04,71.829,70.563,71.023,70.062,68.921,63.207,60.414,56.262,56.271,55.498,53.819,53.942,50.084,49.886,51.79,50.142,46.051,48.612,46.103,50.879,61.575,60.743,60.706,67.039,71.759,74.214,72.944,77.743,85.745,87.234,97.016,103.359,92.408,91.545,102.416,100.728,98.138,105.191,104.805,109.802,107.052,104.249,102.286,95.646,99.395,100.064,95.751,86.719,88.373,92.188,76.771,72.996,68.81,69.197,70.228,79.242,87.67,83.462,81.383,86.889,88.447,90.457,99.045,94.406,99.044,110.92,129.021,132.474,102.893,91.407,97.068,102.954,106.73,99.197,103.108,106.174,115.219,121.425,120.616,120.994,125.243,128.11,124.531,135.83,138.036,137.933,157.986,160.446,148.447,149.943,153.155,166.025,167.032,158.333,172.749,188.43,197.171,217.131,221.634,202.485,210.28,206.694,196.863,200.843,222.982,230.232,245.036,245.934,243.391,200.4,180.994,201.923,211.73,196.959,208.108,216.696,226.17,238.963,241.312,250.411,225.824,241.177,236.029,297.27,294.953,301.877,306.979,325.147,324.595,347.617
"57","49","      Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",96.137,95.89,96.502,96.384,96.614,96.301,96.541,96.802,95.797,95.548,95.538,95.654,95.915,95.84,96.008,95.905,95.788,95.938,95.965,96.024,96.192,96.761,97.174,97.07,97.119,97.418,96.705,96.692,96.842,96.752,97.817,97.267,97.641,97.47,97.447,97.66,97.543,98.156,98.207,97.674,100.499,100.338,100.446,101.146,101.354,101.622,101.213,101.715,102.623,102.243,103.194,103.174,103.224,103.346,103.447,103.556,103.518,104.025,104.287,104.353,104.13,104.154,104.153,104.248,104.294,104.388,104.52,104.398,104.786,104.733,105.659,105.499,104.767,104.571,106.159,106.234,105.86,105.725,106.23,105.815,105.278,106.572,105.952,107.374,110.154,110.46,110.212,109.64,107.179,107.111,107.2,109.018,108.06,109.102,109.552,108.584,110.672,111.005,111.071,111.55,113.068,113.137,113.537,113.277,114.262,113.705,113.796,113.598,113.035,113.043,113.772,114.625,114.514,115.221,115.343,112.915,113.456,112.849,113.593,114.515,113.455,113.76,111.233,112.359,112.926,113.712,113.789,114.731,115.337,115.472,115.446,115.494,115.53,116.889,116.676,117.742,117.905
"58","50","      Miscellaneous nondurable goods wholesalers","PK42293",92.805,92.607,92.922,93.304,93.401,92.773,92.708,92.712,93.413,92.892,92.873,92.528,91.804,91.422,91.087,91.075,91.626,91.602,92.031,91.902,91.935,92.112,92.223,95.6,95.513,95.053,95.228,95.303,95.333,95.722,95.514,95.88,97.986,97.947,98.083,98.083,97.477,99.506,99.226,98.565,99.323,99.565,99.564,100.305,100.959,101.568,101.934,102.169,104.851,104.752,104.745,104.163,105.021,104.52,104.236,104.259,103.95,103.114,103.522,103.214,102.828,102.55,103.328,104.54,104.983,105.252,106.067,106.726,107.267,106.962,106.764,105.247,105.843,106.749,107.826,107.475,107.799,107.784,106.96,107.284,107.674,108.333,109.246,110.044,110.556,110.951,111.511,112.334,112.622,112.34,112.817,112.973,113.128,113.587,113.673,113.541,114.753,114.812,116.098,116.788,117.361,118.573,119.478,119.991,120.479,120.817,120.919,121.786,122.732,122.278,122.36,123.221,123.559,123.329,124.067,123.985,123.235,123.386,124.398,125.056,125.408,128.699,130.138,131.249,131.663,132.779,134.555,134.447,135.601,136.781,138.892,141.218,144.53,147.08,151.089,152.901,156.753
"59","51","  Retail trade industries","PK443",99.735,99.984,99.984,99.732,99.456,99.175,99.094,99.055,99.142,99.002,98.851,98.728,98.579,98.3,97.954,97.903,97.906,97.77,97.91,97.9,97.595,97.588,97.491,97.433,97.43,97.113,97.065,98.01,98.016,98.107,98.507,98.704,99.055,98.955,98.844,99.087,99.129,99.452,100.21,99.923,99.862,100.312,100.28,99.795,100.342,100.172,100.257,100.251,100.366,100.362,100.127,100.299,100.659,100.576,99.969,99.54,99.847,99.152,98.53,97.996,98.024,97.791,98.24,98.881,98.527,98.416,98.44,98.583,98.514,98.398,98.239,98.02,98.202,98.814,99.08,98.322,97.443,97.418,97.52,97.735,97.889,97.438,97.075,97.129,97.547,98.056,98.426,98.523,99.279,99.302,98.981,98.923,99.032,99.868,99.716,99.38,99.645,99.895,100.006,100.32,99.876,99.832,100.326,100.803,102.191,101.968,100.947,100.731,101.172,100.975,100.934,101.407,101.562,101.535,101.884,102.074,101.194,100.209,100.025,100.506,100.413,100.527,100.952,101.028,101.27,101.314,101.328,101.087,101.213,101.383,102.072,102.264,102.67,102.471,102.676,102.738,103.132
"60","52","    Motor vehicle and parts dealers","PK4413",99.513,99.847,100.314,99.858,99.649,99.213,99.095,98.851,98.834,98.784,98.622,98.505,98.579,98.642,98.477,98.455,98.272,98.292,98.694,98.87,98.822,98.819,99.124,99.022,98.81,98.402,98.302,98.439,98.525,98.767,99.075,99.332,99.724,99.648,99.735,99.524,99.421,99.304,99.726,99.896,100.124,100.158,100.048,99.963,99.994,100.11,100.453,100.897,101.175,101.225,101.303,101.239,101.1,100.946,100.954,100.728,100.219,100.558,100.735,100.827,100.599,99.946,99.65,99.628,99.576,99.534,99.742,99.894,99.836,99.617,99.301,99.057,98.771,98.596,98.736,98.508,98.326,98.183,97.89,97.759,96.917,96.147,95.677,95.508,95.399,95.598,95.742,95.809,95.978,95.896,95.892,95.965,96.51,96.658,97.107,97.447,97.838,97.973,97.92,97.999,98.31,98.521,98.326,98.203,98.414,98.589,98.424,98.414,98.689,98.849,99.007,99.166,99.276,99.356,99.612,99.701,99.424,99.176,98.618,98.276,98.174,98.011,98.149,98.137,98.131,98.256,98.496,98.767,98.789,98.842,98.892,98.956,98.956,98.876,98.867,98.632,98.562
"61","53","    Furniture, furnishings, electronics, and appliance stores","PK44233",124.867,125.012,124.453,123.45,122.895,122.48,121.537,120.206,119.794,119.115,118.416,118.225,117.335,116.436,116.411,116.487,115.187,114.353,113.738,112.335,111.563,111.052,109.984,109.466,108.79,107.984,107.404,107.408,106.362,105.914,105.57,104.694,104.308,103.507,102.704,102.437,102.223,101.724,101.672,101.072,100.93,100.111,99.78,99.147,99.304,98.602,98.093,97.474,96.517,95.911,94.917,94.629,93.491,92.796,92.556,91.525,90.848,90.381,90.101,89.486,88.791,87.901,87.325,87.197,87.13,86.689,86.232,85.826,85.168,84.66,83.868,83.279,82.871,82.261,81.759,81.58,80.264,79.686,79.292,78.309,77.737,77.729,77.45,77.077,77.149,77.037,76.621,76.364,75.913,75.792,75.079,74.592,74.408,74.535,73.806,73.172,73.247,72.647,72.668,72.455,72.27,71.563,71.153,70.47,70.192,69.869,69.68,69.42,68.97,68.617,68.352,67.898,67.38,66.89,66.584,66.538,65.949,65.727,65.33,65.133,64.68,64.667,64.445,64.079,63.574,63.273,62.641,62.168,61.789,61.449,60.726,60.457,60.536,60.221,60.234,59.582,59.164
"62","54","    Building material and garden equipment and supplies dealers","PK4443",101.564,102.173,102.629,102.687,102.909,102.484,102.618,102.338,102.075,101.518,101.526,101.265,101.621,101.808,101.838,101.639,100.86,100.082,100.212,100.523,99.757,98.948,98.853,99.104,99.261,99.794,100.183,100.12,100.64,101.544,102.639,102.167,101.024,100.185,100.252,100.663,100.801,100.759,101.404,101.041,100.228,100.183,99.874,99.189,99.147,99.169,99.203,99.013,98.763,99.192,99.325,99.234,100.653,100.921,100.037,100.106,99.798,98.792,98.375,98.094,98.323,98.841,99.508,99.775,99.374,99.191,99.146,99.232,98.873,98.45,98.503,98.313,98.307,98.718,98.569,98.578,98.571,98.716,99.451,99.7,101.291,101.353,101.417,101.305,101.706,103.39,104.699,105.744,106.663,105.772,105.399,106.774,106.999,106.037,104.946,105.295,106.106,107.211,107.574,107.633,106.925,107.649,107.361,106.939,107.918,108.34,107.411,107.618,108.273,108.809,108.869,108.905,108.954,108.188,107.828,107.254,107.453,106.414,106.755,107.229,107.688,108.053,108.418,108.309,108.282,108.666,108.835,108.32,108.142,107.888,107.596,107.768,107.694,107.869,108.333,108.619,109.747
"63","55","    Food and beverage stores","PK4453",92.617,92.953,92.962,93.039,93.116,93.138,93.299,93.4,93.543,93.673,93.811,93.763,94.167,94.208,94.248,94.445,94.725,94.727,94.951,95.145,95.245,95.593,95.651,96.159,96.726,96.732,96.569,96.896,97.049,97.116,97.342,97.435,97.96,98.036,98.184,98.314,98.45,98.761,99.11,99.361,99.766,99.855,100.399,100.575,100.791,100.709,100.899,101.25,101.534,101.909,102.082,102.411,102.609,102.947,103.471,103.546,103.819,103.939,104.133,103.869,104.177,104.553,104.556,105.182,104.557,104.693,104.889,104.899,105.11,104.841,105.138,105.252,105.171,105.708,105.881,105.869,105.795,106.28,106.333,106.723,106.851,107.078,107.322,107.951,107.869,108.166,108.48,108.71,109.424,109.548,109.687,109.701,109.586,110.219,110.353,110.27,110.276,110.174,110.401,111.256,111.249,111.112,111.542,111.639,112.149,112.22,112.457,112.544,112.986,112.874,113.006,113.09,113.257,113.619,113.879,114.12,114.419,114.42,114.402,114.376,115.086,115.765,116.323,116.545,116.909,117.461,117.736,118.089,118.578,118.905,119.408,119.527,120.416,120.786,121.159,122.456,122.723
"64","56","    Clothing and clothing accessories stores","PK4483",105.537,105.42,105.356,105.931,106.326,106.077,105.865,104.895,105.102,104.794,104.764,104.897,104.633,103.857,103.346,103.128,103.468,103.24,103.303,104.424,103.066,102.892,103.04,102.196,101.76,101.302,100.964,101.976,102.019,101.916,101.602,101.316,101.445,101.646,101.384,101.336,100.751,100.504,100.462,100.329,99.992,99.601,99.39,99.345,99.988,100.009,99.901,99.802,100.135,100.026,100.176,99.189,98.376,98.668,98.441,97.711,97.202,97.489,97.022,96.755,96.492,96.314,97.002,96.766,96.331,95.772,95.166,95.827,95.542,95.174,95.077,94.79,94.278,94.05,93.378,93.18,92.875,93.221,93.448,93.275,93.205,93.316,93.017,92.635,92.711,92.825,93.025,93.208,93.489,93.592,93.533,92.855,92.493,92.891,93.112,92.458,92.534,92.574,92.769,92.2,92.098,91.674,91.475,92,91.907,91.588,91.85,91.215,91.371,90.668,91.145,91.814,91.894,92.161,91.456,92.207,92.6,92.152,92.004,92.093,92.423,92.983,92.06,91.801,91.501,91.316,91.482,90.939,91.106,91.234,91.654,91.783,92.116,91.908,90.825,91.388,91.084
"65","57","    General merchandise stores","PK4523",100.931,101.044,100.984,101.32,101.446,101.268,101.244,100.77,100.84,100.745,100.801,100.71,100.852,100.666,100.499,100.617,100.708,100.445,100.561,100.959,100.456,100.46,100.392,100.279,100.371,100.04,99.755,100.348,100.307,100.306,100.213,100.053,100.273,100.325,100.104,100.054,99.865,99.768,100.005,100.106,100.074,99.945,100.061,99.961,100.182,99.992,100.023,100.004,100.114,100.213,100.08,100.008,99.677,99.778,99.826,99.507,99.543,99.512,99.463,99.079,99.032,99.032,99.093,99.288,98.831,98.596,98.419,98.546,98.38,98.021,97.999,97.725,97.44,97.328,97.028,97.059,96.514,96.576,96.593,96.275,96.092,96.117,96.045,95.923,95.949,96.085,96.058,96.012,96.06,95.976,95.741,95.4,95.286,95.888,95.76,95.202,95.306,95.232,95.202,95.187,95.218,94.8,94.642,94.528,94.461,94.359,94.446,94.218,94.095,93.833,93.887,93.88,93.827,93.709,93.445,93.533,93.529,93.373,93.049,92.963,92.928,93.188,92.958,92.758,92.556,92.488,92.227,91.915,91.822,92.02,91.903,91.709,92.016,91.813,91.603,91.874,91.73
"66","58","      Department stores","PK45213",103.524,103.548,103.477,103.939,104.108,103.867,103.736,103.1,103.166,102.945,103.049,102.931,102.989,102.707,102.492,102.529,102.588,102.225,102.323,102.838,102.101,102.049,101.941,101.533,101.486,101.102,100.822,101.449,101.397,101.416,101.138,100.923,101.045,101.133,100.811,100.728,100.41,100.131,100.287,100.311,100.138,99.888,99.932,99.798,99.961,99.792,99.731,99.638,99.703,99.737,99.506,99.242,98.601,98.655,98.553,98.086,98.081,98.051,97.97,97.544,97.4,97.312,97.343,97.391,96.972,96.648,96.302,96.494,96.164,95.824,95.687,95.254,94.895,94.652,94.232,94.26,93.69,93.745,93.795,93.409,93.217,93.219,93.056,92.758,92.81,92.912,92.849,92.777,92.769,92.691,92.376,91.921,91.791,92.453,92.358,91.623,91.813,91.812,91.812,91.568,91.59,91.125,90.839,90.808,90.632,90.482,90.59,90.284,90.102,89.729,89.885,89.994,89.92,89.78,89.373,89.545,89.582,89.361,88.954,88.888,88.772,88.995,88.554,88.32,87.988,87.786,87.498,87.077,86.922,87.1,87.039,86.842,87.088,86.671,86.154,86.282,86.121
"67","59","      Other general merchandise stores","PK45293",96.795,97.076,97.037,97.14,97.185,97.124,97.299,97.121,97.198,97.336,97.303,97.26,97.558,97.538,97.456,97.711,97.855,97.761,97.9,98.104,97.986,98.083,98.082,98.443,98.755,98.504,98.207,98.749,98.725,98.693,98.881,98.805,99.172,99.169,99.097,99.09,99.086,99.25,99.602,99.812,99.981,100.019,100.232,100.175,100.476,100.259,100.413,100.491,100.651,100.834,100.822,100.99,101.031,101.189,101.41,101.264,101.347,101.314,101.299,100.959,101.019,101.112,101.206,101.557,101.06,100.914,100.908,100.973,100.969,100.591,100.683,100.562,100.345,100.356,100.164,100.199,99.673,99.742,99.73,99.471,99.295,99.341,99.35,99.377,99.383,99.547,99.551,99.527,99.622,99.532,99.361,99.112,99.009,99.567,99.413,98.992,99.027,98.895,98.84,99.002,99.041,98.654,98.589,98.412,98.423,98.355,98.428,98.253,98.17,97.984,97.966,97.878,97.839,97.734,97.565,97.596,97.564,97.451,97.177,97.077,97.095,97.384,97.289,97.108,96.986,97.003,96.755,96.507,96.451,96.665,96.511,96.314,96.667,96.588,96.554,96.915,96.778
"68","60","    Other retail stores","PK44X3",96.659,96.809,96.304,95.581,94.513,94.204,94.082,94.935,95.308,95.161,94.738,94.547,93.623,92.788,91.746,91.474,91.911,91.975,91.967,91.351,91.118,91.311,90.828,90.648,90.645,90.056,90.279,93.204,93.092,92.947,93.901,94.876,95.9,95.944,95.64,96.71,97.13,98.627,100.688,99.425,99.11,101.212,101.045,99.533,101.285,100.784,100.771,100.334,100.519,100.186,99.287,100.224,101.821,101.398,98.999,98.058,100.096,97.298,94.772,93.214,93.573,93.191,95.04,97.178,96.687,96.663,96.814,97.089,97.236,97.74,97.496,97.266,98.742,101.251,102.634,99.855,97.263,97.049,97.503,98.747,99.902,98.663,97.704,98.082,99.762,100.76,101.545,101.39,103.643,104.177,103.31,102.956,103.005,105.888,105.407,104.268,104.503,105.252,105.464,106.437,104.629,104.591,107.027,109.441,114.447,113.405,109.585,108.965,110.207,109.527,109.059,110.775,111.392,111.525,113.15,113.725,110.324,107.278,107.33,109.541,108.853,108.707,110.319,110.895,112.093,111.936,111.936,111.254,111.733,112.28,115.077,115.857,116.753,116.105,116.967,116.658,118.05
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
