"","Table 7#2#5U# Motor Vehicle Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167"
"51","43","AB69RC B     Exports","AB69RC0",1180,1284,1260,1220,1452,1392,1312,1500,1496,1596,1608,1600,1248,1712,1556,1148,1716,1948,1972,1588,1776,1932,2092,2336,2620,2612,2620,3000,3392,3496,3792,4232,4340,4944,5536,5520,5060,5268,5324,5692,5891,5716,5593,5475,5755,6667,6697,7776,8028,8541,8419,9545,8249,7411,7044,8270,8173,8221,8658,7300,6026,6804,6131,5611,5789,6695,7339,7982,7989,7622,8209,8514,8927,9272,10281,10319,10374,11629,10195,10258,10745,12099,10783,13855,13456,13690,15224,14921,18649,14179,14515,15908,16050,15382,13275,12255,17007,16263,17886,16529,17451,18713,20262,21146,19441,19882,18470,21898,22331,22305,23860,22285,24960,22806,24180,23633,25050,23726,26185,25809,25390,26344,28016,28010,28750,25966,23210,25609,24882,25630,24813,25833,27585,27005,25069,24842,22865,25585,26793,26300,26204,28155,30554,30749,32616,31194,31589,33989,32271,34954,39019,39906,42644,42478,44211,46547,47728,46912,52163,49526,52425,58465,64744,67147
"52","44","B142RC B       Autos","B142RC0",776,840,820,860,1080,960,884,1004,1052,972,1036,1036,668,1132,944,604,1108,1300,1292,1036,1128,1256,1404,1504,1720,1768,1784,2028,2172,2236,2332,2596,2512,2636,3068,3328,3168,3204,3244,3452,3799,3836,3497,3379,3435,3891,4077,4448,4840,5157,5174,5856,5319,4436,3916,4955,4732,4794,5341,3961,3120,3976,3950,3117,3933,4665,5041,5484,5490,5222,5456,5691,6302,6226,6903,6721,7117,7290,6627,6430,6575,7705,6497,8471,8302,8537,9746,9376,9959,9164,8431,10078,9778,10193,9412,7870,10816,10732,12392,11003,10896,11043,12179,12046,10854,11450,10248,11805,12130,12168,12424,11409,12730,11585,11868,12198,12955,11718,13174,12645,12076,12694,12667,12287,12866,11675,11149,12550,11838,12150,11308,12008,12667,12640,11861,11772,11264,13052,14467,13915,13515,14904,15947,15221,16806,14770,15338,16198,15083,16325,16494,17969,19849,19498,20229,22083,22878,22446,25389,24949,26571,29621,34356,36303
"53","45","B706RC B       Trucks","B706RC0",404,444,440,360,372,432,428,496,444,624,572,564,580,580,612,544,608,648,680,552,648,676,688,832,900,844,836,972,1220,1260,1460,1636,1828,2308,2468,2192,1892,2064,2080,2240,2092,1880,2096,2096,2320,2776,2620,3328,3188,3384,3245,3689,2930,2975,3128,3315,3441,3427,3317,3339,2906,2828,2181,2494,1856,2030,2298,2498,2499,2400,2753,2823,2625,3046,3378,3598,3257,4339,3568,3828,4170,4394,4286,5384,5154,5153,5478,5545,8690,5015,6084,5830,6272,5189,3863,4385,6191,5531,5494,5526,6555,7670,8083,9100,8587,8432,8222,10093,10201,10137,11436,10876,12230,11221,12312,11435,12095,12008,13011,13164,13314,13650,15349,15723,15884,14291,12061,13059,13044,13480,13505,13825,14918,14365,13208,13070,11601,12533,12326,12385,12689,13251,14607,15528,15810,16424,16251,17791,17188,18629,22525,21937,22795,22980,23982,24464,24850,24466,26774,24577,25854,28844,30388,30844
"54","46","AB70RC B     Imports","AB70RC0",1784,1928,2004,2296,2708,3108,3472,3812,3156,4192,4424,4500,4224,4480,4464,4548,5300,5648,6532,6224,6576,6764,6520,7552,7572,7920,7648,8092,8576,8908,9132,8424,7568,7628,8928,9624,10884,11304,10800,11048,11552,12550,13818,15225,15858,17767,17487,18519,17757,19072,18391,19620,20984,19904,21523,22058,21428,22774,22424,24424,25506,26632,26626,23530,26714,29669,29236,34173,37233,38854,39290,40294,40977,44232,46648,50263,50536,55740,59459,56843,57326,60140,57394,59806,57558,56322,56413,59310,59743,56238,50718,52401,54137,57551,55965,57085,55469,51724,57546,57191,58186,56902,56033,59286,63296,63299,61765,65212,63560,71936,74986,80541,80830,79370,73426,72326,75960,79869,82812,78525,87540,87923,89249,85968,90743,92126,89753,103196,111172,114113,119124,120861,128350,126702,128864,127441,126435,125770,126976,124361,128110,132279,136771,136402,131047,137056,130174,138729,139346,145703,145199,142738,139677,141670,146413,156484,159417,159318,157289,163544,155682,149516,163221,160157
"55","47","B143RC B       Autos","B143RC0",1512,1592,1680,2024,2256,2684,3000,3244,2528,3524,3688,3684,3540,3804,3668,3828,4564,4840,5656,5304,5620,5576,5356,6344,6352,6564,6364,6824,7316,7540,7556,6816,6276,6408,7676,8180,8924,9172,8656,9036,9256,10070,11270,12009,12551,13624,13850,14581,13721,14957,15130,15706,17074,16038,17284,17513,16996,18160,17344,18791,19708,20757,21531,19167,21878,23632,23377,26870,29833,30217,30956,31554,31420,33900,36253,37923,38067,42367,45157,44153,42396,44490,42876,44154,41559,40282,40787,42311,42927,40413,37637,36715,37108,38850,37839,38127,36612,33823,38038,35783,35158,35522,35683,37018,40273,40643,40696,42412,38822,43325,44723,48575,51112,50650,46605,45317,45359,45202,46392,44440,50670,51073,51778,49790,51723,52943,50197,57501,61206,62258,65558,65398,68569,68966,70153,69968,70145,68182,67586,65761,68798,74263,74749,72812,68465,70815,68985,74029,70447,69978,75191,71225,67534,66930,69725,74033,73459,73827,79053,82103,72863,72537,81718,79110
"56","48","B707RC B       Trucks","B707RC0",272,336,324,272,452,424,472,568,628,668,736,816,684,676,796,720,736,808,876,920,956,1188,1164,1208,1220,1356,1284,1268,1260,1368,1576,1608,1292,1220,1252,1444,1960,2132,2144,2012,2296,2480,2548,3216,3307,4143,3637,3938,4036,4115,3261,3914,3910,3866,4239,4545,4432,4614,5080,5633,5798,5875,5095,4363,4836,6037,5859,7303,7400,8637,8334,8740,9557,10332,10395,12340,12469,13373,14302,12690,14930,15650,14518,15652,15999,16040,15626,16999,16816,15825,13081,15686,17029,18701,18126,18958,18857,17901,19508,21408,23028,21380,20350,22268,23023,22656,21069,22800,24738,28611,30263,31966,29718,28720,26821,27009,30601,34667,36420,34085,36870,36850,37471,36178,39020,39183,39556,45695,49966,51855,53566,55463,59781,57736,58711,57473,56290,57588,59390,58600,59312,58016,62022,63590,62582,66241,61189,64700,68899,75725,70008,71513,72143,74740,76688,82451,85958,85491,78236,81441,82819,76979,81503,81047
"57","49","AB65RC B Change in private inventories","AB65RC0",-1106,-1564,-1333,634,1413,3507,145,1961,425,-1060,2767,-347,-1276,1179,432,-4259,6343,1816,-634,-270,2434,538,-4749,693,2584,208,85,2455,1329,-432,3514,7421,-5140,-690,481,-1877,1872,4281,-178,1894,1622,1729,5605,4402,3459,-160,-112,5278,8761,5901,-6709,-6518,-8042,-1435,-5034,6342,-4679,10194,-3847,5513,-11054,6222,7881,-14628,3394,-5380,2964,9551,9142,-3696,2389,14933,-1318,5322,-2518,18274,9288,6284,-11436,4825,25859,6908,-11705,15125,-11048,5309,3424,9241,17267,4786,-12157,6223,-15993,4830,5472,-6994,-15184,-909,6332,3502,-4312,1943,1042,3681,15356,-2882,-5617,1215,617,4505,7499,8770,8500,12615,-5661,3329,-14996,13664,10694,-11415,-2274,6054,5863,9380,16832,-8887,-7545,-467,19329,-1766,4099,24926,5313,24593,9827,2406,-25958,5082,4610,-38067,11742,16182,1277,23298,14563,12067,-1534,11328,15214,8788,9649,-15739,-4989,-15630,-8336,15955,8883,991,-5592,-16958,-14809,-9560,13278,-25778
"58","50","A145RC B   Autos","A145RC0",-1418,-1524,-684,610,1361,2758,-44,1732,372,-625,2232,-710,-1249,1113,397,-3816,5306,1396,-767,421,2273,89,-4258,168,2884,-261,-483,2756,303,125,3252,4834,-5249,-267,1387,-534,1969,3310,-631,2252,1646,1499,2163,3356,4643,1312,-1226,2786,3597,3219,-4056,-2191,-5737,1479,-980,5090,-4129,10401,-1855,3920,-9787,3514,6942,-11072,3876,-5454,3512,7127,6493,-4854,-627,10633,1491,3682,-3331,16085,5524,4569,-6041,5042,20454,6729,-10433,11764,-10794,5940,4203,5319,11614,3510,-8519,4009,-8016,1174,3045,-5037,-5478,-404,5798,1295,-8260,3095,2843,1109,8307,538,-3172,1588,-2667,1034,698,5432,6547,7972,-9246,1004,-11093,7478,5717,-8330,-2778,6055,4867,494,6470,-2779,5068,2268,7138,-4404,-4282,11287,27,8766,9482,-1896,-8107,1475,1812,-11246,16091,7398,-4650,11314,-4491,4011,364,337,-431,1527,3165,-9400,1102,-7472,-7641,7498,6061,-2640,-3340,6221,-5097,-11560,3161,-11615
"59","51","B146RC B     New","B146RC0",-1160,-1576,-464,1040,992,2584,184,1280,872,-968,2056,-880,-1532,1160,16,-2724,4665,1448,-822,340,2678,197,-3727,327,2677,-504,-554,2768,527,620,3013,5494,-5587,-54,1146,-1161,1582,3348,-472,1922,1762,315,2062,3274,4890,923,-922,2908,3391,3429,-4484,-2172,-4643,2471,-492,5695,-5039,11070,-2254,4136,-9920,3360,7119,-11509,3403,-6342,3589,6637,5709,-5331,-609,9682,1318,2379,-6084,17311,5355,2637,-9035,5364,20407,5749,-11879,11329,-12745,6467,714,4531,11806,981,-12593,6439,-9471,2288,2918,-3968,-4766,-2230,5405,615,-6025,3071,3338,-68,10359,-1973,-3505,-1208,-1492,-288,642,3215,6088,5613,-8588,-1055,-13922,5310,4150,-10203,-1239,4660,1023,-595,3372,-10865,10222,5395,4535,-1844,-2696,4685,-1375,2376,2348,1449,-11211,-3874,1696,-12776,14889,8935,-2002,9422,-3716,6060,-683,-1553,-505,-556,2176,-8180,3236,-5457,-6431,6803,5947,1862,242,8375,-2587,-7809,6234,-6201
"60","52","AB71RC B       Domestic","AB71RC0",-1236,-1248,64,936,812,2456,136,884,1136,-1516,1792,-760,-1752,1060,-60,-2700,4317,1188,-1546,-624,2162,-51,-3691,647,3120,-85,-385,3153,-922,-1345,1648,5492,-4179,1319,1490,-2162,466,1132,-324,1614,2106,2451,2312,1616,2013,-1326,-1622,1837,5347,6268,-4457,-2826,-3553,244,-1800,5872,-4393,11072,-932,3051,-10650,1146,7709,-9323,4889,-4212,3754,7255,4284,-3933,-1331,7783,802,1373,-6367,15774,5571,117,-11571,3625,17438,968,-12966,10785,-11488,5157,539,3525,10160,3053,-12637,8280,-11306,3063,3400,-5823,-6346,-1189,4665,137,-5739,3747,3142,988,7062,-1304,-1254,-1288,1752,1927,1170,3045,7935,2201,-3906,-1415,-7184,4416,4535,-9887,-1892,4265,1621,-845,1793,-11769,11466,2718,4203,-3189,-2839,1544,-2317,2456,1926,668,-12940,-3392,-231,-12122,14092,8074,201,4017,-1681,4476,220,-1714,-864,452,-166,-2424,-875,-4143,-4943,7649,3827,1070,778,3613,-82,-3322,2553,-8116
"61","53","AB72RC B       Foreign","AB72RC0",76,-328,-528,104,180,128,48,396,-264,548,264,-120,220,100,76,-24,348,260,724,964,516,248,-36,-320,-443,-419,-169,-385,1449,1966,1365,1,-1409,-1373,-344,1001,1116,2216,-148,308,-344,-2136,-249,1659,2877,2249,700,1070,-1956,-2840,-27,654,-1090,2227,1309,-177,-647,-2,-1323,1085,730,2214,-590,-2186,-1486,-2130,-165,-618,1425,-1398,722,1899,516,1006,283,1537,-216,2520,2536,1739,2969,4781,1087,544,-1257,1310,175,1006,1646,-2072,44,-1841,1835,-775,-482,1855,1580,-1041,740,478,-286,-676,196,-1056,3297,-669,-2251,80,-3243,-2216,-528,170,-1847,3412,-4682,360,-6738,894,-384,-315,652,395,-598,250,1578,904,-1244,2677,332,1346,144,3141,941,-79,422,780,1730,-482,1927,-653,798,861,-2203,5405,-2035,1584,-903,162,359,-1007,2342,-5756,4111,-1313,-1488,-846,2120,791,-536,4762,-2504,-4487,3681,1915
"62","54","B147RC B     Used","B147RC0",-258,52,-220,-430,369,174,-228,452,-500,343,176,170,283,-47,381,-1092,641,-52,55,81,-405,-108,-531,-159,207,243,71,-12,-224,-495,239,-660,338,-213,241,627,387,-38,-159,330,-116,1184,101,82,-247,389,-304,-122,206,-210,428,-19,-1094,-992,-488,-605,910,-669,399,-216,133,154,-177,437,473,888,-77,490,784,477,-18,951,173,1303,2753,-1226,169,1932,2994,-322,47,980,1446,435,1951,-527,3489,788,-192,2529,4074,-2430,1455,-1114,127,-1069,-712,1826,393,680,-2235,24,-495,1177,-2052,2511,333,2796,-1175,1322,56,2217,459,2359,-658,2059,2829,2168,1567,1873,-1539,1395,3844,1089,3098,8086,-5154,-3127,2603,-2560,-1586,6602,1402,6390,7134,-3345,3104,5349,116,1530,1202,-1537,-2648,1892,-775,-2049,1047,1890,74,2083,989,-1220,-2134,-2015,-1210,695,114,-4502,-3582,-2154,-2510,-3751,-3073,-5414
"63","55","B709RC B   Trucks","B709RC0",312,-40,-649,24,52,749,189,229,53,-435,535,363,-27,66,35,-443,1037,420,133,-691,161,449,-491,525,-300,469,568,-301,1026,-557,262,2587,109,-423,-906,-1343,-97,971,453,-358,-24,230,3442,1046,-1184,-1472,1114,2492,5164,2682,-2653,-4327,-2305,-2914,-4054,1252,-550,-207,-1992,1593,-1267,2708,939,-3556,-482,74,-548,2424,2649,1158,3016,4300,-2809,1640,813,2189,3764,1715,-5395,-217,5405,179,-1272,3361,-254,-631,-779,3922,5653,1276,-3638,2214,-7977,3656,2427,-1957,-9706,-505,534,2207,3948,-1152,-1801,2572,7049,-3420,-2445,-373,3284,3471,6801,3338,1953,4643,3585,2325,-3903,6186,4977,-3085,504,-1,996,8886,10362,-6108,-12613,-2735,12191,2638,8381,13639,5286,15827,345,4302,-17851,3607,2798,-26821,-4349,8784,5927,11984,19054,8056,-1898,10991,15645,7261,6484,-6339,-6091,-8158,-695,8457,2822,3631,-2252,-23179,-9712,2000,10117,-14163
"64","56","W244RC B     New","W244RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300,469,568,-301,1026,-557,262,2587,109,-423,-906,-1343,-97,971,453,-358,-24,230,3442,1046,-1184,-1472,1114,2492,5164,2682,-2653,-4327,-2305,-2914,-4054,1252,-550,-207,-1992,1593,-1267,2708,939,-3556,-639,-93,-675,2327,2621,1114,2951,4175,-3057,1389,544,2068,4058,2169,-4834,199,5466,-64,-1721,2843,-565,-870,-936,3822,5603,1250,-3716,2108,-8308,3370,2215,-2053,-9622,-359,693,2355,3939,-1292,-2087,2151,6599,-4047,-3181,-1329,2247,2405,5852,2476,1776,4610,3507,1986,-5536,4365,3197,-4606,3665,2045,1726,5635,6395,-12710,-8121,4787,10182,6591,8319,8431,3919,11614,-3539,6046,-19992,-217,2945,-27776,-5380,10070,8157,10345,19792,11645,-2892,7317,15380,6758,4066,-4990,-2052,-7749,-511,9684,1559,6559,1915,-21077,-10351,3654,8982,-12979
"65","57","AB73RC B       Domestic","AB73RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-590,845,565,-618,1225,-496,168,2597,206,-395,-852,-1377,-207,812,367,-300,15,355,3512,934,-1400,-1571,985,2411,5450,2827,-2724,-4471,-2159,-3183,-4130,1193,-413,-185,-1890,1529,-1906,2252,1543,-2821,-497,39,340,1854,3070,630,3327,3090,-2337,1136,929,1156,3352,907,-5379,240,4380,-187,-47,2966,-409,-1271,-108,3523,5274,1822,-3135,1571,-6323,3775,2145,-2949,-10133,609,1869,1821,3298,-766,-1653,1763,7192,-3545,-2426,-1118,2159,2752,5418,1527,1184,4161,4147,3482,-5624,4240,3654,-5344,2473,1933,2325,4232,6083,-13631,-6431,4722,9100,7046,9307,6319,4101,9858,-2168,2700,-18458,628,3022,-28104,-5329,9981,6706,6117,18336,10930,-1351,7731,13466,5577,3538,-1084,-3037,-7717,-1142,8689,-651,7425,-1273,-19639,-10055,5517,5928,-9854
"66","58","AB74RC B       Foreign","AB74RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,-376,3,317,-199,-61,94,-10,-97,-28,-54,34,110,159,86,-58,-39,-125,-70,112,216,99,129,81,-286,-145,71,144,-146,269,76,59,-137,-22,-102,64,639,456,-604,-735,-142,-132,-1015,473,-449,484,-376,1085,-720,253,-385,912,706,1262,545,-41,1086,123,-1674,-123,-156,401,-828,299,329,-572,-581,537,-1985,-405,70,896,511,-968,-1176,534,640,-526,-434,388,-593,-501,-755,-211,88,-347,434,949,592,449,-640,-1496,88,126,-456,738,1192,111,-600,1402,311,921,-1690,65,1082,-455,-987,2112,-182,1756,-1371,3346,-1533,-845,-78,327,-51,89,1451,4228,1456,715,-1542,-414,1914,1181,528,-3906,985,-32,631,995,2210,-866,3188,-1438,-296,-1864,3054,-3125
"67","59","W245RC B     Used \1\","W245RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,167,127,97,28,44,65,125,248,251,269,121,-294,-454,-561,-416,-61,243,449,518,311,239,157,100,50,26,78,106,331,286,212,96,-84,-146,-159,-148,9,140,286,421,450,627,736,956,1037,1066,949,862,177,33,78,339,1633,1821,1780,1521,-3161,-2046,-730,3251,3967,6602,-4492,-7522,2009,-3953,62,5208,1367,4213,3884,-1744,2140,3825,-147,955,1030,-1286,-2230,1639,-738,-3590,994,3674,265,503,2418,-1349,-4039,-409,-184,-1227,1263,-2928,-4167,-2102,639,-1653,1135,-1184
"68",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","61","AB75RC B   Final sales of motor vehicles to domestic purchasers","AB75RC0",34441,37319,37173,36424,41759,42593,45453,45875,46907,46498,47139,46477,42566,43607,43568,35091,48926,50889,52900,55748,57018,59197,59791,64432,70414,69103,67285,62855,59608,61023,65666,57107,56672,57275,66158,70319,78535,80703,84428,86967,98073,99546,100201,104879,103523,119566,117028,120262,120976,112620,118154,111815,112436,89850,102457,105244,116732,110597,120402,105521,117724,115754,116704,125358,125742,144527,155008,171277,179429,187590,185033,191768,204470,209011,230529,208711,210581,224097,253917,231951,207469,227268,245985,225813,245269,241191,236114,246597,244294,248817,256222,232012,252739,239285,239704,228564,218212,214431,227157,223344,233515,240243,242407,256605,252114,275819,274511,293808,310498,309082,317682,332807,320464,319177,326964,336314,338860,344690,350857,357820,373155,360221,380959,388473,373022,401514,402572,449883,429887,455091,466236,454134,483008,449325,449184,443055,453096,444114,440060,497337,463814,466321,492083,470108,456197,470536,485443,473352,479973,485823,502195,517645,511584,529487,547001,496222,523659,519875,531827,525033,518190,504470,500951,501316
"70","62","AB76RC B   Private fixed investment in new autos and new light trucks","AB76RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53201,57751,61553,58973,64323,64587,65539,66324,60236,65157,63322,57371,63267,63069,67526,66807,66885,69666,74103,71256,71144,76008,74162,80242,77753,90264,84419,93374,104979,104499,108735,116627,111339,108481,114540,116314,121474,128862,136927,137815,143441,140577,144946,147077,142775,154442,138998,159617,159847,160931,169965,168918,173781,162620,161661,151761,157131,151770,145681,142292,134247,144144,147103,142882,133182,129426,140224,140219,136143,142278,154898,159244,152019,158064,172928,168354,182193,170215,174282,173454,172022,168758,179733,172440
"71","63","B148RC B   Domestic output of new autos \2\","B148RC0",22327,25081,25325,25326,29974,31552,30846,31455,32051,28659,31883,28130,24371,28503,27373,15921,36073,32701,30633,33282,35671,34747,32031,38866,44642,40573,38576,36241,30174,31557,37281,34145,26580,32256,38870,38409,46321,46351,44570,49223,54734,54597,54962,54975,54267,60997,58165,62619,66489,61311,56051,52840,53951,43272,48143,58110,57775,62503,61236,49168,41539,54811,60331,49272,62382,64324,76001,84441,88183,81996,83574,93388,93014,92536,99007,95405,96190,95974,100345,95620,100402,91639,86676,96153,88364,100614,96230,104353,106762,101181,89810,92127,87217,95599,98713,84487,83470,83759,94001,89377,85888,94138,95149,97973,97566,100211,91737,107145,117261,112691,113380,119190,114704,109245,106737,110045,106783,118780,118400,104159,110191,109995,111816,109744,105076,99943,110405,114748,110042,108522,109554,111028,116065,113061,110317,102563,98934,102524,100114,101255,106592,105158,104136,98416,93514,91233,91881,89512,87972,87321,88528,92045,97657,96681,98784,106595,108083,102531,101812,100807,98383,96276,101260,101592
"72","64","B149RC B   Sales of imported new autos \3\","B149RC0",2271,2733,3015,3064,3444,3686,4153,4432,4277,4878,5196,5900,5657,5793,5387,6352,6561,7032,7634,6939,7184,7620,8184,8877,9007,9381,8655,9154,9406,8069,9459,8719,10218,9783,10959,10495,10340,10975,11869,12513,13655,16031,14915,15026,14800,16561,16954,17135,18505,19406,19269,19962,23127,18792,21795,23487,24654,24252,24773,25249,27487,26599,28470,31121,29690,32696,32559,37596,37110,38746,37557,40103,39948,43560,48906,46630,47709,51708,57675,59427,48123,52114,57628,54887,60021,58960,56360,55258,52387,54947,56375,50874,56654,54441,53978,52699,45145,49682,51117,47342,50273,52088,50186,52573,50020,55512,57515,55095,53321,57656,58032,58676,54824,55077,55578,58531,55037,54409,55962,55898,59935,56617,61682,62621,63639,69032,65079,72438,72856,77034,78418,84785,86056,84167,82660,82573,80665,82395,79585,87133,86343,86878,89886,87907,86631,84676,85748,81511,84652,88914,84879,90650,85038,89579,94204,93892,94628,98974,101437,102901,101221,104514,101618,102646
"73","65","GAP89  D     Imports from Canada","GAP890",689,943,1173,1141,1189,1499,1599,1894,1899,1980,2507,2727,2472,2578,2092,2050,2720,2637,2858,2835,2936,3087,2955,3358,3383,3408,3221,3139,3333,2951,3524,3604,2877,3121,3736,3598,3780,4371,4141,4041,4681,4985,4260,4310,4106,4742,4674,4540,4383,3451,3593,3498,3606,3336,3647,4891,3401,4659,4465,4667,4896,6738,7523,4896,6899,7447,7185,8186,8494,8073,8829,8277,7802,8662,11248,9329,9180,10132,10083,10601,8620,6837,6396,9332,11159,11913,9522,8700,10552,10196,10795,12111,11910,12364,13415,11094,10115,13400,14834,12091,10748,12871,12902,14268,15251,14980,18411,15033,13383,16146,14928,17385,17086,15543,17333,18130,15877,17761,18601,15862,19044,18295,19428,17268,20820,19882,22419,24606,23712,21129,22390,22798,22398,19832,17674,16924,14072,14888,13847,13497,16636,17785,18544,18762,17024,20351,19221,17130,17593,20091,18418,16518,15015,13419,14996,14910,13705,13228,15015,12639,14539,18623,16466,13617
"74","66","GAP108 D       Sales","GAP1080",727,990,1170,1099,1157,1384,1592,1842,1833,2081,2372,2797,2638,2487,2096,2368,2409,2545,2995,2885,2767,3091,3279,3304,3155,3415,3252,2875,3431,3074,3374,3042,3322,2996,3595,3799,3743,4267,4170,3910,4504,4766,4084,4185,3956,4844,4803,4407,4029,3088,3887,3694,3851,3317,3784,4397,3665,3833,4534,4382,6099,6604,6617,5789,6383,7914,6840,7505,8095,8447,8964,7606,7736,8537,11939,7832,8662,10120,11202,10219,7159,6765,7336,8313,12538,11332,9470,8410,9570,9899,12247,11062,13384,11987,12985,11801,10863,13578,14145,12073,11436,12391,12501,14132,14229,15161,18634,15201,13191,15890,14783,16983,15995,15255,17908,18337,16844,17167,17949,17258,19339,17655,19175,17389,20505,21913,20413,24108,22942,21667,22888,22527,22784,19459,17406,16829,15649,15360,13905,15039,14705,16586,18512,18089,17305,19493,19181,17428,17746,20001,18449,16910,15142,13952,15683,13943,13271,13103,14910,12231,14550,19213,16074,14692
"75","67","GAP110 D       Inventory change","GAP1100",-38,-47,3,42,32,115,7,52,66,-101,135,-69,-165,91,-4,-318,312,92,-137,-50,169,-4,-325,53,228,-7,-31,265,-98,-123,151,563,-446,126,141,-201,38,104,-29,131,177,219,177,124,150,-102,-129,133,355,362,-294,-196,-245,19,-137,494,-264,826,-69,285,-1203,134,907,-893,516,-467,345,681,399,-374,-135,671,66,125,-691,1497,518,12,-1119,382,1461,72,-940,1019,-1379,581,52,290,982,297,-1452,1049,-1474,377,430,-707,-748,-178,689,18,-688,480,401,136,1022,-180,-222,-168,192,257,144,402,1091,289,-575,-207,-967,594,652,-1397,-295,640,253,-121,315,-2031,2006,498,770,-538,-499,271,-386,373,268,96,-1577,-471,-58,-1542,1931,1199,32,672,-281,858,40,-298,-154,91,-30,-393,-126,-533,-688,968,434,125,104,408,-11,-590,392,-1075
"76","68","GAP126 D     Imports from Mexico","GAP1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,133,135,206,435,208,334,543,236,1349,1412,1452,1478,1476,1437,1471,1117,1679,1182,637,953,1659,2412,2742,2090,2107,2592,2674,2249,2992,3327,2249,1684,3025,2471,3486,2738,3568,3862,4943,3629,3756,3771,6300,6491,5517,3778,3327,3421,4639,4492,4537,4009,5733,5325,6277,6563,6627,5977,7069,7895,9558,10245,9819,9123,8596,9481,8988,10953,10938,9358,9336,7225,8399,7765,6953,7108,7238,7951,8600,8200,10205,10813,14969,18298,15373,16100,18297,15384,12982,17173,15983
