"","Table 2#3#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"46","35","P1TRNG D Transportation","P1TRNG3",22.044,22.279,22.364,22.582,22.43,22.376,22.474,22.486,22.485,22.413,22.763,22.737,22.758,22.938,22.949,23.011,22.966,22.929,23.075,23.112,23.172,23.118,23.143,23.215,23.399,23.438,23.422,23.44,23.418,23.509,23.713,23.901,23.854,24.06,24.378,24.624,24.757,24.858,25.066,25.288,25.522,25.851,25.955,26.146,26.342,26.638,26.867,27.511,27.97,28.092,28.227,28.185,28.346,28.415,28.706,28.748,28.952,29.389,29.61,30.353,31.876,33.375,34.401,34.932,35.417,36.094,37.194,37.998,38.476,38.782,39.419,40.245,40.865,41.324,41.718,42.656,43.291,43.606,44.195,45.574,45.818,49.592,52.668,54.537,58.018,59.766,60.69,62.78,65.819,66.463,66.093,66.706,66.777,65.871,67.761,67.844,67.025,66.708,69.302,68.675,68.575,69.682,69.608,69.573,70.459,70.661,71.316,70.664,70.354,67.605,67.298,67.61,69.587,70.617,72.082,72.446,72.01,72.4,73.566,73.907,75.122,77.67,76.768,76.518,78.164,78.165,79.872,83.502,81.57,80.829,81.49,81.999,82.115,82.736,83.287,84.443,85.266,85.306,85.548,86.728,86.878,87.166,88.89,89.857,90.271,91.018,90.993,91.038,92.198,93.503,93.378,94.546,94.962,93.639,93.886,94.288,92.715,91.703,92.083,92.026,91.657,93.764,95.537,96.669,98.592,99.9,100.577,100.931,100.787,101.951,100.028,97.385,96.626,98.863,99.382,99.963,102.553,101.052,101.961,100.799,102.951,105.474,105.187
"47","36","P1USEG D   User-operated transportation","P1USEG3",22.563,22.801,22.88,23.104,22.916,22.849,22.939,22.935,22.912,22.81,23.179,23.129,23.124,23.297,23.301,23.379,23.34,23.298,23.469,23.507,23.545,23.484,23.505,23.57,23.768,23.804,23.78,23.795,23.764,23.856,24.039,24.218,24.164,24.371,24.702,24.959,25.08,25.163,25.377,25.587,25.808,26.106,26.188,26.371,26.466,26.778,26.983,27.621,28.093,28.169,28.243,28.19,28.344,28.422,28.729,28.748,28.964,29.419,29.628,30.392,32.022,33.601,34.674,35.189,35.655,36.325,37.451,38.251,38.713,38.98,39.614,40.474,41.104,41.54,41.923,42.905,43.533,43.874,44.487,45.992,46.266,50.311,53.501,55.116,58.603,60.296,60.943,62.942,65.933,66.552,65.945,66.618,66.747,65.701,67.663,67.869,67.146,66.526,69.099,68.358,68.083,69.316,69.477,69.331,70.187,70.439,71.148,70.511,70.348,67.411,67.185,67.403,69.451,70.562,71.937,72.2,71.688,72.031,73.196,73.516,74.552,77.298,76.446,76.194,77.783,77.628,79.449,83.242,81.283,80.558,81.154,81.681,81.59,82.437,83.26,84.046,84.741,84.848,85.054,86.331,86.552,86.927,88.837,90.068,90.533,90.987,90.835,90.952,92.547,93.768,93.586,94.593,95.131,93.62,93.823,94.089,92.428,91.423,91.784,91.833,91.414,93.594,95.495,96.644,98.631,99.911,100.585,100.873,100.892,102.271,100.411,97.713,97.027,99.345,100.003,100.655,103.394,101.625,102.462,101.162,103.469,106.217,106.077
"48","37","P1PLTG C   Purchased local transportation","P1PLTG3",12.999,13.186,13.254,13.324,13.433,13.408,13.529,13.622,13.809,13.972,14.116,14.294,14.438,14.606,14.806,14.853,14.896,15.02,15.055,15.139,15.413,15.466,15.532,15.681,15.736,15.833,15.904,15.933,16.025,16.178,16.864,17.278,17.323,17.628,17.87,18.021,18.301,18.665,18.735,19.393,19.667,19.909,20.138,20.32,21.966,22.238,22.725,23.245,23.434,23.972,24.726,24.823,25.311,25.327,25.37,25.654,25.599,25.662,25.793,25.907,26.196,26.473,26.967,27.202,27.863,28.089,29.004,30.215,30.796,31.177,31.363,31.749,32.223,32.789,33.177,33.417,33.877,34.017,34.537,35.081,35.397,36.14,37.093,38.527,39.689,41.388,44.47,45.349,46.908,48.027,52.922,54.219,54.978,55.334,55.922,56.494,56.883,57.155,57.51,57.867,59.894,60.178,60.6,60.731,61.21,61.512,62.516,63.038,65.109,65.581,66.313,66.595,67.849,68.376,68.567,69.152,70.318,70.739,71.654,71.959,72.356,72.703,73.371,73.379,75.65,76.151,77.46,78.747,80.237,80.647,81.311,81.707,84.369,84.468,85.053,85.526,86.359,86.992,87.314,87.548,87.847,88.023,88.076,88.506,88.962,89.862,90.301,91.798,95.661,99.561,100.443,100.738,100.777,101.299,101.435,101.725,100.713,100.658,99.881,98.249,98.385,98.58,98.449,99.004,99,99.418,100.352,101.229,101.911,102.459,103.569,104.054,104.487,105.398,105.549,105.714,106.324,112.321,115.858,116.591,118.143,119.359,119.823
"49","38","P1PITG C   Purchased intercity transportation","P1PITG3",19.844,19.984,20.259,20.546,20.794,21.068,21.298,21.538,21.709,21.927,22.105,22.273,22.722,23.055,22.883,22.481,22.128,21.898,21.53,21.449,21.711,21.686,21.757,21.852,21.857,21.897,21.956,22.014,22.067,22.05,22.094,22.195,22.208,22.258,22.372,22.458,22.674,22.859,23.072,23.109,23.541,24.536,24.92,25.263,26.021,26.041,26.464,27.26,27.656,28.299,29.09,29.154,29.191,29.14,29.292,29.597,29.779,30.112,30.591,31.332,31.811,32.789,33.363,34.306,34.95,36.044,36.784,37.339,37.991,38.89,39.822,40.354,40.874,41.631,42.197,42.801,43.627,43.613,43.829,43.585,43.326,44.544,46.951,52.723,57.154,59.679,63.52,67.499,71.99,72.873,74.1,73.431,72.241,73.075,74.357,72.216,69.337,73.686,77.565,78.508,80.613,79.866,75.521,77.341,78.904,78.18,77.684,76.318,72.56,71.868,69.785,71.725,72.766,72.66,76.002,77.98,78.286,79.449,80.719,81.413,85.935,85.836,83.577,83.293,85.66,88.151,88.054,89.827,87.155,85.802,87.517,87.811,90.473,87.475,83.54,91.12,94.168,92.819,93.659,93.463,92.326,91.143,90.306,87.113,86.694,92.192,94.118,92.548,86.018,87.923,88.408,92.292,90.931,92.072,93.034,95.67,95.389,94.024,95.031,93.626,93.98,95.368,95.475,96.501,97.838,99.859,100.506,101.797,98.632,96.235,92.339,89.853,87.323,88.419,86.372,85.722,86.019,87.629,89.25,90.251,89.629,88.394,85.307
"50","39","P1RCRG D Recreation","P1RCRG3",41.838,42.053,42.38,42.626,42.794,42.916,43.081,43.207,43.344,43.419,43.531,43.615,43.749,43.753,43.858,43.971,44.029,44.325,44.664,44.891,44.915,44.999,45.122,45.202,45.293,45.31,45.272,45.243,45.411,45.581,45.734,45.984,46.169,46.371,46.642,47.182,47.737,48.151,48.673,49.173,49.57,50.078,50.514,50.842,51.156,51.432,51.909,52.637,53.215,53.74,54.093,54.258,54.566,54.807,55.046,55.304,55.585,55.969,56.268,56.744,57.393,58.404,59.851,61.142,62.254,63.573,64.063,64.872,65.434,66.084,66.566,67.271,67.77,68.385,69.066,69.547,70.524,71.501,72.284,73.336,74.4,75.578,76.478,77.508,79.036,80.889,82.282,83.576,85.072,86.218,87.045,88.194,89.286,90.151,90.975,91.598,91.989,92.323,92.223,92.956,93.122,93.596,93.954,94.359,94.969,95.189,95.234,95.392,95.726,95.874,95.976,96.233,97.119,97.464,97.488,98.188,98.716,99.444,99.839,100.8,101.624,101.834,102.363,102.981,103.999,104.589,105.314,105.806,106.8,107.59,107.663,107.978,107.89,108.498,108.433,108.505,108.55,108.605,108.574,109.062,109.136,109.221,109.393,109.256,109.328,109.277,108.848,108.606,108.56,108.154,107.851,107.546,106.947,106.047,105.667,105.158,104.8,104.086,102.982,102.153,101.683,101.418,100.601,100.09,100.04,100.18,100.085,99.695,99.146,98.87,98.477,98.152,97.784,97.55,97.035,96.674,96.507,95.967,95.505,95.263,95.399,95.458,95.005
"51","40","P1TEDG C Education and research","P1TEDG3",11.785,11.417,11.356,11.481,11.597,11.709,11.823,11.944,11.934,11.92,12.042,12.094,12.167,12.31,12.33,12.411,12.474,12.54,12.649,12.768,12.8,12.869,12.963,13.049,13.17,13.336,13.411,13.545,13.661,13.884,14.072,14.231,14.329,14.5,14.586,14.738,14.927,15.078,15.309,15.525,15.735,15.986,16.267,16.517,16.815,17.048,17.336,17.635,17.805,17.996,18.243,18.424,18.672,18.811,19.199,19.453,19.164,19.899,21.514,21.234,21.998,23.174,23.759,23.614,23.884,24.575,26.342,25.904,26.032,26.622,27.796,27.592,28.058,28.589,29.318,29.079,29.385,30.17,30.968,31.175,32.08,33.001,33.818,34.839,35.788,36.702,37.597,38.888,39.84,40.723,41.699,42.805,43.479,43.876,44.687,45.363,45.869,46.434,47.306,47.956,48.693,49.318,49.859,50.421,50.925,51.599,52.14,53.026,53.497,53.825,54.291,55.076,55.614,56.364,57.361,58.129,58.94,59.771,60.591,61.424,62.274,63.137,63.777,64.485,65.277,66.037,67.123,68.138,68.986,69.654,70.537,71.677,72.461,73.234,73.902,74.746,75.553,76.202,76.826,77.653,78.32,79.124,80.031,80.905,81.539,82.326,82.957,83.524,84.51,85.452,86.241,87.521,88.08,88.543,89.29,90.169,90.94,91.72,92.591,93.487,94.209,95.159,96.057,97.29,98.268,99.389,100.623,101.721,102.94,104.292,105.407,106.296,107.625,109.256,110.548,111.709,113.18,114.35,116.407,117.894,119.526,121.287,122.907
"52","41","P1RAWG C Religious and welfare activities","P1RAWG3",17.889,16.885,16.702,16.872,17.04,17.253,17.402,17.486,17.467,17.418,17.424,17.409,17.44,17.573,17.625,17.688,17.732,17.798,17.907,17.93,17.95,17.916,17.967,18.063,18.243,18.328,18.373,18.5,18.596,18.746,18.86,19.028,19.077,19.215,19.335,19.49,19.738,19.915,20.094,20.431,20.798,21.177,21.473,21.733,21.88,21.981,22.102,22.426,22.743,23.137,23.433,23.647,23.901,24.046,24.42,24.812,24.9,25.442,26.002,26.894,28.019,29.47,30.045,30.864,31.751,31.889,32.558,33.021,34.118,33.853,33.734,34.726,35.944,35.74,36.602,37.376,38.106,38.301,39.121,40.266,41.413,41.56,43.27,44.749,46.615,48.059,48.666,50.232,51.617,52.271,52.839,53.938,54.587,54.638,55.53,56.097,56.227,56.663,57.315,57.881,58.446,58.947,59.291,59.527,59.563,60.211,60.444,61.03,61.565,61.607,62.12,62.92,63.353,63.793,64.599,65.611,66.551,67.334,68.195,69.202,69.89,70.556,71.104,71.649,72.041,72.766,73.359,74.338,74.84,75.445,76.01,76.459,77.136,77.636,78.052,78.684,79.062,79.539,79.99,80.589,81.001,81.535,82.272,82.832,83.593,84.301,84.776,85.342,85.957,86.661,87.333,88.159,88.877,89.46,90.118,90.9,91.522,92.184,92.877,93.474,93.882,94.752,95.751,96.829,98.324,99.496,100.552,101.629,101.959,102.718,103.279,103.615,104.487,105.518,106.574,107.193,108.15,108.65,109.291,109.887,110.701,111.783,112.576
"53","42","P1FTOG D Foreign travel and other, net","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","  the Survey of Current Business monthly (none shown monthly)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  of Current Business monthly (NIPA table 2.3.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","  Business annually (NIPA table 2.4.4 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
