"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"64","56","      Less: Own-account investment \4\","W144RG3",16.27,16.514,16.801,17.014,17.284,17.562,17.839,18.087,18.419,18.711,18.967,19.118,19.439,19.657,19.936,20.129,20.415,20.761,21.1,21.555,22.241,22.953,23.707,24.334,24.843,25.324,25.72,26.063,26.422,26.8,27.167,27.562,28.001,28.51,29.056,29.571,30.105,30.684,31.15,31.548,32.259,32.944,33.873,34.403,35.338,36.248,37.138,38.034,39.119,39.916,40.471,41.145,41.806,42.456,43.082,43.748,44.384,45.02,45.657,46.192,46.875,47.442,47.95,48.448,48.991,49.428,49.823,50.165,50.352,50.524,50.837,51.278,51.807,52.281,52.844,53.318,53.905,54.653,55.289,56.042,56.837,57.626,58.253,58.911,59.638,60.184,60.872,61.634,62.168,62.548,63.079,63.619,64.146,64.775,65.28,65.74,66.081,66.521,66.818,67.179,67.685,68.098,68.679,69.341,70.085,70.751,71.142,71.368,71.681,71.792,72.006,72.327,72.675,72.894,73.166,73.469,73.623,73.883,74.194,74.563,75.006,75.741,76.423,77.127,77.952,78.526,79.172,79.815,80.397,80.885,81.219,81.293,81.495,81.913,82.34,82.836,83.609,83.846,84.407,85.001,85.903,86.726,87.475,88.251,88.96,89.541,90.189,90.894,91.483,92.152,92.778,93.283,94.25,94.904,95.702,96.582,97.843,98.859,99.962,99.983,99.583,99.844,100.147,100.426,100.976,101.621,102.122,102.633,103.172,103.875,104.392,104.698,105.54,105.842,106.115,106.446,106.65,106.516,106.693,106.801,106.97
"65","57","      Less: Sales to other sectors","W145RG3",10.05,10.238,10.406,10.598,10.784,10.92,11.081,11.225,11.314,11.461,11.577,11.717,11.85,11.959,12.153,12.285,12.436,12.736,13.227,13.266,13.646,14.03,14.448,14.717,14.923,15.245,15.869,15.989,16.139,16.446,16.797,16.865,17.2,17.619,17.97,18.097,18.464,18.89,19.282,19.723,20.221,20.591,20.987,21.494,22.126,22.625,23.387,24.097,24.753,25.224,25.98,26.757,27.381,27.964,28.616,29.232,29.783,30.238,30.781,31.408,32.046,32.548,33.052,33.544,34.049,34.462,34.817,35.267,35.779,36.247,36.778,37.355,37.771,38.392,38.917,39.438,40.179,40.977,41.748,42.492,43.434,44.266,45.15,46,46.86,47.723,48.801,49.701,50.681,51.475,52.353,53.306,54.167,55.033,55.846,56.764,57.512,58.153,58.681,59.174,59.688,60.224,60.864,61.396,62.084,62.612,63.039,63.614,63.984,64.398,64.814,65.223,65.562,65.982,66.188,66.347,66.678,67.018,67.237,67.701,68.322,68.655,68.975,69.521,70.251,70.543,71.206,71.707,72.303,72.611,73.116,73.583,74.129,74.714,75.56,76.431,77.489,78.3,79.222,80.28,81.284,82.276,83.026,83.865,84.74,85.496,86.214,87.216,88.037,88.943,89.948,90.796,91.84,92.629,93.404,94.821,95.851,96.746,97.723,98.443,99.017,99.539,100.215,101.229,102.047,102.844,103.351,103.84,104.766,105.517,106.417,107.125,107.776,108.488,109.245,109.9,110.838,111.024,111.526,112.122,112.737
"66","58","        Tuition and related educational charges","B1065G3",5.65,5.749,5.851,5.931,6.04,6.125,6.253,6.397,6.457,6.532,6.651,6.743,6.841,6.893,7.021,7.083,6.98,7.134,7.866,7.391,7.588,8.054,8.306,7.957,8.001,8.306,9.248,8.751,8.778,9.062,9.585,9.204,9.345,9.701,10.128,9.868,9.925,10.166,10.355,10.477,10.683,10.963,11.186,11.279,11.558,11.838,12.213,12.617,12.947,13.271,13.685,14.218,14.705,15.13,15.526,15.978,16.333,16.718,17.095,17.472,17.934,18.407,18.823,19.266,19.665,20.046,20.444,20.92,21.295,21.68,22.044,22.473,22.892,23.356,23.684,23.979,24.496,24.994,25.466,25.853,26.401,26.901,27.376,27.893,28.381,28.935,29.665,30.114,30.918,31.622,32.601,33.65,34.306,35.169,35.9,36.773,37.738,38.406,39.025,39.672,40.361,41.038,41.669,42.229,42.889,43.472,44.103,44.701,45.334,45.951,46.524,47.076,47.704,48.27,48.822,49.262,49.85,50.384,50.768,51.155,51.783,52.355,52.772,53.19,53.729,54.498,55.009,55.547,56.179,56.993,57.927,58.85,59.795,60.872,61.965,63.015,64.191,65.422,67.482,69.131,70.746,72.087,73.559,75.087,76.384,77.845,78.944,80.087,81.478,82.84,84.263,85.665,86.929,88.129,89.216,90.896,92.33,93.709,94.937,96.35,97.741,99.137,100.812,102.312,103.478,104.94,105.906,106.494,108.216,109.544,111.384,112.777,114.109,115.347,116.436,117.481,119.287,120.579,121.131,122.177,123.622
"67","59","        Health and hospital charges","B1066G3",7.97,8.122,8.263,8.442,8.643,8.82,8.943,9.032,9.067,9.155,9.252,9.354,9.486,9.571,9.755,9.846,9.964,10.148,10.299,10.497,10.762,11.018,11.348,11.732,11.994,12.253,12.621,13.004,13.273,13.54,13.827,14.068,14.399,14.746,14.965,15.176,15.573,15.865,16.275,16.754,17.23,17.516,17.91,18.498,19.226,19.723,20.429,21.211,21.954,22.373,23.204,24.175,24.996,25.512,26.36,27.088,27.922,28.373,29.088,29.764,30.344,30.882,31.384,31.939,32.479,33.017,33.364,33.725,34.312,34.828,35.332,35.926,36.406,37.06,37.676,38.313,39.173,40.212,41.152,42.126,43.293,44.377,45.585,46.71,47.659,48.802,50.167,51.449,52.607,53.6,54.647,55.765,57.026,58.125,59.142,60.261,61.091,61.705,62.4,62.869,63.376,63.952,64.69,65.147,65.83,66.16,66.424,67.04,67.403,67.729,68.038,68.38,68.502,68.869,68.921,68.856,69.082,69.436,69.592,69.86,70.333,70.57,70.873,71.222,71.627,72.052,73.039,73.44,73.881,74.523,75.059,75.483,75.966,76.648,77.741,78.945,80.004,80.971,81.739,82.785,83.897,84.757,85.362,85.975,86.828,87.463,88.2,89.33,90.118,91.058,91.999,92.634,93.372,93.996,94.589,95.93,96.388,96.971,97.544,97.997,98.832,99.497,100.231,101.44,102.123,102.671,103.034,103.271,103.824,104.534,105.095,105.687,106.135,106.844,107.628,108.075,109.065,108.731,109.239,109.897,110.156
"68","60","        Other sales \5\","W146RG3",17.438,17.768,18.041,18.372,18.625,18.774,19.019,19.23,19.419,19.72,19.855,20.095,20.259,20.465,20.732,21,21.504,22.137,22.805,23.237,23.984,24.404,25.11,25.955,26.24,26.621,27.163,27.574,27.627,27.965,28.141,28.458,28.989,29.534,29.958,30.406,31.044,31.867,32.407,33.104,33.912,34.481,35.013,35.79,36.553,37.229,38.428,39.238,39.994,40.646,41.508,42.024,42.274,43.058,43.484,43.942,44.054,44.501,44.787,45.498,46.339,46.706,47.222,47.564,48.04,48.194,48.457,48.961,49.424,49.833,50.523,51.156,51.406,52.066,52.587,53.098,53.797,54.433,55.166,55.838,56.744,57.446,58.166,58.859,59.88,60.554,61.451,62.153,62.949,63.46,63.901,64.422,64.802,65.241,65.755,66.338,66.704,67.321,67.48,67.843,68.183,68.502,68.968,69.566,70.256,71.02,71.508,71.977,72.128,72.49,72.92,73.301,73.707,74.079,74.221,74.472,74.742,74.901,75.074,75.861,76.664,76.938,77.198,78.096,79.396,79.137,79.464,80.064,80.841,80.305,80.445,80.636,80.976,81.077,81.414,81.724,82.703,83.03,83.392,84.076,84.55,85.486,85.959,86.644,87.284,87.754,88.222,88.989,89.511,90.112,90.946,91.716,92.996,93.737,94.54,95.887,97.375,98.367,99.718,100.364,100.081,99.85,99.813,100.256,101.025,101.727,102.13,102.894,103.815,104.251,105.006,105.429,105.914,106.287,106.786,107.474,107.767,107.945,108.406,108.618,109.181
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures, software, and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
