"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"45","37","    Durable goods","B697RG3",30.537,32.172,33.074,32.7,32.682,32.67,33.567,34.649,35.103,34.832,35.562,36.471,38.558,39.367,39.437,40.396,39.35,42.474,44.805,46.348,48.276,50.024,53.396,56.586,57.609,58.435,56.266,58.696,59.667,60.379,61.374,58.762,59.149,62.784,61.979,65.778,67.852,67.215,69.568,71.467,72.57,74.018,73.381,74.002,74.873,74.95,77.925,79.922,78.87,78.084,77.278,79.64,78.272,78.089,76.723,75.075,76.052,77.211,76.755,75.585,76.224,78.047,76.905,77.038,75.515,75.565,76.026,77.967,80.784,82.991,85.639,86.018,88.264,89.684,90.215,92.458,94.657,96.782,95.419,97.601,98.636,98.105,97.816,99.015,100.826,101.438,101.015,102.557,103.515,102.198,101.975,103.282,104.602,104.687,105.731,105.974,105.758,106.297,106.804,106.986,107.084,107.036,107.186,107.29,107.776,108.588,108.926,108.634,108.965,108.58,108.269,107.96,107.141,106.227,105.771,105.137,104.309,103.415,102.56,102.676,102.598,101.932,101.731,101.687,101.281,101.188,100.825,100.5,100.799,100.07,99.614,98.846,98.75,98.235,97.944,97.607,97.558,97.333,97.294,97.192,96.997,97.229,96.822,97.23,97.689,97.42,97.087,96.979,97.43,97.559,98.162,98.567,98.724,98.56,99.065,99.48,99.864,101.386,101.667,100.911,99.875,99.923,100.021,100.181,99.694,99.538,98.206,97.623,98.528,99.787,100.483,100.66,100.856,100.53,100.046,100.227,99.709,99.365,98.727,98.517,98.361
"46","38","    Nondurable goods","B698RG3",17.717,16.876,18.01,18.621,19.088,19.703,19.025,20.238,20.61,21.059,21.887,22.107,21.874,23.532,22.162,22.155,24.263,26.451,27.587,28.655,31.245,33.687,37.039,37.288,45.726,44.903,45.961,46.252,44.628,43.098,43.472,45.293,44.858,46.083,48.286,49.421,49.26,51.754,49.479,53.806,51.468,53.284,54.011,54.359,58.398,60.722,65.639,61.814,62.716,63.364,63.233,63.839,63.576,63.792,63.101,62.74,62.231,62.099,62.483,63.311,64.125,65.173,65.546,66.452,64.473,65.103,65.708,66.383,67.61,68.393,69.738,69.824,72.509,75.012,76.185,78.387,80.299,81.146,81.034,82.034,82.627,83.631,83.834,84.458,84.82,86.247,86.725,87.185,86.891,86.138,86.042,87.075,88.635,88.723,90.165,91.15,89.406,90.277,90.313,90.49,90.133,90.551,91.131,91.574,91.667,92.589,92.664,92.862,93.167,93.193,93.114,92.934,92.751,93.035,92.98,93.065,93.077,92.903,92.888,93.098,93.161,92.693,92.702,92.896,92.697,92.39,92.335,92.084,92.11,92.074,92.046,91.902,91.728,91.406,91.787,91.883,91.883,92.034,92.078,92.289,93.454,93.283,93.25,93.491,94.803,95.005,95.147,95.034,95.083,94.758,95.145,95.316,96.189,96.3,96.917,97.347,98.782,99.782,100.07,99.925,100.501,99.991,99.682,99.825,100.616,101.147,101.756,101.8,102.397,102.976,104.219,105.92,106.108,106.555,106.405,106.954,107.51,107.733,107.593,107.793,109.157
"47","39","  Other","B653RG3",20.396,20.483,20.518,21.447,21.747,21.85,22.535,22.832,23.009,23,23.126,23.295,24.166,24.838,25.286,25.751,26.561,28.767,29.815,31.308,32.014,34.711,37.742,40.344,42.113,41.965,40.305,39.985,40.195,40.979,42.011,42.462,43.903,45.18,45.864,46.219,47.8,49.384,50.286,51.469,53.461,54.309,54.291,56.794,59.128,59.93,61.576,62.325,62.996,63.121,62.037,62.871,62.52,62.17,61.371,61.099,61.154,61.122,61.089,60.825,60.971,61.492,60.817,60.536,58.894,59.139,58.998,60.374,61.41,61.497,62.362,62.981,64.525,66.141,66.777,68.588,70.192,71.801,71.487,72.895,73.734,73.791,72.978,73.196,73.93,73.9,74.602,76.01,76.486,75.794,75.146,75.8,76.394,76.444,77.374,77.69,77.171,77.871,78.173,78.551,78.693,79.276,80.256,81.217,81.913,83.08,83.453,83.404,83.243,83.173,82.89,82.898,82.894,82.476,82.468,82.394,82.241,82.461,81.903,81.999,81.907,81.695,81.949,82.262,82.468,83.229,83.59,83.686,84.236,83.247,82.33,81.826,81.639,81.905,82.286,82.472,83.34,83.594,83.958,84.194,84.962,86.173,86.803,87.5,88.254,88.84,89.503,91.047,90.805,91.045,91.913,91.957,91.651,92.235,93.291,95.358,98.032,102.463,104.303,104.16,100.662,99.277,99.411,100.65,101.745,102.665,102.835,103.543,105.207,106.675,107.667,107.569,107.791,108.219,108,108.675,109.042,108.632,107.619,107.857,109.255
"48","40","Imports of services \1\","B656RG3",17.568,17.666,17.871,17.946,18.093,18.368,18.509,18.615,19.468,19.875,20.202,20.704,20.56,20.795,21.169,21.721,22.272,23.858,25.178,26.141,27.64,28.726,29.348,30.174,30.547,31.112,31.508,32.117,32.236,32.322,32.924,33.463,34.058,34.688,35.348,36.158,36.661,37.584,38.979,39.768,40.671,42.117,44.04,45.95,48.622,49.477,50.983,51.434,51.713,52.03,52.329,53.149,53.379,52.647,51.744,51.601,51.483,51.447,51.523,51.488,51.707,51.677,50.04,48.984,48.379,49.649,51.262,52.87,55.095,55.73,56.478,56.741,55.847,56.444,57.221,57.719,59.193,59.809,59.506,59.794,59.138,58.996,59.053,59.851,61.329,62.23,64.192,67.033,67.065,65.364,65.604,66.055,66.736,67.304,69.227,68.216,68.085,68.789,68.292,68.614,68.732,68.904,70.452,71.048,70.171,72.415,72.698,72.564,72.993,73.434,73.975,74.621,74.182,74.248,73.492,73.095,71.415,72.114,72.287,73.445,73.553,74.717,75.434,75.544,75.662,75.165,75.401,75.214,75.659,75.278,75.581,75.186,75.547,76.95,78.276,78.117,79.633,82.62,83.282,83.315,84.675,85.509,86.629,87.626,88.522,89.45,90.318,89.911,91.516,92.487,93.195,93.615,94.213,95.746,97.278,98.671,100.04,103.087,104.494,101.286,99.179,98.954,100.023,101.843,102.159,102.33,102.707,104.201,105.15,106.304,106.127,105.27,105.679,105.823,105.74,106.336,106.309,106.165,106.033,107.052,107.477
"49","41","  Direct defense expenditures","B752RG3",8.181,8.18,8.313,8.311,8.308,8.442,8.514,8.523,9.343,9.574,9.718,9.84,9.951,9.823,9.968,9.982,10.668,12.063,12.998,12.204,12.339,13.688,14.479,15.291,15.852,16.115,15.705,15.99,16.786,16.349,17.419,18.343,18.934,19.121,20.208,20.528,21.622,21.976,23.686,24.259,25.472,25.212,27.281,28.822,30.451,31.21,33.347,32.71,32.116,31.683,31.706,32.612,32.354,32.433,32.166,31.621,31.669,31.051,30.859,30.455,30.547,30.841,29.615,28.973,27.73,29.129,31.016,32.608,34.371,34.449,35.766,36.336,38.792,40.309,42.444,43.275,45.394,46.835,45.248,46.902,45.704,45.185,45.28,46.746,49.471,50.818,55.215,60.529,57.144,52.685,52.806,55.002,54.385,54.252,60.184,56.794,54.008,56.103,55.437,54.713,52.769,55.457,59.056,59.372,59.246,64.345,63.655,63.984,62.147,61.712,63.254,63.093,59.084,58.061,56.066,56.499,52.77,54.298,56.203,59.857,59.02,58.103,58.856,58.705,56.11,54.25,53.717,53.971,56.155,54.421,55.972,55.919,55.034,56.946,60.608,61.182,66.144,70.506,70.254,73.307,77.13,75.372,77.291,81.949,85.91,82.398,83.375,81.781,82.608,86.834,88.887,89.596,91.646,95.157,98.271,102.36,105.213,108.901,106.332,93.701,93.134,97.829,102.802,106.235,101.712,95.558,94.89,99.723,101.552,106.269,104.957,101.365,100.058,98.242,96.789,100.754,102.363,103.056,102.848,106.601,107.69
"50","42","  Travel","B768RG3",21.46,21.46,21.515,21.46,21.592,21.971,22.079,22.187,23.12,23.718,24.262,25.568,25.499,25.499,25.499,26.476,27.545,28.909,30.273,33.382,34.744,35.856,36.134,37.524,38.299,39.409,40.797,41.907,40.291,40.291,40.291,40.291,41.239,42.353,42.353,44.085,45.501,46.334,47.33,47.94,50.15,52.937,54.327,55.776,57.645,58.202,59.324,60.497,60.72,61.219,61.763,62.314,61.225,57.416,53.219,52.989,52.17,52.439,52.543,52.648,53.166,52.498,48.93,46.281,46.439,47.567,49.344,51.33,53.337,54.983,55.993,56.157,53.258,52.491,52.17,52.425,54.786,55.802,56.589,57.061,56.347,56.432,56.642,57.035,57.816,58.668,59.697,60.825,62.425,60.727,61.652,62.701,64.474,65.229,67.19,65.439,65.748,66.431,65.394,66.458,67.627,66.905,69.266,70.513,67.168,70.841,71.103,70.12,70.579,71.426,72.535,72.962,72.282,72.678,71.491,70.185,67.845,68.838,68.313,70.054,70.308,70.178,70.256,70.933,70.937,69.654,69.31,67.817,67.94,67.479,67.986,67.864,68.4,70.179,71.994,71.375,72.411,77.269,76.596,76.577,78.452,80.446,81.984,83.638,84.384,87.835,88.498,85.915,87.783,89.412,91.084,91.927,92.847,96.353,98.539,101.728,103.692,107.694,105.756,99.929,98.08,99.659,100.785,101.581,101.663,101.307,101.671,103.176,104.115,105.489,105.089,103.701,104.178,103.991,103.981,105.062,105.44,105.806,105.478,106.079,106.376
"51","43","  Passenger fares","B769RG3",20.388,20.397,20.406,20.414,19.828,20.238,20.653,21.07,21.714,21.976,22.235,22.49,23.231,23.153,23.073,22.983,21.048,22.153,23.284,24.448,26.489,27.098,27.68,28.205,28.951,29.273,29.594,29.918,29.975,30.484,30.994,31.501,33.388,32.972,32.559,32.148,30.295,30.842,31.383,31.92,31.293,32.601,33.916,35.24,37.346,38.155,38.956,39.749,41.205,41.545,41.889,42.239,43.066,43.101,43.133,43.16,43.606,43.343,43.084,42.831,42.72,42.361,41.997,41.634,40.152,40.534,40.916,41.297,41.992,42.16,42.328,42.497,42.088,42.642,43.194,43.744,45.168,45.132,44.213,44.619,44.78,44.38,44.204,44.722,45.755,47.427,49.909,52.129,54.814,54.265,53.894,54.682,55.002,55.77,57.401,55.418,54.921,55.422,55.346,54.814,54.95,54.728,55.604,56.349,57.506,58.59,58.177,58.999,59.186,58.677,58.447,59.992,61.271,62.814,63.107,63.344,63.457,63.018,63.161,64.092,64.365,65.376,65.874,66.257,67.42,68.67,68.6,72.249,74.726,75.241,76.248,76.512,77.526,78.983,81.834,79.719,80.671,81.909,82.414,79.603,78.469,79.183,80.149,81.414,82.567,82.538,83.159,84.229,85.928,86.939,87.973,89.996,92.189,93.239,96.329,94.63,98.207,106.93,114.28,113.309,105.085,95.646,94.776,104.493,107.62,113.911,114.565,118.195,118.525,120.055,123.721,125.155,129.929,129.425,128.652,131.241,132.887,132.431,129.999,139.818,140.818
"52","44","  Other transportation","B770RG3",15.254,15.647,15.971,16.308,16.961,17.086,17.174,17.279,17.193,17.424,17.642,17.835,16.655,17.927,19.151,20.302,20.536,22.02,23.432,24.827,28.126,28.259,28.39,28.466,27.79,28.21,28.645,29.105,29.595,30.011,30.356,30.678,30.332,31.112,31.915,32.706,32.442,33.908,35.351,36.772,36.831,39.152,41.436,43.729,48.395,49.16,49.89,50.583,51.098,51.946,52.794,53.565,55.293,55.469,55.631,55.708,55.39,55.689,55.987,56.254,56.009,56.544,57.042,57.527,56.342,57.981,59.566,61.13,67.222,66.133,64.829,63.543,59.938,60.727,61.532,61.744,62.024,62.184,62.196,62.364,63.188,63.712,63.596,64.262,65.387,64.489,65.86,71.008,68.623,67.487,67.729,66.87,65.666,66.923,67.977,68.382,67.885,68.253,67.749,67.53,66.912,67.619,68.6,68.622,69.281,70.938,71.198,71.453,72.418,72.897,72.541,73.091,72.537,71.252,70.602,70.321,68.46,69.758,70.415,70.746,70.46,76.703,82.558,83.834,83.92,84.035,85.381,86.231,85.662,84.924,83.555,80.316,79.099,79.406,80.786,81.946,83.272,90.113,94.411,95.187,98.834,100.081,100.496,102.143,102.552,104.12,106.225,106.917,106.236,103.898,100.8,99.716,99.673,99.69,99.788,100.647,101.984,106.831,112.848,111.504,103.486,98.328,97.645,100.541,103.047,106.553,109.647,110.966,112.267,115.221,113.65,110.581,110.206,112.48,113.03,112.804,112.445,111.403,111.419,111.41,112.9
"53","45","  Royalties and license fees","B908RG3",18.15,18.367,18.619,18.835,19.099,19.397,19.557,19.781,20.152,20.47,20.725,20.948,21.15,21.321,21.523,21.82,22.18,22.599,23.001,23.447,24.041,24.671,25.463,26.086,26.638,27.06,27.566,28.066,28.469,28.812,29.264,29.811,30.403,30.988,31.503,32.105,32.609,33.401,34.039,34.751,35.482,36.337,37.316,38.224,39.297,40.185,41.126,42.23,43.357,44.192,44.929,45.864,46.464,46.843,47.415,47.956,48.369,48.987,49.564,49.917,50.594,51.15,51.565,51.993,52.471,52.946,53.337,53.916,54.247,54.427,54.928,55.347,55.932,56.428,56.942,57.459,57.905,58.56,59.215,59.85,60.577,61.33,61.798,62.357,63.219,63.882,64.681,65.619,66.168,66.535,67.005,67.492,68.047,68.553,68.941,69.37,69.906,70.305,70.552,70.937,71.349,71.741,72.277,72.649,73.17,73.609,73.952,74.322,74.823,75.132,75.578,76.023,76.454,76.627,76.816,77.065,77.103,77.231,77.443,77.669,77.948,78.356,78.718,79.148,79.881,80.318,80.756,81.186,81.706,82.179,82.389,82.494,82.727,83.258,83.621,84.141,84.957,85.011,85.495,85.934,86.792,87.566,88.264,89.094,89.897,90.599,91.707,92.638,93.278,94.091,94.758,94.987,96.03,96.786,97.267,98.163,99.179,100.268,101.293,100.151,99.567,99.629,100.083,100.681,101.1,101.261,101.601,102.205,103.063,103.964,104.556,104.786,105.444,105.634,106.031,106.45,106.775,106.838,107.334,107.766,108.137
"54","46","  Other private services","B909RG3",32.131,32.581,33.057,33.462,34.014,34.524,34.785,35.193,35.789,36.36,36.84,37.307,37.702,37.847,38.073,38.29,38.507,38.865,39.179,39.504,39.99,40.701,41.623,42.356,43.038,43.458,44.028,44.607,45.08,45.721,46.213,46.799,47.425,48.396,48.949,49.734,50.162,50.996,51.651,51.019,50.989,51.668,52.411,54.675,55.577,56.706,58.086,59.066,59.901,60.581,59.532,60.327,60.807,61.492,62.926,63.588,64.073,64.696,65.175,65.477,65.84,65.754,64.971,65.259,65.86,66.501,67.151,67.94,66.371,68.132,70.01,71.954,73.276,75.39,76.765,77.54,77.29,76.643,75.181,73.023,70.51,69.436,69.346,70.509,72.749,74.725,76.355,77.599,79.248,78.494,77.628,76.702,78.561,78.329,78.663,79.356,80.737,81.019,81.179,81.711,81.601,81.692,82.021,82.164,82.082,82.503,83.568,83.502,84.343,85.027,85.563,86.475,86.673,86.868,86.3,86.256,85.169,85.318,85.453,85.711,86,86.486,85.021,83.5,83.904,83.403,84.062,82.883,83.041,82.773,83.144,83.486,84.74,86.439,86.357,86.057,87.27,87.477,87.837,87.133,86.88,87.455,88.501,87.506,87.506,87.832,88.235,88.479,91.303,92.413,93.721,94.174,94.075,94.947,96.278,97.131,97.581,98.926,100.191,98.595,98.572,99.329,100.612,101.488,101.772,101.483,101.255,102.16,102.989,103.077,102.845,102.613,102.786,102.854,102.747,102.706,102.116,101.915,102.007,102.116,102.195
"55","47","  Other","B910RG3",18.951,19.052,19.199,19.279,19.472,19.798,19.931,20.098,20.704,21.133,21.504,22.186,22.262,22.352,22.46,23.02,23.65,24.423,25.188,26.64,27.509,28.309,28.885,29.784,30.413,31.09,31.921,32.638,32.273,32.473,32.726,33.036,33.755,34.536,34.84,35.869,36.72,37.501,38.251,38.887,40.16,41.736,42.84,43.932,45.286,46.053,47.053,48.171,48.966,49.647,50.263,50.98,50.864,49.562,48.063,48.297,48.247,48.735,49.093,49.301,49.818,49.785,48.407,47.395,47.705,48.489,49.538,50.759,51.868,52.693,53.372,53.629,52.735,52.635,52.724,53.089,54.406,55.195,55.881,56.421,56.533,56.987,57.33,57.797,58.592,59.308,60.17,61.143,62.063,61.611,62.257,62.966,63.971,64.557,65.579,65.099,65.511,66,65.725,66.373,67.09,66.996,68.279,68.969,67.799,69.764,70.088,69.926,70.557,71.062,71.615,71.988,71.903,72.157,71.656,71.303,70.005,70.651,70.568,71.475,71.518,72.645,73.478,74.016,74.841,74.783,75.094,74.771,74.621,74.441,74.272,73.532,73.943,74.774,75.487,75.627,77.023,79.506,80.232,80.468,82.523,83.815,84.712,85.971,89.919,91.546,92.844,92.43,93.672,94.602,95.162,94.814,96.051,97.942,99.105,100.837,102.583,105.067,105.761,101.641,99.353,99.135,100.149,101.363,100.7,101.139,101.845,103.049,104.377,105.973,105.972,105.051,105.713,106.117,106.299,106.896,107.176,106.998,107.337,107.928,108.159
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RG3",44.339,44.158,44.803,46.427,46.803,47.863,46.837,46.603,48.607,48.301,47.248,48.306,48.924,48.898,48.863,49.653,50.246,51.779,52.947,54.996,58.086,59.762,63.889,66.586,69.566,71.549,72.164,73.297,74.726,76.099,76.286,78.661,78.658,79.036,80.52,81.541,81.93,83.884,84.936,88.698,90.628,94.675,95.953,96.544,99.771,102.796,105.994,109.533,112.075,113.179,114.583,115.938,116.699,116.994,116.689,116.217,115.565,115.195,114.673,114.574,115.105,114.961,113.901,112.531,110.937,110.087,108.966,108.057,107.69,107.321,107.411,107.681,106.896,107.107,107.639,108.709,110.068,111.012,111.579,111.831,112.23,112.163,111.947,111.218,110.131,110.247,110.727,110.597,111.361,111.34,110.341,109.902,109.923,109.343,108.943,108.57,108.672,108.848,108.336,107.916,108.027,107.939,107.644,107.212,107.292,106.753,105.909,105.051,103.982,102.529,101.136,99.719,99.376,99.025,98.698,98.023,97.394,96.868,96.077,95.773,95.526,95.319,95.047,95.297,95.204,95.625,95.971,95.916,95.904,95.794,95.507,95.152,95.077,94.938,95.049,94.94,95.044,95.141,94.959,95.028,95.384,96.31,96.935,97.515,98.086,98.198,98.185,98.519,99.291,100.423,101.294,101.765,101.63,101.736,101.367,101.556,101.819,102.996,103.651,100.917,99.412,99.079,100.096,101.413,101.446,101.937,101.98,103.099,104.059,104.835,105.523,105.175,105.496,105.657,105.347,105.667,105.777,105.192,105.029,105.382,105.465
"58","49","  Exports of nondurable goods","B339RG3",22.07,22.048,22.332,22.651,22.708,23.139,23.418,23.638,23.899,24.049,24.187,23.762,24.133,24.607,24.76,25.884,27.963,30.181,34.034,36.992,40.796,42.838,45.38,49.228,50.062,47.279,45.801,45.32,45.512,45.545,45.856,45.916,47.216,48.449,46.092,45.35,47.313,48.736,49.69,51.124,53.925,56.297,58.25,59.828,61.017,59.96,61.666,64.21,65.99,65.215,63.684,62.643,62.668,61.517,59.677,58.492,59.058,59.842,61.01,63.008,63.295,64.2,62.526,60.728,59.657,59.341,57.948,57.719,56.362,55.534,54.112,55.359,56.708,59.355,59.223,61.756,62.786,66.546,68.879,67.732,69.137,69.042,67.369,66.86,67.265,67.375,67.621,69.487,68.807,67.558,66.258,66.785,65.929,66.317,66.01,65.667,65.606,65.613,65.906,66.011,67.109,68.019,69.385,71.696,74.587,76.997,77.42,77.073,77.089,78.316,77.498,75.698,75.741,75.716,75.44,74.921,73.101,72.124,70.848,69.925,69.447,69.722,70.844,71.8,73.051,74.237,74.319,74.822,74.426,73.488,72.623,70.599,69.882,71.243,73.281,73.792,75.841,76.246,76.475,78.469,80.749,83.351,83.335,84.788,86.506,88.375,90.022,91.348,91.396,93.686,96.144,95.496,97.486,100.901,103.549,108.304,112.817,121.397,124.82,105.742,96.976,99.122,100.882,103.02,105.786,108.695,109.649,116.579,124.138,130.061,130.312,126.606,127.954,127.514,128.081,128.387,129.138,126.469,127.233,126.352,128.581
"59","50","  Exports of agricultural goods \2\","B181RG3",24.428,24.369,24.428,24.105,24.63,24.865,25.481,26.032,26.627,27.014,27.193,26.606,27.099,27.737,28.408,30.342,34.481,38.507,46.063,50.12,55.833,56.077,56.041,62.042,61.06,55.933,54.491,53.49,52.598,52.258,53.259,53.078,55.353,57.806,51.437,50,53.113,55.38,56.546,57.666,60.392,61.775,65.516,65.285,65.346,62.697,66.429,71.942,74.303,72.205,67.992,65.137,64.704,63.06,60.457,59.157,60.927,62.806,65.374,68.952,69.199,70.154,66.968,62.882,61.587,60.807,57.546,57.987,56.338,55.064,51.171,53.967,53.337,56.471,54.783,59.429,59.563,65.71,71.352,67.621,69.506,69.225,67.578,66.174,66.058,67.347,64.935,63.246,65.187,65.771,64.295,65.541,64.68,64.6,63.17,63.244,63.872,63.507,65.677,66.764,69.064,68.022,66.472,67.908,69.764,71.538,75.535,79.059,80.618,85.754,82.97,76.606,77.159,76.989,75.164,73.989,70.959,70.016,68.267,66.646,65.427,63.793,63.364,63.313,62.998,64.35,62.378,63.697,63.908,63.548,65.241,62.917,62.455,63.282,67.068,67.719,68.454,70.025,71.224,77.407,79.543,83.597,76.573,73.647,74.703,77.698,77.976,77.266,76.736,77.597,80.519,83.813,88.182,90.347,95.461,102.444,110.181,119.581,122.02,100.459,95.73,101.726,101.342,101.201,101.461,101.671,105.387,117.124,127.371,129.184,127.787,123.354,123.637,126.681,135.035,135.75,136.209,133.9,132.775,129.379,131.429
"60","51","  Exports of nonagricultural goods","B182RG3",28.211,27.821,28.399,29.358,29.672,30.328,30.413,30.306,31.116,31.022,30.736,31.343,31.582,32.083,32.017,32.385,32.886,34.043,35.202,37.16,39.741,41.771,45.457,47.305,49.824,50.314,50.261,51.33,52.478,53.178,53.309,54.815,55.526,55.663,57.214,57.681,57.832,59.085,59.632,62.402,64.714,68.086,68.878,70.783,73.677,75.268,77.746,79.706,82.11,82.559,84.661,85.754,86.793,87.848,88.403,88.211,88.065,88.946,90.493,91.657,93.301,94.638,95.486,94.7,94.27,93.762,92.906,92.099,91.307,90.798,90.768,91.133,91.706,92.923,93.546,94.825,96.307,97.949,98.61,98.811,99.527,99.483,98.683,98.179,97.725,97.64,98.504,99.716,99.518,98.728,97.612,97.403,97.101,96.941,96.749,96.302,96.228,96.407,95.881,95.501,95.803,96.337,97.023,97.632,98.78,99.266,98.288,97.049,96.115,94.971,93.994,93.022,92.725,92.479,92.335,91.773,90.946,90.289,89.41,89.012,88.78,88.909,89.197,89.747,90.18,90.786,91.274,91.29,91.123,90.729,89.989,89.18,88.873,89.236,89.717,89.772,90.613,90.675,90.515,90.706,91.672,92.978,94.09,95.367,96.328,96.83,97.411,98.204,98.843,100.427,101.682,101.476,101.686,102.794,103.002,104.193,105.308,108.397,109.878,102.899,98.849,98.819,100.269,102.063,103.18,104.66,104.705,107.024,109.619,112.261,112.982,111.743,112.447,112.13,111.344,111.625,111.942,110.74,110.992,111.212,111.929
"61","52","  Imports of durable goods","B333RG3",35.054,35.438,35.55,36.811,36.984,37.174,39.008,39.381,40.43,40.076,40.371,40.951,42.468,43.475,44.537,45.584,46.451,50.416,51.802,54.022,55.694,60.48,64.865,67.982,69.014,70.39,68.645,68.309,68.64,69.991,71.309,70.895,72.98,74.508,76.865,77.879,80.087,83.373,85.848,87.154,91.02,92.21,91.956,95.912,99.574,100.663,103.714,106.379,107.414,106.722,105.039,107.37,106.775,105.844,103.577,102.494,102.967,102.791,101.879,101.349,101.368,101.6,99.814,98.726,96.277,96.26,96.463,98.213,100.873,102.825,104.93,105.81,107.675,109.519,109.634,112.288,115.296,118.295,117.144,119.607,119.995,119.148,117.614,117.29,116.754,116.458,116.87,118.114,118.711,117.148,115.387,115.871,116.345,115.649,116.437,116.159,115.376,115.666,115.79,116.063,116.112,116.419,116.776,117.533,117.802,118.667,118.145,116.498,114.479,112.069,109.99,107.873,106.48,105.586,105.008,103.825,102.308,101.144,99.942,99.581,99.545,98.835,98.487,98.425,98.694,98.938,98.709,98.153,98.106,97.318,96.492,95.54,95.113,95.045,94.989,94.683,94.663,94.573,94.911,95.1,95.627,96.65,96.89,97.274,97.76,97.693,97.248,97.382,97.693,98.392,99.266,99.711,99.562,99.792,100.322,100.9,101.253,103.732,104.521,102.479,99.785,99.192,100.059,100.964,100.985,101.225,100.711,101.37,102.522,103.586,103.886,103.396,103.704,103.506,103.181,103.461,103.337,102.413,101.799,101.946,101.992
"62","53","  Imports of nondurable goods","B340RG3",10.671,10.615,10.712,11.05,11.273,11.457,11.544,11.704,11.776,11.844,12.026,12.122,12.227,12.721,12.762,12.985,13.594,14.609,15.644,17.855,24.593,29.028,30.35,30.942,31.492,30.878,29.792,29.782,30.737,31.265,31.806,32.493,33.984,35.219,35.098,35.216,35.485,35.766,35.607,36.267,37.704,41.393,48.085,52.655,59.574,63.399,65.08,65.998,69.047,70.198,66.965,65.527,65.319,63.461,63.47,63.019,59.523,59.661,60.508,59.891,60.254,61.031,60.363,59.805,58.126,58.105,56.806,57.671,54.4,47.027,46.004,47.177,50.44,53.117,54.405,54.686,53.858,54.263,53.318,52.568,55.649,58.597,56.523,57.31,59.779,56.135,60.193,68.604,61.523,58.296,56.707,56.932,57.054,58.118,58.899,58.09,57.677,57.744,56.124,54.896,54.658,56.164,58.487,58.236,60.19,61.33,60.352,60.171,61.659,62.928,62.726,64.7,64.825,61.199,60.805,60.656,57.86,56.283,54.876,54.622,54.009,57.02,59.86,63.118,67.072,67.354,69.126,70.847,69.877,66.617,64.248,60.553,60.521,64.607,65.559,67.07,72.763,68.566,69.032,69.882,73.332,75.417,77.539,82.08,82.897,85.981,92.189,97.016,96.715,98.312,99.717,95.537,96.82,100.673,104.33,115.04,124.465,136.146,143.624,111.057,90.606,95.596,103.426,110.372,115.111,113.292,112.115,117.773,128.993,137.276,136.576,137.214,140.454,137.169,132.917,135.976,136.729,133.511,135.005,134.245,136.734
