"","Table 4#2#4U# Price Indexes for Exports and Imports of Goods and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"94","86","    Maintenance and repair services","Y822RG3",70.183,70.183,70.183,70.183,70.58,71.046,71.167,71.167,71.219,71.771,71.478,70.683,70.58,71.029,71.219,71.011,71.529,71.927,72.6,73.221,74.982,78.073,79.627,80.732,82.147,83.96,86.343,88.173,89.347,92.8,93.87,91.85,92.645,95.77,96.288,97.151,99.188,105.421,110.963,103.073,98.273,98.912,100.69,102.037,105.265,107.786,106.837,109.012,113.294,118.301,118.421,116.263,117.092,117.834,116.781,116.35,117.834,117.886,117.714,116.833,118.266,119.63,119.956,117.139,113.258,114.939,114.047,111.052,109.011
"95","87","    Insurance services","Y823RG3",68.452,69.73,70.068,69.41,67.779,66.272,64.489,63.3,63.922,65.027,66.673,68.853,72.892,74.535,75.788,76.784,79.355,79.462,79.354,78.746,77.362,77.897,79.205,76.151,74.947,75.095,75.303,75.426,82.241,84.674,86.666,88.587,87.451,89.987,91.431,92.762,92.701,95.262,96.963,95.365,96.991,99.696,101.143,102.383,103.779,102.72,102.412,103.955,104.476,102.585,100.971,100.762,101.086,101.486,101.818,102.006,102.203,102.204,102.729,103.168,103.41,103.667,103.862,104.128,104.322,104.712,104.975,105.358,105.769
"96","88","    Financial services","Y824RG3",122.103,116.58,112.144,109.215,109.196,108.652,108.874,105.312,101.175,95.022,93.979,90.669,90.273,87.646,87.646,87.502,87.502,89.697,90.273,89.625,90.792,91.357,92.664,93.942,96.974,97.33,97.746,98.252,99.262,100.926,102.175,103.363,104.675,105.566,107.526,109.487,108.833,106.754,106.873,103.576,99.328,97.16,99.774,103.635,103.72,106.543,106.454,109.545,112.249,113.735,113.23,109.723,112.398,115.132,114.984,117.391,119.114,122.74,124.226,127.198,129.13,129.397,131.983,133.231,134.717,137.49,138.502,135.057,144.58
"97","89","    Telecommunications, computer, and information services","Y825RG3",536.564,548.388,468.833,396.199,404.229,382.456,425.24,376.206,374.475,349.526,338.106,324.994,315.268,376.799,321.4,266.635,257.522,247.407,254.317,217.986,200.96,194.62,197.327,176.383,167.835,157.505,146.321,138.77,139.055,127.158,132.002,117.328,104.379,92.623,99.036,91.982,91.697,92.552,97.611,98.038,99.819,96.827,103.952,99.534,90.756,86.126,80.427,77.15,76.722,76.366,75.654,76.01,74.963,74.366,73.65,74.764,74.724,73.013,73.451,74.048,72.933,70.228,70.546,70.228,70.029,69.472,66.289,67.244,68.992
"98","90","    Other other business services","Y826RG3",77.961,78.369,78.731,79.162,79.894,80.332,80.77,81.2,81.72,82.193,82.403,82.508,82.741,83.272,83.635,84.155,84.971,85.025,85.509,85.948,86.806,87.58,88.279,89.109,89.912,90.614,91.722,92.654,93.293,94.107,94.774,95.003,96.034,96.79,97.272,98.168,99.184,100.272,101.297,100.155,99.571,99.633,100.088,100.685,101.107,101.268,101.608,102.212,103.07,103.971,104.563,104.794,105.409,105.692,106.017,106.473,106.796,107.002,107.448,107.847,108.223,108.754,109.142,109.087,108.636,109.045,109.385,109.487,109.566
"99","91","  Government goods and services n.e.c.","Y807RG3",58.406,57.597,58.24,58.2,55.937,54.145,53.638,53.67,55.582,54.002,55.435,55.389,54.649,56.526,59.997,60.457,65.121,69.617,69.359,72.356,76.194,74.596,76.607,81.281,85.244,81.996,83.039,81.195,82.124,86.406,88.549,89.303,91.373,95.085,98.307,102.565,105.467,109.429,106.694,93.883,93.193,97.896,102.833,106.077,101.701,96.005,95.386,99.827,101.6,105.999,104.799,101.475,101.024,99.786,101.532,100.398,101.749,102.349,102.107,105.505,106.66,106.954,104.563,100.919,93.957,92.91,93.092,92.404,92.678
"100","92","  Other","B910RG3",72.155,74.012,75.305,75.78,77.038,77.627,78.284,78.579,78.277,78.247,77.713,76.652,77.007,77.329,77.469,78.008,79.594,80.833,82.283,82.653,84.81,85.713,86.251,87.295,93.083,93.659,95.316,96.172,97.033,97.547,97.462,96.455,97.876,98.891,99.502,100.441,102.051,103.687,105.879,102.823,100.218,98.781,99.721,101.28,100.097,100.975,101.907,102.936,104.533,106.273,106.527,105.916,107.818,108.528,108.649,109.107,109.568,109.506,110.026,111.458,111.963,112.936,113.309,113.2,111.822,112.163,112.038,112.142,111.693
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
