"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124"
"16","8","Less: Other items \4\","B1237C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1232,1220,1380,856,864,964,884,1048,1192,1088,1112,1156,1252,1268,1304,1113,NA
"17","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C0",2280,2300,2328,2364,2412,2456,2500,2536,2572,2612,2656,2700,2667,2677,2695,2725,2724,2765,2805,2898,2943,2980,3020,3061,3093,3135,3174,3210,3238,3273,3315,3363,3418,3467,3509,3543,3572,3599,3625,3650,3674,3700,3727,3757,3788,3807,3812,3804,3784,3773,3772,3780,3797,3833,3887,3958,4048,4120,4174,4210,4228,4254,4286,4326,4373,4430,4497,4574,4661,4745,4826,4904,4979,5036,5076,5099,5104,5095,5071,5034,4982,4949,4936,4942,4967,4963,4928,4864,4770,4665,4550,4424,4288,4178,4095,4039,4009,3991,3986,3992,4011,4015,4005,3981,6096,7462,8078,7944,7060,6253,5522,4867,4290,3856,3567,3423,3406,3389,3372,3345,NA
"18","10","Plus: Financial services furnished without payment","B1607C0",6199,5818,5374,5230,4936,4935,4896,4869,4845,4838,5173,4944,5144,5068,4760,4560,4463,4313,4239,4189,4005,3978,4296,4364,4747,5092,5306,5628,5965,6292,6662,6800,7207,7637,7561,7770,7783,7548,7295,7114,6901,6636,6697,6693,6720,6886,6607,6699,6585,6365,6164,5677,5785,5524,5674,5933,6125,6233,6010,5716,5333,5095,4978,4779,4622,4847,4912,5104,5079,4967,4841,4681,4827,4953,5257,5483,5508,5556,5747,5909,6281,6327,6200,6093,6207,5978,6651,6500,6900,7432,7412,7595,7059,7336,7093,7484,7084,7340,7354,7686,8493,8929,9748,9935,9752,9555,9461,9433,9094,9232,9478,10022,10049,10522,10942,11414,11496,11923,12432,12888,NA
"19","11","Equals: Exports of services, NIPAs","A646RC0",88917,87251,90657,91388,93466,96555,99775,103759,107487,110973,114899,116827,124705,127639,130313,135500,142007,145293,148812,158324,152521,163636,168966,174058,175601,177374,178811,179190,183237,186182,188342,190540,197107,201735,203082,208344,210007,215668,225648,230156,230794,237859,233109,253460,249511,253476,256522,256158,254855,263589,258688,264526,273512,275453,285290,286777,291793,301403,302418,302703,297379,290637,280672,262817,282817,289191,291773,293608,288680,287718,302897,316144,338048,343195,345394,361857,377842,375151,381878,394398,407161,422793,423185,453849,468941,482845,504662,536367,534170,555276,547771,535338,507409,511833,522240,549012,544547,557592,581858,606972,617338,640649,655095,644955,658386,669832,671682,688834,696721,696315,703549,712756,715963,728175,718719,732919,739834,744494,750901,758841,763609
"20","12","Primary income receipts, ITAs","B1239C0",108824,103796,100340,98232,102972,111776,116124,123540,135412,136180,142892,152184,160444,168568,167240,169288,172004,172680,172732,190164,174304,155148,148316,143560,142240,144252,135784,134044,138308,140456,143252,144404,150816,161200,175684,190088,205384,215600,213584,220076,224076,222540,228780,242720,252232,264572,267128,261500,269744,272808,261448,260968,274544,290139,309367,327165,340775,362729,355336,376449,335201,311074,282766,263774,271673,285776,301885,290703,305189,316248,327898,357435,390784,406618,428078,456880,506838,522308,553201,593577,630607,688432,713617,739701,771827,837705,879997,886603,873547,866581,842853,711851,601704,588236,620194,647381,661492,676800,685346,716023,731092,757964,778866,770986,777655,754380,772806,773077,773449,794299,801910,809395,808938,819402,838858,826215,778983,793889,790020,767170,NA
"21","13","Less: Statistical differences \2\","B1240C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-974,-1024,-1086,-1160,-1131,-1210,-1283,-1348,0,0,0,0,-29,-76,-38,148,70,14,-28,-54,-11,12,14,-16,35,-4,-20,-11,-48,-21,7,62,-2,37,21,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7261,-20787,-20786,-20958,NA
"22","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C0",7515,7924,8257,8528,8751,8942,9114,9284,9495,9704,9952,10233,10267,10430,10601,10781,10980,11003,11098,11259,11538,11835,12147,12464,12788,13085,13368,13627,13871,14124,14386,14659,14941,15232,15532,15841,16160,16428,16646,16813,16930,17157,17493,17940,18497,19069,19657,20261,20880,21326,21600,21700,21627,21788,22183,22811,23673,24558,25467,26400,27357,28108,28654,28993,29127,29296,29500,29740,30015,30310,30625,30959,31314,31673,32037,32406,32780,33007,33088,33024,32812,32684,32638,32674,32793,33022,33360,33809,34367,34835,35213,35501,35698,35911,36140,36384,36644,36767,36755,36607,36324,36016,35685,35330,35618,35835,35981,36055,36059,36104,36190,36316,36484,36611,36695,36737,36700,36663,36626,36626,NA
"23","15","Plus: Imputed interest received from the rest of the world","W320RC0",-238,-219,-200,-196,-185,-183,-179,-177,-171,-169,-182,-186,-200,-213,-208,-203,-199,-192,-192,-193,-191,-195,-214,-220,-237,-246,-250,-256,-260,-265,-270,-270,-278,-291,-289,-302,-310,-325,-348,-386,-442,-480,-530,-571,-599,-648,-668,-717,-771,-828,-887,-873,-936,-941,-990,-1072,-1108,-1157,-1171,-1192,-1201,-1186,-1173,-1135,-1083,-1137,-1129,-1134,-1111,-1087,-1037,-989,-994,-981,-1008,-1029,-1050,-1113,-1196,-1312,-1472,-1570,-1594,-1573,-1572,-1576,-1646,-1703,-1806,-1807,-1749,-1669,-1487,-1553,-1457,-1562,-1525,-1576,-1588,-1671,-2307,-2783,-3200,-3402,-3529,-3744,-3931,-4148,-4337,-4615,-4877,-5246,-5407,-5649,-5806,-5966,-5916,-6052,-6230,-6395,NA
"24","16","Equals: Income receipts, NIPAs","B645RC0",116479,112127,109209,107480,112383,121378,125897,133485,145471,146475,153453,163066,171439,179764,178658,180934,183763,184516,184722,202387,186772,167995,161533,157152,154791,157094,148901,147421,151953,154392,157408,158646,165410,176125,190956,205681,221248,231694,229869,236521,240530,239222,245764,260100,270174,283013,286111,280986,289855,293271,282138,281853,295235,310987,330557,348903,363341,386129,379632,401656,361356,337998,310245,291634,299720,313935,330255,319310,334093,345471,357485,387405,421103,437310,459108,488256,538567,554202,585093,625288,661948,719546,744661,770803,803048,869151,911712,918709,906108,899608,876317,745682,635914,622594,654877,682203,696611,711991,720513,750959,765109,791197,811351,802913,809744,786471,804856,804984,805171,825787,833222,840465,840016,850363,869746,856986,817028,845286,841203,818359,NA
"25","17","Secondary income receipts, ITAs","LA0000420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31203,36584,34731,35046,37333,36148,37708,38369,39197,40652,41713,43681,47358,51013,54583,57358,56295,64339,64033,63080,59462,57639,58435,65071,76837,56067,65502,65514,75996,69837,64998,74740,61395,66649,75393,84210,75051,81818,85577,104074,92168,90150,84304,87341,84401,93678,92596,98437,98247,102115,101568,101361,98610,103139,113656,122957,123720,120541,126944,135125,135142,171850,125585,127489,131350,138823,126529,130162,NA
"26","18","Less: Statistical differences \2\","LA0000330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,3990,600,-869,453,659,356,-1027,268,798,-6,1,-1,0,-1,161,52,-2,35,174,-2,78,59,925,0,748,0,3468,336,491,1,113,80,0,2400,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2325,-2217,-2217,-786,NA
"27","19","Plus: Adjustment for U.S. territories and Puerto Rico \3\","LA0000340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3192,3256,3368,3356,3448,3504,3592,3668,3744,3776,3740,3732,3772,3748,3740,3740,3820,3860,3948,4048,4204,4332,4436,4572,4564,4632,4752,4696,4628,4552,4544,4612,4628,4772,4728,4788,4884,4760,4772,4884,4920,4956,4960,4996,4896,4948,4948,4908,4444,4421,4422,4355,4484,4551,4621,4787,5289,5221,5107,5008,5066,5077,5107,5149,5185,5209,5297,5324,NA
"28","20","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, NIPAs \5\","LA0000350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33903,35851,37499,39271,40328,38993,40944,43065,42673,43630,45459,47412,51131,54761,58324,60937,60063,68201,67947,66954,63669,61893,62812,68718,81401,59951,70254,66742,80288,73898,69541,79239,65943,71421,77721,88961,79935,86578,90349,108958,97088,95106,89264,92338,89297,98626,97544,103345,102691,106535,105989,105716,103094,107690,118277,127744,129009,125762,132051,140133,140208,176927,130692,132637,138860,146249,134043,136272,138816
"29","21","Imports of goods, ITAs","B1242C0",356878,366971,371206,378643,384092,402593,417647,434729,439852,443344,443605,461956,474838,484047,469835,481940,499788,487128,496526,510309,489306,480412,489791,504571,511849,529936,544193,560135,569325,587200,591052,609999,625211,652801,685365,711381,735865,759639,750741,751250,777779,800282,809467,824923,856836,869184,883898,897260,910670,913986,911416,938478,959766,1005370,1063784,1113449,1181600,1213954,1258232,1273103,1245503,1168284,1119435,1081580,1099685,1173485,1197821,1222135,1251076,1252834,1266017,1318429,1390388,1471990,1506251,1584768,1612688,1663437,1704872,1802282,1832216,1871564,1922176,1886819,1918411,1964878,1998493,2063606,2161563,2253731,2267335,1882517,1510837,1464164,1600923,1744177,1827695,1921767,1976026,2030313,2166744,2239911,2261960,2290927,2328249,2316242,2281296,2289211,2287207,2283450,2301881,2305985,2342956,2389059,2384035,2380355,2299858,2295607,2279694,2215741,NA
"30","22","Less: Gold, ITAs \1\","B1095C0",7420,10485,5008,8512,3020,1889,3612,6615,7480,7057,2236,2673,3199,3665,3415,4325,1650,2127,2773,3257,3256,2969,2299,3063,2259,3554,2690,6731,5338,8405,11558,9983,8791,4686,2823,2647,4394,10814,2523,3430,6761,14638,6157,3436,8704,10957,2965,3806,6747,5458,7332,6573,3645,3422,7625,9524,9676,3018,4276,6800,6201,6558,2237,2529,2085,3507,3174,3086,2681,4189,4164,3992,4320,3441,4120,5010,4036,4226,4516,5696,6102,6398,5716,5295,8056,9922,10943,7337,18621,13220,13472,8673,9512,9723,9634,12711,10607,14071,12061,21279,16810,17694,18766,18630,16665,18562,19666,21964,19307,18781,16213,16690,15221,14894,17036,14641,11892,13420,13312,11731,NA
"31","23","Less: Statistical differences \2\","B1243C0",0,0,0,0,0,0,0,0,0,0,0,0,-19,-18,-26,-24,17,19,24,22,25,27,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13036,16155,16150,16287,NA
"32","24","Plus: Gold, NIPAs \1\","B1091C0",-460,-432,-612,3076,-836,-1144,-1056,-704,-1500,-1676,-1820,-1184,-1940,-2404,-2162,-2182,-1788,-3579,-2107,-2011,-3144,-2398,-2668,-2799,-2052,-3253,-3255,-2949,-2493,-3566,-3240,-3598,-4670,-3834,-3814,-3471,-3542,-3590,-3567,-3788,-3588,-3653,-4066,-3937,-3738,-3807,-3419,-3441,-3144,-2753,-2693,-2648,-2087,-2167,-2187,-2488,-2776,-2426,-2314,-2403,-2400,-2420,-2315,-2498,-2049,-2189,-2084,-2087,-2302,-2337,-2464,-2066,-2434,-2206,-2310,-2297,-2450,-2481,-2664,-2628,-3014,-3194,-3177,-4016,-3502,-4218,-4111,-4355,-4016,-4165,-4173,-4802,-4641,-5124,-5706,-5687,-7281,-5745,-7399,-8282,-9282,-10454,-11012,-12010,-12178,-11689,-11236,-11454,-9182,-7853,-7435,-6547,-6429,-5582,-5796,-4834,-5914,-5865,-4117,-4701,NA
"33","25","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1244C0",8707,9047,9171,9256,9300,9503,9819,10267,10612,11065,11573,12119,12269,12718,13163,13563,14043,14400,14661,14801,14086,16005,15635,15770,15927,14754,15609,14041,14369,14911,15850,16506,15473,17740,16931,17084,17532,19018,15066,16328,17106,16406,15173,14911,17067,17542,20852,20815,20016,21103,21108,23569,24462,24764,24371,22018,25041,23868,32477,31306,28306,30295,30956,29578,28018,29921,32771,33753,28988,32296,28638,30679,26355,27126,33273,32234,35795,25484,31431,30196,32835,38220,28276,23429,35599,31127,31669,23737,26298,28571,24048,24587,27650,29414,23418,23330,28764,26699,27585,47128,31818,39982,31411,30825,31969,36686,34260,28800,35651,40301,28019,27023,36269,35180,31516,39116,42710,39706,39328,42268,NA
"34","26","Equals: Imports of goods, NIPAs","A255RC0",357705,365100,374759,382460,389537,409063,422798,437679,441486,445679,451121,470214,481986,490713,477447,489020,510376,495803,506283,519820,496967,491023,500436,514455,523470,537882,553860,564495,575865,590145,592109,612924,627223,662022,695660,722344,745464,764255,759719,760356,784526,798397,814409,832459,861459,871959,898369,910830,920800,926876,922498,952829,978495,1024545,1078344,1123452,1194187,1232376,1284123,1295208,1265200,1189600,1145838,1106132,1123573,1197710,1225338,1250715,1275085,1278603,1288030,1343051,1409992,1493470,1533097,1609694,1641999,1682209,1729122,1824160,1855935,1900192,1941560,1900937,1942452,1981866,2015108,2075651,2165223,2264918,2273738,1893629,1524334,1478731,1609001,1749109,1838571,1928650,1984152,2047881,2172471,2251745,2263593,2291113,2331375,2322676,2284654,2284593,2294369,2297116,2306252,2309771,2357575,2403763,2392719,2399996,2311728,2299874,2285443,2225291,2169532
