"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232"
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRC0",24845,25635,25922,26160,26002,26459,26080,26177,26381,26446,26789,27549,27873,27963,28594,28845,29236,29474,30195,30410,31483,32845,33092,33393,33355,33948,34974,36544,37007,37089,38457,38797,39009,39525,39771,40463,41506,42895,44179,44188,44849,45543,45386,45747,46053,46333,46527,47557,47765,48122,49048,50117,51552,52691,54232,55602,58343,59295,60433,61706,63523,64749,65713,64432,65275,66863,68631,70450,72595,73867,75640,78061,81541,82836,84615,87083,87824,93073,95157,98325,100026,102563,106625,108085,108881,108198,110702,115165,117146,118236,119270,118486,118271,120157,121420,124308,126807,129661,134368,138512,142210,146841,148275,151083,152310,154200,156761,160700,164160,166703,170914,172853,174699,176080,178202,178586,181572,185228,187244,192195,194705,196907,198515,199781,203179,200956,200049,198051,197821,200323,199593,198698,205524,207349,210934,213789,216240,220484,223918,226922,230064,236371,241677,246355,247106,249143,253995,256523,256238,263350,265525,269781,272113,274614,279640,282712,289222,294548,299089,305609,312133,316185,322852,329801,337626,342935,346199,346936,349799,350626,351870,357306,363352,365690,364196,367941,367287,376502,386267,391416,398997,403774,409706,416045,421756,428961,432659,441236,451096,447864,449880,450844,455272,453345,453611,452759,447246,451675,443314,425904,414569,408916,407081,408683,413599,418066,416527,421078,426008,433568,438000,443241,452060,449243,451704,456434,463147,465045,469075,470712,471264,480953,485291,488745,490194,496724,501841,504138,508347
"46","35","  Health","DHLTRC0",18297,18712,19014,19323,19770,20378,20330,20970,21125,21668,21978,22537,23182,23974,24687,25436,25863,26164,26549,27040,28223,29411,30466,31101,31850,32005,31797,32257,32961,34346,35603,36954,37603,38150,38601,39281,40990,43110,44669,46376,47888,49415,50626,52139,54217,55616,57677,59889,60866,62400,64304,65966,67812,69568,71347,72963,75586,77877,79648,81609,84065,87155,90133,93254,97734,101330,103430,108370,111683,115163,118429,121761,125313,130483,133862,136649,142081,147181,151429,156784,161632,166837,172452,178585,184952,188912,198788,209240,217515,225596,233412,238915,243855,250421,258438,266972,275863,283338,291229,298104,306002,311971,317623,325019,332509,340123,349791,358871,366503,373234,381638,392133,402721,414588,426461,435738,450430,464177,478310,489969,501929,511063,523213,539729,558273,575739,593752,607130,617564,630314,644322,661294,679109,694914,708687,719061,729961,736706,746157,753901,763651,774026,785017,796891,811342,820528,830345,841816,847906,862835,872506,889997,899695,911842,927316,940667,959235,974436,987144,997790,1010707,1022183,1036087,1064358,1070873,1100399,1121416,1145686,1168584,1192123,1223074,1253832,1282083,1305985,1329766,1350489,1373483,1396363,1424836,1450547,1471548,1503516,1533014,1556660,1578166,1598730,1628419,1650747,1674142,1704636,1731105,1759479,1792534,1812545,1839795,1862434,1890857,1905761,1921724,1938351,1966357,1993635,2015683,2027999,2034623,2065489,2097133,2124511,2145065,2168951,2180265,2213427,2253701,2258274,2272534,2280337,2292956,2315766,2343308,2377531,2377272,2426839,2468688,2514824,2540032,2575270,2611272,2638193,2660981
"47","36","  Transportation","DTRNRC0",37421,39130,40152,38361,40017,41168,41516,40359,37863,38491,39556,41262,42610,43951,43852,46054,46817,47624,47982,48851,50064,50610,52240,49980,55699,55718,56936,57763,59850,57551,58992,59712,58352,61564,61883,62110,67009,68377,71771,72227,74419,75416,76546,77160,75691,77760,78724,73837,84988,87271,89811,92900,94581,96366,98749,103563,109497,109114,108241,107415,106468,112706,118593,113303,116068,118658,128643,134192,142687,144863,148320,153622,163449,166484,169230,173336,172270,186284,187536,191808,197188,198183,214004,219116,231747,216486,226175,231536,254229,247187,256260,245220,254121,249837,255664,263848,261577,280269,292852,305002,314089,322176,319951,330886,345107,353518,374197,356838,357179,352853,377534,362754,349953,373112,395754,387711,402109,403056,402032,411839,419890,434258,438217,420971,447522,434738,441605,447858,416566,412122,422850,421554,436367,444099,456926,467744,469036,482120,485697,504473,516252,518519,531202,546953,543112,549641,557850,565653,580986,599492,600426,614833,638111,623145,646796,659219,641387,660129,670766,702210,685380,730560,748669,751438,795748,783855,798182,803753,811292,808672,795986,825969,787798,807451,837672,819552,840139,828704,859745,855246,877924,886584,898260,934221,930338,948022,1002298,962418,975050,995077,1021691,979907,997746,1034184,1037170,1061735,1057288,1057788,1057223,866388,821157,833282,911170,902319,911971,921224,941502,993869,1030398,1049225,1055898,1072437,1090534,1098090,1109758,1124592,1139532,1123368,1141378,1140072,1146718,1175622,1185473,1162116,1083422,1130118,1140126,1115986,1071192
"48","37","  Communication","DCMCRC0",4736,4788,4862,4951,5047,5144,5267,5366,5434,5504,5588,5704,5788,5855,5934,6050,6263,6371,6491,6590,6619,6898,6999,7236,7273,7414,7617,7838,7564,8167,8282,8470,8634,8786,8920,9151,9433,9532,9719,10031,10399,10610,10841,11067,11295,11562,11659,11910,12164,12532,13020,13340,13740,13998,14670,15004,15393,15946,16349,16837,17200,17488,17776,18289,18735,19645,20365,21078,21616,22140,22774,23168,23488,24025,24380,25324,25886,26678,27504,27988,28541,29228,29767,30164,31154,30888,32153,32989,33891,35364,36372,38223,39025,40536,41701,42961,44013,44916,44861,45562,48093,48438,48078,49078,49655,52150,54969,55643,55864,56653,57530,57376,58293,59491,60988,61167,62013,62229,63833,64481,65451,66781,67781,69091,69190,70084,70904,70193,70956,73092,75097,76336,78488,80527,82504,83051,82900,84660,87163,88344,91034,92370,94259,95388,95885,97528,100054,102304,104345,107093,109469,112360,115863,118350,121640,124570,125996,127844,131248,132885,135616,140459,144779,148343,152904,157868,160391,161857,161808,164535,166934,166425,166812,167749,170314,170840,173139,174004,175208,175200,177660,180370,183092,183344,184830,186714,187414,188998,194249,199317,203788,207435,209138,214842,218424,223265,226880,230510,233856,231526,230489,228903,230153,232719,236435,238636,241001,242292,248217,252672,257423,256541,260632,263841,264339,269709,267694,268669,272434,275262,282354,284358,288690,293436,290307,291867,290271,293911,297192
"49","38","  Recreation","DRRLRC0",18353,18590,18974,19129,19322,19834,19708,19977,19939,20209,20644,21084,21413,21909,22269,22752,23154,23634,24345,24279,25335,26210,26644,26992,27695,28425,28911,30535,31742,32805,34160,34753,35445,35321,36382,36144,38341,39282,40652,41451,42598,43811,43819,44572,46287,46324,47303,48156,48249,49674,50558,51974,53489,55200,56986,59123,61693,62280,63558,64534,65964,68400,70591,70800,73393,75916,78166,80734,83192,84756,87098,89727,90098,93409,96457,99704,101473,104737,107448,111458,114357,118208,120465,122424,124022,123492,127849,134400,136594,140421,144316,145213,147161,149772,152993,155825,160706,166788,171691,178120,183621,188020,191833,196413,202685,205186,207704,213078,217107,219854,228258,236371,239525,245928,249815,252783,261407,270282,276368,285460,286805,293814,299551,302800,310778,313359,316362,318491,321347,324824,328688,330231,338135,341833,348931,358465,366214,374312,382863,390305,398058,409575,418908,429444,434732,445701,455608,463033,466923,478048,486440,494741,499962,505285,512965,519799,529696,537788,550217,559679,570219,583217,595790,610541,624265,630612,638065,641794,643103,645212,644936,654662,663523,667430,668986,677399,678949,693401,714824,729999,743727,755102,764501,771523,787358,801977,807970,820992,844575,846322,852917,872638,879514,887836,899523,908492,902919,915777,906930,872949,866526,853109,859009,868484,876452,882939,892509,901253,907569,920324,927383,935914,952807,962652,973607,983561,997136,993245,1003716,1011671,1017210,1033519,1051062,1060884,1061793,1076969,1090059,1117835,1131175
"50","39","  Education","DEDURC0",3041,3083,3125,3182,3258,3329,3390,3465,3459,3644,3633,3695,3770,3892,4010,4132,4218,4295,4379,4495,4600,4746,4920,5044,5206,5378,5538,5741,5925,6106,6315,6500,6666,6805,6934,7107,7411,7596,7803,8072,8261,8489,8775,9082,9462,9701,10117,10376,10503,10753,11020,11139,11289,11512,12018,12177,12244,12665,13550,13550,13818,14281,14347,14360,14751,15422,16574,16796,16991,17271,17717,17754,18112,18397,19016,19710,20092,20653,21162,21601,22161,22544,23023,23748,24170,24859,25940,26805,27193,27769,28451,29619,29973,30668,31130,32097,33044,33935,34746,35671,36419,37378,37989,39010,39817,40636,41738,42497,43245,43998,44845,45856,47059,48342,49497,50260,52014,53481,55448,56799,58247,59974,61347,62715,64086,65259,66769,67717,68641,69794,71143,72666,74387,75732,77440,78208,79242,80244,81779,83080,84196,85499,87162,88598,90199,91571,93072,94374,96378,98528,100535,103064,104599,105851,107867,110162,112265,114155,115964,118590,120951,122985,124399,127387,129923,133472,135868,137900,140520,142996,144786,146159,146923,148220,150888,152078,154657,157832,161555,164020,166296,167450,169478,172764,176369,179068,181852,184741,188469,191699,193986,198133,201151,204368,207104,211369,213792,217010,220560,222132,224326,226376,230543,234959,239752,243723,246811,249437,252657,254610,257663,260214,262646,261604,262110,263475,267297,268940,268542,270966,273869,275757,276352,282092,285257,288992,290342,293797,296459
"51","40","  Food services and accommodations","DFSARC0",18949,19465,20093,20446,20295,20658,20457,20528,20812,20781,20874,21388,21691,22048,22451,22836,23011,23205,23272,23735,24360,24813,25040,25298,26044,26867,27498,28313,29013,29409,30005,30110,30335,30503,31147,31843,33468,34200,35101,35609,36030,37345,37727,38742,40284,41662,42262,42287,42529,43237,44176,45246,47025,48245,49599,50674,52731,53504,55530,57566,57850,59723,61404,63477,65539,68028,68957,72760,75095,76754,79297,80061,84800,85598,85665,86595,90232,95187,99992,103005,107068,108528,111431,116658,118460,119475,122103,126847,131637,133861,134590,135573,137129,141017,144565,147322,150098,151971,155080,157049,161618,162685,167010,168351,170546,174569,175366,176715,181356,185258,187811,192323,198093,202182,205120,212123,214895,222439,230327,235726,237496,239795,244803,248292,257001,262063,266674,265200,266442,274091,275802,277246,285075,280624,284253,295298,293385,297584,301511,301143,301817,307551,310838,312987,312186,315632,317901,318826,320303,324800,327649,333479,338964,340957,346583,347205,353008,359662,363117,371558,371913,376626,380738,392047,401612,407657,412382,413472,419703,418761,419490,420702,429964,435132,438466,441679,446400,456898,467897,476395,485245,491059,500268,509123,516877,527770,533612,544307,557791,559909,567216,580093,583668,591125,598925,608817,607007,614733,616138,611990,604198,599230,597557,600350,607093,614721,620601,628430,637779,645204,654714,660320,673138,681916,688710,696750,705227,704175,709307,722222,725698,744482,757223,776117,787113,803447,810698,827063,835249
"52","41","  Financial services and insurance","DIFSRC0",11985,12326,12620,13004,13183,13503,13714,13803,14447,14850,14686,15078,15125,15533,15353,15389,15203,15494,16107,16826,16980,17476,18145,18364,18630,18989,19499,20460,21068,21324,21420,21275,22039,22400,23321,23608,23699,25701,26545,27246,27296,28164,28763,29788,29989,30603,31378,32323,33273,33828,34463,34993,36980,37664,39008,39704,40112,41035,41869,42981,42996,44503,46903,49224,52080,53561,54239,56193,57504,57748,59902,61891,63092,65743,69469,72862,76480,80993,81595,83467,80113,89248,90939,90226,91923,91620,95911,102979,104146,102859,100229,100787,104711,109740,119035,131855,141459,139436,152576,150084,147348,154224,161789,162920,181330,185181,194414,191453,200073,199710,198149,201284,204046,204476,205408,207273,212741,216392,223595,226503,234002,238593,239560,241350,243832,245870,248520,251335,258535,263946,270193,274479,287353,291349,296022,305640,318025,328974,338347,344999,346711,346432,345001,349356,355378,363867,370204,376065,384393,389545,393829,401629,412731,422498,436850,444908,452611,463154,473569,479776,490561,500541,512050,533345,567342,561594,565945,570258,562857,556568,539002,552857,549886,558161,567808,574487,572530,584482,594304,602576,618007,625871,640228,657283,668717,685357,698306,706150,716513,720700,722063,737560,754272,762414,775366,781915,782870,781482,772883,748697,719556,714946,715878,725442,740544,764684,768137,779587,786672,793083,804634,798804,803274,785465,779187,789286,812597,833268,841544,863554,865782,876932,890852,897414,904746,920403,925482,934080,947468
"53","42","  Other goods and services","DOISRC0",20849,21133,21545,22046,22246,22474,22429,22586,22772,23749,23852,24512,24553,24653,24933,25294,25320,25896,26534,26915,27699,27238,28054,28344,29054,29810,30445,31321,32466,33313,33352,34127,34408,35406,36222,37038,37501,38360,39002,39576,39972,40544,41345,42146,43104,43642,44872,45434,46376,46344,47065,48064,49317,50517,51045,53053,54313,56245,57990,59170,60519,61933,62711,63655,65033,66497,68844,70854,73538,75379,76986,79192,79412,82153,85087,88412,89852,92708,94886,95267,96373,98413,101906,104941,108041,108464,110441,115752,118062,120649,122465,123742,123838,126467,128186,132595,137408,141477,145700,149144,152111,155945,159161,163403,167403,170937,175225,179505,182778,186636,191163,199488,202211,206176,209939,214333,219420,222850,227023,232267,238279,243017,248579,252734,257723,261750,264988,264728,264382,267387,268538,271731,282599,287646,293432,296543,300043,304963,307088,306062,310068,313497,319325,324593,326541,330805,334730,338800,343629,349350,352825,357525,360382,365235,371088,376890,383882,390614,396284,404105,420491,424115,431172,441633,447968,456247,462638,467122,471551,475246,480548,484266,489221,494565,498899,504526,511841,521134,532186,540924,549604,554218,563431,569000,580677,586454,590013,601014,613426,619101,626200,639405,648999,655414,661158,664843,667603,677185,679250,667849,665289,670816,674297,680448,690180,694246,704303,713855,721094,733839,737612,739767,748528,752108,755157,763821,765004,770323,774861,785592,787972,795485,802403,811420,816578,830139,839982,846267,850485
"54","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC0",2027,2029,2020,2000,2124,2187,2124,2049,2094,2012,2025,2057,2203,2258,2424,2483,2342,2533,2625,2568,2505,2530,2589,2648,2926,2730,2862,2914,3137,3035,3064,3292,3560,4056,3808,3728,3741,3631,3808,3556,3812,3868,4220,4276,4322,4654,4615,4465,4539,4791,4636,5146,5458,5196,5125,5168,4919,4985,4523,4457,4421,4850,4601,4959,4416,4296,4364,4704,4247,3380,3383,4150,4573,4566,4064,4041,4343,3928,4501,4227,3765,4277,4456,3802,3784,3372,3294,3711,962,236,760,-295,1698,2144,2385,3808,4099,5695,5516,6426,6563,5660,7533,6501,7237,8647,8411,6671,4734,2291,2736,3424,6634,6528,5060,6029,5423,3296,1557,847,-1455,-2623,-4331,-6373,-5496,-5798,-7411,-11988,-10891,-14540,-17048,-18395,-19920,-20372,-19829,-20011,-21255,-22052,-20682,-18708,-16817,-18004,-16440,-18406,-18034,-17773,-23995,-25362,-22437,-26304,-18475,-29725,-23253,-21352,-20908,-20409,-17792,-16840,-12684,-15268,-20875,-26940,-32257,-27863,-27958,-26505,-24875,-26357,-23120,-15952,-14348,-9793,-9595,-11465,-15088,-9316,-4319,-6063,-4652,-6178,-4695,-2223,-2230,-3333,-6447,-6528,-3100,-2844,-422,430,-4255,-1606,-5448,-6018,-11344,-18830,-16957,-22475,-19641,-13482,-13894,-19130,-17505,-17428,-23746,-24706,-28797,-31942,-31439,-34354,-33956,-35153,-27015,-32407,-33752,-33927,-40575,-38478,-42031,-38251,-38959,-34245,-30381,-29964,-32833,-30639,-26662,-24222,-23097
"55","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",4661,4796,4935,5063,5122,5084,5040,4991,4958,5197,5330,5500,5574,5520,5442,5381,5447,5644,5883,6100,6387,6430,6450,6465,6528,6796,7117,7407,7536,7489,7422,7373,7528,7847,8236,8588,8722,8726,8799,8924,9061,9279,9562,9873,10117,10331,10692,10754,11086,11429,11886,12414,12412,12607,12655,13583,13226,13765,13844,14182,14790,15552,15623,16021,16262,16567,17364,17857,18838,18824,18876,19393,19977,19938,20757,21868,22168,22688,23276,23943,25333,25922,25904,27321,28324,29481,30497,31831,32508,33498,34513,36043,36834,37414,38465,39141,39543,40082,41030,42370,43134,44891,45994,47517,46831,47450,48270,49079,50782,52746,53250,53662,54322,54747,56418,57305,60342,62380,64501,65950,65672,67463,69020,69993,71425,74681,78124,79210,78596,79486,80613,81812,84516,87078,89539,90605,88831,89207,90482,91741,93786,96342,99458,101462,100453,101737,102729,104391,108067,110606,111862,109642,104486,103517,105167,109182,114995,121215,127125,131892,133225,136186,139565,143941,149378,154251,160485,168047,172516,177720,181835,184260,189461,196115,202175,205620,204759,205461,206032,205793,206098,206786,206916,205686,200910,207319,210474,222367,231622,240022,243230,241862,246074,242962,248355,257729,266752,278786,288185,294851,281005,273313,273365,276382,275879,277329,274707,273484,271837,273033,279726,275404,279993,293538,292291,305660,297339,301165,305236,311912,315360,319460,325599,328964,325946,328992,342424,353506,364631
"56","45","  Gross output of nonprofit institutions \2\","DNPERC0",13473,13779,14048,14333,14629,14953,14720,15034,15051,15806,15961,16316,16639,16843,17022,17225,17569,18075,18598,19114,19880,20171,20398,20552,21106,21775,22400,23033,23630,24206,24532,24990,25547,26496,27485,28385,29133,30071,30626,31562,32473,33540,34437,35587,36727,37409,38620,39608,40707,42139,43529,44706,45857,46719,47738,49099,49748,51420,52311,53847,55532,58426,59717,61535,63777,65922,67900,71171,73925,75037,77199,79081,81895,84371,85861,88513,91775,95571,98237,101055,104624,107755,110061,114985,119378,122297,128544,134181,138626,143449,147629,152898,156927,161278,166131,170884,174343,177649,180332,184540,188458,192743,196075,200454,202968,206400,211291,216454,221659,225905,228648,232979,237837,243621,250408,255587,263994,271623,280288,286172,291498,297716,304241,311498,319785,330110,340919,346932,350875,358814,366301,375576,384206,392791,401576,406989,411452,416024,421985,425525,429999,436114,443951,450240,451493,455900,460201,466582,471402,480545,486047,494547,493947,497673,505173,513705,527569,537874,548373,556269,563186,570602,579822,591666,601506,614673,628050,642332,656376,669617,683893,695880,713693,731810,746964,755775,763022,769970,778323,787256,797822,811653,827336,839164,844467,858749,876435,894171,910389,926707,940454,951352,968549,974449,986507,1003059,1020651,1034844,1049530,1058623,1061501,1067543,1077555,1083655,1085432,1101048,1113050,1124042,1126296,1136450,1140173,1155335,1176096,1185831,1200392,1209668,1210445,1228246,1236871,1257296,1246858,1269400,1287220,1309900,1319038,1330232,1341380,1355488,1375290
"57","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",8812,8983,9113,9270,9507,9869,9680,10043,10093,10609,10631,10816,11065,11323,11580,11844,12122,12431,12715,13014,13493,13741,13948,14087,14578,14979,15283,15626,16094,16717,17110,17617,18019,18649,19249,19797,20411,21345,21827,22638,23412,24261,24875,25714,26610,27078,27928,28854,29621,30710,31643,32292,33445,34112,35083,35516,36522,37655,38467,39665,40742,42874,44094,45514,47515,49355,50536,53314,55087,56213,58323,59688,61918,64433,65104,66645,69607,72883,74961,77112,79291,81833,84157,87664,91054,92816,98047,102350,106118,109951,113116,116855,120093,123864,127666,131743,134800,137567,139302,142170,145324,147852,150081,152937,156137,158950,163021,167375,170877,173159,175398,179317,183515,188874,193990,198282,203652,209243,215787,220222,225826,230253,235221,241505,248360,255429,262795,267722,272279,279328,285688,293764,299690,305713,312037,316384,322621,326817,331503,333784,336213,339772,344493,348778,351040,354163,357472,362191,363335,369939,374185,384905,389461,394156,400006,404523,412574,416659,421248,424377,429961,434416,440257,447725,452128,460422,467565,474285,483860,491897,502058,511620,524232,535695,544789,550155,558263,564509,572291,581463,591724,604867,620420,633478,643557,651430,665961,671804,678767,686685,697224,709490,722475,731487,738152,745330,753899,756058,761345,763772,780496,794230,804190,807273,809553,823719,838343,850558,854459,863417,860447,879931,896103,892293,908102,904009,913105,927081,931635,945384,931498,949939,961621,980935,993092,1001240,998956,1001981,1010659
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
