"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165"
"42","34","    Other","B853RA3",1.569,1.537,1.573,1.565,1.649,1.664,1.832,1.88,1.679,2.213,2.214,2.19,2.273,2.209,1.975,2.009,1.895,2.104,2.102,2.075,2.615,2.405,2.446,2.572,2.849,2.902,3.156,3.36,3.153,3.19,3.4,3.299,3.371,2.795,2.991,3.275,3.583,3.679,3.826,4.194,3.844,3.998,3.872,4.26,4.944,4.847,4.963,5.509,5.616,5.998,6.264,6.422,6.85,6.762,6.521,6.827,7.037,7.638,8.211,8.692,8.86,9.091,8.796,7.888,8.792,9.032,10.435,11.587,12.903,14.521,15.518,16.079,16.029,16.226,16.15,16.75,16.759,17.357,17.879,17.777,17.34,18.193,19.255,19.435,19.711,20.131,21.155,21.939,21.726,22.893,23.151,23.544,23.842,24.466,24.839,24.36,24.466,24.86,25.356,25.681,26.321,27.475,28.418,29.011,30.28,31.855,32.178,33.833,36.332,37.884,40.308,41.98,44.389,46.959,49.397,50.881,52.239,52.578,55.19,58.985,62.591,66.212,68.529,71.315,73.891,73.21,73.783,73.77,75.079,79.39,82.945,87.445,92.288,99.967,103.885,103.86,98.277,85.006,79.076,75.858,77.663,82.88,84.097,83.28,84.376,86.341,86.991,91.317,97.461,101.758,104.583,106.148,107.675,113.13,115.379,118.477,120.657,123.701,127.32,126.602,126.33,128.615
"43","35","  Automotive vehicles, engines, and parts","B651RA3",7.603,7.563,8.995,9.415,11.154,12.186,14.013,14.871,13.095,16.667,17.995,16.032,15.527,16.936,16.393,16.37,18.369,19.16,21.813,20.22,21.777,21.37,20.765,22.299,23.302,22.165,21.538,21.95,24.552,25.084,24.175,20.668,16.536,17.108,20.331,21.005,24.127,25.349,25.38,24.499,24.552,26.283,26.673,27.739,27.962,29.625,28.045,28.26,26.586,28.23,27.551,27.76,28.415,26.956,26.698,27.039,25.667,26.695,26.333,26.896,27.136,29.442,30.447,25.991,30.248,33.598,34.476,40.015,43.098,43.694,45.013,45.937,46.427,48.947,51.449,52.336,51.191,54.133,56.2,54.072,54.977,55.845,54.309,56.099,54.22,53.189,53.019,55.247,56.095,53.799,49.951,49.972,51.277,54.717,53.588,51.298,48.472,46.455,50.993,50.793,51.089,51.341,51.081,53.387,56.787,56.617,55.583,58.451,58.64,62.691,65.158,67.768,68.252,66.357,62.564,61.321,64.033,67.62,69.317,66.381,72.111,72.205,72.836,72.049,74.532,75.344,74.164,83.808,87.818,90.093,94.242,95.867,101.029,99.737,100.618,98.616,96.455,97.362,98.114,95.908,98.813,103.795,106.38,106.137,104.342,107.392,104.012,110.096,110.906,114.695,114.487,114.555,113.556,115.185,119.076,124.358,125.65,126.289,124.655,127.505,123.839,123.021
"44","36","  Consumer goods, except automotive","B652RA3",5.77,5.7,5.866,6.352,6.999,7.174,7.724,8.004,7.734,9.438,9.046,9.076,9.266,9.246,9.764,9.669,9.752,10.537,9.323,10.322,12.5,11.469,12.227,12.477,13.429,12.532,12.089,11.898,11.073,11.817,11.476,10.586,8.641,8.149,8.709,9.357,10.212,10.847,11.598,12.316,13.492,13.61,13.478,13.725,16.033,16.991,17.072,16.62,16.426,16.647,16.755,17.392,17.362,17.367,16.048,16.948,17.932,18.224,18.369,19.631,19.655,18.628,19.71,19.517,21.92,21.888,23.438,26.045,28.136,29.37,30.186,30.071,31.399,31.543,32.07,33.53,34.163,35.328,35.909,37.031,36.511,37.304,36.576,36.644,37.211,36.078,37.474,38.444,38.354,39.703,38.993,39.052,38.912,38.818,38.14,37.47,37.477,37.532,38.917,42.051,41.856,42.846,43.594,43.891,45.351,46.139,47.506,47.529,48.081,49.808,51.124,53.082,54.489,54.715,54.843,53.55,56.056,56.875,59.506,61.523,62.885,65.838,68.101,70.568,73.209,75.805,76.874,77.273,80.494,82.529,86.845,90.434,94.151,99.257,101.852,104.74,103.824,102.365,101.025,99.605,103.608,110.602,114.75,116.028,118.15,118.683,120.865,125.886,129,136.641,135.753,141.394,145.263,146.758,146.13,149.036,152.202,155.626,160.569,165.755,167.682,167.084
"45","37","    Durable goods","B697RA3",5.636,5.553,5.798,5.916,6.813,6.858,7.621,7.68,7.516,8.681,8.493,8.744,8.819,8.769,9.015,9.059,9.204,10.214,8.715,10.224,12.215,11.55,11.756,12.007,13.494,12.714,12.27,11.789,11.666,12.478,12.323,10.976,9.274,8.419,9.008,9.116,9.696,9.982,10.914,12.517,14.704,14.161,14.321,14.77,16.855,18.16,17.968,17.569,16.661,17.27,17.788,18.447,18.72,19.181,17.834,18.227,19.458,19.847,20.068,21.068,21.696,19.712,20.242,20.464,23.364,22.208,23.967,27.385,28.819,29.678,31.505,32.09,33.669,33.477,33.871,34.55,35.191,37.047,36.843,37.759,36.446,36.797,36.64,36.755,36.772,35.534,37.377,38.617,39.134,40.158,39.027,38.129,37.652,37.44,36.925,36.245,35.658,36.07,37.505,40.384,39.972,41.007,41.716,41.422,43.619,43.425,45.411,45.809,46.135,48.147,48.973,51.385,52.278,52.329,52.246,51.665,54.359,55.261,58.135,58.707,60.35,62.888,64.829,67.501,70.947,73.596,74.486,75.946,77.318,82.021,86.069,89.102,95.349,98.793,101.064,104.793,102.159,98.822,98.136,97.765,103.312,111.478,113.967,113.382,113.1,114.709,119.913,126.803,130.919,140.07,140.683,148.682,152.387,152.686,157.126,159.147,162.789,163.54,169.156,176.628,177.693,176.315
"46","38","    Nondurable goods","B698RA3",6.106,6.057,6.085,7.259,7.455,7.867,8.036,8.723,8.255,10.989,10.203,9.827,10.235,10.274,11.288,10.942,10.917,11.33,10.567,10.724,13.266,11.559,13.311,13.562,13.595,12.489,12.036,12.33,10.335,10.989,10.369,10.171,7.859,7.85,8.385,9.741,10.989,12.131,12.628,12.116,11.915,12.939,12.396,12.365,15.002,15.484,15.944,15.416,16.234,15.9,15.433,16.047,15.603,15.019,13.744,15.294,15.955,16.125,16.175,17.771,17.025,17.214,18.987,18.276,20.04,21.434,22.708,24.286,27.181,28.872,28.45,27.492,28.508,29.06,29.746,32.146,32.775,33.078,34.646,36.021,36.488,37.822,36.39,36.397,37.638,36.639,37.486,38.127,37.293,39.039,38.842,40.059,40.329,40.382,39.508,38.852,39.586,39.202,40.52,43.959,44.029,44.961,45.756,46.766,47.327,49.31,49.919,49.485,50.311,51.684,53.593,54.995,57.021,57.46,57.843,55.691,57.965,58.683,61.015,64.762,65.783,69.223,71.86,74.08,75.782,78.314,79.586,78.774,84.1,83.101,87.72,91.94,92.797,99.782,102.742,104.679,105.695,106.344,104.27,101.679,103.974,109.67,115.655,118.981,123.731,123.082,121.96,124.945,126.98,132.996,130.492,133.598,137.648,140.414,134.427,138.267,140.926,147.185,151.409,154.155,156.998,157.227
"47","39","  Other","B653RA3",9.477,10.136,10.344,11.265,9.643,10.592,11.995,10.509,10.266,12.137,12.341,11.65,11.757,11.434,11.918,11.433,11.705,12.327,12.443,11.839,12.837,11.682,13.1,12.957,13.252,12.876,12.306,8.239,14.072,12.608,7.762,8.194,8.199,7.823,9.946,7.646,10.834,9.35,9.27,8.836,12.073,12.034,11.046,11.726,12.611,11.767,12.966,13.081,15.111,11.443,11.715,13.655,15.558,13.836,15.511,17.26,18.49,21.282,20.558,21.728,21.963,25.01,21.181,21.808,22.637,23.808,23.289,23.383,24.564,26.611,27.043,29.748,30.204,33.64,32.242,32.534,31.476,33.588,31.949,33.876,33.899,33.857,33.798,35.184,33.881,33.989,35.392,38.548,35.963,37.051,38.599,41.178,42.922,43.881,45.683,44.46,43.081,47.094,45.416,45.482,48.865,46.262,46.754,45.825,46.052,47.699,47.926,49.925,51.111,54.812,52.341,53.665,53.58,55.916,51.894,55.093,56.518,57.312,55.289,55.34,59.866,63.207,67.988,69.389,69.225,71.112,77.645,82.968,86.376,87.939,89.809,89.485,94.798,93.607,108.888,102.708,100.792,103.555,101.12,101.601,102.397,105.935,106.669,106.503,98.417,104.16,98.211,101.346,95.018,97.619,103.483,104.186,103.275,97.855,104.944,99.886,107.602,110.544,101.671,98.981,105.265,99.639
"48","40","Imports of services \1\","B656RA3",22.122,23.04,23.594,22.792,22.958,22.754,23.575,23.906,23.863,24.685,24.894,25.627,25.191,26.505,26.504,26.035,25.231,25.66,25.223,25.154,26.739,26.788,25.518,26.515,27.215,26.109,24.25,24.427,24.986,25.754,25.236,25.911,25.222,23.752,23.76,24.735,25.346,25.676,26.316,26.857,27.208,27.712,27.051,27.418,28.915,28.861,29.436,29.976,29.774,29.796,29.594,29.636,29.535,28.685,28.422,29.507,30.811,31.026,30.365,30.641,31.236,32.534,32.361,33.255,32.95,34.505,35.914,36.465,40.727,42.634,44.761,46.773,47.772,48.005,46.191,46.231,47.752,45.592,48.286,48.924,50.823,53.196,53.163,55.638,55.027,54.017,54.992,56.004,56.67,57.091,58.289,58.661,61.056,61.484,62.03,61.151,59.155,60.475,59.453,60.312,59.022,57.962,57.725,58.577,58.438,59.217,60.189,62.262,63.367,63.69,63.522,63.103,65.452,64.655,65.177,66.685,67.786,68.378,70.208,70.002,73.173,73.881,77.031,78.315,81.556,83.338,85.528,86.468,87.759,89.157,91.091,92.144,96.598,99.076,102.402,101.924,100.624,103.689,98.591,95.921,101.358,100.577,100.995,104.367,101.487,97.234,102.019,106.687,110.835,113.211,113.712,116.597,115.549,115.396,115.396,118.254,120.981,120.953,121.341,125.445,126.172,124.888
"49","41","  Direct defense expenditures","B752RA3",217.679,215.693,221.771,223.155,221.33,222.217,229.089,233.363,238.278,236.129,239.035,244.829,230.825,242.543,231.337,230.606,204.145,204.897,201.645,204.579,200.274,210.911,180.141,192.472,177.36,164.785,132.487,153.945,151.249,153.846,141.927,140.005,135.228,119.641,113.523,121.904,112.05,120.96,115.511,113.614,117.449,124.385,119.428,119.798,126.549,129.907,128.89,137.367,127.926,125.005,124.485,128.143,140.788,133.886,131.451,146.859,140.707,159.055,139.036,148.705,148.559,158.916,159.001,164.252,165.783,170.223,173.472,177.293,162.542,169.505,165.473,181.443,190.063,176.801,159.961,181.371,162.609,165.651,150.844,155.106,151.344,145.593,145.24,148.254,137.362,134.395,138.475,140.619,140.422,140.679,133.729,130.042,131.957,125.416,131.84,138.986,147.651,121.944,111.228,109.927,110.994,102.741,89.065,96.337,95.634,92.692,85.732,83.126,82.825,77.917,68.141,64.524,70.415,61.773,62.474,65.534,71.85,70.943,72.325,72.627,78.727,76.753,85.821,90.424,89.277,84.93,92.319,88.913,90.691,96.547,102.016,93.264,95.053,101.542,105.587,97.818,100.607,102.155,107.302,126.921,133.189,137.023,132.956,136.119,138.853,147.745,153.052,160.807,157.249,165.041,160.845,148.947,146.858,150.188,148.423,148.675,150.642,142.869,144.602,138.347,142.609,136.976
"50","42","  Travel","B768RA3",15.114,18.021,19.539,15.883,15.948,15.28,15.891,15.004,16.416,16.676,16.953,17.356,18.8,19.628,19.629,19.708,20.1,19.503,18.729,19.351,20.732,20.715,21.035,21.539,20.843,20.691,19.49,18.24,17.846,17.939,17.623,17.748,17.344,16.649,17.113,17.54,17.914,17.658,18.265,19.181,19.063,19.037,18.541,18.591,18.937,18.782,20.227,19.763,19.081,19.268,18.806,18.656,19.376,18.291,18.886,19.165,20.586,19.353,20.106,20.046,21.544,23.654,23.746,25.994,24.396,26.668,28.591,27.907,44.124,46.623,52.548,53.312,56.412,57.501,54.552,48.544,52.825,44.719,51.591,52.602,57.157,60.167,59.114,62.763,62.581,59.149,61.276,62.8,62.096,61.462,63.667,66.034,68.26,69.411,67.459,65.453,57.974,64.054,61.361,61.641,63.06,62.989,61.59,64.642,64.155,63.476,65.913,71.095,69.029,69.793,68.424,66.794,70.159,68.459,66.891,70.681,72.647,70.452,71.818,72.115,76.552,75.809,78.929,80.496,86.492,88.086,89.172,88.701,87.233,89.173,90.425,92.441,98.431,99.424,99.571,102.574,100.352,106.381,92.241,82.086,92.554,89.939,87.485,90.892,85.905,72.15,82.024,85.889,86.725,87.792,86.936,86.402,87.547,85.615,83.246,85.668,89.992,88.754,87.806,93.063,92.875,88.718
"51","43","  Passenger fares","B769RA3",12.092,11.879,11.673,12.218,11.675,12.15,12.903,12.982,14.196,14.689,15.406,15.788,16.712,16.431,17.587,16.706,14.384,17.162,16.096,18.591,18.44,19.374,19.716,20.847,24.969,22.885,21.292,20.214,20.636,21.131,21.076,24.031,22.323,20.397,22.009,22.525,24.007,22.826,23.622,24.357,22.972,23.74,23.448,25.018,27.375,26.118,26.389,25.763,27.543,27.618,26.818,26.656,25.529,26.513,27.719,26.421,31.045,30.047,30.313,30.654,32.493,31.151,30.205,31.76,34.759,39.702,40.596,42.611,34.887,40.032,38.653,40.711,41.996,48.772,46.044,42.763,44.782,41.132,43.866,44.949,46.955,48.475,48.249,48.936,48.542,48.2,48.202,50.948,52.194,52.688,53.653,51.736,62.072,63.754,61.898,57.11,47.548,52.842,52.987,55.46,54.173,52.461,51.955,56.682,56.109,56.387,59.586,62.816,65.653,66.916,68.336,66.634,67.198,70.822,73.08,74.284,74.148,75.307,77.702,76.544,79.783,83.664,85.078,80.12,83.09,89.633,92.342,92.241,91.813,91.49,92.673,95.483,98.236,101.909,103.738,96.116,88.45,92.972,88.151,71.599,71.706,70.514,67.971,77.192,70.841,67.92,76.287,79.753,84.401,91.449,89.854,87.67,86.639,88.805,92.333,91.056,89.94,90.874,89.036,87.85,89.29,86.266
"52","44","  Other transportation","B770RA3",29.605,28.888,26.729,28.854,31.424,30.713,32.194,31.417,28.069,33.334,32.712,34.183,30.961,34.897,36.895,34.213,36.907,38.273,38.52,33.649,43.092,38.512,37.023,38.276,44.28,42.431,42.321,41.544,39.08,42.825,44.004,47.24,43.777,39.539,40.171,42.119,45.043,45.284,47.686,49.416,51.634,53.598,52.101,51.364,54.536,53.913,54.186,54.805,55.379,55.442,56.326,56.194,52.046,50.286,46.497,47.654,50.342,50.63,48.799,46.815,44.99,44.36,42.606,42.054,42.918,42.459,46.555,48.724,52.327,53.477,54.726,55.201,55.08,55.192,52.884,56.489,53.69,53.178,58.246,58.898,57.945,64.014,64.902,70.314,70.225,70.395,68.847,67.67,70.168,71.099,73.357,72.564,75.999,77.535,79.011,76.342,73.597,76.543,77.38,76.967,74.15,71.436,73.712,72.371,73.276,75.133,74.006,75.794,76.158,78.588,81.527,79.709,80.426,78.849,79.486,76.646,74.358,79.129,79.53,77.84,80.977,83.632,83.091,87.99,89.227,88.191,88.674,92.578,91.272,88.237,89.879,90.94,95.312,99.52,103.552,101.616,100.028,96.698,89.655,92.882,91.888,97.896,97.931,101.198,103.426,100.364,97.786,99.116,108.66,109.345,111.009,115.155,121.912,117.266,112.076,116.617,118.15,121.024,125.262,128.471,127.495,125.519
"53","45","  Royalties and license fees","B908RA3",4.826,4.792,4.749,5.04,5.53,5.029,4.965,5.12,5.93,5.647,5.675,6.337,5.635,5.952,5.503,5.54,5.438,5.353,5.854,6.259,6.384,6.7,6.364,7.264,8.469,7.966,7.827,8.763,9.605,9.122,8.607,8.327,11.313,11.353,9.086,10.04,11.066,10.799,8.893,9.19,9.976,9.156,9.069,10.484,11.942,11.131,11.325,11.544,12.739,12.655,12.061,13.566,10.607,8.23,7.423,14.596,11.554,5.845,9.146,8.789,8.002,8.271,8.13,8.569,8.334,9.108,9.475,10.584,10.636,10.329,11.612,12.006,10.554,10.348,11.52,10.707,11.796,13.051,12.932,12.304,13.714,16.437,15.945,17.948,20.817,21.52,22.207,21.938,20.092,20.644,18.397,21.276,22.658,21.748,24.112,26.719,27.089,30.381,30.985,29.718,40.03,32.455,42.491,31.988,31.995,35.014,36.057,36.716,44.21,35.786,38.472,40.619,41.961,43.97,46.915,50.63,46.918,47.194,59.317,49.961,56.513,55.823,62.029,59.213,69.285,67.371,71.66,75.86,77.722,80.589,82.108,86.037,92.059,93.555,112.19,102.196,98.552,96.794,96.975,101.382,115.549,111.911,117.766,108.52,103.769,106.398,112.859,114.055,119.476,124.582,137.846,136.888,130.597,133.133,134.728,132.472,142.898,136.587,135.132,137.953,138.803,140.57
"54","46","  Other private services","B909RA3",1.582,1.697,1.87,1.832,1.784,1.978,2.021,2.119,2.176,2.223,2.19,2.194,2.189,2.333,2.374,2.318,2.491,2.549,2.598,2.538,2.606,2.676,2.554,2.646,2.868,2.881,2.896,3.089,5.962,5.933,5.803,5.884,6.239,6.646,6.768,7.009,7.477,7.715,8.334,8.51,8.449,8.288,8.235,8.574,9.39,9.674,9.777,10.374,10.995,11.203,11.083,11.137,10.794,11.536,11.628,11.38,12.759,13.074,13.466,14.096,14.812,15.308,15.209,15.211,13.81,14.224,14.367,14.328,14.629,15.025,15.956,17.964,16.73,16.634,17.936,19.532,23.969,25.614,25.991,26.192,28.049,29.041,29.141,29.48,29.758,30.127,30.991,32.538,34.132,35.279,37.289,36.9,38.034,38.324,39.553,39.55,42.241,42.51,42.421,45.447,39.562,40.755,41.466,41.272,40.978,43.227,44.701,45.881,48.178,49.599,49.671,51.814,53.695,54.586,55.943,56.923,59.169,60.584,61.139,63.52,64.258,65.149,68.927,70.773,71.93,76.187,78.183,79.799,86.023,88.906,90.966,92.323,96.301,98.196,100.907,104.596,106.369,111.908,112.621,112.516,117.093,114.222,118.72,123.352,119.586,118.561,121.143,130.06,135.502,136.361,136.134,150.125,141.877,145.084,150.476,156.835,158.709,161.551,161.602,171.214,172.77,176.48
"55","47","  Other","B910RA3",51.311,52.652,54.147,55.787,53.382,52.961,53.727,68.505,54.336,54.819,54.976,56.893,55.751,54.647,54.095,55.525,52.077,53.698,53.999,52.507,51.487,53.637,53.708,52.232,53.061,51.838,53.848,50.767,50.667,51.764,50.605,47.566,48.945,51.644,48.77,48.973,50.933,53.408,56.224,52.731,53.951,52.734,52.925,55.195,55.871,56.013,55.594,57.383,57.416,57.851,57.851,53.075,52.754,51.89,56.489,51.043,52.604,53.474,53.398,51.868,53.139,57.873,64.445,60.181,64.25,66.719,61.574,61.061,61.893,63.872,66.883,69.368,73.083,70.712,69.781,67.004,68.519,64.024,67.91,64.558,67.082,73.314,78.309,81.684,76.923,75.516,77.053,74.765,74.252,74.227,76.333,80.693,73.578,77.118,79.543,76.004,74.411,76.563,85.066,81.129,77.642,84.061,80.905,81.086,82.868,81.55,83.93,76.803,82.671,84.4,87.076,85.478,90.321,84.311,85.436,84.74,86.509,86.938,89.088,88.838,89.111,90.906,93.312,91.765,93.016,92.144,97.869,96.125,93.7,92.671,97.783,94.877,97.395,99.549,101.647,101.408,102.684,103.485,103.924,104.13,105.411,102.899,101.947,102.063,102.795,101.341,102.37,104.049,108.392,110.76,112.24,111.243,112.831,108.59,109.478,109.077,109.577,108.305,108.775,110.409,110.748,109.388
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RA3",7.498,7.561,7.361,7.44,7.736,8.039,8.507,8.394,7.736,9.113,9.181,9.299,9.407,9.798,9.735,9.706,9.556,9.64,9.999,9.176,10.269,10.19,10.697,11.225,12.313,13.067,13.45,13.978,14.656,15.665,15.001,15.63,14.942,14.932,14.74,15.072,14.898,15.024,15.32,15.29,14.99,15.42,15.214,14.773,15.213,16.842,16.988,18.29,18.742,18.459,18.818,20.626,21.996,21.75,20.654,21.085,20.712,21.564,20.188,19.947,18.576,18.672,17.9,16.482,16.856,17.306,17.35,18.644,18.592,19.07,19.619,20.455,20.622,21.299,20.823,21.247,21.373,22.331,22.026,23.16,23.276,24.523,25.72,27.976,29.748,31.218,31.485,33.463,34.282,35.848,36.457,37.062,39.446,39.693,40.011,39.858,40.525,42.443,43.627,44.207,45.201,45.023,46.609,47.614,47.317,47.97,48.078,50.67,51.339,53.102,55.868,57.218,59.271,60.804,63.445,64.978,66.32,68.037,69.645,73.462,77.137,81.582,84.576,84.307,85.102,82.777,83.287,86.939,85.438,86.181,89.513,92.77,95.507,99.582,103.064,101.847,100.033,94.109,87.909,84.868,84.001,87.375,88.216,85.585,85.093,85.766,87.406,92.957,95.307,97.638,99.313,100.272,102.206,106.022,108.285,113.526,116.819,118.268,120.428,123.935,124.296,126.466
"58","49","  Exports of nondurable goods","B339RA3",20.917,20.612,20.635,21.175,21.703,21.273,23.094,22.139,17.244,24.627,22.796,24.378,25.115,25.062,25.498,26.43,25.827,25.368,28.49,22.537,27.801,26.479,28.394,30.995,33.517,34.602,33.235,35.864,35.222,35.467,32.938,32.332,33.934,30.337,32.439,35.639,35.207,35.895,36.534,37.435,36.687,37.495,39.123,36.842,36.507,43.285,43.433,43.061,41.597,43.342,47.027,49.296,48.438,51.433,53.005,50.992,53.333,50.213,51.344,54.323,51.9,52.909,49.598,48.468,48.662,47.652,49.431,49.002,48.614,49.642,51.635,52.533,50.825,47.902,48.12,50.311,50.162,48.98,52.357,53.538,51.533,52.742,56.935,56.048,59.241,58.648,60.27,61.328,61.492,66.25,65.053,66.087,66.353,67.239,67.335,68.923,71.604,70.017,71.276,72.862,74.439,75.73,77.155,76.903,75.218,75.997,74.077,76.746,74.354,77.255,81.025,83.723,83.242,83.025,85.494,85.041,86.606,84.849,85.621,90.158,89.99,91.865,93.089,94.453,92.897,91.576,90.892,93.752,91.069,92.721,94.432,96.836,96.805,97.524,103.809,101.861,101.522,100.429,97.902,98.49,99.527,101.384,100.916,100.01,102.875,100.178,102.781,103.735,103.954,104.19,105.268,108.917,109.233,111.553,108.041,106.811,112.678,115.396,117.378,118.548,118.653,119.714
"59","50","  Exports of agricultural goods \2\","B181RA3",31.78,31.341,30.311,31.812,33.198,29.748,31.509,30.377,19.987,34.588,30.645,34.298,32.82,34.253,35.207,37.053,35.625,33.695,37.542,32.251,37.934,37.107,39.666,45.157,51.191,52.157,47.291,52.177,48.884,48.816,44.12,44.148,48.937,41.779,46.528,51.456,50.724,52.65,53.445,54.469,53.522,53.744,54.554,54.584,55.922,69.736,67.797,62.753,57.427,63.899,70.513,75.73,71.154,76.511,80.176,73.355,77.271,71.952,73.302,78.427,72.864,78.765,69.309,66.517,68.498,66.875,71.766,67.5,67.487,64.962,68.394,71.617,63.285,56.75,56.614,59.885,58.977,54.02,61.983,63.369,56.852,58.494,71.468,63.514,70.566,67.12,67.893,69.556,69.733,74.082,70.734,72.128,76.341,73.958,73.528,69.153,71.581,69.866,74.803,76.685,78.939,80.077,85.608,83.7,80.965,82.746,77.102,78.573,74.907,78.684,85.1,91.702,93.437,92.31,94.267,88.575,93.565,87.245,87.114,92.351,89.227,90.038,92.316,95.064,94.525,90.166,86.702,95.338,86.025,91.877,97.998,93.778,97.252,97.768,105.665,99.315,101.917,103.384,102.793,104.805,104.307,103.29,98.874,95.934,100.511,100.259,105.519,101.606,95.777,90.603,95.216,104.084,100.232,101.862,100.457,103.136,107.823,111.596,112.124,108.478,107.343,114.798
"60","51","  Exports of nonagricultural goods","B182RA3",11.828,11.859,11.743,11.832,12.247,12.816,13.752,13.412,12.066,14.504,14.344,14.611,14.91,15.268,15.021,15.06,14.964,15.106,15.991,13.801,16.032,15.543,16.402,17.302,18.643,19.643,20.109,20.878,21.818,22.988,22.022,22.659,21.745,21.444,21.346,21.991,21.692,21.855,22.22,22.268,21.684,22.413,22.356,21.248,21.556,23.926,24.31,26.004,26.408,25.929,26.697,28.622,29.954,29.964,28.719,29.273,29.087,29.683,28.083,28.013,26.233,25.833,24.633,22.96,23.126,23.169,22.887,24.162,23.729,24.301,24.579,25.208,25.275,25.62,25.256,25.903,26.042,26.928,26.912,28.077,28.134,29.375,30.555,32.762,34.548,35.867,36.437,38.23,38.942,41.129,41.578,42.241,43.994,44.588,44.904,45.468,46.529,47.838,48.796,49.542,50.606,50.699,51.993,52.896,52.422,53.035,53.04,55.758,55.971,57.889,60.669,62.005,63.414,64.663,67.309,68.866,69.955,71.371,72.891,76.797,79.923,83.923,86.455,86.418,86.635,84.765,85.249,88.283,87.042,87.656,90.317,93.878,95.758,99.107,103.099,102.036,100.337,95.293,89.75,87.38,87.024,90.29,91.149,89.057,89.192,88.915,90.548,95.46,97.816,100.133,101.335,102.496,104.41,107.923,108.589,111.879,115.887,117.561,119.784,123.09,123.496,124.79
"61","52","  Imports of durable goods","B333RA3",4.989,4.91,5.066,5.524,6.261,6.37,6.701,6.763,5.911,7.508,7.366,7.1,7.027,7.235,7.1,7.29,7.429,8.139,8.149,7.83,9.048,8.818,8.918,9.502,10.044,9.609,9.518,9.462,9.568,9.896,9.906,9.411,8.295,7.342,7.831,8.226,9.141,9.538,9.913,10.233,10.347,10.971,11.028,11.591,12.385,12.738,12.694,12.962,12.602,12.988,13.011,13.345,13.782,13.061,12.415,13.094,13.304,14.193,14.333,14.882,14.608,14.645,14.523,13.579,15.467,16.249,17.606,19.808,21.469,22.659,23.64,24.213,24.38,25.189,25.443,26.177,26.352,27.901,28.056,28.269,27.892,28.656,28.984,29.927,29.584,29.365,30.088,31.241,31.242,31.714,31.08,31.625,31.775,32.515,32.534,32.174,31.323,31.578,33.083,33.725,34.514,35.524,36.175,37.078,38.527,39.453,40.149,42.145,43.366,45.877,47.502,49.995,51.049,52.038,52.031,53.038,55.008,56.68,58.762,59.98,63.444,66.133,68.512,70.124,73.144,74.973,75.537,79.411,81.397,85.165,88.698,91.646,95.683,99.154,102.596,102.568,99.047,93.793,91.669,90.51,93.723,97.766,99.225,99.719,98.699,100.686,100.903,106.851,109.393,115.619,118.331,121.819,122.109,124.337,126.779,130.839,134.705,136.229,138.718,139.484,139.127,138.548
