"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"59","51","Retail trade industries","PK443",90.121,90.472,90.536,90.126,89.949,89.749,89.67,89.871,89.875,89.836,89.795,89.596,89.514,89.256,88.928,88.725,88.883,88.609,88.906,89.005,88.825,88.803,88.792,88.642,88.951,88.708,88.687,89.568,89.688,89.529,90.066,90.419,90.79,90.753,90.636,90.825,91.299,91.705,92.4,92.194,91.918,92.299,92.532,91.84,92.575,92.467,92.409,92.55,92.555,92.599,92.442,92.38,93.037,93.029,92.511,92.083,92.357,91.738,91.001,90.6,90.556,90.544,91.003,91.663,91.496,91.484,91.605,91.742,91.707,91.825,91.758,91.611,92.042,92.632,92.603,91.757,90.876,90.923,91.308,91.824,92.251,91.785,91.785,91.945,92.474,92.777,92.999,93.01,93.594,93.91,93.767,93.658,93.899,94.654,95.154,95.013,94.742,95.121,95.348,95.713,95.463,95.431,96.078,96.782,98.544,98.231,97.062,96.974,97.664,97.505,97.605,98.276,98.466,98.524,99.157,99.55,98.499,97.471,97.236,97.907,97.901,98.262,98.93,99.206,99.688,99.818,99.951,99.682,100.142,100.393,101.457,101.692,101.923,102.064,102.287,102.348,102.962,104.259,105.054,104.7,104.812,103.153,99.406,97.273,97.635,98.51,98.127,98.276,98.71,100.633,100.377,100.888,101.196,101.493,102.035,102.144,102.524,102.359,102.314,102.12,101.946,101.786,101.918,102.131,102.337,102.868,103.098,103.854,104.286,104.811,105.677,106.208,106.785,106.916,107.099,107.422,107.659,107.454,107.516,107.394,107.669,108.133,108.54,108.191,107.773,107.696,107.516,108.252,108.87,108.979,108.269,108.021,107.888,108.828,108.257,107.233,107.119,107.86,107.929,107.987,108.033,107.836,107.679,107.816,107.797,107.735,107.641
"60","52","  Motor vehicle and parts dealers","PK4413",95.887,96.382,96.929,95.969,95.859,95.375,95.463,96.089,95.682,96.032,96.256,95.698,95.885,95.731,95.413,95.591,95.486,94.344,95.493,96.174,95.753,95.821,96.22,95.923,96.455,96.114,95.775,95.776,96.479,95.835,96.669,96.936,97.162,97.53,97.009,96.918,97.527,96.972,97.445,98.166,97.669,97.45,98.265,97.136,98.028,97.853,98.136,99.069,98.677,98.685,98.734,98.572,98.15,98.512,98.606,98.785,97.845,98.511,98.642,99.165,98.607,98.219,98.278,98.402,98.404,98.403,98.734,98.822,98.887,98.814,98.638,98.422,97.791,97.576,97.69,97.448,97.31,97.052,97.082,96.773,96.616,96.107,96.046,96.035,96.148,96.342,96.466,96.595,96.758,96.811,96.672,96.379,96.758,97.106,97.732,98.001,98.161,98.324,98.296,98.467,98.805,98.796,98.518,98.184,98.501,98.912,99.137,99.238,99.408,99.447,99.513,99.576,99.616,99.55,99.731,99.753,99.742,99.688,99.509,99.416,99.519,99.468,99.695,99.742,99.75,99.71,99.859,99.977,100.14,100.227,100.473,100.5,100.342,99.991,99.764,99.422,99.307,99.164,99.219,99.092,98.936,98.583,98.374,97.989,98.148,98.267,98.376,98.666,99.072,99.622,99.489,99.918,100.739,101.792,102.659,103.25,103.681,103.951,104.057,104.263,104.401,104.642,104.889,105.113,105.139,105.141,105.224,105.274,105.537,105.84,106.113,106.659,107.538,108.198,108.327,108.445,108.44,108.35,108.392,108.447,108.575,108.686,109.005,109.349,109.682,109.743,109.71,109.593,109.509,109.554,109.635,109.716,109.789,109.758,110.048,110.136,110.126,110.17,110.163,110.202,110.338,110.395,110.479,110.494,110.37,110.422,110.551
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",159.97,160.496,160.12,159.753,159.564,159.671,158.642,158.298,158.3,157.849,157.179,157.348,156.434,156.06,155.979,156.039,154.102,154.319,154.606,153.533,153.466,152.455,151.781,151.06,150.922,150.053,149.312,149.122,148.125,147.435,146.377,146.562,146.321,144.8,143.989,143.468,143.485,143.058,143.539,142.912,142.397,141.912,142.13,141.213,142.005,140.718,140.013,138.902,139.009,138.264,137.579,137.101,136.063,135.768,135.489,134.431,133.472,133.204,133.062,131.729,131.309,130.653,130.218,130.107,130.055,129.587,128.958,128.426,127.87,127.554,126.732,126.155,125.696,125.203,124.753,124.376,123.257,122.583,122.314,121.904,121.371,121.327,120.81,120.386,120.311,120.311,120.086,119.963,119.385,119.467,118.809,118.215,117.914,117.709,117.218,116.768,116.74,116.197,116.26,116.205,115.986,115.243,114.981,114.463,114.233,113.901,113.754,113.814,113.594,113.125,112.721,112.369,111.784,111.388,111.293,111.253,110.652,110.607,110.191,109.765,109.293,109.402,109.049,108.659,108.326,108.132,107.615,106.837,106.652,106.195,105.735,105.376,105.384,105.207,105.241,104.102,103.879,103.835,103.835,103.835,103.613,103.456,102.746,102.159,101.974,101.874,101.647,101.488,101.173,100.807,99.815,98.798,98.608,98.298,98.033,97.508,97.187,96.464,96.207,95.596,95.296,94.597,93.996,93.647,93.44,93.292,92.659,91.913,91.822,91.704,91.461,91.425,91.325,91.251,90.912,90.484,89.96,89.685,89.306,89.082,88.96,88.709,88.34,87.761,87.616,87.174,86.859,86.279,85.909,85.663,85.345,84.806,84.833,84.676,84.213,83.403,83.335,83.142,82.228,81.923,81.665,81.408,81.086,80.526,80.649,80.062,79.85
"62","54","  Building material and garden equipment and supplies dealers","PK4443",99.601,100.224,100.638,100.857,101.039,100.477,100.67,100.177,99.653,98.832,98.924,97.933,98.191,98.564,98.687,98.15,97.652,96.869,97.009,96.925,96.283,95.23,95.154,95.402,95.271,96.118,96.521,96.516,96.917,98.229,99.046,98.34,97.175,96.208,96.185,96.358,95.728,96.829,97.58,96.89,96.336,96.349,95.828,95.356,95.596,95.913,96.606,96.875,96.708,96.654,96.434,95.498,98.298,98.767,97.578,96.663,95.941,94.68,94.254,92.562,94.403,94.769,95.184,95.516,95.277,95.077,95.08,95.143,94.73,94.409,94.429,94.238,94.28,94.643,94.449,94.176,94.136,94.116,94.415,94.577,95.368,95.399,95.468,95.173,95.736,96.668,97.423,98.261,98.566,98.114,97.921,98.565,98.801,98.248,97.77,98.061,98.858,99.567,99.824,99.998,99.577,99.97,99.828,99.686,100.148,100.456,99.886,99.971,100.458,100.951,101.117,101.193,101.074,100.749,100.607,100.377,100.603,99.906,100.267,100.516,100.647,100.988,101.225,101.041,100.957,101.27,101.237,100.767,100.73,100.554,100.464,100.506,100.235,100.247,100.506,100.56,100.972,100.701,101.086,101.409,101.702,101.534,100.928,100.866,100.271,100.193,100.011,100.164,100.412,100.602,100.67,99.701,99.674,99.437,99.409,99.366,99.522,99.847,100.233,100.753,101.057,100.341,99.839,99.378,99.293,99.332,99.156,99.324,99.885,100.281,100.811,100.845,100.838,100.661,100.837,101.516,101.554,101.648,101.48,101.439,101.918,102.474,102.641,102.85,103.027,102.991,102.822,102.86,102.827,102.759,103.215,103.238,103.954,104.446,104.56,104.973,104.494,104.194,103.964,104.227,104.629,104.625,104.509,104.209,104.601,105.261,105.249
"63","55","  Food and beverage stores","PK4453",72.243,72.537,72.333,72.414,72.406,72.797,72.661,72.736,72.836,72.86,73.366,73.231,73.552,73.658,73.623,73.539,73.749,73.98,73.773,73.929,74.251,74.218,74.494,74.734,75.253,75.33,75.097,75.337,75.439,75.548,75.559,75.927,76.506,76.194,76.719,76.629,77.215,77.496,77.476,77.632,78.014,77.916,78.396,78.622,78.449,78.643,78.151,78.763,78.703,79.093,79.43,79.682,79.977,80.127,80.734,80.586,80.902,81.031,80.509,81.133,80.779,81.129,81.164,81.671,81.179,81.26,81.385,81.453,81.5,81.382,81.63,81.632,81.797,82.179,82.362,82.268,82.208,82.718,82.915,83.293,83.559,83.748,84.164,84.574,84.487,84.639,84.972,85.116,85.839,86.043,86.136,86.198,86.086,86.677,87.018,86.94,86.795,86.686,86.864,87.56,87.573,87.506,87.758,87.86,88.188,88.245,88.383,88.429,88.758,88.642,88.775,88.747,88.801,89.033,89.288,89.532,89.654,89.72,89.605,89.674,90.311,90.965,91.412,91.748,92.115,92.583,92.869,93.116,93.513,93.923,94.461,94.746,95.304,95.741,96.028,97.069,97.559,98.344,99.444,99.906,100.446,100.626,100.322,99.959,100.064,100.023,99.916,99.943,99.707,100.159,99.877,100.023,99.824,99.984,100.156,100.32,100.472,100.612,100.811,100.847,100.911,100.861,101.018,101.14,101.449,101.664,101.828,102.193,102.63,103.309,104.15,104.485,104.925,105.129,105.525,106.176,106.828,107.019,107.047,107.261,107.549,107.66,107.953,108.003,107.915,108.186,108.308,108.512,108.435,108.74,108.832,108.949,108.934,109.202,109.241,109.197,109.017,109.361,109.571,109.753,109.712,109.74,109.672,109.719,109.779,110.098,110.557
"64","56","  Clothing and clothing accessories stores","PK4483",112.121,111.966,111.738,113.382,113.466,112.765,112.579,111.531,111.658,111.135,111.12,111.399,111.122,110.055,109.931,109.294,110.108,109.887,109.655,110.983,109.528,109.899,109.647,108.652,108.753,107.888,107.503,108.962,108.849,108.825,108.983,108.194,108.012,108.778,108.565,108.022,107.714,107.997,107.978,107.366,107.031,106.514,106.502,106.011,106.923,106.442,106.325,106.15,106.327,106.797,106.968,105.179,104.818,105.055,104.733,103.793,103.395,103.221,103.103,103.057,102.832,102.75,103.366,103.208,102.745,102.323,101.891,102.417,101.816,101.549,101.482,101.178,100.628,100.403,99.503,99.283,99.071,99.451,99.836,99.771,99.666,99.716,99.443,98.829,99.018,98.99,99.25,99.47,99.7,99.887,99.668,99.1,98.831,99.084,99.366,98.967,99.076,98.809,99.107,98.62,98.715,98.188,97.932,98.469,98.286,98.019,98.151,97.832,98.008,97.201,97.96,98.56,98.948,99.105,98.31,99.046,99.296,99.018,98.699,99.011,99.265,99.711,99.229,98.815,98.778,98.554,98.289,97.825,97.988,98.397,98.639,99.086,99.275,98.947,98.62,98.907,98.921,98.814,99.289,99.847,99.781,99.155,99.068,98.481,98.463,99.714,100.011,99.955,99.819,100.191,100.051,100.135,100.729,100.462,100.089,100.412,100.057,100.027,100.185,99.596,99.736,99.855,99.568,99.801,99.613,99.194,99.452,99.728,100.238,100.198,100.09,100.32,101.202,101.985,102.693,103.919,103.112,103.495,103.979,104.132,104.668,104.25,104.712,104.678,104.869,105.219,104.83,104.863,105.409,105.928,105.278,105.261,106.027,105.935,104.943,104.482,104.669,105.534,106.262,106.453,105.892,105.461,105.268,105.628,105.413,105.005,105.33
"65","57","  General merchandise stores","PK4523",96.479,96.991,97.333,97.295,97.567,97.319,97.17,96.857,96.764,96.651,96.541,96.733,97.016,96.57,96.714,96.204,96.997,96.69,96.717,97.01,96.806,96.997,96.702,96.522,97.186,96.413,96.362,96.887,96.919,96.711,97.035,96.708,96.796,96.879,97.02,96.657,97.134,96.671,96.56,96.723,97.168,96.697,96.882,96.679,96.941,96.614,96.471,96.645,96.712,96.685,96.886,96.275,96.017,96.171,96.149,95.683,95.818,95.735,95.652,95.377,95.184,95.342,95.303,95.609,95.216,95.125,95.007,95.14,94.945,94.753,94.767,94.555,94.449,94.479,94.324,94.259,94.016,94.221,94.442,94.553,94.571,94.595,94.615,94.549,94.637,94.785,94.977,95.057,95.343,95.466,95.394,95.197,95.165,95.58,95.791,95.561,95.647,95.575,95.67,95.958,96.043,95.812,95.884,96.032,96.21,96.255,96.246,96.282,96.521,96.355,96.647,96.804,96.933,97.052,97.12,97.365,97.379,97.246,96.957,97.106,97.279,97.681,97.884,97.906,98.014,98.092,98.108,97.94,98.138,98.489,98.812,98.946,99.184,99.258,99.308,99.67,99.874,100.192,100.718,101.02,101.327,101.131,100.379,99.628,99.776,100.221,100.168,100.179,100.063,100.515,100.111,100.059,100.025,99.788,99.606,99.513,99.551,99.461,99.489,99.198,99.019,98.865,98.748,98.688,98.702,98.631,98.535,98.631,98.916,99.161,99.428,99.581,99.875,100.042,100.248,100.597,100.662,100.611,100.532,100.548,100.843,100.827,100.915,100.58,100.459,100.458,100.308,100.27,100.192,100.323,100.061,99.788,99.974,100.04,99.597,99.12,99.163,99.355,99.139,99.051,98.782,98.635,98.49,98.351,98.328,98.279,98.34
"66","58","    Department stores","PK45213",106.589,107.278,107.857,107.767,108.149,107.99,107.421,107.001,106.985,106.876,106.378,107.027,106.921,106.353,106.662,105.822,106.972,106.366,106.426,106.822,106.462,106.613,106.34,105.798,106.19,105.368,105.539,106.117,106.135,105.838,106.013,105.679,105.772,105.837,105.962,105.768,105.628,105.17,105.201,105.119,105.764,105.049,105.08,104.8,105.088,104.789,104.649,104.707,104.424,104.637,104.651,104.153,103.423,103.565,103.451,103.033,102.784,102.925,102.647,102.264,101.839,101.918,101.983,102.138,101.831,101.637,101.401,101.635,101.292,101.158,101.093,100.783,100.528,100.392,100.05,100.014,99.782,99.932,100.183,100.183,100.108,100.124,99.957,99.637,99.764,99.878,100.039,100.141,100.256,100.353,100.177,99.825,99.787,100.119,100.268,99.872,100.166,100.066,100.19,100.206,100.338,99.999,99.811,99.882,99.706,99.742,99.839,99.828,99.925,99.605,100.07,100.248,100.369,100.425,100.175,100.459,100.68,100.63,100.222,100.324,100.334,100.603,100.564,100.368,100.246,100.026,99.886,99.539,99.589,99.924,100.039,100.177,100.274,100.004,99.792,99.879,99.886,99.782,99.996,100.351,100.507,100.232,100.1,99.702,99.814,100.476,100.567,100.505,100.374,100.458,100.069,99.882,100.033,99.616,99.15,99.078,98.995,98.91,98.928,98.428,98.233,98.151,97.893,97.751,97.584,97.229,97.051,96.986,97.263,97.266,97.181,97.289,97.666,98.018,98.29,98.765,98.489,98.529,98.563,98.572,99.005,98.862,99.025,98.78,98.768,98.798,98.598,98.326,98.313,98.555,98.196,97.868,98.331,98.182,97.522,97.071,97.197,97.402,97.226,97.14,96.752,96.535,96.398,96.326,96.357,96.152,96.19
"67","59","    Other general merchandise stores","PK45293",87.931,88.192,88.168,88.22,88.337,87.921,88.451,88.282,88.061,87.937,88.439,87.921,88.852,88.563,88.473,88.429,88.743,88.863,88.845,89.011,89.024,89.283,88.946,89.258,90.345,89.591,89.237,89.723,89.784,89.685,90.221,89.892,89.979,90.092,90.265,89.7,90.947,90.454,90.17,90.634,90.86,90.668,91.042,90.922,91.166,90.799,90.644,90.956,91.417,91.127,91.539,90.8,91.023,91.193,91.262,90.738,91.263,90.96,91.064,90.89,90.91,91.142,91.005,91.454,90.977,90.976,90.958,91.006,90.934,90.69,90.772,90.64,90.656,90.822,90.813,90.726,90.473,90.723,90.925,91.122,91.212,91.243,91.404,91.525,91.585,91.758,91.974,92.04,92.45,92.591,92.595,92.506,92.478,92.955,93.209,93.094,93.037,92.984,93.059,93.532,93.585,93.423,93.664,93.863,94.267,94.318,94.241,94.306,94.634,94.565,94.749,94.893,95.028,95.184,95.444,95.666,95.558,95.378,95.159,95.337,95.605,96.084,96.427,96.572,96.812,97.057,97.161,97.092,97.372,97.732,98.168,98.3,98.613,98.867,99.054,99.558,99.863,100.396,101.079,101.354,101.736,101.579,100.519,99.595,99.759,100.102,99.98,100.024,99.915,100.541,100.13,100.142,100.021,99.868,99.819,99.717,99.811,99.718,99.751,99.557,99.385,99.197,99.145,99.121,99.217,99.274,99.215,99.383,99.673,100.024,100.449,100.621,100.877,100.963,101.141,101.435,101.646,101.556,101.429,101.447,101.685,101.722,101.779,101.407,101.241,101.227,101.098,101.154,101.051,101.137,100.913,100.662,100.738,100.889,100.531,100.042,100.054,100.241,100.01,99.921,99.695,99.575,99.427,99.262,99.22,99.228,99.298
"68","60","  Other retail stores","PK44X3",75.395,75.569,75.298,74.401,73.723,73.528,73.446,74.01,74.449,74.379,73.816,73.795,73.101,72.594,71.717,71.387,71.747,71.98,72.08,71.573,71.585,71.733,71.452,71.309,71.328,71.112,71.538,73.949,73.72,73.515,74.392,75.57,76.587,76.604,76.415,77.44,78.218,79.872,81.662,80.479,79.779,81.695,81.522,80.39,81.806,81.789,81.649,81.035,81.349,81.311,80.57,81.238,83.262,82.634,80.796,80.058,81.975,79.657,77.456,76.054,76.268,76.279,77.65,79.339,79.391,79.547,79.836,80.108,80.298,81.108,81.003,80.961,83.081,85.085,85.146,82.671,80.109,80.147,81.119,82.953,84.311,82.974,82.899,83.535,85.095,85.579,85.747,85.291,86.625,87.594,87.399,87.341,87.968,89.961,91.072,90.567,89.268,90.491,91.032,91.709,90.638,90.771,93.259,95.93,101.546,100.068,95.891,95.476,97.321,96.953,96.903,99.06,99.662,99.872,102.001,103.051,99.292,96.047,95.623,97.865,97.357,97.91,99.805,100.751,102.266,102.461,102.805,102.104,103.276,103.732,106.827,107.357,107.884,108.454,109.193,109.075,110.8,114.835,116.427,114.7,114.713,109.631,98.319,92.45,93.533,95.84,94.656,94.944,96.288,101.638,101.41,103.147,103.669,104.2,105.559,105.561,106.519,105.864,105.468,104.943,104.313,104.021,104.557,105.211,105.799,107.561,108.34,110.608,111.28,112.276,114.339,115.435,116.238,115.956,116.057,116.218,116.89,116.162,116.388,115.86,116.194,117.606,118.491,117.324,115.787,115.393,115.029,117.557,119.716,119.786,117.553,116.87,115.976,118.868,117.267,114.259,114.035,116.134,116.488,116.576,116.855,116.36,116.02,116.628,116.562,116.243,115.586
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
