"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201"
"333","325","P1MUSG D       Museums and libraries","P1MUSG3",18.984,18.192,17.939,18.343,18.311,18.394,18.451,18.298,18.473,18.45,18.542,18.629,18.738,18.782,18.915,18.945,19.169,19.454,19.19,19.135,19.132,19.175,19.198,19.441,19.589,19.485,19.591,19.868,19.82,20.02,20.064,20.539,20.398,20.494,20.596,20.839,21.187,21.243,21.536,21.85,22.273,22.901,23.047,23.301,23.43,23.399,23.605,23.92,24.194,24.583,25.042,25.303,25.622,25.796,26.179,26.605,26.945,27.955,28.51,29.99,30.444,31.049,31.614,32.945,34.042,34.713,35.202,36.013,36.082,36.559,37.788,38.422,38.92,38.781,38.396,39.088,40.09,40.731,41.512,42.344,45.131,45.963,46.799,48.942,50.233,52.132,54.172,55.031,56.239,56.975,58.787,60.13,60.908,61.118,61.95,62.395,62.992,63.384,63.918,64.308,64.725,65.24,64.388,64.048,65.251,66.392,64.721,64.887,66.05,66.674,66.736,67.188,67.635,67.593,67.856,68.326,67.698,68.176,68.83,69.847,71.45,72.48,73.116,73.985,74.604,75.023,75.79,76.695,77.795,77.37,77.026,78.478,79.218,78.74,78.536,80.179,80.622,80.91,81.661,82.089,82.407,82.501,82.947,83.453,84.589,85.665,85.715,86.421,86.284,86.865,87.581,88.73,88.749,89.48,90.305,90.605,91.992,92.314,92.94,93.492,93.843,94.939,96.13,97.881,98.952,99.738,100.561,100.729,101.655,102.709,103.638,104.002,104.194,104.107,104.187,104.084,104.016,104.591,104.796,104.997,105.832,107.54,108.068,109.758,110.704,111.081,111.893,112.72,113.959,114.47,115.794,117.38,119.157,120.982,122.189,123.275,124.43,125.174
"334","326","P1FOUG D       Foundations to religion and welfare","P1FOUG3",17.231,16.17,15.988,16.361,16.665,16.71,16.8,16.799,16.778,16.524,16.805,16.872,16.889,16.856,17.297,17.164,17.277,17.192,17.503,17.445,17.136,17.138,17.249,17.278,17.551,17.586,17.7,17.789,17.851,17.944,18.248,18.4,18.484,18.658,18.77,18.67,18.977,19.179,19.155,19.394,19.919,20.545,20.718,21.006,21.258,21.337,21.353,21.578,21.823,22.27,22.575,22.852,22.97,23.211,23.567,23.996,24.601,25.246,26.054,26.389,27.345,27.708,29.021,29.822,30.822,31.104,31.758,32.642,32.848,33.425,33.432,34.219,34.607,34.917,35.247,35.265,35.129,36.042,36.48,37.563,38.413,40.454,42.116,43.38,44.742,45.894,47.202,47.865,49.535,50.756,51.816,52.472,52.894,53.786,54.495,54.312,55.257,56.248,56.982,57.371,57.626,57.761,58.068,58.18,58.261,58.579,59.189,59.857,60.526,60.788,61.465,61.661,61.955,62.397,63.204,63.895,64.772,66.109,67.242,67.931,68.254,69.23,69.465,69.764,71.063,71.861,72.71,73.241,72.833,72.41,72.692,73.392,74.368,75.534,76.706,77.789,77.807,78.395,78.864,79.429,79.76,80.184,80.848,81.226,81.589,82.189,82.66,83.297,84.304,85.094,85.857,86.736,87.314,87.87,88.575,89.36,90.116,90.991,91.939,92.789,93.596,94.767,95.863,97.013,98.311,99.452,100.541,101.599,103.562,103.917,104.094,103.632,104.319,105.947,108.158,109.522,110.719,111.89,112.579,112.412,113.045,114.651,116.017,117.886,118.469,118.426,118.478,119.83,121.76,122.821,125.127,126.702,127.533,129.112,130.24,131.117,132.466,133.469
"335","327","P1WELG D       Social welfare","P1WELG3",18.182,17.022,16.712,16.863,17.144,17.362,17.541,17.638,17.595,17.559,17.527,17.519,17.565,17.648,17.705,17.779,17.859,17.967,18.052,18.089,18.103,18.081,18.119,18.188,18.357,18.484,18.513,18.65,18.729,18.886,19.007,19.129,19.197,19.298,19.435,19.608,19.879,20.058,20.259,20.63,20.979,21.352,21.657,21.883,22.019,22.116,22.217,22.534,22.851,23.227,23.541,23.786,24.077,24.235,24.625,25.008,25.305,25.621,25.76,26.609,27.508,28.952,30.33,30.902,31.423,31.5,32.5,32.864,33.312,33.494,34.105,34.984,35.847,35.936,35.997,36.739,37.356,38.143,39.022,39.531,40.523,41.663,42.862,44.089,45.826,47.122,48.294,49.79,51.141,51.927,52.865,53.538,53.837,54.331,55.091,55.371,55.462,55.675,56.158,56.592,57.284,57.534,57.936,58.343,58.424,59.005,59.369,59.812,60.144,60.558,60.864,61.533,61.838,62.186,63.136,64.439,65.054,65.818,66.795,67.978,68.673,69.155,69.947,71.01,71.572,72.389,73.21,74.29,74.907,75.817,76.474,77.174,77.826,78.406,78.856,79.5,80.003,80.492,80.996,81.619,82.017,82.553,83.266,83.845,84.643,85.288,85.759,86.355,87.034,87.627,88.233,88.857,89.318,89.808,90.343,91.134,91.836,92.595,93.346,93.941,94.39,95.179,96.118,97.065,98.428,99.536,100.449,101.587,101.532,102.197,102.775,103.228,103.979,104.881,105.962,106.61,107.696,108.385,109.028,109.849,110.614,111.502,112.476,113.059,113.882,114.93,115.852,116.801,117.879,119.017,120.285,121.629,122.563,123.329,124.244,125.263,126.317,127.205
"336","328","P1CHCG D         Child care","P1CHCG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.378,50.532,51.6,53.854,54.08,54.398,55.403,56.753,57.087,57.368,58.678,60.265,60.772,61.409,62.801,64.382,64.802,66.016,66.975,68.028,68.573,69.328,70.052,70.909,71.727,72.476,73.469,74.561,75.543,76.5,77.162,77.982,79.035,79.578,80.193,81.023,81.755,82.704,83.536,84.068,84.857,85.712,86.4,87.624,88.568,89.672,90.799,91.881,92.99,94.098,95.527,96.617,98.151,99.448,100.408,101.926,103.08,104.424,105.554,107.111,108.433,109.481,111.184,112.507,113.703,115.004,115.984,116.923,118.182,119.484,120.444,121.171,122.471,124.095,126.189,127.854,129.778,130.909,132.64,134.54,135.722,137.008,138.183,139.717,141.59,142.791
"337","329","P1SCWG D         Social welfare","P1SCWG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.143,66.579,67.45,68.268,69.057,70.011,70.963,72.053,72.896,73.468,73.986,74.775,75.376,76.273,76.846,77.717,78.397,79.188,79.731,80.304,80.985,81.501,81.857,82.427,82.829,83.228,83.56,84.016,84.199,84.584,85.314,85.808,86.526,87.209,87.63,88.142,88.795,89.263,89.789,90.445,90.797,91.163,91.645,92.285,92.901,93.542,94.166,94.599,94.828,95.509,96.287,97.186,98.491,99.538,100.436,101.452,101.021,101.478,101.89,102.012,102.59,103.448,104.342,104.789,105.845,106.355,106.899,107.685,108.3,109.066,110.044,110.584,111.269,112.146,112.725,113.466,114.293,115.427,116.559,117.74,118.606,119.224,120.065,120.937,121.757,122.556
"338","330","P1RELG D       Religion","P1RELG3",17.849,16.889,16.738,16.893,17.007,17.211,17.343,17.434,17.435,17.39,17.4,17.385,17.406,17.565,17.59,17.66,17.685,17.728,17.851,17.878,17.919,17.873,17.929,18.034,18.211,18.286,18.334,18.457,18.576,18.725,18.824,19.002,19.03,19.188,19.296,19.456,19.7,19.883,20.061,20.389,20.749,21.099,21.404,21.69,21.839,21.953,22.091,22.43,22.745,23.15,23.418,23.603,23.84,23.972,24.341,24.748,24.623,25.327,26.22,27.163,28.519,30.141,29.975,30.96,32.146,32.291,32.691,33.193,35.039,34.224,33.326,34.475,36.173,35.573,37.421,38.338,39.316,38.771,39.578,41.476,42.723,41.414,43.811,45.579,47.699,49.339,48.994,50.819,52.213,52.612,52.538,54.227,55.352,54.666,55.759,56.851,56.844,57.478,58.352,59.153,59.636,60.596,60.981,61.04,60.852,61.597,61.77,62.618,63.407,62.822,63.62,64.672,65.452,66.073,66.691,67.344,69.033,69.766,70.356,71.121,71.713,72.57,72.764,72.427,72.292,72.929,73.058,73.956,74.405,74.845,75.412,75.233,75.862,76.178,76.423,76.822,77.055,77.502,77.819,78.401,78.87,79.48,80.311,80.886,81.615,82.41,82.949,83.422,83.943,84.844,85.614,86.774,88.118,88.877,89.754,90.597,90.921,91.409,91.961,92.508,92.772,93.721,94.801,96.046,97.947,99.364,100.792,101.889,102.597,103.622,104.174,104.409,105.446,106.783,107.764,108.724,109.757,110.589,111.611,112.442,113.434,114.543,115.362,116.263,117.203,118.178,119.275,120.942,122.757,124.605,125.977,126.661,127.167,127.606,128.252,128.977,129.764,130.364
"339","331","P1FORG C     Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","332","P1FTRG C       Foreign travel by U.S. residents (110)","P1FTRG3",24.014,24.19,24.404,24.466,23.587,23.339,23.991,24.215,23.691,24.112,24.032,24.031,24.3,24.787,24.606,24.823,25.255,25.099,25.235,25.359,25.69,25.605,25.751,25.939,26.539,26.584,26.806,27.193,27.855,27.801,27.672,27.736,27.345,27.468,27.64,27.81,28.314,28.546,29.111,29.143,29.381,29.337,29.514,29.458,29.171,29.801,30.088,30.373,31.353,32.301,32.753,34.255,34.565,34.525,34.428,35.241,35.132,36.725,38.49,41.465,44.178,45.578,46.195,47.806,48.793,49.891,51.103,52.304,51.032,51.362,51.726,51.966,53.998,54.652,54.407,55.488,55.408,56.446,57.579,58.374,59.661,62.674,64.662,66.658,69.465,70.594,71.979,73.449,74.741,75.334,75.969,76.548,76.294,73.476,70.332,70.212,70.087,70.161,70.083,70,70.369,69.62,66.137,63.652,63.054,64.305,66.156,68.134,70.237,71.839,72.823,73.042,70.432,70.314,70.356,70.88,73.614,74.76,75.04,75.977,75.393,75.442,75.536,76.046,77.255,78.787,80.948,83.236,85.853,84.057,84.829,86.177,87.936,88.932,91.486,88.937,89.281,90.23,89.401,90.213,91.451,90.659,93.126,94.548,92.21,96.335,96.189,95.613,96.249,96.731,98.006,99.147,98.25,100.251,98.924,97.493,95.443,96.456,95.947,98.145,98.582,98.967,99.399,100.022,100.503,99.78,99.682,100.035,101.222,100.551,101.675,101.954,101.819,104.012,107.454,106.904,108.861,111.484,111.99,114.138,115.766,117.943,119.938,122.047,123.658,127.339,128.854,127.362,128.138,132.84,135.21,134.487,135.027,140.28,144.096,143.75,146.386,152.31
"341","333","P1AFTG D         Passenger fares for foreign travel","P1AFTG3",24.496,24.808,25.382,25.389,23.374,22.594,24.276,24.713,23.061,23.992,23.787,23.636,24.033,24.694,24.08,24.341,25.155,24.458,24.517,24.546,25.242,24.741,24.826,25.015,25.675,25.649,25.781,26.047,26.575,26.442,26.124,26.28,25.323,25.621,26.042,26.466,26.891,26.917,27.21,27.289,27.452,27.345,27.637,27.633,26.674,27.393,27.819,28.377,28.755,29.843,29.873,30.834,31.677,31.588,31.39,31.445,29.45,30.624,32.16,33.389,36.692,37.736,38.552,39.654,40.552,41.055,41.368,42.105,42.083,42.794,43.591,44.115,46.913,46.379,45.823,45.231,42.686,43.46,44.236,44.974,44.176,46.08,47.924,49.753,52.579,53.924,54.994,56.162,58.387,58.829,59.379,59.86,61.053,61.05,61.043,61.117,61.825,61.494,61.176,60.773,60.68,60.199,59.653,59.183,57.076,57.656,58.195,58.736,59.695,59.933,60.176,60.42,60.348,61.666,62.545,63.449,64.916,65.598,64.462,65.873,66.044,65.851,65.636,66.055,67.417,69.465,72.963,76.337,79.582,78.993,78.761,79.779,80.237,81.14,83.231,80.651,80.683,81.571,81.824,81.496,82.029,81.677,82.759,83.623,85.107,87.46,86.43,87.054,87.879,87.195,87.975,89.945,89.231,93.457,92.717,91.978,91.974,92.295,92.15,93.877,94.437,95.7,96.628,96.725,97.936,98.931,99.458,103.676,106.515,105.865,107.652,108.673,109.383,110.724,115.196,113.302,115.746,117.227,118.609,118.288,117.278,118.373,120.039,121.725,124.265,126.147,128.382,129.883,131.439,133.523,134.299,137.252,138.541,137.739,141.492,143.132,145.521,151.893
"342","334","P1USTG D         U.S. travel outside the U.S.","P1USTG3",23.932,24.027,24.027,24.121,23.931,24.027,24.027,24.121,24.31,24.405,24.405,24.5,24.689,25.068,25.162,25.351,25.541,25.731,25.919,26.107,26.202,26.392,26.581,26.771,27.338,27.432,27.716,28.19,28.945,28.946,28.945,28.944,28.946,28.946,28.946,28.945,29.513,29.89,30.649,30.648,30.934,30.932,31.027,30.932,31.123,31.689,31.878,31.971,33.391,34.242,34.998,36.9,36.795,36.797,36.798,38.216,39.723,41.707,43.677,48.135,50.137,51.743,52.122,54.111,55.236,56.847,58.842,60.444,58.077,58.079,58.077,58.081,59.496,61.107,61.107,63.57,65.648,66.88,68.3,69.141,72.352,76.34,78.414,80.499,83.144,83.997,85.616,87.31,87.594,88.347,89.11,89.863,88.313,82.836,76.801,76.433,75.303,75.68,75.769,75.964,76.717,75.765,70.503,66.787,66.978,68.579,71.206,74.07,76.879,79.345,80.79,80.958,76.743,75.769,75.296,75.584,79.073,80.498,81.64,82.297,81.246,81.445,81.729,82.298,83.433,84.661,86.074,87.773,90.05,87.576,88.903,90.44,92.985,94.03,96.861,94.313,94.84,95.831,94.334,95.853,97.557,96.489,99.877,101.672,96.878,102.108,102.523,101.166,101.677,102.892,104.491,105.108,104.126,104.696,102.983,101.093,97.734,99.164,98.41,100.909,101.28,101.096,101.207,102.18,102.188,100.346,99.852,97.693,97.864,97.195,97.899,97.741,97.125,99.815,102.64,102.858,104.5,107.85,107.785,111.572,115.007,117.961,120.2,122.629,123.603,128.652,129.628,125.834,125.991,132.773,136.459,132.733,132.684,142.944,146.823,144.871,147.714,153.285
"343","335","P1USSG D         U.S. student expenditures","P1USSG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.54,88.297,89.055,89.809,88.265,82.736,76.732,76.386,75.25,75.629,75.724,75.913,76.669,75.699,70.473,66.733,66.929,68.535,71.181,74.021,76.853,79.302,80.736,80.911,76.769,75.724,75.246,75.531,79.037,80.455,81.585,82.247,81.202,81.397,81.68,82.248,83.382,84.612,86.029,87.734,89.997,87.537,88.858,90.372,92.923,93.972,96.805,94.236,94.795,95.773,94.276,95.814,97.499,96.431,99.827,101.605,96.803,102.034,102.463,101.104,101.598,102.816,104.412,105.026,104.062,104.633,102.922,101.035,97.67,99.107,98.35,100.857,101.221,101.034,101.148,102.122,102.134,100.624,99.799,97.746,97.944,97.282,98.012,97.834,97.21,99.884,102.731,102.94,104.617,107.926,107.877,111.65,115.125,118.048,120.303,122.731,123.708,128.762,129.734,125.926,126.092,132.884,136.572,132.844,132.78,143.05,146.945,144.99,147.825,153.431
"344","336","P1EXFG C       Less: Expenditures in the United States by nonresidents (112)","P1EXFG3",16.673,16.703,16.789,16.876,16.876,16.934,16.963,17.079,17.138,17.138,17.195,17.223,17.279,17.337,17.365,17.425,17.456,17.486,17.602,17.632,17.746,17.775,17.833,17.921,17.952,18.039,18.127,18.214,18.359,18.534,18.678,18.88,18.907,19.081,19.227,19.4,19.605,19.837,20.069,20.271,20.529,20.874,21.192,21.425,21.834,22.181,22.386,22.708,22.824,23.056,23.232,23.406,23.607,23.782,24.013,24.275,24.622,25.025,25.463,25.984,26.45,27.142,27.814,28.451,28.972,29.319,29.759,30.278,31.067,31.473,32.023,32.544,33.041,33.71,34.232,34.843,35.684,36.469,37.364,38.117,38.802,39.869,40.921,42.271,43.823,44.94,45.943,46.953,47.974,49.236,50.734,51.222,52.327,53.473,54.551,54.874,55.355,56.084,56.899,57.756,58.607,59.482,60.139,60.616,61.245,62.198,63.065,63.799,63.73,64.156,64.937,65.804,66.861,67.62,68.289,68.532,69.798,70.527,70.711,70.978,71.746,72.608,73.272,73.902,74.957,75.795,77.835,79.156,81.369,81.409,82.055,82.564,83.445,83.637,84.223,84.483,84.739,85.05,85.098,85.646,85.752,86.042,85.923,86.086,86.283,87.298,87.637,87.946,88.748,89.35,89.962,90.279,90.853,91.551,91.971,92.771,92.35,92.681,93.138,93.756,93.81,95.144,95.983,96.923,98.417,99.78,100.538,101.264,101.433,101.845,101.135,100.02,100.287,101.326,101.654,102.432,103.491,103.42,105.002,105.933,106.965,108.376,109.25,110.725,111.399,112.274,114.492,116.122,117.161,118.956,120.124,119.114,120.648,122.875,124.395,126.41,128.246,130.064
"345","337","P1FTUG D         Foreign travel in U.S.","P1FTUG3",17.639,17.671,17.763,17.855,17.855,17.917,17.947,18.069,18.131,18.131,18.193,18.223,18.285,18.346,18.376,18.438,18.469,18.499,18.622,18.653,18.776,18.806,18.868,18.96,18.99,19.082,19.175,19.266,19.419,19.605,19.757,19.972,20.002,20.187,20.341,20.524,20.739,20.985,21.23,21.446,21.722,22.089,22.426,22.673,23.103,23.469,23.684,24.023,24.144,24.389,24.575,24.759,24.972,25.157,25.402,25.68,26.048,26.474,26.938,27.489,27.981,28.714,29.424,30.098,30.649,31.016,31.48,32.028,32.861,33.289,33.869,34.419,34.944,35.65,36.202,36.847,37.735,38.566,39.514,40.314,41.051,42.181,43.289,44.709,46.297,47.49,48.601,49.759,51.171,52.429,53.937,54.823,55.8,56.937,57.917,58.32,58.688,59.369,60.102,60.992,61.835,62.708,63.318,63.721,64.331,65.349,66.265,66.971,66.695,67.063,67.868,68.749,69.861,70.583,71.259,71.409,72.744,73.404,73.455,73.616,74.319,75.141,75.754,76.321,77.387,78.195,80.35,81.722,84.094,83.964,84.488,84.861,85.723,85.764,86.265,86.364,86.481,86.687,86.607,87.098,87.091,87.274,86.996,87.079,87.162,88.19,88.447,88.699,89.475,90.018,90.58,90.817,91.331,91.995,92.355,93.155,92.548,92.797,93.215,93.816,93.705,95.078,95.928,96.893,98.485,99.84,100.531,101.189,101.118,101.346,100.279,98.666,98.763,99.666,99.727,100.326,101.181,100.68,101.878,102.499,103.282,104.561,105.176,106.488,106.939,107.589,109.828,111.394,112.215,113.872,114.825,113.365,114.752,116.914,118.319,120.2,121.91,123.602
"346","338","P1MEFG D         Medical expenditures of foreigners","P1MEFG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.792,24.494,25.373,26.415,27.281,28.148,29.075,29.844,30.7,31.503,32.274,32.983,33.721,34.34,34.932,35.629,36.178,36.757,37.127,37.518,38.164,38.775,39.442,40.184,40.722,41.511,42.223,42.939,43.945,45.092,46.289,47.509,48.867,50.153,51.59,53.023,54.156,55.517,57.151,58.836,60.216,61.419,62.682,63.983,65.6,67.051,68.366,69.738,71.304,72.832,73.948,75.085,75.978,76.971,78.061,79.087,79.972,80.756,81.733,82.695,83.615,84.512,85.405,86.119,86.795,87.495,87.866,88.74,89.383,90.125,91.052,91.778,92.896,93.671,94.816,96.089,97.42,98.99,101.037,102.458,104.178,106.041,107.695,109.612,112.209,115.287,117.354,120.148,121.876,123.212,125.768,127.735,129.324,130.805,132.528,134.239,136.335,137.883,139.158,141.345,144.086,146.871,148.899,150.442,152.758,155.53,158.645,162.244,165.312,167.253
"347","339","P1EFSG D         Expenditures of foreign students in the U.S.","P1EFSG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.827,32.538,34.332,33.347,34.52,35.497,36.663,36.522,37.14,37.762,38.585,39.135,39.821,40.577,41.331,42.019,42.705,43.323,43.94,44.695,45.314,45.863,46.413,47.099,47.855,48.678,49.227,49.843,50.669,51.627,52.391,53.069,54.034,54.996,55.821,56.715,57.672,58.634,59.871,60.762,61.929,62.959,64.4,65.842,66.804,68.04,69.208,70.58,71.747,72.74,73.684,74.634,75.573,76.622,77.6,78.266,79.222,80.11,81.04,81.797,82.873,84.002,85.048,86.057,87.205,88.24,89.25,90.055,91.128,92.106,92.806,93.514,94.674,95.739,96.471,97.215,98.209,99.602,100.595,101.533,102.721,104.258,105.888,107.625,109.27,111.27,113.328,115.206,117.326,119.605,123.427,126.396,129.291,131.733,134.522,137.267,139.638,142.321,144.422,146.412,148.913,151.525,154.178,156.568,158.865,161.229,163.288,166.056,168.702,171.498
"348",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","340","P1TGDG D   Goods","P1TGDG3",27.385,27.454,27.565,27.646,27.641,27.771,27.818,27.918,27.96,27.874,27.957,27.936,28.019,28.106,28.16,28.246,28.294,28.311,28.472,28.547,28.676,28.677,28.723,28.789,28.874,29.032,29.124,29.152,29.414,29.638,29.845,30.038,30.068,30.186,30.505,30.758,31.053,31.332,31.644,31.98,32.221,32.624,33.022,33.375,33.732,34.06,34.32,34.711,34.93,35.256,35.472,35.592,35.949,36.11,36.4,36.672,37.244,38.106,38.865,39.817,41.297,42.605,43.903,45.148,45.845,46.26,47.122,47.81,48.099,48.342,48.964,49.637,50.415,51.197,51.772,52.407,53.164,54.332,55.282,56.261,57.625,59.266,60.763,62.211,64.334,65.825,67.149,68.538,70.228,71.135,71.892,72.539,73.027,73.259,74.033,74.225,74.321,75.055,75.562,75.778,76.397,76.656,76.888,77.174,77.706,78.153,78.298,78.794,78.647,77.76,78.194,78.499,79.798,80.548,81.267,81.727,81.934,82.667,83.566,84.199,85.077,86.478,86.637,87.087,88.606,89.045,90.23,91.737,91.84,92.088,92.344,92.717,92.882,93.25,93.692,93.934,94.174,94.311,94.267,94.716,94.692,95.023,95.814,95.966,96.104,96.329,96.391,96.463,97.069,97.49,97.401,97.902,98.096,97.689,97.583,97.593,97.048,96.804,96.913,96.877,96.9,97.634,98.185,98.6,99.324,99.907,100.303,100.466,100.598,100.957,100.584,99.747,99.53,100.296,100.309,100.298,100.887,100.049,100.412,100.233,101.111,102.213,102.274,103.123,103.425,103.721,105.442,105.809,105.793,106.639,107.374,105.953,106.775,107.849,108.266,109.74,111.035,112.22
